#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains diplomacy and advisor strings (Chinese Simple)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the diplomacy and advisor strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Sychronized files between languages.
#
#----------------------------------------------------------------------------

## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE "由于对方曾遭我国击败，目前仍对我国相当反感。"
REGARD_EVENT_ENEMY_INJOINED_CITY "对于我国藉由控诉的提示，压制了{player[0].civ_name_singular}城市生产一事，造成了两国间的小摩擦。"
REGARD_EVENT_ENEMY_PILLAGED "对于我国强掠其地上设施，该国相当愤慨。" 
REGARD_EVENT_UNITS_GIFTED				"您的慷慨未被遗忘。"
REGARD_EVENT_WONDER					"{player[0].civ_name_plural}对我国所拥有的众多奇观感到印象深刻。"

##
## Motivations
## 

MOTIVATION_ENLIST_FRIENDS_ADVICE "我们应号召友邦，协助我们征服外敌。"
MOTIVATION_FEAR_SCIENCE_ADVICE "科技创新的不足，蚀去了我军的英勇。要使军队在战场上能立于不败，必须增加科技研发的投入。"
MOTIVATION_FEAR_MILITARY_ADVICE "目前我国军事力量疲弱，可能无法抵挡外敌来袭。可透过联盟条约的建立，来巩固国家安全。"
MOTIVATION_FEAR_TRADE_ADVICE "为保有国家竞争力，应当振兴我国经济。可透过贸易路线的拓展及贸易协议的建立，以带动商业发展。"
MOTIVATION_FEAR_TECHNOLOGY_ADVICE			"若不继续科技发展，我国的军队发展将很快日暮途穷"
MOTIVATION_STOP_PIRACY_ADVICE "我贸易路线正遭受外国强掠，应即刻采取外交行动，扫除这项纷扰。"
MOTIVATION_MAKE_FRIEND_ADVICE "应试着与强国建立伙伴关系，将有益于国家发展。"
MOTIVATION_DESIRE_SCIENCE_ADVICE "我国科技进展落后于敌国，真令人感到忧心。可试着透过外交管道，引进科技项目。" MOTIVATION_DESIRE_GOLD_ADVICE "应增加黄金收入，以便能快速完成实时方案。"
MOTIVATION_DESIRE_GOLD_ADVICE "We could use some more gold in our coffers, so that we can better achieve our immediate pursuits."
MOTIVATION_FEAR_CITY_DEFENSE_ADVICE " 不幸地，{city[0].name}似乎快落入敌人手中，也许能藉由谈判来避免该城沦陷。"
MOTIVATION_FEAR_POLLUTION_ADVICE "污染不仅会造成全球暖化，还会带来生态灾害，实在令人忧心。我们应致力于污染减量，并呼吁世界各国一同做环保。"

##
##  Miscellaneous Diplomacy Strings
##

DIP_ADVISOR_INCOMING_MESSAGE "陛下，我们接到代表{player[0].civ_name_plural}元首{player[0].leader_name}的特使来讯。"

##
##  Diplomacy Greetings
##

DIP_GREETING_FIRST_FOREIGN_0 "来自{player[0].civ_name_singular}元首{player[0].leader_name}的问候：你应能发现到，我们是公平正义的国家。"
DIP_GREETING_FIRST_FOREIGN_1 "我带来了{player[0].civ_name_singular}元首{player[0].leader_name}的问候：希望两国人民能一同走在和平大道上。"
DIP_GREETING_FIRST_FOREIGN_2 "来自{player[0].civ_name_singular}元首{player[0].leader_name}的声明：吾虽小国、心志大矣。"
DIP_GREETING_FIRST_FOREIGN_3 "来自神圣{player[0].civ_name_singular}伟大元首{player[0].leader_name}的声明：轻视吾国者，势必付出代价。"
DIP_GREETING_FIRST_FOREIGN_4 "来自神圣{player[0].civ_name_singular}伟大元首{player[0].leader_name}的声明：胆敢不顺从我国者，只有被征服的下场。"

##
## Proposal names
##
DIP_NONE "无"
DIP_OFFER_GIVE_CITY "赠送城市"
DIP_REQUEST_GIVE_CITY "索讨城市"
DIP_OFFER_WITHDRAW_TROOPS "主动撤离部队"
DIP_REQUEST_WITHDRAW_TROOPS "要求该国部队撤离"
##DIP_OFFER_WITHDRAW_TROOPS_FROM_ALLIE			"主动撤出盟国"
##DIP_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE		"要求盟国撤离"
##DIP_OFFER_INVADE					"入侵"
##DIP_REQUEST_INVADE					"要求该国入侵"
DIP_OFFER_STOP_PIRACY "主动停止强掠"
DIP_REQUEST_STOP_PIRACY "要求该国停止强掠"
DIP_OFFER_BREAK_AGREEMENT "中止协议"
DIP_REQUEST_BREAK_AGREEMENT "要求中止协议"
DIP_OFFER_STOP_RESEARCH "停止研发"
DIP_REQUEST_STOP_RESEARCH "要求停止研发"
DIP_OFFER_REDUCE_NUCLEAR_WEAPONS "裁减核武"
DIP_REQUEST_REDUCE_NUCLEAR_WEAPONS "要求裁减核武"
DIP_OFFER_REDUCE_BIO_WEAPONS "裁减生化武器"
DIP_REQUEST_REDUCE_BIO_WEAPONS "要求裁减生化武器"
DIP_OFFER_REDUCE_NANO_WEAPONS "裁减奈米微菌武器"
DIP_REQUEST_REDUCE_NANO_WEAPONS "要求裁减奈米微菌武器"
DIP_OFFER_GIVE_ADVANCE "赠送科技"
DIP_REQUEST_GIVE_ADVANCE "索求科技"
DIP_OFFER_GIVE_GOLD "赠送黄金"
DIP_REQUEST_GIVE_GOLD "索求黄金"
##DIP_OFFER_GIVE_ANNUAL_GOLD				"提供岁贡黄金"
##DIP_REQUEST_GIVE_ANNUAL_GOLD				"要求岁贡黄金"
DIP_OFFER_REDUCE_POLLUTION "污染减量"
DIP_REQUEST_REDUCE_POLLUTION "要求污染减量"
DIP_OFFER_MAP "提供地图"
DIP_REQUEST_MAP "索求地图"
DIP_OFFER_HONOR_MILITARY_AGREEMENT "履行军事同盟协议"
DIP_REQUEST_HONOR_MILITARY_AGREEMENT "要求遵守军事同盟协议"
DIP_OFFER_HONOR_POLLUTION_AGREEMENT "履行污染防制协议"
DIP_REQUEST_HONOR_POLLUTION_AGREEMENT "要求遵守污染防制协议"
DIP_OFFER_END_EMBARGO "主动结束贸易禁运"
DIP_REQUEST_END_EMBARGO "要求结束贸易禁运"
DIP_TREATY_DECLARE_WAR "宣战"
DIP_TREATY_CEASEFIRE "停火"
DIP_TREATY_PEACE "和平条约"
DIP_TREATY_TRADE_PACT "贸易协议"
DIP_TREATY_RESEARCH_PACT "科技协议"
DIP_TREATY_MILITARY_PACT "军事同盟协议"
DIP_TREATY_POLLUTION_PACT "污染防制协议"
DIP_TREATY_ALLIANCE "联盟条约"

##
## Proposal Details
##
DIP_DETAILS_NONE_0 "无"
DIP_DETAILS_NONE_1 "无"
DIP_DETAILS_NONE_2 "无"
DIP_DETAILS_NONE_3 "无"
DIP_DETAILS_NONE_4 "无"
DIP_DETAILS_NONE_EX_0 "无"
DIP_DETAILS_NONE_EX_1 "无"
DIP_DETAILS_NONE_EX_2 "无"
DIP_DETAILS_NONE_EX_3 "无"
DIP_DETAILS_NONE_EX_4 "无"

DIP_DETAILS_OFFER_GIVE_CITY_0 "由于贵国如此受人尊崇，我们愿意将{city[0].name}由贵国统治。"
DIP_DETAILS_OFFER_GIVE_CITY_1 "基于友谊关系，谨将{city[0].name}交由贵国治理。"
DIP_DETAILS_OFFER_GIVE_CITY_2 "我们卑下地交出{city[0].name}给贵国。"
DIP_DETAILS_OFFER_GIVE_CITY_3 "我们不要{city[0].name}了，就送给你们吧。"
DIP_DETAILS_OFFER_GIVE_CITY_4 "{city[0].name}给你们吧，别想再得到任何东西。"
DIP_DETAILS_OFFER_GIVE_CITY_EX_0 "作为交换条件，我们将{city[0].name}送交贵国，请善待该市市民。"
DIP_DETAILS_OFFER_GIVE_CITY_EX_1 "作为交换条件，为了建立友好关系，我们承诺将{city[0].name}送交贵国。"
DIP_DETAILS_OFFER_GIVE_CITY_EX_2 "作为交换条件，我们将{city[0].name}送交贵国，希望对于如日中天的贵国来说，能有锦上添花的效果。"
DIP_DETAILS_OFFER_GIVE_CITY_EX_3 "作为交换条件，我们将{city[0].name}交给你们。"
DIP_DETAILS_OFFER_GIVE_CITY_EX_4 "作为交换条件，就把{city[0].name}交给你们吧。"
DIP_DETAILS_REQUEST_GIVE_CITY_0 "我们巳意识到贵国扩张边境以增加国力的动作。为此，我们严正要求贵国将{city[0].name}割让给我国。"
DIP_DETAILS_REQUEST_GIVE_CITY_1 "友善地请求贵国，交出{city[0].name}吧。"	
DIP_DETAILS_REQUEST_GIVE_CITY_2 "恳请贵国将{city[0].name}交由我国统治。"
DIP_DETAILS_REQUEST_GIVE_CITY_3 "将{city[0].name}划为我国领地，让市民共享帝国繁荣。"
DIP_DETAILS_REQUEST_GIVE_CITY_4 "即刻交出{city[0].name}。"
DIP_DETAILS_REQUEST_GIVE_CITY_EX_0 "作为交换条件，将{city[0].name}交由我国统治吧。"
DIP_DETAILS_REQUEST_GIVE_CITY_EX_1 "作为交换条件，好意地告诉贵国，交出{city[0].name}永保和平吧。"
DIP_DETAILS_REQUEST_GIVE_CITY_EX_2 "作为交换条件，恳请贵国将{city[0].name}交由我国统治。"
DIP_DETAILS_REQUEST_GIVE_CITY_EX_3 "作为交换条件，若要我军不再采取进一步动作的话，即刻交出{city[0].name}，不得延迟。"
DIP_DETAILS_REQUEST_GIVE_CITY_EX_4 "作为交换条件，马上割让{city[0].name}吧。"

DIP_DETAILS_OFFER_WITHDRAW_TROOPS_0 "我们主动将部队撤离贵国，维持两国间的和平。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_1 "基于好意，我们愿意将部队撤离贵国。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_2 "我们无意冒犯贵国，即刻将撤出滞留贵国的部队。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_3 "我们会将部队调离你们那积弱不振的烂地方。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_4 "我们将会撤离在你们那儿的部队，别指望下次还会有这种好事。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_0 "作为交换条件，我们愿意将部队撤离贵国。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_1 "作为交换条件，我们主动将部队撤离贵国，维持两国间的和平。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_2 "作为交换条件，我们即刻撤出贵国境内的部队，请原谅我们的擅自闯入。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_3 "作为交换条件，我们会将部队调离你那微不足道的烂地方。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_4 "作为交换条件，我们会将部队调离你那弱不禁风的烂地方。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_0 "撤离贵国于吾国境内的部队，将有助两国间的友好发展，我们建议你们即刻撤军。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_1 "我们呼吁贵国部队即刻撤离，对两国间的关系来说，将是良性发展。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_2 "请将贵国部队撤离我国，我们会非常感谢您的。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_3 "再不将你的部队撤离我国，我国势必采取报复行动。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_4 "这是挑衅行为吗？我们强烈建议你们，即刻滚出境外。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_0 "作为交换条件，我们希望贵国部队即刻撤出我国，我们不希望因此发动充满杀戮的战争。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_1 "作为交换条件，我们希望贵国部队全数撤离我国，希望两国间的友好不会受到威胁。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_2 "作为交换条件，我们乞求贵国部队撤出我国境内，以保持双方和平。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_3 "作为交换条件，把你的部队即刻撤出我国，你们行为别太嚣张。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_4 "作为交换条件，把你的部队即刻撤出我国，不要不知死活。"

DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_0 "我们会将部队撤离你的盟国，{player[2].country_name}人民将不再受到我们的骚扰。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_1 "我们即刻将部队撤离{player[2].country_name}。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_2 "我们即刻快速撤离{player[2].country_name}。我们无意冒犯贵国。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_3 "我们会试着将部队调离{player[2].country_name}，虽然你们两个国家对我构不成威胁。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_4 "我国部队将走出{player[2].country_name}。记住，我们不常做出这种善行，你最好知足点。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_0 "作为交换条件，我们会将部队撤出{player[2].country_name}。和平是我们的优先目标。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_1 "作为交换条件，我们会将部队撤出{player[2].country_name}。我们同样尊重贵国盟国。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_2 "作为交换条件，我们会将部队即刻撤出{player[2].country_name}。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_3 "作为交换条件，我们会将部队即刻撤出{player[2].country_name}，假设你做此想的话。"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_4 "作为交换条件，我们乐意立即将部队撤离{player[2].country_name}。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_0 "我们不能坐视盟国陷入危境，请您将部队撤出，我们会感谢您的。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_1 "我们不能无视于盟国处于战争中，请你将部队调离{player[2].country_name}。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_2 "我们不能坐看盟邦受到攻击，请将部队撤离{player[2].country_name}。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_3 "速将部队撤离{player[2].country_name}。你巳侵犯该国主权。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_4 "即刻将部队撤离{player[2].country_name}！对该国有攻击行为，等于也对我国宣战。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_0 "作为交换条件，我们希望您能将部队撤离我国盟邦{player[2].country_name}。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_1 "作为交换条件，藉由贵国部队从{player[2].country_name}撤离与否，考验你们的善意。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_2 "作为交换条件，我们将十分感谢贵国部队撤出{player[2].country_name}境内。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_3 "作为交换条件，我们要求你们即刻将部队撤离{player[2].country_name}。"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_4 "作为交换条件，请全数撤出{player[2].country_name}境内军队。该国为我国盟邦，我国有共同防御的义务。"

DIP_DETAILS_OFFER_INVADE_0 "我国将全速地对{player[2].country_name}发动攻势。"
DIP_DETAILS_OFFER_INVADE_1 "既然同为正义的一方，我们也将对您的敌国{player[2].civ_name_plural}发动攻击。"
DIP_DETAILS_OFFER_INVADE_2 "我国亦稍尽棉薄之力对{player[2].country_name}宣战，也许能帮上一点忙。"
DIP_DETAILS_OFFER_INVADE_3 "我国将攻打{player[2].country_name}，你们一定会捡到好处的。"
DIP_DETAILS_OFFER_INVADE_4 "我国亦对{player[2].country_name}宣战。"
DIP_DETAILS_OFFER_INVADE_EX_0 "作为交换条件，我们亦进攻{player[2].country_name}，将有助贵国达成目标。"
DIP_DETAILS_OFFER_INVADE_EX_1 "作为交换条件，我们亦进攻{player[2].country_name}，满足贵国需求。"
DIP_DETAILS_OFFER_INVADE_EX_2 "作为交换条件，我们欣然进攻{player[2].country_name}，未来贵国也许会答谢我国。"
DIP_DETAILS_OFFER_INVADE_EX_3 "作为交换条件，我们保证出兵{player[2].country_name}，势必造成该国人民一场恶梦。"
DIP_DETAILS_OFFER_INVADE_EX_4 "作为交换条件，我们将出兵{player[2].country_name}，将带给你们意想不到的好处。"
DIP_DETAILS_REQUEST_INVADE_0 "我国郑重地请求贵国，出兵夷平{player[2].country_name}。"
DIP_DETAILS_REQUEST_INVADE_1 "基于友邦关系，我们请求贵国尽快出兵{player[2].country_name}。该国是我们共同的敌人。"
DIP_DETAILS_REQUEST_INVADE_2 "恳请贵国出兵{player[2].country_name}，派出你无敌之师弭平该国吧。"
DIP_DETAILS_REQUEST_INVADE_3 "请出兵{player[2].country_name}，让我们瞧瞧你们能做出什么成绩。"
DIP_DETAILS_REQUEST_INVADE_4 "尽速出兵{player[2].country_name}，别留下活口！"
DIP_DETAILS_REQUEST_INVADE_EX_0 "作为交换条件，请贵国出兵{player[2].country_name}直到该国灭亡。"
DIP_DETAILS_REQUEST_INVADE_EX_1 "作为交换条件，我们请贵国帮个忙，出兵{player[2].country_name}。"
DIP_DETAILS_REQUEST_INVADE_EX_2 "作为交换条件，我国恳求贵国在我军与{player[2].country_name}的战争中，出一臂之力。"
DIP_DETAILS_REQUEST_INVADE_EX_3 "作为交换条件，请你们尽快出兵{player[2].country_name}，别留下活口。"
DIP_DETAILS_REQUEST_INVADE_EX_4 "作为交换条件，你们得即刻出兵{player[2].country_name}。"

DIP_DETAILS_OFFER_STOP_PIRACY_0 "为了发展良好关系，我们愿意停止对贵国贸易路线的强掠行动。"
DIP_DETAILS_OFFER_STOP_PIRACY_1 "为了维持双方友好关系，我们将终止对贵国贸易路线的强掠行为。"
DIP_DETAILS_OFFER_STOP_PIRACY_2 "我们即刻停止对贵国贸易路线的强掠行为。对于这项冒犯，我国深感抱歉。"
DIP_DETAILS_OFFER_STOP_PIRACY_3 "我们将停止强掠你们的贸易路线，别以为我国时常会有这类善行。"
DIP_DETAILS_OFFER_STOP_PIRACY_4 "我们将停止强掠你们的贸易路线。"
DIP_DETAILS_OFFER_STOP_PIRACY_EX_0 "作为交换条件，我们将终止对贵国贸易路线的强掠行为。"
DIP_DETAILS_OFFER_STOP_PIRACY_EX_1 "作为交换条件，我们将终止对贵国贸易路线的强掠行为，以维持双方良好关系。"
DIP_DETAILS_OFFER_STOP_PIRACY_EX_2 "作为交换条件，我们将终止对贵国贸易路线的强掠行为，希望先前的强掠未激怒到贵国。"
DIP_DETAILS_OFFER_STOP_PIRACY_EX_3 "作为交换条件，我们将终止对你们的贸易路线的强掠行为，不再强掠你们那没啥油水的贸易路线。"
DIP_DETAILS_OFFER_STOP_PIRACY_EX_4 "作为交换条件，我们将不再强掠你们的贸易路线，将目标转移至其它利润较多的路线上。"
DIP_DETAILS_REQUEST_STOP_PIRACY_0 "我们没有自由贸易权吗？请你们停止对我国贸易路线的强掠行为。"
DIP_DETAILS_REQUEST_STOP_PIRACY_1 "为继续保有双边和平关系，请停止贵国对我国贸易路线的强掠行为。"
DIP_DETAILS_REQUEST_STOP_PIRACY_2 "乞求贵国停止对我国贸易路线的强掠行为。"
DIP_DETAILS_REQUEST_STOP_PIRACY_3 "你们强掠我国贸易路线这件事，实在让人瞧不起，即刻停止这行为吧。"
DIP_DETAILS_REQUEST_STOP_PIRACY_4 "即刻停止对我国贸易路线的强掠行为，我们不会坐视不顾这行为。"
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_0 "作为交换条件，我们郑重请求贵国停止对我国贸易路线的强掠行为。"
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_1 "作为交换条件，请你们停止强掠我国贸易路线，也许还能继续做朋友。"
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_2 "作为交换条件，请你们停止强掠我国贸易路线。"
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_3 "作为交换条件，我国坚持你们得停止那卑鄙的强掠行为。"
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_4 "作为交换条件，停止你们那无耻的强掠行为，也别天真地以为强掠就能重创我国。"

DIP_DETAILS_OFFER_BREAK_AGREEMENT_0 "为了得到贵国的好感，我们将中止与{player[2].country_name}的一切协议。"
DIP_DETAILS_OFFER_BREAK_AGREEMENT_1 "为了展示双边的友好关系，我们将中止与{player[2].country_name}的一切协议。"
DIP_DETAILS_OFFER_BREAK_AGREEMENT_2 "我们发誓尽快中止与{player[2].country_name}的一切协议。"
DIP_DETAILS_OFFER_BREAK_AGREEMENT_3 "我们同意与{player[2].country_name}中止一切协议。"
DIP_DETAILS_OFFER_BREAK_AGREEMENT_4 "我们将中止与{player[2].country_name}签署的一切协议。"
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_0 "作为交换条件，我们愿意与{player[2].country_name}中止一切协议。"
