BUTTON_GREAT_LIBRARY "大图书馆" 
TUT148B_UNHAPPY_CITY_LARGE "由于[city.1.name]拥有较多人口，可以让一些市民成为演艺人员，一名演艺人员可以减少一个不满的市民。可在[city.1.name]的劳工卷标中，以箭头调整演艺人员数目，同时要保留必要的工作人口维持市政建设。"

TUT148C_UNHAPPY_CITY_RELIGION "[city.1.name]市民不满。如果拥有宗教知识，可以透过寺庙建筑来增加市民快乐度。有了寺庙存在的话，可以在文明卷标中调整其设定值让市民愉快。"

TUT148D_UNHAPPY_CITY_PERSPECTIVE "[city.1.name]市民不满。如果拥有洞察能力，可以兴建大教堂来增加市民快乐度。有了大教堂的话，可以在文明卷标中调整其设定值让市民愉快。" 

TUT148E_UNHAPPY_CITY_SMALL_ANCIENT "[city.1.name]市民不满。可以派驻军队以维持治安，让市民愉快。"

TITLE_FOG1 "未知地"
TUT154_FOG1 "地图上的黑色部分，是未曾探索的地方。要等到部队探索之后，才能得到当地地形情报。"      

TITLE_OUT_OF_GAS "[unit.1.name]燃油耗尽坠毁"
TUT156_OUT_OF_GAS "[unit.1.name]燃油耗尽坠毁。可以在城市兴建机场或着在郊外兴建空军基地，飞机在这些地方补充油料。"

TITLE_NO_SUPPORT "[unit.1.name]军费用尽解散"
TUT157_NO_SUPPORT "[unit.1.name]军费用尽解散。养军队是要花钱的，越多的军事部队需要越多的经费支持，平时可在部队窗口检视军事预算的支出。"

TITLE_RANDOM_DEATH "意外死亡"
TUT158_RANDOM_DEATH "[unit.1.name]遭到狐猴攻击身亡"

TITLE_HIGH_CITY_POLLUTION "高度污染"
TUT159_HIGH_CITY_POLLUTION "[city.1.name]是个巨大的污染源，破坏着当地生态环境，请在市内兴建污染防治设备以减少污染。"

TITLE_CITY_POLLUTION "城市污染"
TUT160_CITY_POLLUTION "[city.1.name]的污染破坏环境，多多留意这些生态灾害，提防当地区块变成黑色。"
  
TITLE_SLOW_SCIENCE1 "科技水平过低"
TUT164A_SLOW_SCIENCE "得加速国家科技发展，可以在几个城市点选极大化卷标，再按下科技极大化按钮，以加速科技发展。"

TITLE_SLOW_SCIENCE2 "提高科技水平"
TUT164B_SLOW_SCIENCE2 "提高科技预算。如果巳是预算最大值了，再想法子提高工时减少薪资，以便增加科技预算。"

TITLE_SLOW_CITIES "城市过少"
TUT165_SLOW_CITIES "派出开拓队建立新城市吧，城市越多国力越强，一切建设速度也将因此加快。"

TITLE_ZOC "军事管制区"
TUT168_ZOC "部队无法直接穿越敌军部队停留时的周边区块，只能从旁绕过。"      

TITLE_SLOW_CITY "城市不够多"
TUT180_SLOW_CITY "扩张国力需要更多的城市，再派出更多的开拓队或是派遣部队攻占更多的城市。"

TITLE_SLOW_SCIENCE "科技水平不高"
TUT185_SLOW_SCIENCE "请加速科技发展"

TITLE_CITY_TAKEN "[city.1.name]遭到外敌占领"
TUT190_CITY_TAKEN "[player.1.civ_name_plural]占领了[city.1.name]！所有城市得要加强戒备，防止敌军再度得逞。"

TITLE_CITY_CAPTURED "攻占[city.1.name]"
TUT191_CITY_CAPTURED "奋力一战之后，终于击败[player.1.civ_name_plural]，并攻下[city.1.name]，提高戒备防止敌军任何可能性的反击。"

TITLE_CITY_CONVERTED "[city.1.name]改信异教"
TUT193_CITY_CONVERTED "[city.1.name]受到异教感化并开始缴税给外国。请派遣军队进驻[city.1.name]，重整秩序，并提防其它城市也受到异教感化。"

TITLE_REFORM_CITY "如何重整异教感化的城市"
TUT194_REFORM_CITY "先派军队进入异教城市，接着在部队卷标中点选重整城市指令。"

TITLE_I_CONVERT "成功感化了[city.1.name]!"
TUT195_I_CONVERT "[player.1.civ_name_singular] [city.1.name]改信我国信仰。我国将获得到该城的宗教税金。让[unit.1.name]继续四处传教感化城市。越多的城市服膺于我国的教义，会带来越多的宗教税收。"

TITLE_TERRORIST "恐怖分子攻击事件"
TUT196_TERRORIST "[city.1.name]发生恐怖分子攻击事件。其原因不明，请提高国内军备做好防范措施。"

TITLE_ENSLAVED "[player.1.civ_name_singular]发生奴隶贩子抓人事件"
TUT197_ENSLAVED "[city.1.name]发生奴隶贩子抓人事件，请兴建城墙，提高城市警备，避免这种事情再度发生。"

TITLE_I_ENSLAVE "成功的逮到奴隶"
TUT198_I_ENSLAVE "[city.1.name]的一位市民巳成了我国奴仆，目前正在工作中。再派奴隶贩子去抓更多的奴隶来工作吧。"

TITLE_CANT_SETTLE_NOW "无法建立城市"
TUT203_CANT_SETTLE_NOW "开拓队此回合的机动力巳用完，下个回合才有能力建立城市。"

TITLE_VICTORY_ENSLAVEMENT "奴役敌军俘虏"
TUT205_VICTORY_ENSLAVEMENT "当奴隶贩子也在军团组合中，在战胜之后，幸存的敌军俘虏将会被成为我国奴隶。"

TITLE_PLAYER_SETTLER_ENSLAVED "开拓队被奴隶贩子抓走"
TUT206_PLAYER_SETTLER_ENSLAVED "开拓队被敌国奴隶贩子抓走，成了外国奴仆，现已无法救出。平时指派部队随行就能避免。方法是将部队与开拓队停在同一方格中，再点选部队卷标中的锁定图标，军队就会与开拓队合并成同一军队，沿途护卫开拓队。"

TITLE_ENSLAVED_SETTLER "逮捕了外国开拓队"
TUT207_ENSLAVED_SETTLER "捕获[player.2.civ_name_singular]开拓队。奴隶贩子可以就地捕抓路上见到的外国开拓队，或直接对外国城市进行捕抓奴隶的攻击行为。"
  
################
##NEW TUTORIAL##
################

TITLE_WELCOME_CTP "欢迎来到《文明帝国之权倾天下》"
TUT500_WELCOME_CTP "经过未知世界的探索、城邦的开拓、国家间的交涉，达成游戏的最终目的，建立世界首屈一指的文明帝国。"

TITLE_THE_TUTORIAL "教学模式"
TUT500A_THE_TUTORIAL "讯息会在游戏过程中出现指导玩家。如果想要回顾过去的讯息，可以按下在画面最上方的<c:180,0,0>回顾教学讯息<e>按钮。如果要结束教学模式，请按下回顾教学讯息开启讯息列后，再按下<c:180,0,0>结束教学模式<e>按钮。该按钮在讯息列的右下方。"

TITLE_MAP_SCROLL "讯息挡到画面了吗？"
TUT500B_MAP_SCROLL "移动鼠标光标到 <c:180,0,0>屏幕边缘<e>，画面就会朝该方向移动。或是点击画面左下方小地图中的<c:0,180,0>彩色区域<e>，画面将会以那片区域为中心。"

TITLE_GOAL_1 "目标一：建立一座城市"
TUT501_GOAL_1 "第一个任务是建立一座城市，借着开拓队的移动找寻建城地点，<c:0,180,0>最好的建城地点是在河流之上，其中以河流经过的草地地形尤佳<e>。当开拓队无法移动时，按下键盘上的<c:180,0,0>N<e>键结束回合，或是点选下个讯息以学习如何建立一座城市。"

TITLE_THIS_IS_SETTLER "教学模式等级一"
TUT502_THIS_IS_SETTLER "在教学模式等级一，将学习部队移动及生产建造等基本操作，我们将从开拓队的操作开始介绍。"

TITLE_SELECT_SETTLER "选取开拓队"
TUT502A_SELECT_SETTLER "游戏由<c:0,180,0>选取<e>开拓队开始。选取后，将出现<c:0,180,0>绿色方框<e>及许多<c:0,180,0>绿色格子<e>在他四周。要<c:180,0,0>取消选取<e>开拓队的话，就用鼠标<c:180,0,0>右键<e>点在别处，要再<c:0,180,0>选取<e>开拓队的话，就用鼠标<c:0,180,0>左键<e>点选开拓队即可。"

TITLE_MOVE_YOUR_SETTLER "移动开拓队"
TUT503_MOVE_YOUR_SETTLER "开拓队被<c:0,180,0>选取<e>之后，移动鼠标光标，将会拉出一条<c:0,180,0>绿<e> 线，那表示这回合能够到达的路径，按下鼠标<c:180,0,0>左键<e>就可以移动到目的地去。"

TITLE_CANT_MOVE_MORE "结束这回合"
TUT503A_CANT_MOVE_MORE "开拓队的机动力巳用完，无法移动或建城，要结束这回合，请按下键盘上的<c:180,0,0>N<e>键，或是点选画面右下的<c:180,0,0>结束<e>按钮。"

TITLE_ON_RIVER "河流地形"
TUT503B_ON_RIVER "所有部队沿着河流移动比没有沿河移动还来的快速。开拓队在河流上可以一回合移动两格，而其它地形则只能一格。河流地形也是建立城市的最佳地点。"

TUT503C_RIVER_2 "按下<c:180,0,0>N<e>键可以结束本回合。当开拓队已经走到理想的建城地点时，也可以按下<c:180,0,0>N<e>键，等下个回合开始建立城市。"

TITLE_HOW_TO_BUILD_CITY "如何建立城市"
TUT504_HOW_TO_BUILD_CITY "在<c:0,180,0>选取<e>开拓队后，按下键盘上的<c:0,180,0>B<e>键，或是点击部队卷标内的铲土图标就可以建立城市。" 
				
TITLE_GOAL_1_ACCOMPLISHED "目标一完成了！城市建立了！"
TUT505_GOAL_1_ACCOMPLISHED "开拓队会在地图上消失，并住进[city.1.name]中。新城市可以生产新部队出城探索，或是生产新的开拓队兴建更多城市。"

TITLE_GOAL_2 "目标二：生产部队"
TUT506_GOAL_2 "选取城市之后，将会有个<c:180,0,0>红色<e>方框围绕，此时点选下方<c:0,180,0>物资<e>卷标，再按下<c:0,180,0>建造<e>按钮，卷动并选取到<c:180,0,0>战士<e>选项，再按下<c:0,180,0>建造<e>按钮即可生产战士。"

TITLE_TURNS_TO_COMPLETE "离完成还要多少回合"
TUT507_TURNS_TO_COMPLETE "在物资卷标下，战士图片右下可看到建造所需的回合数，可以一直按下<c:180,0,0>N<e>键直到完工。"

TITLE_KEEP_HITTING_N "持续按下N键"
TUT507A_KEEP_HITTING_N "按下键盘<c:180,0,0>N<e>键，直到物品建造完成。或以鼠标<c:180,0,0>左键<e>点选城市，之后再点选物资卷标，就能观察到城市的工作情形，建造物品下方有代表进度的色棒及建造所需的回合数。"

TITLE_BUILD_PROGRESS "建造进度"
TUT508_BUILD_PROGRESS "持续按下<c:180,0,0>N<e>键，直到城市完成建造工作。或以鼠标<c:180,0,0>左键<e>点选城市，之后再点选物资卷标，就能观察到城市的工作情形。建造物品下方有代表进度的色棒及建造所需的回合数。"

TITLE_GOAL_2_ACCOMPLISHED "目标二完成了！部队生产完成！"
TUT509_GOAL_2_ACCOMPLISHED "战士已经完成，可以指派战士在地图上进行探索。"

TITLE_EXPLORE_THE_MAP "探索地图"
TUT510_EXPLORE_THE_MAP "点选画面右下的<c:0,180,0>绿色人形<e>按钮。当部队的<c:0,0,180>色盾<e>闪烁时，表示该部队被选取中。移动鼠标所带出的<c:0,180,0>绿线<e>即移动路径，按下鼠标<c:180,0,0>左键<e>就可以移动到目的地去。"

TITLE_GOAL_3 "目标三：建设城市"
TUT511_GOAL_3  "谷仓能加快城市人口成长的速度。以鼠标<c:180,0,0>左键<e>点选一个城市后，再点选<c:0,180,0>物资<e>卷标内的<c:0,180,0>建造<e>按钮，再卷动并选取到<c:180,0,0>谷仓<e>选项，再按下<c:0,180,0>建造<e>按钮，即可开始建造谷仓。"

TITLE_CONTINUE_EXPLORING "持续探索"
TUT512_CONTINUE_EXPLORING "距离<c:0,180,0>谷仓<e>完成还有一段时间，这时候，可以让战士继续进行探索。要结束回合的话，按下键盘上的<c:180,0,0>N<e>键；要移动部队的话，以鼠标<c:180,0,0>左键<e>点选部队，再用<c:180,0,0>左键<e>点击目的地，部队就会移到到该地。" 

TUT512A_CONTINUE_EXPLORING "距离<c:0,180,0>开拓队<e>完成还有一段时间，可以让战士继续探索地图。要结束回合的话，按下键盘上的<c:180,0,0>N<e>键；要移动部队的话，以鼠标<c:180,0,0>左键<e>点选部队，再用<c:180,0,0>左键<e>点击目的地，部队就会移到到该地。"

TITLE_CANT_GO_ON "无法进行下一步"
TUT513_CANT_GO_ON "还没达成目标时，教学模式不会有新的讯息。"

TITLE_INTERIM "关于城市的建设"
TUT513A_INTERIM_SCIENCE "科技研发是不可或缺的，唯有藉由科技研发取得技术，才能生产新兵种、建造新工程、甚至建造世界奇观。当你发现一项新科技时，游戏将会跳出讯息提醒你。"

TUT513B_INTERIM_TURNS "按下<c:180,0,0>N<e>键结束之后，游戏年份的方格会以不同颜色变换，不同的颜色表示不同的国家正在调度部队及建设城市当中。"

TUT513C_INTERIM_X "可以按下教学讯息右上的<c:180,0,0>－<e>按钮，将讯息最小化。要回复讯息的话，按下画面左侧的<c:0,80,180>？<e>键即可。"

TUT513D_INTERIM_Y "开拓队生产完成时，城市人口(城市右下方的数字)将会减一，因为市民变成了开拓队。"

TUT513E_INTERIM_Z "每个部队都有个<c:0,0,180>色盾<e>，表示他的国家，玩家的色盾为蓝。同样地，城市名称及城市人口也以颜色代表所属国家。 "

TUT513F_CHECK_PROGRESS "以鼠标<c:180,0,0>左键<e>点选城市后，再点选<c:0,180,0>物资<e>卷标，将看到建造物品的图片下方，有个代表进度的色棒，右边为建造所需回合数。"

TITLE_GOAL_3_ACCOMPLISHED "目标三完成了，谷仓巳完工"
TUT514_GOAL_3_ACCOMPLISHED "谷仓能有助于食粮储存，进而提高人口成长。"

TITLE_GOAL_4 "目标四：建立第二座城市"
TUT515_GOAL_4 "更多的城市建构更强大的国家。先在<c:0,180,0>物资<e>卷标内，点选<c:0,180,0>建造<e>按钮。再选取<c:180,0,0>开拓队<e>选项，接着按下<c:0,180,0>建造<e>，开始生产建立城市所需的开拓队。"

TITLE_SETTLER_BUILT "开拓队完成了"
TUT516_SETTLER_BUILT "点选<c:0,180,0>绿色人形<e>按钮，当开拓队的<c:0,0,180>色盾<e>闪砾时，表示开拓队巳被选取。此时移动鼠标带出<c:0,180,0>绿线<e>，再按鼠标<c:180,0,0>左键<e>点击目的地，即可命令开拓队移动到该地。"

TITLE_FIND_G_SPOT "最好的建城地点" 
TUT518_FIND_G_SPOT "地图上有各式各样的地形。其中以烟草、珍珠、鳄鱼等奇珍异兽的产地附近，同时还位在草地、河流、森林等地形上的地理环境最棒，这类地形拥有为数可观的天然资源。"

TITLE_REMEMBER_N "B键为建城快键"
TUT518A_REMEMBER_N "当部队无法移动时，按下<c:0,180,0>N<e>键结束回合。当开拓队要建立城市时，按下<c:0,180,0>B<e>键即可建城。"

TITLE_GOOD_PLACES_TO_SETTLE "寻找建城好地点"
TUT518B_GOOD_PLACES_TO_SETTLE "多留意河流、草地、森林等地形。当部队移动完毕时，按下<c:0,180,0>N<e>键结束回合。当开拓队打算建立城市时，按下<c:0,180,0>B<e>键即可建城。"

TITLE_BUILD_SECOND_CITY "继续目标四：建立第二座城市"
TUT519_BUILD_SECOND_CITY "当开拓队被选取时，围绕他的旗盘式<c:0,180,0>绿色<e>线框代表建城后的城市范围，当开拓队决定建立城市时，按下<c:0,180,0>B<e>键或是按下<c:0,180,0>铲土图标<e>即可建城。"

TITLE_LEVEL_2 "教学模式等级二"
TUT519A_LEVEL_2 "恭喜你进入教学模式<c:180,0,0>等级二<e>。"

TITLE_SAVE "储存进度"
TUT519B_SAVE "按下键盘的<c:180,0,0>'ESC'<e>键，在游戏选项中按下储存游戏，即可储存游戏进度。"

TITLE_GOAL_4_ACCOMPLISHED "目标四完成，第二座城市巳建立"
TUT520_GOAL_4_ACCOMPLISHED "每个城市都需要军队保护。选取一座城市，而后在物资卷标中按下<c:0,180,0>建造<e>按钮， 再选择重装步兵，而后按下<c:0,180,0>建造<e>。" 

TITLE_2_GOAL_1 "目标一：管理概念"
TUT521_2_GOAL_1 "在学会生产、建造、移动部队等基本操作之后，接着要学习如何治理国家。"

TITLE_RESOURCES "资源：食物、物资、黄金"
TUT522_RESOURCES "资源管理是治国之本。食物产量攸关国家人口成长，物资则用在城市设施及部队的生产上，黄金可用于科技研发的预算上。"

TITLE_GET_RESOURCES "资源的取得"
TUT523_GET_RESOURCES "资源来自于工人在城市内的工作所得，城市所在的中心区块以一个工作人口计算，工人可以放置在市区内的工作区块，或着是担任科技家、商人、演艺人员等专职。" 

TITLE_WORK_VIEW "工作画面"
TUT524_WORK_VIEW "先按<c:180,0,0>左键<e>选取城市，再按<c:0,180,0>右键<e>于城市区块，会跳出工作窗口，可以按住窗口上缘进行拖曳，拖移到其它地方。"

TITLE_WORK_VIEW_ICONS "工作画面的图标意义"
TUT524A_WORK_VIEW_ICONS "画面中的工人都在城市半径内卖力耕作，工人身旁分别有三种图标，吐司代表食物、齿轮代表物资、金币代表黄金，图标中的数字代表工人产量。"

TITLE_MOVING_WORKERS "工作画面中调动工人"
TUT525_MOVING_WORKERS "要移动工人，用鼠标<c:180,0,0>左键<e>点选工人，再按下鼠标<c:180,0,0>左键<e>指定地点。可以察看小图标中的数目来评估好坏。要关闭工作情形，只要按下右上角的 X 钮即可。" 

TITLE_GET_FOOD_PRODUCTION "物资及食物的取得"
TUT526_GET_FOOD_PRODUCTION "取得食物让城市成长，取得物资以建造物品，为国家大事。"

TITLE_RULING "统治文明帝国"
TUT527_RULING "游戏中有两套设定规则，全国性设定适用于国内所有城市，地方性设定仅适用于各个城市本身。"

TITLE_MAINTAIN_HAPPY "让帝国人民感到快乐"
TUT528_MAINTAIN_HAPPY "让人民能快乐又能维持一定的生产力，是治理帝国的一大挑战。"

TITLE_GLOBAL_RULES "全国性设定"
TUT529_GLOBAL_RULES "决定人民快乐度的三个指针，分别是工时、薪资、粮给。" 

TITLE_OPEN_CIV_TAB "开启文明卷标"
TUT530_OPEN_CIV_TAB "以鼠标<c:180,0,0>左键<e>点选城市后，再点画面下方的文明卷标。"

TITLE_THE_CIV_TAB "文明卷标：调整总体政策"
TUT531_THE_CIV_TAB "以横杠调整全国性设定的三项指针，分别是决定工作时数的工时指针，决定工作所得的薪资指针，及决定食物配给额度的粮给指针。"

TITLE_HAPPINESS_IS "快乐在于拥有食物、金钱与休闲"
TUT532_HAPPINESS_IS "当人民在工作上感到压力沉重、薪资不足时，人民的快乐度将会下滑，可以从文明卷标内的<c:0,200,0>快乐度指针<e>，看出人民的快乐度。"

TITLE_UNHAPPINESS_IS "人民感到不满，有导致暴动与革命的可能"
TUT533_UNHAPPINESS_IS "当人民处于不满的状态，有引发暴动及革命的可能，进而损害国家发展。文明卷标内的<c:180,0,0>暴动<e>与<c:180,0,0>革命<e>代表国内陷入动乱的城市数目，数目 0 表示国泰民安。"

TITLE_RESEARCH_SCIENCE "科技发展是迈向先进国家之路"
TUT534_RESEARCH_SCIENCE "科技研发是国家能否进步的关键，透过科技研发，能够得到军事科技、城市设施及世界奇观的建造技术。科技的成本是黄金。" 

TITLE_SETTING_SCIENCE "科技税率的设定"
TUT535_SETTING_SCIENCE "在文明卷标的科技设定，以加减符号调整科技税率的高低。因应不同的政体，科技税率有不同的上限额度，为了加速文明进步，多半是调到最高值。"

TITLE_PUBLIC_WORKS "公共建设"
TUT536_PUBLIC_WORKS "公共建设即农田、道路、矿山等市郊地形工程，有提高产量加速交通的效果。公共建设的成本是物资。"

TITLE_SETTING_PUBLIC_WORKS "公共建设的设定"
TUT537_SETTING_PUBLIC_WORKS "试着累积公共建设物资到<c:0,180,0>200<e>单位为止。你可以从年份下方的方框中得知目前所拥有的公共建设数目。"

TITLE_2_GOAL_2 "目标二：建造农田或道路"
TUT538_2_GOAL_2 "当你将文明卷标的建设指数调成<c:0,180,0>70%<e>，每回合就会有<c:0,180,0>70%<e>物资产量用在公共建设上。<c:180,0,0>警告：<e>，一旦建设指数高于<c:180,0,0>30%<e>时，将连带减缓城市本身的一切建造。因此，建设指数不宜高过<c:180,0,0>30%<e> 。"

TITLE_GETTING_PUBLIC_WORKS "公共建设需要时间"
TUT539_GETTING_PUBLIC_WORKS "可以从年份下方的方框，见到公共建设物资的累积值，随着时间累积每个回合各个城市的物资缴纳。"

TITLE_DECREASE_PW "调降公共建设额度"
TUT539A_DECREASE_PW "以鼠标<c:180,0,0>左键<e>-点选城市，再点选文明卷标，将建设指数调到<c:180,0,0>20%<e>。由于调降了物资的上限，使得城市本身物资产量提高，进而加快了城市的物品建造速度。"

TITLE_USING_PW "建造公共建设"
TUT540_USING_PW "按下画面右下的槌子按钮。再选择农田或道路。<c:180,0,0>农田只能建在邻接水源的草原及平原地形。<e> 建立道路连结农田与城市。光标为<c:0,180,0>绿色<e>代表你可以兴建该项公共建设，<c:180,0,0>红色<e>则表示不可以。如果光标是<c:0,180,0>绿色<e>，点击鼠标于目的地就可以兴建完成。"

TITLE_GOAL_FARM "兴建农田需要两回合"
TUT542_GOAL_FARM "再按一下锤子按钮，就可以关闭公共建设选项。兴建农场需要花费<c:180,0,0>2<e>回合。按下键盘<c:180,0,0>N<e>键结束该回合。"

TITLE_GOAL_ROAD "兴建道路需要两回合"
TUT543_GOAL_ROAD "再按一下锤子按钮，就可以关闭公共建设选项。兴建道路需要花费<c:180,0,0>2<e>回合。按下键盘<c:180,0,0>N<e>键结束该回合。"


TITLE_MINE "兴建矿山"
TUT543A_MINE "盖错位置的话，可能要重新开始教学模式才能挽回。"

TITLE_2_GOAL_2_ACCOMPLISHED_FARM "目标二完成了！农田兴建完成！"
TUT544_2_GOAL_2_ACCOMPLISHED_FARM "以<c:180,0,0>左键<e>点选城市，再按<c:0,180,0>右键<e>点选城市打开工作窗口，如果目前没有工人在农田工作，可以用<c:180,0,0>左键<e>点选一个工人，再按<c:180,0,0>左键<e>到农田区块，将工人调到农田工作。"

TITLE_2_GOAL_2_ACCOMPLISHED_ROAD "目标二完成了！道路兴建完成！"
TUT545_2_GOAL_2_ACCOMPLISHED_ROAD "可以继续兴建道路，与建好的道路相连，成为公路网。"

TITLE_OPEN_WORK_VIEW_2 "将工人移到农田" # not used anymore
TUT546_OPEN_WORK_VIEW_2 "以<c:180,0,0>左键<e>点选城市，再按<c:0,180,0>右键<e>点选城市，打开工作窗口，如果目前没有工人在农田工作，可以用<c:180,0,0>左键<e>点选一个工人，再按<c:180,0,0>左键<e>到农田区块，将工人调到农田工作。"

TITLE_WAIT_FOR_PW "公共建设物资累积中"
TUT549_WAIT_FOR_PW "还得再等一会，目前的公共建设物资存量不足，继续部队的探索工作。"

TITLE_DUMBASS "笨蛋"
TUT550_DUMBASS "<c:180,0,0>你真笨。<e>"

TITLE_DESELECT "取消选择某部队"
TUT550A_DESELECT "当你已经选取某部队时，只需在地图上的任何地方按下<c:0,180,0>右键<e>，就可以取消选择状态"

TITLE_LEVEL_3 "教学模式等级三"
TUT551_LEVEL_3 "学会内政上的操作之后，等级三是开始学习如何与外国打交道，学习有关外交及战争等事务。"

TITLE_CIV_INTERACTION "国家间的互动"
TUT552_CIV_INTERACTION "国际互动是游戏中不可少的一部分，国家与国家之间，可能是同盟关系，也可能是交战关系。"

TITLE_3_GOAL_1 "目标一：找寻其它文明"
TUT553_3_GOAL_1 "发现异国<c:180,0,0>战士<e>接近[city.1.name]中。该名战士的色盾<c:220,96,0>非蓝色<e>。发现时，他正在探索[city.1.name]周围。即刻派出部队和异国战士接触。"

TITLE_MOUNTAIN_WARRIOR "异国战士进入山区"
TUT553A_MOUNTAIN_WARRIOR "异国<c:180,0,0>战士<e>进入山区。由于骑乘类部队无法进入山区，派遣战士或方阵兵把他找出来。"

TITLE_BE_PATIENT_3 "耐心点"
TUT554_BE_PATIENT_3 "耐心点，找寻其它文明也许要花点时间。弓骑虽然是优秀的侦察部队，可惜的是，骑乘类部队不能跨越山区。"

TITLE_BUILD_UNITS "建造部队"
TUT555_BUILD_UNITS "进行探索的同时，记得继续建造部队。必要时，回顾教学讯息，温习一些基本操作。"

TITLE_3_GOAL_1_ACCOMPLISHED "目标一完成！与外国接触"
TUT556_3_GOAL_1_ACCOMPLISHED "首次接触到其它文明，友善地对待他，别把部队移往异国战士的区块，那将变成攻击。"

