# Control Panel
STATUSBAR_END_TURN_BUTTON	"完成一切动作时，请按结束回合钮"
TOOLTIP_UNIT_SETTLE_ORDER_BUTTON	"设立城市"
STATUSBAR_UNIT_SLEEP_ORDER_BUTTON	"命令部队就地哨戒。"
TOOLTIP_UNIT_SLEEP_ORDER_BUTTON		"就地哨戒"
STATUSBAR_UNIT_DISBAND_ORDER_BUTTON	"命令部队解散。"
TOOLTIP_UNIT_DISBAND_ORDER_BUTTON	"解散部队"
STATUSBAR_UNIT_CANCEL_ORDER_BUTTON	"取消目前指令。"
TOOLTIP_UNIT_CANCEL_ORDER_BUTTON	"取消命令"
STATUSBAR_UNIT_FORTIFY_ORDER_BUTTON	"命令部队建筑防御工事。"
TOOLTIP_UNIT_FORTIFY_ORDER_BUTTON	"建筑防御工事"
STATUSBAR_UNIT_PILLAGE_ORDER_BUTTON	"命令部队掠夺该地。"
TOOLTIP_UNIT_PILLAGE_ORDER_BUTTON	"掠夺"
STATUSBAR_UNIT_PIRATE_ORDER_BUTTON	"命令部队抢劫贸易路线。"
TOOLTIP_UNIT_PIRATE_ORDER_BUTTON	"抢劫贸易路线"
STATUSBAR_UNIT_UNITSTATS_DISPLAY	"A=战力，R=远距攻击力，D=防御力, M=移动力"
TOOLTIP_UNIT_UNITSTATS_DISPLAY		"部队能力属性"
STATUSBAR_UNIT_UNITSTATS_ATT_DISPLAY	"显示部队的战力。"
TOOLTIP_UNIT_UNITSTATS_ATT_DISPLAY	"战力"
STATUSBAR_UNIT_UNITSTATS_DEF_DISPLAY	"显示部队的防御能力。"
TOOLTIP_UNIT_UNITSTATS_DEF_DISPLAY	"防御能力"
STATUSBAR_UNIT_UNITSTATS_RNG_DISPLAY	"显示部队远距攻击能力。"
TOOLTIP_UNIT_UNITSTATS_RNG_DISPLAY	"远距攻击"
STATUSBAR_UNIT_UNITSTATS_BOM_DISPLAY	"显示部队的杀伤力。"
TOOLTIP_UNIT_UNITSTATS_BOM_DISPLAY	"威力"
STATUSBAR_UNIT_UNITSTATS_MOV_DISPLAY	"显示部队的移动能力。"
TOOLTIP_UNIT_UNITSTATS_MOV_DISPLAY	"移动能力"
STATUSBAR_UNIT_UNITSTATS_ARM_DISPLAY	"显示部队的装甲强度。"
TOOLTIP_UNIT_UNITSTATS_ARM_DISPLAY	"装甲强度"
STATUSBAR_UNIT_UNITSTATS_FUL_DISPLAY	"显示部队的油箱容量。"
TOOLTIP_UNIT_UNITSTATS_FUL_DISPLAY	"油箱容量"
STATUSBAR_UNIT_ARMYSTATS_DIPLAY		"显示部队的各项能力值。"
TOOLTIP_UNIT_ARMYSTATS_DIPLAY		"部队属性"
STATUSBAR_UNIT_UNITINFO_BUTTON		"按此钮以显示军务官窗口。"
TOOLTIP_UNIT_UNITINFO_BUTTON		"军务官窗口"
STATUSBAR_UNIT_ARMYINFO_BUTTON		"点选此钮，显示军务官窗口。"
TOOLTIP_UNIT_ARMYINFO_BUTTON		"军务官窗口"

# Tile Improvements Tab
STATUSBAR_TILEIMP_MAINTAB		"显示工程建设。"
TOOLTIP_TILEIMP_MAINTAB			"工程建设"
STATUSBAR_TILEIMP_TOTAL_PW_DISPLAY	"显示公共建设生产力的累积数量。"
TOOLTIP_TILEIMP_TOTAL_PW_DISPLAY	"公共建设生产力数量"
STATUSBAR_TILEIMP_PW_RATE_DISPLAY	"目前各城公共建设生产力上缴的比例。"
TOOLTIP_TILEIMP_PW_RATE_DISPLAY		"公共建设比例"
STATUSBAR_TILEIMP_LANDIMP_BUTTON	"显示地上设施。"
TOOLTIP_TILEIMP_LANDIMP_BUTTON		"地上设施"
STATUSBAR_TILEIMP_OCEANIMP_BUTTON	"显示海洋设施"
TOOLTIP_TILEIMP_OCEANIMP_BUTTON		"海洋设施"
STATUSBAR_TILEIMP_SPECIALIMP_BUTTON	"显示特殊设施"
TOOLTIP_TILEIMP_SPECIALIMP_BUTTON	"特殊设施"
STATUSBAR_TILEIMP_TILEIMPMENU_SIDETAB	"按此钮以检视地上设施选单。"
TOOLTIP_TILEIMP_TILEIMPMENU_SIDETAB	"地上设施选单"
STATUSBAR_TILEIMP_TERRAFORMMENU_SIDETAB	"按此钮以检视地形改造选单。"
TOOLTIP_TILEIMP_TERRAFORMMENU_SIDETAB	"地形改造选单"
STATUSBAR_TILEIMP_SELECT_FARM1_BUTTON	"在草地及平原上开垦农田。"
TOOLTIP_TILEIMP_SELECT_FARM1_BUTTON	"种田"
STATUSBAR_TILEIMP_SELECT_FARM2_BUTTON	"在草地及平原上开垦改良田。"
TOOLTIP_TILEIMP_SELECT_FARM2_BUTTON	"改良田"
STATUSBAR_TILEIMP_SELECT_FARM3_BUTTON	"在草地及平原上搭建水栽田。"
TOOLTIP_TILEIMP_SELECT_FARM3_BUTTON	"水栽田"
STATUSBAR_TILEIMP_SELECT_MINE1_BUTTON	"矿场只能在陆地开挖。"
TOOLTIP_TILEIMP_SELECT_MINE1_BUTTON	"矿场"
STATUSBAR_TILEIMP_SELECT_MINE2_BUTTON	"改良矿场只能在陆地开挖。"
TOOLTIP_TILEIMP_SELECT_MINE2_BUTTON	"改良矿场"
STATUSBAR_TILEIMP_SELECT_MINE3_BUTTON	"先进矿场只能在陆地开挖。"
TOOLTIP_TILEIMP_SELECT_MINE3_BUTTON	"先进矿场"
STATUSBAR_TILEIMP_SELECT_ROAD1_BUTTON	"道路可以铺设在任何陆地地形。"
TOOLTIP_TILEIMP_SELECT_ROAD1_BUTTON	"道路"
STATUSBAR_TILEIMP_SELECT_ROAD2_BUTTON	"铁路可以铺设在任何陆地地形。"
TOOLTIP_TILEIMP_SELECT_ROAD2_BUTTON	"铁道"
STATUSBAR_TILEIMP_SELECT_ROAD3_BUTTON	"磁浮车道可以铺设在任何陆地地形。"
TOOLTIP_TILEIMP_SELECT_ROAD3_BUTTON	"磁浮车道"
STATUSBAR_TILEIMP_SELECT_ATM1_BUTTON	"商栈可以设在任何陆地地形"
TOOLTIP_TILEIMP_SELECT_ATM1_BUTTON	"商栈"
STATUSBAR_TILEIMP_SELECT_ATM2_BUTTON	"购物中心可建于任何陆地地形。"
TOOLTIP_TILEIMP_SELECT_ATM2_BUTTON	"购物中心"
STATUSBAR_TILEIMP_SELECT_ATM3_BUTTON	"自然保育区可以设在任何陆地地形。"
TOOLTIP_TILEIMP_SELECT_ATM3_BUTTON	"自然保育区"
STATUSBAR_TILEIMP_SELECT_NET1_BUTTON	"定置网只能架设于城市周边的海洋。"
TOOLTIP_TILEIMP_SELECT_NET1_BUTTON	"定置网"
STATUSBAR_TILEIMP_SELECT_NET2_BUTTON	"渔场只能架设于城市周边的海洋。"
TOOLTIP_TILEIMP_SELECT_NET2_BUTTON	"渔场"
STATUSBAR_TILEIMP_SELECT_NET3_BUTTON	"自动化渔场只能架设于城市周边的海洋。"
TOOLTIP_TILEIMP_SELECT_NET3_BUTTON	"自动化渔场"
STATUSBAR_TILEIMP_SELECT_RIG1_BUTTON	"海底矿场只能设在海洋地形。"
TOOLTIP_TILEIMP_SELECT_RIG1_BUTTON	"海底矿场"
STATUSBAR_TILEIMP_SELECT_RIG2_BUTTON	"海底改良矿场只能设在海洋地形。"
TOOLTIP_TILEIMP_SELECT_RIG2_BUTTON	"海底改良矿场"
STATUSBAR_TILEIMP_SELECT_RIG3_BUTTON	"海底先进矿场只能设在海洋地形。"
TOOLTIP_TILEIMP_SELECT_RIG3_BUTTON	"海底先进矿场"
STATUSBAR_TILEIMP_SELECT_TUNNEL_BUTTON	"海底隧道只能建在海洋地形。"
TOOLTIP_TILEIMP_SELECT_TUNNEL_BUTTON	"海底隧道"
STATUSBAR_TILEIMP_SELECT_PIER1_BUTTON	"港口只能建在岸边的海洋地形。"
TOOLTIP_TILEIMP_SELECT_PIER1_BUTTON	"港口"
STATUSBAR_TILEIMP_SELECT_PIER2_BUTTON	"钻油平台只能建在海洋地形。"
TOOLTIP_TILEIMP_SELECT_PIER2_BUTTON	"钻油平台"
STATUSBAR_TILEIMP_SELECT_PIER3_BUTTON	"码头应布置于海岸线旁的海洋方格内。"
TOOLTIP_TILEIMP_SELECT_PIER3_BUTTON	"码头"
STATUSBAR_TILEIMP_SELECT_LISTENPOST_BUTTON	"听哨站应设于国境边界。"
TOOLTIP_TILEIMP_SELECT_LISTENPOST_BUTTON	"听哨站"
STATUSBAR_TILEIMP_SELECT_RADARTOWER_BUTTON	"雷达站应设于国境边界。"
TOOLTIP_TILEIMP_SELECT_RADARTOWER_BUTTON	"雷达站"
STATUSBAR_TILEIMP_SELECT_FORT_BUTTON	"防御工事可以盖在任何陆地地形。"
TOOLTIP_TILEIMP_SELECT_FORT_BUTTON	"防御工事"
STATUSBAR_TILEIMP_SELECT_AIRBASE_BUTTON	"空军基地可以盖在任何陆地地形。"
TOOLTIP_TILEIMP_SELECT_AIRBASE_BUTTON	"空军基地"
STATUSBAR_TILEIMP_SELECT_SONAR_BUOYS_BUTTON	"声纳浮标能够放置在海洋地形。"
TOOLTIP_TILEIMP_SELECT_SONAR_BUOYS_BUTTON	"声纳浮标"
STATUSBAR_TILEIMP_SELECT_OBELISK_BUTTON	"盖亚方尖塔可以盖在任何陆地地形。"
TOOLTIP_TILEIMP_SELECT_OBELISK_BUTTON	"盖亚方尖塔"
STATUSBAR_TILEIMP_LANDTERRA_BUTTON	"点选此钮以显示陆地地形改造选单。"
TOOLTIP_TILEIMP_LANDTERRA_BUTTON	"陆地改造"
STATUSBAR_TILEIMP_OCEANTERRA_BUTTON	"点选此钮以显示海洋地形改造选单。"
TOOLTIP_TILEIMP_OCEANTERRA_BUTTON	"海洋改造"
STATUSBAR_TILEIMP_SPECIALTERRA_BUTTON	"除了陆地及海洋地形之外，没有其它地形改造选项。"
TOOLTIP_TILEIMP_SPECIALTERRA_BUTTON	"无此地形"
STATUSBAR_TILEIMP_SELECT_BROWN_HILL_BUTTON	"可将原陆地地形改为沙丘地形。"
TOOLTIP_TILEIMP_SELECT_BROWN_HILL_BUTTON	"沙丘"
STATUSBAR_TILEIMP_SELECT_BROWN_MOUNTAIN_BUTTON	"可将原陆地地形改为沙漠山脉地形。"
TOOLTIP_TILEIMP_SELECT_BROWN_MOUNTAIN_BUTTON	"沙漠山脉"
STATUSBAR_TILEIMP_SELECT_DESERT_BUTTON	"可将原陆地地形改为沙漠地形。"
TOOLTIP_TILEIMP_SELECT_DESERT_BUTTON	"沙漠"
STATUSBAR_TILEIMP_SELECT_DECIDUOUS_BUTTON	"可将原陆地地形改为森林地形。"
TOOLTIP_TILEIMP_SELECT_DECIDUOUS_BUTTON		"森林"
STATUSBAR_TILEIMP_SELECT_GRASSLND_BUTTON	"可将原陆地地形改为草地地形。"
TOOLTIP_TILEIMP_SELECT_GRASSLND_BUTTON		"草地"
STATUSBAR_TILEIMP_SELECT_HILL_BUTTON	"可将原陆地地形改为丘陵地形。"
TOOLTIP_TILEIMP_SELECT_HILL_BUTTON	"丘陵"
STATUSBAR_TILEIMP_SELECT_JUNGLE_BUTTON	"可将原陆地地形改为丛林地形。"
TOOLTIP_TILEIMP_SELECT_JUNGLE_BUTTON	"丛林"
STATUSBAR_TILEIMP_SELECT_MOUNTAIN_BUTTON	"可将原陆地地形改为山脉地形。"
TOOLTIP_TILEIMP_SELECT_MOUNTAIN_BUTTON		"山脉"
STATUSBAR_TILEIMP_SELECT_PLAINS_BUTTON	"可将原陆地地形改为平原地形。"
TOOLTIP_TILEIMP_SELECT_PLAINS_BUTTON	"平原"
STATUSBAR_TILEIMP_SELECT_SWAMP_BUTTON	"可将原陆地地形改为沼泽地形。"
TOOLTIP_TILEIMP_SELECT_SWAMP_BUTTON	"沼泽"
STATUSBAR_TILEIMP_SELECT_WHITE_HILL_BUTTON	"可将原陆地地形改为极地丘陵地形。"
TOOLTIP_TILEIMP_SELECT_WHITE_HILL_BUTTON	"极地丘陵"
STATUSBAR_TILEIMP_SELECT_WHITE_MOUNTAIN_BUTTON	"可将原陆地地形改为极地山脉地形。"
TOOLTIP_TILEIMP_SELECT_WHITE_MOUNTAIN_BUTTON	"极地山脉"
STATUSBAR_TILEIMP_SELECT_TUNDRA_BUTTON	"可将原陆地地形改为冻原地形。"
TOOLTIP_TILEIMP_SELECT_TUNDRA_BUTTON	"冻原"
STATUSBAR_TILEIMP_SELECT_GLACIER_BUTTON	"可将原陆地地形改为极地山脉地形。"
TOOLTIP_TILEIMP_SELECT_GLACIER_BUTTON	"冰河"
STATUSBAR_TILEIMP_SELECT_SHALWTR_BUTTON	"可将原海洋地形改为浅滩地形。"
TOOLTIP_TILEIMP_SELECT_SHALWTR_BUTTON	"浅滩"
STATUSBAR_TILEIMP_UNKWNWTR_BUTTON	"将原海洋地形改变成任一地形。"
TOOLTIP_TILEIMP_UNKWNWTR_BUTTON		"未命名海洋地形"
STATUSBAR_TILEIMP_PELAGIC_BUTTON	"可将原海洋地形改为浅海地形。"
TOOLTIP_TILEIMP_PELAGIC_BUTTON		"浅海"
STATUSBAR_TILEIMP_BENTHIC_BUTTON	"可将原海洋地形改为深海地形。"
TOOLTIP_TILEIMP_BENTHIC_BUTTON		"深海"
STATUSBAR_TILEIMP_CONTSHELF_BUTTON	"可将原海洋地形改为大陆架地形。"
TOOLTIP_TILEIMP_CONTSHELF_BUTTON	"大陆架"
STATUSBAR_TILEIMP_SUBCANYON_BUTTON	"可将原海洋地形改为海沟地形。"
TOOLTIP_TILEIMP_SUBCANYON_BUTTON	"海沟"
STATUSBAR_TILEIMP_MTNRIDGE_BUTTON	"可将原海洋地形改为海底山脉地形。"
TOOLTIP_TILEIMP_MTNRIDGE_BUTTON		"海底山脉"
STATUSBAR_TILEIMP_OCEANMTN_BUTTON	"可将原海洋地形改为海底山脉地形。"
TOOLTIP_TILEIMP_OCEANMTN_BUTTON		"海底山脉"

# Messages Tab
STATUSBAR_MESSAGES_MAINTAB		"显示游戏讯息记录。"
TOOLTIP_MESSAGES_MAINTAB		"游戏讯息"
STATUSBAR_MESSAGES_READMESSAGE_BUTTON	"点选此处可读取讯息内容。"
TOOLTIP_MESSAGES_READMESSAGE_BUTTON	"读取讯息"
STATUSBAR_MESSAGES_READNEWSPAPER_BUTTON	"点选此处可读取报纸内容。"
TOOLTIP_MESSAGES_READNEWSPAPER_BUTTON	"读取报纸"

# Advisor Selection Box
# aka "The Helm"
STATUSBAR_SHORTCUTPAD_YEARTURN_TOGGLE_BUTTON	"切换以年份或回合为计时标准。"
TOOLTIP_SHORTCUTPAD_YEARTURN_TOGGLE_BUTTON	"年份/回合切换钮"
STATUSBAR_SHORTCUTPAD_GOTO_CIVSCR_BUTTON	"按此钮以显示帝国官窗口。"
TOOLTIP_SHORTCUTPAD_GOTO_CIVSCR_BUTTON		"帝国官"
STATUSBAR_SHORTCUTPAD_GOTO_SCIENCESCR_BUTTON	"按此钮以显示科技官窗口。"
TOOLTIP_SHORTCUTPAD_GOTO_SCIENCESCR_BUTTON	"科技官"
STATUSBAR_SHORTCUTPAD_GOTO_TRADESCR_BUTTON	"按此钮以显示贸易官窗口。"
TOOLTIP_SHORTCUTPAD_GOTO_TRADESCR_BUTTON	"贸易官"
STATUSBAR_SHORTCUTPAD_GOTO_CITYSCR_BUTTON	"按此钮以显示市政官窗口。"
TOOLTIP_SHORTCUTPAD_GOTO_CITYSCR_BUTTON		"市政官"
STATUSBAR_SHORTCUTPAD_NATLSCR_BUTTON		"按此钮以显示国政官窗口。"
TOOLTIP_SHORTCUTPAD_NATLSCR_BUTTON		"国政官"
STATUSBAR_SHORTCUTPAD_GOTO_UNITSCR_BUTTON	"按此钮以显示部队官窗口。"
TOOLTIP_SHORTCUTPAD_GOTO_UNITSCR_BUTTON		"军务官"
STATUSBAR_SHORTCUTPAD_GOTO_DIPSCR_BUTTON	"按此钮以显示外交官窗口。"
TOOLTIP_SHORTCUTPAD_GOTO_DIPSCR_BUTTON		"外务官"
STATUSBAR_SHORTCUTPAD_GOTO_LIBRARY_BUTTON	"查阅大图书馆。"
TOOLTIP_SHORTCUTPAD_GOTO_LIBRARY_BUTTON		"大图书馆"

# Minimap
STATUSBAR_MINIMAP_SHOW_FILTER_BUTTON		"按此钮以决定地图分辨率。"
TOOLTIP_MINIMAP_SHOW_FILTER_BUTTON		"高画质/低画质地图"
STATUSBAR_MINIMAP_SHOW_BORDERS_BUTTON		"按此钮以决定显示或隐藏国界。"
TOOLTIP_MINIMAP_SHOW_BORDERS_BUTTON		"显示/隐藏国界"
STATUSBAR_MINIMAP_SHOW_CITIES_BUTTON		"按此钮以决定显示或隐藏城市。"
TOOLTIP_MINIMAP_SHOW_CITIES_BUTTON		"显示/隐藏城市"
STATUSBAR_MINIMAP_SHOW_UNITS_BUTTON		"按此钮以决定显示或隐藏部队。"
TOOLTIP_MINIMAP_SHOW_UNITS_BUTTON		"显示/隐藏部队"
STATUSBAR_MINIMAP_SHOW_TRADE_BUTTON 		"按此钮以决定显示或隐藏贸易路线。"
TOOLTIP_MINIMAP_SHOW_TRADE_BUTTON		"显示/隐藏贸易路线"
STATUSBAR_MINIMAP_SHOW_TERRAIN_BUTTON 		"按此钮以决定显示或隐藏代表不同地形的色彩。"
TOOLTIP_MINIMAP_SHOW_TERRAIN_BUTTON		"显示/隐藏地形样式"

# Empire Manager Screen
#
#	Commerce Window
STATUSBAR_DOMADV_COMM_WAGES_BUTTON		"显示用于人民工作薪资上的总支出。"
TOOLTIP_DOMADV_COMM_WAGES_BUTTON		"薪资支出"
STATUSBAR_DOMADV_COMM_UPKEEP_BUTTON		"维持城市设施的经费成本。"
TOOLTIP_DOMADV_COMM_UPKEEP_BUTTON       	"城市建设维持费用"
STATUSBAR_DOMADV_COMM_SCIENCE_BUTTON		"科技研究耗费的金额。"
TOOLTIP_DOMADV_COMM_SCIENCE_BUTTON		"科技支出"
STATUSBAR_DOMADV_COMM_CRIME_BUTTON		"治安不良造成的金钱损失。"
TOOLTIP_DOMADV_COMM_CRIME_BUTTON		"犯罪损失"
STATUSBAR_DOMADV_COMM_SAVINGS_BUTTON		"国库黄金总数。"
TOOLTIP_DOMADV_COMM_SAVINGS_BUTTON		"国库"
STATUSBAR_DOMADV_FOOD_REQUIRED_BUTTON		""
STATUSBAR_DOMADV_FOOD_COLLECTED_BUTTON		""


#	Production Window
STATUSBAR_DOMADV_PROD_MILUPKEEP_BUTTON	"维持现有军队的经费成本。"
TOOLTIP_DOMADV_PROD_MILUPKEEP_BUTTON	"军队维持费用"
STATUSBAR_DOMADV_PROD_PW_BUTTON		"显示公共建设的黄金耗费总额。"
TOOLTIP_DOMADV_PROD_PW_BUTTON			"公共建设费用"
STATUSBAR_DOMADV_PROD_CRIME_BUTTON		"显示治安不良造成的生产力损失总额。" 
TOOLTIP_DOMADV_PROD_CRIME_BUTTON		"犯罪损失"
STATUSBAR_DOMADV_PROD_CITYUSE_BUTTON	"显示城市的生产力消耗总数。"
TOOLTIP_DOMADV_PROD_CITYUSE_BUTTON		"城市支出"

#	Food Window
STATUSBAR_DOMADV_FOOD_CONSUMED_BUTTON	"显示维持城市人口的粮食数量。"
TOOLTIP_DOMADV_FOOD_CONSUMED_BUTTON		"基本消耗食量"
STATUSBAR_DOMADV_FOOD_CRIME_BUTTON		"治安不良造成的粮食损失总量。"
TOOLTIP_DOMADV_FOOD_CRIME_BUTTON		"治安损失"
STATUSBAR_DOMADV_FOOD_STORED_BUTTON		"显示粮食储存数量。"
TOOLTIP_DOMADV_FOOD_STORED_BUTTON		"粮食存量"

#	Main Domestic Advisor Window
STATUSBAR_DOMADV_MAIN_SCITAX_DECR_BUTTON	"降低帝国在科技研究上的花费。"
TOOLTIP_DOMADV_MAIN_SCITAX_DECR_BUTTON	"调降科技税率"
STATUSBAR_DOMADV_MAIN_SCITAX_INCR_BUTTON	"增加帝国在科技研究上的经费。"
TOOLTIP_DOMADV_MAIN_SCITAX_INCR_BUTTON	"调升科技税率"
STATUSBAR_DOMADV_MAIN_SCITAX_DISPLAY	"显示帝国于科技研究上所投入的资源比重。"
TOOLTIP_DOMADV_MAIN_SCITAX_DISPLAY		"科技税率"
STATUSBAR_DOMADV_MAIN_GOVT_DISPLAY		"显示帝国目前采用何种政体。"
TOOLTIP_DOMADV_MAIN_GOVT_DISPLAY		"当前政体"
STATUSBAR_DOMADV_MAIN_CHANGE_GOVT_BUTTON	"按此钮以改变帝国政体。"
TOOLTIP_DOMADV_MAIN_CHANGE_GOVT_BUTTON	"改变政体"
STATUSBAR_DOMADV_MAIN_WAGES_SLIDER		"改变人民薪资设定。"
TOOLTIP_DOMADV_MAIN_WAGES_SLIDER		"薪资"
STATUSBAR_DOMADV_MAIN_COMM_ADVISOR_BUTTON	"参询商业顾问的意见。"
TOOLTIP_DOMADV_MAIN_COMM_ADVISOR_BUTTON	"商业顾问"
STATUSBAR_DOMADV_MAIN_GOLD_DISPLAY		"显示帝国黄金总数。"
TOOLTIP_DOMADV_MAIN_GOLD_DISPLAY		"黄金数目"
STATUSBAR_DOMADV_MAIN_WORKDAY_SLIDER	"改变人民工时设定。"
TOOLTIP_DOMADV_MAIN_WORKDAY_SLIDER		"工时"
STATUSBAR_DOMADV_MAIN_PRODADV_BUTTON	"参询生产顾问的意见。"
TOOLTIP_DOMADV_MAIN_PRODADV_BUTTON		"生产顾问"
STATUSBAR_DOMADV_MAIN_PROD_DISPLAY		"显示帝国生产力总数。"
TOOLTIP_DOMADV_MAIN_PROD_DISPLAY		"生产力数目"
STATUSBAR_DOMADV_MAIN_RATIONS_SLIDER	"改变人民粮给设定。"
TOOLTIP_DOMADV_MAIN_RATIONS_SLIDER		"粮给"
STATUSBAR_DOMADV_MAIN_FOODADV_BUTTON	"参询粮食顾问的意见。"
TOOLTIP_DOMADV_MAIN_FOODADV_BUTTON		"粮食顾问"
STATUSBAR_DOMADV_MAIN_FOOD_DISPLAY		"显示帝国粮食总数。"
TOOLTIP_DOMADV_MAIN_FOOD_DISPLAY		"粮食数目"
STATUSBAR_DOMADV_MAIN_SHOWADVICE_BUTTON	"按此钮以显示或隐藏顾问画面"
TOOLTIP_DOMADV_MAIN_SHOWADVICE_BUTTON	"显示/隐藏顾问画面"
STATUSBAR_DOMADV_MAIN_CLOSE_BUTTON		"按此钮以关闭国政官窗口。"
TOOLTIP_DOMADV_MAIN_CLOSE_BUTTON		"关闭"
STATUSBAR_DOMADV_MAIN_CIVPOP_DISPLAY	"显示帝国人口总数。"
TOOLTIP_DOMADV_MAIN_CIVPOP_DISPLAY		"人口数目"
STATUSBAR_DOMADV_MAIN_TOTALCITIES_DISPLAY	"显示帝国城市总数。"
TOOLTIP_DOMADV_MAIN_TOTALCITIES_DISPLAY	"城市数目"
STATUSBAR_DOMADV_MAIN_HAPPY_DISPLAY		"显示帝国人民幸福度。"
TOOLTIP_DOMADV_MAIN_HAPPY_DISPLAY		"幸福度"
STATUSBAR_DOMADV_MAIN_PW_INCR_BUTTON	"降低帝国在公共建设上的花费。"
TOOLTIP_DOMADV_MAIN_PW_INCR_BUTTON		"调降公共建设比例"
STATUSBAR_DOMADV_MAIN_PW_DECR_BUTTON	"增加帝国在公共建设上的花费。"
TOOLTIP_DOMADV_MAIN_PW_DECR_BUTTON		"调升公共建设比例"

# Science Advisor Screen
#
#	Science Advice Window
STATUSBAR_SCIADV_MAIN_SCITAX_DECR_BUTTON	"按此钮以减低科技税率。"
TOOLTIP_SCIADV_MAIN_SCITAX_DECR_BUTTON		"调降科技税率"
STATUSBAR_SCIADV_MAIN_SCITAX_INCR_BUTTON	"按此钮以提高科技税率。"
TOOLTIP_SCIADV_MAIN_SCITAX_INCR_BUTTON	"调升科技税率"
STATUSBAR_SCIADV_MAIN_MAXTAX_DISPLAY	"将科技税率调至目前政体的最高上限。"
TOOLTIP_SCIADV_MAIN_MAXTAX_DISPLAY	"科技税率最大化"
STATUSBAR_SCIADV_MAIN_GOLDTOSCI_DISPLAY	"显示科技研发耗费总额。"
TOOLTIP_SCIADV_MAIN_GOLDTOSCI_DISPLAY	"科技支出"
STATUSBAR_SCIADV_MAIN_SCIFROMCITIES_DISPLAY	"显示城市科学家对科技研究贡献的数值。"
TOOLTIP_SCIADV_MAIN_SCIFROMCITIES_DISPLAY	"城市科学贡献"
STATUSBAR_SCIADV_MAIN_CHGRESEARCH_BUTTON	"按此钮以选择新的研究项目。"
