#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Main string file (Chinese Simple)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the main strings.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Moved build list sequence strings to gl_str.txt.
#   - April 7th 2005 Martin Gühmann
# - Added str_ldl_OptimizeSpecialists string - April 7th 2005 Martin Gühmann 
# - Added str_ldl_DD_OPTIMIZE_SLIDERS for sliders optimization button. 
#   - April 9th 2005 Martin Gühmann
# - Moved Great Libary title string from add_str.txt. - April 9th 2005 Martin Gühmann
# - Added battleview window strings for attack building bonuses, and modified
#   new combat names. - 07-Mar-2009 Maq
# - Added new strings for redesigned City Window. - 28-Mar-2009 Maq
# - Added strings for political map - 6-Jul-2009 EPW
# - Added new strings for redesigned empire manager. - 22-Jul-2009 Maq
# -Added strings for view capital buttons - 4-Jan-EPW
# -Added string for relationships 7-Jan-EPW
#----------------------------------------------------------------------------

##Those darn hard-coded strings 03-09-99
str_ldl_Already_Offer	"已提供特产，要变更吗？"
str_tbl_ldl_Average "一般的"
str_tbl_ldl_Strong "强的"
str_tbl_ldl_Very_Strong "很强的"

str_tbl_ldl_You_Dont_Have_Enough_Gold "你没有足够的黄金来赠与。"

str_ldl_CAPS_TARGET_CITY	"目标城市"
str_ldl_CAPS_TYPE	"类型"
str_ldl_CAPS_GAIN_LOSS	"获得/失去"

##New Pop Help##

str_ldl_Alien "外星人实验室"
str_ldl_Mscreen "纪念馆画面"
str_ldl_Ulock "释放群组"
str_ldl_Glock  "锁定群组"
str_ldl_Wow "世界奇观"
str_ldl_Imps "城内设施"
str_ldl_Unis "部队"
str_ldl_Prod "物资"
str_ldl_Happ "快乐度"
str_ldl_Goldy "黄金"
str_ldl_Scien "科技"
str_ldl_Food "食物"
str_ldl_Veter "菁英部队"
str_ldl_Activ "主动性防卫"
str_ldl_Space "激活/关闭太空视野"
str_ldl_Tile "放置区域增强设施"
str_ldl_Zoomin "放大"
str_ldl_Zoomout "缩小"
str_ldl_Year "游戏年份/回合"
str_ldl_Public "公共建设预算"
str_ldl_Savings "黄金存量"
str_ldl_Nunit "下个部队"
str_ldl_Ncity "下座城市"
str_ldl_Undo "消除该回合动作"
str_ldl_End "结束该回合"
str_ldl_Clock "剩下回合数"
str_ldl_Tbuild "物资成本"
str_ldl_Tprod "建造之回合数"
str_ldl_Specforce "特殊部队"
str_ldl_Bomb "轰炸攻击能力"
str_ldl_Supp "# 正在建造之部队"

str_ldl_AdvisorYear "年份"
str_ldl_AdvisorTurn "回合"

### New Stuff -Probably not implemented ###

#Barbarian Threat
#Rename City
#Delete

###Keeper Stuff###

## KEEPER STUFF 1 ##

str_ldl_ARDM_nospace	"A/R/D/M"
str_ldl_UPKEEP			"维持费用"
str_tbl_ldl_Total_Upkeep	"总维持费用"
str_tbl_ldl_NOT_BUILDING	"没有建立"
str_ldl_CLOSE			"关闭"
str_tbl_ldl_S	"S"
str_ldl_small_Disband	"解散"
str_tbl_ldl_DisbandButton	"解散按钮"
str_ldl_Cost_	"成本"
str_tbl_ldl_Speed_Cities "加速城市"
str_tbl_ldl_Seconds_Per_City_COLON "每座城市的秒数："

# strings for scoring list
str_tbl_ldl_Positive_Points_For_Colon	"加分："
str_tbl_ldl_Negative_Points_For_Colon	"扣分："
str_tbl_ldl_Total_Positive_Points_Colon	"总加分："
str_tbl_ldl_Total_Negative_Points_Colon "总扣分："
str_tbl_ldl_Total_Points_Colon "总分："
str_tbl_ldl_Civ_Score_Colon		"文明积分："


#Who knows where this goes?#
UNIT_ORDER_TRANSPORTED "正在传送"
str_ldl_END	"结束"
str_ldl_End_Tutorial_Dialog	"你确定要结束教学模式了吗？"
str_ldl_Skill_Level	"技术等级"
str_ldl_Barbarian_Threat	"野蛮人威胁"
str_ldl_LAUNCH			"进入游戏"
str_ldl_Random_Custom		"随机/自订"


# additional Info screen strings
str_ldl_Top_5_Cities	"前五名的城市"
str_ldl_Power_Graph		"权力图"
str_ldl_Civ_Score		"文明积分"
str_ldl_Year_Founded_COLON	"你找到了："
str_ldl_Turns_to_Next_Disaster	"离发生下次灾害的回合数"

str_ldl_CAPS_MAKE_QUEUE	"建立程序"
str_ldl_CAPS_LOAD_QUEUE "加载程序"
str_ldl_CAPS_DELETE_QUEUE "删除程序"
str_tbl_ldl_Your_queue_has_been_saved	"你的程序已经被储存起来了。"
str_ldl_LOAD	"读取加载"
str_ldl_CAPS_ASSIGN	"分配"
str_ldl_CAPS_CONTENTS	"内容"

str_ldl_Disband_seleted_unit	"解散所选的部队吗？"
str_ldl_Disband_selected_city	"解散所选的城市吗？"
str_ldl_MY_GOODS	"我的货物"

str_ldl_CAPS_DOMESTIC	"本地的"
str_ldl_CAPS_FOREIGN	"国外的"

str_ldl_NEXT	"下一步"

# strings for victory window
str_ldl_YOUR_CIVILIZATION_SCORE_IS_COLON	"你的文明积分是："
str_ldl_YOUR_NAME_WILL_GO_DOWN_IN_THE_ANNALS_OF_HISTORY_AS	"你的名字在历史编年上将会被形容成"
str_ldl_POPULATION_COLON	"人口数："
str_ldl_CIV_SCORE			"文明积分"
str_ldl_POWER_GRAPH			"权力图"
str_ldl_DEFEAT				"击败"

str_ldl_THE_DESTITUTE			"穷困的人"
str_ldl_THE_SQUIRREL_HEARTED	"胆小如鼠的人"
str_ldl_THE_RED_FACED			"红脸的人"
str_ldl_THE_WEARY				"疲惫的人"
str_ldl_THE_MEEK				"柔顺的人"
str_ldl_THE_UNREADY				"迟缓的人"
str_ldl_THE_EARNEST				"认真的人"
str_ldl_THE_WISE				"聪明的人"
str_ldl_THE_VALIANT				"勇敢的人"
str_ldl_THE_LION_HEARTED		"有雄才大略心的人"
str_ldl_THE_INDOMITABLE			"不屈不挠的人"
str_ldl_THE_CIV_LORD			"具有文明霸主相的人"	

str_ldl_Small_Type				"类别"
str_ldl_Caravans_COLON			"商队："
str_ldl_Gold_From_Trade_COLON	"贸易收入："
str_tbl_ldl_Goods				"货物"
str_tbl_ldl_Exports				"出口"
str_tbl_ldl_View_Goods			"显示货物"
str_tbl_ldl_View_Exports		"显示出口"
str_tbl_ldl_From				"从"
str_tbl_ldl_Destination			"目的地"
str_tbl_ldl_upd001_tga	"upd001.tga"
str_tbl_ldl_upd005_tga	"upd005.tga"

str_ldl_Abort	"忽略"
str_ldl_Open	"开启"
str_ldl_Close	"关闭"

str_ldl_Activlink_Internet	"主动式联机/网际网络 \n需要一条主动式拨接系统， \n或是可直接连上网际网络的方式。"
str_ldl_ADD2	"增加"
str_ldl_ADD	"增加"
str_ldl_Add_AI	"增强人工智能"
str_ldl_Advance	"科技"
str_ldl_Advance_	"科技"
str_ldl_Advances	"科技"
str_ldl_ADVANCES_KNOWN_TO_COLON	"已知科技："
str_ldl_Advertise	"刊登广告。成本为500单位的黄金"
str_ldl_AGAINST_YOU	"对你"
str_ldl_Ages	"年代"
str_ldl_Aggression	"侵略性"
str_ldl_AI	"人工智能"
str_ldl_Aid_Uprising	"鼓励起义。成本为不固定"
str_ldl_Air_Force	"空中武力"
str_ldl_All_Advancements	"所有的科技"
str_ldl_ALLIANCE	"联盟"
str_ldl_Alpha_Blending	"Alpha 融合"
str_ldl_Animated_Goods	"动态的货物"
str_ldl_Animated_Trade_Routes	"动态的贸易路线"
str_ldl_APPLY	"应用"
str_ldl_ARD	"A/R/D"
str_ldl_ARDM	"A/R/D/M"
str_ldl_Army	"军队"
str_ldl_Asking_For	"正要求"
str_ldl_Asks_For	"要求"
str_ldl_Assault	"攻击力"
str_ldl_At_War	"战时"
str_ldl_Attack_Animation	"战斗动画"
str_ldl_Attack_COLON	"攻击："
str_ldl_ATTACK_ENEMY	"攻击敌人"
str_ldl_Attackers	"攻击者"
str_ldl_ATTITUDE	"态度"
str_ldl_ATTITUDE_COLON	"态度："
str_ldl_Available_Governments	"允许的政府"
str_ldl_Available_Scenarios	"允许的关卡"
str_ldl_Average	"一般的"
str_ldl_Average_Happiness	"平均快乐度"
str_ldl_BACK	"返回"
str_ldl_BANKERS	"商人"
str_ldl_BATTLE_VIEW	"战斗视野"
str_ldl_Blood_Lust	"『嗜血』"
str_ldl_Bold	"勇敢"
str_ldl_Bomb_Cabinet	"炸毁政府组织。成本为1000单位的黄金"
str_ldl_Bombard	"轰炸攻击"
str_ldl_BRACKET_TILENAME	"<TileName>"
str_ldl_Branch	"经营权。成本为250单位的黄金"
str_ldl_BREAK_ROUTE	"破坏贸易路线"
str_ldl_Build	"建造"
str_ldl_BUILD_LIST	"建造名单"
str_ldl_BUILD_OPTIONS	"建造选项"
str_ldl_BUILDING	"建筑物"
str_ldl_BUILDINGS	"建筑物"
str_ldl_BUY	"购买"
str_ldl_BUY_GOODS	"购买货物"
str_ldl_Buy_Now	"现在购买"
str_ldl_BY_YOU	"由你"
str_ldl_Cancel	"取消"
str_ldl_Cancel_Route	"取消贸易路线"

str_ldl_CAPS_ACTION	"行动"
str_ldl_CAPS_ADVANCE	"科技"
str_ldl_CAPS_ADVANCES	"科技"
str_ldl_CAPS_AT_WAR	"战时"
str_ldl_CAPS_BUILD	"建造"
str_ldl_CAPS_CANCEL	"取消"
str_ldl_CAPS_CHANGE	"改变"
str_ldl_CAPS_CHANGE_LOBBY	"改变大厅"
str_ldl_CAPS_CITIES	"城市"
str_ldl_CAPS_CITY	"城市"
str_ldl_CAPS_CIVILIZATION	"文明帝国"
str_ldl_CAPS_CIVILIZATION_COLON	"文明帝国："
str_ldl_CAPS_COST	"成本"
str_ldl_CAPS_CUSTOM	"自订"
str_ldl_CAPS_DIFFICULTY	"困难度"
str_ldl_CAPS_EXCLUSIONS	"除去"
str_ldl_CAPS_FEMALE	"女性"
str_ldl_CAPS_FOOD	"食物"
str_ldl_CAPS_FOOD2	"食物"
str_ldl_CAPS_FOOD_LOST_TO_CRIME	"因犯罪率而导致的食物损失"
str_ldl_CAPS_FORTIFY	"防御工事"
str_ldl_CAPS_FROM	"从"
str_ldl_CAPS_GO_TO_CITY	"前往城市"
str_ldl_CAPS_GOLD2	"黄金"
str_ldl_CAPS_GOLD	"黄金"
str_ldl_CAPS_GOLD_COLON	"黄金："
str_ldl_CAPS_GOODS	"货物"
str_ldl_CAPS_HAPPINESS	"快乐度"
str_ldl_CAPS_HAPPY	"快乐"
str_ldl_CAPS_HEALTH	"健康"
str_ldl_CAPS_INFO	"排名"
str_ldl_CAPS_INTELLIGENCE	"智能"
str_ldl_CAPS_LAND	"陆地"
str_ldl_CAPS_LOCK	"锁定"
str_ldl_CAPS_MALE	"男性"
str_ldl_CAPS_MAP	"地图"
str_ldl_CAPS_MAX_GOODS	"最大货物存量"
str_ldl_CAPS_MILITARY_READINESS	"军备状态"
str_ldl_CAPS_NAME	"姓名"
str_ldl_CAPS_NAME_COLON	"姓名："
str_ldl_CAPS_NO	"不是"
str_ldl_CAPS_ON_ALERT	"警戒"
str_ldl_CAPS_PER_TURN	"每一回合"
str_ldl_CAPS_PLAYERS	"对手数量"
str_ldl_CAPS_POLLUTION	"污染"
str_ldl_CAPS_POPULATION	"人口"
str_ldl_CAPS_PRODUCTION	"物资"
str_ldl_CAPS_PRODUCTION_COLON	"物资："
str_ldl_CAPS_PROFILE	"描述檔"
str_ldl_CAPS_QUEUE	"程序"
str_ldl_CAPS_QUIT	"结束"
str_ldl_CAPS_RATIONS	"配给"
str_ldl_CAPS_REVOLUTION	"革命"
str_ldl_CAPS_RULES	"规则"
str_ldl_CAPS_SCIENCE	"科技"
str_ldl_CAPS_SCIENCE2	"科技"
str_ldl_CAPS_SEA	"海洋"
str_ldl_CAPS_SELL	"贩卖"
str_ldl_CAPS_SIZE	"规模"
str_ldl_CAPS_SLAVES	"奴隶"
str_ldl_CAPS_SLEEP	"睡眠"
str_ldl_CAPS_SPACE	"太空"
str_ldl_CAPS_STAND_DOWN	"下降"
str_ldl_CAPS_STATUS	"状态"
str_ldl_CAPS_STRENGTH	"力量"
str_ldl_CAPS_TILE_IMP	"区域增强设施"
str_ldl_CAPS_TO	"到"
str_ldl_CAPS_TOTAL_GOLD	"黄金总数"
str_ldl_CAPS_TRADE	"贸易"
str_ldl_CAPS_TRIBE	"文明帝国"
str_ldl_CAPS_UNHAPPY	"不快乐"
str_ldl_CAPS_UNIT	"部队"
str_ldl_CAPS_UNITS	"部队"
str_ldl_CAPS_VALUE	"价值"
str_ldl_CAPS_WAGES	"薪资"
str_ldl_CAPS_WONDERS	"世界奇观"
str_ldl_CAPS_WORKDAY	"工作时数"
str_ldl_CAPS_WORKERS	"工人"
str_ldl_CAPS_WORLD_SHAPE	"世界形状"
str_ldl_CAPS_YES	"是的"


 ### Keeper Stuff 2 ###
str_ldl_Capture_City	"占领城市"
str_ldl_Capture_Slaves	"捕捉奴隶。成本为250单位的黄金"
str_ldl_Cargo	"货柜"
str_ldl_CEASE_FIRE	"和平协议"
str_ldl_CELEB_COLON	"庆典："
str_ldl_Celebration	"庆典"
str_ldl_Change	"改变"
str_ldl_Change_Lobby	"改变大厅"
str_ldl_CHANGE_SCIENCE	"研究"
str_ldl_CHANGE_TO_COLON	"改变至："
str_ldl_CHECK_INTELLIGENCE	"检视智能"
str_ldl_Chieftain	"族长"
str_ldl_Choose_Difficulty_Level	"改变困难度"
str_ldl_Choose_Map_Size	"改变世界规模"
str_ldl_Choose_Risk_Level	"改变困难度"
str_ldl_Choose_World_Shape	"改变世界形状"
str_ldl_Choose_World_Type	"改变世界型态"
str_ldl_Cities	"城市群"
str_ldl_CITIES_COLON	"C城市"
str_ldl_City	"城市"
str_ldl_City_Bonus_COLON	"城市防卫："
str_ldl_City_Air_Attack_Bonus_COLON		"城市空中攻击："
str_ldl_City_Land_Attack_Bonus_COLON		"城市陆上攻击："
str_ldl_City_Sea_Attack_Bonus_COLON		"城市海上攻击："
str_ldl_City_Builder	"城市建造者"
str_ldl_CITY_ESPIONAGE	"城市谍报任务"
str_ldl_CITY_GOLD	"城市黄金数"
str_ldl_CITY_HAPPINESS	"城市快乐度"
str_ldl_City_List	"城市名单"
str_ldl_City_Lost_Warning	"城市丧失警告"
str_ldl_City_Name	"城市名称"
str_ldl_CITY_NAME_COLON	"城市名称："
