
#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"制造工具"
ADVANCE_PHARMACEUTICALS				"药物"
ADVANCE_INTERNAL_COMBUSTION			"内燃机"
ADVANCE_MASS_PRODUCTION				"大量生产"
ADVANCE_MASS_MEDIA				"大众媒体"
ADVANCE_ADV_NAVAL_TACTICS			"先进海军战术"
ADVANCE_AERODYNAMICS				"航空动力学"
ADVANCE_CORPORATION				"财团法人"
ADVANCE_CRIMINAL_CODE				"刑法"
ADVANCE_JET_PROPULSION				"喷射动力"
ADVANCE_TANK_WARFARE				"坦克战"
ADVANCE_MEDICINE				"现代医学"
ADVANCE_VERTICAL_FLIGHT_AIRCRAFT		"直升机"
ADVANCE_NAVAL_AVIATION				"舰载飞机"
ADVANCE_RADAR					"雷达"
ADVANCE_QUANTUM_MECHANICS			"量子力学"
ADVANCE_CORPORATE_REPUBLIC			"法人共和"
ADVANCE_GLOBAL_ECONOMICS			"经济全球化"
ADVANCE_COMPUTER				"计算机"
ADVANCE_MASS_TRANSIT				"大众运输"
ADVANCE_ADV_INFANTRY_TACTICS			"先进步兵战术"
ADVANCE_ADV_URBAN_PLANNING			"先进都市计划"
ADVANCE_SUPERSONIC_FLIGHT			"超音速飞行"
ADVANCE_CONSERVATION				"资源节约"
ADVANCE_GUIDED_WEAPON_SYSTEMS			"导向武器系统"
ADVANCE_GLOBAL_DEFENSE				"全球防卫系统"
ADVANCE_NUCLEAR_POWER				"核能"
ADVANCE_FUEL_CELLS				"燃料电池"
ADVANCE_ADVANCED_COMPOSITES			"先进复合塑材"
ADVANCE_GLOBAL_COMMUNICATIONS			"全球通讯"
ADVANCE_ARCOLOGIES				"环保住居巨厦"
ADVANCE_LIQUID_BREATHING_APPARATUS		"液态呼吸"
ADVANCE_SPACE_FLIGHT				"太空飞行"
ADVANCE_HT_SUPERCONDUCTOR			"超导体"
ADVANCE_ROBOTICS				"机器人"
ADVANCE_AI_SURVEILLANCE				"人工智能监视系统"
ADVANCE_GENETICS				"遗传学"
ADVANCE_TECHNOCRACY				"科技官僚政体"
ADVANCE_DIGITAL_ENCRYPTION			"数字加密科技"
ADVANCE_SUBNEURAL_ADS				"亚神经广告"
ADVANCE_CHAOS_THEORY				"混沌理论"
ADVANCE_NEURAL_INTERFACE			"神经中枢连系装置"
ADVANCE_NANO_ASSEMBLY				"微型组装科技"
ADVANCE_EUGENICS				"基因疗法"
ADVANCE_UNIFIED_PHYSICS				"统一力学"
ADVANCE_NANO_MACHINES				"奈米机械"
ADVANCE_HUMAN_CLONING				"复制人"
ADVANCE_FUSION					"核融合"
ADVANCE_ULTRAPRESSURE_MACHINERY			"超高压机械"
ADVANCE_CYBERNETICS				"神经机械学"
ADVANCE_NEURAL_REPROGRAMMING			"神经中枢改组"
ADVANCE_PLASMA_WEAPONRY				"电浆武器"
ADVANCE_VIRTUAL_DEMOCRACY			"虚拟民主"
ADVANCE_GENETIC_TAILORING			"基因改造"
ADVANCE_NANO_WARFARE				"奈米武器"
ADVANCE_ECOTOPIA				"生态乌托邦"
ADVANCE_GAIA_THEORY				"盖亚论"
ADVANCE_LIFE_EXTENSION				"延寿科技"
ADVANCE_SMART_MATERIALS				"智能型材质"
ADVANCE_GAIA_CONTROLLER				"盖亚控制器"


#### WONDER STRINGS ####
WONDER_PYRAMIDS					"金字塔"
WONDER_RAMAYANA					"罗摩衍那"
WONDER_GREAT_WALL				"万里长城"
WONDER_THE_APPIAN_WAY				"亚平道"
WONDER_CHICHEN_ITZA				"奇琴伊察"
WONDER_CENTRAL_MATTER_DECOMPILER		"中央物质解构器"
WONDER_THE_FORBIDDEN_CITY			"紫禁城"
WONDER_ARISTOTLES_LYCEUM			"亚理斯多德学院"
WONDER_HAGIA_SOPHIA				"圣索非亚大教堂"
WONDER_GUTTENBERGS_BIBLE			"古腾堡圣经"
WONDER_EAST_INDIA_COMPANY			"东印度公司"
WONDER_GALILEOS_TELESCOPE			"伽利略望远镜"
WONDER_EMANCIPATION_PROCLAMATION		"奴隶解放宣言"
WONDER_PENICILLIN				"盘尼西林"
WONDER_LONDON_EXCHANGE				"伦敦交易所"
WONDER_EMPIRE_STATE_BUILDING			"帝国大厦"
WONDER_HOLLYWOOD				"好莱坞"
WONDER_INTERNET					"网际网络"
WONDER_THE_AGENCY				"特务局"
WONDER_GLOBESAT					"全球卫星"
WONDER_FIELD_DYNAMICS_LABORATORY		"力场实验室"
WONDER_DATA_HAVEN				"数字保固中心"
WONDER_GENOME_PROJECT				"基因组计划"
WONDER_GLOBAL_SURVEILLANCE_CENTER		"世界和平中心"
WONDER_NANITE_DEFUSER				"微细反核弹装置"
WONDER_NATIONAL_SHIELD				"国家防盾计划"
WONDER_EGALITARIAN_ACT				"平等法案"
WONDER_THE_EDEN_PROJECT				"伊甸园计划"
WONDER_THE_SOLARIS_PROJECT			"太阳能计划"
WONDER_ZERO_CRIME_BILL				"除罪法案"

WONDER_PYRAMIDS_ARTICLE				" "
WONDER_RAMAYANA_ARTICLE				" "
WONDER_GREAT_WALL_ARTICLE			" "
WONDER_THE_APPIAN_WAY_ARTICLE			""
WONDER_CHICHEN_ITZA_ARTICLE			" "
WONDER_CENTRAL_MATTER_DECOMPILER_ARTICLE	" "
WONDER_THE_FORBIDDEN_CITY_ARTICLE		" "
WONDER_ARISTOTLES_LYCEUM_ARTICLE		""
WONDER_HAGIA_SOPHIA_ARTICLE			" "
WONDER_GUTTENBERGS_BIBLE_ARTICLE		""
WONDER_EAST_INDIA_COMPANY_ARTICLE		" "
WONDER_GALILEOS_TELESCOPE_ARTICLE		""
WONDER_EMANCIPATION_PROCLAMATION_ARTICLE	" "
WONDER_PENICILLIN_ARTICLE			""
WONDER_LONDON_EXCHANGE_ARTICLE			" "
WONDER_EMPIRE_STATE_BUILDING_ARTICLE		" "
WONDER_HOLLYWOOD_ARTICLE			""
WONDER_INTERNET_ARTICLE				" "
WONDER_THE_AGENCY_ARTICLE			""
WONDER_GLOBESAT_ARTICLE				""
WONDER_FIELD_DYNAMICS_LABORATORY_ARTICLE	" "
WONDER_DATA_HAVEN_ARTICLE			" "
WONDER_GENOME_PROJECT_ARTICLE			" "
WONDER_GLOBAL_SURVEILLANCE_CENTER_ARTICLE	" "
WONDER_NANITE_DEFUSER_ARTICLE			" "
WONDER_NATIONAL_SHIELD_ARTICLE			" "
WONDER_EGALITARIAN_ACT_ARTICLE			" "
WONDER_THE_EDEN_PROJECT_ARTICLE			""
WONDER_THE_SOLARIS_PROJECT_ARTICLE		""
WONDER_ZERO_CRIME_BILL_ARTICLE			" "


#### Units STRINGS ####
UNIT_SETTLER					"开拓队"
UNIT_WARRIOR					"战士"
UNIT_CATAMARAN					"小圆舟"
UNIT_HOPLITE					"重装步兵"
UNIT_ARCHER					"弓箭手"
UNIT_SLAVER					"奴隶商人"
UNIT_SWORDSMAN					"武士"
UNIT_MOUNTED_ARCHER				"骑兵射手"
UNIT_CARAVAN					"商队"
UNIT_FIRE_TRIREME				"火战船"
UNIT_KNIGHT					"骑士"
UNIT_CATAPULT					"投石车"
UNIT_LONGSHIP					"长船"
UNIT_DIPLOMAT					"外交官"
UNIT_PIKEMEN					"长矛兵"
UNIT_CLERIC					"牧师"
UNIT_ABOLITIONIST				"废奴主义份子"
UNIT_CARRACK					"武装商船"
UNIT_INFANTRYMAN				"火枪兵"
UNIT_CAVALRY					"火枪骑兵"
UNIT_FASCIST					"强权党徒"
UNIT_CANNON					"大炮"
UNIT_SHIP_OF_THE_LINE				"战列舰"
UNIT_SPY					"间谍"
UNIT_IRONCLAD					"装甲舰"
UNIT_MACHINE_GUNNER				"机枪兵"
UNIT_ARTILLERY					"自走炮"
UNIT_SUBMARINE					"潜艇"
UNIT_TROOP_SHIP					"运兵船"
UNIT_FRIGATE					"鱼雷巡逻艇"
UNIT_DESTROYER					"驱逐舰"
UNIT_TELEVANGELIST				"电视布道师"
UNIT_BATTLESHIP					"战舰"
UNIT_FIGHTER					"战机"
UNIT_CORPORATE_BRANCH				"海外分公司"
UNIT_LAWYER					"律师"
UNIT_BOMBER					"轰炸机"
UNIT_TANK					"坦克"
UNIT_CARGO_HELICOPTER				"运兵直升机"
UNIT_AIRCRAFT_CARRIER				"航空母舰"
UNIT_MOBILE_SAM					"防空飞弹车"
UNIT_MARINE					"海军陆战队"
UNIT_PARATROOPER				"伞兵"
UNIT_URBAN_PLANNER				"都市计划员"
UNIT_Z_FREIGHT_TRANSPORT			"物流"
UNIT_INTERCEPTOR				"拦截机"
UNIT_CRUISE_MISSILE				"巡弋飞弹"
UNIT_NUCLEAR_SUBMARINE				"核子潜艇"
UNIT_NUKE					"核弹"
UNIT_STEALTH_FIGHTER				"匿踪战机"
UNIT_STEALTH_BOMBER				"匿踪轰炸机"
UNIT_SCOUT_SUB					"侦察潜艇"
UNIT_SPACE_PLANE				"太空飞机"
UNIT_SPY_PLANE					"间谍飞机"
UNIT_MOREY_STRIKER				"海鳝型潜艇"
UNIT_CYBERATTORNEY				"异度律师"
UNIT_MOBILE_SUBNEURAL_AD			"亚神经广告车"
UNIT_HOVER_INFANTRY				"飞行兵"
UNIT_CYBER_NINJA				"异度忍者"
UNIT_SEA_ENGINEER				"海洋工程师"
UNIT_EMPATHIC_DIPLOMAT				"移情外交官"
UNIT_FUSION_TANK				"核融坦克"
UNIT_CRAWLER					"洋底爬运兽"
UNIT_WAR_WALKER					"战斗机械兽"
UNIT_PLASMA_DESTROYER				"电浆战舰"
UNIT_LEVIATHON					"机动要塞"
UNIT_KRAKEN					"机械海怪"
UNIT_INFECTOR					"病毒散布兵"
UNIT_ECO_TERRORIST				"生态恐怖分子"
UNIT_ECO_RANGER					"生态游骑兵"
UNIT_DREADNAUGHT				"无畏号潜艇"
UNIT_CITY					"城市"
UNIT_OCEAN_CITY					"海洋殖民地"
UNIT_SPACE_CITY					"太空殖民地"


#### governs STRINGS ####
GOVERNMENT_ANARCHY				"无政府"
GOVERNMENT_TYRANNY				"专制"
GOVERNMENT_MONARCHY				"帝制"
GOVERNMENT_THEOCRACY				"神权政治"
GOVERNMENT_COMMUNISM				"乌托邦"
GOVERNMENT_FASCISM				"强权主义"
GOVERNMENT_REPUBLIC				"共和政体"
GOVERNMENT_DEMOCRACY				"民主政体"
GOVERNMENT_CORPORATE_REPUBLIC			"法人共和"
GOVERNMENT_ECOTOPIA				"生态乌托邦"
GOVERNMENT_TECHNOCRACY				"科技官僚政体"
GOVERNMENT_VIRTUAL_DEMOCRACY			"虚拟民主"


#### improvements STRINGS ####
IMPROVE_GRANARY					"谷仓"
IMPROVE_CITY_WALLS				"城墙"
IMPROVE_SHRINE					"神殿"
IMPROVE_COURTHOUSE				"法院"
IMPROVE_BALLISTA_TOWERS				"弩炮塔"
IMPROVE_AQUEDUCT				"沟渠"
IMPROVE_THEATER					"剧场"
IMPROVE_BAZAAR					"商店街"
IMPROVE_ACADEMY					"学院"
IMPROVE_ARENA					"竞技场"
IMPROVE_CAPITOL					"国都"
IMPROVE_MILL					"磨坊"
IMPROVE_BASCILICA				"大教堂"
IMPROVE_UNIVERSITY				"大学"
IMPROVE_BANK					"银行"
IMPROVE_PUBLISHING_HOUSE			"出版社"
IMPROVE_BATTLEMENTS				"海岸防炮"
IMPROVE_BROKERAGE				"交易所"
IMPROVE_FOOD_SILO				"食物贮槽"
IMPROVE_FACTORY					"工厂"
IMPROVE_OIL_REFINERY				"炼油厂"
IMPROVE_MOVIE_PALACE				"电影院"
IMPROVE_DRUG_STORE				"药房"
IMPROVE_TELEVISION				"电视"
IMPROVE_AIRPORT					"机场"
IMPROVE_CORRECTIONAL_FACILITY			"犯罪矫正机构"
IMPROVE_HOSPITAL				"医院"
IMPROVE_FLAK_TOWERS				"高射炮塔"
IMPROVE_COMPUTER_CENTER				"计算机中心"
IMPROVE_PUBLIC_TRANSPORTATION			"大众运输"
IMPROVE_RECYCLING_PLANT				"资源回收厂"
IMPROVE_NUCLEAR_PLANT				"核能电厂"
IMPROVE_ECO_TRANSIT				"环保运输系统"
IMPROVE_ANTI_BALLISTIC_MISSILES			"反弹道导弹"
IMPROVE_ARCOLOGIES				"环保住居巨厦"
IMPROVE_ORBITAL_LABORATORY			"轨道实验室"
IMPROVE_ROBOTIC_PLANT				"机器人工厂"
IMPROVE_SECURITY_MONITOR			"安全监视器"
IMPROVE_E_BANK					"电子银行"
IMPROVE_VR_AMUSEMENT_PARK			"虚拟实境乐园"
IMPROVE_NANITE_FACTORY				"微细科技工厂"
IMPROVE_FORCEFIELD				"力场"
IMPROVE_AQUA_FILTER				"城市滤水装置"
IMPROVE_INCUBATION_CENTER			"人类生育中心"
IMPROVE_FUSION_PLANT				"核融合电厂"
IMPROVE_BEHAVIORAL_MOD_CENTER			"行为矫正中心"
IMPROVE_CORNUCOPIC_VAT				"人造食物厂"
IMPROVE_MICRO_DEFENSE				"微菌护盾"
IMPROVE_MATTER_DECOMPILER			"物质解构器"
IMPROVE_BODY_EXCHANGE				"身体交换所"
IMPROVE_GAIA_COMPUTER				"盖亚控制器核心"
IMPROVE_POWER_SATELLITE				"盖亚动力卫星"


#### terrain STRINGS ####
TERRAIN_BROWN_MOUNTAIN				"沙漠山脉"
TERRAIN_BROWN_HILL				"沙丘"
TERRAIN_WHITE_MOUNTAIN				"极地山脉"
TERRAIN_WHITE_HILL				"极地丘陵"
TERRAIN_MOUNTAIN				"山脉"
TERRAIN_DESERT					"沙漠"
TERRAIN_FOREST					"森林"
TERRAIN_GLACIER					"冰河"
TERRAIN_GRASSLAND				"草地"
TERRAIN_HILL					"丘陵"
TERRAIN_JUNGLE					"丛林"
TERRAIN_PLAINS					"平原"
TERRAIN_SWAMP					"沼泽"
TERRAIN_TUNDRA					"冻原"
TERRAIN_WATER_SHALLOW				"浅滩"
TERRAIN_WATER_DEEP				"深海"
TERRAIN_WATER_RIFT				"海底山脉"
TERRAIN_WATER_TRENCH				"海底峡谷"
TERRAIN_WATER_VOLCANO				"海底火山"
TERRAIN_WATER_REEF				"珊瑚礁"
TERRAIN_WATER_KELP				"海藻层"
TERRAIN_SPACE					"太空"
TERRAIN_WATER_BEACH				"海滩"
TERRAIN_WATER_SHELF				"大陆架"
TERRAIN_DEAD					"毁坏地形"
TERRAIN_SPECIAL1				"特殊"
TERRAIN_SPECIAL2				"桥梁"
#TERRAIN_DEAD_HILL				"毁坏丘陵"

TERRAIN_ARCTIC_MOUNTAIN_GOOD_ONE		"红宝石"
TERRAIN_ARCTIC_MOUNTAIN_GOOD_TWO		"钻石"
TERRAIN_MOUNTAIN_GOOD_ONE			"茶叶"
TERRAIN_MOUNTAIN_GOOD_TWO			"绿宝石"
TERRAIN_DESERT_GOOD_TWO				"石油"
TERRAIN_DESERT_GOOD_ONE				"玻璃"
TERRAIN_FOREST_GOOD_ONE				"硬木"
TERRAIN_FOREST_GOOD_TWO				"熊"
#TERRAIN_GLACIER_GOOD_ONE			"海象"
TERRAIN_GRASSLAND_GOOD_ONE			"棉花"
TERRAIN_GRASSLAND_GOOD_TWO			"烟草"
TERRAIN_HILL_GOOD_ONE				"咖啡"
TERRAIN_HILL_GOOD_TWO				"葡萄"
TERRAIN_JUNGLE_GOOD_ONE				"药草"
TERRAIN_JUNGLE_GOOD_TWO				"翡翠"
TERRAIN_PLAINS_GOOD_ONE				"香料"
TERRAIN_PLAINS_GOOD_TWO				"大象"
TERRAIN_SWAMP_GOOD_ONE				"鳄鱼"
TERRAIN_TUNDRA_GOOD_ONE				"驯鹿"
TERRAIN_WATER_SHALLOW_GOOD_ONE			"螃蟹"
TERRAIN_WATER_SHALLOW_GOOD_TWO			"珍珠"
TERRAIN_WATER_DEEP_GOOD_ONE			"鲸鱼"
TERRAIN_WATER_DEEP_GOOD_TWO			"大乌贼"
#TERRAIN_WATER_BEACH_GOOD_ONE			"螃蟹"
#TERRAIN_WATER_BEACH_GOOD_TWO			"珍珠"
#TERRAIN_WATER_SHELF_GOOD_ONE			"螃蟹"
#TERRAIN_WATER_SHELF_GOOD_TWO			"珍珠"
TERRAIN_DUMMY_GOOD				"无用货物"


#### CONCEPT STRINGS ####
#CONCEPT_DIAMONDS				"钻石"
#CONCEPT_RUBIES					"红宝石"
#CONCEPT_OIL					"石油"
#CONCEPT_BEAVER					"海獭"
#CONCEPT_TOBACCO				"烟草"
#CONCEPT_POPPIES				"罂粟"
#CONCEPT_COFFEE					"咖啡"
#CONCEPT_COCOA					"葡萄"
#CONCEPT_SUGAR					"砂糖"
#CONCEPT_JADE					"翡翠"
#CONCEPT_ELEPHANT				"大象"
#CONCEPT_ALLIGATOR				"鳄鱼"
#CONCEPT_CARIBOU				"驯鹿"
#CONCEPT_CRABS					"螃蟹"
#CONCEPT_PEARLS					"珍珠"
#CONCEPT_WHALES					"鲸鱼"
#CONCEPT_GIANT_SQUID				"大乌贼"
#CONCEPT_WORMHOLE				"虫洞"
#CONCEPT_ATTACK_ENEMY				"攻击敌人"
#CONCEPT_CAPTURE_CITY				"000"
#CONCEPT_CEASE_FIRE				"和平协议"
#CONCEPT_CIV_POINTS				"文明点数"
#CONCEPT_C_FIELD				"封锁区"
#CONCEPT_DEMANDS				"要求"
#CONCEPT_ECD					"ECD"
#CONCEPT_ECO_PACT				"生态条约"
#CONCEPT_ENTERTAINER				"艺人"
#CONCEPT_EXCHANGES				"交换"
#CONCEPT_E_TANK					"E坦克"
#CONCEPT_GIFTS					"礼物"
#CONCEPT_G_SPLICER				"基因结合工具"
#CONCEPT_INCITE					"煽动"
#CONCEPT_LARORER				"劳工"
#CONCEPT_LEAVE_MY_LANDS				"停止擅入国境"
#CONCEPT_MAINTENANCE_COST			"维持费"
#CONCEPT_MERCHANT				"商人"
#CONCEPT_MONUMENT_SCREEN			"纪念碑窗口"
#CONCEPT_NO_PIRACY				"停止海盗行为"
#CONCEPT_REDUCE_POLLUTION			"降低污染"
#CONCEPT_RUSTLE					"r77"
#CONCEPT_SCIENTIST				"科学家"
#CONCEPT_SPACE_COLONIES				"太空殖民地"
#CONCEPT_STOP_TRADE				"停止贸易"
#CONCEPT_TRADE_UNITS				"匿踪部队"
#CONCEPT_X_LAB					"X-实验室"
CONCEPT_ACTIVE_DEFENSE				"主动防御"
CONCEPT_ADVANCES				"科技"
CONCEPT_ALLIANCE				"盟约"
CONCEPT_ANCIENT_AGE				"上古时代"
CONCEPT_ATROCITY				"暴政"
CONCEPT_BARBARIANS				"蛮族"
CONCEPT_CAPITALIZATION				"资本化"
CONCEPT_CITY					"城市"
CONCEPT_COMMERCE				"贸易"
CONCEPT_CRIME					"犯罪"
CONCEPT_DEFENSE					"防御"
CONCEPT_DIAMOND_AGE				"钻石时代"
CONCEPT_DIPLOMACY				"外交"
CONCEPT_DISBAND_CITY				"解散城市"
CONCEPT_EMBARGO					"禁运"
CONCEPT_EMPIRE_SIZE				"帝国规模"
CONCEPT_FOOD					"食物"
CONCEPT_FUEL					"燃料"
CONCEPT_GENETIC_AGE				"基因时代"
CONCEPT_GOLD					"黄金"
CONCEPT_GOODS					"特产"
CONCEPT_GOVERNMENTS				"政府"
CONCEPT_GROWTH					"人口成长"
CONCEPT_HAPPINESS				"幸福度"
CONCEPT_IMPROVEMENTS				"设施"
CONCEPT_INFRASTRUCTURE				"基础建设"
CONCEPT_MAINTENANCE_COST			"维持费"
CONCEPT_MILITARY_READINESS			"军事整备"
CONCEPT_MODERN_AGE				"现代"
CONCEPT_OFFER					"提供"
CONCEPT_OVERCROWDING				"人口拥挤"
CONCEPT_POLLUTION				"污染"
CONCEPT_POPULATION				"人口"
CONCEPT_PRODUCTION				"生产力"
CONCEPT_PUBLIC_WORKS				"公共建设"
CONCEPT_RATIONS					"粮给"
CONCEPT_REGARD					"敬重"
CONCEPT_RENAISSANCE_AGE				"文艺复兴时代"
CONCEPT_REQUEST					"要求"
CONCEPT_REVOLUTION				"革命"
CONCEPT_RIOTS					"暴动"
CONCEPT_RIVER					"河流"
CONCEPT_RUINS					"遗迹"
CONCEPT_RUSH_BUY				"快速购买"
CONCEPT_SCIENCE					"科学"
CONCEPT_SCIENCE_SETTING				"科学设定"
CONCEPT_SEA_COLONIES				"海洋殖民地"
CONCEPT_SLAVE					"奴隶"
CONCEPT_SPECIAL_FORCES				"特殊部队"
CONCEPT_SPECIALISTS				"专家"
CONCEPT_STARVATION				"饥馑"
CONCEPT_STEALTH_UNITS				"匿踪部队"
CONCEPT_SUPPORT_COST				"维持费"
CONCEPT_TERRAFORM				"地形改造"
CONCEPT_THREAT					"威胁"
CONCEPT_TILE_IMPROVEMENTS			"地上设施"
CONCEPT_TONE					"语气"
CONCEPT_TRADE					"贸易"
CONCEPT_TRADE_ROUTE				"贸易路线"
CONCEPT_TREATIES				"条约"
CONCEPT_UNITS					"部队"
CONCEPT_VETERANS				"菁英部队"
CONCEPT_VICTORY_CONDITIONS			"胜利–一般"
CONCEPT_VICTORY_CONQUEST			"胜利–嗜血"
CONCEPT_VICTORY_DIPLOMATIC			"胜利–外交胜利"
CONCEPT_VICTORY_PTS_AT_2300			"胜利–公元2300年"
CONCEPT_VICTORY_SCIENCE				"胜利–盖亚控制器"
CONCEPT_VISION					"视野"
CONCEPT_WAGES					"薪资"
CONCEPT_WONDERS					"奇观"
CONCEPT_WORK_HOURS				"工时"
CONCEPT_WORKER					"工人"
CONCEPT_SCENARIO_RULES			"剧情关卡规则"

#### Pop STRINGS ####
POP_WORKER					"工人"
POP_SLAVE					"奴隶"
POP_BANKER					"商人"
POP_BARD					"艺人"
POP_WISEMAN					"科学家"
POP_FACTORY_GRUNT				"劳工"

## REMOVE THE FOLLOWING:
POP_ACTOR					"艺人"
POP_PHILOSOPHER					"科学家"
POP_PROFESSOR					"科学家"
POP_LIBRARIAN					"科学家"
POP_PROGRAMMER					"科学家"
POP_MERCHANT					"商人"


#### TILE IMPROVEMENT STRINGS #######
TILEIMP_FARMS					"农田"
TILEIMP_ADVANCED_FARMS				"改良田"
TILEIMP_HYDROPONIC_FARMS			"水栽田"
TILEIMP_MINES					"矿场"
TILEIMP_ADVANCED_MINES				"改良矿场"
TILEIMP_MEGA_MINES				"先进矿场"
TILEIMP_TRADING_POST				"商栈"
TILEIMP_OUTLET_MALL				"购物中心"
TILEIMP_NATURE_PRESERVE				"自然保育区"
TILEIMP_NETS					"定置网"
TILEIMP_FISHERIES				"渔场"
TILEIMP_AUTOMATED_FISHERIES			"自动化渔场"
TILEIMP_UNDERSEA_MINES				"海底矿场"
TILEIMP_ADVANCED_UNDERSEA_MINES			"海底改良矿场"
TILEIMP_MEGA_UNDERSEA_MINES			"海底先进矿场"
TILEIMP_PORT					"港口"
TILEIMP_DRILLING_PLATFORM			"钻油平台"
TILEIMP_RUINS					"遗迹"
TILEIMP_ROAD					"道路"
TILEIMP_RAILROAD				"铁路"
TILEIMP_MAGLEV					"磁浮车道"
TILEIMP_UNDERSEA_TUNNEL				"海底隧道"
TILEIMP_LISTENING_POSTS				"听哨站"
TILEIMP_AIR_BASES				"空军基地"
TILEIMP_FORTIFICATIONS				"防御工事"
TILEIMP_RADAR_STATIONS				"雷达站"
TILEIMP_SONAR_BUOYS				"声纳浮标"
TILEIMP_PROCESSING_TOWER			"方尖塔"

#### Terraform Strings ####
TILEIMP_TERRAFORM_BROWN_HILL			"沙丘地形改造"
TILEIMP_TERRAFORM_BROWN_MOUNTAIN		"沙漠山脉地形改造"
TILEIMP_TERRAFORM_DESERT			"沙漠地形改造"
TILEIMP_TERRAFORM_FOREST			"森林地形改造"
TILEIMP_TERRAFORM_GRASSLAND			"草地地形改造"
TILEIMP_TERRAFORM_HILL				"丘陵地形改造"
TILEIMP_TERRAFORM_JUNGLE			"丛林地形改造"
TILEIMP_TERRAFORM_MOUNTAIN			"山脉地形改造"
TILEIMP_TERRAFORM_PLAINS			"平原地形改造"
TILEIMP_TERRAFORM_SWAMP				"沼泽地形改造"
TILEIMP_TERRAFORM_WHITE_HILL			"极地丘陵地形改造"
TILEIMP_TERRAFORM_WHITE_MOUNTAIN		"极地山脉地形改造"

#### installations STRINGS ####
INSTALLATION_LISTENING_POSTS			"听哨站"
INSTALLATION_AIR_BASES				"空军基地"
INSTALLATION_FORTIFICATIONS			"阵地"
INSTALLATION_RADAR_STATIONS			"雷达站"
INSTALLATION_SONAR_BUOYS			"声纳浮筒"

#Unit Orders#
UNIT_ORDER_NONE					"无"
UNIT_ORDER_MOVE					"移动"
UNIT_ORDER_ENTRENCH				"驻防"
UNIT_ORDER_SLEEP				"警戒"

ORDER_ADVERTISE					"宣传"
ORDER_ASSASSINATE				"暗杀首脑"
ORDER_ATTACK					"攻击"
ORDER_BIO_INFECT				"感染此城"
ORDER_BOARD_TRANSPORT				"装载"
ORDER_BOMBARD					"炮击"
ORDER_CONVERT					"感化城市"
ORDER_CREATE_PARK				"微菌净化"
ORDER_CLEAR_TARGET				"清除目标"
ORDER_DISBAND_ARMY				"解散部队"
ORDER_ESTABLISH_EMBASSY				"建立大使馆"
ORDER_EXPEL					"驱逐部队"
ORDER_FORTIFY					"驻防"
ORDER_FAITH_HEALING				"信仰疗法"
ORDER_FRANCHISE					"专卖店"
ORDER_INCITE_REVOLUTION				"煽动革命"
ORDER_INCITE_UPRISING				"煽起暴动"
ORDER_INDULGENCE				"贩卖赎罪券"
ORDER_INJOIN					"强制令"
ORDER_INTERCEPT_TRADE				"强掠"
ORDER_INVESTIGATE_CITY				"刺探"
ORDER_LAUNCH					"发射"
ORDER_NANO_INFECT				"微菌攻击"
ORDER_PARADROP					"空降"
