#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains strings that were/are suppoesed to be removed. (Chinese Simple)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Moved risk strings to gl_str.txt. (Aug 31st 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

# UNIT DESCRIPTIONS #	
ITEM_OBSOLETE_CIVWIDE 	"junkstring_ITEM_OBSOLETE_CIVWIDE "
DESCRIPTION_UNIT_URBAN_PLANNER "junkstring_DESCRIPTION_UNIT_URBAN_PLANNER"
DESCRIPTION_UNIT_TANK "junkstring_DESCRIPTION_UNIT_TANK"
DESCRIPTION_UNIT_MARINE "junkstring_DESCRIPTION_UNIT_MARINE"
DESCRIPTION_UNIT_NUCLEAR_SUBMARINE "junkstring_DESCRIPTION_UNIT_NUCLEAR_SUBMARINE"
DESCRIPTION_UNIT_NUKE "junkstring_DESCRIPTION_UNIT_NUKE"
DESCRIPTION_UNIT_DESTROYER "junkstring_DESCRIPTION_UNIT_DESTROYER"
DESCRIPTION_UNIT_FRIGATE "junkstring_DESCRIPTION_UNIT_FRIGATE"
DESCRIPTION_UNIT_TELEVANGELIST "junkstring_DESCRIPTION_UNIT_TELEVANGELIST"
DESCRIPTION_UNIT_CARGO_HELICOPTER "junkstring_DESCRIPTION_UNIT_CARGO_HELICOPTER"
DESCRIPTION_UNIT_CRUISE_MISSILE "junkstring_DESCRIPTION_UNIT_CRUISE_MISSILE"
DESCRIPTION_UNIT_EMPATHIC_DIPLOMAT "junkstring_DESCRIPTION_UNIT_EMPATHIC_DIPLOMAT"
DESCRIPTION_UNIT_INTERCEPTOR "junkstring_DESCRIPTION_UNIT_INTERCEPTOR"
DESCRIPTION_UNIT_BOMBER "junkstring_DESCRIPTION_UNIT_BOMBER"
DESCRIPTION_UNIT_CYBER_NINJA "junkstring_DESCRIPTION_UNIT_CYBER_NINJA"
DESCRIPTION_UNIT_MOBILE_SAM "junkstring_DESCRIPTION_UNIT_MOBILE_SAM"
DESCRIPTION_UNIT_CORPORATE_BRANCH "junkstring_DESCRIPTION_UNIT_CORPORATE_BRANCH"
DESCRIPTION_UNIT_STEALTH_BOMBER "junkstring_DESCRIPTION_UNIT_STEALTH_BOMBER"
DESCRIPTION_UNIT_SCOUT_SUB "junkstring_DESCRIPTION_UNIT_SCOUT_SUB"
DESCRIPTION_UNIT_PARATROOPER "junkstring_DESCRIPTION_UNIT_PARATROOPER"
DESCRIPTION_UNIT_CYBERATTORNEY "junkstring_DESCRIPTION_UNIT_CYBERATTORNEY"
DESCRIPTION_UNIT_SPACE_PLANE "junkstring_DESCRIPTION_UNIT_SPACE_PLANE"
DESCRIPTION_UNIT_MOBILE_SUBNEURAL_AD "junkstring_DESCRIPTION_UNIT_MOBILE_SUBNEURAL_AD"
DESCRIPTION_UNIT_SPY_PLANE "junkstring_DESCRIPTION_UNIT_SPY_PLANE"
DESCRIPTION_UNIT_WAR_WALKER "junkstring_DESCRIPTION_UNIT_WAR_WALKER"
DESCRIPTION_UNIT_SEA_ENGINEER "junkstring_DESCRIPTION_UNIT_SEA_ENGINEER"
DESCRIPTION_UNIT_MOREY_STRIKER "junkstring_DESCRIPTION_UNIT_MOREY_STRIKER"
DESCRIPTION_UNIT_KRAKEN "junkstring_DESCRIPTION_UNIT_KRAKEN"
DESCRIPTION_UNIT_PLASMA_DESTROYER "junkstring_DESCRIPTION_UNIT_PLASMA_DESTROYER"
DESCRIPTION_UNIT_DREADNAUGHT "junkstring_DESCRIPTION_UNIT_DREADNAUGHT"
DESCRIPTION_UNIT_ECO_TERRORIST "junkstring_DESCRIPTION_UNIT_ECO_TERRORIST"
DESCRIPTION_UNIT_HOVER_INFANTRY "junkstring_DESCRIPTION_UNIT_HOVER_INFANTRY"
DESCRIPTION_UNIT_INFECTOR "junkstring_DESCRIPTION_UNIT_INFECTOR"
DESCRIPTION_UNIT_CRAWLER "junkstring_DESCRIPTION_UNIT_CRAWLER"
DESCRIPTION_UNIT_ECO_RANGER "junkstring_DESCRIPTION_UNIT_ECO_RANGER"
DESCRIPTION_UNIT_LEVIATHON "junkstring_DESCRIPTION_UNIT_LEVIATHON"
DESCRIPTION_UNIT_FUSION_TANK "junkstring_DESCRIPTION_UNIT_FUSION_TANK"
DESCRIPTION_UNIT_CITY "junkstring_DESCRIPTION_UNIT_CITY"
DESCRIPTION_UNIT_SPACE_CITY "junkstring_DESCRIPTION_UNIT_SPACE_CITY"
DESCRIPTION_UNIT_OCEAN_CITY	"junkstring_DESCRIPTION_UNIT_OCEAN_CITY"
	
# IMPROVE DESCRIPTIONS #	
DEFAULT_IMPROVE_DESCRIPTION	  		"junkstring_DEFAULT_IMPROVE_DESCRIPTION"
DESCRIPTION_IMPROVE_GRANARY			"junkstring_DESCRIPTION_IMPROVE_GRANARY"
DESCRIPTION_IMPROVE_CITY_WALLS			"junkstring_DESCRIPTION_IMPROVE_CITY_WALLS"
DESCRIPTION_IMPROVE_SHRINE			"junkstring_DESCRIPTION_IMPROVE_SHRINE"
DESCRIPTION_IMPROVE_COURTHOUSE			"junkstring_DESCRIPTION_IMPROVE_COURTHOUSE"
DESCRIPTION_IMPROVE_BALLISTA_TOWERS		"junkstring_DESCRIPTION_IMPROVE_BALLISTA_TOWERS"
DESCRIPTION_IMPROVE_AQUEDUCT			"junkstring_DESCRIPTION_IMPROVE_AQUEDUCT"
DESCRIPTION_IMPROVE_THEATER			"junkstring_DESCRIPTION_IMPROVE_THEATER"
DESCRIPTION_IMPROVE_BAZAAR			"junkstring_DESCRIPTION_IMPROVE_BAZAAR"
DESCRIPTION_IMPROVE_ACADEMY			"junkstring_DESCRIPTION_IMPROVE_ACADEMY"
DESCRIPTION_IMPROVE_ARENA			"junkstring_DESCRIPTION_IMPROVE_ARENA"
DESCRIPTION_IMPROVE_CAPITOL			"junkstring_DESCRIPTION_IMPROVE_CAPITOL"
DESCRIPTION_IMPROVE_MILL			"junkstring_DESCRIPTION_IMPROVE_MILL"
DESCRIPTION_IMPROVE_BASCILICA			"junkstring_DESCRIPTION_IMPROVE_BASCILICA"
DESCRIPTION_IMPROVE_UNIVERSITY			"junkstring_DESCRIPTION_IMPROVE_UNIVERSITY"
DESCRIPTION_IMPROVE_BANK			"junkstring_DESCRIPTION_IMPROVE_BANK"
DESCRIPTION_IMPROVE_PUBLISHING_HOUSE		"junkstring_DESCRIPTION_IMPROVE_PUBLISHING_HOUSE"
DESCRIPTION_IMPROVE_BATTLEMENTS			"junkstring_DESCRIPTION_IMPROVE_BATTLEMENTS"
DESCRIPTION_IMPROVE_BROKERAGE			"junkstring_DESCRIPTION_IMPROVE_BROKERAGE"
DESCRIPTION_IMPROVE_FOOD_SILO			"junkstring_DESCRIPTION_IMPROVE_FOOD_SILO"
DESCRIPTION_IMPROVE_FACTORY			"junkstring_DESCRIPTION_IMPROVE_FACTORY"
DESCRIPTION_IMPROVE_OIL_REFINERY		"junkstring_DESCRIPTION_IMPROVE_OIL_REFINERY"
DESCRIPTION_IMPROVE_MOVIE_PALACE		"junkstring_DESCRIPTION_IMPROVE_MOVIE_PALACE"
DESCRIPTION_IMPROVE_DRUG_STORE			"junkstring_DESCRIPTION_IMPROVE_DRUG_STORE"
DESCRIPTION_IMPROVE_TELEVISION			"junkstring_DESCRIPTION_IMPROVE_TELEVISION"
DESCRIPTION_IMPROVE_AIRPORT			"junkstring_DESCRIPTION_IMPROVE_AIRPORT"
DESCRIPTION_IMPROVE_CORRECTIONAL_FACILITY	"junkstring_DESCRIPTION_IMPROVE_CORRECTIONAL_FACILITY"
DESCRIPTION_IMPROVE_HOSPITAL			"junkstring_DESCRIPTION_IMPROVE_HOSPITAL"
DESCRIPTION_IMPROVE_FLAK_TOWERS			"junkstring_DESCRIPTION_IMPROVE_FLAK_TOWERS"
DESCRIPTION_IMPROVE_COMPUTER_CENTER		"junkstring_DESCRIPTION_IMPROVE_COMPUTER_CENTER"
DESCRIPTION_IMPROVE_PUBLIC_TRANSPORTATION	"junkstring_DESCRIPTION_IMPROVE_PUBLIC_TRANSPORTATION"
DESCRIPTION_IMPROVE_RECYCLING_PLANT		"junkstring_DESCRIPTION_IMPROVE_RECYCLING_PLANT"
DESCRIPTION_IMPROVE_NUCLEAR_PLANT		"junkstring_DESCRIPTION_IMPROVE_NUCLEAR_PLANT"
DESCRIPTION_IMPROVE_ECO_TRANSIT			"junkstring_DESCRIPTION_IMPROVE_ECO_TRANSIT"
DESCRIPTION_IMPROVE_ANTI_BALLISTIC_MISSILES	"junkstring_DESCRIPTION_IMPROVE_ANTI_BALLISTIC_MISSILES"
DESCRIPTION_IMPROVE_ARCOLOGIES			"junkstring_DESCRIPTION_IMPROVE_ARCOLOGIES"
DESCRIPTION_IMPROVE_ORBITAL_LABORATORY		"junkstring_DESCRIPTION_IMPROVE_ORBITAL_LABORATORY"
DESCRIPTION_IMPROVE_ROBOTIC_PLANT		"junkstring_DESCRIPTION_IMPROVE_ROBOTIC_PLANT"
DESCRIPTION_IMPROVE_SECURITY_MONITOR		"junkstring_DESCRIPTION_IMPROVE_SECURITY_MONITOR"
DESCRIPTION_IMPROVE_E_BANK			"junkstring_DESCRIPTION_IMPROVE_E_BANK"
DESCRIPTION_IMPROVE_VR_AMUSEMENT_PARK		"junkstring_DESCRIPTION_IMPROVE_VR_AMUSEMENT_PARK"
DESCRIPTION_IMPROVE_NANITE_FACTORY		"junkstring_DESCRIPTION_IMPROVE_NANITE_FACTORY"
DESCRIPTION_IMPROVE_FORCEFIELD			"junkstring_DESCRIPTION_IMPROVE_FORCEFIELD"
DESCRIPTION_IMPROVE_AQUA_FILTER			"junkstring_DESCRIPTION_IMPROVE_AQUA_FILTER"
DESCRIPTION_IMPROVE_INCUBATION_CENTER		"junkstring_DESCRIPTION_IMPROVE_INCUBATION_CENTER"
DESCRIPTION_IMPROVE_FUSION_PLANT		"junkstring_DESCRIPTION_IMPROVE_FUSION_PLANT"
DESCRIPTION_IMPROVE_BEHAVIORAL_MOD_CENTER	"junkstring_DESCRIPTION_IMPROVE_BEHAVIORAL_MOD_CENTER"
DESCRIPTION_IMPROVE_CORNUCOPIC_VAT		"junkstring_DESCRIPTION_IMPROVE_CORNUCOPIC_VAT"
DESCRIPTION_IMPROVE_MICRO_DEFENSE		"junkstring_DESCRIPTION_IMPROVE_MICRO_DEFENSE"
DESCRIPTION_IMPROVE_MATTER_DECOMPILER		"junkstring_DESCRIPTION_IMPROVE_MATTER_DECOMPILER"
DESCRIPTION_IMPROVE_BODY_EXCHANGE		"junkstring_DESCRIPTION_IMPROVE_BODY_EXCHANGE"
DESCRIPTION_IMPROVE_GAIA_COMPUTER       	"junkstring_DESCRIPTION_IMPROVE_GAIA_COMPUTER"
DESCRIPTION_IMPROVE_POWER_SATELLITE     	"junkstring_DESCRIPTION_IMPROVE_POWER_SATELLITE"
    
# WONDERS DESCRIPTIONS #	
DEFAULT_WONDER_DESCRIPTION                      "junkstring_DEFAULT_WONDER_DESCRIPTION  "
DESCRIPTION_WONDER_GREAT_WALL                   "junkstring_DESCRIPTION_WONDER_GREAT_WALL"
DESCRIPTION_WONDER_PYRAMIDS                     "junkstring_DESCRIPTION_WONDER_PYRAMIDS"
DESCRIPTION_WONDER_RAMAYANA                     "junkstring_DESCRIPTION_WONDER_RAMAYANA"
DESCRIPTION_WONDER_CHICHEN_ITZA                 "junkstring_DESCRIPTION_WONDER_CHICHEN_ITZA"
DESCRIPTION_WONDER_THE_FORBIDDEN_CITY           "junkstring_DESCRIPTION_WONDER_THE_FORBIDDEN_CITY"
DESCRIPTION_WONDER_THE_APPIAN_WAY               "junkstring_DESCRIPTION_WONDER_THE_APPIAN_WAY"
DESCRIPTION_WONDER_HAGIA_SOPHIA                 "junkstring_DESCRIPTION_WONDER_HAGIA_SOPHIA"
DESCRIPTION_WONDER_GUTTENBERGS_BIBLE            "junkstring_DESCRIPTION_WONDER_GUTTENBERGS_BIBLE"
DESCRIPTION_WONDER_EAST_INDIA_COMPANY           "junkstring_DESCRIPTION_WONDER_EAST_INDIA_COMPANY"
DESCRIPTION_WONDER_GALILEOS_TELESCOPE           "junkstring_DESCRIPTION_WONDER_GALILEOS_TELESCOPE"
DESCRIPTION_WONDER_LONDON_EXCHANGE              "junkstring_DESCRIPTION_WONDER_LONDON_EXCHANGE"
DESCRIPTION_WONDER_EMANCIPATION_PROCLAMATION	"junkstring_DESCRIPTION_WONDER_EMANCIPATION_PROCLAMATION"
DESCRIPTION_WONDER_ARISTOTLES_LYCEUM            "junkstring_DESCRIPTION_WONDER_ARISTOTLES_LYCEUM"
DESCRIPTION_WONDER_HOLLYWOOD                    "junkstring_DESCRIPTION_WONDER_HOLLYWOOD"
DESCRIPTION_WONDER_THE_AGENCY                   "junkstring_DESCRIPTION_WONDER_THE_AGENCY"
DESCRIPTION_WONDER_INTERNET                     "junkstring_DESCRIPTION_WONDER_INTERNET"
DESCRIPTION_WONDER_PENICILLIN                   "junkstring_DESCRIPTION_WONDER_PENICILLIN"
DESCRIPTION_WONDER_GENOME_PROJECT               "junkstring_DESCRIPTION_WONDER_GENOME_PROJECT"
DESCRIPTION_WONDER_GLOBESAT                     "junkstring_DESCRIPTION_WONDER_GLOBESAT"
DESCRIPTION_WONDER_DATA_HAVEN                   "junkstring_DESCRIPTION_WONDER_DATA_HAVEN"
DESCRIPTION_WONDER_EMPIRE_STATE_BUILDING        "junkstring_DESCRIPTION_WONDER_EMPIRE_STATE_BUILDING"
DESCRIPTION_WONDER_THE_EDEN_PROJECT             "junkstring_DESCRIPTION_WONDER_THE_EDEN_PROJECT"
DESCRIPTION_WONDER_THE_SOLARIS_PROJECT          "junkstring_DESCRIPTION_WONDER_THE_SOLARIS_PROJECT"
DESCRIPTION_WONDER_EGALITARIAN_ACT              "junkstring_DESCRIPTION_WONDER_EGALITARIAN_ACT"
DESCRIPTION_WONDER_FIELD_DYNAMICS_LABORATORY    "junkstring_DESCRIPTION_WONDER_FIELD_DYNAMICS_LABORATORY"
DESCRIPTION_WONDER_NANITE_DEFUSER               "junkstring_DESCRIPTION_WONDER_NANITE_DEFUSER"
DESCRIPTION_WONDER_GLOBAL_SURVEILLANCE_CENTER   "junkstring_DESCRIPTION_WONDER_GLOBAL_SURVEILLANCE_CENTER"
DESCRIPTION_WONDER_GLOBAL_NANO_CLEANER          "junkstring_DESCRIPTION_WONDER_GLOBAL_NANO_CLEANER"
DESCRIPTION_WONDER_NATIONAL_SHIELD              "junkstring_DESCRIPTION_WONDER_NATIONAL_SHIELD"
DESCRIPTION_WONDER_INTERNATIONAL_HUMAN_RIGHTS   "junkstring_DESCRIPTION_WONDER_INTERNATIONAL_HUMAN_RIGHTS"

### Placeholder GL Desc Strings ###
IMPROVE_ACADEMY_PREREQ 				"需要联接到大图书馆"
IMPROVE_AIRPORT_PREREQ				"需要联接到大图书馆"
IMPROVE_ANTI_BALLISTIC_MISSILES_PREREQ		"需要联接到大图书馆"
IMPROVE_AQUA_FILTER_PREREQ			"需要联接到大图书馆"
IMPROVE_AQUEDUCT_PREREQ				"需要联接到大图书馆"
IMPROVE_ARCOLOGIES_PREREQ			"需要联接到大图书馆"
IMPROVE_ARENA_PREREQ				"需要联接到大图书馆"
IMPROVE_BALLISTA_TOWERS_PREREQ			"需要联接到大图书馆"
IMPROVE_BANK_PREREQ				"需要联接到大图书馆"
IMPROVE_BASCILICA_PREREQ			"需要联接到大图书馆"
IMPROVE_BATTLEMENTS_PREREQ			"需要联接到大图书馆"
IMPROVE_BAZAAR_PREREQ				"需要联接到大图书馆"
IMPROVE_BEHAVIORAL_MOD_CENTER_PREREQ		"需要联接到大图书馆"
IMPROVE_BODY_EXCHANGE_PREREQ			"需要联接到大图书馆"
IMPROVE_BROKERAGE_PREREQ			"需要联接到大图书馆"
IMPROVE_CAPITOL_PREREQ				"需要联接到大图书馆"
IMPROVE_CITY_WALLS_PREREQ			"需要联接到大图书馆"
IMPROVE_COMPUTER_CENTER_PREREQ			"需要联接到大图书馆"
IMPROVE_CORNUCOPIC_VATS_PREREQ			"需要联接到大图书馆"
IMPROVE_CORRECTIONAL_FACILITY_PREREQ		"需要联接到大图书馆"
IMPROVE_COURTHOUSE_PREREQ			"需要联接到大图书馆"
IMPROVE_DRUG_STORE_PREREQ			"需要联接到大图书馆"
IMPROVE_E_BANK_PREREQ				"需要联接到大图书馆"
IMPROVE_ECO_TRANSIT_PREREQ			"需要联接到大图书馆"
IMPROVE_FACTORY_PREREQ				"需要联接到大图书馆"
IMPROVE_FLAK_TOWERS_PREREQ			"需要联接到大图书馆"
IMPROVE_FOOD_SILO_PREREQ			"需要联接到大图书馆"
IMPROVE_FORCEFIELD_PREREQ			"需要联接到大图书馆"
IMPROVE_FUSION_PLANT_PREREQ			"需要联接到大图书馆"
IMPROVE_GAIA_COMPUTER_PREREQ			"需要联接到大图书馆"
IMPROVE_GRANARY_PREREQ				"需要联接到大图书馆"
IMPROVE_HOSPITAL_PREREQ				"需要联接到大图书馆"
IMPROVE_INCUBATION_CENTER_PREREQ		"需要联接到大图书馆"
IMPROVE_MATTER_DECOMPILER_PREREQ		"需要联接到大图书馆"
IMPROVE_MICRO_DEFENSE_PREREQ			"需要联接到大图书馆"
IMPROVE_MILL_PREREQ				"需要联接到大图书馆"
IMPROVE_MOVIE_PALACE_PREREQ			"需要联接到大图书馆"
IMPROVE_NANITE_FACTORY_PREREQ			"需要联接到大图书馆"
IMPROVE_NUCLEAR_PLANT_PREREQ			"需要联接到大图书馆"
IMPROVE_OIL_REFINERY_PREREQ			"需要联接到大图书馆"
IMPROVE_ORBITAL_LABORATORY_PREREQ		"需要联接到大图书馆"
IMPROVE_POWER_SATELLITE_PREREQ			"需要联接到大图书馆"
IMPROVE_PUBLIC_TRANSPORTATION_PREREQ		"需要联接到大图书馆"
IMPROVE_PUBLISHING_HOUSE_PREREQ			"需要联接到大图书馆"
IMPROVE_RECYCLING_PLANT_PREREQ			"需要联接到大图书馆"
IMPROVE_ROBOTIC_PLANT_PREREQ			"需要联接到大图书馆"
IMPROVE_SECURITY_MONITOR_PREREQ			"需要联接到大图书馆"
IMPROVE_SHRINE_PREREQ				"需要联接到大图书馆"
IMPROVE_TELEVISION_PREREQ			"需要联接到大图书馆"
IMPROVE_THEATER_PREREQ				"需要联接到大图书馆"
IMPROVE_UNIVERSITY_PREREQ			"需要联接到大图书馆"
IMPROVE_VR_AMUSEMENT_PARK_PREREQ		"需要联接到大图书馆"
UNIT_ABOLITIONIST_STATISTICS			"需要联接到大图书馆"
UNIT_AIRCRAFT_CARRIER_STATISTICS		"需要联接到大图书馆"
UNIT_ARCHER_STATISTICS				"需要联接到大图书馆"
UNIT_ARTILLERY_STATISTICS			"需要联接到大图书馆"
UNIT_BATTLESHIP_STATISTICS			"需要联接到大图书馆"
UNIT_BOMBER_STATISTICS				"需要联接到大图书馆"
UNIT_CANNON_STATISTICS				"需要联接到大图书馆"
UNIT_CARGO_HELICOPTER_STATISTICS		"需要联接到大图书馆"
UNIT_CARRACK_STATISTICS				"需要联接到大图书馆"
UNIT_CATAMARAN_STATISTICS			"需要联接到大图书馆"
UNIT_CATAPULT_STATISTICS			"需要联接到大图书馆"
UNIT_CAVALRY_STATISTICS				"需要联接到大图书馆"
UNIT_CLERIC_STATISTICS				"需要联接到大图书馆"
UNIT_CORPORATE_BRANCH_STATISTICS		"需要联接到大图书馆"
UNIT_CRAWLER_STATISTICS				"需要联接到大图书馆"
UNIT_CRUISE_MISSILE_STATISTICS			"需要联接到大图书馆"
UNIT_CYBER_NINJA_STATISTICS			"需要联接到大图书馆"
UNIT_DESTROYER_STATISTICS			"需要联接到大图书馆"
UNIT_DIPLOMAT_STATISTICS			"需要联接到大图书馆"
UNIT_DREADNAUGHT_STATISTICS			"需要联接到大图书馆"
UNIT_ECO_RANGER_STATISTICS			"需要联接到大图书馆"
UNIT_ECO_TERRORIST_STATISTICS			"需要联接到大图书馆"
UNIT_EMPATHIC_DIPLOMAT_STATISTICS		"需要联接到大图书馆"
UNIT_FASCIST_STATISTICS				"需要联接到大图书馆"
UNIT_FIGHTER_STATISTICS				"需要联接到大图书馆"
UNIT_FIRE_TRIREME_STATISTICS			"需要联接到大图书馆"
UNIT_FRIGATE_STATISTICS				"需要联接到大图书馆"
UNIT_FUSION_TANK_STATISTICS			"需要联接到大图书馆"
UNIT_HOPLITE_STATISTICS				"需要联接到大图书馆"
UNIT_HOVER_INFANTRY_STATISTICS			"需要联接到大图书馆"
UNIT_INFANTRYMAN_STATISTICS			"需要联接到大图书馆"
UNIT_INFECTOR_STATISTICS			"需要联接到大图书馆"
UNIT_INTERCEPTOR_STATISTICS			"需要联接到大图书馆"
UNIT_IRONCLAD_STATISTICS			"需要联接到大图书馆"
UNIT_KNIGHT_STATISTICS				"需要联接到大图书馆"
UNIT_KRAKEN_STATISTICS				"需要联接到大图书馆"
UNIT_LAWYER_STATISTICS				"需要联接到大图书馆"
UNIT_LEVIATHON_STATISTICS			"需要联接到大图书馆"
UNIT_LONGSHIP_STATISTICS			"需要联接到大图书馆"
UNIT_MACHINE_GUNNER_STATISTICS			"需要联接到大图书馆"
UNIT_MARINE_STATISTICS				"需要联接到大图书馆"
UNIT_MOBILE_SAM_STATISTICS			"需要联接到大图书馆"
UNIT_MOREY_STRIKER_STATISTICS			"需要联接到大图书馆"
UNIT_MOUNTED_ARCHER_STATISTICS			"需要联接到大图书馆"
UNIT_NUCLEAR_SUBMARINE_STATISTICS		"需要联接到大图书馆"
UNIT_NUKE_STATISTICS				"需要联接到大图书馆"
UNIT_PARATROOPER_STATISTICS			"需要联接到大图书馆"
UNIT_PIKEMEN_STATISTICS				"需要联接到大图书馆"
UNIT_PLASMA_DESTROYER_STATISTICS		"需要联接到大图书馆"
UNIT_SCOUT_SUB_STATISTICS			"需要联接到大图书馆"
UNIT_SEA_ENGINEER_STATISTICS			"需要联接到大图书馆"
UNIT_SETTLER_STATISTICS				"需要联接到大图书馆"
UNIT_SHIP_OF_THE_LINE_STATISTICS		"需要联接到大图书馆"
UNIT_SLAVER_STATISTICS				"需要联接到大图书馆"
UNIT_SPACE_PLANE_STATISTICS			"需要联接到大图书馆"
UNIT_SPY_STATISTICS				"需要联接到大图书馆"
UNIT_SPY_PLANE_STATISTICS			"需要联接到大图书馆"
UNIT_STEALTH_BOMBER_STATISTICS			"需要联接到大图书馆"
UNIT_STEALTH_FIGHTER_STATISTICS			"需要联接到大图书馆"
UNIT_SUBMARINE_STATISTICS			"需要联接到大图书馆"
UNIT_SUBNEURAL_AD_STATISTICS			"需要联接到大图书馆"
UNIT_SWORDSMAN_STATISTICS			"需要联接到大图书馆"
UNIT_TANK_STATISTICS				"需要联接到大图书馆"
UNIT_TELEVANGELIST_STATISTICS			"需要联接到大图书馆"
UNIT_TROOP_SHIP_STATISTICS			"需要联接到大图书馆"
UNIT_URBAN_PLANNER_STATISTICS			"需要联接到大图书馆"
UNIT_WAR_WALKER_STATISTICS			"需要联接到大图书馆"
UNIT_WARRIOR_STATISTICS				"需要联接到大图书馆"
WONDER_ARISTOTLES_LYCEUM_STATISTICS		"需要联接到大图书馆"
WONDER_CHICHEN_ITZA_STATISTICS			"需要联接到大图书馆"
WONDER_DATA_HAVEN_STATISTICS			"需要联接到大图书馆"
