## MORE DIPLOMACY STUFF ##
DIP_DEMAND_ADVANCE_NONE "无可要求科技。"
REGARD_0 "中立"
REGARD_1 "敌意"
REGARD_2 "善意"

#### Regard strings ####
ATTITUDE_0 "中立"
ATTITUDE_1 "高度敌意"
ATTITUDE_2 "极为友善"
ATTITUDE_3 "略带敌意"
ATTITUDE_4 "略带善意"

### Diplomacy stuff

MADLIB_REQUEST_GREETINGS_N "我带来邻国[player.1.civ_name_singular]人民诚挚的问候。"
MADLIB_REQUEST_GREETINGS_SF "欢迎之至。我们共同欢呼这位来自[player.1.country_name]的卓越领导者[player.1.leader_name]。"
MADLIB_REQUEST_GREETINGS_SH "[player.1.country_name]的伟大领袖愿意屈身遣人前来表达问候之意。这可说是我国历史上值得彰显荣耀的一刻。"
MADLIB_REQUEST_GREETINGS_WF "我带来了[player.1.civ_name_singular]帝国领袖[player.1.leader_name]的欢迎之意。我们都已听闻你那伟大的智能与至上权力的事迹。"
MADLIB_REQUEST_GREETINGS_WH "我送达友善的讯息给您，[player.2.leader_name]。[player.1.country_name]希望能与贵国建立起友善的关系。"

MADLIB_ACKNOWLEDGE_GREETINGS_N "[madlib.address_head.attitude][player.1.civ_name_plural]，我们[player.2.civ_name_plural]欢迎与您有更进一步会面的机会。"
MADLIB_ACKNOWLEDGE_GREETINGS_SF "[madlib.address_head.attitude][player.1.civ_name_plural]，很高兴看到你。我的朋友，请告诉我你们希望和[player.2.country_name]国家中伟大的[player.2.leader_name]讨论些什么事呢？"
MADLIB_ACKNOWLEDGE_GREETINGS_SH "[madlib.address_head.attitude][player.1.civ_name_plural]，我们有意愿与你接触，不过我们也知道你们的领袖[player.1.leader_name]对[player.2.civ_name_singular]的人民做出了非常血腥的举动。"
MADLIB_ACKNOWLEDGE_GREETINGS_WF "[madlib.address_head.attitude][player.1.civ_name_plural]，[player.2.country_name]非常重视这次的会面。像贵国如此强大的国家一定会愿意帮助他的朋友的。"
MADLIB_ACKNOWLEDGE_GREETINGS_WH "[madlib.address_head.attitude][player.1.civ_name_plural]，虽然你们拥有着充满暴戾的历史，不过我仍同意你的外交拜访，不过我们也希望贵国能与[player.2.civ_name_singular]的人民们停战和解。"

DIP_ACKNOWLEDGE_GREETINGS "[madlib.acknowledge_greetings.attitude]"

DIP_REQUEST_GREETINGS "[madlib.request_greetings.attitude]"

#str_tbl_ldl_The_Diplomats "我们的领袖目前公务繁忙，我们并没有兴趣与贵国在此时商谈任何事务。" 

MADLIB_DIP_HEAD "[madlib.address_head.attitude][player.2.civ_name_plural]，我们[player.1.civ_name_plural]，"

DIP_HEADER               "[madlib.dip_head]..."
DIP_DEMAND_INCOMPLETE    "[madlib.dip_head]要求贵国..."
DIP_OFFER_INCOMPLETE     "[madlib.dip_head]提供贵国..."
DIP_TREATY_INCOMPLETE    "[madlib.dip_head]提出一项协议..."
DIP_EXCHANGE_INCOMPLETE  "[madlib.dip_head]希望交换..."

DIP_DEMAND_GOLD      "[madlib.dip_head]要求贵国提供[gold.amount]单位的黄金[madlib.demand_tail.attitude]"
DIP_DEMAND_MAPS      "[madlib.dip_head]要求贵国提供给我们贵国的地图[madlib.demand_tail.attitude]"
DIP_DEMAND_ADVANCE   "[madlib.dip_head]要求贵国能在[advance.name]上提供我们相关的知识[madlib.demand_tail.attitude]"
DIP_DEMAND_PIRACY    "[madlib.dip_head]要求贵国能够停止其海盗行为[madlib.demand_tail.attitude]"
DIP_DEMAND_STOPTRADE "[madlib.dip_head]要求贵国能终止与[player.3.civ_name_plural]的贸易行为[madlib.demand_tail.attitude]"
DIP_DEMAND_POLLUTION "[madlib.dip_head]要求贵国能降低污染的产量[madlib.demand_tail.attitude]"
DIP_DEMAND_LEAVE     "[madlib.dip_head]要求贵国能停止其侵略行为[madlib.demand_tail.attitude]"
DIP_DEMAND_ATTACK    "[madlib.dip_head]要求贵国能加入我们，共同对抗[player.3.civ_name_plural][madlib.demand_tail.attitude]"

DIP_OFFER_GOLD    "[madlib.dip_head]提供给贵国一笔[gold.amount]单位黄金的友善援助[madlib.offer_tail.attitude]"
DIP_OFFER_MAPS    "[madlib.dip_head]提供给贵国地图[madlib.offer_tail.attitude]"
DIP_OFFER_ADVANCE "[madlib.dip_head]提供给贵国有关于[advance.name]方面的知识[madlib.offer_tail.attitude]"

DIP_TREATY_CEASE    "[madlib.dip_head]提出暂时性的和平条约[madlib.treaty_tail.attitude]"
DIP_TREATY_ECO      "[madlib.dip_head]提出正式保护地球生态的环保协议[madlib.treaty_tail.attitude]"
# Conflict with new diplomacy, bye-bye!
DIP_TREATY_ALLIANCE "[madlib.dip_head]提出一个共结永久联盟的提议[madlib.treaty_tail.attitude]"

# DIP_EXCHANGE_ADVANCE Had conflict with new diplomacy strings!
DIP_EXCHANGE_ADVANCE "[madlib.dip_head]要求能用本国在[advance.1.name]的知识来交换贵国在[advance.2.name]上面的知识[madlib.exchange_tail.attitude]"

DIP_EXCHANGE_MAPS    "[madlib.dip_head]要求能交换地图[madlib.exchange_tail.attitude]"

MADLIB_DIP_RES_HEAD "[player.2.civ_name_plural]的[player.2.leader_name]"

MADLIB_DIP_RES_DEMAND_GOLD      "要求我们提供[gold.amount]单位的黄金。"
MADLIB_DIP_RES_DEMAND_MAPS      "要求提供我们的地图"
MADLIB_DIP_RES_DEMAND_ADVANCE   "要求我们能为[player.2.civ_name_singular]提供在[advance.name]方面的相关知识"
MADLIB_DIP_RES_DEMAND_PIRACY    "要求我们能停止对贵国的海盗行为"
MADLIB_DIP_RES_DEMAND_STOPTRADE "要求我们停止对[player.3.civ_name_plural]的贸易行为"
MADLIB_DIP_RES_DEMAND_POLLUTION "要求我们降低污染产量"
MADLIB_DIP_RES_DEMAND_LEAVE     "要求我们停止侵略行为"
MADLIB_DIP_RES_DEMAND_ATTACK    "要求我们加入贵国，共同对抗[player.3.civ_name_plural]"

MADLIB_DIP_RES_OFFER_GOLD       "[gold.amount]单位黄金的提供"
MADLIB_DIP_RES_OFFER_MAPS       "[player.1.civ_name_singular]地图的提供"
MADLIB_DIP_RES_OFFER_ADVANCE    "[player.1.civ_name_singular]在[advance.name]知识方面的提供"

MADLIB_DIP_RES_TREATY_CEASE     "和平协议"
MADLIB_DIP_RES_TREATY_ECO       "签署条约来正式保护地球环境"
MADLIB_DIP_RES_TREATY_ALLIANCE  "签署条约来形成一个永久联盟"

MADLIB_DIP_RES_EXCHANGE_ADVANCE "[player.1.civ_name_singular]的[advance.1.name]与[player.2.civ_name_singular]的[advance.2.name]相互交流"
MADLIB_DIP_RES_EXCHANGE_MAPS    "[player.1.civ_name_singular]与我们[player.2.civ_name_singular]交换地图"

DIP_ACCEPT_DEMAND_GOLD          "[madlib.dip_res_head]接受你，[madlib.emote_demand_a][madlib.dip_res_demand_gold][madlib.restail_accept.attitude]"
DIP_ACCEPT_DEMAND_MAPS          "[madlib.dip_res_head]接受你，[madlib.emote_demand_a][madlib.dip_res_demand_maps][madlib.restail_accept.attitude]"
DIP_ACCEPT_DEMAND_ADVANCE       "[madlib.dip_res_head]接受你，[madlib.emote_demand_a][madlib.dip_res_demand_advance][madlib.restail_accept.attitude]"
DIP_ACCEPT_DEMAND_PIRACY        "[madlib.dip_res_head]接受你，[madlib.emote_demand_a][madlib.dip_res_demand_piracy][madlib.restail_accept.attitude]"
DIP_ACCEPT_DEMAND_STOPTRADE     "[madlib.dip_res_head]接受你，[madlib.emote_demand_a][madlib.dip_res_demand_stoptrade][madlib.restail_accept.attitude]"
DIP_ACCEPT_DEMAND_POLLUTION     "[madlib.dip_res_head]接受你，[madlib.emote_demand_a][madlib.dip_res_demand_pollution][madlib.restail_accept.attitude]"
DIP_ACCEPT_DEMAND_LEAVE         "[madlib.dip_res_head]接受你，[madlib.emote_demand_a][madlib.dip_res_demand_leave][madlib.restail_accept.attitude]"
DIP_ACCEPT_DEMAND_ATTACK        "[madlib.dip_res_head]接受你，[madlib.emote_demand_a][madlib.dip_res_demand_attack][madlib.restail_accept.attitude]"

DIP_ACCEPT_OFFER_GOLD           "[madlib.dip_res_head]接受你，[madlib.emote_offer_a][madlib.dip_res_offer_gold][madlib.restail_accept.attitude]"
DIP_ACCEPT_OFFER_MAPS           "[madlib.dip_res_head]接受你，[madlib.emote_offer_a][madlib.dip_res_offer_maps][madlib.restail_accept.attitude]"
DIP_ACCEPT_OFFER_ADVANCE        "[madlib.dip_res_head]接受你，[madlib.emote_offer_a][madlib.dip_res_offer_advance][madlib.restail_accept.attitude]"

DIP_ACCEPT_TREATY_CEASE         "[madlib.dip_res_head]接受你，[madlib.emote_treaty_a][madlib.dip_res_treaty_cease][madlib.restail_accept.attitude]"
DIP_ACCEPT_TREATY_ECO           "[madlib.dip_res_head]接受你，[madlib.emote_treaty_a][madlib.dip_res_treaty_eco][madlib.restail_accept.attitude]"
DIP_ACCEPT_TREATY_ALLIANCE      "[madlib.dip_res_head]接受你，[madlib.emote_treaty_a][madlib.dip_res_treaty_alliance][madlib.restail_accept.attitude]"

DIP_ACCEPT_EXCHANGE_ADVANCE     "[madlib.dip_res_head]接受你，[madlib.emote_exchange_a][madlib.dip_res_exchange_advance][madlib.restail_accept.attitude]"
DIP_ACCEPT_EXCHANGE_MAPS        "[madlib.dip_res_head]接受你，[madlib.emote_exchange_a][madlib.dip_res_exchange_maps][madlib.restail_accept.attitude]"

DIP_REJECT_DEMAND_GOLD          "[madlib.dip_res_head]拒绝你，[madlib.emote_demand_r][madlib.dip_res_demand_gold][madlib.restail_reject.attitude]"
DIP_REJECT_DEMAND_MAPS          "[madlib.dip_res_head]拒绝你，[madlib.emote_demand_r][madlib.dip_res_demand_maps][madlib.restail_reject.attitude]"
DIP_REJECT_DEMAND_ADVANCE       "[madlib.dip_res_head]拒绝你，[madlib.emote_demand_r][madlib.dip_res_demand_advance][madlib.restail_reject.attitude]"
DIP_REJECT_DEMAND_PIRACY        "[madlib.dip_res_head]拒绝你，[madlib.emote_demand_r][madlib.dip_res_demand_piracy][madlib.restail_reject.attitude]"
DIP_REJECT_DEMAND_STOPTRADE     "[madlib.dip_res_head]拒绝你，[madlib.emote_demand_r][madlib.dip_res_demand_stoptrade][madlib.restail_reject.attitude]"
DIP_REJECT_DEMAND_POLLUTION     "[madlib.dip_res_head]拒绝你，[madlib.emote_demand_r][madlib.dip_res_demand_pollution][madlib.restail_reject.attitude]"
DIP_REJECT_DEMAND_LEAVE         "[madlib.dip_res_head]拒绝你，[madlib.emote_demand_r][madlib.dip_res_demand_leave][madlib.restail_reject.attitude]"
DIP_REJECT_DEMAND_ATTACK        "[madlib.dip_res_head]拒绝你，[madlib.emote_demand_r][madlib.dip_res_demand_attack][madlib.restail_reject.attitude]"

DIP_REJECT_OFFER_GOLD           "[madlib.dip_res_head]拒绝你，[madlib.emote_offer_r][madlib.dip_res_offer_gold][madlib.restail_reject.attitude]"
DIP_REJECT_OFFER_MAPS           "[madlib.dip_res_head]拒绝你，[madlib.emote_offer_r][madlib.dip_res_offer_maps][madlib.restail_reject.attitude]"
DIP_REJECT_OFFER_ADVANCE        "[madlib.dip_res_head]拒绝你，[madlib.emote_offer_r][madlib.dip_res_offer_advance][madlib.restail_reject.attitude]"

DIP_REJECT_TREATY_CEASE         "[madlib.dip_res_head]拒绝你，[madlib.emote_treaty_r][madlib.dip_res_treaty_cease][madlib.restail_reject.attitude]"
DIP_REJECT_TREATY_ECO           "[madlib.dip_res_head]拒绝你，[madlib.emote_treaty_r][madlib.dip_res_treaty_eco][madlib.restail_reject.attitude]"
DIP_REJECT_TREATY_ALLIANCE      "[madlib.dip_res_head]拒绝你，[madlib.emote_treaty_r][madlib.dip_res_treaty_alliance][madlib.restail_reject.attitude]"

DIP_REJECT_EXCHANGE_ADVANCE     "[madlib.dip_res_head]拒绝你，[madlib.emote_exchange_r][madlib.dip_res_exchange_advance][madlib.restail_reject.attitude]"
DIP_REJECT_EXCHANGE_MAPS        "[madlib.dip_res_head]拒绝你，[madlib.emote_exchange_r][madlib.dip_res_exchange_maps][madlib.restail_reject.attitude]"


MADLIB_ADDRESS_HEAD_N  "敏感的"
MADLIB_ADDRESS_HEAD_N  "公正的"
MADLIB_ADDRESS_HEAD_N  "谦虚的"
MADLIB_ADDRESS_HEAD_N  "值得尊敬的"
MADLIB_ADDRESS_HEAD_N  "邻近的"
MADLIB_ADDRESS_HEAD_N  "诚挚的"
MADLIB_ADDRESS_HEAD_SF "令人钦佩的"
MADLIB_ADDRESS_HEAD_SF "谦恭的"
MADLIB_ADDRESS_HEAD_SF "可依靠的"
MADLIB_ADDRESS_HEAD_SF "忠实的"
MADLIB_ADDRESS_HEAD_SF "信心十足的"
MADLIB_ADDRESS_HEAD_SF "忠诚的"
MADLIB_ADDRESS_HEAD_SH "厌恶的"
MADLIB_ADDRESS_HEAD_SH "堕落的"
MADLIB_ADDRESS_HEAD_SH "卑劣的"
MADLIB_ADDRESS_HEAD_SH "可憎的"
MADLIB_ADDRESS_HEAD_SH "残忍的"
MADLIB_ADDRESS_HEAD_SH "凶手般的"
MADLIB_ADDRESS_HEAD_SH "贫弱的"
MADLIB_ADDRESS_HEAD_WF "优雅的"
MADLIB_ADDRESS_HEAD_WF "伟大不凡的"
MADLIB_ADDRESS_HEAD_WF "威武的"
MADLIB_ADDRESS_HEAD_WF "睿智的"
MADLIB_ADDRESS_HEAD_WF "高贵的"
MADLIB_ADDRESS_HEAD_WH "低贱的"
MADLIB_ADDRESS_HEAD_WH "愚笨的"
MADLIB_ADDRESS_HEAD_WH "平凡的"
MADLIB_ADDRESS_HEAD_WH "愚昧的"
MADLIB_ADDRESS_HEAD_WH "纯真的"

MADLIB_DEMAND_TAIL_N  "所以我们可以成为更好的朋友。"
MADLIB_DEMAND_TAIL_N  "改善我们之间的关系，并有助于双方的利益。"
MADLIB_DEMAND_TAIL_N  "为了能更确保两国之间的安定与繁荣。"
MADLIB_DEMAND_TAIL_N  "当作是你们的善意。"
MADLIB_DEMAND_TAIL_SF "当作是忠诚的行为与象征。"
MADLIB_DEMAND_TAIL_SF "为了持续我们友善的关系。"
MADLIB_DEMAND_TAIL_SF "我们会一直帮助你的。"
MADLIB_DEMAND_TAIL_SF "在你需要的时候我们就会帮助你们。"
MADLIB_DEMAND_TAIL_SF "我们会永远记住你们的支持的。"
MADLIB_DEMAND_TAIL_SH "否则我们将会摧毁你们。"
MADLIB_DEMAND_TAIL_SH "否则你们的拒绝我们将会永远记住。"
MADLIB_DEMAND_TAIL_SH "否则就等着我们的复仇吧！"
MADLIB_DEMAND_TAIL_SH "否则就等着面对我们强力的部队吧！"
MADLIB_DEMAND_TAIL_SH "我们应该监视你们早期所犯的罪孽。"
MADLIB_DEMAND_TAIL_SH "所以我们可以原谅你暴戾的过去。"
MADLIB_DEMAND_TAIL_WF "证明你仍珍惜我们的忠诚吧！"
MADLIB_DEMAND_TAIL_WF "我们会永远感谢你的。"
MADLIB_DEMAND_TAIL_WF "就当作是我们善意的象征吧！"
MADLIB_DEMAND_TAIL_WF "我们会永远荣耀你那慷慨的心灵的。"
MADLIB_DEMAND_TAIL_WF "以及证明你们人民的慷慨。"
MADLIB_DEMAND_TAIL_WH "为了显现出你们伟大怜悯的时刻。"
MADLIB_DEMAND_TAIL_WH "并且我们将会永远亏欠你们的。"
MADLIB_DEMAND_TAIL_WH "否则我们将被迫转向你的敌人求助。"
MADLIB_DEMAND_TAIL_WH "做为我们将拥有更好未来的左证。"

MADLIB_EXCHANGE_TAIL_N  "为了开启我们之间的新对话。"
MADLIB_EXCHANGE_TAIL_N  "为了增进彼此之间的关系。"
MADLIB_EXCHANGE_TAIL_N  "为了我们彼此之间的利益。"
MADLIB_EXCHANGE_TAIL_N  "假若贵国想要一个互助互利的关系。"
MADLIB_EXCHANGE_TAIL_SF "为了继续我们之间友善的关系。"
MADLIB_EXCHANGE_TAIL_SF "如此我们才能不去怀疑贵国的友谊。"
MADLIB_EXCHANGE_TAIL_SF "如此我们才可以开始考虑贵国是否为我之朋友啊！"
MADLIB_EXCHANGE_TAIL_SF "如此你我两国才能长保长久繁荣。"
MADLIB_EXCHANGE_TAIL_SH "，请你毫不迟疑地接受。"
MADLIB_EXCHANGE_TAIL_SH "，你如果拒绝，那我就会直接去做了。"
MADLIB_EXCHANGE_TAIL_SH "，还有要小心，你的拒绝对我们这骄傲的国家来说绝对是种污辱。"
MADLIB_EXCHANGE_TAIL_WF "，为了显示出贵国重视我国的忠诚。"
MADLIB_EXCHANGE_TAIL_WF "，我们会永远感谢你的。"
MADLIB_EXCHANGE_TAIL_WF "作为良善的象征。"
MADLIB_EXCHANGE_TAIL_WF "因为我们视其为兄弟。"
MADLIB_EXCHANGE_TAIL_WH "作为谅解的代表。"
MADLIB_EXCHANGE_TAIL_WH "为了我们彼此恶劣的关系想出一个和平的解决方案。"
MADLIB_EXCHANGE_TAIL_WH "作为前往建立平和关系的代表。"
MADLIB_EXCHANGE_TAIL_WH "作为一段恶劣关系的结束。"

MADLIB_OFFER_TAIL_N  "为了让我们友谊更加稳固。"
MADLIB_OFFER_TAIL_N  "为了加强我们之间的关系。"
MADLIB_OFFER_TAIL_N  "为了加强我们之间的利益。"
MADLIB_OFFER_TAIL_N  "为我们双方民众建立邦谊。"
MADLIB_OFFER_TAIL_SF "作为贵国忠诚的回礼。"
MADLIB_OFFER_TAIL_SF "所以我们的敌人将会死在我们面前。"
MADLIB_OFFER_TAIL_SF "为了贵国的繁荣。"
MADLIB_OFFER_TAIL_SF "为了在贵国需要时提供帮助。"
MADLIB_OFFER_TAIL_SF "为了回馈忠诚的朋友。"
MADLIB_OFFER_TAIL_SH "为了帮助你那令人感动的国家。"
MADLIB_OFFER_TAIL_SH "因为我怜悯你。"
MADLIB_OFFER_TAIL_SH "为了证明我们彼此之间没有尴尬。"
MADLIB_OFFER_TAIL_SH "如此历史才能记下我们曾经体恤弱者的慷慨事迹。"
MADLIB_OFFER_TAIL_SH "因为你这国家将是这世界的一个耻辱。"
MADLIB_OFFER_TAIL_WF "为了证明我们对贵国的忠诚。"
MADLIB_OFFER_TAIL_WF "作为良善的象征"
MADLIB_OFFER_TAIL_WF "为了让我们两国间的邦谊更为稳固。"
MADLIB_OFFER_TAIL_WF "如此我们就可以一起面对我们的敌人。"
MADLIB_OFFER_TAIL_WF "作为我们伟大尊敬的象征。"
MADLIB_OFFER_TAIL_WH "作为原谅过错的代表。"
MADLIB_OFFER_TAIL_WH "如此在这混乱的时刻中我们彼此将可同享和平的分分秒秒。"
MADLIB_OFFER_TAIL_WH "为了确保我们国家之间的和平关系。"
#MADLIB_OFFER_TAIL_WH "否则就准备面对我强盛的军队吧！"

MADLIB_TREATY_TAIL_N  "为了让我们友谊更加稳固。"
MADLIB_TREATY_TAIL_N  "为了加强我们之间的关系。"
MADLIB_TREATY_TAIL_N  "为了加强我们两国的利益。"
MADLIB_TREATY_TAIL_N  "如此在这混乱的时刻中我们彼此将可同享和平的分分秒秒。"
MADLIB_TREATY_TAIL_SF "作为忠诚的证明。"
MADLIB_TREATY_TAIL_SF "为了延续彼此之间良好的关系。"
MADLIB_TREATY_TAIL_SF "如此在这混乱的时刻中我们彼此将可同享和平的分分秒秒。"
MADLIB_TREATY_TAIL_SF "如此我们彼此才能够繁荣长治。"
MADLIB_TREATY_TAIL_SF "为了所有人类的利益。"
MADLIB_TREATY_TAIL_SH "如此在这混乱的时刻中我们彼此将可同享和平的分分秒秒。"
MADLIB_TREATY_TAIL_SH "，我们应该监视你们早期所犯过的罪孽。"
MADLIB_TREATY_TAIL_SH "为了加强我们两国的利益。"
MADLIB_TREATY_TAIL_SH "如此我们才能尽释前嫌，重新作个朋友。"
MADLIB_TREATY_TAIL_WF "加强我们人民之间日渐浓郁的友情。"
MADLIB_TREATY_TAIL_WF "如此在这混乱的时刻中我们彼此将可同享和平的分分秒秒。"
MADLIB_TREATY_TAIL_WF "如此我们才能向前寻找那和谐的未来。"
MADLIB_TREATY_TAIL_WF "为了捍卫我们子民更好的将来。"
MADLIB_TREATY_TAIL_WH "作为原谅过错的代表。"
MADLIB_TREATY_TAIL_WH "如此在这混乱的时刻中我们彼此将可同享和平的分分秒秒。"
MADLIB_TREATY_TAIL_WH "如此我们就可以停止我们之间的血腥争斗了。"
MADLIB_TREATY_TAIL_WH "为了要确保我们两国之间的和平。"


MADLIB_RESTAIL_ACCEPT_SF "因为我们希望贵国的国运昌隆。"
MADLIB_RESTAIL_ACCEPT_SF "因为我们希望能与贵国增强彼此之间的友谊。"
MADLIB_RESTAIL_ACCEPT_SF "如此我们的未来才能同样的明亮。"
MADLIB_RESTAIL_ACCEPT_SF "为了增进我们如国如友的关系。"
MADLIB_RESTAIL_ACCEPT_SF "如此我们的人民才能共同奋勉努力。"
MADLIB_RESTAIL_ACCEPT_WF "希望我们能更紧密地合作。"
MADLIB_RESTAIL_ACCEPT_WF "如此我们可以更坚定地站在你的身边。"
MADLIB_RESTAIL_ACCEPT_WF "我们确定以后贵国一定会有需要我们帮助的时候。"
MADLIB_RESTAIL_ACCEPT_WF "为了增进我们如国如友的关系。"
MADLIB_RESTAIL_ACCEPT_WF "以做为我们持续对你这般感觉的证明。"
MADLIB_RESTAIL_ACCEPT_N  "如此和平将会持续在你我之间。"
MADLIB_RESTAIL_ACCEPT_N  "如此我们将成为更亲密的联邦。"
#MADLIB_RESTAIL_ACCEPT_N  "如果可以避免失去我国人民性命的话。"
MADLIB_RESTAIL_ACCEPT_N  "因为我们共同分担了后果。"
MADLIB_RESTAIL_ACCEPT_N  "如此将可增进你我之间的利益。"
MADLIB_RESTAIL_ACCEPT_N  "，但是我们仍英勇地面对背叛者。"
MADLIB_RESTAIL_ACCEPT_WH "但这次，不要认为我们会放弃防守。"
MADLIB_RESTAIL_ACCEPT_WH "只是因为这对我们策略目的具有绝对的重要性。"
MADLIB_RESTAIL_ACCEPT_WH "，但虽然我们会保护自己。"
MADLIB_RESTAIL_ACCEPT_WH "，但是不要认为这是我们已无意见上的不和了。"
MADLIB_RESTAIL_ACCEPT_WH "因为我们都同意外交也许可以在战争前解决彼此观念上的些许不同。"
MADLIB_RESTAIL_ACCEPT_WH "，但是如果背离和平之路，贵国可能会蒙受重大损失。"
MADLIB_RESTAIL_ACCEPT_SH "但这次，不要认为我们会放弃防守。"
MADLIB_RESTAIL_ACCEPT_SH "只是因为这对我们策略目的具有绝对的重要性。"
MADLIB_RESTAIL_ACCEPT_SH "虽然下次我可能不会再对你如此慷慨了。"
MADLIB_RESTAIL_ACCEPT_SH "，虽然我们的士兵对不能在明天屠杀你们感到伤心。"
MADLIB_RESTAIL_ACCEPT_SH "，但是我保证我们一定会为你的背叛做好准备的。"
MADLIB_RESTAIL_ACCEPT_SH "，虽然我警告你我们的部队早已准备好保护我们。"

MADLIB_RESTAIL_REJECT_SF "，但也许在未来我们会重新考虑你的请求的。"
MADLIB_RESTAIL_REJECT_SF "，虽然我非常看重你的友情。"
MADLIB_RESTAIL_REJECT_SF "虽然我们希望在未来仍能帮助你们。"
MADLIB_RESTAIL_REJECT_SF "，但是我们仍希望能与贵国延续双方的友谊。"
MADLIB_RESTAIL_REJECT_SF "虽然我希望我们的关系不会有个糟糕的结果。"
MADLIB_RESTAIL_REJECT_WF "虽然我们的行为并不带有任何侮辱的意味。"
MADLIB_RESTAIL_REJECT_WF "虽然我希望贵国能不以讨厌我们作为收场。"
MADLIB_RESTAIL_REJECT_WF "虽然我们在未来确定会对你有所帮助。"
MADLIB_RESTAIL_REJECT_WF "因为某些冲突事件，我们此时并不适合太过亲密。"
MADLIB_RESTAIL_REJECT_WF "，虽然我为你未来送上我最诚挚的许愿。"
MADLIB_RESTAIL_REJECT_N  "目前我们有兴趣的地方似乎并不太一样。"
MADLIB_RESTAIL_REJECT_N  "，虽然对此事务并没有任何的考量。"
MADLIB_RESTAIL_REJECT_N  "你提供的并不能有效的满足我们。"
#MADLIB_RESTAIL_REJECT_N  "因为我们还有其它事情要处理。"
MADLIB_RESTAIL_REJECT_N  "因为我们目前并不需要。"
MADLIB_RESTAIL_REJECT_N  "，因为我们满意目前的安排。"
MADLIB_RESTAIL_REJECT_WH "因为过去你们对我们非常傲慢。"
MADLIB_RESTAIL_REJECT_WH "，以及要警告贵国你们这项未来外交方面的要求将为贵国带来灾难。"
MADLIB_RESTAIL_REJECT_WH "，因为你不能命令我国这种事情。"
MADLIB_RESTAIL_REJECT_WH "因为我们并不怕你粗鲁的行为。"
MADLIB_RESTAIL_REJECT_WH "因为我们完全不怕你的威胁。"
MADLIB_RESTAIL_REJECT_WH "因为和平的关系早已是过去许久的记忆了。"
MADLIB_RESTAIL_REJECT_SH "以及给你们一个缓慢但痛苦非凡的毁灭。"
