#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Meassage strings for the Alexander the Great scenario in Italian
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contain all the message strings for the Alexander the Great 
#   scenario. It contains nothing else.
# - The order of the strings has been synchronized in the English, German
#   and Italian version. This has not been done for the French, Spanish and 
#   Japanese version, since those files are missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages keep make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last time of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Synchronized the string sequenze between the English, German and Italian
#   of that file.
# - Removed Christain propaganda about Babylon.
# - German version only: Replaced formal addressing by Sie by King's and 
#   Queen's formal addressing of Ihr.
#
#----------------------------------------------------------------------------

#### Message strings for the Alexander the Great scenario ####

#### Button text

AG_BUTTON_OK		"OK"
AG_PARMENION_LOYAL	"Un messaggero viene inviato subito a Parmenione, allo scopo di fargli sapere cosa sia accaduto. Nel messaggio, fai notare che avresti potuto ucciderlo prima che egli potesse aver modo di apprendere la notizia, ma che non avresti mai potuto fare qualcosa di simile a un amico così vicino e fedele. Impressionato, ma rassicurato, Parmenione si libera di qualsiasi pensiero di tradimento."
AG_PARMENION_OLD	"Già da tempo superati i sessant'anni, se non di più, il generale Parmenione alla fine muore di vecchiaia. Il fatto che sia vissuto così a lungo è rimarchevole, considerato che aveva combattuto con re Filippo molte decadi prima della tua nascita e che aveva condotto eserciti fin da allora. Molti hanno affermato che Parmenione sia stato il miglior generale macedone di sempre, a parte te."
AG_PARMENION_BATTLE	"Il generale Parmenione va a combattere in battaglia! Anche se aveva superato da tempo la sessantina, era un uomo eccezionalmente arzillo per la sua età, ma non abbastanza rapido da deviare la spada che lo uccise. Molti hanno affermato che Parmenione sia stato il miglior generale macedone di sempre, naturalmente a parte te."
AG_ANTIPATER_OLD	"Il generale Antipatro non è più tra noi! Aveva quasi sessant'anni all'epoca della tua ascesa al trono e gli dei hanno deciso che la sua ora era giunta. È morto nel sonno dopo una vita di combattimenti nel nome della Macedonia. Un uomo di esperienza e abilità simili sarà difficile da sostituire."
AG_ANTIPATER_BATTLE	"Il generale Antipatro è morto in battaglia! Aveva quasi sessant'anni all'epoca della tua ascesa al trono e gli dei hanno deciso che la sua ora era giunta. Un uomo di esperienza e abilità simili sarà difficile da sostituire."
AG_CRATERUS_OLD		"Il generale Cratero è morto! Era un uomo molto intenso: intensamente fedele, intensamente emotivo, ma sfortunatamente era anche un intenso bevitore. È stato trovato morto durante il mattino, dopo una lunga notte di baldoria. La mancanza di un generale così capace e di un amico così vicino sarà sentita."
AG_CRATERUS_BATTLE	"Il generale Cratero subisce un colpo mortale in battaglia! Cratero era un uomo passionale e testardo. Benché tu abbia avuto frequenti discussioni con lui, egli era uno dei tuoi compagni più stretti e dei tuoi generali più fedeli. La mancanza di un generale così capace e di un amico così vicino sarà sentita."
AG_HEPHAESTION		"Anche se hai perso un grande generale, non temere: il tuo intimo partner Efestione è pronto per sostituirlo degnamente. In ogni caso, fai attenzione: non sono poi così tanti coloro che possiedono le doti per guidare con perizia i tuoi uomini."
AG_PTOLEMY		"Anche se un altro generale è morto, esiste un uomo pronto a ricoprire i suoi incarichi immediatamente. Il tuo amico d'infanzia Tolomeo, benché ancora molto giovane, è all'altezza del compito. In ogni caso, fai attenzione: uomini del suo calibro sono difficili da trovare."
AG_SELEUCUS		"Hai perduto un altro generale. Ancora una volta, però, esiste un abile sostituto. Seleuco, un amico d'infanzia, è pronto a diventare uno dei tuoi principali generali. Sfortunatamente, hai esaurito la tua riserva di condottieri capaci. In futuro, non potranno esserci altre sostituzioni nei ranghi dei generali."
AG_HEPHAESTION_OLD	"Il generale Efestione è morto! Come tanti altri soldati, nel corso delle tue campagne svoltesi presso terre sconosciute è stato sorpreso quasi subito da una malattia. Era il tuo più intimo amico e tu sei distrutto dal dolore. Giuri solennemente di edificare un giorno il più grande mausoleo della storia a onore della sua memoria."
AG_HEPHAESTION_BATTLE	"Il generale Efestione è stato ucciso in battaglia! Efestione era più di un amico, era il tuo mentore. Saresti morto volentieri al suo posto e giuri solennemente di edificare un giorno il più grande mausoleo della storia a onore della sua memoria. Ma oggi il tuo obiettivo è di vendicarti su coloro che si sono resi responsabili del suo assassinio!"
AG_PTOLEMY_OLD		"Una malattia improvvisa ha ucciso il generale Tolomeo! Era un caro amico sin dai tempi dell'infanzia e, quasi certamente, tuo fratellastro. È molto probabile che fosse il più intelligente dei tuoi compagni. Sarà impossibile sostituire un amico di talento e fedele come lui."
AG_PTOLEMY_BATTLE	"Il generale Tolomeo è morto in combattimento! Era il più intelligente dei tuoi compagni, ma questa volta la sua intelligenza non lo ha aiutato: un'audace manovra dei suoi soldati è stata scoperta e respinta. Sarà difficile da sostituire."
AG_SELEUCUS_OLD		"Il generale Seleuco è morto! Dopo una notte di baldoria trascorsa a bere, si è ammalato di polmonite ed è morto pochi giorni più tardi. Sono periti talmente tanti dei tuoi migliori soldati e amici, lasciandoti sempre più solo."
AG_SELEUCUS_BATTLE	"Il generale Seleuco è morto! Il tuo amico d'infanzia era coraggioso in battaglia, ma oggi la fortuna degli dei non è stata con lui. Sono morti talmente tanti dei tuoi migliori soldati e amici, lasciandoti sempre più solo."
AG_GENERAL_DROWN	"{drownedGeneral.name} è scomparso in mare! Per diversi giorni, hai incubi terribili sull'annegamento, nei quali il mare è un'entità maligna che ti stringe nel suo abbraccio gelato, riempiendoti d'acqua la gola sino all'esplosione dei polmoni. Per il momento, ti auguri di poter evitare i viaggi per mare."

# Endgame-related strings
AG_ALEX_DEFEAT_A	"Cadi sul campo di battaglia, con il tuo esercito che si sgretola attorno a te. Un messaggero particolarmente perspicace carica il tuo corpo privo di sensi sulla sua cavalcatura e fugge in direzione della tua città più vicina. Trascorri giorni di sofferenza tra la vita e la morte, ma alla fine le tue condizioni migliorano quanto basta per mostrarti ai tuoi compagni."
AG_ALEX_DEFEAT_B	"Ti sei miracolosamente salvato dalla morte, ma il tuo corpo non sarà mai più lo stesso. Non potrai più lanciarti nei combattimenti alla guida delle tue truppe, il solo presentarti sul campo di battaglia sarebbe uno sforzo particolarmente doloroso. Cerca di badare alla tua salute: tutte le speranze dell'impero sono riposte nella tua sopravvivenza!"
AG_ALEX_DEAD		"La tua fortuna si è esaurita; sei stato ucciso in battaglia! Lanciandoti in maniera spericolata nel cuore della battaglia come fai sempre, combatti coraggiosamente, ma una spada non vista nella confusione ti colpisce in pieno. Altri macedoni potrebbero essere in grado di realizzare i tuoi sogni di conquista del mondo, ma per ciò che ti riguarda il gioco finisce qui."
AG_ALEX_SHIP_A		"Intrappolato su una nave, non sei in grado di far valere le tue qualità di combattente per salvarti! Man mano che la nave affonda, cadi nell'acqua senza poter fare nulla. Ma non è così facile uccidere il grande Alessandro: riesci a stare a galla abbastanza a lungo da essere tratto in salvo da un'altra nave e vieni immediatamente portato a {city[0].name}"
AG_ALEX_SHIP_B		"Non tutto va per il verso giusto, comunque. La caduta di alcune travi di legno ti ha causato fratture multiple in vari punti del corpo, mentre la tua nave andava in pezzi. Grazie agli dei sei ancora vivo, ma il tuo corpo non sarà mai più come prima. Cerca di badare a te stesso! Da ora in avanti, la più piccola ferita riportata in battaglia potrebbe significare la tua fine e la tua debolezza significa anche vulnerabilità verso le malattie."
AG_ALEX_DROWN		"Che stoltezza viaggiare con una nave, dove le tue qualità di combattente sono inutili! Sta affondando e tutte le persone a bordo raggiungeranno le buie profondità del mare, te compreso. Che morte ordinaria per un uomo così straordinario. Altri macedoni sono in grado di continuare il tuo sogno di conquista del mondo, ma per ciò che ti riguarda il gioco finisce qui."
AG_ALEX_STAGE1		"Inizi a mostrare i primi segni di indebolimento fisico."
AG_ALEX_STAGE2		"Hai perduto un po' più della vitalità della tua giovinezza."
AG_ALEX_STAGE3		"Stai diventando sempre più debole."
AG_ALEX_STAGE4		"La tua salute è precaria. Il tuo corpo debole è ora sempre più esposto alle malattie. Puoi evitare di morire in questo modo circondandoti dei migliori medici esistenti. Questo comunque comporterà la spesa di 1.000 unità d'oro per turno. Hai intenzione di convocarli?"
AG_ALEX_DISEASE		"Nelle condizioni precarie in cui ti trovi, ti ammali di polmonite e muori. L'ultima cosa alla quale pensi prima che la tua mente sia avvolta dalle tenebre è che avresti preferito morire con una spada in mano."
AG_ALEX_DISEASE2	"Nonostante le tue precauzioni e le cure dei migliori medici, la polmonite ti è letale. L'ultima cosa alla quale pensi prima che la tua mente sia avvolta dalle tenebre è che avresti preferito morire con una spada in mano."

# Persian strings
AG_SCOUT_REPORT_A	"Sulla penisola dell'Asia Minore (Turchia), sono situate le città più importanti della Persia. Sono i centri di etnia greca della costa occidentale, dove la Persia addestra la gran parte dei suoi opliti. In ogni caso, la maggior parte di queste città è ribelle e attende con impazienza la liberazione per mezzo del tuo esercito."
AG_SCOUT_REPORT_B	"L'altra sorgente principale del potere persiano risiede in Fenicia (Tiro, Sidone e Arado). I Fenici si occupano dell'equipaggiamento dell'imponente flotta persiana. Gli esploratori hanno localizzato un vasto esercito persiano vicino a Dascylium, guidato dal generale Memnone. Per fortuna, gran parte della flotta persiana sta sedando le rivolte in Egitto."
AG_SCOUT_REPORT_C	"La tua prima preoccupazione dovrebbe essere quella di controllare le coste meridionali e occidentali dell'Asia Minore prima che la flotta persiana vi faccia ritorno e ti attacchi."
AG_TYRE_APPROACH	"Il controllo di Tiro è la chiave per ottenere quello dell'intera regione. Gli abitanti di questo importante centro però non sono in allarme; la loro città è costruita su una collina e dispone di risorse difensive assai efficaci, al punto che nessuno è mai riuscito a prenderla. Un successo simile significherebbe dare uno slancio decisivo alla tua reputazione."
AG_TYRE_BESIDE		"Gli esploratori riferiscono che Tiro è difesa in maniera imponente! Un assalto diretto in questo momento avrebbe probabilmente come risultato ingenti perdite nei ranghi del tuo esercito. Un bombardamento prolungato utilizzando molte catapulte è altamente raccomandato per indebolire le difese nemiche."
AG_TYRE_CONQUER		"Hai compiuto l'impossibile e hai espugnato Tiro! Nessuno pensava che una città difesa in maniera così imponente potesse essere mai conquistata. La tua reputazione migliora enormemente presso le nazioni confinanti. Le città della Lega di Corinto non hanno alcuna intenzione di infastidirti. Capiscono che se tu sei in grado di conquistare Tiro, sei certamente capace di riservare la stessa sorte anche a loro."

# Phoenican Strings
AG_PHOEN_ENTER		"Ti trovi presso uno snodo importante. A nordest si procede verso l'Asia Minore, a est è situata la Mesopotamia, centro dell'impero persiano, mentre andando verso sud puoi raggiungere le città costiere della Fenicia. Controlla le città fenicie e la Persia non avrà molte possibilità di costruire navi. È probabile che si uniranno liberamente a te, ma solo dopo la morte di Dario."
AG_PHOEN_ENTER2		"Ti trovi presso uno snodo importante. A nordest si procede verso l'Asia Minore, a est è situata la Mesopotamia, centro dell'impero persiano, mentre andando verso sud puoi raggiungere le città costiere della Fenicia. Ora che Dario è stato sconfitto, i Fenici sono pronti a unirsi a te e attendono solo il tuo arrivo. Senza la Fenicia, la Persia non potrà avere una flotta navale temibile."
AG_PHOEN_ARADUS		"Gli abitanti di Aradus sarebbero ben lieti di arrendersi a te, ma benché essi odino Dario, lo temono ancora. Torna qui per goderti un'accoglienza trionfale, quando Dario sarà stato sconfitto."
AG_PHOEN_ARADUS2	"Gli abitanti di Aradus spalancano le loro porte e ti accolgono in maniera calorosa: sei il loro nuovo eroe! Poco più di dieci anni fa Aradus e Sidon si ribellarono, ma i tumulti furono sedati dai Persiani. Questi cittadini accolgono con gioia chiunque li aiuti a liberarsi dal giogo persiano."
AG_PHOEN_SIDON		"Gli abitanti di Sidon sarebbero ben lieti di arrendersi a te, ma benché essi odino Dario, lo temono ancora. Torna qui per goderti un'accoglienza trionfale, quando Dario sarà stato sconfitto."
AG_PHOEN_SIDON2		"Sidon si consegna spontaneamente ai Macedoni! Prima della sua recente ribellione, era la più vasta e importante città di questa regione. Ora la Persia ha fatto in modo che Tiro ne rilevasse la posizione. Così, mentre Sidon ti accoglie con gioia, la sua rivale Tiro ti combatterà sino all'ultimo."

# Egypt strings
AG_GAZA_BESIDE		"Benché molte città di questa regione siano ansiose di consegnarsi a te, Gaza non è una di esse. Questa città ha costruito le proprie immense fortune sul fatto di essere tra le mete di una rotta commerciale che proviene e parte dall'Arabia meridionale, e non ha quindi alcuna intenzione di rinunciare alle sue ricchezze. Gli abitanti sono anche convinti che le sue mura siano inespugnabili."
AG_GAZA_CONQUER		"La città di Gaza è tua! Hai veramente mostrato a te stesso di essere abile a conquistare città ben difese. Presso la casa del governatore, troverai inoltre un tesoro di 1.500 unità d'oro."
AG_EGYPT_CNT_DEFECT	"Gli esploratori riferiscono che gli Egiziani sono pronti ad arrendersi ai Macedoni, ma solo se Alessandro apparirà in persona."
AG_EGYPT_DEFECT		"I nativi dell'Egitto festeggiano gioiosamente l'arrivo del grande Alessandro! Gli Egiziani si sono ripetutamente ribellati ai Persiani, ma solo per essere riconquistati ogni volta. Ti vedono come la loro salvezza da questo ciclo di miseria e si liberano dal giogo persiano in tutta la nazione! I soldati persiani fuggono, lasciandoti una terra da ricostruire."
AG_EGYPT_TYRE		"Gli esploratori riferiscono che gli Egiziani sono pronti ad arrendersi ai Macedoni, ma che hanno anche paura di rappresaglie da parte della flotta persiana. Conquista Tiro e gli Egiziani ti accoglieranno con gioia."

# Barsine and first Darius defeat
AG_DARIUS_DEFEAT_OTHER	"Gli esploratori riferiscono che l'esercito di Dario è stato sconfitto ad opera {player[0].civ_name_plural#PREPOSITION}. Lo stesso Dario, osservando l'andamento della battaglia, è fuggito come un vigliacco ben prima della sua conclusione. Quantomeno il suo comportamento da codardo ti ha offerto l'opportunità di liberare personalmente il mondo dalla sua presenza."
AG_DARIUS_DEFEAT_A	"L'esercito di Dario è stato sconfitto in battaglia! Lo stesso despota, osservando l'andamento della battaglia, è fuggito come un vigliacco ben prima della sua conclusione. La sua guardia del corpo è stata uccisa, ma Dario si è salvato portando con sé il suo cavallo e poco altro. Il tuo esercito devasta l'accampamento del nemico."
AG_DARIUS_DEFEAT_B	"Dario viaggia con tutto il lusso che ci si aspetterebbe dal Re dei Re. Non hai trovato solo gioielli e tesori per un valore di 30.000 unità d'oro, ma anche diverse personalità importanti abbandonate al loro destino. Tra i nobili e i parenti esclusi dalla fuga di Dario c'è Barsine, moglie di Memnone e tua amica d'infanzia."
AG_BARSINE_A		"Ti senti fortemente attratto da Barsine. Lei è giovane, bella, vivace e ha amicizie potenti sia in Persia, sia in Grecia. Essendo stata sposata con Memnone, un greco che combatte per la Persia, conosce bene sia il greco sia il persiano, ed entrambi i tipi di società."
AG_BARSINE_B		"Dovresti sposare questa donna? Il suo defunto marito era tuo nemico. Inoltre, si tratta di una prigioniera di guerra! Puoi fidarti di lei? La tua reputazione ne risentirebbe senza alcun dubbio, considerato che il popolo penserebbe che tu la voglia sposare per ricordare a tutti il volto dei tuoi nemici. Vuoi prenderla in moglie subito o fare di lei, per il momento, la tua amante?"
AG_BARSINE2_B		"Capisci di essere interessato a sposare una donna così eccezionale. In ogni caso, si tratta della moglie di Memnone, il tuo nemico traditore! Decidi quindi di fare di lei la tua amante, per il momento, aspettando un'occasione migliore come la morte di Memnone o la sua sconfitta. Se il matrimonio avverrà nella maniera più consona, lei sarà in grado di dare alla luce un tuo erede legittimamente riconosciuto da tutti."
AG_BARSINE_MARRY	"In seguito a un matrimonio coatto avvenuto a pochi giorni dalla sua cattura, sposi Barsine, per giunta a poca distanza dal campo di battaglia. Sia i Persiani, sia i Greci sono scandalizzati dal tuo comportamento arrogante. Questo atto avrà certamente ripercussioni sulle relazioni diplomatiche con la Grecia. Per lo meno, la luna di miele servirà a distrarti da simili preoccupazioni."
AG_BARSINE_MARRY2	"Solamente poche settimane dopo il funerale di Memnone, sposi sua moglie Barsine. Sia i Persiani, sia i Greci sono scandalizzati dal tuo comportamento arrogante. Questo atto avrà certamente ripercussioni sulle relazioni diplomatiche con la Grecia. Per lo meno, la luna di miele servirà a distrarti da simili preoccupazioni."
AG_BARSINE_POISON	"Qualcuno ha tentato di assassinarti avvelenando le tue bevande! Per fortuna non hai bevuto tanto da rendere la dose letale. Scopri che il misfatto è stato ordinato dal fratello di Barsine, un comandante dell'esercito persiano. Egli considera che nessun sistema sia del tutto soddisfacente per sbarazzarsi dell'uomo che ha costretto sua sorella al matrimonio."
AG_BARSINE_2YEARS	"La cattura di Barsine, la vedova di Memnone, risale ormai a due anni fa. Lei è felice di essere la tua amante e nessuno penserebbe male di te se la sposassi in questo momento. Desideri dunque prenderla in moglie?"
AG_BARSINE_2YEARS2	"Memnone è morto due anni fa, lasciando vedova la moglie Barsine. Lei è felice di essere la tua amante e nessuno penserebbe male di te se la sposassi in questo momento. Desideri dunque prenderla in moglie?"
AG_BARSINE_MARRY3	"Congratulazioni per il tuo matrimonio con Barsine! Decidi di rimandare tutti gli impegni ufficiali in modo da goderti una piacevole cerimonia nuziale e una altrettanto piacevole luna di miele."
AG_BARSINE_WIDOW_A	"Ora che Memnone è morto, ti trovi a dover decidere cosa fare di sua moglie, Barsine. È stata la tua amante dall'epoca della sua cattura, avvenuta nell'accampamento di Dario. Avete entrambi gradito la compagnia dell'altro durante le rare occasioni che avete avuto per vedervi."
AG_BARSINE_WIDOW_B	"Che sia tempo per te di sposare Barsine? Molti diranno che tu hai permesso la morte di Memnone solo per prenderne la moglie. E puoi fidarti di lei oppure si sta comportando in maniera amichevole solo per poi vendicarsi in nome del marito? Sposerai Barsine?"

# Statiera and second Darius defeat
AG_DARIUS_DEAD_OTHER	"Gli esploratori riferiscono che Dario è stato ucciso in battaglia ad opera {player[0].civ_name_plural#PREPOSITION}. Il fatto di non aver potuto sconfiggerlo di persona ti infastidisce, ma il mondo è almeno libero dalla sua presenza."
AG_DARIUS_DEAD_A	"Il tuo esercito ha ucciso Dario! Conoscendo la sua propensione alla fuga, hai ordinato alle tue truppe di realizzare un'audace manovra di accerchiamento per impedirgli di dileguarsi per la seconda volta. Questa strategia ha funzionato, ma Dario, incapace di trovare una via d'uscita,  viene coinvolto nei combattimenti corpo a corpo e viene ucciso da una lancia vagante."
AG_DARIUS_DEAD_B	"Ancora una volta, il bottino abbandonato presso l'accampamento di Dario incredibile: 20.000 unità d'oro! Come se non bastasse, hai catturato l'intera sua famiglia illesa, inclusi sua madre, sua moglie e numerosi bambini. La cattura della famiglia reale persiana ti mette a disposizione diverse possibilità..."
AG_DARIUS_DEAD_C	"Considerato che i Persiani hanno una lunga tradizione per ciò che riguarda gli ostaggi reali, puoi permetterti di trattarli generosamente, il che ti costerà 250 unità d'oro per turno. Oppure, in alternativa, puoi ucciderli. Sicuro, una soluzione crudele, ma non senza precedenti. Se dovessero rimanere in vita, i bambini potrebbero prima o poi ribellarsi e causare problemi. Che cosa hai intenzione di fare?"
AG_PERSIAN_KILL		"È stata una scelta dolorosa, ma molti altri capi hanno fatto lo stesso. Uccidi l'intera famiglia reale persiana, sostenendo che si sia trattato della vendetta per tutte le atrocità che la Persia ha commesso ai danni della Grecia nel corso degli anni. La reazione in Grecia è largamente positiva, considerato che molti sono felici di assistere alle sofferenze dei Persiani."
AG_PERSIAN_PAMPER	"I membri della famiglia reale persiana ti esprimono tutta la loro riconoscenza per la gentilezza che stai dimostrando nei loro confronti e sembrano essere molto felici del loro nuovo ruolo di prigionieri viziati."
AG_STAT_A		"La cattura della famiglia di Dario potrebbe risultare favorevole anche perché potresti aver trovato una donna da sposare. La figlia primogenita di Dario, Stateira, sta per diventare maggiorenne ed è sempre più bella. Il beneficio politico di un simile matrimonio è ovvio: sposare un membro della famiglia reale può contribuire enormemente ad acquisire popolarità presso i Persiani."
AG_STAT_B		"D'altra parte, si tratta di una prigioniera di guerra e non le piaci. Inoltre, la tua reputazione presso i Greci sarebbe destinata a precipitare. Molti lamentano che la tua conquista di terre straniere ti stia facendo somigliare sempre meno a un greco: un atto simile confermerebbe i loro timori."
AG_STAT_C		"In aggiunta, la celebrazione del matrimonio costerà 5.000 unità d'oro. Per sposare un membro della famiglia reale persiana, sei obbligato ad attenerti al rito comandato e alle esigenze della mondanità. Che cosa farai?"
AG_STAT_MARRY_A		"Non perdi tempo a organizzare il tuo matrimonio con Stateira. In quella che sarà ricordata come una grandiosa cerimonia matrimoniale, non solo si assiste alla fusione delle stirpi reali macedone e persiana, ma anche a quelle della gran parte dei tuoi alti ufficiali con la nobiltà persiana. Si può dire che la fusione delle due culture sia veramente iniziata."
AG_STAT_MARRY_B		"Sfortunatamente, la maggioranza dei Greci in patria non scorge alcuna saggezza nell'aiutare i 'barbari' persiani. La tua popolarità in Grecia precipita. Seguiranno sicuramente regressi diplomatici."
AG_STAT_WAIT		"Non c'è dubbio che il tempo e la tua fama crescente faranno cambiare opinione a Stateira. Non ha davvero altra scelta, considerato che tu sei l'artefice del suo destino. Alla fine, dovrà cedere alla tua grandezza."
AG_STAT_MARRY2		"Buone notizie! Stateira è pronta ed è desiderosa di diventare tua moglie. Per sposare un membro della famiglia reale persiana, devi attenerti al rito comandato e alle esigenze della mondanità, che ti costeranno 5000 unità d'oro. Il tempo ha contribuito a ridurre l'opposizione verso il matrimonio in Grecia, ma ci saranno comunque ancora critiche... La sposerai?"
AG_STAT_MARRY3		"Stateira ti fa osservare che il suo orologio biologico sta ticchettando. Hai le 5.000 unità d'oro necessarie per la cerimonia nuziale. La sposerai?"	

# Bessus Uprising
AG_BESSUS		"Nonostante l'assenza di qualunque traccia di sangue reale nelle vene, il generale persiano Besso si è dichiarato il nuovo imperatore della Persia. Aggiunge che darà disposizioni per continuare la resistenza persiana e giura di essere assetato di vendetta per la morte di Dario."
