#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains diplomacy and advisor strings (Spanish)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the diplomacy and advisor strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Sychronized files between languages.
#
#----------------------------------------------------------------------------

## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE				"Esta nación aún no ha olvidado su derrota en el combate con nosotros."
MOTIVATION_FEAR_MILITARY_ADVICE				"Nuestro poder militar está aislado y puede que no podamos hacer frente a una invasión. Deberíamos firmar alianzas para reforzar nuestra posición."
MOTIVATION_FEAR_TRADE_ADVICE				"Para que nuestra nación siga siendo competitiva, debemos revitalizar nuestra economía. El establecimiento de rutas comerciales con otros países y la firma de acuerdos comerciales nos aportará la actividad comercial necesaria "
MOTIVATION_FEAR_TECHNOLOGY_ADVICE			"Nuestros ejércitos pronto serán superados en el campo de batalla si no aumentamos nuestros esfuerzos en investigación."
MOTIVATION_STOP_PIRACY_ADVICE				"Unos piratas extranjeros están atacando nuestras rutas comerciales. Una acción diplomática podría ayudarnos a solventar esta preocupante situación."
MOTIVATION_MAKE_FRIEND_ADVICE				"Deberíamos buscar la amistad de naciones fuertes con el fin de alcanzar nuestros objetivos."
MOTIVATION_DESIRE_SCIENCE_ADVICE			"Me temo que nos estamos quedando atrás con respecto a nuestros rivales en adelantos tecnológicos. Deberíamos aumentar nuestro conocimiento por vía diplomática."
MOTIVATION_DESIRE_GOLD_ADVICE				"Podríamos usar algo más del oro de nuestros cofres, para alcanzar nuestros objetivos inmediatos."
MOTIVATION_FEAR_CITY_DEFENSE_ADVICE			"Me temo que {city[0].name} va a caer pronto en manos enemigas. Quizá podamos evitarlo mediante negociaciones."
MOTIVATION_FEAR_POLLUTION_ADVICE			"Me temo que la contaminación está provocando un calentamiento global y podría desembocar en un desastre ecológico. Tenemos que disminuir nuestros niveles de contaminación y solicitar que otras naciones lo hagan también."

##
## Miscellaneous Diplomacy Strings
##

DIP_ADVISOR_INCOMING_MESSAGE				"Gran líder, hemos recibido un mensaje de un emisario de {player[0].leader_name}, líder de los {player[0].civ_name_plural}."

##
## Diplomacy Greetings
##

DIP_GREETING_FIRST_FOREIGN_0				"Saludos de {player[0].leader_name}, ¡líder de los {player[0].civ_name_plural}! Descubrirás que somos un país justo y bueno."
DIP_GREETING_FIRST_FOREIGN_1				"Traigo saludos amistosos de {player[0].leader_name}, líder de los {player[0].civ_name_plural}. Tan sólo nos queda esperar que nuestros países puedan recorrer el sendero de la paz de la mano."
DIP_GREETING_FIRST_FOREIGN_2				"Saludos de {player[0].leader_name}, líder de los {player[0].civ_name_plural}. Aunque somos un país humilde, luchamos por alcanzar la grandeza."
DIP_GREETING_FIRST_FOREIGN_3				"Traigo saludos del gran país de {player[0].country_name}. ¡Nuestro gran líder, {player[0].leader_name}, no es una persona con la que se pueda jugar!"
DIP_GREETING_FIRST_FOREIGN_4				"Traigo saludos de {player[0].leader_name}, ¡¡líder supremo de los poderosos {player[0].civ_name_plural}!! ¡¡Inclínate ante nosotros o atente a las consecuencias!!"

##
## Proposal names
##
DIP_NONE						"NINGUNO"
DIP_OFFER_GIVE_CITY					"Ofrecer ciudad..."
DIP_REQUEST_GIVE_CITY					"Solicitar ciudad..."
DIP_OFFER_WITHDRAW_TROOPS				"Ofrecer la retirada"
DIP_REQUEST_WITHDRAW_TROOPS				"Solicitar la retirada"
##DIP_OFFER_WITHDRAW_TROOPS_FROM_ALLIE			"Offer withdraw of allie..."
##DIP_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE		"Requesr withdraw of allie..."
##DIP_OFFER_INVADE					"Offer invasion..."
##DIP_REQUEST_INVADE					"Request invasion..."
DIP_OFFER_STOP_PIRACY					"Ofrecer la interrupción de la piratería"
DIP_REQUEST_STOP_PIRACY					"Solicitar que detengan la piratería"
DIP_OFFER_BREAK_AGREEMENT				"Romper los acuerdos..."
DIP_REQUEST_BREAK_AGREEMENT				"Solicitar la ruptura de los acuerdos..."
DIP_OFFER_STOP_RESEARCH					"Detener la investigación"
DIP_REQUEST_STOP_RESEARCH				"Solicitar que detengan la investigación"
DIP_OFFER_REDUCE_NUCLEAR_WEAPONS			"Reducir las armas nucleares"
DIP_REQUEST_REDUCE_NUCLEAR_WEAPONS			"Solicitar la reducción de armas nucleares"
DIP_OFFER_REDUCE_BIO_WEAPONS				"Reducir las armas biológicas"
DIP_REQUEST_REDUCE_BIO_WEAPONS				"Solicitar la reducción de armas biológicas"
DIP_OFFER_REDUCE_NANO_WEAPONS				"Reducir las nanoarmas"
DIP_REQUEST_REDUCE_NANO_WEAPONS				"Solicitar la reducción de nanoarmas"
DIP_OFFER_GIVE_ADVANCE					"Ofrecer el avance..."
DIP_REQUEST_GIVE_ADVANCE				"Solicitar el avance..."
DIP_OFFER_GIVE_GOLD					"Ofrecer oro..."
DIP_REQUEST_GIVE_GOLD					"Solicitar oro..."
##DIP_OFFER_GIVE_ANNUAL_GOLD				"Offer an annual gold tribute..."
##DIP_REQUEST_GIVE_ANNUAL_GOLD				"Request an annual gold tribute..."
DIP_OFFER_REDUCE_POLLUTION				"Reducir la contaminación"
DIP_REQUEST_REDUCE_POLLUTION				"Pedir la reducción de la contaminación"
DIP_OFFER_MAP						"Ofrecer mapa"
DIP_REQUEST_MAP						"Solicitar mapa"
DIP_OFFER_HONOR_MILITARY_AGREEMENT			"Ofrecer de cumpl. del pacto militar..."
DIP_REQUEST_HONOR_MILITARY_AGREEMENT			"Pedir cumpl. pacto militar..."
DIP_OFFER_HONOR_POLLUTION_AGREEMENT			"Oferta de cumplir acuerdo contaminación..."
DIP_REQUEST_HONOR_POLLUTION_AGREEMENT			"Pedir cumpl. acuerdo contaminación..."
DIP_OFFER_END_EMBARGO					"Oferta de término del embargo comercial"
DIP_REQUEST_END_EMBARGO					"Petición de término del embargo"
DIP_TREATY_DECLARE_WAR					"Declarar la guerra..."
DIP_TREATY_CEASEFIRE					"Alto el fuego"
DIP_TREATY_PEACE					"Tratado de paz"
DIP_TREATY_TRADE_PACT					"Pacto comercial" 
DIP_TREATY_RESEARCH_PACT				"Pacto de investigación"
DIP_TREATY_MILITARY_PACT				"Pacto militar"
DIP_TREATY_POLLUTION_PACT				"Pacto de contaminación"
DIP_TREATY_ALLIANCE					"Alianza"

##
## Proposal Details
##
DIP_DETAILS_NONE_0					"NINGUNO (Nivel 0)"
DIP_DETAILS_NONE_1					"NINGUNO (Nivel 1)"
DIP_DETAILS_NONE_2					"NINGUNO (Nivel 2)"
DIP_DETAILS_NONE_3					"NINGUNO (Nivel 3)"
DIP_DETAILS_NONE_4					"NINGUNO (Nivel 4)"
DIP_DETAILS_NONE_EX_0					"A cambio, NINGUNO (Nivel 0)"
DIP_DETAILS_NONE_EX_1					"A cambio, NINGUNO (Nivel 1)"
DIP_DETAILS_NONE_EX_2					"A cambio, NINGUNO (Nivel 2)"
DIP_DETAILS_NONE_EX_3					"A cambio, NINGUNO (Nivel 3)"
DIP_DETAILS_NONE_EX_4					"A cambio, NINGUNO (Nivel 4)"

DIP_DETAILS_OFFER_GIVE_CITY_0				"Para un estimado país como el vuestro, ofrecemos la ciudad de {city[0].name}."
DIP_DETAILS_OFFER_GIVE_CITY_1				"Con intenciones amistosas, ofrecemos la ciudad de {city[0].name}."
DIP_DETAILS_OFFER_GIVE_CITY_2				"Le ofrecemos con humildad la ciudad de {city[0].name}."
DIP_DETAILS_OFFER_GIVE_CITY_3				"Estamos dispuestos a dejar la ciudad de {city[0].name} bajo tu mando."
DIP_DETAILS_OFFER_GIVE_CITY_4				"Puedes quedarte la ciudad de {city[0].name}, pero nada más."
DIP_DETAILS_OFFER_GIVE_CITY_EX_0			"A cambio, ofrecemos el control total de la ciudad de {city[0].name}. Trata bien a sus ciudadanos, por favor."
DIP_DETAILS_OFFER_GIVE_CITY_EX_1			"A cambio, prometemos el control de la ciudad de {city[0].name}, para poder consolidar la amistad."
DIP_DETAILS_OFFER_GIVE_CITY_EX_2			"A cambio, ofrecemos la ciudad de {city[0].name} para que entre a formar parte de tu ya impresionante imperio."
DIP_DETAILS_OFFER_GIVE_CITY_EX_3			"A cambio, entregaremos la ciudad de {city[0].name} a tu gobierno."
DIP_DETAILS_OFFER_GIVE_CITY_EX_4			"A cambio, te daremos la ciudad de {city[0].name}."
DIP_DETAILS_REQUEST_GIVE_CITY_0				"Somos conscientes de la necesidad de ampliar tus fronteras para permitir que tu ciudad prospere. Sin embargo, debemos solicitar con firmeza que nos devuelvas el control de la ciudad de {city[0].name}."
DIP_DETAILS_REQUEST_GIVE_CITY_1				"Solicitamos con amabilidad que entregues la ciudad de {city[0].name}."	
DIP_DETAILS_REQUEST_GIVE_CITY_2				"Te suplicamos que nos concedas la ciudad de {city[0].name} tan pronto como sea posible."
DIP_DETAILS_REQUEST_GIVE_CITY_3				"Déjanos el control de {city[0].name} y permite a los ciudadanos de esa ciudad unirse a un imperio superior."
DIP_DETAILS_REQUEST_GIVE_CITY_4				"¡¡Entrega la ciudad de {city[0].name} a nuestro gobierno enseguida!!"
DIP_DETAILS_REQUEST_GIVE_CITY_EX_0			"A cambio, pedimos que entregues la ciudad de {city[0].name} a nuestro gobierno."
DIP_DETAILS_REQUEST_GIVE_CITY_EX_1			"A cambio, pedimos amablemente que cedas el control de {city[0].name} para mantener la paz."	
DIP_DETAILS_REQUEST_GIVE_CITY_EX_2			"A cambio, te suplicamos que cedas el control de {city[0].name} a nuestro imperio."
DIP_DETAILS_REQUEST_GIVE_CITY_EX_3			"A cambio, y para evitar más combates, aconsejamos que nos sea devuelta {city[0].name} sin demora."
DIP_DETAILS_REQUEST_GIVE_CITY_EX_4			"¡¡A cambio, exigimos que nos cedas el control total de {city[0].name} inmediatamente!!"

DIP_DETAILS_OFFER_WITHDRAW_TROOPS_0			"Nos ofrecemos a retirar nuestras tropas de nuestro país y a mantener la paz."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_1			"Para mantener las buenas relaciones, retiraremos nuestras fuerzas de tu país."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_2			"Retiraremos rápidamente nuestras fuerzas de tu país. No queríamos enfadarte."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_3			"Nos ofrecemos a sacar nuestras tropas de tu débil e inútil país."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_4			"Nos retiraremos de tu país. No esperes tal clemencia de nuestra parte en el futuro."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_0			"A cambio, accedemos a retirar nuestras tropas de tu país."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_1			"A cambio, retiraremos nuestras tropas de tu país. Nos gustarías mantener relaciones amistosas contigo."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_2			"A cambio, nos retiraremos a toda prisa de tu país. Por favor, perdónanos nuestros errores."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_3			"A cambio, nos retiraremos de tu insignificante país."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_4			"A cambio, estamos dispuestos a sacar nuestras tropas de tu pequeño e insignificante país."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_0			"La retirada de tus tropas de nuestro país servirá para establecer buenas relaciones entre nosotros. Te recomendamos que lo hagas con la mayor brevedad posible."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_1			"Pedimos la retirada de tus tropas de nuestro país. Países como los nuestros deberían esforzarse por mantener buenas relaciones."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_2			"Gran líder, le estaríamos muy agradecidos si retirara sus tropas de nuestro país."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_3			"Saca tus tropas de nuestro país, si no quieres sufrir represalias."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_4			"¿Quieres provocarnos? ¡¡Te recomendamos enérgicamente que retires a tus fuerzas de nuestra tierra de una vez por todas!!" 
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_0		"A cambio, pedimos que retires por completos tus fuerzas armadas de nuestro país, de manera que no nos veamos forzados a mancillarnos con miserables asuntos bélicos."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_1		"A cambio, nos gustaría ver la total retirada de tus tropas de nuestro suelo. No queremos arriesgarnos a romper la paz entre nuestros dos grandes países."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_2		"A cambio, te suplicamos que retires tus fuerzas de nuestro país, de manera que pueda prevalecer la paz."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_3		"A cambio, ¡debemos pedirte que retires tus fuerzas de nuestro país! Tus acciones son bastante hostiles."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_4		"A cambio, ¡¡exigimos que tus tropas abandonen nuestra tierra de una vez!! ¡No seas tan insensato como para provocarnos!"

DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_0		"Juramos que alejaremos nuestras fuerzas del aliado de tu país. No volveremos a molestar a los ciudadanos de {player[2].country_name}."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_1		"Honrado líder, nos ofrecemos a retirar nuestras fuerzas de {player[2].country_name} tan pronto como sea posible."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_2		"Prometemos llevar a cabo una rápida retirada de tropas de {player[2].country_name}. No tenemos intención de provocarte."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_3		"Retiraremos nuestras tropas de {player[2].country_name} tan pronto como sea posible. Ninguno de vosotros representa una amenaza para nosotros." 
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_4		"Nos ofrecemos a abandonar {player[2].country_name}. No siempre somos tan clementes. Deberíais estar agradecidos."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_0	"A cambio, nos ofrecemos a sacar nuestras tropas de {player[2].country_name}. La paz es nuestro principal objetivo."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_1	"A cambio, nos ofrecemos a retirar nuestras tropas de {player[2].country_name}. Respetaremos la alianza que tenéis."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_2	"A cambio, nos ofrecemos humildemente a salir de {player[2].country_name} de una vez."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_3	"A cambio, nos iremos de {player[2].country_name}, si es lo que deseas."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_4	"A cambio, estamos dispuestos a retirarnos de {player[2].country_name} de momento."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_0	"Te agradeceríamos que retiraras tus fuerzas de {player[2].country_name}. Son nuestros aliados y no queremos verlos en peligro."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_1	"Te rogamos que retires tus tropas de {player[2].country_name}. Son nuestros aliados y no queremos presenciar un derramamiento de sangre." 
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_2	"Retira tus tropas de {player[2].country_name}, por favor. Son nuestros amigos y no queremos que les ataquen."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_3	"Solicitamos una rápida retirada de las fuerzas armadas de {player[2].country_name}. Estás violando su soberanía."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_4	"¡Retira tus tropas de {player[2].country_name} inmediatamente! Si les atacas a ellos, nos atacas a nosotros."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_0	"A cambio, nos alentaría ver una total retirada de tus fuerzas de {player[2].country_name}. Son nuestros aliados."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_1	"A cambio, consideraríamos un gesto fundamental de buena voluntad, la retirada de tus tropas de {player[2].country_name}."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_2	"A cambio, estaríamos agradecidos, si retiraras tus fuerzas de {player[2].country_name}."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_3	"A cambio, necesitamos que retires tus fuerzas de {player[2].country_name} enseguida."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_4	"A cambio, exigimos una total retirada de fuerzas de {player[2].country_name}. Son nuestros aliados y, como tales, tienen nuestra protección."

DIP_DETAILS_OFFER_INVADE_0				"Nos ofrecemos a invadir {player[2].country_name} con total celeridad."
DIP_DETAILS_OFFER_INVADE_1				"Ya que nuestros países mantienen buenas relaciones, nos ofrecemos a invadir a tu enemigo, {player[2].civ_name_plural}."
DIP_DETAILS_OFFER_INVADE_2				"Ofrecemos con humildad llevar a cabo la invasión de {player[2].country_name}. Quizás podamos ayudar."
DIP_DETAILS_OFFER_INVADE_3				"Invadiremos {player[2].country_name}. Como es lógico puedes hacer uso de la ayuda."
DIP_DETAILS_OFFER_INVADE_4				"Ofrecemos la posibilidad de invadir {player[2].country_name}."
DIP_DETAILS_OFFER_INVADE_EX_0				"A cambio, ofrecemos la posibilidad de invadir {player[2].country_name} para ayudarte a cumplir tus objetivos."
DIP_DETAILS_OFFER_INVADE_EX_1				"A cambio, invadiremos {player[2].country_name}, siempre que sea de tu gusto."
DIP_DETAILS_OFFER_INVADE_EX_2				"A cambio, invadiremos con mucho gusto {player[2].country_name}. Quizás en el futuro puedas devolvernos el favor."
DIP_DETAILS_OFFER_INVADE_EX_3				"A cambio, garantizamos nuestra voluntad de invadir {player[2].country_name} y dar a conocer los horrores de la guerra a su pueblo."
DIP_DETAILS_OFFER_INVADE_EX_4				"A cambio, invadiremos {player[2].country_name}. Es más que suficiente para ti."
DIP_DETAILS_REQUEST_INVADE_0				"Solicitamos solemnemente que invadas {player[2].country_name} y lo destruyas."
DIP_DETAILS_REQUEST_INVADE_1				"Amigo, te pedimos que invadas player[2].country_name} tan pronto como sea posible. Es nuestro enemigo común."
DIP_DETAILS_REQUEST_INVADE_2				"Oh, grandioso, invade {player[2].country_name} y utiliza tus formidables ejércitos para acabar con su existencia."
DIP_DETAILS_REQUEST_INVADE_3				"Para demostrar tu valía, tienes que invadir {player[2].country_name}. Enséñanos de qué estás hecho."
DIP_DETAILS_REQUEST_INVADE_4				"Te pedimos que invadas {player[2].country_name} con toda celeridad. ¡No hagas prisioneros!"
DIP_DETAILS_REQUEST_INVADE_EX_0				"A cambio, te pedimos que invadas {player[2].country_name} y pongas fin al reinado de su líder."
DIP_DETAILS_REQUEST_INVADE_EX_1				"A cambio, te pedimos que invadas {player[2].country_name} como un favor. Estaremos en deuda."
DIP_DETAILS_REQUEST_INVADE_EX_2				"A cambio, te imploramos que nos ayudes a destruir a nuestros enemigos. Invade {player[2].country_name}, por favor."
