#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (Spanish)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin Gühmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"Fabric. herramientas"
UNIT_DREADNAUGHT				"Aniquilador"
UNIT_CITY					"Ciudad"
UNIT_OCEAN_CITY					"Colonia submarina"
UNIT_SPACE_CITY					"Colonia espacial"
UNIT_ELEPHANT_WARRIOR				"Elephant Warrior"
UNIT_SCOUT					"Scout"
UNIT_LEGION					"Legion"
UNIT_GUERRILLA					"Guerrilla"
UNIT_SWORDSMAN					"Swordsman"
UNIT_PIRATE_SHIP				"Pirate Ship"
UNIT_TRADER					"Trader"
UNIT_LONGBOWMAN 				"Longbowman"

#### governs STRINGS ####
GOVERNMENT_ANARCHY				"Anarquía"
GOVERNMENT_TYRANNY				"Tiranía"
GOVERNMENT_MONARCHY				"Monarquía"
GOVERNMENT_THEOCRACY				"Teocracia"
GOVERNMENT_COMMUNISM				"Comunismo"
GOVERNMENT_FASCISM				"Fascismo"
GOVERNMENT_REPUBLIC				"República"
GOVERNMENT_DEMOCRACY				"Democracia"
GOVERNMENT_CORPORATE_REPUBLIC			"Rep. empresarial"
GOVERNMENT_ECOTOPIA				"Ecotopía"
GOVERNMENT_TECHNOCRACY				"Tecnocracia"
GOVERNMENT_VIRTUAL_DEMOCRACY			"Democracia virtual"


#### improvements STRINGS ####
IMPROVE_GRANARY					"Granero"
IMPROVE_CITY_WALLS				"Muro de la ciudad"
IMPROVE_SHRINE					"Altar"
IMPROVE_COURTHOUSE				"Juzgados"
IMPROVE_BALLISTA_TOWERS				"Torres de ballesta"
IMPROVE_AQUEDUCT				"Acueducto"
IMPROVE_THEATER					"Teatro"
IMPROVE_BAZAAR					"Bazar"
IMPROVE_ACADEMY					"Academia"
IMPROVE_ARENA					"Arena"
IMPROVE_CAPITOL					"Capitolio"
IMPROVE_MILL					"Molino"
IMPROVE_BASCILICA				"Basílica"
IMPROVE_UNIVERSITY				"Universidad"
IMPROVE_BANK					"Banco"
IMPROVE_PUBLISHING_HOUSE			"Editorial"
IMPROVE_BATTLEMENTS				"Almenas"
IMPROVE_BROKERAGE				"Agenc. corred. de bolsa"
IMPROVE_FOOD_SILO				"Silo de alimentos"
IMPROVE_FACTORY					"Fábrica"
IMPROVE_OIL_REFINERY				"Ref. de petróleo"
IMPROVE_MOVIE_PALACE				"Cine"
IMPROVE_DRUG_STORE				"Farmacia "
IMPROVE_TELEVISION				"Televisión"
IMPROVE_AIRPORT					"Aeropuerto"
IMPROVE_CORRECTIONAL_FACILITY			"Correccional"
IMPROVE_HOSPITAL				"Hospital"
IMPROVE_FLAK_TOWERS				"Torretas antiaéreas"
IMPROVE_COMPUTER_CENTER				"Centro de datos"
IMPROVE_PUBLIC_TRANSPORTATION			"Transporte público"
IMPROVE_RECYCLING_PLANT				"Centro de recicl."
IMPROVE_NUCLEAR_PLANT				"Central nuclear"
IMPROVE_ECO_TRANSIT				"Ecotransporte"
IMPROVE_ANTI_BALLISTIC_MISSILES			"Misiles antibalística"
IMPROVE_ARCOLOGIES				"Arcologías"
IMPROVE_ORBITAL_LABORATORY			"Laboratorio orbital"
IMPROVE_ROBOTIC_PLANT				"Fábrica robotizada"
IMPROVE_SECURITY_MONITOR			"Monitor seguridad"
IMPROVE_E_BANK					"Banco Elect. Global"
IMPROVE_VR_AMUSEMENT_PARK			"Parque de atracc. RV"
IMPROVE_NANITE_FACTORY				"Fábrica de nanita"
IMPROVE_FORCEFIELD				"Campo de fuerza"
IMPROVE_AQUA_FILTER				"Filtro de agua"
IMPROVE_INCUBATION_CENTER			"Centro incubación"
IMPROVE_FUSION_PLANT				"Central de fusión"
IMPROVE_BEHAVIORAL_MOD_CENTER			"Centro de modif. comport."
IMPROVE_CORNUCOPIC_VAT				"Cubas de la cornucopia"
IMPROVE_MICRO_DEFENSE				"Microdefensa"
IMPROVE_MATTER_DECOMPILER			"Descompilador materia"
IMPROVE_BODY_EXCHANGE				"Interc. cuerpos"
IMPROVE_GAIA_COMPUTER				"Núcleo controlador Gaia"
IMPROVE_POWER_SATELLITE				"Satélite energía Gaia"


#### terrain STRINGS ####
TERRAIN_BROWN_MOUNTAIN				"Montaña desértica"
TERRAIN_BROWN_HILL				"Colina desértica"
TERRAIN_WHITE_MOUNTAIN				"Montaña polar"
TERRAIN_WHITE_HILL				"Colina polar"
TERRAIN_MOUNTAIN				"Montaña"
TERRAIN_DESERT					"Desierto"
TERRAIN_FOREST					"Bosque"
TERRAIN_GLACIER					"Glaciar"
TERRAIN_GRASSLAND				"Planicie"
TERRAIN_HILL					"Colina"
TERRAIN_JUNGLE					"Jungla"
TERRAIN_PLAINS					"Llanura"
TERRAIN_SWAMP					"Ciénaga"
TERRAIN_TUNDRA					"Tundra"
TERRAIN_WATER_SHALLOW				"Agua poco profunda"
TERRAIN_WATER_DEEP				"Agua profunda"
TERRAIN_WATER_RIFT				"Arrecife"
TERRAIN_WATER_TRENCH				"Cañón"
TERRAIN_WATER_VOLCANO				"Volcán"
TERRAIN_WATER_REEF				"Arrecife de coral"
TERRAIN_WATER_KELP				"Lecho de algas"
TERRAIN_SPACE					"Espacio"
TERRAIN_WATER_BEACH				"Playa"
TERRAIN_WATER_SHELF				"Plataforma continental"
TERRAIN_DEAD					"Casilla muerta"
TERRAIN_SPECIAL1				"Especial"
TERRAIN_SPECIAL2				"Puente"
#TERRAIN_DEAD_HILL				"Colina muerta"

TERRAIN_ARCTIC_MOUNTAIN_GOOD_ONE		"Rubíes"
TERRAIN_ARCTIC_MOUNTAIN_GOOD_TWO		"Diamantes"
TERRAIN_MOUNTAIN_GOOD_ONE			"Té"
TERRAIN_MOUNTAIN_GOOD_TWO			"Esmeraldas"
TERRAIN_DESERT_GOOD_TWO				"Petróleo"
TERRAIN_DESERT_GOOD_ONE				"Vidrio"
TERRAIN_FOREST_GOOD_ONE				"Madera dura"
TERRAIN_FOREST_GOOD_TWO				"Oso"
TERRAIN_GLACIER_GOOD_ONE			"Morsa"
TERRAIN_GRASSLAND_GOOD_ONE			"Algodón / lino"
TERRAIN_GRASSLAND_GOOD_TWO			"Tabaco"
TERRAIN_HILL_GOOD_ONE				"Café"
TERRAIN_HILL_GOOD_TWO				"Uvas"
TERRAIN_JUNGLE_GOOD_ONE				"Hierbas medic."
TERRAIN_JUNGLE_GOOD_TWO				"Jade"
TERRAIN_PLAINS_GOOD_ONE				"Especias"
TERRAIN_PLAINS_GOOD_TWO				"Elefante"
TERRAIN_SWAMP_GOOD_ONE				"Caimán"
TERRAIN_TUNDRA_GOOD_ONE				"Caribú"
TERRAIN_WATER_SHALLOW_GOOD_ONE			"Cangrejo"
TERRAIN_WATER_SHALLOW_GOOD_TWO			"Perlas"
TERRAIN_WATER_DEEP_GOOD_ONE			"Ballena"
TERRAIN_WATER_DEEP_GOOD_TWO			"Pulpo gigante"
TERRAIN_WATER_BEACH_GOOD_ONE			"Cangrejo"
TERRAIN_WATER_BEACH_GOOD_TWO			"Fish"
TERRAIN_WATER_SHELF_GOOD_ONE			"Cangrejo"
TERRAIN_WATER_SHELF_GOOD_TWO			"Perlas"
TERRAIN_DUMMY_GOOD				"Mercancía falsa"

###Added for goodmod###   fix walrus, too many (actual these aren't used)

TERRAIN_ARCTIC_MOUNTAIN_GOOD_THREE		"Bauxite"
TERRAIN_ARCTIC_MOUNTAIN_GOOD_FOUR		"Emeralds"
TERRAIN_MOUNTAIN_GOOD_THREE			"Coal"
TERRAIN_MOUNTAIN_GOOD_FOUR			"Gold"
TERRAIN_DESERT_GOOD_THREE			"Dates"
TERRAIN_DESERT_GOOD_FOUR			"Camels"
TERRAIN_FOREST_GOOD_THREE			"Apples"
TERRAIN_FOREST_GOOD_FOUR			"Beavers"
TERRAIN_GLACIER_GOOD_TWO			"Walrus"
TERRAIN_GLACIER_GOOD_THREE			"Walrus"
TERRAIN_GLACIER_GOOD_FOUR			"Walrus"
TERRAIN_GRASSLAND_GOOD_THREE			"Potatoes"
TERRAIN_GRASSLAND_GOOD_FOUR			"Poppies"
TERRAIN_HILL_GOOD_THREE				"Uranium"
TERRAIN_HILL_GOOD_FOUR				"Olives"
TERRAIN_JUNGLE_GOOD_THREE			"Bananas"
TERRAIN_JUNGLE_GOOD_FOUR			"Sugar"
TERRAIN_PLAINS_GOOD_THREE			"Wheat"
TERRAIN_PLAINS_GOOD_FOUR			"Buffalo"
TERRAIN_SWAMP_GOOD_TWO				"Rice"
TERRAIN_SWAMP_GOOD_THREE			"Cilli"
TERRAIN_SWAMP_GOOD_FOUR				"Peat"
TERRAIN_TUNDRA_GOOD_TWO				"Oil"
TERRAIN_TUNDRA_GOOD_THREE			"Caribou"
TERRAIN_TUNDRA_GOOD_FOUR			"Caribou"
TERRAIN_WATER_SHALLOW_GOOD_THREE		"Salmon"
TERRAIN_WATER_SHALLOW_GOOD_FOUR			"Lobster"
TERRAIN_WATER_DEEP_GOOD_THREE			"Tuna"
TERRAIN_WATER_DEEP_GOOD_FOUR			"Giant Squid"
TERRAIN_WATER_BEACH_GOOD_THREE			"Dye"
TERRAIN_WATER_BEACH_GOOD_FOUR			"Pearls"
TERRAIN_WATER_SHELF_GOOD_THREE			"Dye"
TERRAIN_WATER_SHELF_GOOD_FOUR			"Pearls"
#TERRAIN_DUMMY_GOOD				"Dumb Good"
TERRAIN_BROWN_HILL_GOOD_ONE			"Copper"
TERRAIN_BROWN_HILL_GOOD_TWO			"Silver"
TERRAIN_BROWN_MOUNTAIN_GOOD_ONE			"Iron Ore"
TERRAIN_BROWN_MOUNTAIN_GOOD_TWO			"Silver"
TERRAIN_WHITE_HILL_GOOD_ONE			"Sapphires"
TERRAIN_WHITE_HILL_GOOD_TWO			"Emeralds"

#### CONCEPT STRINGS ####
#CONCEPT_DIAMONDS				"Diamantes"
#CONCEPT_RUBIES					"Rubíes"
#CONCEPT_OIL					"Petróleo"
#CONCEPT_BEAVER					"Castor"
#CONCEPT_TOBACCO				"Tabaco"
#CONCEPT_POPPIES				"Amapolas"
#CONCEPT_COFFEE					"Café"
#CONCEPT_COCOA					"Uvas"
#CONCEPT_SUGAR					"Azúcar"
#CONCEPT_JADE					"Jade"
#CONCEPT_ELEPHANT				"Elefante"
#CONCEPT_ALLIGATOR				"Caimán"
#CONCEPT_CARIBOU				"Caribú"
#CONCEPT_CRABS					"Cangrejo"
#CONCEPT_PEARLS					"Perlas"
#CONCEPT_WHALES					"Ballena"
#CONCEPT_GIANT_SQUID				"Pulpo gigante"
#CONCEPT_WORMHOLE				"Agujeros de gusano"
#CONCEPT_ATTACK_ENEMY				"Atacar al enemigo"
#CONCEPT_CAPTURE_CITY				"000"
#CONCEPT_CEASE_FIRE				"Tratado de paz"
#CONCEPT_CIV_POINTS				"Puntos de imperio"
#CONCEPT_C_FIELD				"Campo contención"
#CONCEPT_DEMANDS				"Exigencia"
#CONCEPT_ECD					"DCE"
#CONCEPT_ECO_PACT				"Ecopacto"
#CONCEPT_ENTERTAINER				"Artista"
#CONCEPT_EXCHANGES				"Intercambio"
#CONCEPT_E_TANK					"Tanque embriones"
#CONCEPT_GIFTS					"Regalos"
#CONCEPT_G_SPLICER				"Empalmador de genes"
#CONCEPT_INCITE					"Incitar"
#CONCEPT_LARORER				"Obrero"
#CONCEPT_LEAVE_MY_LANDS				"Cesar intrusión"
#CONCEPT_MAINTENANCE_COST			"Coste de mantenimiento"
#CONCEPT_MERCHANT				"Comerciante"
#CONCEPT_MONUMENT_SCREEN			"Pantalla de monumento"
#CONCEPT_NO_PIRACY				"Abandonar piratería"
#CONCEPT_REDUCE_POLLUTION			"Reducir contaminación"
#CONCEPT_RUSTLE					"r77"
#CONCEPT_SCIENTIST				"Científico"
#CONCEPT_SPACE_COLONIES				"Colonia espacial"
#CONCEPT_STOP_TRADE				"Cesar comercio"
#CONCEPT_TRADE_UNITS				"Unidades Stealth"
#CONCEPT_X_LAB					"Laboratorio-X"
CONCEPT_ACTIVE_DEFENSE				"Defensa activa"
CONCEPT_ADVANCES				"Adelantos"
CONCEPT_ALLIANCE				"Alianza"
CONCEPT_ANCIENT_AGE				"Edad Antigua"
CONCEPT_ATROCITY				"Atrocidad"
CONCEPT_BARBARIANS				"Bárbaros"
CONCEPT_CAPITALIZATION				"Capitalización"
CONCEPT_CITY					"Ciudad"
CONCEPT_CLASSIC_AGE				"Classical Age"
CONCEPT_COMMERCE				"Comercio"
CONCEPT_COMPUTER_AGE				"Information Age"
CONCEPT_CRIME					"Crimen"
CONCEPT_DEFENSE					"Defensa"
CONCEPT_DIAMOND_AGE				"Edad del Diamante"
CONCEPT_DIPLOMACY				"Diplomacia"
CONCEPT_DISBAND_CITY				"Abandonar ciudad"
CONCEPT_EMBARGO					"Embargo"
CONCEPT_EMPIRE_SIZE				"Tamaño del imperio"
