#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : CTP2 tutorial strings (Spanish)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the CTP2 tutorial strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - None
#
#----------------------------------------------------------------------------

T_BUTTON_OK			"OK"
T_BUILT_CITY_WHAT_NOW		"Haz clic en el botón Administrador de la ciudad que parpadea más abajo para consultar la información sobre tu ciudad. Haz clic en <c:0,50,255>Construir<e> en la pantalla del administrador de la ciudad para comenzar la producción de la ciudad." 
T_OPENED_CITY_MGMT		"Has abierto sin problemas el administrador de la ciudad. Haz clic en el botón <c:0,0,200>Construir<e> para ordenar que la ciudad comience a construir una nueva unidad, mejora o maravilla. Piensa en construir un <c:0,0,200>guerrero<e>. Son los más apropiados para explorar el terreno circundante."
T_MOVE_UNIT1			"La unidad {FIRST_UNIT.name} está en {city[0].name}. Está seleccionada cuando ves un retículo <c:50,200,50>verde<e> rodeando la ciudad.\n\nPuedes moverla arrastrando el cursor hasta el punto de destino o, si prefieres que defienda tu ciudad, fortifícalo dentro de la ciudad pulsando la tecla 'F'."
T_MOVE_UNIT2			"El {FIRST_UNIT.name} está seleccionado. Puedas desplazarlo haciendo clic en él y arrastrándolo hasta el punto de destino. La unidad seguirá la línea marcada hasta el destino." 
T_RESELECT_UNIT			"Has dejado de seleccionar al {FIRST_UNIT.name}. Para poder moverlo, tiene que estar seleccionado. Haz clic en la unidad para seleccionarla."
T_BUILT_CITY_WALL		"{city[0].name} ha terminado los muros de la ciudad. Los muros de la ciudad otorgan puntos de defensa a las unidades fortificadas en <c:0,0,200>{city[0].name}<e>."
T_BUILT_GRANARY			"El granero está terminado. Ahora que <c:0,0,200>{city[0].name}<e> tiene una mejora de granero, sus ciudadanos podrán almacenar alimentos, que, a su vez, potenciarán el crecimiento de la ciudad."
T_BUILT_TEMPLE			"El altar está terminado. El altar otorga a la gente de <c:0,0,200>{city[0].name}<e> puntos de felicidad de {BuildingDB(IMPROVE_SHRINE).HappyInc}."
T_BUILT_MARKETPLACE		"{city[0].name} ha terminado el bazar. El bazar aumenta el oro de <c:0,0,200>{city[0].name}<e> en  {BuildingDB(IMPROVE_BAZAAR).CommercePercent}%."
T_KEEP_MOVING			"Debes continuar explorando la tierra con el {FIRST_UNIT.name}, pero ¡actúa con inteligencia! Coloca al menos una unidad defensiva en cada ciudad. Los enemigos pueden llegar de cualquier parte."
T_BUILD_MORE_UNITS		"Deberías construir más unidades, no sólo para defender tus ciudades, sino también para explorar el mundo."
T_FIRST_CONTACT			"Los {player[1].civ_name_plural} y los {player[0].civ_name_plural} se han encontrado por primera vez. Para iniciar las relaciones diplomáticas, haz clic en el botón Administración de la diplomacia."
T_CONFIRM_EARLY_DISBAND		"Estás a punto de disolver un ejército. Antes de hacerlo, es conveniente que construyas más unidades que sustituyan a aquellas que deseas disolver."
T_FORTIFY_OTHER			"La unidad {unit[0].name} está defendiendo la ciudad. Aunque puedes fortificar a las unidades en cualquier lugar, éstas resultan mucho más efectivas cuando son fortificadas en puntos débiles, dentro de las fortificaciones o dentro de las ciudades."
T_FORTIFY_IN_CITIES		"Debes tener al menos una buena unidad defensora fortificada en cada una de tus ciudades. Selecciona una unidad y, a continuación, pulsa la tecla 'F' para fortificarla."
T_FORTIFIED_UNIT_IN_CITY	"La unidad {unit[0].name}, fortificada en la casilla de la ciudad está defendiendo esta ciudad."
T_PW_TOO_HIGH			"El impuesto de obras públicas es muy alto. Por ello, tus ciudades construyen elementos muy despacio. Sería conveniente que redujeras el impuesto por obras públicas a un 20%."
T_KEEP_HITTING_END		"Tendrás que seguir explorando el mundo y expandiendo tu imperio si deseas alcanzar el éxito. Utiliza unidades como la de los guerreros, para encontrar nuevos lugares en los que puedas construir ciudades."
T_KEEP_EXPLORING		"Te llevará algunos turnos hasta que tu ciudad termine de construir su primer elemento. Para comprobar el proceso de construcción de la ciudad, selecciónala en el mapa y, después haz clic en la pestaña Ciudad. Sigue haciendo clic en el botón <c:0,50,255>Finalizar turno<e> o pulsa la tecla <c:0,0,200>Intro<e> para continuar."
T_SETTLER_WARNING		"Las unidades de colonos siempre se llevan consigo a parte de la población de la ciudad para que les ayuden a establecer una nueva ciudad. Sería conveniente que esperaras hasta que la ciudad sea más grande antes de construir un colono en dicha ciudad."
T_SHOW_CHECK_QUEUE		"check_queue = {check_queue}"
T_SHOW_TERRAIN_SCORE		"Terrain Score = {RADIUS_SCORE}"
T_RADIUS_RUNDOWN		"DIR0: {TILE_SCORE[0]}, DIR1: {TILE_SCORE[1]}, DIR2: {TILE_SCORE[2]}, DIR3: {TILE_SCORE[3]}, DIR4: {TILE_SCORE[4]}, DIR5: {TILE_SCORE[5]}, DIR6: {TILE_SCORE[6]}, DIR7: {TILE_SCORE[7]}, DIR8: {TILE_SCORE[8]} <c:255,0,50>TERRAIN_SCORE = {RADIUS_SCORE}<e>"
T_CHECK_LEVELS			"WagesExp:{WAGES_EXP} WkdyExp:{WORKDAY_EXP} RatExp:{RATIONS_EXP}\n\nWagesLev:{WAGES_LEVEL}  WkdyLev:{WORKDAY_LEVEL}  RatLev:{RATIONS_LEVEL}"
T_CHECK_LEVELS1			"No estás cumpliendo las expectativas de tu pueblo en lo que a sueldos, horas de trabajo o raciones se refiere. Por eso crece el descontento entre tus ciudadanos y, si no se hace algo para solucionarlo, ¡los ciudadanos podrían sublevarse!\nLas esperanzas de tu pueblo se basan en el tipo de gobierno del imperio."
T_CHECK_LEVELS2			"¡No estás cumpliendo las expectativas de tu pueblo en lo que a horas de trabajo y raciones se refiere! Por eso crece el descontento entre los ciudadanos, lo que podría desembocar en disturbios."
T_CHECK_LEVELS3			" No estás cumpliendo las expectativas de tu pueblo en lo que a sueldos y raciones se refiere. Esto provoca el poniendo a tus ciudades al borde de un motín."
T_CHECK_LEVELS4			" No estás cumpliendo las expectativas de tu pueblo en lo que a sueldos y horas de trabajo se refiere. Los ciudadanos están descontentos y podrían echarse a la calle en cualquier momento."
T_GOOD_SPOT			"Éste es un buen lugar para construir una ciudad. La tierra proporcionará alimentos en cantidad para promover el crecimiento y abundantes materias primas para la producción. Cuando hayas terminado de desplazar al resto de los colonos, haz clic en el botón <c:0,50,255>Finalizar turno<e> o pulsa <c:0,0,200>Intro<e>. En el siguiente turno, selecciona este colono y pulsa <c:0,0,200>'b'<e> para construir una ciudad."
T_MOVE_MORE			"Esta zona no puede proporcionar suficiente alimentos para mantener a una ciudad creciente. Las planicies, las llanuras y los lugares situados cerca de agua son idelaes para el buen crecimiento de una ciudad. Cuando hayas terminado de desplazar a los colonos, haz clic en el botón <c:0,50,255>Finalizar turno<e> que aparece en la parte inferior derecha de la pantalla."
T_BUILD_A_DAMN_CITY		"¡Tu colono está deseando poder establecer una ciudad! Selecciona a tu colono y pulsa el botón <c:0,50,255>B<e>."
T_START_OVER			"Sin ciudades no podrás decir que posees un imperio. Otros imperios del mundo se han establecido y están empezando a explorar el mundo. Piensa en comenzar una nueva partida y así podrás construir tu imperio más rápidamente."
T_BUILD_QUEUE_EMPTY		"La ciudad {city[0].name} no está construyendo nada ahora mismo. Haz doble clic en {city[0].name} para abir la pantalla del <c:0,50,255>administrador de la ciudad<e> o haz clic en el botón Administrador de la ciudad."
T_CITIES_NOT_BUILDING		"Más de una de tus ciudades está parada. Para ordenarles que construyan un elemento, puedes abrir rápidamente el administrador de construcción seleccionando una ciudad y haciendo clic en <c:0,50,255>Cola de construcción<e>."
T_PICK_NEW_ADVANCE		"¡Enhorabuena! Tu imperio ha logrado su primer avance científico con el descubrimiento <c:0,50,255>{advance[0].name}<e>. Elige un nuevo adelanto del menú sobre el que investigar."
T_BUILD_CARAVANS		"Tu sociedad ha descubierto {advance[0].name}, lo que te permitirá aumentar considerablemente la riqueza de tu imperio gracias a la venta de mercancías. Con el fin de empezar a comerciar con mercancías, debes construir primero <c:0,50,255>caravanas<e> en tus ciudades."
T_EMBASSY			"{player[0].country_name} ha establecido una <c:0,50,255>embajada<e> en {player[1].country_name}. Gracias a las embajadas las dos naciones disponen de un mayor número de opciones diplomáticas."
T_USE_PW			"Tu imperio ha acumulado suficientes <c:0,50,255>obras públicas<e> para comenzar a mejorar la infraestructura de tus ciudades. Haz clic en la <c:0,50,255>pestaña Mejoras de casilla<e> para consultar el menú de mejoras." 
T_INCREASE_PW			"El impuesto por obras públicas es actualmente del 20%. Gracias a las obras públicas puedes construir mejoras de casillas que mejorarán la infraestructura de tus ciudades, lo que influirá positivamente en la expansión y crecimiento de tu imperio."
T_GOOD_SPOT1			"Ordena al colono construir una ciudad seleccionándolo y pulsando la tecla <c:0,50,255>'b'<e>. Sólo puede construir una ciudad por turno, siempre que no haya realizado ya otra acción (como por ejemplo, desplazarse). Termina el turno y haz clic en <c:0,50,255>'b'<e> para construir la ciudad."
T_GOOD_SPOT2			"El mejor lugar en el que construir una ciudad es un terreno rico en alimentos, como una planicie o una región costera, y donde abunden materiales de producción, como los bosques o las montañas. Cuando encuentres una zona en la que quieras construir una ciudad, selecciona al colono y pulsa <c:0,50,255>'b'<e>."
T_GOOD_SPOT3			"Los ríos son excelentes fuentes de recursos, ya que aumentan los alimentos, la producción y el comercio en las casillas del terreno por los que fluyen. También hacen que viajar sea más fácil, ya que las unidades se desplazan el doble de rápido por las casillas de los ríos."
T_GOOD_SPOT4			"Sería conveniente que construyeras una ciudad lo antes posible. Los imperios del mapa ya se han establecido. Te encontrarás en una situación estratégica de desventaja a menos que empieces a construir ciudades. Selecciona al colono y pulsa la tecla <c:0,50,255>'b'<e> para construir una ciudad."
T_NORTH				"al Norte"
T_NORTHEAST			"al Noreste"
T_EAST				"al Este"
T_NORTHWEST			"al Noroeste"
T_SOUTHEAST			"al Sudeste"
T_WEST				 "al Oeste"
T_SOUTHWEST			"al Sudoeste"
T_SOUTH				"al Sur"
T_SELF				"en esta casilla"
T_NORTH_OF			"al norte de"
T_NORTHEAST_OF			"al noreste de"
T_EAST_OF			"al este de"
T_NORTHWEST_OF			"al noroeste de"
T_SOUTHEAST_OF			"al sudeste de"
T_WEST_OF			"al oeste de"
T_SOUTHWEST_OF			"al sudoeste de"
T_SOUTH_OF			"al sur de"
T_SELF_ON			"Activado"
T_RIVER_DIRECTION		"Hay un río <c:0,50,255>{action[RIVER_DIR].text}<e>. Las unidades se desplazan más rápido a lo largo del río y las ciudades recogen más recursos de la tierra por la que fluye un río."
T_GOOD_DIRECTION		"Hay <c:0,50,255>{ResourceDB(GOOD_NAME)}<e> {action[GOOD_DIR].text}. Sería conveniente que le ordenaras a un colono construir una ciudad cerca, para conseguir ingresos gracias a la venta de esa mercancía."
T_NO_GOODS_KEEP_LOOKING		"El colono no puede ver ninguna mercancía. Sigue desplazando al colono para que explore el mundo. \n\n¿Aún quieres que el colono encuentre mercancías?"
T_UNHAPPY_CITIES		"Más de una ciudad se encuentra descontenta en este momento. Dado que las ciudades corren el riesgo de que se produzca un motín si el descontento aumenta, abre el <c:0,50,255>administrador nacional<e> para comprobar qué ciudades están a disgusto."
T_ONE_UNHAPPY_CITY		"El descontento reinante en {city[0].name} comienza a ser peligroso. Si no respondes a las necesidades de tu infeliz pueblo, éste podría sublevarse."
T_STARVING_CITIES		"Más de una ciudad está pasando hambre. Abre el <c:0,50,255>administrador nacional<e> para comprobar cuáles son estas ciudades."
T_ONE_STARVING_CITY		"Los habitantes de {city[0].name} no están reuniendo los alimentos necesarios para mantener el nivel de la población. Por <c:200,0,0>{CITY_STARVATION_TURNS} turnos<e>, los ciudadanos comenzarán a morir de desnutrición. Tienes dos soluciones: o bien reduce el nivel de raciones del imperio o bien construye mejoras de casilla de granja para aumentar la producción de alimentos de la ciudad."
T_YOU_HAVE_GOOD			"{action[GOOD_DIR].text} {city[0].name} es {ResourceDB(GOOD_NAME)}. Ahora que dispones de {CARAVANS_AVAILABLE} caravanas,  podrás transportar las mercancías al mercado.\n \nAbre el <c:0,50,255>administrador de comercio<e> para averiguar qué ciudades desean comprar mercancías."
T_NO_HAVE_GOOD			"Ninguna de tus ciudades está recogiendo mercancías en este momento, ya que no han sido construidas cerca de fuentes naturales de mercancías. Para poder vender mercancías, debes construir tus ciudades en o cerca de terreno que contengan dichas mercancías.\n \nTienes {CARAVANS_AVAILABLE} caravanas que puedes utilizar en cualquier momento. Sería conveniente que construyeras más colonos para poder ordenarles que construyan ciudades cerca de las mercancías."
T_HAVE_GOODS_BUILD_CARAVANS	"{action[GOOD_DIR].text} {FIRST_CITY_WITH_GOOD.name} es {ResourceDB(GOOD_NAME)}.  Puedes vender esta mercancía si dispones de suficientes caravanas. Construye <c:0,50,255>caravanas<e> en tus ciudades."
T_NO_GOODS_SETTLE_NEAR_GOODS	"En este momento, ninguna de tus ciudades está recogiendo mercancías. Construye más unidades de colonos para crear nuevas ciudades cerca de las mercancías."
T_LITTLE_HELP			"Si lo deseas, tus unidades de colonos te harán saber cuándo alcanzan un lugar en el que una ciudad puede recoger mercancías. \n\n¿Deseas que los colonos te ayuden?"
T_BIOINFECT_CITY		"Un infectante extranjero intentó infectar {city[0].name} con un virus. ¡Protege tus ciudades construyendo la mejora de microdefensa!"
T_BORDER_INCURSION		"¡Las tropas de {player[1].civ_name_singular} han penetrado en tus fronteras!"
T_BORDER_PULLOUT		"Las tropas de {player[1].civ_name_singular} se han retirado de las fronteras."
T_RUSH_BUY			"La mejora de {city[0].name} terminará en el siguiente turno."
T_CANT_MOVE_YET			"Tu ejército se ha desplazado todo lo posible en este turno. Ordena que tu ejército continúe desplazándose en el siguiente turno."
T_CAPTURE_CITY			"Las tropas de {player[0].civ_name_singular} han tomado {city[0].name}."
T_DESTROYED_CITY		"Las tropas de {player[0].civ_name_singular} han destruido la ciudad con su arrollador ataque."
T_CITY_RIOT			"¡{city[0].name} se ha sublevado! Todos los servicios, incluidos la producción, el comercio y la elaboración de alimentos se han detenido. Si no alivias pronto el descontento de los ciudadanos, éstos morirán de hambre y podrían incluso rebelarse. Construye algunas mejoras que les levanten el ánimo o contrata a unos artistas."
T_CONVERT_CITY			"{city[0].name} ha sido convertida a otra religión por uno de tus enemigos y sus ciudadanos pagan el diezmo, ganado con el sudor de su frente, a los líderes religiosos extranjeros. Por fortuna, puedes reformar la ciudad con la ayuda de cualquier unidad militar de la que dispongas. La reforma te costará 1.000 puntos de oro."
T_TILE_IMPROVEMENT		"Has comenzado la construcción de {TerrainImprovementDB(FIRST_TILE_IMP)}. Necesitarás varios turnos para terminarla."
T_CREATE_PARK			"El guarda ecológico de {player[0].civ_name_singular} desencadenó un nanoexterminio en {city[0].name}, que destruyó todos los instrumentos creados por el hombre y devolviéndole a la tierra su primitivo estado salvaje y puro."
T_DETRENCHED			"Tendrás que ordenar a las unidades y ejércitos no fortificados que busquen nuevos lugares que fortificar."
T_DISBAND_ARMY_ORDER		"Normalmente, debes reservar la opción Disolver unidades hasta que estés seguro de que tu imperio puede prescindir de ellas."
T_DISBAND_CITY			"{city[0].name} ha sido abandonada y su pueblo ha formado una unidad de colonos. Sería conveniente que los enviaras a algún otro lugar para que construyan una nueva ciudad."
T_SETTLER_ENSLAVED		"Un negrero ha capturado a tu unidad de colonos y los ha hecho sus esclavos en una ciudad de {player[0].civ_name_singular}. Puedes construir unidades abolicionistas para liberar a los esclavos de las ciudades extranjeras."
T_GET_MAP			"Has recibido el plano de {player[0].civ_name_singular}. A pesar de que ahora puedes ver la situación de las unidades y ciudades enemigas, tendrás que continuar explorando la tierra, que cambiará debido a las nuevas ciudades a los desastres naturales y a las guerras extranjeras."
T_TILE_IMP_COMPLETE		"Tu {TerrainImprovementDB(FIRST_TILE_IMP)} ha terminado. Puedes construir más granjas adyacentes a las que ya tienes siempre que lo hages sobre terreno cultivable. También puedes construir carreteras para unir las ciudades y facilitar así un tráfico más rápido y fluido."
T_SPY_INCITE_REVOLUTION		"Una unidad extranjera de espionaje ha provocado una revolución en {city[0].name}. Protege a tus ciudades contra los espías y los ciberninjas construyendo tus propias unidades de espionaje y ordenándoles que permanezcan dentro de la ciudad."
T_ABOLITIONIST_INCITE_UPRISING	"Los abolicionistas extranjeros podrían intentar liberar a los esclavos de {city[0].name}. Para proteger las inversiones, mantén a un negrero en la ciudad para que éste pueda ver a los abolicionistas extranjeros."
T_CLERIC_INDULGENCE_SALE	"Los clérigos extranjeros están vendiendo indulgencias a los ciudadanos de {city[0].name}. Puedes proteger a tu pueblo de ser seducido por la religión construyendo muros de la ciudad o manteniendo a un negrero o clérigo en la ciudad."
T_LAWYER_INJOIN_CITY		"Un abogado extranjero ha ordenado la paralización de {city[0].name}, lo que ha detenido toda la producción de la ciudad durante un turno. Para proteger tu industria de tener que sufrir las disputas legales del sistema judicial, construye tus propias unidades de abogados."
T_CORPORATE_FRANCHISE		"Una filial de empresa de {player[0].civ_name_singular} ha abierto una franquicia en {city[0].name}. Ahora están desviando el dinero de tus actividades comerciales. Una unidad de abogados puede demandarles y limpiar la ciudad de su indeseable presencia."
T_MOVE_INTO_TRANSPORT		"Desplaza a las unidades a una unidad de transporte hasta que ésta esté llena. Para descargar estas unidades, desplaza el transporte hasta el siguiente territorio, haz clic con el botón derecho del ratón en el transporte y selecciona <c:0,50,255>Descargar<e>."
T_MOVE_PATH_ORDER		"Los números que aparecen a lo largo de la ruta indican el número de turnos que necesitas para que el ejército alcance su destino. Una ruta aparece en <c:50,200,50>verde<e> allí donde un ejército puede desplazarse en el turno actual; en amarillo, si necesita más de un turno; y rojo, si no puede desplazarse."
T_MOVE_UNLOAD_ORDER		"El transporte se desplazará hasta que alcance el territorio destino y, una vez allí, descargará su contenido."
T_ECOTERRORIST_NANOINFECT_CITY	"Al construir la mejora de microdefensa en tus ciudades, como por ejemplo {city[0].name}, las protegerás contra los intentos de nanoinfecciones."
T_CITY_NUKED			"Un ataque nuclear de {player[0].civ_name_singular} ha diezmado la ciudad de {city[0].name}. Protege tus ciudades de las armas nucleares construyendo la mejora de <c:255,0,50>misiles antibalísticos<e>."
T_PILLAGE_ORDER			"Los saqueos de granjas, caminos y minas se consideran agresiones. Otras naciones pueden perder la consideración que por ti tienen si decides destruir sus mejoras de casilla."
T_PIRATE_ORDER			"Sabotear una ruta comercial puede producir algunos beneficios, pero debe hacerse por turnos para continuar recibiendo oro. El sabotaje se considera agresión, así que has de considerar las consecuencias diplomáticas de tus acciones antes de llevarlas a cabo."
T_INFECTOR_PLAGUE_CITY		"Un infectante de {player[0].civ_name_singular} ha atacado {city[0].name}, e infectado a sus ciudadanos con un ataque de armas biológicas. Este virulento agente, <c:255,0,50>, ha incapacitado a muchas personas para trabajar, ha detenido la producción y ha hecho a las gentes terriblemente desgraciadas.<e>"
T_REFORM_CITY_ORDER		"Reformar una ciudad cuesta {OrderDB(ORDER_REFORM).Gold} oro y provoca que los ciudadanos estén descontentos durante un tiempo. Sin embargo, la ciudad ya no tendrá que pagar el diezmo a ninguna otra nación."
T_DIP_REJECTION			"Has rechazado la propuesta de {player[0].leader_name}. {player[0].leader_name} podría amenazarte con llevar a cabo la propuesta rechazada."
T_DIP_REJECTION_PLAYER		"{player[1].leader_name} ha rechazado tu propuesta. Puedes amenazar a {player[1].leader_name} con llevarla a cabo igualmente o crear una nueva propuesta."
T_LAWYER_SUE_FRANCHISE		"Un abogado ha demandado a tu franquicia de {city[0].name} y la ha cerrado. Ya no recibirás la producción de esa ciudad."
T_BUILDING_SOLD			"{city[0].name} ya no posee el beneficio de {improvement[0].type}. Al vender las mejoras puedes reducir los gastos de mantenimiento o ganar algo de dinero en tiempos de necesidad. Sin embargo, la ciudad pierde los beneficios (y desventajas) de cada mejora vendida."
T_NUKE_TARGETED			"{city[0].name} ha sido alcanzada por un arma nuclear enemiga. Construye la mejora de <c:255,0,50>misiles antibalísticos<e> para protegerte de las armas nucleares. También puedes estacionar unidades antiaéreas en tus ciudades, tales como SAMs móviles o War Walkers."
T_SLAVER_RAID_CITY		"Los negreros han intentado secuestrar a los ciudadanos de {city[0].name} para utilizarlos como esclavos en un territorio extranjero. Protege a tu pueblo construyendo mejoras de muros de la ciudad."
T_SLEEP_ORDER			"Las unidades dormidas se ponen alerta cuando ven a una unidad extranjera. Puedes hacer que se despierten en cualquier momento seleccionándolas."
T_ABOLITIONIST_FREE_SLAVES	"Un abolicionista ha intentado liberar a los esclavos de {city[0].name}. Protege tu fuerza laboral de las invasiones extranjeras estacionando negreros en tus ciudades."
T_UNLOAD_CARGO			"Las tropas han salido del transporte y han de descansar un poco antes de poder continuar.\n\nSólo los marines y los paracaidistas pueden moverse justo después de haber desembarcado."
T_WAIT_TITLE			"¿Sabías que...?"
T_WAIT_1			"Una ciudad recoge los recursos de la zona que se encuentra dentro del límite blanco que la rodea. Según crece la ciudad, también se extenderá esta zona.\n\nEl límite de color representa el territorio controlado por una nación."
T_WAIT_2			"Un territorio tiene muchos tipos de terreno distintos, y cada uno de ellos proporciona diferentes cantidades de alimentos, comercio y producción.\n\nEs importante que sitúes tus ciudades en una zona en la que los ciudadanos puedan recolectar suficientes alimentos no sólo para mantener a la población, sino también para promover el crecimiento."
T_WAIT_3			"Puedes desplazar a tus unidades para que exploren el territorio y encuentren nuevos lugares en los que fundar ciudades. También puedes utilizarlas para librar batallas contra naciones enemigas o malvados bárbaros."
T_WAIT_4			"Si así lo deseas, puedes nombrar a un alcalde para que administre tus ciudades. Abre la pantalla del <c:0,50,255>administrador de la ciudad<e>, y haz clic en el cuadrado que aparece al lado de Alcalde. Selecciona una prioridad del menú desplegable. El alcalde dirigirá la construcción de la ciudad según las prioridades."
T_KEEP_HITTING_END_BUILDING	"{BUILDING_BUILDING.name} está construyendo la mejora de {BuildingDB(CITY_BUILDING_BUILDING)}. Dado que es una etapa  relativamente temprana del desarrollo del imperio, esto llevará algún tiempo. No dejes de pulsar Intro o el botón <c:0,50,255>Finalizar turno<e> hasta que se haya completado."
T_KEEP_HITTING_END_WONDER	"{BUILDING_WONDER.name} está construyendo la maravilla de {WonderDB(CITY_BUILDING_WONDER)}. Dado que es una etapa relativamente temprana del desarrollo del imperio, esto llevará algún tiempo. No dejes de pulsar Intro o el botón <c:0,50,255>Finalizar turno<e> hasta que se haya completado." 
T_CANT_DISBAND_BIG_CITY		"No puedes abandonar ciudades con más de 3.000 ciudadanos.  {city[0].name} tiene {BIG_CITY} habitantes."
T_USE_MAYORS			"Puedes delegar la administración de la ciudad a los alcaldes. En la administración de la ciudad, haz clic en el botoncito cuadrado que aparece cerca del alcalde. Selecciona una prioridad del menú desplegable. El alcalde dirigirá la construcción de la ciudad según las prioridades."
T_NEW_GOVT			"El descubrimiento de {advance[0].name} supone la introducción de una nueva filosofía política en tu nación. Si lo deseas, puedes promulgar un nuevo gobierno abriendo el <c:0,50,255>administrador del imperio<e> y haciendo clic en la pestaña <c:0,50,255>Gobierno<e>."
T_BUILD_WONDERS			"Construye más maravillas"
T_BUILD_BUILDINGS		"Construye más edificios"
T_BUILD_UNITS			"Construye más unidades"
T_TITLE_GOOD_SPOT		"Construye una ciudad aquí"
T_TITLE_BAD_SPOT		"Sigue buscando..."
T_CM_QUEUE_TAB			"La pestaña Producción del administrador de la ciudad muestra que la ciudad se está construyendo en este momento, y aún falta por construir todos los demás elementos. Si las colas de construcción están vacías, haz clic en el botón <c:0,0,200>Construir<e> para consultar la lista de elementos que puedes construir."
