#### Message strings for the Alexander the Great scenario ####


#### Button text

AG_BUTTON_OK 			"确定"
AG_TAKSASILA2_A		"友善的塔沙席拉人民提供了您许多关于印度的信息。例如城外的印度河，往西流向大海，中途会穿越过沙漠地带，河岸旁有许多城市，每座城市都是个独立城邦。"
AG_TAKSASILA2_B		"塔沙席拉城外流往东南的大河是甘吉斯河，该河有许多支流，许多的大城位于肥沃的河岸旁，这些城市都是摩揭陀帝国的城市。"
AG_TAKSASILA2_C		"印度军队以两件事闻名，分别是长弓与战象，尤其以战象最为出名，可说是世上最强壮的军种。"
AG_MAGADHAN			"再往东去便是摩揭陀帝国。许多河川由西向东流经此处，最后奔向世界边缘的大海。您在此顺着河流往东，将会到达富裕的波咤厘子城。摩揭陀帝国的军队极具传奇色彩，军营中豢养着无数的战象。"
AG_MAGADHAN2		"您进入了摩揭陀国的中心地带，得知目前的大拿南达帝王，原本是位平民，他的王位是篡夺而来的；此外，他的统治令人民相当反感，对帝国的经营，只是不断地在花费前朝留下的丰富资源。"
AG_SOUTH_INDIA		"您进入了印度南部，这儿地势崎岖不平，仅有几条道路，这儿有些未曾遭人征服过的独立小国。"
AG_MAGADHAN_FLEE	"眼见您亲自带兵前来，摩揭陀的驻军自知不敌，仓皇地逃往郊外。"
AG_KAUSAMBI			"征服了憍赏弥之后，周边城市纷纷脱离了衰败中的摩揭陀帝国，加入了胜利的一方。"
AG_UJJAYINI			"征服了地区中心的优禅尼城后，巴儒其也迅速脱离了衰亡中的摩揭陀帝国，加入了胜利的一方。"
AG_PATALIPUTRA_A	"您占领了摩揭陀首都，大拿南达帝王逃往残存的地区，摩揭陀国此时已濒临灭亡。您在王宫中发现了大拿南达剥夺自人民的金钱，共8000黄金。"
AG_PATALIPUTRA_B	"征服了波咤厘子城后，象征摩揭陀国即将灭亡，周边城市相继归顺在您的旗下。"
AG_KASI				"您占领了一座圣城，大圣佛陀的首次讲道便在这座城市，市内有许多婆罗门教寺庙，您也指派了一些希腊哲人前来印度取经。"
AG_CHANDRA_RUMOR	"波咤厘子出现躁动，传言有个优秀青年正策动一场革命，我们最好多加提防。"
AG_CHANDRA			"印度出现了新的势力，由机智的年轻将领旃陀罗笈多发起，也就是{action[0].text}。这位年轻人以您为榜样，试图建立一个新帝国，{action[1].text}。"
AG_CHANDRA_PT1A		"一群打算结束摩揭陀帝国的军队。"
AG_CHANDRA_PT2A		"一群印度义勇军，誓言要把马其顿人逐出印度。"
AG_CHANDRA_PT2B		"波咤厘子的驻军遭到偷袭，伤亡惨重。"
	# Sindu
AG_SINDU			"接连的胜利，使得摩揭陀皇室相和您交换密约，他们愿意将前个王朝的美丽公主欣度赠送给您，娶了他等于复兴了前印度皇室，使得印度人民较能接纳您的统治。不过这项秘密交易需要6000黄金。"
AG_SINDU_MARRY		"您迎娶了欣度，使得印度人民归顺在您的统治之下，虽然花费相当昂贵，不过皇室亲属们皆表示，今后将会在摩揭陀的城市里，不断地宣扬马其顿至上主义，使印度人民效忠于马其顿帝王。"
AG_SINDU_NOMONEY	"欣度的皇族亲属表示，您并没有拿出金钱来支应这场婚礼，他们认为您说的都是谎言，因而取消了婚礼。"
AG_SINDU_NOMARRY	"您不愿接受这场昂贵的婚约，不过这并不影响您成为摩揭陀人民的新首领。"

# Sogdia Strings
AG_SOGDIA_ENTER		"您进入了索底亚，一个位于高山与沙漠间的狭长草地，这儿的人们都十分好战、不受约束、肯吃苦，波斯人费了很大的工夫才控制住这块地。此外，这儿经常有蛮族出没。"
AG_SOGDIA_REBEL		"索底亚人民发动叛变，他们担心马其顿人会控制他们的行动，索底亚首领趁着您尚未巩固该地区的统治时，赶紧发动奇袭，当地驻军因此伤亡惨重。"
AG_SOGDIA_REPORT	"索底亚人似乎有无限的精力从事叛变，唯一的方法是拿下叛军首领们的性命，斥候发现，最近他们集中在克瑞斯卡达。"
	# Roxane 
AG_SOGDIA_DEFEAT_A	"您已占领了索底亚的居住地，并捕获了残存的首领群及其亲属，这些都是索底亚的贵族。"
AG_SOGDIA_DEFEAT_B	"占领了克瑞斯卡达等于结束了索底亚的叛变，但这并不表示他们再也不会叛变，最好的方法是处决所有贵族，以防有人再次带领人民叛变。"
AG_SOGDIA_DEFEAT_C	"或着，您可以迎娶索底亚皇室成员，其中一名首领的女儿，名叫罗姗妮，可说是绝世美女。至于娶了她后，是否能压住索底亚人的叛变天性，目前仍不清楚。您意下如何？"
AG_SOGDIA_KILL		"强行攻占索底亚居住地后，并抄斩了索底亚贵族，成功震吓了索底亚的人民，使得他们再也不敢发动叛变。不过当地还是有蛮族入侵的威胁。"
AG_ROXANE_MARRY		"与罗姗妮成婚，是否能换来和平，只能由时间来证明。您则认为这场婚姻是件美事。后来，这场与绝世美女的政治婚姻，还真的谱出了一段真心相爱的恋曲。"
AG_SOGDIA_BRIBE		"斥候报告，虽然已和索底亚贵族成婚，一些先前释放的首领们仍在策动着叛变，也许能赠与他们1000黄金作为礼物，以平息这场即将发生的叛变。您意下如何？"
AG_SOGDIA_BRIBE_YES	"有钱能使鬼推磨，索底亚贵族们表示，战争已经够多了，他们答应不再进行任何叛变。"
AG_SOGDIA_BRIBE_NO	"索底亚的叛变将永无止息之日，唯有指派一名将军常驻该城，或是废弃这座城市，才能换来和平。"
AG_SOGDIA_BRIBE_NSF	"很抱歉，您的经费不足1000黄金。因此，索底亚的叛变将无法平息，唯有指派一名将军常驻该城，或是废弃这座城市，才能换来和平。"

# Wife and procreation related strings
AG_WIFE1			"芭欣"
AG_WIFE2			"罗姗妮"
AG_WIFE3			"欣度"
AG_WIFE4			"史塔蝶拉"
AG_PREGNANT			"您的妻子{action[0].text}已怀有身孕，您期待是个男孩，以便将来能够继承王位。"
AG_PREGNANT2		"您的妻子{action[0].text}怀有身孕，您期待能生个男孩，因为您缺少子嗣来继承王位，而且孩童容易幺折，多生些总是好的。"
