#### Message strings for the Alexander the Great scenario ####


#### Button text

AG_BUTTON_OK 			"OK"
AG_ANTIPATER_BATTLE	"Le général Antipatros est mort au combat ! En cette année de votre couronnement, il approchait les soixante ans mais les dieux ont décidé que son heure était venue. Il sera difficile de remplacer un homme aussi aguerri et talentueux."
AG_CRATERUS_OLD		"Le général Kratéros est mort ! Kratéros était l'homme de tous les excès : passionnément loyal, impétueux, c'était également un buveur invétéré. On l'a trouvé mort au petit matin, au terme d'une longue nuit d'agapes. Vous regretterez d'avoir perdu un si bon général et un ami si proche."
AG_CRATERUS_BATTLE	"Le général Kratéros a reçu un coup mortel au combat ! Kratéros était un homme passionné et impétueux. Malgré vos fréquentes disputes, il était l'un de vos plus fidèles compagnons d'armes. Vous regretterez d'avoir perdu un si bon général et un ami si proche."
AG_HEPHAESTION		"Vous avez perdu un grand général, mais votre fidèle compagnon Héphestion est tout à fait apte à le remplacer. Faites attention cependant : rares sont les hommes capables de mener vos troupes à la victoire."
AG_PTOLEMY			"Un autre général est décédé mais un homme se tient prêt à le remplacer sur-le-champ. Ptolémée, votre ami d'enfance, est l'homme de la situation. Faites attention cependant : les hommes de sa trempe sont durs à trouver."
AG_SELEUCUS			"Vous avez perdu un autre général mais il sera vite remplacé. Séleucos, un ami d'enfance, est prêt à entrer en fonction. Malheureusement, vous avez épuisé votre réservoir de meneurs d'hommes. A l'avenir, il ne sera plus possible de remplacer un général."
AG_HEPHAESTION_OLD	"Le général Héphestion est mort ! Comme bien d'autres lors de vos campagnes en terre étrangère, il a été emporté par la maladie. C'était un ami très proche, et vous voilà inconsolable. Vous jurez d'ériger un jour le plus grand mausolée de l'histoire pour honorer sa mémoire."
AG_HEPHAESTION_BATTLE	"Le général Héphestion a péri au combat ! Héphestion était plus qu'un ami, il était votre mentor. Vous jurez d'ériger un jour le plus grand mausolée de l'histoire pour honorer sa mémoire. Pour l'heure, vous ne songez qu'à apaiser votre courroux en tuant ses meurtriers !"
AG_PTOLEMY_OLD		"Le général Ptolémée a été emporté par une épidémie ! Ptolémée était un ami d'enfance très proche, et très probablement votre demi-frère. Il était sans doute le plus astucieux de vos compagnons. Il sera impossible de remplacer un tel homme, si loyal et si talentueux."
AG_PTOLEMY_BATTLE	"Le général Ptolémée est mort au combat ! Il était le plus astucieux de vos compagnons, mais cette fois sa ruse a eu raison de lui : la manoeuvre audacieuse de ses troupes a été contrée. Il sera difficilement remplaçable."
AG_SELEUCUS_OLD		"Le général Séleucos est mort ! Au terme d'une nuit de beuverie et de débauche, il a contracté une pneumonie qui l'emporta quelques jours plus tard. Tant de vaillants soldats et d'amis fidèles sont morts, vous laissant terriblement esseulé."

AG_SELEUCUS_BATTLE	"Le général Séleucos est mort ! Votre ami d'enfance était un farouche combattant, mais aujourd'hui les dieux l'ont abandonné. Tant de vaillants soldats et d'amis fidèles sont morts, vous laissant terriblement esseulé."

# Endgame-related strings
AG_ALEX_DEFEAT_A	"Vous tombez sur le champ de bataille, votre armée s'effondre. Un messager vous recueille inconscient sur sa monture et vous emmène dans la ville alliée la plus proche. Vous frôlez la mort mais finissez par récupérer et vous montrer à vos camarades qui pleurent de joie."
AG_ALEX_DEFEAT_B	"Vous avez miraculeusement échappé à la mort, mais votre corps en porte les traces. Ayant toutes les peines du monde à vous rendre sur le champ de bataille, vous êtes incapable de lancer l'assaut. Prenez garde : tous les espoirs de l'empire reposent sur vous !"
AG_ALEX_DEAD		"La chance a tourné, vous êtes mort au combat ! Vous vous êtes battu avec bravoure mais une épée vous a transpercé par surprise. D'autres Macédoniens accompliront peut-être votre rêve de conquête du monde, mais pour vous la partie est terminée."
AG_ALEX_SHIP_A		"Piégé sur un bateau, vous ne pouvez recourir à vos dons de stratège ! Le bateau sombre et vous tombez à la mer. Mais vous ne vous laissez pas abattre : vous parvenez à rester à flot jusqu'à ce qu'un autre navire vous recueille et vous emmène rapidement à {city[0].name}"
AG_ALEX_SHIP_B		"Tout ne va pas pour le mieux. Lorsque votre navire a sombré, vous vous êtes brisé les os. Vous êtes encore en vie, mais votre corps est meurtri. Prenez garde ! Désormais, la moindre blessure peut vous emporter et vous êtes une proie facile pour la maladie."
AG_ALEX_DROWN		"Quelle erreur de voyager par mer, là où vos dons de combattant sont inutiles. Votre navire coule, vous sombrez dans les flots. Quelle mort indigne d'un homme extraordinaire ! D'autres accompliront peut-être votre rêve de conquête du monde, mais pour vous la partie est terminée."
AG_ALEX_STAGE1		"Vous manifestez les premiers signes d'affaiblissement physique."
AG_ALEX_STAGE2		"Vous avez encore perdu de la vigueur de votre jeunesse."
AG_ALEX_STAGE3		"Vous vous affaiblissez beaucoup."
AG_ALEX_STAGE4		"Votre santé est compromise. Votre corps affaibli est désormais à la merci des maladies. Vous pouvez atténuer vos chances de succomber en vous offrant les services des meilleurs médecins. Mais il vous en coûtera 1000 pièces d'or par tour. Désirez-vous recourir à la médecine ?"
AG_ALEX_DISEASE		"Ainsi affaibli, vous avez contracté une pneumonie qui s'est avérée fatale. Juste avant que les ténèbres ne vous emportent, vous pensez que vous auriez aimé mourir les armes à la main."
AG_ALEX_DISEASE2	"En dépit des soins prodigués par les médecins que vous avez engagés, la pneumonie vous emporte. Juste avant que les ténèbres ne vous emportent, vous pensez que vous auriez aimé mourir les armes à la main."

# Persian strings
AG_SCOUT_REPORT_A	"La péninsule de l'Asie Mineure abrite les principales villes perses. C'est dans les cités d'origine grecque de la côte occidentale que la Perse recrute ses hoplites. Toutefois, nombre de ces villes sont gagnées par la rébellion et comptent ardemment sur vos armées de libération."
AG_SCOUT_REPORT_B	"L'autre centre du pouvoir perse se trouve en Phénicie qui fournit des forces navales. Près de Daskyleion, des éclaireurs ont repéré une importante armée perse, dirigée par le général Memnon. Par chance, la flotte perse réprime actuellement des soulèvements en Egypte."
AG_SCOUT_REPORT_C	"Votre première grande mission consistera à contrôler les côtes sud et ouest de l'Asie Mineure avant que la flotte perse revienne vous attaquer."
AG_TYRE_APPROACH	"La prise de Tyr est la clé du contrôle de la région. Cependant, ses citoyens ne sont pas inquiets ; la cité est située sur une colline et dispose de défenses très importantes. Personne n'a jamais réussi à investir cette ville. Y parvenir serait très bénéfique pour votre réputation."
AG_TYRE_BESIDE		"D'après les éclaireurs, Tyr est puissamment défendue ! Une attaque de front entraînerait de nombreuses pertes dans votre camp. Pour affaiblir les défenses de la ville, il serait plus sage de procéder à un bombardement à l'aide de catapultes."
AG_TYRE_CONQUER		"Vous conquis Tyr ! Personne n'aurait imaginé de faire plier une cité si bien défendue. Votre réputation auprès des nations voisines n'en est que plus grande. Les cités de la ligue achéenne, craignant de subir un sort semblable, ne vous trahiront pas."
	# Phoenican Strings
AG_PHOEN_ENTER		"Vous voici à un carrefour important. Au nord-ouest se trouve l'Asie Mineure, à l'est la Mésopotamie et au sud, les villes côtières de Phénicie. En conquérant ces villes, vous empêcherez les Perses de construire des navires. A la mort de Darius, elles se rallieront à vous."
AG_PHOEN_ENTER2		"Vous voici à un carrefour important. Au nord-ouest se trouve l'Asie Mineure, à l'est la Mésopotamie, le coeur et au sud, les cités côtières de Phénicie. Après la défaite de Darius, les Phéniciens se rallieront à vous. Sans eux, les Perses n'auront plus guère de flotte."
AG_PHOEN_ARADUS		"Les citoyens d'Aradus se rallieraient volontiers à vous, mais ils craignent Darius encore plus qu'ils ne le haïssent. Ils vous accueilleront chaleureusement dès lors que Darius aura été vaincu."
AG_PHOEN_ARADUS2	"Les citoyens d'Aradus vous ouvrent leurs portes ! Une décennie auparavant, Aradus et Sidon s'étaient rebellées, mais le soulèvement fut écrasé par les Perses. Désormais, elles accueillent à bras ouverts quiconque les aide à se libérer du joug des Perses."
AG_PHOEN_SIDON		"Les citoyens de Sidon se rallieraient volontiers à vous, mais ils craignent Darius encore plus qu'ils ne le haïssent. Ils vous accueilleront chaleureusement dès lors que Darius aura été vaincu. "
AG_PHOEN_SIDON2		"Sidon se tourne volontiers vers les Macédoniens ! Avant sa récente rébellion, Sidon était la cité la plus importante de la région. La Perse a laissé Tyr prendre sa place. Tandis que Sidon vous fait bon accueil, sa rivale Tyr vous combattra sans merci."
	# Egypt strings
AG_GAZA_BESIDE		"De nombreuses villes de la région n'attendent que vous. Gaza n'en fait pas partie. Cette cité a amassé une fortune considérable grâce à la route commerciale qui la relie sud de l'Arabie et n'entend pas renoncer à ses trésors. D'après les citoyens, ses remparts sont inexpugnables."
AG_GAZA_CONQUER		"Gaza est entre vos mains ! Vous avez montré que vous étiez capable de conquérir les villes les mieux défendues. Dans la demeure du gouverneur, vous trouverez 1 500 pièces d'or supplémentaires."
AG_EGYPT_CNT_DEFECT	"D'après les éclaireurs, les Egyptiens sont prêts à se soumettre à la Macédoine, mais seulement si Alexandre vient en personne."
AG_EGYPT_DEFECT		"Les Egyptiens célèbrent dignement l'arrivée d'Alexandre le Grand ! Ceux-ci n'ont cessé de se rebeller contre les Perses mais ont chaque fois été reconquis. Désormais, ils sont vainqueurs dans toute l'Egypte ! Les soldats perses s'enfuient, vous laissant un pays dévasté."
AG_EGYPT_TYRE		"D'après les éclaireurs, les Egyptiens sont prêts à se soumettre à la Macédoine mais craignent que la flotte perse ne leur inflige une terrible punition. Si vous soumettez Tyr, les Egyptiens vous accueilleront à bras ouverts."
	# Barsine and first Darius defeat
AG_DARIUS_DEFEAT_OTHER	"D'après les éclaireurs, l'armée de Darius a été battue par les {player[0].civ_name_plural}. Darius lui-même, voyant la tournure que prenait la bataille, a fui lâchement bien avant la fin des combats. Au moins, sa couardise vous a-t-elle permis de débarrasser le monde de l'infâme Darius."
AG_DARIUS_DEFEAT_A	"L'armée de Darius a perdu la bataille ! Darius lui-même, voyant la tournure que prenaient les événements, a fui lâchement bien avant la fin des combats en n'emmenant que son cheval avec lui. Votre armée investit son campement."
AG_DARIUS_DEFEAT_B	"Darius part avec la dignité du roi des rois. Outre des joyaux et trésors valant 30 000 pièces d'or, il a laissé derrière lui d'éminents personnages. Parmi les nobles et les parents coincés par sa fuite se trouve Barsinè, l'épouse de Memnon. C'est l'une de vos amies d'enfance."
AG_BARSINE_A		"Vous vous sentez très attiré par Barsinè. Celle-ci est jeune, belle et intelligente et connaît d'éminents personnages en Perse comme en Grèce. Ayant été l'épouse de Memnon, un Grec se battant aux côtés des Perses, elle connaît la langue et les coutumes de ces deux peuples."
AG_BARSINE_B		"Allez-vous épouser cette femme ? Son défunt mari était votre ennemi. En outre, c'est une prisonnière de guerre ! Est-elle digne de confiance ? Votre réputation en souffrira certainement. L'épousez-vous maintenant ou la prenez-vous comme maîtresse en attendant ?"
AG_BARSINE2_B		"Vous avez très envie d'épouser cette femme. Mais elle est mariée à ce traître de Memnon ! Vous décidez d'en faire votre maîtresse pour l'instant, en attendant la mort ou la défaite de Memnon. Lorsqu'elle sera votre épouse légitime, elle pourra vous donner un héritier."
AG_BARSINE_MARRY	"Peu de temps après sa capture, vous contraignez Barsinè à vous épouser. Perses et Grecs sont scandalisés par votre arrogance. Cela nuira très certainement à vos relations diplomatiques avec la Grèce. La lune de miel permet au moins d'oublier un temps vos ennuis."
AG_BARSINE_MARRY2	"Quelques semaines à peine après les funérailles de Memnon, vous épousez sa veuve, Barsinè. Perses et Grecs sont scandalisés par votre arrogance. Cela risque de nuire à vos relations diplomatiques avec les Grecs. La lune de miel permet au moins d'oublier un temps vos ennuis."
AG_BARSINE_POISON	"On a essayé de vous assassiner en mettant du poison dans votre verre ! Vous découvrez que ce méfait a été orchestré par le frère de Barsinè, officier de l'armée perse. Il ne juge aucune méthode indigne lorsqu'il s'agit de faire disparaître celui qui a épousé sa soeur de force."
AG_BARSINE_2YEARS	"Cela fait deux ans que vous avez capturé la veuve de Memnon, Barsinè. Elle est heureuse d'être votre maîtresse et personne ne vous blâmera de l'épouser maintenant. Voulez-vous la prendre pour femme ?"
AG_BARSINE_2YEARS2	"La mort de Memnon remonte à deux ans, faisant de Barsinè une veuve. Elle est heureuse d'être votre maîtresse et personne ne vous blâmera de l'épouser maintenant. Voulez-vous la prendre pour femme ?"
AG_BARSINE_MARRY3	"Félicitations pour votre mariage avec Barsinè. Vous laissez en suspens vos obligations officielles pour profiter d'une cérémonie de mariage et d'une lune de miel très agréables."
AG_BARSINE_WIDOW_A	"Maintenant que Memnon est mort, vous devez décider de ce que vous allez faire de sa veuve, Barsinè. Elle est votre maîtresse depuis que vous l'avez capturée dans le campement de Darius. Vous avez tous les deux profité des rares moments que vous avez pu lui consacrer."
AG_BARSINE_WIDOW_B	"Est-il temps pour vous d'épouser Barsinè ? D'aucuns diront que vous avez voté la mort de Memnon pour lui dérober sa femme. Est-elle digne de confiance ? Son comportement cache-t-il le désir de venger Memnon ? Allez-vous prendre Barsinè pour femme ?"
	# Statiera and second Darius defeat
AG_DARIUS_DEAD_OTHER	"D'après les éclaireurs, Darius a été tué au combat par les {player[0].civ_name_plural}. Vous regrettez de ne l'avoir pas vaincu personnellement, mais le monde est débarrassé de ce traître."
AG_DARIUS_DEAD_A	"Votre armée a tué Darius ! Connaissant son penchant pour la fuite, vous avez ordonné à vos troupes d'opérer une manoeuvre d'encerclement. En cela, c'est une réussite. Mais une fois encerclé, Darius a été pris dans un corps à corps et tué par un javelot perdu."
AG_DARIUS_DEAD_B	"Une fois encore, le butin découvert dans le campement de Darius est exceptionnel : 20 000 pièces d'or ! En outre, toute la famille de Darius a été capturée en douceur : sa mère, sa femme, ainsi que de nombreux enfants. Vous voici donc devant un choix important..."
AG_DARIUS_DEAD_C	"Les Perses ayant toujours bien traité les otages royaux, vous pouvez faire de même ce qui vous coûtera 250 pièces d'or par tour. Vous pouvez aussi les exécuter. Ce serait cruel, mais les précédents ne manquent pas. Vivants, les enfants risquent un jour de se venger. Que décidez-vous ?"
AG_PERSIAN_KILL		"C'est une décision pénible, mais bien d'autres chefs l'ont prise avant vous. Vous avez sonné le glas de toute la famille royale perse, arguant d'une revanche sur les atrocités perpétrées contre des Grecs. En Grèce, les réactions sont plutôt positives : nombreux se réjouissent des souffrances perses."
AG_PERSIAN_PAMPER	"Les membres de la famille royale perse vous savent gré de votre mansuétude et apprécient leur nouveau rôle de prisonniers choyés."
AG_STAT_A			"En capturant la famille de Darius, il se pourrait que vous ayez trouvé une épouse. Stateira, fille aînée de Darius, est en âge de se marier. Elle est très belle. Un tel mariage ne pourrait que vous être bénéfique : entrer dans la famille royale perse plaiderait beaucoup en votre faveur."
AG_STAT_B			"D'un autre côté, elle est votre prisonnière et ne vous aime pas. En outre, votre réputation auprès des Grecs en pâtira. D'aucuns affirment que vos conquêtes en terre étrangère font de vous un étranger bien plus qu'un Grec : cela ne fera que confirmer leurs craintes."
AG_STAT_C			"Qui plus est, la cérémonie de mariage coûtera 5 000 pièces d'or. Pour entrer dans la famille royale perse, vous devez suivre le cérémonial officiel. Que décidez-vous ?"
AG_STAT_MARRY_A		"Les préparatifs de vos noces avec Stateira vont bon train. Cette cérémonie de mariage scelle l'union entre les familles royales macédonienne et perse. Vos meilleurs officiers entrent également dans les familles de la noblesse perse. La fusion entre les deux civilisations a vraiment commencé."
AG_STAT_MARRY_B		"Hélas, le peuple grec ne voit pas d'un bon oeil ce regain d'amitié pour les 'barbares' perses. Votre popularité en Grèce s'effondre. Attendez-vous à des revers diplomatiques."
AG_STAT_WAIT		"A n'en point douter, le temps, ainsi que votre grande renommée, feront changer l'opinion de Stateira à votre sujet. Comme vous décidez de son sort, elle n'a pas vraiment le choix. Mais votre grandeur finira par gagner son coeur."
AG_STAT_MARRY2		"Bonne nouvelle ! Stateira se déclare prête à vous épouser. Pour entrer dans la famille royale perse, vous devez suivre le cérémonial de rigueur. Il vous en coûtera 5 000 pièces d'or. L'opposition à votre mariage a diminué en Grèce, mais il reste des détracteurs...  Allez-vous l'épouser ?"
AG_STAT_MARRY3		"Stateira se plaint de voir le temps passer. Vous disposez des 5 000 pièces d'or requises pour la cérémonie de mariage. Allez-vous l'épouser ?"
	# Bessus Uprising
AG_BESSUS			"Même si aucun sang royal ne coule dans ses veines, le général perse Bessos s'est autoproclamé empereur de Perse. Il déclare qu'il conduira la résistance perse et promet de venger la mort de Darius."
AG_BESSUS2			"Même si aucun sang royal ne coule dans ses veines, le général perse Bessos s'est autoproclamé empereur de Perse. Il déclare qu'il conduira la résistance perse et promet de venger la mort de Darius et de sa famille."

# Arabia Strings
AG_ARABIA_ROAD		"Suivez cette piste, elle vous mènera jusqu'aux confins de l'Arabie du sud, qui s'est enrichie grâce au commerce des épices. Mais pour ceux qui ignorent les dangers du désert, la route est périlleuse. Quant aux barbares présents dans la région, ils sont violents et farouches."
AG_MARIB			"Vous avez trouvé la légendaire cité de Màrib ! Le commerce des épices a donné naissance à une ville étonnamment grande aux portes d'un désert hostile. L'Arabie du sud est l'unique producteur d'encens au monde, c'est ce qui a fait la fortune de cette cité."
AG_MARIB_CONQUER	"Vous avez conquis Màrib, fruit de plusieurs siècles de commerce. Quelque 10 000 pièces d'or sont tombées dans votre escarcelle !"
AG_SHABWAH_CONQUER	" Vous avez conquis Shabwah ! Plus modeste et moins riche que la légendaire Màrib, Shabwah dispose néanmoins d'un trésor impressionnant. Vous voilà plus riche de 6 000 pièces d'or !"
AG_DHUFAR_CONQUER	" Vous avez conquis Dhufar ! Plus modeste et moins riche que la légendaire Màrib, Dhufar dispose néanmoins d'un trésor conséquent. Vous y avez trouvé 3 000 pièces d'or !"

# Carthaginian Strings
AG_CARTHAGE			"Vos armées approchent de Carthage, principale cité de l'empire carthaginois. Les autres villes ne sont que les comptoirs commerciaux de cette puissante métropole. Mais ses défenses sont impressionnantes. Elle semble en mesure de supporter un siège prolongé."
AG_CARTHAGE_CONQUER	"La légendaire cité de Carthage a été conquise ! En prenant le contrôle de ce point stratégique, vous devriez très certainement assister à la décomposition l'ouest de la Méditerranée. Un butin de 3 000 pièces d'or a été trouvé !"

# Seres Strings
AG_SERES			"Vous arrivez au pays des Sères, terre de la soie. Les Grecs ignoraient tout de ce pays fabuleux jusqu'à l'incursion de vos armées. Il y a quelques cités-oasis à proximité, mais le coeur du pays se trouve bien plus à l'est, au-delà d'innombrables déserts et montagnes."
AG_SERES2			"Vous quittez les cités-oasis prospères pour aller explorer le coeur du pays des Sères. Faites demi-tour : vous n'y arriverez jamais. Une armée ne peut survivre dans des déserts aussi arides. Seules de petits convois de marchands osent s'y aventurer... parfois au péril de leur vie."

# India Strings
AG_INDIA_ROUTE		"Vous avez découvert la route du sud entre l'Inde et la Perse. Vous pourriez naviguer jusqu'à Babylone, voire jusqu'en Egypte, mais ces routes sont tombées dans l'oubli. Peut-être l'un de vos héritiers entreprendra-t-il de réhabiliter le commerce maritime entre l'Inde et l'occident."
AG_INDIA_ROUTE2		"Vous empruntez la route centrale entre l'Inde et la Perse. C'est un trajet périlleux et les routes sûres, contournant déserts et montagnes, sont difficiles à trouver."
AG_INDIA_ROUTE3		"Vous avez trouvé la route du nord entre l'Inde et la Perse. Aux yeux des Grecs, il s'agit de terres légendaires. Les Perses ont autrefois contrôlé une infime partie de ce territoire immense. Hormis cet épisode, vos armées sont les premières à explorer ces régions inconnues."
AG_CROSSROADS		"Vous avez atteint un carrefour important. La route vers le nord-est mène au coeur de la Sogdiane. La route qui part vers le sud conduit vers le sud-est puis vers le nord-ouest, rejoignant la direction de l'Inde et la Sogdiane. Quant à la route de l'ouest, elle vous fait revenir en Grèce."
AG_WILDERNESS		"Vous pénétrez sur des terres de plus en plus sauvages et hostiles. Il s'agit de la seule route reliant la Perse à ses lointaines colonies orientales. D'immenses déserts s'étendent au nord et au sud. Des hordes de Barbares risquent de surgir pour vous attaquer."
AG_TAKSASILA_A		"Les dieux vous sourient : la métropole de Taxila s'est ralliée à votre empire ! Située aux abords de l'Inde, elle a eu vent de vos victoires militaires grâce aux marchands et le dirigeant de Taxila ne souhaite pas vous résister. Sa position est idéale pour vous ouvrir les portes de l'Inde."
AG_TAKSASILA_B		"Malheureusement, certaines cités voisines ne sont pas aussi bien disposées. Les rivales de Taxila fourbissent déjà leurs armes pour tenter de vous bouter hors de l'Inde. Un brillant général nommé Poros semble particulièrement décidé à vous barrer la route."
AG_TAKSASILA2_A		"Le peuple de Taxila vous fournit de précieux renseignements sur le reste de l'Inde. Le fleuve à l'ouest de Taxila se nomme l'Indus. Il traverse des déserts et déboucher ensuite sur la mer. Nombre de cités-états indépendantes sont installées sur ses rives."
AG_TAKSASILA2_B		"En poussant vers le sud-est de la ville, vous finirez par tomber sur un autre grand fleuve aux nombreux affluents, le Gange. La plaine fertile du Gange abrite de nombreuses villes, mais toutes sont sous le contrôle de l'empire magadhan."
AG_TAKSASILA2_C		"Les armées indiennes sont réputées pour deux choses : leurs archers et leurs éléphants. Attention à ces derniers : aucune armée au monde ne peut rivaliser avec une cohorte composée de mastodontes !"
AG_MAGADHAN			"Votre armée fait état d'un vaste territoire à l'est, dirigé par les Magadhans. Des fleuves majestueux s'étendent jusqu'à la Grande Mer Indienne et vous conduisent à la capitale florissante, Pataliputra. L'armée magadhane est tout aussi légendaire."
AG_MAGADHAN2		"En pénétrant au coeur de l'empire magadhan, vous apprenez des nouvelles inquiétantes. L'empereur Dhana Nanda, haï de son peuple, a usurpé le trône. L'empire ne semble être rien d'autre que l'ombre de sa splendeur passée mais ses ressources sont encore immenses."
AG_SOUTH_INDIA		"D'après vos éclaireurs, vous atteignez maintenant le sud de l'Inde. Il s'agit d'une région rude, où les routes se font rares. Ses cités-états n'ont jamais été conquises par le moindre empire."
AG_MAGADHAN_FLEE	"Sachant que vous arrivez en personne pour conquérir leur ville, les soldats magadhans réalisent que leur armée ne sera pas capable de vous résister et décident de s'enfuient de la ville."
AG_KAUSAMBI			"La conquête de Kausambi pousse certaines cités voisines à se désolidariser de l'empire magadhan, qui tombe en décrépitude, et à se rallier au camp du vainqueur."
AG_UJJAYINI			"La conquête de la capitale régionale Ujjain pousse la cité de Bharhut à se désolidariser de l'empire magadhan, qui tombe en décrépitude, et à se rallier au camp du vainqueur."
AG_PATALIPUTRA_A	"Vous avez conquis la capitale magadhane ! L'empereur Dhana Nanda s'enfuit aux confins de ce qui fut autrefois un puissant empire. Celui-ci avait la réputation de piller son propre peuple et vous trouvez effectivement un trésor considérable : 8 000 pièces d'or."
AG_PATALIPUTRA_B	"La conquête de Pataliputra scelle votre mainmise sur la totalité de l'empire magadhan. Les cités voisines se rallient à vous, ayant depuis longtemps perdu toute foi dans leur  ancien empire."
AG_KASI				"Vous avez conquis l'une des cités les plus sacrées du monde. Un très saint homme nommé Bouddha y a prononcé son premier sermon. La ville compte d'innombrables temples dédiés à la religion des Brahmanes. Vous ordonnez aux philosophes grecs de s'y rendre."
AG_CHANDRA_RUMOR	"Des troubles secouent la région de Pataliputra. Selon les rumeurs, un jeune chef charismatique fomente une révolution. Préparez-vous à un éventuel soulèvement."
