#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Meassage strings for the Alexander the Great scenario in German
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contain all the message strings for the Alexander the Great 
#   scenario. It contains nothing else.
# - The order of the strings has been synchronized in the English, German
#   and Italian version. This has not been done for the French, Spanish and 
#   Japanese version, since those files are missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages keep make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last time of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Synchronized the string sequenze between the English, German and Italian
#   of that file.
# - Removed Christain propaganda about Babylon.
# - German version only: Replaced formal addressing by Sie by King's and 
#   Queen's formal addressing of Ihr.
#
#----------------------------------------------------------------------------

#### Message strings for the Alexander the Great scenario ####

#### Button text

AG_BUTTON_OK		"OK"
AG_HEPHAESTION_BATTLE	"General Hephaistion ist in der Schlacht gefallen! Hephaistion war mehr als ein Freund, er war Euer Mentor. ihr hättet mit Freuden Euer eigenes Leben für seines gegeben. Ihr schwört, eines Tages das größte Mausoleum der Geschichte zu bauen, um seiner zu gedenken. Aber heute denkt Ihr nur daran, Rache an denjenigen zu nehmen, die ihn auf dem Gewissen haben!"
AG_PTOLEMY_OLD		"General Ptolemaios ist einer unerwarteten Seuche zum Opfer gefallen! Ptolemaios war ein enger Freund aus Kindertagen und höchstwahrscheinlich sogar Euer Halbbruder. Vermutlich habt Ihr mit ihm auch den klügsten Eurer Mitstreiter verloren. Es wird nicht möglich sein, einen so begnadeten und loyalen Freund wie ihn zu ersetzen."
AG_PTOLEMY_BATTLE	"General Ptolemaios ist in der Schlacht gefallen! Von all Euren Mitstreitern war er der klügste, aber dieses Mal kostete ihn seine Intelligenz das Leben, als ein mutiger Vorstoß seiner Soldaten entdeckt und zurückgeschlagen wurde. Er wird schwer zu ersetzen sein."
AG_SELEUCUS_OLD		"General Seleukos ist tot! Nach einer wilden, durchzechten Nacht erlitt er eine Lungenentzündung, der er einige Tage später erlag. So viele Eurer besten Soldaten und Freunde sind gestorben - Ihr steht zunehmend alleine da."
AG_SELEUCUS_BATTLE	"General Seleukos ist tot! Euer Freund aus Kindertagen war ein mutiger Kämpfer, doch heute war ihm das Glück der Götter nicht hold. So viele Eurer besten Soldaten und Freunde sind gestorben - Ihr steht zunehmend alleine da."
AG_GENERAL_DROWN	"{drownedGeneral.name} ist im Meer ertrunken! Noch Tage später werdet Ihr von Albträumen geplagt, in denen die tosende See Euch in ihrer eisernen Umklammerung festhält und das Wasser Eure Kehle hinunterrinnt, bis Eure Lungen platzen.Ihr hofft, Seereisen vorerst vermeiden zu können." 

# Endgame-related strings
AG_ALEX_DEFEAT_A	"Ihr fallt auf dem Schlachtfelde, Eure Soldaten um Euch herum verstreuen sich in alle Richtungen. Ein pfiffiger Bote schleppt Euren bewusstlosen Körper auf sein Pferd und flieht in Eure nächstgelegene Stadt. Tagelang schwebt Ihr zwischen Leben und Tod, erholt Euch aber schließlich wieder so gut, dass Ihr Euch Euren Kameraden zeigen könnt. Viele von Ihnen fallen auf die Knie und vergießen Tränen der Freude."
AG_ALEX_DEFEAT_B	"Ihr sEid dem Tode zwar wie durch ein Wunder von der Schippe gesprungen, aber Euer Körper wird nach wie vor beeinträchtigt bleiben. Statt Eure Männer an der Spitze der Truppen in die Schlacht zu führen, wird es Euch schmerzliche Mühe kosten, das Schlachtfeld überhaupt zu erreichen. Passt gut auf Euch auf: Die Hoffnungen aller Bürger Eures Reiches hängen von Eurem Überleben ab!"
AG_ALEX_DEAD		"Das Glück hat Euch verlassen: Ihr seid in der Schlacht gefallen! Todesmutig wie immer seid Ihr mitten ins Geschehen vorgerückt und habt furchtlos gekämpft, doch plötzlich werdet Ihr von einem Schwert getroffen, das Euren Körper zweiteilt. Vielleicht vollendet ein anderer Makedonier Euren Traum, doch für Euch ist das Spiel zu Ende."
AG_ALEX_SHIP_A		"Gefangen auf einem Schiff seid Ihr nicht in der Lage, Eure Kampffertigkeiten einzusetzen, um Euch selbst zu befreien! Während das Schiff untergeht, stürzt Ihr hilflos in die Tiefe. Doch es ist nicht so einfach, den großen Alexander klein zu kriegen: Ihr schafft es, Euch lange genug über Wasser zu halten, bis ein anderes Schiff Euch aufnimmt und schleunigst nach {city[0].name} bringt."
AG_ALEX_SHIP_B		"Es sieht nicht gut für Euch aus: Herabfallende Holzbalken Eures in Stücke gerissenen Schiffes haben Euch zahlreiche Knochen gebrochen. Glücklicherweise seid Ihr überhaupt noch am Leben, doch Euer Körper wird von den Verletzungen beeinträchtigt bleiben. Passt gut auf Euch auf! Von jetzt an könnte auch die kleinste Verwundung Euren Tod bedeuten - außerdem ist Eier geschwächter Körper recht krankheitsanfällig."
AG_ALEX_DROWN		"Wie unklug, auf einem Schiff zu reisen, wo Ihr Eure Kampffertigkeiten nicht nutzen könnt. Das Schiff geht unter und alle Männer an Bord werden in die dunklen Tiefen des Meeres gerissen, Euch eingeschlossen. Was für ein unwürdiger Tod für eine so herausragende Persönlichkeit. Vielleicht vollendet ein anderer Makedonier Euren Traum, doch für Euch ist das Spiel zu Ende."
AG_ALEX_STAGE1		"Ihr spürt die ersten Ermüdungserscheinungen."
AG_ALEX_STAGE2		"Ihr habt ein wenig Eurer jugendlichen Vitalität eingebüßt."
AG_ALEX_STAGE3		"Ihr werdet zunehmend schwächer."
AG_ALEX_STAGE4		"Eure Gesundheit lässt sehr zu wünschen übrig: Euer angegriffener Körper ist jetzt sehr krankheitsanfällig. Ihr könnt das Risiko, an einer Krankheit zu sterben, dadurch verringern, dass Ihr die besten für Geld erhältlichen Ärzte um Euch versammelt. Das kostet Euch allerdings 1.000 Gold pro Runde. Wollt Ihr einen Ärztestab verpflichten?"
AG_ALEX_DISEASE		"In Eurem geschwächten Zustand fangt Ihr Euch eine Lungenentzündung ein und sterbt. Euer letzter Gedanke vor Eurem Eintritte in die ewige Finsternis ist, dass Ihr wünschtet, mit einem Schwert in der Hand sterben zu dürfen."
AG_ALEX_DISEASE2	"Trotz Eurer Vorsichtsmaßnahmen und der Betreuung durch die besten Ärzte sterbt Ihr an einer Lungenentzündung. Euer letzter Gedanke vor Eurem Eintritte in die ewige Finsternis ist, dass Ihr wünschtet, mit einem Schwert in der Hand sterben zu dürfen."

# Persian strings
AG_SCOUT_REPORT_A	"Die Halbinsel Kleinasien (Türkei) beherbergt die wichtigsten Städte Persiens. Hierbei handelt es sich um griechisch beeinflusste Städte an der Westküste, aus denen die Perser einen Großteil ihrer Phalanxen beziehen. Die meisten dieser Städte rebellieren jedoch und erwarten Eure Befreiungstruppen sehnsüchtig."
AG_SCOUT_REPORT_B	"Das zweite wichtige Standbein der persischen Macht ist Phönizien (Tyros, Sidon und Arados). Die Phönizier sorgen für die Bemannung der umfangreichen persischen Flotte. Späher haben eine große persische Armee in der Nähe von Dascylium entdeckt, angeführt von General Memnon. Glücklicherweise ist die Mehrheit der persischen Flotte gerade damit beschäftigt, eine Revolte in Ägypten zu unterdrücken."
AG_SCOUT_REPORT_C	"Eure erste wichtige Aufgabe sollte sein, die Süd- und Westküsten von Kleinasien unter Eure Kontrolle zu bringen, bevor die persische Flotte zurückkehrt, um Euch anzugreifen."
AG_TYRE_APPROACH	"Die Kontrolle über Tyros ist der Schlüssel zur Herrschaft über diese gesamte Region. Doch die Bevölkerung von Tyros steht Angriffen gelassen gegenüber: Ihre Stadt wurde auf einem Hügel errichtet und ist gut befestigt. Bisher ist es noch niemandem gelungen, Tyros zu stürmen. Wenn Ihr es schafft, würde diese Tat Euer Ansehen enorm verbessern."
AG_TYRE_BESIDE		"Späher berichten, dass Tyros gut befestigt ist! Ein direkter Angriff würde aller Wahrscheinlichkeit nach viele Opfer auf Eurer Seite fordern. Daher ist eine langfristigere Bombardierung mit mehreren Katapulten angeraten, um die gegnerische Verteidigung zu schwächen."
AG_TYRE_CONQUER		"Ihr habt das Unmögliche möglich gemacht und Tyros erobert! Niemand ahnte, dass dies jemals gelingen könnte. Euer Ansehen bei den benachbarten Nationen ist enorm gestiegen. Es ist viel unwahrscheinlicher geworden, dass Euch die Städte des Korinthischen Bundes in die Quere kommen, denn sie haben erkannt, dass Ihr durchaus auch in der Lage wäret, ihre Städte einzunehmen."

# Phoenican Strings
AG_PHOEN_ENTER		"Ihr seid an einem wichtigen Kreuzweg angelangt: Im Nordwesten befindet sich Kleinasien, im Osten liegt Mesopotamien, das Zentrum des persischen Reiches, und im Süden sind die Küstenstädte Phöniziens angesiedelt. Wenn Ihr die phönizischen Städte unter Eure Herrschaft bringt, wird Persien kaum noch Schiffe bauen können. Es besteht eine reelle Chance, dass sie sich Euch freiwillig anschließen werden, aber erst, nachdem Dareios vernichtet wurde."
AG_PHOEN_ENTER2		"Ihr seid an einem wichtigen Kreuzweg angelangt: Im Nordwesten befindet sich Kleinasien, im Osten liegt Mesopotamien, das Zentrum des persischen Reiches, und im Süden sind die Küstenstädte Phöniziens angesiedelt. Jetzt, da Dareios geschlagen ist, sind die Phönizier bereit, sich Euch anzuschließen - sie warten nur noch darauf, dass Ihr Euch persönlich zeigt. Ohne Phönizien ist die persische Flotte am Ende."
AG_PHOEN_ARADUS		"Die Bürger von Arados würden sich Euch bereitwillig ergeben, aber obwohl sie Dareios hassen, fürchten sie ihn doch. Ihr solltet hierher zurückkehren, nachdem Ihr Dareios geschlagen habt - dann wird der Empfang deutlich freundlicher ausfallen."
AG_PHOEN_ARADUS2	"Die Bürger von Arados öffnen ihre Stadttore und heißen Euch - ihren neuen Helden - willkommen! Vor etwa zwölf Jahren probten Arados und Sidon den Aufstand, doch die Rebellion wurde von den Persern niedergeschlagen. Sie heißen jeden willkommen, der sie dabei unterstützt, dem persischen Joch zu entrinnen."
AG_PHOEN_SIDON		"Die Bürger von Sidon würden sich Euch bereitwillig ergeben, aber obwohl sie Dareios hassen, fürchten sie ihn doch. Sie sollten hierher zurückkehren, nachdem Ihr Dareios geschlagen haben - dann wird der Empfang freundlicher ausfallen."
AG_PHOEN_SIDON2		"Sidon ergibt sich den Makedoniern! Bevor Sidon in der Vergangenheit rebelliert hat, war es die größte und wichtigste Stadt in dieser Region. Jetzt hat Persien die frühere Stellung von Sidon an Tyros übertragen. Das bedeutet, dass Ihr in Sidon willkommen seid, die rivalisierende Stadt Tyros sich aber auf jeden Fall gegen Euch wenden wird."

# Egypt strings
AG_GAZA_BESIDE		"Viele Städte dieser Region würden sich Euch nur zu gerne ergeben, allerdings gehört Gaza nicht dazu. Diese Stadt gilt als Umschlagplatz für den Handel von und nach Südarabien und demzufolge verfügen ihre Bewohner über großen Wohlstand, den sie sicher nicht bereit sind, kampflos aufzugeben. Außerdem glauben sie, dass ihre Mauern uneinnehmbar sind."
AG_GAZA_CONQUER		"Die Stadt Gaza gehört Euch! Was die Einnahme gut befestigter Städte angeht, haben Ihr Euch als äußerst erfolgreicher Eroberer erwiesen. Im Haus des Statthalters findet Ihr eine mit 1.500 Gold gefüllte Schatztruhe."
AG_EGYPT_CNT_DEFECT	"Späher berichten, dass die Ägypter bereit sind, sich den Makedoniern zu ergeben, allerdings nur unter der Bedingung, dass Ihr Euch ihnen persönlich zeigt."
AG_EGYPT_DEFECT		"Die Einwohner von Ägypten feiern die Ankunft von Alexander dem Großen! Die Ägypter haben sich wiederholt gegen die Perser erhoben, wurden aber jedes Mal zurückerobert. In Euch sehen sie ihre Rettung aus diesem Teufelskreis, und ganz Ägypten löst sich aus der Unterjochung durch die Perser! Die persischen Soldaten ergreifen die Flucht und hinterlassen Euch verwüstete Ländereien."
AG_EGYPT_TYRE		"Späher berichten, dass die Ägypter bereit sind, sich den Makedoniern zu ergeben, aber sie fürchten Vergeltungsschläge durch die persische Flotte. Erobern Sie zunächst Tyros, dann werden sich Euch die Ägypter mit Freuden anschließen."

# Barsine and first Dareios defeat
AG_DARIUS_DEFEAT_OTHER	"Späher berichten, dass Dareios' Armee von den {player[0].civ_name_plural#DAT} geschlagen wurde. Dareios selbst erkannte diese Entwicklung rechtzeitig und floh wie ein Hasenfuß noch bevor die Schlacht vorüber war. Durch sein feiges Verhalten hat er Euch immerhin die Gelegenheit verschafft, die Welt eigenhändig von diesem Tunichtgut zu befreien."
AG_DARIUS_DEFEAT_A	"Dareios' Armee wurde im Kampfe geschlagen! Dareios selbst erkannte diese Entwicklung rechtzeitig und floh wie ein Hasenfuß längst bevor die Schlacht vorüber war. Während seine Leibgarde getötet wurde, konnte er selbst mit wenig mehr als seinem Pferd entkommen. Eure Truppen stürmen Dareiosses Lager."
AG_DARIUS_DEFEAT_B	"Dareios führt auf seinen Reisen all den Reichtum mit sich, den man von dem König der Könige erwartet. Ihr habt nicht nur Juwelen und Goldschätze im Wert von 30.000 Gold erbeutet, sondern es wurden auch viele wichtige Menschen zurückgelassen. Unter den Adeligen und Verwandten, die Dareios auf seiner Flucht im Stich gelassen hat, befindet sich auch Barsine, die Frau von Memnon. Sie ist eine Freundin aus Kindertagen."
AG_BARSINE_A		"Ihr fühlt Euch stark zu Barsine hingezogen. Sie ist jung, schön und intelligent und mit mächtigen Leuten sowohl in Persien wie auch in Griechenland befreundet. Da sie mit Memnom verheiratet ist, einem Griechen, der für die Perser kämpft, ist sie in der persischen als auch in der griechischen Gesellschaft zu Hause und spricht beide Sprachen."
AG_BARSINE_B		"Solltet Ihr diese Frau zum Eheweib nehmen? Ihr verstorbener Mann war Euer Feind. Außerdem ist sie eine Kriegsgefangene! Könnt Ihr ihr trauen? Euer Ansehen wird mit Sicherheit darunter leiden, denn die Leute werden glauben, dass Ihr sie heiratet, um Euren Feinden eins auszuwischen. Wollt Ihr sie jetzt heiraten oder vorerst als Geliebte behalten?"
AG_BARSINE2_B		"In Euch keimt das Interesse auf, eine außergewöhnliche Frau heiraten zu wollen. Allerdings ist besagte Dame mit Memnon verheiratet, Eurem verräterischen Intimfeind! Ihr beschließt, sie vorerst zur Geliebten zu machen und abzuwarten, bis Memnon getötet oder anderweitig geschlagen wird. Nur, wenn Ihr rechtmäßig verheiratet seid, kann sie Euch einen Erben schenken, den alle akzeptieren würden."
AG_BARSINE_MARRY	"Nur wenige Tage nach ihrer Gefangennahme nehmt Ihr Basine in einer Blitzhochzeit an einem unweit des Schlachtfeldes gelegenen Ort zur Frau. Sowohl die Perser als auch die Griechen sind über Euer arrogantes Verhalten empört. Das wird den diplomatischen Beziehungen in Eurer Heimat Griechenland ohne Zweifel schaden. Aber zumindest bleibt Euch ja noch die Hochzeitsnacht, die Euch für den ganzen Ärger entschädigen sollte."
AG_BARSINE_MARRY2	"Nur wenige Wochen nach Memnons Begräbnis nehmt Ihr seine Witwe Barsine zur Frau. Sowohl die Perser als auch die Griechen sind über Euer arrogantes Verhalten empört. Das wird den diplomatischen Beziehungen in Eurer Heimat Griechenland ohne Zweifel schaden. Aber zumindest bleibt Euch ja noch die Hochzeitsnacht, die Euch für den ganzen Ärger entschädigen sollte."
AG_BARSINE_POISON	"Jemand hat versucht, Euch mit einem vergifteten Trank zu ermorden! Glücklicherweise habt Ihr nicht genug von dem Gebräu zu Euch genommen, um daran zu sterben. Ihr findet heraus, dass der Befehl für diesen Anschlag von dem Bruder Eurer Frau Barsine erteilt wurde, einem Kommandeur der persischen Armee. Ihm scheint kein Weg zu nieder zu sein, um den Mann zu beseitigen, der seine Schwester zur Heirat gezwungen hat."
AG_BARSINE_2YEARS	"Es ist nun zwei Jahre her, seit Sie Memnons Witwe Barsine gefangen genommen haben. Sie ist glücklich, Eure Geliebte zu sein, und niemand würde schlecht von Euch denken, wenn Ihr sie nun heiraten würdet. Wollt Ihr sie heiraten?"
AG_BARSINE_2YEARS2	"Seit Memnons Tod, der Barsine zur Witwe machte, sind mittlerweile zwei Jahre vergangen. Sie ist glücklich, Eure Geliebte zu sein, und niemand würde schlecht von Euch denken, wenn Ihr sie nun heiraten würdet. Wollt Ihr sie heiraten?"
AG_BARSINE_MARRY3	"Herzlichen Glückwunsch zu Ihrer Hochzeit mit Barsine. Zugunsten einer vergnüglichen Hochzeitszeremonie und einer ausgiebigen Hochzeitsnacht gönnt Ihr Euch eine Pause von Euren offiziellen Verpflichtungen."
AG_BARSINE_WIDOW_A	"Jetzt, da Memnon tot ist, steht Ihr vor der Entscheidung, was mit seiner Witwe Barsine passieren soll. Seit Ihr sie in Dareiosses Feldlager gefangen genommen habt, ist sie Eure Geliebte. Während der seltenen Gelegenheiten, an denen Ihr Euch sehen konntet, habt Ihr beide die Gesellschaft des anderen genossen."
AG_BARSINE_WIDOW_B	"Ist es an der Zeit, Barsine zu heiraten? Viele werden sagen, dass Ihr Memnons Tod absichtlich zugelassen haben, nur um ihm seine Frau zu nehmen. Und könnt Ihr ihr trauen oder ist sie jetzt einfach nur freundlich, um später im Memnons Namen Rache nehmen zu können? Werdet Ihr Barsine heiraten?"

# Statiera and second Dareios defeat
AG_DARIUS_DEAD_OTHER	"Späher berichten, dass Dareios in der Schlacht gegen die {player[0].civ_name_plural} gefallen ist. Ihr seid verbittert, weil Ihr ihm nicht selbst den Garaus machen konntet, aber wie dem auch sei: Die Welt ist ohne ihn in jedem Fall besser dran."
