#### Message Strings for the Seven Samurai scenario ####


#### Button text

SS_BUTTON_OK 	"OK"
SS_KAU_PI_REST		"Sie kehren in dem Dorf Kau Pi ein, um Rast zu machen und nehmen erst mal eine warme Mahlzeit zu sich zu nehmen, bevor Sie Ihre Reise fortsetzen."
SS_SARDO_A			"Sie kehren in dem Dorf Sar-do ein, um Rast zu machen und eine warme Mahlzeit zu sich zu nehmen. Die Dorfbewohner heißen Sie herzlich willkommen ... zu herzlich. Sie vermuten, dass sie eine Gegenleistung von Ihnen erwarten. Also üben Sie sich in Geduld und genießen die Gastfreundschaft, bis schließlich nach Sonnenuntergang der Dorfälteste mit Grabesmine an Sie herantritt."
SS_SARDO_B			"Er erzählt Ihnen, dass die Inseln im Westen von den Moraru Kyonshi heimgesucht werden: Dämonen, die eine beliebige Gestalt annehmen können. Die Dorfbewohner hatten sich immer von ihnen ferngehalten, aber vor ein paar Monaten sind einige neugierige Jugendliche in Richtung Westen aufgebrochen und seither nicht wieder zurückgekehrt."
SS_SARDO_C			"Kurz danach war ein anderer Samurai nach Sar-do gekommen und die Bevölkerung hatte ihn gebeten, die beiden jungen Männer zu retten, doch auch er kehrte nie zurück. Vielleicht sind Sie ja in der Lage, zu Ende zu bringen, was ihm nicht gelang ..."
SS_SARDO_DONE_A		"Die Dorfbewohner drängen sich um Sie und überhäufen Sie mit Fragen. Sie heben die Hände und erzählen ihnen von Ihrer Begegnung mit den Moraru Kyonshi. Einige Dorfbewohner brechen in Tränen aus, als Sie erzählen, was mit den Jugendlichen passiert ist, doch alle auch froh, dass die Dämonen niemandem mehr Schaden zufügen werden."
SS_SARDO_DONE_B		"Nachdem Sie die ganze Geschichte berichtet haben, wird ein großes Fest gefeiert. Einen Abend lang lassen Sie sich von dem Zauber dieses Freudenfestes gefangen nehmen und vergessen die schwere Aufgabe, die noch vor Ihnen liegt. Am nächsten Morgen verabschieden Sie sich von Ihren neu gewonnenen Freunden und verlassen das Dorf."
SS_SARDO_REST		"Sie kehren in dem Dorf Sar-do ein, um Rast zu machen. Die Dorfbewohner sind sehr gastfreundlich und bieten Ihnen eine kostenlose Unterkunft und eine warme Mahlzeit an. Als Sie Ihre Reise fortsetzen, fühlen Sie sich wie neu geboren."
SS_KYONSHI			"Dieses Dorf wirkt verlassen."
SS_KYONSHI2			"Dieses Dorf ist noch IMMER verlassen. Ziehen Sie weiter!"
SS_KYONSHI_A		"Bei Ihrer Ankunft im Dorf sagt Kikichuyo: 'Dies ist mein Heimatdorf. Warum ich Ihnen das nicht schon früher gesagt habe, werden Sie schon bald erfahren.' Gemeinsam gehen Sie auf den Dorfplatz zu. Ebenso wie die umliegenden Hütten scheint er völlig verlassen zu sein."
SS_KYONSHI_A_NO_K	"Niemand kommt, um Sie zu begrüßen. Die Hütten wirken einsam und verlassen. Plötzlich werden um Sie herum Türen aufgestoßen und behaarte Monster mit großen Klauen stürzen hervor. Sie scheinen aus dem Nichts zu kommen und kreisen Sie ein. Plötzlich spüren Sie einen Schmerz am Hinterkopf und alles um Sie herum wird schwarz ..."
SS_KYONSHI_B		"Blitzartig wird eine Tür aufgestoßen und ein behaartes Klauenmonster stürzt hervor. Sie starren es ungläubig an und schauen zu Kikichuyo. Er lächelt finster und plötzlich wachsen auch ihm ein Fell, Fangzähne und Klauen! Es tauchen immer mehr Bestien auf und umringen Sie. Plötzlich wird Ihnen schwarz vor Augen ..."
SS_KYONSHI_C		"Sie öffnen Ihre Augen und blinzeln in das grelle Sonnenlicht. Ihre Hände sind hinter Ihrem Rücken an einem Metallpfahl festgebunden. Ihr Kopf hämmert, Ihr Blick ist verschwommen. Schließlich fällt Ihnen wieder ein, was passiert ist: Sie befinden sich auf dem Dorfplatz."
SS_KYONSHI_D		"Neben sich erkennen Sie Kikichuyo, bewusstlos und ebenfalls gefesselt. Zumindest wissen Sie jetzt, dass er Sie nicht hintergangen hat. Sie schreien ihn an, bis er schließlich aufwacht. Stundenlang verharren Sie beide in dieser Position, ohne dass sich Ihre Peiniger auch nur zeigen würden."
SS_KYONSHI_E		"Sie hören Schritte hinter sich. Überraschend werden Ihre Fesseln durchschnitten: Sie sind frei. Eigentlich rechnen Sie mit einem Dämon, doch stattdessen steht eine junge Frau vor Ihnen, die eine Rüstung trägt - vermutlich der Samurai, den die Dorfbewohner ausgeschickt haben. Sie muss sich als Mann verkleidet haben."
SS_KYONSHI_F		"Die Frau bedeutet Ihnen, leise zu sein und führt Sie aus dem Dorf in eine versteckte Höhle, in der Sie Ihre Sachen finden. Nachdem sie sich als Chun Ling vorgestellt hat, erzählt sie Ihnen ihre Geschichte: 'Als ich in das Dorf kam, wurde ich Zeuge, wie die Moraru Kyonshi die beiden jungen Männer dem Vollmond opferten."
SS_KYONSHI_G		"'Ich konnte nichts mehr tun, um sie aufzuhalten, also hielt ich mich versteckt und schaltete nur diejenigen aus, die sich von der Gruppe entfernten. So konnte ich die Hälfte von ihnen erledigen, aber jetzt bleiben sie immer in Grüppchen zusammen. Gemeinsam könnten wir aber auch die restlichen Dämonen vernichten.'"

# Gonza and Chikamatsu strings
SS_GONZA_A		"Ein einzelner Krieger steht vor der Taverne und hält drei Samurai gekonnt mit einer Lanze in Schach. Als die drei Angreifer kurz abgelenkt sind, nutzt der Lanzenkämpfer seine Chance, um zwei von ihnen niederzustrecken. Der dritte Samurai greift den Mann indes von hinten an und fügt ihm eine tiefe Wunde zu."
SS_GONZA_B		"Der Lanzenkämpfer gerät ins Straucheln, reißt seine Waffe aber noch rechtzeitig herum und trifft seinen Gegner genau in die Lunge. Danach wendet sich der Mann mit gezückter Lanze Ihnen zu. 'Ich will Ihnen nichts tun', sagen Sie. Sie berichten ihm von Ihrem Anliegen und fragen ihn, ob er sich Ihnen anschließen möchte."
SS_GONZA_C		"Der Lanzenkämpfer stellt sich als Gonza vor und erzählt, dass man hinter ihm her ist, weil er aus Karrieregründen zugestimmt hatte, die Tochter seines Meisters Chikamatsu von Bunraku zu heiraten, obwohl er bereits mit der Schwester eines seiner Kameraden verlobt war. Dieser war daraufhin so erbost, dass er Gonza Rache schwor."
SS_GONZA_D		"Nachdem Chikamatsu zur Jagd gegangen war, legte er falsche Beweise, die Gonza einer Liaison mit Chikamatsus Frau überführen sollten. Gonza musste fliehen und versucht jetzt, die Jagdhütte seines Herrn südlich bzw. westlich des Strandes zu erreichen, um seinen Namen reinzuwaschen. Sie erklären sich bereit, ihm zu helfen."
SS_AMBUSH_GONZA		"Plötzlich stoßen ein paar Samurai aus ihrem Versteck {action[0].text} hervor. Sie fuchteln mit ihren Krummschwertern herum, stoßen wilde Beleidigungen gegen Gonza aus und gehen schließlich zum Angriff über!"
SS_CHIKAMATSU_A		"Ein majestätisch wirkender Mann - vermutlich Lord Chikamatsu - tritt von zwei Wachen flankiert aus der Hütte heraus. Er nähert sich Gonza und umarmt ihn herzlich. Chikamatsu lächelt und sagt: 'Gonza, mein baldiger Sohn! Was führt dich hierher?' Seine Mine verfinstert sich zusehends, als Gonza seinen Verrat gesteht."
SS_CHIKAMATSU_B		"Als Gonza seinem Meister von Ihrem Vorhaben erzählt, nickt Chikamatsu Ihnen respektvoll zu. Dann tritt er einen Schritt zurück, um sich mit seinen beiden Leibwächtern zu besprechen, die daraufhin eiligst in Richtung Norden aufbrechen. 'Ich habe Chaki und Yano beauftragt, sich des Problems anzunehmen."
SS_CHIKAMATSU_C		"'Meine Samurai sollen euch nicht länger belästigen. Aber zur Sicherheit werde ich euch begleiten. Ihr könnt doch sicher noch einen weiteren Schwertkämpfer gebrauchen, oder?'"
SS_CHIKAMATSU_A_NO_G	"Bei Ihrer Ankunft tritt ein majestätisch wirkender Mann - vermutlich Lord Chikamatsu - von zwei Leibwächtern flankiert aus der großen Hütte heraus. Als Sie ihm von Gonzas tragischem Schicksal berichten, verfinstert sich sein Gesichtsausdruck. Dann tritt er einen Schritt zurück und bespricht sich mit seinen beiden Leibwächtern."
SS_CHIKAMATSU_B_NO_G	"Im Anschluss an diese Unterhaltung brechen die zwei eiligst in Richtung Norden auf. 'Ich habe Chaki und Yano beauftragt, sich des ... Problems anzunehmen. Um Sie für den Verlust von Gonza zu entschädigen, werde ich Sie von nun an unterstützen. Sie können doch sicher noch einen weiteren Kämpfer gebrauchen, nicht wahr?'"
SS_CHIKAMATSU_HORSE	"Chikamatsu bietet Ihnen sein Zweitpferd an. Da Ihre wunden Füße nicht daran gewöhnt sind, so große Entfernungen zurückzulegen, nehmen Sie sein Angebot freudig und sehr dankbar an."

# J-chan strings
SS_BUNNY		"Unterwegs fällt Ihnen eine merkwürdige Hasenfährte auf. Die Spuren führen nach Osten und scheinen von einem ungewöhnlich schweren Tier zu stammen ..."
SS_BUNNY2		"Sie finden weitere tiefe Abdrücke von Hasenpfoten, die in Richtung Südosten führen ..."
SS_BUNNY3		"Hier führen die Spuren des fetten Hasen mehr in östliche Richtung. Bei dem Gedanken an saftiges Hasenragout verspüren Sie ein merkliches Magenknurren ..."
SS_JCHAN_A		"Nachdem Sie der Hasenfährte einige Tage gefolgt sind, bekommen Sie das Tier endlich zu Gesicht: einen kleinen Mümmelmann mit ziemlich großen Hörnern! Hörner oder nicht, das Vieh sieht lecker aus, also versuchen Sie, ihn zu fangen, doch er entwischt Ihnen. Sie geben jedoch nicht auf und folgen ihm durchs Unterholz."
SS_JCHAN_B		"Kurze Zeit später endet die Pirsch damit, dass Sie den Hasen bei einer heißen Quelle in die Enge getrieben haben - zumindest glauben Sie das. Das Tier springt jedoch einfach in die heiße Quelle hinein und verschwindet in den Dampfschwaden. Nach minutenlanger Suche glauben Sie schon fast, er habe sich in Luft aufgelöst. Ob Hasen wohl schwimmen können?'"
SS_JCHAN_C		"Plötzlich legt sich ein tropfnasser Arm um Ihren Hals und eine Klinge wird gegen Ihre Halsschlagader gepresst. 'Was tun Sie hier?', verlangt eine tiefe Stimme zu wissen. Sie bleiben ruhig und erklären in knappen Sätzen den Grund für Ihre Reise."
SS_JCHAN_D		"'Sie besitzen viel Ehre, scheinen aber eine unglückliche Vorliebe für Hasen zu haben', sagt der Mann. 'Ich werde Sie am Leben lassen und auf Ihrer Reise begleiten, aber nur unter der Bedingung, dass Sie schwören, keine Hasengerichte zu essen und keine Fragen zu stellen.' Da Sie ohnehin keine Wahl haben, schwören Sie, das Verlangte zu tun."
SS_JCHAN_E		"Der Kerl lässt Sie frei und stellt sich als J-chan vor - ein pudelnackter, kleiner, muskulöser Mann mit einer großen Knollennase, die ab und an merkwürdig zuckt. Nachdem er seine Kleider aus einem Baumstumpf geholt und sich angezogen hat, setzen Sie Ihre Reise gemeinsam fort. Hunderte von Fragen brennen Ihnen auf der Zunge, aber Sie verkneifen sie sich."

# Mimoyota and Star Road strings
SS_MIMIYOTA_A		"Mitten im Dschungel begegnen Sie einem alten, scheinbar verwirrten Mann. Auf Ihre Frage, ob er sich verlaufen habe, antwortet er: 'Wir alle sind auf einem Irrweg, junger Krieger, doch ich bin durchaus in der Lage, meinen Weg zu finden. Und Sie?' Statt einer Antwort bieten Sie ihm ein Reisbällchen an. Er nimmt es und beginnt sofort, es zu verschlingen."
SS_MIMIYOTA_B		"Als Sie sich abwenden, um fortzugehen, hält der alte Mann Sie mit überraschend festem Griff an der Schulter fest. 'Ich bin Shigero Mimoyota. Sie sehen in mir nichts weiter als einen alten Mann, doch auch ich war einst ein Samurai wie Sie. Ich verließ jedoch den Pfad der Klinge, als ich meine spirituellen Kräfte entdeckte.'"
SS_MIMIYOTA_C		"Sie entschuldigen sich für Ihre Voreingenommenheit, doch der alte Mann fällt Ihnen ungeniert ins Wort: 'Ich habe Sie beobachtet und wusste, dass Sie zu mir kommen würden. Ich bin der Wächter der Sternenstraße und kann Sie nach Shichinen zurückbringen. Doch zuerst müssen Sie etwas für mich tun.' 'Klar', denken Sie bei sich, 'irgendwo ist immer ein Haken.'"
SS_MIMIYOTA_D		"'Seit einiger Zeit', erzählt Mimiyota, 'hält ein mächtiger Dämon namens Reswob die Sternenstraße besetzt. Allein konnte ich trotz meiner magischen Kräfte nichts gegen ihn ausrichten, doch gemeinsam könnten wir es schaffen. Die Sternenstraße befindet auf einer Halbinsel östlich von hier. Lassen Sie uns aufbrechen.'"
SS_MIMIYOTA_HEAL	"Mimiyota vollzieht ein langes und für ihn offensichtlich anstrengendes Ritual, um einen Stein zu segnen, der daraufhin von einem seltsamen Schimmer umgeben ist. Erschöpft hält der alte Mann diesen Stein vor die Ihre Wunden und die Ihrer Gefährten und mit einem Mal sind alle geheilt!"
SS_STAR_ROAD_A		"Mimiyota macht eine Handbewegung und das Portal zur Sternenstraße öffnet sich. Als Sie eintreten, wird alles um Sie herum in graue und blaue Schattierungen getaucht. Sie bleiben allein in einer schwarzen Leere zurück, über Ihrem Kopf blitzen und blinken Sterne. Sie fühlen sich schwindelig und sehr, sehr klein und Sie spüren, dass Sie fallen."
SS_STAR_ROAD_B		"Sie fallen auf einen der Sterne hinab und scheinen sogar durch ihn hindurchzuschweben. Alles ist weiß. Sie schließen Ihre Augen und als Sie sie wieder öffnen, sehen Sie blauen Himmel und Vögel über sich: Sie haben die andere Seite erreicht. Mimiyota bemerkt anerkennend, dass Sie sich nicht in die Hose gemacht hätten."
SS_RESWOB			"Sie nähern sich dem Portal der Sternenstraße, aus dem plötzlich ein riesiges Monster hervortritt, das Ihnen den Weg versperrt. Nie zuvor haben Sie jemals ein Wesen wie dieses gesehen. Seine Haut schimmert wie Metall, seine Augen glühen wie Feuer und wenn es sich bewegt, ertönt ein schriller, pfeifender Ton. Das wird sicher kein einfacher Kampf werden ..."
SS_STAR_ROAD		"Das Portal der Sternenstraße befindet sich zwar hier, doch eine unsichtbare Barriere versperrt Ihnen den Weg."

# End game and Samurai Death strings
SS_SHICHINEN_GREETING	"Die Dorfbewohner von Shichinen heißen Sie enthusiastisch willkommen. Sie verbringen die bis zur Ankunft der Banditen verbleibende Zeit damit, Verteidigungsmaßnahmen für das Dorf zu ergreifen. Es ist bald so weit ..."
SS_SHICHINEN_RUINED_A	"Sie finden das Dorf verwüstet und verlassen vor und verfluchen sich selbst dafür, dass Sie es nicht rechtzeitig zurückgeschafft haben. Auf Ihrer Suche nach Überlebenden finden Sie eine verängstigte alte Frau. Sie erzählt Ihnen von dem Banditenüberfall. Einer der Dorfbewohner geprahlt, dass einige Samurai auf dem Weg wären, um das Dorf zu verteidigen."
SS_SHICHINEN_RUINED_B	"Erbost über die versuchte Gegenwehr der Dorfbewohner steckten die Banditen die Gebäude in Brand und nahmen die Dorfbewohner gefangen, um sie als Sklaven auf ihre Insel im Norden zu verschleppen."
SS_BANDIT_ATTACK	"Die Banditen sind an der Nordküste gelandet und auf dem Weg in das Dorf. Die Einheimischen wünschen Ihnen Glück und verbarrikadieren sich in ihren Häusern."
SS_SHICHINEN_FLEE	"Sie können fliehen, wenn Sie wollen, aber dann lassen Sie Shichinen in der Stunde der Not im Stich."
