PRONOUN_HIM_MALE_IND	"à lui"
JAMAICAN_PREPOSITION	"de la Pologne"
INCAN_ARTICLE		"le royaume inca"
INCAN_PREPOSITION	"du royaume inca"
MAYAN_ARTICLE		"le royaume maya"
MAYAN_PREPOSITION	"du royaume maya"
CANADIANS_ARTICLE	"le Canada"
CANADIANS_PREPOSITION	"du Canada"
NIGERIAN_ARTICLE	"le Nigeria"
NIGERIAN_PREPOSITION	"du Nigeria"
KOREAN_ARTICLE		"la Corée"
KOREAN_PREPOSITION	"de la Corée"
BRAZILIAN_ARTICLE	"le Brésil"
BRAZILIAN_PREPOSITION	"du Brésil"
AUSTRALIAN_ARTICLE	"l'Australie"
AUSTRALIAN_PREPOSITION	"de l'Australie"
MEXICAN_ARTICLE		"le Mexique"
MEXICAN_PREPOSITION	"du Mexique"
ETHIOPIAN_ARTICLE	"l'Ethiopie"
ETHIOPIAN_PREPOSITION	"de l'Ethiopie"
MONGOL_ARTICLE		"la Mongolie"
MONGOL_PREPOSITION	"de la Mongolie"
NICARAGUAN_ARTICLE	"le Nicaragua"
NICARAGUAN_PREPOSITION	"du Nicaragua"
AZTEC_ARTICLE		"l'empire Aztèque"
AZTEC_PREPOSITION	"de l'empire Aztèque"
NUBIAN_ARTICLE		"la Nubie"
NUBIAN_PREPOSITION	"de la Nubie"
ARABIAN_ARTICLE		"l'Arabie"
ARABIAN_PREPOSITION	"de l'Arabie"
CARTHAGINIAN_ARTICLE	"l'empire Carthaginois"
CARTHAGINIAN_PREPOSITION	"de l'empire Carthaginois"
BABYLONIAN_ARTICLE	"la Mésopotamie"
BABYLONIAN_PREPOSITION	"de la Mésopotamie"
BYZANTINE_ARTICLE	"l'empire Byzantin"
BYZANTINE_PREPOSITION	"de l'empire Byzantin"
AUSTRIAN_ARTICLE	"l'Autriche"
AUSTRIAN_PREPOSITION	"de l'Autriche"
SWEDISH_ARTICLE		"la Suède"
SWEDISH_PREPOSITION	"de la Suède"
CELTIC_ARTICLE		"l'empire Celte"
CELTIC_PREPOSITION	"de l'empire Celte"
ITALIAN_ARTICLE		"l'Italie"
ITALIAN_PREPOSITION	"de l'Italie"
BANTU_ARTICLE		"la nation Bantou"
BANTU_PREPOSITION	"de la nation Bantou"
SLAVIC_ARTICLE		"la nation Slave"
SLAVIC_PREPOSITION	"de la nation Slave"
MINOAN_ARTICLE		"la Crète"
MINOAN_PREPOSITION	"de la Crète"
HARAPPAN_ARTICLE	"l'Indus"
HARAPPAN_PREPOSITION	"de l'Indus"
HITTITE_ARTICLE		"l'empire Hittite"
HITTITE_PREPOSITION	"de l'empire Hittite"
SHANG_ARTICLE		"l'empire Shang"
SHANG_PREPOSITION	"de l'empire Shang"
ETRUSCAN_ARTICLE	"l'Etrurie"
ETRUSCAN_PREPOSITION	"de l'Etrurie"
ABORIGINE_ARTICLE	"la nation Aborigène"
ABORIGINE_PREPOSITION	"de la nation Aborigène"
ARGENTINIAN_ARTICLE	"l'Argentine"
ARGENTINIAN_PREPOSITION	"de l'Argentine"
KHMER_ARTICLE		"le Kampuchea"
KHMER_PREPOSITION	"du Kampuchea"
MALIAN_ARTICLE		"le Mali"
MALIAN_PREPOSITION	"du Mali"

ADVANCE_TOOLMAKING_ARTICLE			"la fabrication d'outils"
ADVANCE_TOOLMAKING_PREPOSITION			"de la fabrication d'outils"
ADVANCE_AGRICULTURE_ARTICLE			"l'agriculture"
ADVANCE_AGRICULTURE_PREPOSITION			"de l'agriculture"
ADVANCE_STONE_WORKING_ARTICLE			"le travail de la pierre"
ADVANCE_STONE_WORKING_PREPOSITION		"du travail de la pierre"
ADVANCE_RELIGION_ARTICLE			"la religion"
ADVANCE_RELIGION_PREPOSITION			"de la religion"
ADVANCE_WRITING_ARTICLE				"l'écriture"
ADVANCE_WRITING_PREPOSITION			"de l'écriture"
ADVANCE_SHIP_BUILDING_ARTICLE			"la construction navale"
ADVANCE_SHIP_BUILDING_PREPOSITION		"de la construction navale"
ADVANCE_BRONZE_WORKING_ARTICLE			"le travail du bronze"
ADVANCE_BRONZE_WORKING_PREPOSITION		"du travail du bronze"
ADVANCE_JURISPRUDENCE_ARTICLE			"la jurisprudence"
ADVANCE_JURISPRUDENCE_PREPOSITION		"de la jurisprudence"
ADVANCE_BALLISTICS_ARTICLE			"la balistique"
ADVANCE_BALLISTICS_PREPOSITION			"de la balistique"
ADVANCE_SLAVE_LABOR_ARTICLE			"l'esclavage"
ADVANCE_SLAVE_LABOR_PREPOSITION			"de l'esclavage"
ADVANCE_MASONRY_ARTICLE				"la maçonnerie"
ADVANCE_MASONRY_PREPOSITION			"de la maçonnerie"
ADVANCE_DRAMA_ARTICLE				"le théâtre"
ADVANCE_DRAMA_PREPOSITION			"du théâtre"
ADVANCE_TRADE_ARTICLE				"le commerce"
ADVANCE_TRADE_PREPOSITION			"du commerce"
ADVANCE_IRON_WORKING_ARTICLE			"le travail du fer"
ADVANCE_IRON_WORKING_PREPOSITION		"du travail du fer"
ADVANCE_HORSE_RIDING_ARTICLE			"l'équitation"
ADVANCE_HORSE_RIDING_PREPOSITION		"de l'équitation"
ADVANCE_PHILOSOPHY_ARTICLE			"la philosophie"
ADVANCE_PHILOSOPHY_PREPOSITION			"de la philosophie"
ADVANCE_MONARCHY_ARTICLE			"la monarchie"
ADVANCE_MONARCHY_PREPOSITION			"de la monarchie"
ADVANCE_CONCRETE_ARTICLE			"le béton"
ADVANCE_CONCRETE_PREPOSITION			"du béton"
ADVANCE_ALCHEMY_ARTICLE				"l'alchimie"
ADVANCE_ALCHEMY_PREPOSITION			"de l'alchimie"
ADVANCE_FEUDALISM_ARTICLE			"le féodalisme"
ADVANCE_FEUDALISM_PREPOSITION			"du féodalisme"
ADVANCE_GEOMETRY_ARTICLE			"la géométrie"
ADVANCE_GEOMETRY_PREPOSITION			"de la géométrie"
ADVANCE_HULL_MAKING_ARTICLE			"la fabrication de coques"
ADVANCE_HULL_MAKING_PREPOSITION			"de la fabrication de coques"
ADVANCE_BUREAUCRACY_ARTICLE			"la bureaucratie"
ADVANCE_BUREAUCRACY_PREPOSITION			"de la bureaucratie"
ADVANCE_AGRICULTURAL_REVOLUTION_ARTICLE		"la révolution agricole "
ADVANCE_AGRICULTURAL_REVOLUTION_PREPOSITION	"de la révolution agricole "
ADVANCE_THEOLOGY_ARTICLE			"la théologie"
ADVANCE_THEOLOGY_PREPOSITION			"de la théologie"
ADVANCE_CLASSICAL_EDUCATION_ARTICLE		"l'éducation classique"
ADVANCE_CLASSICAL_EDUCATION_PREPOSITION		"de l'éducation classique"
ADVANCE_BANKING_ARTICLE				"les opérations bancaires"
ADVANCE_BANKING_PREPOSITION			"des opérations bancaires"
ADVANCE_OCEAN_FARING_ARTICLE			"l'exploration maritime"
ADVANCE_OCEAN_FARING_PREPOSITION		"de l'exploration maritime"
ADVANCE_PRINTING_PRESS_ARTICLE			"l'imprimerie"
ADVANCE_PRINTING_PRESS_PREPOSITION		"de l'imprimerie"
ADVANCE_GUNPOWDER_ARTICLE			"la poudre à canon"
ADVANCE_GUNPOWDER_PREPOSITION			"de la poudre à canon"
ADVANCE_CAVALRY_TACTICS_ARTICLE			"les tactiques de cavalerie"
ADVANCE_CAVALRY_TACTICS_PREPOSITION		"des tactiques de cavalerie"
ADVANCE_OPTICS_ARTICLE				"l'optique"
ADVANCE_OPTICS_PREPOSITION			"de l'optique"
ADVANCE_FASCISM_ARTICLE				"le fascisme"
ADVANCE_FASCISM_PREPOSITION			"du fascisme"
ADVANCE_CANNON_MAKING_ARTICLE			"la fabrication de canons"
ADVANCE_CANNON_MAKING_PREPOSITION		"de la fabrication de canons"
ADVANCE_CHEMISTRY_ARTICLE			"la chimie"
ADVANCE_CHEMISTRY_PREPOSITION			"de la chimie"
ADVANCE_AGE_OF_REASON_ARTICLE			"l'âge de raison"
ADVANCE_AGE_OF_REASON_PREPOSITION		"de l'âge de raison"
ADVANCE_NAVAL_TACTICS_ARTICLE			"les tactiques navales"
ADVANCE_NAVAL_TACTICS_PREPOSITION		"des tactiques navales"
ADVANCE_PHYSICS_ARTICLE				"la physique"
ADVANCE_PHYSICS_PREPOSITION			"de la physique"
ADVANCE_DEMOCRACY_ARTICLE			"la démocratie"
ADVANCE_DEMOCRACY_PREPOSITION			"de la démocratie"
ADVANCE_NATIONALISM_ARTICLE			"le nationalisme"
ADVANCE_NATIONALISM_PREPOSITION			"du nationalisme"
ADVANCE_MODERN_METALLURGY_ARTICLE		"la métallurgie moderne"
ADVANCE_MODERN_METALLURGY_PREPOSITION		"de la métallurgie moderne"
ADVANCE_ECONOMICS_ARTICLE			"l'économie"
ADVANCE_ECONOMICS_PREPOSITION			"de l'économie"
ADVANCE_RAILROAD_ARTICLE			"les chemins de fer"
ADVANCE_RAILROAD_PREPOSITION			"des chemins de fer"
ADVANCE_INDUSTRIAL_REVOLUTION_ARTICLE		"la révolution industrielle"
ADVANCE_INDUSTRIAL_REVOLUTION_PREPOSITION	"de la révolution industrielle"
ADVANCE_COMMUNISM_ARTICLE			"le communisme"
ADVANCE_COMMUNISM_PREPOSITION			"du communisme"
ADVANCE_EXPLOSIVES_ARTICLE			"les explosifs"
ADVANCE_EXPLOSIVES_PREPOSITION			"des explosifs"
ADVANCE_OIL_REFINING_ARTICLE			"le raffinage du pétrole"
ADVANCE_OIL_REFINING_PREPOSITION		"du raffinage du pétrole"
ADVANCE_ELECTRICITY_ARTICLE			"l'électricité"
ADVANCE_ELECTRICITY_PREPOSITION			"de l'électricité"
ADVANCE_PHARMACEUTICALS_ARTICLE			"l'industrie pharmaceutique"
ADVANCE_PHARMACEUTICALS_PREPOSITION		"de l'industrie pharmaceutique"
ADVANCE_INTERNAL_COMBUSTION_ARTICLE		"la combustion interne"
ADVANCE_INTERNAL_COMBUSTION_PREPOSITION		"de la combustion interne"
ADVANCE_MASS_PRODUCTION_ARTICLE			"la production de masse"
ADVANCE_MASS_PRODUCTION_PREPOSITION		"de la production de masse"
ADVANCE_MASS_MEDIA_ARTICLE			"les médias"
ADVANCE_MASS_MEDIA_PREPOSITION			"des médias"
ADVANCE_ADV_NAVAL_TACTICS_ARTICLE		"les tactiques navales avancées"
ADVANCE_ADV_NAVAL_TACTICS_PREPOSITION		"des tactiques navales avancées"
ADVANCE_AERODYNAMICS_ARTICLE			"l'aérodynamique"
ADVANCE_AERODYNAMICS_PREPOSITION		"de l'aérodynamique"
ADVANCE_CORPORATION_ARTICLE			"le consortium"
ADVANCE_CORPORATION_PREPOSITION			"du consortium"
ADVANCE_CRIMINAL_CODE_ARTICLE			"le code pénal"
ADVANCE_CRIMINAL_CODE_PREPOSITION		"du code pénal"
ADVANCE_JET_PROPULSION_ARTICLE			"la propulsion à réaction"
ADVANCE_JET_PROPULSION_PREPOSITION		"de la propulsion à réaction"
ADVANCE_TANK_WARFARE_ARTICLE			"la guerre des blindés"
ADVANCE_TANK_WARFARE_PREPOSITION		"de la guerre des blindés"
ADVANCE_MEDICINE_ARTICLE			"la médecine moderne"
ADVANCE_MEDICINE_PREPOSITION			"de la médecine moderne"
ADVANCE_VERTICAL_FLIGHT_AIRCRAFT_ARTICLE	"l'avion à décollage vertical"
ADVANCE_VERTICAL_FLIGHT_AIRCRAFT_PREPOSITION	"de l'avion à décollage vertical"
ADVANCE_NAVAL_AVIATION_ARTICLE			"l'aviation navale"
ADVANCE_NAVAL_AVIATION_PREPOSITION		"de l'aviation navale"
ADVANCE_RADAR_ARTICLE				"le radar"
ADVANCE_RADAR_PREPOSITION			"du radar"
ADVANCE_QUANTUM_MECHANICS_ARTICLE		"la physique quantique"
ADVANCE_QUANTUM_MECHANICS_PREPOSITION		"de la physique quantique"
ADVANCE_CORPORATE_REPUBLIC_ARTICLE		"la république corporatiste"
ADVANCE_CORPORATE_REPUBLIC_PREPOSITION		"de la république corporatiste"
ADVANCE_GLOBAL_ECONOMICS_ARTICLE		"l'économie mondiale"
ADVANCE_GLOBAL_ECONOMICS_PREPOSITION		"de l'économie mondiale"
ADVANCE_COMPUTER_ARTICLE			"l'informatique"
ADVANCE_COMPUTER_PREPOSITION			"de l'informatique"
ADVANCE_MASS_TRANSIT_ARTICLE			"le transport de masse"
ADVANCE_MASS_TRANSIT_PREPOSITION		"du transport de masse"
ADVANCE_ADV_INFANTRY_TACTICS_ARTICLE		"les tactiques d'infanterie avancées"
ADVANCE_ADV_INFANTRY_TACTICS_PREPOSITION	"des tactiques d'infanterie avancées"
ADVANCE_ADV_URBAN_PLANNING_ARTICLE		"l'urbanisme avancé"
ADVANCE_ADV_URBAN_PLANNING_PREPOSITION		"de l'urbanisme avancé"
ADVANCE_SUPERSONIC_FLIGHT_ARTICLE		"le vol supersonique"
ADVANCE_SUPERSONIC_FLIGHT_PREPOSITION		"du vol supersonique"
ADVANCE_CONSERVATION_ARTICLE			"l'écologie"
ADVANCE_CONSERVATION_PREPOSITION		"de l'écologie"
ADVANCE_GUIDED_WEAPON_SYSTEMS_ARTICLE		"les armes téléguidées"
ADVANCE_GUIDED_WEAPON_SYSTEMS_PREPOSITION	"des armes téléguidées"
ADVANCE_GLOBAL_DEFENSE_ARTICLE			"la défense mondiale"
ADVANCE_GLOBAL_DEFENSE_PREPOSITION		"de la défense mondiale"
ADVANCE_NUCLEAR_POWER_ARTICLE			"la puissance nucléaire"
ADVANCE_NUCLEAR_POWER_PREPOSITION		"de la puissance nucléaire"
ADVANCE_FUEL_CELLS_ARTICLE			"les cellules de carburant"
ADVANCE_FUEL_CELLS_PREPOSITION			"des cellules de carburant"
ADVANCE_ADVANCED_COMPOSITES_ARTICLE		"les matériaux composites avancés"
ADVANCE_ADVANCED_COMPOSITES_PREPOSITION		"des matériaux composites avancés"
ADVANCE_GLOBAL_COMMUNICATIONS_ARTICLE		"les communications mondiales"
ADVANCE_GLOBAL_COMMUNICATIONS_PREPOSITION	"des communications mondiales"
ADVANCE_ARCOLOGIES_ARTICLE			"les arcologies"
ADVANCE_ARCOLOGIES_PREPOSITION			"des arcologies"
ADVANCE_LIQUID_BREATHING_APPARATUS_ARTICLE	"la respiration amphibie"
ADVANCE_LIQUID_BREATHING_APPARATUS_PREPOSITION	"de la respiration amphibie"
ADVANCE_SPACE_FLIGHT_ARTICLE			"le vol spatial"
ADVANCE_SPACE_FLIGHT_PREPOSITION		"du vol spatial"
ADVANCE_HT_SUPERCONDUCTOR_ARTICLE		"les supraconducteurs"
ADVANCE_HT_SUPERCONDUCTOR_PREPOSITION		"des supraconducteurs"
ADVANCE_ROBOTICS_ARTICLE			"la robotique"
ADVANCE_ROBOTICS_PREPOSITION			"de la robotique"
ADVANCE_AI_SURVEILLANCE_ARTICLE			"la surveillance informatique"
ADVANCE_AI_SURVEILLANCE_PREPOSITION		"de la surveillance informatique"
ADVANCE_GENETICS_ARTICLE			"la génétique"
ADVANCE_GENETICS_PREPOSITION			"de la génétique"
ADVANCE_TECHNOCRACY_ARTICLE			"la technocratie"
ADVANCE_TECHNOCRACY_PREPOSITION			"de la technocratie"
ADVANCE_DIGITAL_ENCRYPTION_ARTICLE		"le codage numérique"
ADVANCE_DIGITAL_ENCRYPTION_PREPOSITION		"du codage numérique"
ADVANCE_SUBNEURAL_ADS_ARTICLE			"le message subliminal"
ADVANCE_SUBNEURAL_ADS_PREPOSITION		"du message subliminal"
ADVANCE_CHAOS_THEORY_ARTICLE			"la théorie du chaos"
ADVANCE_CHAOS_THEORY_PREPOSITION		"de la théorie du chaos"
ADVANCE_NEURAL_INTERFACE_ARTICLE		"l'interface neurale"
ADVANCE_NEURAL_INTERFACE_PREPOSITION		"de l'interface neurale"
ADVANCE_NANO_ASSEMBLY_ARTICLE			"le nano-montage"
ADVANCE_NANO_ASSEMBLY_PREPOSITION		"du nano-montage"
ADVANCE_EUGENICS_ARTICLE			"la thérapie génique"
ADVANCE_EUGENICS_PREPOSITION			"de la thérapie génique"
ADVANCE_UNIFIED_PHYSICS_ARTICLE			"la physique unifiée"
ADVANCE_UNIFIED_PHYSICS_PREPOSITION		"de la physique unifiée"
ADVANCE_NANO_MACHINES_ARTICLE			"les nano-machines"
ADVANCE_NANO_MACHINES_PREPOSITION		"des nano-machines"
ADVANCE_HUMAN_CLONING_ARTICLE			"le clonage humain"
ADVANCE_HUMAN_CLONING_PREPOSITION		"du clonage humain"
ADVANCE_FUSION_ARTICLE				"la fusion"
ADVANCE_FUSION_PREPOSITION			"de la fusion"
ADVANCE_ULTRAPRESSURE_MACHINERY_ARTICLE		"les machines à ultrapression"
ADVANCE_ULTRAPRESSURE_MACHINERY_PREPOSITION	"des machines à ultrapression"
ADVANCE_CYBERNETICS_ARTICLE			"la cybernétique"
ADVANCE_CYBERNETICS_PREPOSITION			"de la cybernétique"
ADVANCE_NEURAL_REPROGRAMMING_ARTICLE		"la reprogrammation neurale"
ADVANCE_NEURAL_REPROGRAMMING_PREPOSITION	"de la reprogrammation neurale"
ADVANCE_PLASMA_WEAPONRY_ARTICLE			"les armes à plasma"
ADVANCE_PLASMA_WEAPONRY_PREPOSITION		"des armes à plasma"
ADVANCE_VIRTUAL_DEMOCRACY_ARTICLE		"la démocratie virtuelle"
ADVANCE_VIRTUAL_DEMOCRACY_PREPOSITION		"de la démocratie virtuelle"
ADVANCE_GENETIC_TAILORING_ARTICLE		"le génie génétique"
ADVANCE_GENETIC_TAILORING_PREPOSITION		"du génie génétique"
ADVANCE_NANO_WARFARE_ARTICLE			"la guerre nano-technologique"
ADVANCE_NANO_WARFARE_PREPOSITION		"de la guerre nano-technologique"
ADVANCE_ECOTOPIA_ARTICLE			"l'écotopie"
ADVANCE_ECOTOPIA_PREPOSITION			"de l'écotopie"
ADVANCE_GAIA_THEORY_ARTICLE			"la théorie de Gaia"
ADVANCE_GAIA_THEORY_PREPOSITION			"de la théorie de Gaia"
ADVANCE_LIFE_EXTENSION_ARTICLE			"la prolongation de la vie"
ADVANCE_LIFE_EXTENSION_PREPOSITION		"de la prolongation de la vie"
ADVANCE_SMART_MATERIALS_ARTICLE			"les matériaux intelligents"
ADVANCE_SMART_MATERIALS_PREPOSITION		"des matériaux intelligents"
ADVANCE_GAIA_CONTROLLER_ARTICLE			"le contrôleur de Gaia"
ADVANCE_GAIA_CONTROLLER_PREPOSITION		"du contrôleur de Gaia"

TERRAIN_ARCTIC_MOUNTAIN_GOOD_ONE_ARTICLE	"les rubis"
TERRAIN_ARTIC_MOUNTAIN_GOOD_TWO_ARTICLE		"les diamants"
TERRAIN_MOUNTAIN_GOOD_ONE_ARTICLE		"le thé"
TERRAIN_MOUNTAIN_GOOD_TWO_ARTICLE		"les émeraudes"
TERRAIN_DESERT_GOOD_TWO_ARTICLE			"le verre"
TERRAIN_DESERT_GOOD_ONE_ARTICLE			"le pétrole"
TERRAIN_FOREST_GOOD_ONE_ARTICLE			"le bois dur"
TERRAIN_FOREST_GOOD_TWO_ARTICLE			"les ours"
#TERRAIN_GLACIER_GOOD_ONE_ARTICLE		"les morses"
TERRAIN_GRASSLAND_GOOD_ONE_ARTICLE		"le coton/lin"
TERRAIN_GRASSLAND_GOOD_TWO_ARTICLE		"le tabac"
TERRAIN_HILL_GOOD_ONE_ARTICLE			"le café"
TERRAIN_HILL_GOOD_TWO_ARTICLE			"le raisin"
TERRAIN_JUNGLE_GOOD_ONE_ARTICLE			"les herbes médicinales"
TERRAIN_JUNGLE_GOOD_TWO_ARTICLE			"le jade"
TERRAIN_PLAINS_GOOD_ONE_ARTICLE			"les épices"
TERRAIN_PLAINS_GOOD_TWO_ARTICLE			"les éléphants"
TERRAIN_SWAMP_GOOD_ONE_ARTICLE			"les alligators"
TERRAIN_TUNDRA_GOOD_ONE_ARTICLE			"les caribous"
TERRAIN_WATER_SHALLOW_GOOD_ONE_ARTICLE		"les crabes"
TERRAIN_WATER_SHALLOW_GOOD_TWO_ARTICLE		"les perles"
TERRAIN_WATER_DEEP_GOOD_ONE_ARTICLE		"les baleines"
TERRAIN_WATER_DEEP_GOOD_TWO_ARTICLE		"les calmars géants"
#TERRAIN_WATER_BEACH_GOOD_ONE_ARTICLE		"les crabes"
#TERRAIN_WATER_BEACH_GOOD_TWO_ARTICLE		"les perles"
#TERRAIN_WATER_SHELF_GOOD_ONE_ARTICLE		"les crabes"
#TERRAIN_WATER_SHELF_GOOD_TWO_ARTICLE		"les perles"
TERRAIN_DUMMY_GOOD_ARTICLE			"les babioles"

TERRAIN_ARCTIC_MOUNTAIN_GOOD_ONE_SOME		"des rubis"
TERRAIN_ARTIC_MOUNTAIN_GOOD_TWO_SOME		"des diamants"
TERRAIN_MOUNTAIN_GOOD_ONE_SOME			"du thé"
TERRAIN_MOUNTAIN_GOOD_TWO_SOME			"des émeraudes"
TERRAIN_DESERT_GOOD_TWO_SOME			"du verre"
TERRAIN_DESERT_GOOD_ONE_SOME			"du pétrole"
TERRAIN_FOREST_GOOD_ONE_SOME			"du bois dur"
TERRAIN_FOREST_GOOD_TWO_SOME			"des ours"
#TERRAIN_GLACIER_GOOD_ONE_SOME			"des morses"
TERRAIN_GRASSLAND_GOOD_ONE_SOME			"du coton/lin"
TERRAIN_GRASSLAND_GOOD_TWO_SOME			"du tabac"
TERRAIN_HILL_GOOD_ONE_SOME			"du café"
TERRAIN_HILL_GOOD_TWO_SOME			"du raisin"
TERRAIN_JUNGLE_GOOD_ONE_SOME			"des herbes médicinales"
TERRAIN_JUNGLE_GOOD_TWO_SOME			"du jade"
TERRAIN_PLAINS_GOOD_ONE_SOME			"des épices"
TERRAIN_PLAINS_GOOD_TWO_SOME			"des éléphants"
TERRAIN_SWAMP_GOOD_ONE_SOME			"des alligators"
TERRAIN_TUNDRA_GOOD_ONE_SOME			"des caribous"
TERRAIN_WATER_SHALLOW_GOOD_ONE_SOME		"des crabes"
TERRAIN_WATER_SHALLOW_GOOD_TWO_SOME		"des perles"
TERRAIN_WATER_DEEP_GOOD_ONE_SOME		"des baleines"
TERRAIN_WATER_DEEP_GOOD_TWO_SOME		"des calmars géants"
#TERRAIN_WATER_BEACH_GOOD_ONE_SOME		"des crabes"
#TERRAIN_WATER_BEACH_GOOD_TWO_SOME		"des perles"
#TERRAIN_WATER_SHELF_GOOD_ONE_SOME		"des crabes"
#TERRAIN_WATER_SHELF_GOOD_TWO_SOME		"des perles"
TERRAIN_DUMMY_GOOD_SOME				"des babioles"

GOVERNMENT_ANARCHY_ARTICLE			"l'anarchie"
GOVERNMENT_TYRANNY_ARTICLE			"la tyrannie"
GOVERNMENT_MONARCHY_ARTICLE			"la monarchie"
GOVERNMENT_THEOCRACY_ARTICLE			"la théocratie"
GOVERNMENT_COMMUNISM_ARTICLE			"le communisme"
GOVERNMENT_FASCISM_ARTICLE			"le fascisme"
GOVERNMENT_REPUBLIC_ARTICLE			"la république"
GOVERNMENT_DEMOCRACY_ARTICLE			"la démocratie"
GOVERNMENT_CORPORATE_REPUBLIC_ARTICLE		"la république corporatiste"
GOVERNMENT_ECOTOPIA_ARTICLE			"l'écotopie"
GOVERNMENT_TECHNOCRACY_ARTICLE			"la technocratie"
GOVERNMENT_VIRTUAL_DEMOCRACY_ARTICLE		"la démocratie virtuelle"

#### WONDER STRINGS ####
WONDER_PYRAMIDS_PREPOSITION			"des pyramides"
WONDER_RAMAYANA_PREPOSITION			"du Ramayana"
WONDER_GREAT_WALL_PREPOSITION			"de la Grande Muraille"
WONDER_THE_APPIAN_WAY_PREPOSITION		"de la Via Appia"
WONDER_CHICHEN_ITZA_PREPOSITION			"de Chichen Itza"
WONDER_CENTRAL_MATTER_DECOMPILER_PREPOSITION	"du dématérialisateur central"
WONDER_THE_FORBIDDEN_CITY_PREPOSITION		"de la Cité interdite"
WONDER_ARISTOTLES_LYCEUM_PREPOSITION		"du lycée d'Aristote"
WONDER_HAGIA_SOPHIA_PREPOSITION			"de la Hagia Sophia"
WONDER_GUTTENBERGS_BIBLE_PREPOSITION		"de la bible de Gutenberg"
WONDER_EAST_INDIA_COMPANY_PREPOSITION		"de la Compagnie des Indes"
WONDER_GALILEOS_TELESCOPE_PREPOSITION		"du télescope de Galilée"
WONDER_EMANCIPATION_PROCLAMATION_PREPOSITION	"de l'affranchissement"
WONDER_PENICILLIN_PREPOSITION			"de la pénicilline"
WONDER_LONDON_EXCHANGE_PREPOSITION		"de la bourse de Londres"
WONDER_EMPIRE_STATE_BUILDING_PREPOSITION	"de l'Empire State Building"
WONDER_HOLLYWOOD_PREPOSITION			"de Hollywood"
