#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : CTP2 tutorial strings (French)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the CTP2 tutorial strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - None
#
#----------------------------------------------------------------------------

T_BUTTON_OK			"OK"
T_BUILT_CITY_WHAT_NOW		"Cliquez d'abord sur le bouton Gestionnaire de ville du dessous pour obtenir des informations sur votre ville. Cliquez ensuite sur <c:0,50,255>Construire<e> dans le Gestionnaire de ville pour lancer la production dans la ville."
T_OPENED_CITY_MGMT		"Vous avez réussi à ouvrir le Gestionnaire de ville ! Cliquez sur le bouton <c:0,0,200>Construire<e> pour lancer la construction de nouveaux aménagements, unités ou merveilles. Pensez à construire un <c:0,0,200>guerrier<e>. C'est l'unité idéale pour explorer les régions environnantes."
T_MOVE_UNIT1			"L'unité {FIRST_UNIT.name} est dans la ville de {city[0].name}. Lorsque vous la sélectionnez, une réticule <c:50,200,50>verte<e> apparaît autour de la ville.\nVous pouvez la déplacer en tirant le pointeur sur la case de destination ou si vous préférez qu'elle défende votre ville, vous pouvez la 'fortifier' à l'intérieur de la ville en appuyant sur la touche 'f'."
T_MOVE_UNIT2			"L'unité {FIRST_UNIT.name} est maintenant sélectionnée. Vous pouvez la déplacer en glissant-tirant l'unité jusqu'à la case de destination. L'unité suivra la trajectoire indiquée jusqu'à l'endroit désiré." 
T_RESELECT_UNIT			"L'unité {FIRST_UNIT.name} a été désélectionnée. Avant de pouvoir la déplacer, vous devez la sélectionner. Cliquez sur l'unité pour la sélectionner."
T_BUILT_CITY_WALL		"{city[0].name} a achevé la construction de remparts. Ceux-ci ajoutent un bonus de défense aux unités fortifiées dans la ville de <c:0,0,200>{city[0].name}<e>."
T_BUILT_GRANARY			"La construction du grenier est terminée. Maintenant que <c:0,0,200>{city[0].name}<e> possède un grenier, ses citoyens vont pouvoir stocker de la nourriture et la ville va se mettre à croître."
T_BUILT_TEMPLE			"La construction des lieux saints est terminée. Ceux-ci apportent aux habitants de <c:0,0,200>{city[0].name}<e> un bonus de bonheur de {BuildingDB(IMPROVE_SHRINE).HappyInc}."
T_BUILT_MARKETPLACE		"{city[0].name} a achevé la construction du bazar. Cet aménagement accroît le volume d'or de <c:0,0,200>{city[0].name}<e> de {BuildingDB(IMPROVE_BAZAAR).CommercePercent} %."
T_KEEP_MOVING			"Continuez à explorer le territoire avec l'unité {FIRST_UNIT.name}. Nous vous conseillons néanmoins de placer au moins une unité défensive dans chaque ville : l'ennemi peut surgir de partout !"
T_BUILD_MORE_UNITS		"Vous devriez construire davantage d'unités, tant pour défendre vos villes que pour explorer le monde."
T_FIRST_CONTACT			"Les {player[1].civ_name_plural} et les {player[0].civ_name_plural} viennent de se rencontrer pour la première fois. Pour établir des relations diplomatiques entre eux, cliquez sur le Gestionnaire de diplomatie."
T_CONFIRM_EARLY_DISBAND		"Vous êtes sur le point de démanteler une unité armée. Avant, vous voudrez peut-être construire d'autres unités pour remplacer celles que vous envisagez de démanteler."
T_FORTIFY_OTHER			"L'unité {unit[0].name} défend la ville. Bien que vous puissiez fortifier vos unités partout, celles-ci sont plus efficaces lorsqu'elles le sont dans des lieux clos, comme les fortifications ou les villes."
T_FORTIFY_IN_CITIES		"Il est conseillé de garder au moins une unité défensive fortifiée dans chacune de vos villes. Sélectionnez une unité, puis appuyez sur la touche 'f' pour la fortifier."
T_FORTIFIED_UNIT_IN_CITY	"L'unité {unit[0].name}, fortifiée sur une case de ville, défend la ville correspondante."
T_PW_TOO_HIGH			"Votre impôt de travaux publics est actuellement très élevé. Ceci explique que les constructions soient très lentes Vous pourriez peut-être le fixer à 20 % environ."
T_KEEP_HITTING_END		"Si vous voulez devenir le maître du monde, vous allez devoir explorer le territoire et étendre votre empire. Les guerriers vous aideront à trouver d'autres endroits où construire des villes."
T_KEEP_EXPLORING		"La construction du premier objet va prendre plusieurs tours. Pour voir où en est la construction, sélectionnez la ville sur la carte, puis cliquez sur l'onglet Ville. Cliquez sur le bouton <c:0,50,255>Fin de tour<e> ou appuyez sur la touche <c:0,0,200>'Entrée'<e> pour continuer."
T_SETTLER_WARNING		"Pour fonder une ville, les colons emportent toujours avec eux une partie de la population de leur ville d'origine. Peut-être serait-il bon d'attendre un peu que votre ville soit plus grande avant d'y construire une unité type colon."
T_SHOW_CHECK_QUEUE		"check_queue = {check_queue}"
T_SHOW_TERRAIN_SCORE		"Terrain Score = {RADIUS_SCORE}"
T_RADIUS_RUNDOWN		"DIR0: {TILE_SCORE[0]}, DIR1: {TILE_SCORE[1]}, DIR2: {TILE_SCORE[2]}, DIR3: {TILE_SCORE[3]}, DIR4: {TILE_SCORE[4]}, DIR5: {TILE_SCORE[5]}, DIR6: {TILE_SCORE[6]}, DIR7: {TILE_SCORE[7]}, DIR8: {TILE_SCORE[8]} <c:255,0,50>TERRAIN_SCORE = {RADIUS_SCORE}<e>"
T_CHECK_LEVELS			"WagesExp:{WAGES_EXP} WkdyExp:{WORKDAY_EXP} RatExp:{RATIONS_EXP}\n\nWagesLev:{WAGES_LEVEL}  WkdyLev:{WORKDAY_LEVEL}  RatLev:{RATIONS_LEVEL}"
T_CHECK_LEVELS1			"Vous ne répondez pas aux attentes de votre peuple en matière de salaires, de durée de la journée de travail, ni de rations de nourriture. Le mécontentement grandit et à moins que vous ne preniez des mesures, vos villes risquent de se soulever !\nLes attentes de vos citoyens varient selon le type de gouvernement."
T_CHECK_LEVELS2			"Vous ne répondez pas aux attentes de votre peuple en matière de durée de la journée de travail, ni de rations de nourriture. Le mécontentement grandit et vos villes risquent de se soulever !"
T_CHECK_LEVELS3			"Vous ne répondez pas aux attentes de votre peuple en matière de salaires, ni de rations de nourriture. Le mécontentement grandit et vos villes risquent de se soulever !"
T_CHECK_LEVELS4			"Vous ne répondez pas aux attentes de votre peuple en matière de durée de la journée de travail, ni de salaires. Le mécontentement grandit et vos villes risquent de se soulever !"
T_GOOD_SPOT			"C'est un bon endroit pour construire une ville. Les terres fourniront de la nourriture en abondance de façon à favoriser la croissance, ainsi que toutes les matières premières nécessaires à la production. Lorsque vous aurez fini de déplacer vos autres colons, cliquez sur le bouton <c:0,50,255>Fin de tour<e> ou appuyez sur <c:0,0,200>'Entrée'<e>. Au prochain tour, sélectionnez votre colon et appuyez sur <c:0,0,200>'b'<e> pour construire une ville."
T_MOVE_MORE			"Cette zone ne fournit pas suffisamment de nourriture pour assurer la croissance d'une ville. Les prairies, les plaines et les endroits situés à proximité d'une source d'eau, en revanche, conviennent parfaitement. Lorsque vous aurez fini de déplacer vos colons, cliquez sur le bouton <c:0,50,255>Fin de tour<e> en bas à droite de l'écran."
T_BUILD_A_DAMN_CITY		"Votre colon désire fonder une ville ! Sélectionnez-le et appuyez sur la touche <c:0,50,255>'b'<e>."
T_START_OVER			"Faute de villes, votre empire risque de s'effondrer. D'autres empires se sont créés un peu partout et commencent à explorer le monde. Vous devriez peut-être recommencer une nouvelle partie de façon à édifier votre empire plus rapidement."
T_BUILD_QUEUE_EMPTY		"La ville de {city[0].name} ne construit rien pour le moment. Double-cliquez sur {city[0].name} pour ouvrir le <c:0,50,255>Gestionnaire de ville<e> ou bien cliquez sur le bouton Gestionnaire de ville."
T_CITIES_NOT_BUILDING		"Plusieurs villes de votre empire sont inactives. Pour leur donner l'ordre de construire un objet, vous pouvez ouvrir le Gestionnaire de construction en sélectionnant une ville et en cliquant sur <c:0,50,255>Liste d'attente de construction<e>."
T_PICK_NEW_ADVANCE		"Félicitations ! Votre empire a accompli son premier progrès scientifique en découvrant <c:0,50,255>{advance[0].name#ARTICLE}<e>. Choisissez un nouveau progrès sur lequel mener des recherches."
T_BUILD_CARAVANS		"Votre empire a découvert {advance[0].name#ARTICLE}. Vous allez pouvoir accroître ses richesses en vendant des marchandises. Avant de pouvoir commencer à réaliser des échanges, vous devez d'abord construire des <c:0,50,255>caravanes<e> dans vos villes."
T_EMBASSY			"Les {player[0].civ_name_plural} ont établi une <c:0,50,255>ambassade<e> avec les {player[1].civ_name_plural}. Les deux nations auront davantage d'options à disposition."
T_USE_PW			"Votre empire a accumulé suffisamment de <c:0,50,255>travaux publics<e> pour commencer l'aménagement d'infrastructures dans vos villes. Cliquez sur l'<c:0,50,255>onglet aménagements de case<e> pour voir le menu des aménagements." 
T_INCREASE_PW			"Votre impôt des travaux publics est actuellement de 20 %. Vous allez pouvoir construire des aménagements de case qui mettent en valeur les infrastructures de la ville et permettent ainsi à votre empire de s'étendre et de croître."
T_GOOD_SPOT1			"Pour ordonner à un colon de construire une ville, sélectionnez-le et appuyez sur la touche <c:0,50,255>'b'<e>. Pour construire une ville, celui-ci ne doit pas être occupé par une autre action (un déplacement, par exemple). Terminez ce tour et appuyez sur <c:0,50,255>'b'<e> pour construire une ville."
T_GOOD_SPOT2			"Les zones favorables à l'implantation d'une ville sont les terrains riches en nourriture, tels que les prairies ou les régions côtières, et en production, tels que les forêts et les montagnes. Une fois que vous avez trouvé l'endroit qui vous convient, sélectionnez le colon et appuyez sur <c:0,50,255>'b'<e>."
T_GOOD_SPOT3			"Les fleuves constituent d'excellentes ressources. Ils accroissent les volumes de nourriture, de production et de commerce des cases qu'ils traversent. Ils facilitent également les déplacements : les unités présentes sur les cases traversées par un fleuve se déplacent deux fois plus vite."
T_GOOD_SPOT4			"Il serait bon que vous fondiez une ville dans les plus brefs délais. Les autres empires de la carte sont déjà en train de s'affermir. Vous risquez d'être dépassé sur le plan stratégique. Sélectionnez le colon et appuyez sur la touche <c:0,50,255>'b'<e> pour construire une autre ville."
T_NORTH				"vers le nord"
T_NORTHEAST			"vers le nord-est"
T_EAST				"vers l'est"
T_NORTHWEST			"vers le nord-ouest"
T_SOUTHEAST			"vers le sud-est"
T_WEST				"vers l'ouest"
T_SOUTHWEST			"vers le sud-ouest"
T_SOUTH				"vers le sud"
T_SELF				"sur cette case"
T_NORTH_OF			"au nord de"
T_NORTHEAST_OF			"au nord-est de"
T_EAST_OF			"à l'est de"
T_NORTHWEST_OF			"au nord-ouest de"
T_SOUTHEAST_OF			"au sud-est de"
T_WEST_OF			"à l'ouest de"
T_SOUTHWEST_OF			"au sud-ouest de"
T_SOUTH_OF			"au sud de"
T_SELF_ON			"A"
T_RIVER_DIRECTION		"Il y a un fleuve <c:0,50,255>{action[RIVER_DIR].text}<e>. Les cours d'eau accélèrent la vitesse de déplacement des unités et permettent aux villes de collecter davantage de ressources."
T_GOOD_DIRECTION		"Il y a <c:0,50,255>{ResourceDB(GOOD_NAME)#SOME}<e> {action[GOOD_DIR].text}. Vous pourriez ordonner à un colon de construire une ville à proximité, vous tirerez ainsi des revenus de la vente de cette marchandise."
T_NO_GOODS_KEEP_LOOKING		"Le colon ne voit pas de marchandise. Continuez à le déplacer pour qu'il puisse explorer le monde.\nVoulez-vous que votre colon continue à chercher des marchandises ?"
T_UNHAPPY_CITIES		"Dans plusieurs villes, le mécontentement grandit. Celles-ci risquent de se soulever. Ouvrez le <c:0,50,255>Gestionnaire national<e> pour voir dans quelles villes le niveau de bonheur a baissé."
T_ONE_UNHAPPY_CITY		"Le niveau de bonheur de {city[0].name} a atteint un niveau critique. Si vous ne parvenez pas à satisfaire les exigences de vos citoyens, ceux-ci risquent de se soulever."
T_STARVING_CITIES		"Plusieurs de vos villes souffrent de famine. Ouvrez le <c:0,50,255>Gestionnaire national<e> pour voir lesquelles sont touchées."
T_ONE_STARVING_CITY		"La ville de {city[0].name} ne collecte pas suffisamment de nourriture pour garder son niveau de population. Dans <c:200,0,0>{CITY_STARVATION_TURNS} tours<e>, ses citoyens vont commencer à mourir de faim. Vous devriez soit réduire le nombre de rations à l'échelle de l'empire, soit construire des fermes pour accroître le volume de nourriture produit par la ville."
T_YOU_HAVE_GOOD			"Il y a {ResourceDB(GOOD_NAME)#SOME} {action[GOOD_DIR].text} {city[0].name}. Maintenant que vous disposez de {CARAVANS_AVAILABLE} caravanes, vous allez pouvoir échanger vos marchandises sur un marché.\nOuvrez le <c:0,50,255>Gestionnaire de commerce<e> pour savoir quelles villes désirent acheter vos marchandises."
T_NO_HAVE_GOOD			"Actuellement, vos villes ne collectent pas de marchandises. Aucune d'entre elles n'a été construite sur des terrains riches en ressources naturelles. Pour pouvoir vendre des marchandises, vous devez construire vos villes sur ou à proximité de terrains fertiles.\nVous disposez de {CARAVANS_AVAILABLE} caravanes que vous pouvez utiliser à tout moment. Pensez à construire davantage de colons et ordonnez-leur de fonder des villes à proximité des marchandises."
T_HAVE_GOODS_BUILD_CARAVANS	"Il y a {ResourceDB(GOOD_NAME)#SOME} {action[GOOD_DIR].text} {FIRST_CITY_WITH_GOOD.name}. Vous pouvez vendre cette marchandise si vous disposez de suffisamment de caravanes. Construisez des <c:0,50,255>caravanes<e> dans vos villes."
T_NO_GOODS_SETTLE_NEAR_GOODS	"Actuellement, aucune de vos villes ne collecte de marchandises. Construisez davantage de colons pour fonder d'autres villes à proximité de marchandises."
T_LITTLE_HELP			"Si vous le désirez, vos colons vous informeront lorsqu'ils auront trouvé un endroit favorisant la collecte de marchandises. \nDésirez-vous recevoir de l'aide de la part de vos colons ?"
T_BIOINFECT_CITY		"Un contamineur étranger a essayé d'introduire un virus à {city[0].name}. Protégez vos villes en construisant un système de micro-défense !"
T_BORDER_INCURSION		"Les troupes des {player[1].civ_name_plural} ont pénétré sur votre territoire !"
T_BORDER_PULLOUT		"Les troupes des {player[1].civ_name_plural} sont sorties de votre territoire."
T_RUSH_BUY			"L'aménagement de {city[0].name} sera terminé au prochain tour."
T_CANT_MOVE_YET			"Votre armée n'a pas pu se déplacer davantage pendant ce tour. Ordonnez-lui de se déplacer au prochain tour."
T_CAPTURE_CITY			"Les troupes des {player[0].civ_name_plural} se sont emparées de {city[0].name}."
T_DESTROYED_CITY		"A l'issue d'un terrible assaut, les troupes des {player[0].civ_name_plural} ont détruit la ville."
T_CITY_RIOT			"{city[0].name} se soulève ! L'ensemble de l'activité urbaine (production, commerce et production de nourriture) est paralysé. Si vous ne prenez pas de mesures pour limiter le mécontentement, les citoyens vont être touchés par la famine et risquent de se révolter. Construisez quelques aménagements favorisant le bonheur."
T_CONVERT_CITY			"{city[0].name} a été convertie à une autre religion par l'un de vos ennemis. Ses habitants sont en train de reverser tout l'or qu'ils ont durement gagné aux chefs religieux. Heureusement, vous pouvez réformer la ville à l'aide de n'importe quelle unité militaire que vous avez à disposition. Le coût de la réforme sera de 1 000 pièces d'or."
T_TILE_IMPROVEMENT		"Vous avez commencé la construction {TerrainImprovementDB(FIRST_TILE_IMP)#PREPOSITION}. Il faudra attendre quelques tours avant que cet aménagement ne soit terminé."
T_CREATE_PARK			"L'éco-ranger des {player[0].civ_name_plural} envisage de détruire {city[0].name} aux nanites. Tous les aménagements humains seront anéantis et le territoire retournera à son état d'origine."
T_DETRENCHED			"Vous allez devoir ordonner aux unités et armées non fortifiées de se fortifier ailleurs."
T_DISBAND_ARMY_ORDER		"D'une manière générale, l'option Démanteler unités n'est à utiliser que lorsque vous êtes sûr que son exécution ne nuira pas à la sécurité de l'empire."
T_DISBAND_CITY			"{city[0].name} a été désassemblée, ce qui a donné lieu à la création d'un colon. Vous pouvez envoyer ce colon ailleurs pour construire une nouvelle ville."
T_SETTLER_ENSLAVED		"Un esclavagiste a capturé votre colon et l'a réduit en esclavage dans l'une des villes des {player[0].civ_name_plural}. Construisez des abolitionnistes pour affranchir vos esclaves des villes étrangères."
T_GET_MAP			"Vous avez obtenu la carte des {player[0].civ_name_plural}. Désormais, vous pouvez voir l'emplacement des unités et villes étrangères. Continuez néanmoins à explorer le territoire, car celui-ci change à mesure que des villes se créent, que des catastrophes naturelles et des conflits étrangers se produisent."
T_TILE_IMP_COMPLETE		"La construction {TerrainImprovementDB(FIRST_TILE_IMP)#PREPOSITION} est désormais terminée. Vous pouvez construire des fermes adjacentes aux fermes existantes pourvu qu'elles soient situées sur des terres arables. Vous pouvez également construire des routes pour relier les villes entre elles et accélérer ainsi les déplacements."
T_SPY_INCITE_REVOLUTION		"Une unité d'espionnage étrangère a fomenté une révolution dans votre ville de {city[0].name}. Pour protéger vos villes des espions étrangers et des cyberninjas, construisez vos propres unités d'espionnage et ordonnez-leur de rester à l'intérieur de la ville."
T_ABOLITIONIST_INCITE_UPRISING	"Les abolitionnistes étrangers vont peut-être tenter d'affranchir vos esclaves de la ville de {city[0].name}. Afin de protéger vos investissements, gardez un esclavagiste dans votre ville."
T_CLERIC_INDULGENCE_SALE	"Les religieux étrangers vendent des indulgences aux citoyens de {city[0].name}. Protégez vos citoyens des influences religieuses en construisant des remparts ou en gardant un esclavagiste ou un religieux dans la ville."
T_LAWYER_INJOIN_CITY		"Un avocat étranger a demandé une injonction à {city[0].name}, ce qui a eu pour effet d'interrompre la production de la ville pendant un tour. Pour protéger votre industrie des incohérences du système judiciaire, construisez votre propre avocat."
T_CORPORATE_FRANCHISE		"Une des filiales des {player[0].civ_name_plural} a ouvert une franchise à {city[0].name}. Elle est en train de ruiner votre activité commerciale. Un avocat peut lui intenter un procès et débarrasser ainsi la ville de sa présence."
T_MOVE_INTO_TRANSPORT		"Placez une unité dans une unité de transport jusqu'à ce que celle-ci soit pleine. Pour débarquer les unités, placez l'unité de transport à proximité d'une case terrestre, cliquez à l'aide du bouton droit dessus et sélectionnez <c:0,50,255>débarquer<e>."
T_MOVE_PATH_ORDER		"Les chiffres figurant le long de la trajectoire indiquent le nombre de tours nécessaires avant que l'armée n'arrive à destination. Une trajectoire <c:50,200,50>verte<e> indique que le déplacement peut s'effectuer pendant ce tour, une trajectoire jaune que le déplacement nécessitera plusieurs tours, enfin une trajectoire rouge qu'il ne pourra avoir lieu."
T_MOVE_UNLOAD_ORDER		"L'unité de transport se déplace jusqu'à atteindre la terre et débarque alors sa cargaison."
T_ECOTERRORIST_NANOINFECT_CITY	"La construction d'un système de micro-défense dans l'une de vos villes, comme {city[0].name}, vous protégera contre les risques de nano-attaque."
T_CITY_NUKED			"Une attaque nucléaire des {player[0].civ_name_plural} a décimé la ville de {city[0].name}. Vous pouvez protéger vos villes des missiles nucléaires en construisant des <c:255,0,50>missiles balistiques<e>."
T_PILLAGE_ORDER			"Le pillage des fermes, des routes et des mines est considéré comme un acte d'agression. Les autres nations auront une piètre opinion de vous si vous détruisez ainsi leurs aménagements de case."
T_PIRATE_ORDER			"Pirater une route commerciale est source de profits. Cependant, pour continuer à recevoir de l'or, vous devez répéter cette action à chaque tour. La piraterie étant considérée comme un acte d'agression, il convient de tenir compte de ses répercussions sur le plan diplomatique."
T_INFECTOR_PLAGUE_CITY		"Un contamineur des {player[0].civ_name_plural} a lancé un assaut d'armes biologiques sur {city[0].name}. L'agent nocif <c:255,0,50>a empêché nombre de citoyens de travailler, a entravé la production et a augmenté le mécontentement des citoyens.<e>"
T_REFORM_CITY_ORDER		"Réformer une ville coûte {OrderDB(ORDER_REFORM).Gold} pièces d'or et accroît temporairement le mécontentement des citoyens. Cependant, la ville cesse de prélever de l'argent pour le donner à d'autres nations."
T_DIP_REJECTION			"Vous avez refusé la proposition de {player[0].leader_name}. {player[0].leader_name} risque de vous menacer de la faire appliquer."
T_DIP_REJECTION_PLAYER		"{player[1].leader_name} a refusé votre proposition. Vous pouvez menacer {player[1].leader_name} de la faire appliquer ou formuler un nouvelle proposition."
T_LAWYER_SUE_FRANCHISE		"Un avocat a intenté un procès à votre franchise de la ville de {city[0].name}. Celle-ci a dû fermer. Vous ne bénéficierez plus de la production issue de cette ville."
T_BUILDING_SOLD			"{city[0].name} ne bénéficie plus {improvement[0].type#PREPOSITION}. Vendre des aménagements vous permet de réduire les coûts de maintenance ou de remplir les réserves d'or. En contrepartie, ceux-ci n'exercent plus leurs effets sur la ville."
T_NUKE_TARGETED			"{city[0].name} a été ciblée par une arme nucléaire ennemie. Pour vous protéger des missiles nucléaires, vous pouvez construire des <c:255,0,50>missiles balistiques<e>. Vous pouvez également poster dans vos villes des unités anti-aériennes, telles que les MSA mobiles ou les faucheurs."
T_SLAVER_RAID_CITY		"Les esclavagistes ont tenté de dérober des citoyens à la ville de {city[0].name} pour les utiliser comme esclaves à l'étranger. Protégez votre peuple en construisant des remparts."
T_SLEEP_ORDER			"Les unités inactives s'animent dès qu'une unité étrangère est en vue. Vous pouvez les activer à tout moment en les sélectionnant."
T_ABOLITIONIST_FREE_SLAVES	"Un abolitionniste a tenté d'affranchir des esclaves de la ville de {city[0].name}. Protégez votre main d'oeuvre de l'ingérence étrangère en postant des esclavagistes dans vos villes."
T_UNLOAD_CARGO			"Les troupes viennent de débarquer de l'unité de transport. Celles-ci doivent rester au repos avant de pouvoir être à nouveau déplacées.\nSeuls les marines et les parachutistes peuvent être déplacés aussitôt après le débarquement."
T_WAIT_TITLE			"Le saviez-vous ?"
T_WAIT_1			"Une ville collecte ses ressources dans la zone délimitée par une ligne blanche. A mesure que la ville croît, cette zone s'étend.\nLa ligne de couleur marque les limites du territoire contrôlé par une nation."
T_WAIT_2			"Il existe différents types de terrain, auxquels correspondent différents volumes de nourriture, de commerce et de production.\nIl est essentiel d'implanter les villes dans des zones produisant suffisamment de nourriture afin de subvenir aux besoins de la population et de favoriser la croissance."
T_WAIT_3			"Vous pouvez déplacer vos unités pour explorer votre territoire et pour trouver de nouveaux emplacements pour fonder des villes. Vous pouvez également les utiliser pour combattre des nations ennemies ou les abominables Barbares."
T_WAIT_4			"Si vous le désirez, vous pouvez déléguer à un maire la gestion de vos villes. Ouvrez le <c:0,50,255>Gestionnaire de ville<e> et cochez la case Maire. Sélectionnez une priorité dans le menu déroulant. Le maire accordera une priorité à telle ou telle construction."
T_KEEP_HITTING_END_BUILDING	"{BUILDING_BUILDING.name} travaille actuellement à la construction {BuildingDB(CITY_BUILDING_BUILDING)#PREPOSITION}. Etant donné que votre empire en est encore à ses débuts, cela risque de prendre un certain temps. Continuez d'appuyer sur 'Entrée' ou cliquez sur le bouton <c:0,50,255>Fin de tour<e> jusqu'à la fin de la construction."
T_KEEP_HITTING_END_WONDER	"{BUILDING_WONDER.name} s'occupe de la construction {WonderDB(CITY_BUILDING_WONDER)#PREPOSITION}. Etant donné que votre empire en est encore à ses débuts, cela risque de prendre un certain temps. Continuez d'appuyer sur 'Entrée' ou cliquez sur le bouton <c:0,50,255>Fin de tour<e> jusqu'à la fin de la construction."
T_CANT_DISBAND_BIG_CITY		"Vous ne pouvez pas démanteler des villes avec plus de 3 000 habitants. {city[0].name} a {BIG_CITY} habitants."
T_USE_MAYORS			"Déléguez la gestion de vos villes à des maires. Dans le Gestionnaire de ville, cochez la case Maire. Depuis le menu déroulant, sélectionnez une priorité. Le maire assignera des priorités aux différentes constructions."
T_NEW_GOVT			"La découverte {advance[0].name#PREPOSITION} représente l'introduction d'une nouvelle pensée politique pour votre nation. Si vous le désirez, vous pouvez instaurer un nouveau gouvernement en ouvrant le <c:0,50,255>Gestionnaire d'empire<e> et en cliquant sur l'onglet <c:0,50,255>Gouvernement<e>."
T_BUILD_WONDERS			"Construire plus de merveilles"
T_BUILD_BUILDINGS		"Construire plus de bâtiments"
T_BUILD_UNITS			"Construire plus d'unités"
T_TITLE_GOOD_SPOT		"Construire une ville ici"
T_TITLE_BAD_SPOT		"Continuez de chercher..."
