## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE "Cette nation est mécontente des pertes que nous lui avons fait subir."
REGARD_EVENT_HOLD_RECEPTION "Les émissaires des {player[0].civ_name_plural} sont encore très impressionnés par la réception que nos diplomates ont donnée."
REGARD_EVENT_VIOLATE_TRADE_PACT "Notre embargo commercial constitue une violation de pacte qu'ils ne sont pas prêts à nous pardonner."
REGARD_EVENT_VIOLATED_MILITARY_PACT "Notre refus de respecter le pacte militaire que nous avons signé avec eux a jeté un froid dans nos relations. Leur nation se sent trahie."
REGARD_EVENT_VIOLATED_POLLUTION_PACT "Notre refus de respecter le pacte anti-pollution que nous avons signé avec eux a suscité leur courroux."
REGARD_EVENT_STEAL_TECHNOLOGY "Les {player[0].civ_name_plural} nous en veulent de leur avoir volé leur technologie."
REGARD_EVENT_ENEMY_INCITED_REVOLUTION "Le soutien récent que nous avons apporté aux factions rebelles dans les villes des {player[0].civ_name_plural} n'est pas passé inaperçu."
REGARD_EVENT_ENEMY_ASSASSINATED_RULER "Ils protestent contre notre implication dans l'assassinat d'éminents {player[0].civ_name_plural}."
REGARD_EVENT_ENEMY_FRANCHISED_CITY "Les rapports nous invitent à lancer une offensive commerciale sur leur pays via des franchises."
REGARD_EVENT_ENEMY_PLANTED_NUKE "Ils savent que ce sont nos agents qui ont placé l'arme nucléaire qui a décimé le territoire des {player[0].civ_name_plural} et ne nous le pardonneront probablement jamais."
REGARD_EVENT_ENEMY_SLAVE_RAIDED_CITY "Ils sont bien entendu furieux que nous ayons réduit en esclavage des {player[0].civ_name_plural}."
REGARD_EVENT_ENEMY_LAWSUIT "Ils ont du mal à accepter les récents revers juridiques que leur ont fait subir nos avocats."
REGARD_EVENT_ENEMY_EXPELLED_UNITS "Ils protestent contre l'expulsion de notre territoire d'unités appartenant aux {player[0].civ_name_plural}."
REGARD_EVENT_ENEMY_NUKED_CITY "Les {player[0].civ_name_plural} ne nous pardonneront jamais d'avoir dévasté leur territoire avec des armes nucléaires."
REGARD_EVENT_ENEMY_ENSLAVED_SETTLER "Nous avons suscité leur courroux en réduisant en esclavage des colons {player[0].civ_name_plural}."
REGARD_EVENT_ENEMY_FREED_SLAVES "L'élite des {player[0].civ_name_plural} n'apprécie pas nos efforts en vue de libérer leurs esclaves."
REGARD_EVENT_ENEMY_INCITED_UPRISING "Les {player[0].civ_name_plural} protestent contre notre implication dans les violences qui ont eu lieu récemment dans leurs villes."
REGARD_EVENT_ENEMY_BIO_INFECTED_CITY "En recourant aux armes biologiques, nous avons terni à jamais notre réputation auprès des {player[0].civ_name_plural}."
REGARD_EVENT_ENEMY_PLAGUED_CITY "En recourant à la guerre bactériologique, nous avons créé une rupture diplomatique avec les {player[0].civ_name_plural}."
REGARD_EVENT_ENEMY_NANO_INFECTED_CITY "Les {player[0].civ_name_plural} ne nous pardonneront jamais d'avoir eu recours aux nano-technologies pour contaminer leurs villes."
REGARD_EVENT_ENEMY_CREATED_PARK "Les {player[0].civ_name_plural} nous abhorrent d'avoir eu recours aux armes nano-technologiques."
REGARD_EVENT_ENEMY_INJOINED_CITY "Depuis que nous avons eu recours aux injonctions pour paralyser la productivité de leurs villes, les {player[0].civ_name_plural} sont en froid avec nous."
REGARD_EVENT_ENEMY_PILLAGED "Ils sont furieux que nos troupes aient pillé leurs aménagements de case."


##
## Motivations
## 

MOTIVATION_ENLIST_FRIENDS_ADVICE "Nous devrions faire appel aux nations avec lesquelles nous sommes en bons termes pour qu'elles nous aident à vaincre nos ennemis."
MOTIVATION_FEAR_SCIENCE_ADVICE "Notre manque d'innovation risque de mettre en péril notre puissance militaire. Nos armées seront bientôt évincées du champ de bataille si nous ne poursuivons pas nos efforts de recherche."
MOTIVATION_FEAR_MILITARY_ADVICE "Notre retard sur le plan militaire met en péril notre position dans le monde. Nous devrions sceller des alliances pour renforcer notre position."
MOTIVATION_FEAR_TRADE_ADVICE "Si nous voulons rester compétitifs, nous devons redynamiser notre économie, notamment en étendant nos routes commerciales à d'autres pays et en concluant des pactes commerciaux."
MOTIVATION_STOP_PIRACY_ADVICE "Nos routes commerciales sont attaquées par des pirates étrangers. Nous devrions prendre des mesures diplomatiques pour venir à bout de ces difficultés."
MOTIVATION_MAKE_FRIEND_ADVICE "Nous devrions collaborer avec des nations solides de façon à atteindre nos objectifs plus facilement."
MOTIVATION_DESIRE_SCIENCE_ADVICE "Je crains que nous ne soyons devancés par nos rivaux en matière de progrès technologique. Nous devrions chercher à accroître nos connaissances en menant des actions diplomatiques."
MOTIVATION_DESIRE_GOLD_ADVICE "Nous devrions puiser davantage dans nos réserves d'or de façon à mieux répondre à nos objectifs immédiats."
MOTIVATION_FEAR_CITY_DEFENSE_ADVICE "Je crains que {city[0].name} tombe bientôt entre les mains de l'ennemi. Peut-être les négociations pourront-elles empêcher cela."
MOTIVATION_FEAR_POLLUTION_ADVICE "Je crains que la pollution n'entraîne un réchauffement de la planète susceptible de déclencher une catastrophe naturelle à l'échelle mondiale. Nous devons absolument réduire nos niveaux de pollution et exiger la même chose des autres nations."

##
##  Miscellaneous Diplomacy Strings
##

DIP_ADVISOR_INCOMING_MESSAGE "Honorable dirigeant, nous avons reçu un message d'un émissaire représentant {player[0].leader_name}, chef des {player[0].civ_name_plural}."

##
##  Diplomacy Greetings
##

DIP_GREETING_FIRST_FOREIGN_0 "Salutations de {player[0].leader_name}, chef des {player[0].civ_name_plural} ! Notre nation s'efforcera d'être juste et équitable."
DIP_GREETING_FIRST_FOREIGN_1 "J'apporte des salutations amicales de {player[0].leader_name}, chef des {player[0].civ_name_plural}. Reste à espérer que nos nations parviendront à rester en paix."
DIP_GREETING_FIRST_FOREIGN_2 "Salutations de {player[0].leader_name}, dirigeant des {player[0].civ_name_plural}. Malgré notre infériorité manifeste, nous nous efforçons de tendre vers la gloire."
DIP_GREETING_FIRST_FOREIGN_3 "Je viens d'une nation supérieure, les {player[0].civ_name_plural}. Notre honorable chef, {player[0].leader_name}, n'est pas du genre à plaisanter !"
DIP_GREETING_FIRST_FOREIGN_4 "Je vous apporte les salutations de {player[0].leader_name}, chef suprême des puissants {player[0].civ_name_plural} ! Inclinez-vous, sinon vous auriez à subir de fâcheuses conséquences !"

##
## Proposal names
##
DIP_NONE "AUCUNE"
DIP_OFFER_GIVE_CITY "Offrir une ville..."
DIP_REQUEST_GIVE_CITY "Exiger une ville..."
DIP_OFFER_WITHDRAW_TROOPS "Proposer le retrait"
DIP_REQUEST_WITHDRAW_TROOPS "Exiger le retrait"
DIP_OFFER_STOP_PIRACY "Proposer de cesser la piraterie"
DIP_REQUEST_STOP_PIRACY "Exiger qu'ils arrêtent la piraterie"
DIP_OFFER_BREAK_AGREEMENT "Rompre des accords..."
DIP_REQUEST_BREAK_AGREEMENT "Exiger qu'ils rompent des accords..."
DIP_OFFER_STOP_RESEARCH "Cesser les recherches"
DIP_REQUEST_STOP_RESEARCH "Exiger l'interruption des recherches"
DIP_OFFER_REDUCE_NUCLEAR_WEAPONS "Réduire les armes nucléaires"
DIP_REQUEST_REDUCE_NUCLEAR_WEAPONS "Exiger le désarmement nucléaire"
DIP_OFFER_REDUCE_BIO_WEAPONS "Réduire les armes biologiques"
DIP_REQUEST_REDUCE_BIO_WEAPONS "Exiger la réduction des armes biologiques"
DIP_OFFER_REDUCE_NANO_WEAPONS "Réduire l'arsenal nano-technologique"
DIP_REQUEST_REDUCE_NANO_WEAPONS "Exiger le désarmement nano-technologique"
DIP_OFFER_GIVE_ADVANCE "Offrir un progrès..."
DIP_REQUEST_GIVE_ADVANCE "Exiger un progrès..."
DIP_OFFER_GIVE_GOLD "Offrir de l'or..."
DIP_REQUEST_GIVE_GOLD "Exiger de l'or..."
DIP_OFFER_REDUCE_POLLUTION "Réduire la pollution"
DIP_REQUEST_REDUCE_POLLUTION "Exiger la réduction de la pollution"
DIP_OFFER_MAP "Offrir une carte"
DIP_REQUEST_MAP "Exiger une carte"
DIP_OFFER_HONOR_MILITARY_AGREEMENT "Offrir de respecter un accord militaire..."
DIP_REQUEST_HONOR_MILITARY_AGREEMENT "Exiger de respecter un accord militaire..."
DIP_OFFER_HONOR_POLLUTION_AGREEMENT " Offrir de respecter un accord anti-pollution..."
DIP_REQUEST_HONOR_POLLUTION_AGREEMENT " Exiger de respecter un accord anti-pollution..."
DIP_OFFER_END_EMBARGO "Offrir de mettre fin à l'embargo"
DIP_REQUEST_END_EMBARGO "Exiger de mettre fin à l'embargo commercial"
DIP_TREATY_DECLARE_WAR "Déclarer la guerre..."
DIP_TREATY_CEASEFIRE "Cessez-le-feu"
DIP_TREATY_PEACE "Traité de paix"
DIP_TREATY_TRADE_PACT "Pacte commercial"
DIP_TREATY_RESEARCH_PACT "Pacte de recherche"
DIP_TREATY_MILITARY_PACT "Pacte militaire"
DIP_TREATY_POLLUTION_PACT "Pacte anti-pollution"
DIP_TREATY_ALLIANCE "Alliance"

##
## Proposal Details
##
DIP_DETAILS_NONE_0 "AUCUNE (ton 0)"
DIP_DETAILS_NONE_1 "AUCUNE (ton 1)"
DIP_DETAILS_NONE_2 "AUCUNE (ton 2)"
DIP_DETAILS_NONE_3 "AUCUNE (ton 3)"
DIP_DETAILS_NONE_4 "AUCUNE (ton 4)"
DIP_DETAILS_NONE_EX_0 "En échange, AUCUNE (ton 0)"
DIP_DETAILS_NONE_EX_1 "En échange, AUCUNE (ton 1)"
DIP_DETAILS_NONE_EX_2 "En échange, AUCUNE (ton 2)"
DIP_DETAILS_NONE_EX_3 "En échange, AUCUNE (ton 3)"
DIP_DETAILS_NONE_EX_4 "En échange, AUCUNE (ton 4)"
DIP_DETAILS_OFFER_GIVE_CITY_0 "Vu l'estime dont votre nation est l'objet, nous vous offrons la ville de {city[0].name}."
DIP_DETAILS_OFFER_GIVE_CITY_1 "C'est dans un esprit d'amitié que nous vous offrons le contrôle de la ville de {city[0].name}."
DIP_DETAILS_OFFER_GIVE_CITY_2 "Nous vous faisons don de la ville de {city[0].name}."
DIP_DETAILS_OFFER_GIVE_CITY_3 "Nous sommes disposés à ce que la ville de {city[0].name} tombe sous votre autorité."
DIP_DETAILS_OFFER_GIVE_CITY_4 "Vous aurez droit à la ville de {city[0].name}. C'est amplement suffisant."
DIP_DETAILS_OFFER_GIVE_CITY_EX_0 "En échange, nous vous offrons le contrôle total de la ville de {city[0].name}. Nous espérons que ses citoyens seront bien traités."
DIP_DETAILS_OFFER_GIVE_CITY_EX_1 "En échange et dans l'espoir d'établir une relation d'amitié, nous vous promettons le contrôle de la ville de {city[0].name}."
DIP_DETAILS_OFFER_GIVE_CITY_EX_2 "En échange, nous vous offrons la ville de {city[0].name}, qui viendra enrichir votre puissant empire."
DIP_DETAILS_OFFER_GIVE_CITY_EX_3 "En échange, nous vous passons les rênes de la ville de {city[0].name}."
DIP_DETAILS_OFFER_GIVE_CITY_EX_4 "En échange, nous vous cédons la ville de {city[0].name}."
DIP_DETAILS_REQUEST_GIVE_CITY_0 "Nous sommes conscients que vous ayez besoin d'étendre vos frontières et de faire prospérer votre nation. Cependant, nous tenons à ce que vous nous laissiez le contrôle de la ville de {city[0].name}."
DIP_DETAILS_REQUEST_GIVE_CITY_1 "Nous vous demandons d'avoir la gentillesse de nous céder la ville de {city[0].name}."	
DIP_DETAILS_REQUEST_GIVE_CITY_2 "Nous requérons de votre part de nous accorder la ville de {city[0].name} dès que possible."
DIP_DETAILS_REQUEST_GIVE_CITY_3 "Donnez-nous le contrôle de {city[0].name}. Ses citoyens intègreront ainsi notre éminent empire."
DIP_DETAILS_REQUEST_GIVE_CITY_4 "Cédez-nous {city[0].name} une fois pour toutes !"
DIP_DETAILS_REQUEST_GIVE_CITY_EX_0 "En échange, nous vous demandons de nous céder {city[0].name}."
DIP_DETAILS_REQUEST_GIVE_CITY_EX_1 "En échange et dans une optique de paix, nous vous saurions gré de nous laisser le contrôle de {city[0].name}."	
DIP_DETAILS_REQUEST_GIVE_CITY_EX_2 "En échange, nous vous implorons de nous céder {city[0].name}."
DIP_DETAILS_REQUEST_GIVE_CITY_EX_3 "En échange et afin d'éviter toute mesure intempestive, nous vous recommandons de nous passer les rênes de {city[0].name} sans plus tarder."
DIP_DETAILS_REQUEST_GIVE_CITY_EX_4 "En échange, nous vous demandons de nous céder le contrôle de {city[0].name} immédiatement !"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_0 "Nous offrons de retirer nos troupes de votre territoire afin de préserver la paix."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_1 "Afin de rester en bons termes, nous allons retirer nos forces de votre pays."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_2 "Nous allons immédiatement nous retirer de votre territoire. Il n'était pas dans notre intention de susciter votre colère."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_3 "Nous vous proposons de nous retirer de votre territoire. Votre faiblesse et votre impuissance sont manifestes."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_4 "Nous allons nous retirer de votre sol. A l'avenir, n'espérez aucune clémence de notre part."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_0 "En échange, nous acceptons de retirer nos troupes de votre pays."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_1 "En échange, nous allons retirer nos troupes de votre pays. Nous aimerions rester en bons termes avec vous."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_2 "En échange, nous quitterons votre sol dans les plus brefs délais. Vous nous voyez désolés de ne pas avoir respecté votre territoire."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_3 "En échange, nous allons quitter votre pitoyable pays."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_4 "En échange, nous sommes disposés à retirer nos forces de votre territoire insignifiant."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_0 "Le retrait des forces de notre sol serait un grand pas vers l'établissement de bonnes relations. Nous vous proposons de vous exécuter dans les plus brefs délais."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_1 "Nous exigeons le retrait de vos troupes de notre pays. Des nations comme les nôtres doivent s'efforcer de rester en bons termes."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_2 "Chef suprême, nous vous serions reconnaissants de retirer vos troupes de notre sol."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_3 "Retirez vos troupes de notre pays si vous voulez éviter les représailles."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_4 "Est-il dans votre intention de nous provoquer ? Nous vous suggérons fortement de retirer immédiatement toutes vos troupes de notre territoire !"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_0 "En échange, nous vous demandons de retirer toutes vos forces armées de notre pays. Nous ne nous abaisserons pas à cette activité sordide qu'est la guerre."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_1 "En échange, nous aimerions voir le retrait total de vos forces de notre sol. Nous ne voulons pas mettre en péril la paix qui règne entre nos éminentes nations."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_2 "En échange, nous vous implorons de retirer vos forces de notre sol. Ce, afin d'asseoir le règne de la paix."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_3 "En échange, nous vous demandons de retirer vos forces de notre pays ! Vos actions sont pour le moins intempestives."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_4 "En échange, nous demandons à vos troupes de quitter notre sol ! C'est pure folie de votre part de nous provoquer !"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_0 "Nous jurons de retirer nos forces de votre territoire allié. Les {player[2].civ_name_plural} ne seront plus troublés par notre présence."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_1 "Honorable dirigeant, nous offrons de retirer nos forces du territoire des {player[2].civ_name_plural} dès que possible."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_2 "Nous promettons le retrait immédiat de nos forces du territoire des {player[2].civ_name_plural}. Nous n'avons aucun intérêt à vous provoquer."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_3 "Nous allons retirer nos troupes du territoire des {player[2].civ_name_plural} dès que nous serons en mesure de le faire. Vous ne représentez pas de menace pour nous."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_4 "Nous vous proposons de nous retirer du territoire des {player[2].civ_name_plural}. Vous nous saurez gré de notre clémence."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_0 "En échange, nous sommes prêts à retirer nos forces du territoire des {player[2].civ_name_plural}. La paix reste notre principal objectif."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_1 "En échange, nous proposons de retirer nos troupes du territoire des {player[2].civ_name_plural}. L'alliance que nous avons conclue sera ainsi respectée."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_2 "En échange, nous vous proposons en toute simplicité de nous retirer immédiatement du territoire des {player[2].civ_name_plural}."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_3 "En échange, nous quitterons le sol des {player[2].civ_name_plural}, si tel est votre désir."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_4 "En échange, nous sommes prêts à nous retirer du territoire des {player[2].civ_name_plural} pour le moment."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_0 "Nous serions reconnaissants si vous acceptiez de retirer vos forces du sol des {player[2].civ_name_plural}. Il s'agit d'une nation alliée, nous ne voulons pas la voir en danger."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_1 "Nous vous demandons d'avoir l'amabilité de retirer vos troupes du territoire des {player[2].civ_name_plural}. Il s'agit de nos alliés et nous ne voulons pas être témoins d'une effusion de sang."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_2 "Veuillez retirer vos troupes du territoire des {player[2].civ_name_plural}. Nous ne voulons pas voir une nation amie attaquée."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_3 "Nous exigeons le retrait immédiat des forces armées du territoire des{player[2].civ_name_plural}. Vous êtes en train de violer leur souveraineté."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_4 "Retirez vos troupes du territoire des {player[2].civ_name_plural} immédiatement !  Les attaquer revient à nous attaquer."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_0 "En échange, nous serions heureux de voir le retrait total de vos forces du territoire des {player[2].civ_name_plural}. Ce sont nos alliés."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_1 "En échange, nous considérerions comme un ultime témoignage d'amitié le retrait de vos forces du territoire des {player[2].civ_name_plural}."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_2 "En échange, nous serions reconnaissants si vous retiriez vos forces du territoire des {player[2].civ_name_plural}."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_3 "En échange, nous exigeons que vous retiriez immédiatement vos forces du territoire des {player[2].civ_name_plural}."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_4 "En échange, nous demandons le retrait total des forces du territoire des {player[2].civ_name_plural}. En tant qu'alliés, ils bénéficient de notre protection."
DIP_DETAILS_OFFER_INVADE_0 "Nous vous proposons d'envahir les {player[2].civ_name_plural} en toute hâte."
DIP_DETAILS_OFFER_INVADE_1 "Vu que nos nations sont en bons termes, nous vous proposons d'envahir vos ennemis, les {player[2].civ_name_plural}."
DIP_DETAILS_OFFER_INVADE_2 "Nous vous proposons tout simplement d'envahir les {player[2].civ_name_plural}. Peut-être cela vous sera-t-il utile."
DIP_DETAILS_OFFER_INVADE_3 "Nous allons envahir les {player[2].civ_name_plural}. Cela vous sera sans doute utile."
DIP_DETAILS_OFFER_INVADE_4 "Nous vous proposons d'envahir les {player[2].civ_name_plural}."
DIP_DETAILS_OFFER_INVADE_EX_0 "En échange, nous vous proposons l'invasion des {player[2].civ_name_plural} pour vous aider à atteindre vos objectifs."
DIP_DETAILS_OFFER_INVADE_EX_1 "En échange, nous allons envahir les {player[2].civ_name_plural}, pourvu que cela vous satisfasse."
DIP_DETAILS_OFFER_INVADE_EX_2 "En échange, nous sommes heureux d'envahir les {player[2].civ_name_plural}. Peut-être approuverez-vous notre action à l'avenir."
DIP_DETAILS_OFFER_INVADE_EX_3 "En échange, nous vous promettons d'envahir les {player[2].civ_name_plural}. Ce pays sera enfin témoin des horreurs de  la guerre."
DIP_DETAILS_OFFER_INVADE_EX_4 "En échange, nous allons envahir les {player[2].civ_name_plural}. Cela est amplement suffisant."
DIP_DETAILS_REQUEST_INVADE_0 "Nous vous demandons solennellement d'envahir les {player[2].civ_name_plural} et de détruire cette nation."
DIP_DETAILS_REQUEST_INVADE_1 "En tant qu'amis, nous vous demandons d'envahir les {player[2].civ_name_plural} le plus vite possible. Il s'agit de notre ennemi commun."
DIP_DETAILS_REQUEST_INVADE_2 "Eminente nation, veuillez envahir les {player[2].civ_name_plural} et utiliser vos armées redoutables pour mettre un terme à leur existence."
DIP_DETAILS_REQUEST_INVADE_3 "Comme preuve de votre courage, vous devrez envahir les {player[2].civ_name_plural}. Nous verrons ainsi de quoi vous êtes capables."
DIP_DETAILS_REQUEST_INVADE_4 "Nous vous demandons d'envahir les {player[2].civ_name_plural} en toute hâte. Ne faites pas de prisonniers !"
DIP_DETAILS_REQUEST_INVADE_EX_0 "En échange, nous vous demandons d'envahir les {player[2].civ_name_plural} et de mettre un terme au règne de leur dirigeant."
DIP_DETAILS_REQUEST_INVADE_EX_1 "En échange, faites-nous la faveur d'envahir les {player[2].civ_name_plural}. Nous vous en saurions gré."
DIP_DETAILS_REQUEST_INVADE_EX_2 "En échange, nous vous prions de nous aider à rayer nos ennemis de la carte. Envahissez les {player[2].civ_name_plural}."
DIP_DETAILS_REQUEST_INVADE_EX_3 "En échange, nous requérons l'invasion des {player[2].civ_name_plural} par vos forces armées. Ne laissez personne entraver vos campagnes."
DIP_DETAILS_REQUEST_INVADE_EX_4 "En échange, nous exigeons que vous envahissiez les {player[2].civ_name_plural} sur-le-champ."
DIP_DETAILS_OFFER_STOP_PIRACY_0 "Dans l'intérêt de nos bonnes relations, nous vous proposons de cesser de pirater les routes commerciales de votre empire."
DIP_DETAILS_OFFER_STOP_PIRACY_1 "Nous allons cesser de pirater vos routes commerciales. Nous ne tenons pas à mettre en péril l'amitié que vous nous portez."
DIP_DETAILS_OFFER_STOP_PIRACY_2 "Nous allons cesser immédiatement de pirater vos routes commerciales ! Vous nous voyez désolés de l'offense faite à votre nation."
DIP_DETAILS_OFFER_STOP_PIRACY_3 "Nous allons cesser de pirater vos routes commerciales. A l'avenir, ne vous attendez pas à tant de clémence de notre part."
DIP_DETAILS_OFFER_STOP_PIRACY_4 " Nous allons cesser de pirater vos routes commerciales. "
DIP_DETAILS_OFFER_STOP_PIRACY_EX_0 "En échange, nos allons cesser de pirater vos routes commerciales. "
DIP_DETAILS_OFFER_STOP_PIRACY_EX_1 "En échange, nous allons arrêter de pirater vos routes commerciales. Nous cherchons en effet à préserver l'amitié qui unit nos empires."
DIP_DETAILS_OFFER_STOP_PIRACY_EX_2 "En échange, nous allons immédiatement cesser de pirater vos routes commerciales. Nous ne voulons pas susciter le courroux d'un empire aussi imposant que le vôtre !"
DIP_DETAILS_OFFER_STOP_PIRACY_EX_3 "En échange, nous allons cesser de pirater vos routes commerciales. Entraver les échanges d'une nation aussi insignifiante que la vôtre est indigne de nous."
DIP_DETAILS_OFFER_STOP_PIRACY_EX_4 "En échange, nous ne piraterons plus vos routes commerciales. Nous en trouverons de bien plus lucratives ailleurs."
DIP_DETAILS_REQUEST_STOP_PIRACY_0 "N'avons-nous pas droit à la liberté des échanges ? Cessez enfin de pirater nos routes commerciales !"
DIP_DETAILS_REQUEST_STOP_PIRACY_1 "Afin de préserver la paix entre nos deux nations, cessez de pirater nos axes commerciaux."
DIP_DETAILS_REQUEST_STOP_PIRACY_2 "Nous vous prions de cesser de pirater nos routes commerciales."
DIP_DETAILS_REQUEST_STOP_PIRACY_3 "Ces actes de piraterie commerciale sont à la fois méprisables et inexcusables. Veuillez y mettre un terme immédiatement."
DIP_DETAILS_REQUEST_STOP_PIRACY_4 "Arrêtez de pirater nos routes commerciales ! Nous ne tolérerons pas une telle perfidie !"
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_0 "En échange, nous requérons solennellement de votre part de cesser de pirater nos routes commerciales dans les plus brefs délais."
