#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (French)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin Gühmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"Fabr. d'outils"
ADVANCE_HUMAN_CLONING				"Clonage humain"
ADVANCE_FUSION					"Fusion"
ADVANCE_ULTRAPRESSURE_MACHINERY			"Mach. ultrapress."
ADVANCE_CYBERNETICS				"Cybernétique"
ADVANCE_NEURAL_REPROGRAMMING			"Reprogram. neurale"
ADVANCE_PLASMA_WEAPONRY				"Armes à plasma"
ADVANCE_VIRTUAL_DEMOCRACY			"Démocratie virtuelle"
ADVANCE_GENETIC_TAILORING			"Génie génétique"
ADVANCE_NANO_WARFARE				"Guerre nano-techno."
ADVANCE_ECOTOPIA				"Ecotopie"
ADVANCE_GAIA_THEORY				"Théorie de Gaia"
ADVANCE_LIFE_EXTENSION				"Prolongation vie"
ADVANCE_SMART_MATERIALS				"Matériaux intell."
ADVANCE_GAIA_CONTROLLER				"Contrôleur Gaia"


#### WONDER STRINGS ####
WONDER_PYRAMIDS					"Pyramides"
WONDER_RAMAYANA					"Ramayana"
WONDER_GREAT_WALL				"Grande Muraille"
WONDER_THE_APPIAN_WAY				"Via Appia"
WONDER_CHICHEN_ITZA				"Chichen Itza"
WONDER_CENTRAL_MATTER_DECOMPILER		"Dématér. central"
WONDER_THE_FORBIDDEN_CITY			"Cité interdite"
WONDER_ARISTOTLES_LYCEUM			"Lycée d'Aristote"
WONDER_HAGIA_SOPHIA				"Hagia Sophia"
WONDER_GUTTENBERGS_BIBLE			"Bible Gutenberg"
WONDER_EAST_INDIA_COMPANY			"Compagnie Indes"
WONDER_GALILEOS_TELESCOPE			"Télescope Galilée"
WONDER_EMANCIPATION_PROCLAMATION		"Affranchissement"
WONDER_PENICILLIN				"Pénicilline"
WONDER_LONDON_EXCHANGE				"Bourse de Londres"
WONDER_EMPIRE_STATE_BUILDING			"Empire State Building"
WONDER_HOLLYWOOD				"Hollywood"
WONDER_INTERNET					"Internet"
WONDER_THE_AGENCY				"Agence secrète"
WONDER_GLOBESAT					"GlobeSat"
WONDER_FIELD_DYNAMICS_LABORATORY		"Labo de dynamique"
WONDER_DATA_HAVEN				"Paradis numér."
WONDER_GENOME_PROJECT				"Projet de génome "
WONDER_GLOBAL_SURVEILLANCE_CENTER		"Surveil. mondiale"
WONDER_NANITE_DEFUSER				"Désamorc. à nanites"
WONDER_NATIONAL_SHIELD				"Bouclier national"
WONDER_EGALITARIAN_ACT				"Acte d'égalité"
WONDER_THE_EDEN_PROJECT				"Projet Eden"
WONDER_THE_SOLARIS_PROJECT			"Projet Solaris"
WONDER_ZERO_CRIME_BILL				"Loi anticriminalité"

WONDER_PYRAMIDS_ARTICLE				""
WONDER_RAMAYANA_ARTICLE				""
WONDER_GREAT_WALL_ARTICLE			""
WONDER_THE_APPIAN_WAY_ARTICLE			""
WONDER_CHICHEN_ITZA_ARTICLE			""
WONDER_CENTRAL_MATTER_DECOMPILER_ARTICLE	""
WONDER_THE_FORBIDDEN_CITY_ARTICLE		""
WONDER_ARISTOTLES_LYCEUM_ARTICLE		""
WONDER_HAGIA_SOPHIA_ARTICLE			""
WONDER_GUTTENBERGS_BIBLE_ARTICLE		""
WONDER_EAST_INDIA_COMPANY_ARTICLE		""
WONDER_GALILEOS_TELESCOPE_ARTICLE		""
WONDER_EMANCIPATION_PROCLAMATION_ARTICLE	""
WONDER_PENICILLIN_ARTICLE			""
WONDER_LONDON_EXCHANGE_ARTICLE			""
WONDER_EMPIRE_STATE_BUILDING_ARTICLE		""
WONDER_HOLLYWOOD_ARTICLE			""
WONDER_INTERNET_ARTICLE				""
WONDER_THE_AGENCY_ARTICLE			""
WONDER_GLOBESAT_ARTICLE				""
WONDER_FIELD_DYNAMICS_LABORATORY_ARTICLE	""
WONDER_DATA_HAVEN_ARTICLE			""
WONDER_GENOME_PROJECT_ARTICLE			""
WONDER_GLOBAL_SURVEILLANCE_CENTER_ARTICLE	""
WONDER_NANITE_DEFUSER_ARTICLE			""
WONDER_NATIONAL_SHIELD_ARTICLE			""
WONDER_EGALITARIAN_ACT_ARTICLE			""
WONDER_THE_EDEN_PROJECT_ARTICLE			""
WONDER_THE_SOLARIS_PROJECT_ARTICLE		""
WONDER_ZERO_CRIME_BILL_ARTICLE			""


#### Units STRINGS ####
UNIT_SETTLER					"Colon"
UNIT_WARRIOR					"Guerrier"
UNIT_CATAMARAN					"Coracle"
UNIT_HOPLITE					"Hoplite"
UNIT_ARCHER					"Archer"
UNIT_SLAVER					"Esclavagiste"
UNIT_SWORDSMAN					"Samouraï"
UNIT_MOUNTED_ARCHER				"Archer monté"
UNIT_CARAVAN					"Caravane"
UNIT_FIRE_TRIREME				"Trirème feu grég."
UNIT_KNIGHT					"Chevalier"
UNIT_CATAPULT					"Catapulte"
UNIT_LONGSHIP					"Drakkar"
UNIT_DIPLOMAT					"Diplomate"
UNIT_PIKEMEN					"Piquier"
UNIT_CLERIC					"Prêtre"
UNIT_ABOLITIONIST				"Abolitionniste"
UNIT_CARRACK					"Carrack"
UNIT_INFANTRYMAN				"Fantassin"
UNIT_CAVALRY					"Cavalerie"
UNIT_FASCIST					"Fasciste"
UNIT_CANNON					"Canon"
UNIT_SHIP_OF_THE_LINE				"Navire 1ère ligne"
UNIT_SPY					"Espion"
UNIT_IRONCLAD					"Blindé"
UNIT_MACHINE_GUNNER				"Mitrailleur"
UNIT_ARTILLERY					"Artillerie"
UNIT_SUBMARINE					"Sous-marin"
UNIT_TROOP_SHIP					"Transporteur troupes"
UNIT_FRIGATE					"Frégate"
UNIT_DESTROYER					"Contre-torpilleur"
UNIT_TELEVANGELIST				"Télévangéliste"
UNIT_BATTLESHIP					"Cuirassé"
UNIT_FIGHTER					"Chasseur"
UNIT_CORPORATE_BRANCH				"Filiale"
UNIT_LAWYER					"Avocat"
UNIT_BOMBER					"Bombardier"
UNIT_TANK					"Char"
UNIT_CARGO_HELICOPTER				"Hélicoptère cargo"
UNIT_AIRCRAFT_CARRIER				"Porte-avions"
UNIT_MOBILE_SAM					"MSA mobile"
UNIT_MARINE					"Marine"
UNIT_PARATROOPER				"Parachutiste"
UNIT_URBAN_PLANNER				"Urbaniste"
UNIT_Z_FREIGHT_TRANSPORT			"Fret"
UNIT_INTERCEPTOR				"Intercepteur"
UNIT_CRUISE_MISSILE				"Missile croisière"
UNIT_NUCLEAR_SUBMARINE				"Sous-marin nucl."
UNIT_NUKE					"Missile nucléaire"
UNIT_STEALTH_FIGHTER				"Chasseur furtif"
UNIT_STEALTH_BOMBER				"Bombardier furtif "
UNIT_SCOUT_SUB					"Sous-marin éclaireur"
UNIT_SPACE_PLANE				"Navette spatiale"
UNIT_SPY_PLANE					"Avion espion"
UNIT_MOREY_STRIKER				"Bathysphère"
UNIT_CYBERATTORNEY				"Cyberavocat"
UNIT_MOBILE_SUBNEURAL_AD			"Message subliminal"
UNIT_HOVER_INFANTRY				"Infanterie aéroportée"
UNIT_CYBER_NINJA				"Cyberninja"
UNIT_SEA_ENGINEER				"Ingénieur maritime"
UNIT_EMPATHIC_DIPLOMAT				"Diplomate empathique"
UNIT_FUSION_TANK				"Char à fusion"
UNIT_CRAWLER					"Arachnidor"
UNIT_WAR_WALKER					"Faucheur"
UNIT_PLASMA_DESTROYER				"Destroyer à plasma"
UNIT_LEVIATHON					"Léviathan"
UNIT_KRAKEN					"Kraken"
UNIT_INFECTOR					"Contamineur"
UNIT_ECO_TERRORIST				"Ecoterroriste"
UNIT_ECO_RANGER					"Eco-ranger"
UNIT_DREADNAUGHT				"Invulnérable"
UNIT_CITY					"Ville"
UNIT_OCEAN_CITY					"Colonie marine"
UNIT_SPACE_CITY					"Colonie spatiale"
UNIT_LONGBOWMAN					"Archer médiéval"
UNIT_ELEPHANT_WARRIOR				"Elephant Warrior"
UNIT_SCOUT					"Scout"
UNIT_LEGION					"Legion"
UNIT_GUERRILLA					"Guerrilla"
UNIT_SWORDSMAN					"Swordsman"
UNIT_PIRATE_SHIP				"Pirate Ship"
UNIT_TRADER					"Trader"

#### governs STRINGS ####
GOVERNMENT_ANARCHY				"Anarchie"
GOVERNMENT_TYRANNY				"Tyrannie"
GOVERNMENT_MONARCHY				"Monarchie"
GOVERNMENT_THEOCRACY				"Théocratie"
GOVERNMENT_COMMUNISM				"Communisme"
GOVERNMENT_FASCISM				"Fascisme"
GOVERNMENT_REPUBLIC				"République"
GOVERNMENT_DEMOCRACY				"Démocratie"
GOVERNMENT_CORPORATE_REPUBLIC			"Rép. corporatiste"
GOVERNMENT_ECOTOPIA				"Ecotopie"
GOVERNMENT_TECHNOCRACY				"Technocratie"
GOVERNMENT_VIRTUAL_DEMOCRACY			"Démocr. virtuelle"


#### improvements STRINGS ####
IMPROVE_GRANARY					"Grenier"
IMPROVE_CITY_WALLS				"Remparts"
IMPROVE_SHRINE					"Lieux saints"
IMPROVE_COURTHOUSE				"Tribunal"
IMPROVE_BALLISTA_TOWERS				"Balistes"
IMPROVE_AQUEDUCT				"Aqueduc"
IMPROVE_THEATER					"Théâtre"
IMPROVE_BAZAAR					"Bazar"
IMPROVE_ACADEMY					"Académie"
IMPROVE_ARENA					"Arène"
IMPROVE_CAPITOL					"Palais"
IMPROVE_MILL					"Moulin"
IMPROVE_BASCILICA				"Basilique"
IMPROVE_UNIVERSITY				"Université"
IMPROVE_BANK					"Banque"
IMPROVE_PUBLISHING_HOUSE			"Maison d'édition"
IMPROVE_BATTLEMENTS				"Muraille"
IMPROVE_BROKERAGE				"Courtage"
IMPROVE_FOOD_SILO				"Silo de nourriture"
IMPROVE_FACTORY					"Usine"
IMPROVE_OIL_REFINERY				"Raffinerie"
IMPROVE_MOVIE_PALACE				"Cinéma"
IMPROVE_DRUG_STORE				"Pharmacie"
IMPROVE_TELEVISION				"Télévision"
IMPROVE_AIRPORT					"Aéroport"
IMPROVE_CORRECTIONAL_FACILITY			"Maison de correction"
IMPROVE_HOSPITAL				"Hôpital"
IMPROVE_FLAK_TOWERS				"Tour antiaérienne"
IMPROVE_COMPUTER_CENTER				"Centre informatique"
IMPROVE_PUBLIC_TRANSPORTATION			"Transports publics"
IMPROVE_RECYCLING_PLANT				"Usine de recyclage"
IMPROVE_NUCLEAR_PLANT				"Centrale nucléaire"
IMPROVE_ECO_TRANSIT				"Eco-transit"
IMPROVE_ANTI_BALLISTIC_MISSILES			"Missiles balistiques"
IMPROVE_ARCOLOGIES				"Arcologies"
IMPROVE_ORBITAL_LABORATORY			"Laboratoire orbital"
IMPROVE_ROBOTIC_PLANT				"Usine robotisée"
IMPROVE_SECURITY_MONITOR			"Contrôleur sécurité"
IMPROVE_E_BANK					"E-banque"
IMPROVE_VR_AMUSEMENT_PARK			"Parc attract. virtuel"
IMPROVE_NANITE_FACTORY				"Usine de nanites"
IMPROVE_FORCEFIELD				"Champ de force"
IMPROVE_AQUA_FILTER				"Hydro-filtre"
IMPROVE_INCUBATION_CENTER			"Centre incubation"
IMPROVE_FUSION_PLANT				"Centrale à fusion"
IMPROVE_BEHAVIORAL_MOD_CENTER			"Centre comport."
IMPROVE_CORNUCOPIC_VAT				"Nutrimodules"
IMPROVE_MICRO_DEFENSE				"Micro-défense"
IMPROVE_MATTER_DECOMPILER			"Dématérialisateur"
IMPROVE_BODY_EXCHANGE				"Echange corporel"
IMPROVE_GAIA_COMPUTER				"Ordinateur de Gaia"
IMPROVE_POWER_SATELLITE				"Satellite de Gaia"


#### terrain STRINGS ####
TERRAIN_BROWN_MOUNTAIN				"Montagne désertique"
TERRAIN_BROWN_HILL				"Colline désertique"
TERRAIN_WHITE_MOUNTAIN				"Montagne polaire"
TERRAIN_WHITE_HILL				"Colline polaire"
TERRAIN_MOUNTAIN				"Montagne"
TERRAIN_DESERT					"Désert"
TERRAIN_FOREST					"Forêt"
TERRAIN_GLACIER					"Glacier"
TERRAIN_GRASSLAND				"Prairies"
TERRAIN_HILL					"Colline"
TERRAIN_JUNGLE					"Jungle"
TERRAIN_PLAINS					"Plaines"
TERRAIN_SWAMP					"Marécages"
TERRAIN_TUNDRA					"Toundra"
TERRAIN_WATER_SHALLOW				"Eau peu profonde"
TERRAIN_WATER_DEEP				"Eau profonde"
TERRAIN_WATER_RIFT				"Crête"
TERRAIN_WATER_TRENCH				"Canyon"
TERRAIN_WATER_VOLCANO				"Volcan"
TERRAIN_WATER_REEF				"Récif coralien"
TERRAIN_WATER_KELP				"Lit de varech"
TERRAIN_SPACE					"Espace"
TERRAIN_WATER_BEACH				"Plage"
TERRAIN_WATER_SHELF				"Plateau sous-marin"
TERRAIN_DEAD					"Case inactive"
TERRAIN_SPECIAL1				"Spécial"
TERRAIN_SPECIAL2				"Pont"
#TERRAIN_DEAD_HILL				"Colline inactive"

TERRAIN_ARCTIC_MOUNTAIN_GOOD_ONE		"Rubis"
TERRAIN_ARCTIC_MOUNTAIN_GOOD_TWO		"Diamants"
TERRAIN_MOUNTAIN_GOOD_ONE			"Thé"
TERRAIN_MOUNTAIN_GOOD_TWO			"Emeraudes"
TERRAIN_DESERT_GOOD_ONE				"Verre"
TERRAIN_DESERT_GOOD_TWO				"Pétrole"
TERRAIN_FOREST_GOOD_ONE				"Bois dur"
TERRAIN_FOREST_GOOD_TWO				"Ours"
TERRAIN_GLACIER_GOOD_ONE			"Morse" # Walrus
TERRAIN_GRASSLAND_GOOD_ONE			"Coton/lin"
TERRAIN_GRASSLAND_GOOD_TWO			"Tabac"
TERRAIN_HILL_GOOD_ONE				"Café"
TERRAIN_HILL_GOOD_TWO				"Raisin"
TERRAIN_JUNGLE_GOOD_ONE				"Herbes médicin."
TERRAIN_JUNGLE_GOOD_TWO				"Jade"
TERRAIN_PLAINS_GOOD_ONE				"Epices"
TERRAIN_PLAINS_GOOD_TWO				"Eléphant"
TERRAIN_SWAMP_GOOD_ONE				"Alligator"
TERRAIN_TUNDRA_GOOD_ONE				"Caribou"
TERRAIN_WATER_SHALLOW_GOOD_ONE			"Crabe"
TERRAIN_WATER_SHALLOW_GOOD_TWO			"Perles"
TERRAIN_WATER_DEEP_GOOD_ONE			"Baleine"
TERRAIN_WATER_DEEP_GOOD_TWO			"Calmar géant"
TERRAIN_WATER_BEACH_GOOD_ONE			"Crabe"
TERRAIN_WATER_BEACH_GOOD_TWO			"Perles" # Replace with Fish
TERRAIN_WATER_SHELF_GOOD_ONE			"Crabe"
TERRAIN_WATER_SHELF_GOOD_TWO			"Perles"
TERRAIN_DUMMY_GOOD				"Babiole"

###Added for goodmod###   fix walrus, too many (actual these aren't used)

TERRAIN_ARCTIC_MOUNTAIN_GOOD_THREE		"Bauxite"
TERRAIN_ARCTIC_MOUNTAIN_GOOD_FOUR		"Emeralds"
TERRAIN_MOUNTAIN_GOOD_THREE			"Coal"
TERRAIN_MOUNTAIN_GOOD_FOUR			"Gold"
TERRAIN_DESERT_GOOD_THREE			"Dates"
TERRAIN_DESERT_GOOD_FOUR			"Camels"
TERRAIN_FOREST_GOOD_THREE			"Apples"
TERRAIN_FOREST_GOOD_FOUR			"Castor"
TERRAIN_GLACIER_GOOD_TWO			"Walrus"
TERRAIN_GLACIER_GOOD_THREE			"Walrus"
TERRAIN_GLACIER_GOOD_FOUR			"Walrus"
TERRAIN_GRASSLAND_GOOD_THREE			"Potatoes"
TERRAIN_GRASSLAND_GOOD_FOUR			"Pavot"
TERRAIN_HILL_GOOD_THREE				"Uranium"
TERRAIN_HILL_GOOD_FOUR				"Olives"
TERRAIN_JUNGLE_GOOD_THREE			"Bananas"
TERRAIN_JUNGLE_GOOD_FOUR			"Sucre"
TERRAIN_PLAINS_GOOD_THREE			"Wheat"
TERRAIN_PLAINS_GOOD_FOUR			"Buffalo"
TERRAIN_SWAMP_GOOD_TWO				"Rice"
TERRAIN_SWAMP_GOOD_THREE			"Cilli"
TERRAIN_SWAMP_GOOD_FOUR				"Peat"
TERRAIN_TUNDRA_GOOD_TWO				"Pétrole"
TERRAIN_TUNDRA_GOOD_THREE			"Caribou"
TERRAIN_TUNDRA_GOOD_FOUR			"Caribou"
TERRAIN_WATER_SHALLOW_GOOD_THREE		"Salmon"
TERRAIN_WATER_SHALLOW_GOOD_FOUR			"Lobster"
TERRAIN_WATER_DEEP_GOOD_THREE			"Tuna"
TERRAIN_WATER_DEEP_GOOD_FOUR			"Calmar géant"
TERRAIN_WATER_BEACH_GOOD_THREE			"Dye"
TERRAIN_WATER_BEACH_GOOD_FOUR			"Perles"
TERRAIN_WATER_SHELF_GOOD_THREE			"Dye"
TERRAIN_WATER_SHELF_GOOD_FOUR			"Perles"
#TERRAIN_DUMMY_GOOD				"Babiole"
TERRAIN_BROWN_HILL_GOOD_ONE			"Copper"
TERRAIN_BROWN_HILL_GOOD_TWO			"Silver"
TERRAIN_BROWN_MOUNTAIN_GOOD_ONE			"Iron Ore"
TERRAIN_BROWN_MOUNTAIN_GOOD_TWO			"Silver"
TERRAIN_WHITE_HILL_GOOD_ONE			"Sapphires"
TERRAIN_WHITE_HILL_GOOD_TWO			"Emeraudes"

#### CONCEPT STRINGS ####
#CONCEPT_DIAMONDS				"Diamants"
#CONCEPT_RUBIES					"Rubis"
#CONCEPT_OIL					"Pétrole"
#CONCEPT_BEAVER					"Castor"
#CONCEPT_TOBACCO				"Tabac"
#CONCEPT_POPPIES				"Pavot"
#CONCEPT_COFFEE					"Café"
#CONCEPT_COCOA					"Raisin"
#CONCEPT_SUGAR					"Sucre"
#CONCEPT_JADE					"Jade"
#CONCEPT_ELEPHANT				"Eléphant"
#CONCEPT_ALLIGATOR				"Alligator"
#CONCEPT_CARIBOU				"Caribou"
#CONCEPT_CRABS					"Crabe"
#CONCEPT_PEARLS					"Perles"
#CONCEPT_WHALES					"Baleine"
#CONCEPT_GIANT_SQUID				"Calmar géant"
#CONCEPT_WORMHOLE				"Faille spatio-temp."
#CONCEPT_ATTACK_ENEMY				"Attaquer ennemi"
#CONCEPT_CAPTURE_CITY				"000"
#CONCEPT_CEASE_FIRE				"Traité de paix"
#CONCEPT_CIV_POINTS				"Bonus d'empire"
#CONCEPT_C_FIELD				"Champ de confinement"
#CONCEPT_DEMANDS				"Ordre"
#CONCEPT_ECD					"SCE"
#CONCEPT_ECO_PACT				"Ecopacte"
#CONCEPT_ENTERTAINER				"Comédien"
#CONCEPT_EXCHANGES				"Echange"
#CONCEPT_E_TANK					"Réservoir d'embryon"
#CONCEPT_GIFTS					"Dons"
#CONCEPT_G_SPLICER				"Mixeur génétique"
#CONCEPT_INCITE					"Encourager"
#CONCEPT_LARORER				"Ouvrier"
#CONCEPT_LEAVE_MY_LANDS				"Quitter le territoire"
#CONCEPT_MAINTENANCE_COST			"Coût de maintenance"
#CONCEPT_MERCHANT				"Marchand"
#CONCEPT_MONUMENT_SCREEN			"Ecran de monuments"
#CONCEPT_NO_PIRACY				"Pas d'acte de piraterie"
#CONCEPT_REDUCE_POLLUTION			"Réduire la pollution"
#CONCEPT_RUSTLE					"r77"
#CONCEPT_SCIENTIST				"Chercheur"
#CONCEPT_SPACE_COLONIES				"Colonie spatiale"
#CONCEPT_STOP_TRADE				"Interrompre rel. comm."
#CONCEPT_TRADE_UNITS				"Unités furtives"
#CONCEPT_X_LAB					"Labo Xénoformes"
CONCEPT_ACTIVE_DEFENSE				"Défense active"
CONCEPT_ADVANCES				"Progrès"
CONCEPT_ALLIANCE				"Alliance"
CONCEPT_ANCIENT_AGE				"Antiquité"
CONCEPT_ATROCITY				"Atrocité"
CONCEPT_BARBARIANS				"Barbares"
CONCEPT_CAPITALIZATION				"Capitalisation"
CONCEPT_CITY					"Ville"
CONCEPT_CLASSIC_AGE				"Ere classique"
CONCEPT_COMMERCE				"Commerce"
CONCEPT_COMPUTER_AGE				"Ere de l'information"
CONCEPT_CRIME					"Criminalité"
CONCEPT_DEFENSE					"Défense"
CONCEPT_DIAMOND_AGE				"Ere du diamant"
CONCEPT_DIPLOMACY				"Diplomatie"
CONCEPT_DISBAND_CITY				"Désassembler ville"
CONCEPT_EMBARGO					"Embargo"
CONCEPT_EMPIRE_SIZE				"Taille de l'empire"
CONCEPT_FOOD					"Nourriture"
CONCEPT_FUEL					"Carburant"
CONCEPT_FUTURE_AGE				"Le futur"
CONCEPT_GENETIC_AGE				"Ere génétique"
CONCEPT_GOLD					"Or"
CONCEPT_GOODS					"Marchandises"
CONCEPT_GOVERNMENTS				"Gouvernement"
