# Rubies #0
   HappyInc 1
   Probability 0.25
   Icon ICON_GOOD_FOREST_FOUR
}

# Cotton/Flax #12
TERRAIN_GRASSLAND_GOOD_ONE {
   SpriteID 5
   Sound SOUND_ID_COTTON
   Gold 5
   Food 0
   Production 0
   TradeProduction 5
   Probability 0.25
   AvailableAdvance ADVANCE_AGRICULTURAL_REVOLUTION
   Icon ICON_GOOD_GRASSLAND_ONE
}

# Tobacco #13
TERRAIN_GRASSLAND_GOOD_TWO {
   SpriteID 21
   Sound SOUND_ID_TOBACCO
   Gold 10
   Food 0
   Production 0
   TradeScience 5
   Probability 0.25
   HappyInc 1
   AvailableAdvance ADVANCE_AGRICULTURAL_REVOLUTION 
   Icon ICON_GOOD_GRASSLAND_TWO
}

# Potatoes #14
TERRAIN_GRASSLAND_GOOD_THREE {
  SpriteID 44
   Sound SOUND_ID_POTATOES
   Gold 5
   Food 15
   Production 0
   Probability 0.25
   Icon ICON_GOOD_GRASSLAND_THREE
}

# Poppies #15
TERRAIN_GRASSLAND_GOOD_FOUR {
   SpriteID 59
   Sound SOUND_ID_POPPIES
   Gold 15
   Food 0
   Production 0
   Probability 0.25
   EfficiencyOrCrime -0.10
   AvailableAdvance ADVANCE_MEDICINE
   Icon ICON_GOOD_GRASSLAND_FOUR
}

# Coffee #16
TERRAIN_HILL_GOOD_ONE {
   SpriteID 4
   Sound SOUND_ID_COFFEE
   Gold 5
   Food 0
   Production 0
   TradeScience 10
   Probability 0.25
   Icon ICON_GOOD_HILL_ONE
}

# Grapes #17
TERRAIN_HILL_GOOD_TWO {
   SpriteID 12
   Sound SOUND_ID_GRAPES
   Gold 5
   Food 0
   Production 0
   TradeFood 5
   Probability 0.25
   AvailableAdvance ADVANCE_AGRICULTURE
   Icon ICON_GOOD_HILL_TWO
}

# Uranium #18
TERRAIN_HILL_GOOD_THREE {
   SpriteID 41
   Sound SOUND_ID_URANIUM
   Gold 5
   Food 0
   Production 15
   Probability 0.25
   AvailableAdvance ADVANCE_NUCLEAR_POWER
   Icon ICON_GOOD_HILL_THREE
}

# Olives #19
TERRAIN_HILL_GOOD_FOUR {
   SpriteID 35
   Sound SOUND_ID_OLIVES
   Gold 5
   Food 0
   Production 0
   TradeFood 5
   Probability 0.25
   Icon ICON_GOOD_HILL_FOUR
}

# Medicinal Herbs #20
TERRAIN_JUNGLE_GOOD_ONE {
   SpriteID 15
   Sound SOUND_ID_SUGAR
   Gold 15
   Food 0
   Production 0
   Probability 0.25
   EfficiencyOrCrime -0.10
   AvailableAdvance ADVANCE_MEDICINE
   Icon ICON_GOOD_JUNGLE_ONE
}

# Jade #21
TERRAIN_JUNGLE_GOOD_TWO {
   SpriteID 14
   Sound SOUND_ID_JADE
   Gold 10
   Food 0
   Production 0
   Probability 0.25
   Icon ICON_GOOD_JUNGLE_TWO
}

# Banannas #22
TERRAIN_JUNGLE_GOOD_THREE {
   SpriteID 25
   Sound SOUND_ID_BANANAS
   Gold 5
   Food 0
   Production 0
   Probability 0.25
   TradeFood 10
   Icon ICON_GOOD_JUNGLE_THREE
}

# Sugar #23
TERRAIN_JUNGLE_GOOD_FOUR {
   SpriteID 60
   Sound SOUND_ID_SUGAR
   Gold 10
   Food 0
   Production 0
   Probability 0.25
   HappyInc 1
   Tradefood 5
   AvailableAdvance ADVANCE_AGRICULTURAL_REVOLUTION 
   Icon ICON_GOOD_JUNGLE_FOUR
}

# Tea #24
TERRAIN_MOUNTAIN_GOOD_ONE {
   SpriteID 20
   Sound SOUND_ID_TEA
   Gold 5
   Food 0
   Production 0
   Probability 0.25
   happyInc 1
   TradeScience 5
   Icon ICON_GOOD_MOUNTAIN_ONE
}

# Emeralds #25
TERRAIN_MOUNTAIN_GOOD_TWO {
   SpriteID 9
   Sound SOUND_ID_EMERALDS
   Gold 15
   Food 0
   Production 0
   Probability 0.25
   HappyInc 1
   Icon ICON_GOOD_MOUNTAIN_TWO
   GLHidden
}

# Coal #26
TERRAIN_MOUNTAIN_GOOD_THREE {
   SpriteID 30
   Sound SOUND_ID_COAL
   Gold 5
   Food 0
   Production 0
   Probability 0.25
   TradeProduction 20
   AvailableAdvance ADVANCE_INDUSTRIAL_REVOLUTION 
   Icon ICON_GOOD_MOUNTAIN_THREE
}

# Gold #27
TERRAIN_MOUNTAIN_GOOD_FOUR {
   SpriteID 31
   Sound SOUND_ID_GOLD
   Gold 15
   Food 0
   Production 5
   Probability 0.25
   TradeGold 15
   Icon ICON_GOOD_MOUNTAIN_FOUR
}

# Spices #28
TERRAIN_PLAINS_GOOD_ONE {
   SpriteID 19
   Sound SOUND_ID_SPICES
   Gold 15
   Food 5
   Production 0
   Probability 0.25
   HappyInc 1
   AvailableAdvance ADVANCE_AGRICULTURAL_REVOLUTION
   Icon ICON_GOOD_PLAINS_ONE
}

# Elephant #29
TERRAIN_PLAINS_GOOD_TWO {
   SpriteID 8
   Sound SOUND_ID_ELEPHANT
   Gold 10
   Food 20
   Production 0
   Probability 0.25
   Icon ICON_GOOD_PLAINS_TWO
}
# Wheat #30
TERRAIN_PLAINS_GOOD_THREE {
   SpriteID 54
   Sound SOUND_ID_WHEAT
   Gold 5
   Food 0
   Production 0
   Probability 0.25
   TradeFood 20
   AvailableAdvance ADVANCE_AGRICULTURAL_REVOLUTION
   Icon ICON_GOOD_PLAINS_THREE
}

# Buffalo #31
TERRAIN_PLAINS_GOOD_FOUR {
   SpriteID 53
   Sound SOUND_ID_BUFFALO
   Gold 5
   Food 5
   Production 0
   Probability 0.25
   TradeFood 5
   Icon ICON_GOOD_PLAINS_FOUR
}

# Alligator #32
TERRAIN_SWAMP_GOOD_ONE {
   SpriteID 1
   Sound SOUND_ID_ALLIGATOR
   Gold 5
   Food 5
   Production 0
   Probability 0.25
   Icon ICON_GOOD_SWAMP_ONE
}

# Rice #33
TERRAIN_SWAMP_GOOD_TWO {
   SpriteID 52
   Sound SOUND_ID_RICE
   Gold 5
   Food 0
   Production 0
   Probability 0.25
   TradeFood 15
   AvailableAdvance ADVANCE_AGRICULTURE
   Icon ICON_GOOD_SWAMP_TWO
}

# Chilli #34
TERRAIN_SWAMP_GOOD_THREE {
   SpriteID 43
   Sound SOUND_ID_CHILLI
   Gold 5
   Food 5
   Production 0
   Probability 0.25
   HappyInc 1
   Icon ICON_GOOD_SWAMP_THREE
}

# Peat #35
TERRAIN_SWAMP_GOOD_FOUR {
   SpriteID 47
   Sound SOUND_ID_PEAT
   Gold 5
   Food 0
   Production 10
   Probability 0.25
   Icon ICON_GOOD_SWAMP_FOUR
}

# Caribou #36
TERRAIN_TUNDRA_GOOD_ONE {
   SpriteID 3
   Sound SOUND_ID_CARIBOU
   Gold 5
   Food 10
   Production 5
   Probability 0.5
   Icon ICON_GOOD_TUNDRA_ONE
}

# Oil
#TERRAIN_TUNDRA_GOOD_TWO {
#   SpriteID 16
#   Sound SOUND_ID_OIL
#   Gold 1
#   Food 10
#   Production 10
#   Probability 0.25
#   Icon ICON_GOOD_TUNDRA_TWO
#}

# Caribou
#TERRAIN_TUNDRA_GOOD_THREE {
#   SpriteID 3
#   Sound SOUND_ID_CARIBOU
#   Gold 1
#   Food 10
#   Production 10
#   Probability 0.25
#   Icon ICON_GOOD_TUNDRA_THREE
#}

# Caribou
#TERRAIN_TUNDRA_GOOD_FOUR {
#   SpriteID 3
#   Sound SOUND_ID_CARIBOU
#   Gold 1
#   Food 10
#   Production 10
#   Probability 0.25
#   Icon ICON_GOOD_TUNDRA_FOUR
#}

# Whales #37
TERRAIN_WATER_DEEP_GOOD_ONE {
   SpriteID 22
   Sound SOUND_ID_WHALES
   Gold 5
   Food 10
   Production 10
   Probability 0.3
   AvailableAdvance ADVANCE_HULL_MAKING
   Icon ICON_GOOD_DEEP_WATER_ONE
}

# Giant Squid #38
TERRAIN_WATER_DEEP_GOOD_TWO {
   SpriteID 10
   Sound SOUND_ID_GIANT_SQUID
   Gold 5
   Food 20
   Production 0
   Probability 0.2
   AvailableAdvance ADVANCE_OCEAN_FARING
   Icon ICON_GOOD_DEEP_WATER_TWO
}

# Tuna #39
TERRAIN_WATER_DEEP_GOOD_THREE {
   SpriteID 51
   Sound SOUND_ID_TUNA
   Gold 5
   Food 0
   Production 0
   Probability 0.5
   TradeFood 15
   AvailableAdvance ADVANCE_SHIP_BUILDING
   Icon ICON_GOOD_DEEP_WATER_THREE
}

# Giant Squid
#TERRAIN_WATER_DEEP_GOOD_FOUR {
#   SpriteID 10
#   Sound SOUND_ID_GIANT_SQUID
#   Gold 1
#   Food 10
#   Production 10
#   Probability 0.25
#   Icon ICON_GOOD_DEEP_WATER_FOUR
#}

# Crabs #40
TERRAIN_WATER_SHALLOW_GOOD_ONE {
   SpriteID 6
   Sound SOUND_ID_CRABS
   Gold 5
   Food 10
   Production 10
   Probability 0.25
   Icon ICON_GOOD_SHALLOW_WATER_ONE
}

# Pearls #41
TERRAIN_WATER_SHALLOW_GOOD_TWO {
   SpriteID 17
   Sound SOUND_ID_PEARLS
   Gold 5
   Food 5
   Production 0
   Probability 0.25
   Icon ICON_GOOD_SHALLOW_WATER_TWO
}

# Salmon #42
TERRAIN_WATER_SHALLOW_GOOD_THREE {
   SpriteID 37
   Sound SOUND_ID_SALMON
   Gold 5
   Food 15
   Production 0
   Probability 0.25
   Icon ICON_GOOD_SHALLOW_WATER_THREE
}

# Lobster #43
TERRAIN_WATER_SHALLOW_GOOD_FOUR {
   SpriteID 38
   Sound SOUND_ID_LOBSTER
   Gold 5
   Food 10
   Production 0
   Probability 0.25
   Icon ICON_GOOD_SHALLOW_WATER_FOUR
}

# Copper #44
TERRAIN_BROWN_HILL_GOOD_ONE {
   SpriteID 26
   Sound SOUND_ID_COPPER
   Gold 5
   Food 0
   Production 15
   Probability 0.3
   AvailableAdvance ADVANCE_BRONZE_WORKING
   Icon ICON_GOOD_BROWN_HILL_ONE
}

# Silver #45
TERRAIN_BROWN_HILL_GOOD_TWO {
   SpriteID 33
   Sound SOUND_ID_SILVER
   Gold 10
   Food 0
   Production 0
   Probability 0.2
   Icon ICON_GOOD_BROWN_HILL_TWO
   GLHidden
}

# Crabs
#TERRAIN_BROWN_HILL_GOOD_THREE {
#   SpriteID 6
#   Sound SOUND_ID_CRABS
#   Gold 1
#   Food 10
#   Production 10
#   Probability 0.25
#   Icon ICON_GOOD_BROWN_HILL_THREE
#}

# Pearls
#TERRAIN_BROWN_HILL_GOOD_FOUR {
#   SpriteID 17
#   Sound SOUND_ID_PEARLS
#   Gold 1
#   Food 10
#   Production 10
#   Probability 0.25
#   Icon ICON_GOOD_BROWN_HILL_FOUR
#}


# Crabs #46
TERRAIN_WATER_BEACH_GOOD_ONE {
   SpriteID 6
   Sound SOUND_ID_CRABS
   Gold 5
   Food 10
   Production 0
   Probability 0.2
   Icon ICON_GOOD_WATER_BEACH_ONE
   GLHidden
}

# Fish #47
TERRAIN_WATER_BEACH_GOOD_TWO {
   SpriteID 36
   Sound SOUND_ID_FISH
   Gold 5
   Food 0
   Production 0
   Probability 0.4
   TradeFood 15
   AvailableAdvance ADVANCE_SHIP_BUILDING
   Icon ICON_GOOD_WATER_BEACH_TWO
}

# Dye #48
TERRAIN_WATER_BEACH_GOOD_THREE {
   SpriteID 61
   Sound SOUND_ID_GLASS
   Gold 5
   Food 0
   Production 10
   Probability 0.4
   HappyInc 1
   Icon ICON_GOOD_WATER_BEACH_THREE
}

# Pearls
#TERRAIN_WATER_BEACH_GOOD_FOUR {
#  SpriteID 17
#  Sound SOUND_ID_PEARLS
#   Gold 1
#   Food 10
#   Production 10
#   Probability 0.25
#   Icon ICON_GOOD_WATER_BEACH_FOUR
#}

# Iron Ore #49
TERRAIN_BROWN_MOUNTAIN_GOOD_ONE {
   SpriteID 32
   Sound SOUND_ID_IRON_ORE
   Gold 5
   Food 0
   Production 0
   Probability 0.7
   TradeProduction 20
   AvailableAdvance ADVANCE_IRON_WORKING
   Icon ICON_GOOD_BROWN_MOUNTAIN_ONE
}

# Silver #50
TERRAIN_BROWN_MOUNTAIN_GOOD_TWO {
   SpriteID 33
   Sound SOUND_ID_SILVER
   Gold 10
   Food 0
   Production 0
   Probability 0.3
   TradeGold 10
   AvailableAdvance ADVANCE_IRON_WORKING
   Icon ICON_GOOD_BROWN_MOUNTAIN_TWO
}

# Crabs
#TERRAIN_BROWN_MOUNTAIN_GOOD_THREE {
#   SpriteID 6
#   Sound SOUND_ID_CRABS
#   Gold 1
#   Food 10
#   Production 10
#   Probability 0.25
#   Icon ICON_GOOD_BROWN_MOUNTAIN_THREE
#}

# Pearls
#TERRAIN_BROWN_MOUNTAIN_GOOD_FOUR {
#   SpriteID 17
#   Sound SOUND_ID_PEARLS
#   Gold 1
#   Food 10
#   Production 10
#   Probability 0.25
#   Icon ICON_GOOD_BROWN_MOUNTAIN_FOUR
#}

# Sapphires #51
TERRAIN_WHITE_HILL_GOOD_ONE {
   SpriteID 28
   Sound SOUND_ID_SAPPHIRES
   Gold 15
   Food 0
   Production 0
   Probability 0.25
   HappyInc 1
   Icon ICON_GOOD_WHITE_HILL_ONE
}

# Emeralds #52
TERRAIN_WHITE_HILL_GOOD_TWO {
   SpriteID 29
   Sound SOUND_ID_EMERALS
   Gold 15
   Food 0
   Production 0
   Probability 0.75
   HappyInc 1
   Icon ICON_GOOD_WHITE_HILL_TWO
   GLHidden
}

# Crabs
#TERRAIN_WHITE_HILL_GOOD_THREE {
#   SpriteID 6
#   Sound SOUND_ID_CRABS
#   Gold 1
#   Food 10
#   Production 10
#   Probability 0.25
#   Icon ICON_GOOD_WHITE_HILL_THREE
#}

# Pearls
#TERRAIN_WHITE_HILL_GOOD_FOUR {
#   SpriteID 17
#   Sound SOUND_ID_PEARLS
#   Gold 1
#   Food 10
#   Production 10
#   Probability 0.25
#   Icon ICON_GOOD_WHITE_HILL_FOUR
#}

# Seals #53
TERRAIN_GLACIER_GOOD_ONE {
   SpriteID 34
   Sound SOUND_ID_SEALS
   Gold 5
   Food 5
   Production 10
   Probability 0.5
   Icon ICON_GOOD_GLACIER_ONE
}

# Walrus #54
TERRAIN_GLACIER_GOOD_TWO {
   SpriteID 42
   Sound SOUND_ID_WALRUS
   Gold 5
   Food 10
   Production 5
   Probability 0.5
   Icon ICON_GOOD_GLACIER_TWO
}

# Crabs
#TERRAIN_GLACIER_GOOD_THREE {
#   SpriteID 23
#   Sound SOUND_ID_CRABS
#   Gold 0
#   Food 10
#   Production 10
#   Probability 0
#   Icon ICON_GOOD_GLACIER_THREE
#}

# Pearls
#TERRAIN_GLACIER_GOOD_FOUR {
#   SpriteID 24
#   Sound SOUND_ID_PEARLS
#   Gold -1
#   Food 10
#   Production 10
#   Probability 0
#   Icon ICON_GOOD_GLACIER_FOUR
#}

# Perls
#TERRAIN_WATER_SHELF_GOOD_ONE {
#   SpriteID 17
#   Sound SOUND_ID_CRABS
#   Gold 1
#   Food 10
#   Production 10
#   Probability 0.25
#   Icon ICON_GOOD_GLACIER_ONE
#}

# Oil
#TERRAIN_WATER_SHELF_GOOD_TWO {
#   SpriteID 16
#   Sound SOUND_ID_PEARLS
#   Gold 1
#   Food 10
#   Production 10
#   Probability 0.25
#   Icon ICON_GOOD_GLACIER_TWO
#}

# Crabs
#TERRAIN_WATER_SHELF_GOOD_THREE {
#   SpriteID 6
#   Sound SOUND_ID_CRABS
#   Gold 1
#   Food 10
#   Production 10
#   Probability 0.25
#   Icon ICON_GOOD_GLACIER_THREE
#}

# Pearls
#TERRAIN_WATER_SHELF_GOOD_FOUR {
#   SpriteID 17
#   Sound SOUND_ID_PEARLS
#   Gold 1
#   Food 10
#   Production 10
#   Probability 0.25
#   Icon ICON_GOOD_GLACIER_FOUR
#}

#Silk
#Tea2
#Lemons
#Peppers
#Potatoes#
#Straberries
#Tomatoes
#Flax x
#Tomatoes 45

# Horse
TERRAIN_GRASSLAND_GOOD_HORSE {
 SpriteID 162
 Sound SOUND_ID_BUFFALO
 Gold 5
 Food 0
 Production 0
 Probability 0.25
 AvailableAdvance ADVANCE_HORSE_RIDING
 Icon ICON_GOOD_PLAINS_FOUR
}
