#### Message Strings for the Magnificent Samurai scenario ####


#### Button text

SS_BUTTON_OK 	"确定"
SS_BALLOON_B		"你靠近热气球之时，这个男人用一种奇怪的腔调大声吼道，「注意！我是火焰魔术师法格斯塔夫！别再靠近，不然我可是要用恐怖的力量把你烧成灰烬！」"
SS_BALLOON_C		"接下来他伸手摸了腰间的小袋子，然后朝地上丢了些泥土。突然火光一闪，从地面升起一道火焰。{action[0].text}你丝毫不为所动……"
SS_BALLOON_C_K		" 胜向后退了几步。"
SS_BALLOON_D		"「我可是见过火药的，假魔术师」，你说。「你这个热气球能飞吗？可以的话，我要你帮忙我离开这座岛屿。村民的生活都靠它了。」法格斯塔夫脱下他那奇怪的高圆帽，在承认之前抓了抓头。"
SS_BALLOON_E		"「喔亲爱的……那就上来吧！不过要注意武器别乱指，不然我们两个可要游上许久才能游上岸！」"
SS_BALLOON_END_A	"「我只能带你到这里了！」老外这样说道。「就像现在这样，你已经打断了我的行程。要是我无法及时回到英国，一切都是你的错！」你搞不太懂他到底在讲些什么，不过你对他的谢意丝毫没变，然后一跃离开了木篮。"  
SS_BALLOON_END_B	"你的双脚一接触到地面，热气球就直接升到天空中了。在高空中，法格斯塔夫侧着头向你挥手，不过他的帽子被一阵强风吹走，吹到了海里。热气球消失在云端之前，你隐约听到他说「该死的！我的帽子……」。"

# Chun Ling and Mountain Pass strings
SS_KAU_PI_A			"这里是叫做考埤的小村庄，村民熙来攘往的好不热闹。四处询问之后，您发现往南方原先马车能通过的隘口，被落石挡住了去路。村民正在努力清开隘口，但他们看来要到二月才能把路清开。"
SS_KAU_PI_B			"若您现在就想通过，那就要抛下座骑了。正常来说您应该不至于这样决定，不过您的任务却很急迫。您想弃马，改采步行吗？"
SS_KAU_PI_B2		"既然您本来就没有骑马，所以可以直接步行过山。"
SS_KAU_PI_RETURN	"考埤的村民忙着清开隘口。他们还得花上{passClear}天才能完成。"
SS_KAU_PI_PASS_CLEAR	"考埤村现在一片静谧。所有人在清开隘口之后八成都去休息了。"
SS_KAU_PI_REST		"您在山村考埤落脚要了客热食，再继续旅程。"
SS_SARDO_A			"您在萨多村落脚要了客热食。村民亲切地招待您……太亲切了点。您料到他们一定有什么请求。您很有耐心的等待，接受他们的殷勤招待，最后，在太阳西沉许久之后，村中的长老表情沉重地走近您来。"
SS_SARDO_B			"他告诉你西方的岛上有一群叫做莫拉鲁殭尸，会变化外形的恶魔出没。村民不断靠近，但有一群不信邪的年轻人冒险到西方岛上去了，自此已有几个月没有回来了。"
SS_SARDO_C			"几个星期前，另一个武士来到萨多，他们请求他前去拯救两个男孩。不过他也没有回来。或许他所办不到的，你能达成……"
SS_SARDO_DONE_A		"村民聚集起来，所有人同时高声询问你。你举起了双手要村民安静，然后告诉村民你跟莫拉鲁殭尸间的一番恶斗。当你告诉他们发生在那些年轻人身上的事时，有好几个村民忍不住流下泪来，不过当他们听到那些个恶魔不会再为害之后，觉得如释重负。"
SS_SARDO_DONE_B		"在你说完之后，举办了一场宴会。您渡过了极为欢乐的庆祝之夜，暂时忘却了身上所背负的重责大任。第二天一早，您冷静清醒地向村民道别，动身离开。"
SS_SARDO_REST		"您在萨多中歇息。村民很友善，给了您一间免费的房间和一顿热食。您觉得精力完全恢复而再度上路了。"
SS_KYONSHI			"这座村庄看来没人居住了。"
SS_KYONSHI2			"这座村庄还是没人住，动身离开吧！"
SS_KYONSHI_A		"一进入村庄，胜站出来说，「这是我的家乡。你或许会疑惑为什么我之前没有告诉过你。理由很快你就会明白了。」你们两人继续沿路走下去，一直走到村庄中央。村庄广场看来很久没来来过了。在你四周的小屋静悄悄的，看来空无一人。"
SS_KYONSHI_A_NO_K	"进入村庄，里面没有任何人影，村庄四周的小屋也极为宁静，似乎无人在内。突然间，一群有长毛巨爪的怪兽从门内冲出，瞬间将你团团围住，忽然有人重击你的后脑杓，你的眼前一片漆黑...。"
SS_KYONSHI_B		"突然间，门板爆裂，冲出一群有长毛巨爪的怪兽，你发觉中了圈套，回头瞪视胜，他先是邪笑了一会儿，接着长出长毛、巨爪和长牙。此时怪兽们已将你团团围住，你的后脑突然受到一阵重击..."
SS_KYONSHI_C		"你睁开了双眼时，烈日当空，使你浑身灼热，你的双手被反绑在铁柱上，你虽然试着挣脱，但是到最后还是放弃了。休息一阵子后，你渐渐回复了神智，视野不再模糊，不过回神之后，你方才被重击的伤口开始疼痛。你发现自己位于村庄的广场中。"
SS_KYONSHI_D		"你发现胜也被绑着，他尚未清醒，于是你明白他并未背叛你，你叫唤他的名字，直到他清醒过来。你们两人被绑了好一阵子，并未见到任何动静。"
SS_KYONSHI_E		"你听到细微的脚步声朝你过来，但是你无法转身去看是谁走来。绑在你手上的绳子突然被划开，你的双手松开，你随即转过身来，准备面对怪兽的攻击，然而在你眼前的却是一个穿著铠甲的女孩，你心想，这个扮作男性打扮的女孩，一定是村民们派来救你的武士。"
SS_KYONSHI_F		"女武士要你别发出声音，并带领你离开村庄，前往一个隐密的山洞，好取回你的装备。她的名字叫作秋玲，在她说出名字之前，她告诉我，她曾经走进一个沙漠中的村落，刚好见到莫拉鲁殭尸正在举行满月仪式，打算活祭两名男童。"
SS_KYONSHI_G		"那时她找不出方法打断活祭仪式，因为她敌不过村落里的怪兽群。于是她便潜伏到村落旁，将落单的怪兽一一杀死，解决了半数左右的怪兽，由于其余的怪兽仍聚集在仪式当中，她无法一一下手。她表示，要是我能与她一块合作，我们可以打败剩下的怪兽。"

# Gonza and Chikamatsu strings
SS_GONZA_A			"酒店外，三名手持长枪的武士围攻着一名战士，见到你的到来，三名武士虽然感到有点意外，不过他们仍然继续围攻战士，武士们以流畅迅速的动作，将长枪刺入了战士的背部，并留下很深的伤口。"
SS_GONZA_B			"受了重伤的持枪战士虽然已经站不稳了，不过他仍来得及挡住武士刺向他的长枪。接着他继续采取守势并回头望着你，你回答道：「我和他们不是一伙的，我没有要攻击你的意思」，并表示想邀请他成为你的战友。"
SS_GONZA_C			"长枪战士权座开始自我介绍，并解释为何会落得如此地步．原来他想把女儿嫁给城主－文乐的近松，好换得较高的地位，然而城主先前曾和家臣之妹订有婚约，当家臣听到这个消息时，便处心积虑地要解决权座。"
SS_GONZA_D			"这名家臣等到近松外猎时，便做好伪证以「亵渎城主夫人」之名定罪于权座，使得权座开始逃亡，路途中不断有士兵追捕着。权座打算逃到城主狩猎的宿屋洗刷自己的清白，宿屋位于西南方的海岸。听了权座说完之后，你同意要帮助他。"
SS_AMBUSH_GONZA		"武士们围了上来，挥舞手中的大刀，打算取权座的性命，在一阵辱骂后，杀了过来。"
SS_CHIKAMATSU_A		"此时，隐然有王者之风的近松城主从宿屋走了出来，身边跟有两名卫士，他走近权座并且相互拥抱。近松笑道：「岳父大人，什么风把你给吹来？」权座便将被陷害的事一五一十地告诉城主，近松的表情显得有点不悦。"
SS_CHIKAMATSU_B		"权座和城主提及你邀他同作战友的事，于是近松朝你点头示意，并回身与两名卫士说话。谈话结束之后，两名卫士即刻朝北方疾行而去。「我已派了茶吉和矢野，回去处理问题。」近松说道。"
SS_CHIKAMATSU_C		"「我的武士不会再打扰你们了，不过这趟路程，我将与你们同行，你不介意多我这把剑随行吧？」"
SS_CHIKAMATSU_A_NO_G	"当你趋身前进时，一名相貌堂堂、隐然有王者之风的人物从宿屋里走了出来，身后跟着两名卫士，你猜想他一定是近松城主。你同他说了关于权座的事，近松听闻后，表情显得有些凝重，并转身与他的两名卫士交谈。"
SS_CHIKAMATSU_B_NO_G	"对话结束之后，卫士突然转身朝北方疾行而去。「我刚刚派了茶吉和矢野去……处理这个问题。为了补偿权座的损失，我会与你同行。你不介意我随行吧？」"
SS_CHIKAMATSU_HORSE	"近松给了您他多出来的马。您欣然接受了。您不曾走过这样长的路，双脚早已酸痛不堪，因此，他送给你这份礼物，让你十分感激。"

# J-chan strings
SS_BUNNY		"走着走着，你发现到路上有野兔的脚印朝东边而去，从脚印的深浅看来，这些野兔一定块头不小，真是罕见。"
SS_BUNNY2		"越来越多的肥兔脚印，朝东南方向而去..."
SS_BUNNY3		"你看见许多肥兔脚印朝东南而去，恰好你仍因刚才吃下兔肉而肚子不舒服..."
SS_JCHAN_A		"追踪肥兔脚印数日后，你终于见到了肥兔之母，它是只可爱的小黑兔，身上挂着些角状饰品，看来雍容华贵。你悄悄地接近并一举抓住它，不过小黑兔轻易地跳出你的掌握，一溜烟地跑走了，你随即起身追赶，顺着它逃脱的方向，钻进树丛中。"
SS_JCHAN_B		"追了几分钟之后，那只装饰着角状物的奇怪兔子消失在温泉旁，兔子似乎跳进了不断冒泡的温泉中，你仔细留意了水面数分钟，并未发现兔子的踪影，「难不成兔子会游泳？」你这么忖度着。"
SS_JCHAN_C		"忽然一只湿褡褡的手臂勾住你的脖子，并以刀尖抵着你的喉结。「为何到这儿来？」一阵深沉的语调盘问着你，你保持镇静，简略地说出你的冒险经历。"
SS_JCHAN_D		"「虽然你做了不少好事，但是你吃了兔肉，这就是你的不幸」这名男子说着，「我放你一条生路，并陪你走一程，不过你必须宣誓不吃兔肉，并且不过问任何关于我的事。」没有选择余地的你，只好发誓不吃兔肉、不问他的来历。"
SS_JCHAN_E		"这名男子放开你，并开始介绍自己，他名叫杰桑。他的个头不高、肌肉发达，还有个不时扭动的蒜头鼻。赤裸的他从树洞拾起衣服，并穿了起来。你的心中满是关于他的疑问，但你已允诺不得过问。"

# Mimoyota and Star Road strings
SS_MIMIYOTA_A		"你见到一个老人在丛林中徘徊，你问他是否迷路了，他回答道：「我们所有人都迷了路，不过我有能力寻得正道，年轻人你行吗？」你并未回答这个问题，并给了他一颗饭团，他接下后随即狼吞虎咽，吃下了饭团。"
SS_MIMIYOTA_B		"你转身正要离去，不过这名老人伸出强壮的手臂搭在你的肩上，「我是御代田，你只把我当作一个无所事事的老人，但我也曾像你一样，是个年轻的武士，当我发现精神力量后，便放下了刀剑。」"
SS_MIMIYOTA_C		"你正要为你的偏见致歉时，老人突然打了个岔，说道：「我已看过你的旅程，并算出你会遇见我。我是星之道的管理者，能随时带你回七年村。不过你得先完成一些事。」此时的你想着「每件事似乎都会有个条件」。"
SS_MIMIYOTA_D		"「不久前，」御代田说着，「星之道被可怕的魔头雷斯渥布占领，单凭我一个人无法击败他，我的法术虽然胜过他，但拳脚上我打不过他。我们一起的话将能击败他，星之道就在东边的半岛上，我们走吧。」 "
SS_MIMIYOTA_HEAL	"御代田开始对石头施法，一段时间后，石头发出了骇人的光芒，不过御代田已是一副精神耗弱的样子，他拿起石头，从你和伙伴们的受伤部位上方通过，这些伤痛竟然不药而愈！"
SS_STAR_ROAD_A		"御代田挥了挥手，开启了星之道入口，踏入之后，七彩的光芒围绕在四周，直到所有东西都变成灰色与蓝色，接着四周一片漆黑，只剩头顶上的星星闪闪发光，你的意识越来越模糊，最后只依稀感觉自己倒在地面。"
SS_STAR_ROAD_B		"其中一颗星星越来越大，你正朝着那个方向飞去，穿越之后，视野全是一片白色，闭上眼睛仍感到白光，再次睁开时，你见到了鸟儿正飞翔于蓝色的天空，你知道已经直达星之道的另一端，御代田很高兴未弄湿你的裤子。"
SS_RESWOB			"你正走近星之道入口时，忽然一个巨人从入口后方走了出来，拦住你的去路，你从未见过这样的人种，他的身体像钢铁似的闪着光芒，目光如火焰一般，当他移动时，你将会听到尖锐的金属磨擦声，看来，这不是个好应付的对手..."
SS_STAR_ROAD		"星之道入口在此，但前方有看不见的障碍挡住了去路。"

# End game and Samurai Death string
SS_SHICHINEN_GREETING	"七年村民热情地迎接你的归来。在土匪来袭之前，你曾花了不少时间加强村庄的防御能力。时光流逝..."
SS_SHICHINEN_RUINED_A	"你进入了村庄后，发现村里已成了一片废墟，你为自己未能实时赶回而感到悔恨，不过你仍抱着一线希望，在废墟中找寻存活的人，你发现了一位受到惊吓的老妇人，从她口中得知，土匪来袭时，有位村民夸耀说，他早已雇了许多武士，并且他们随后就会来对抗土匪。"
SS_SHICHINEN_RUINED_B	"由于村民试图抵抗，引起土匪的不满，于是土匪放火烧了村子，将村民俘虏，并带回北方的岛上当作奴隶使用。"
SS_BANDIT_ATTACK	"土匪们已登上北岸，并正往这走来，打算要洗劫村庄。村民们祝你好运，便各自回家筑起护栏。"
SS_SHICHINEN_FLEE	"如果你不想对上土匪的话，你可以马上离去，不过这么做将会遗弃七年村村民，在他们最需要你的时候。"
SS_BANDITS_DEFEATED	"土匪们逃走之后，村民们松了一口气，不过你知道，事情还没结束，土匪头子并未在这次的攻击中出现，他一定还在北边的某个角落。"
SS_BANDIT_CARRACK	"杀死船主之后，你取得了土匪的船舰，土匪将无船可用。"
SS_BANDIT_LEADER	"土匪头子冷笑道：「先前派出的饭桶已被你杀害，这份耻辱我会从七年村的村民性命换回。」"
SS_LOSE_GAME		"遍体鳞伤的你，已无法在支持下去，无法再保护这个村庄。不过这场战役你已尽力，没有做出对不起大家的事，临死之前，你希望全村都能知道这件事。"
SS_LOSE_GAME2		"你向路人询问近日有无新消息，路人告诉你，日前有群土匪攻进七年村，放火烧了整个村子，并将残存的村民送到奴隶市场拍卖，岛上正为这件事惶惶不安。听了这个消息后，你知道自己的任务已经无法完成！"
SS_TIME_UP			"距离你答应要保护七年村的日子已届满一年，这段期间你并未赶回七年村保护村民，要是你能尽力赶回的话，也许能帮上他们。"
SS_WIN_GAME			"土匪头子跑了！你的任务已经完成！{action[0].text}"
SS_WIN_GAME2		"你成功地解救了村庄，村民们松了口气，不过他们没有举行庆典的心情，重建家园才是马上要做的事。"
SS_KATCHU_DROWNS	"胜遭海岛下沉引起的海流卷入海底而死，真是不幸！平时他总是在酒馆哀伤地喝着酒，淹死对他来说也许是件好事。"
SS_KATCHU_DIES		"胜死于战斗中！他那无所畏惧的精神，以及他对你的鼓励，你都铭记在心。至于他那五音不全的歌喉，就没人会怀念了。"
SS_CHUN_LING_DIES	"秋玲死了！她是个身手敏捷的战士，拥有百步穿杨的箭术，这也是她让人难以忘却的地方。"
SS_GONZA_DIES		"权座在战斗中死去！他是个武艺精湛的长枪手，人们将永远记住他。"
SS_CHIKAMATSU_DIES	"近松遭恶匪杀害！他与他的坐骑一同倒地，再也没起过身来。"
SS_JCHAN_DIES		"杰桑身负重伤倒地而亡。躺在地上的尸体像泄了气，只留下一套衣服，接着一只批着角饰的黑兔从头部跳了出来！并快速的消失在眼前。"
SS_MIMIYOTA_DIES	"御代田死了！失去了他的能力，你将无法开启星之道的入口，这使得你回不了七年村，无法完成最初约定的任务。"
SS_MIMIYOTA_DIES2	"御代田死了！失去了他的智能跟见识是很大的损失，但至少他死前还来得及打开星之道的入口，让您得以完成任务。"

#	The string of hyphens below represents the amount of text that will fit in a message box. The second line is for alert boxes.
#	 				 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# 					 -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

# Global, random and Tavern strings 
SS_BLANK			" "
SS_2MONTHS			"已经过了两个月，请继续努力，朝着你的目标前进。"
SS_4MONTHS			"已经过了四个月，保持决心与毅力，必能克服一切困难。"
SS_6MONTHS			"时间过得真快，打从你自七年村启程以来，已经过了六个月，顺利的话，那群威胁七年村的土匪，将会一一死在你的手中。"
SS_8MONTHS			"已经过了八个月，七年村村民热切盼望你的归来。"
SS_10MONTHS			"再两个月就是七年村的收割期，村民开始计划怎么迎接你的归来..."
SS_LEVEL_UP			"与<c:0,0,200>{unit[0].name}<e>的战斗获得经验值<c:0,0,200>{action[0].text}<e>。"
SS_LEVEL_DEFENSE	"防御力+5"
SS_LEVEL_ATTACK		"攻击力+5"
SS_LEVEL_MOVEMENT	"机动力+1"
SS_LEVEL_MAX		"<c:0,0,200>{unit[0].name}<e>已达本次旅程的上限。"
SS_HUT_EMPTY		"路途中见到一座屋舍，你敲了敲门，无人响应，不过你感觉到有人正盯着你..."
SS_AMBUSH1			"土匪从{action[0].text}跳了出来！"
SS_AMBUSH2			"你正独步走着，请多加提防，土匪随时会从{action[0].text}现身偷袭你！"
SS_AMBUSH3			"土匪从{action[0].text}跑了出来，将手执武器朝你砍来！"
SS_AMBUSH4			"「不同的日子遇到不同的土匪」，一群不友善的土匪从{action[0].text}杀了出来！"
SS_AMBUSH5			"你用餐突然被打断，一群土匪从{action[0].text}现身！"
SS_AMBUSH6			"{action[0].text}冒出一群土匪，正准备攻击睡眠中的你，好在你总是睁着眼睛睡觉。"
SS_AMBUSH_FOREST	"树林里"
SS_AMBUSH_PLAINS	"灌木丛后方"
SS_AMBUSH_GRASSLAND	"芒草后方"
SS_AMBUSH_SWAMP		"池塘的另一边"
SS_AMBUSH_JUNGLE	"丛林中"
SS_AMBUSH_DESERT	"仙人掌后方"
SS_AMBUSH_DUNES		"沙丘后方"
SS_AMBUSH_BEACH		"搁浅于海滩的鲸尸之后"
SS_AMBUSH_MOUNTAIN	"巨石后面"
SS_AMBUSH_TAVERN	"酒馆后面"

SS_TAVERN		"这里有间旅馆，您决定先在这里歇歇脚，解解渴，拂去一路在衣服上累积的尘土，再听些小道消息……"
# if Random number = 0, you get ambushed by brigands
SS_GOSSIP1		"你无意中听到{action[0].text}{action[1].text}戴着兽毛帽的人向{action[2].text}{action[3].text}吹嘘着杀了个会变身的恶魔的事。{action[1].text} 自吹自擂说那顶帽子是恶魔皮做的。不过由你看来，倒更像是兔子皮……"
SS_GOSSIP2		"{action[0].text}{action[1].text}和{action[2].text}{action[3].text}打了起来。{action[1].text}打胜了，请了输家一杯酒。 "
SS_GOSSIP3		"{action[0].text}{action[1].text}走上向来，建议你试试兔子排。厨房里一阵怪味飘过来，让你决定打死也不碰。"
SS_GOSSIP4		"忽然传来阵阵恶心的味道，引起客人一阵骚动，此时{action[0].text}{action[1].text}喊着「怪味是毒气呀！快跑！」，每人一听拔腿就跑，只有你发现那不是毒气，只不过是厨师手拙煮坏了巧克力汤。" 
SS_GOSSIP5		"{action[0].text}{action[1].text}说道，郊外有群可恶的独角兔，专门宰杀牧场牲畜，并吸食它们的温血。"
SS_GOSSIP6		"{action[0].text}{action[1].text}说道：「昨晚发现我的爱猪不幸惨死在猪圈中！」{action[0].text}{action[1].text}宣称，牧场主人们决定驱离这些可恶的东西，其中一名主人抱怨道：「这些作恶多端的野兔又来捣乱了！」"
SS_GOSSIP7_A	"「当天夜晚又冷又暗，像将军劳恩的摩耳老婆一样，」{action[0].text}{action[1].text}这么的告诉大家，「当我正架好木材准备起火时，我的同伴也是我的儿时好友加斗突然长出利爪与长牙，变成一只长毛怪兽并攻击我！...」"
SS_GOSSIP7_B	"{action[1].text}继续说道：「所幸平时我练有一身武艺，不过我那怪兽朋友变得越来越强壮，我想得使出我的致命双筷击败他。」{action[1].text}此时停了下来，并亮出一双棕色的旧筷子。"
SS_GOSSIP7_C	"听众无不发出「喔」和「啊」的惊叹声，{action[1].text}做了个结论，「当我把筷子刺入他的胸膛时，通常动物受到这种伤害应当会一命呜呼，然而他只是痛得不断哀号，并逃进森林里。之后我再也没见到怪兽，也没见到我的朋友加斗...。」"
SS_GOSSIP8		"酒馆里，人们正议论纷纷地讨论关于尾安室岛下沉的事情，{action[0].text}{action[1].text}告诉了你，海水不断淹没岛屿，是因为鱼贩们联合哄抬鱼价。"
SS_GOSSIP9		"{action[0].text}{action[1].text}站在箱子上哭着说：「除了自立、教育、酒、戏院、灌溉系统及道路，将军还给了我们什么？」不过没人理睬{action[1].text}在说些什么。"
SS_GOSSIP10		"你正把双脚抬起时，一个沙包从天外掉进酒馆，不偏不倚地砸到站在隔壁桌的{action[0].text}{action[1].text}，你从屋顶的破洞往外一看，见到一个热气球正飞过云端，并听到微弱的「抱歉」两字。"
SS_GOSSIP11		"{action[0].text}{action[1].text}提醒你，星之道能快速地前往岛内的各个地方，不过行前得要有个向导带路。"
SS_GOSSIP12		"「我原本没有丝毫恶意，」{action[0].text}{action[1].text}解释着，「只是开玩笑地建议怪老头御代田将财产全部交给我，怎知他一诅咒我会变成驴子，我就真的长出尾巴吃起草来，后来还被他骑在身上一路南行到丛林里。」"
SS_GOSSIP13		"{action[1].text}团体唱着吧台的流行歌：\n「午餐是鱼、晚餐是鱼、整个五月都吃鱼，全是\n湿软软的鱼，真是令人讨厌的鱼！\n只要一尾鱼就好，不想再吃更多鱼！真是令人讨厌的鱼！」\n歌词第二回同第一回，只是更大声、更凄苦..."
SS_GOSSIP14		"{action[1].text}团体唱着吧台的流行歌：\n「九十九个饭团在地板，\n九十九个饭团在地板，\n捡起一个往杯丢，\n九十八个饭团在地板...」"
SS_GOSSIP15		"{action[1].text}团体唱着吧台的流行歌：\n「午餐是面、晚餐是面、整个五月都吃面，把面\n倒掉，把面倒掉，我们要吃饭！\n米饭才好吃！我们不会把饭倒！别再吃面！别再端出面！」\n歌词第二回同第一回，只是更大声、更凄苦..."
SS_GOSSIP13_14_15	"你决定离开，不再听歌。"
SS_GOSSIP16		"你不经意地听到老和尚教导着{action[0].text}{action[1].text}说：「你想从我这儿学到东西，得先承认自己愚笨、低能和无知。」"
SS_GOSSIP17		"{action[0].text}{action[1].text}正哼着有关佳纱，也就是迷人的佳纱的低俗歌曲。"
SS_GOSSIP18		"一名小贩打算卖你几颗七彩奇蛋，小贩宣称奇蛋能孵出小黄鼠，这只黄鼠能射出光柱。即使他说的是事实，你还是无法想象世间有这玩意儿。"
SS_GOSSIP19		"你不经意地听到{action[0].text}{action[1].text}说道：「星之道已关闭！我想是因为御代田想独自享用，真是个贪得无厌的老秃驴。」"
SS_PERSON0		"水手"
SS_PERSON1		"酒馆女侍"
SS_PERSON2		"农人"
SS_PERSON3		"乞丐"
SS_PERSON4		"酒馆侍者"
SS_PERSON5		"贵族"
SS_PERSON6		"忍者"
SS_PERSON7		"战士"
SS_PERSON8		"少女"
SS_PERSON9		"艺妓"
SS_PERSON10		"傀儡师"
SS_PERSON11		"相扑力士"
SS_PERSON12		"歌舞伎"
SS_PERSON13		"僧人"
SS_PERSON14		"杂耍艺人"
SS_PERSON15		"女士"
