
#### Empire/Civilization Names (maximum of 64 Empires) ####


##### kjm 021699 - added - this goes into the investigate diplomacy screen
PERSONALITY_DESCRIPTION_BARBARIAN "野蛮"
BARBARIAN_CITY_7 "匈奴城"
BARBARIAN_CITY_8 "凯尔特城"
BARBARIAN_CITY_9 "北蛮城"
BARBARIAN_CITY_10 "高卢城"
BARBARIAN_CITY_11 "阿拉曼尼城"
BARBARIAN_CITY_12 "朱特城"
BARBARIAN_CITY_13 "盎格鲁城"
BARBARIAN_CITY_14 "萨克逊城"
BARBARIAN_CITY_15 "马克曼尼城"
BARBARIAN_CITY_16 "千路克城"
BARBARIAN_CITY_17 "法兰克城"
BARBARIAN_CITY_18 "条顿城"
BARBARIAN_CITY_19 "保加利亚城"
BARBARIAN_CITY_20 "阿拉门城"
BARBARIAN_CITY_21 "斯比安城"
BARBARIAN_CITY_22 "弗利然城"
BARBARIAN_CITY_23 "阿瓦尔城"
BARBARIAN_CITY_24 "马札儿城"
BARBARIAN_CITY_25 "格庇德城"
BARBARIAN_CITY_26 "亚兰城"
BARBARIAN_CITY_27 "鲁吉城"
BARBARIAN_CITY_28 "苏维城"
BARBARIAN_CITY_29 "伦巴城"
BARBARIAN_CITY_30 "图林根城"


GREEK "希腊人"

GREEK_LEADERM_NAME "亚历山大大帝"
GREEK_LEADERF_NAME "海伦"
GREEK_COUNTRY_NAME "希腊"
GREEK_SINGULAR "希腊人"
GREEK_PLURAL "希腊人"

GREEK_CITY_1 "雅典"
GREEK_CITY_2 "斯巴达"
GREEK_CITY_3 "科林斯"
GREEK_CITY_4 "奥林匹亚"
GREEK_CITY_5 "特洛伊"
GREEK_CITY_6 "德尔非"
GREEK_CITY_7 "阿哥斯"
GREEK_CITY_8 "罗兹岛"
GREEK_CITY_9 "迈锡尼"
GREEK_CITY_10 "派罗司"
GREEK_CITY_11 "克诺索斯"
GREEK_CITY_12 "拜占庭"
GREEK_CITY_13 "米利都"
GREEK_CITY_14 "迈加拉"
GREEK_CITY_15 "马拉松"
GREEK_CITY_16 "温泉关"
GREEK_CITY_17 "帖撒罗尼卡"
GREEK_CITY_18 "史塔吉拉"
GREEK_CITY_19 "阿那克索拉"
GREEK_CITY_20 "孔赛拉"
GREEK_CITY_21 "埃皮达鲁斯"
GREEK_CITY_22 "哈利卡纳苏斯"
GREEK_CITY_23 "保利狄亚"
GREEK_CITY_24 "泰耶阿"
GREEK_CITY_25 "米蒂利尼"
GREEK_CITY_26 "安菲波利斯"
GREEK_CITY_27 "以弗所"
GREEK_CITY_28 "米洛斯"
GREEK_CITY_29 "菲利庇"
GREEK_CITY_30 "莱斯沃斯"


AMERICANS "Samurai"

AMERICAN_LEADERM_NAME "阿金波刀"
AMERICAN_LEADERF_NAME "阿金波刀"
AMERICAN_COUNTRY_NAME "武士"
AMERICAN_SINGULAR "武士"
AMERICAN_PLURAL "武士"

AMERICAN_CITY_1 "华盛顿"
AMERICAN_CITY_2 "波士顿"
AMERICAN_CITY_3 "费城"
AMERICAN_CITY_4 "纽约"
AMERICAN_CITY_5 "旧金山"
AMERICAN_CITY_6 "亚特兰大"
AMERICAN_CITY_7 "芝加哥"
AMERICAN_CITY_8 "李奇蒙"
AMERICAN_CITY_9 "圣地亚哥"
AMERICAN_CITY_10 "新港滩"
AMERICAN_CITY_11 "纽奥良"
AMERICAN_CITY_12 "迈阿密"
AMERICAN_CITY_13 "明尼亚波里"
AMERICAN_CITY_14 "底特律"
AMERICAN_CITY_15 "克里夫兰"
AMERICAN_CITY_16 "印第安纳波里"
AMERICAN_CITY_17 "密尔瓦基"
AMERICAN_CITY_18 "春田市"
AMERICAN_CITY_19 "小岩城"
AMERICAN_CITY_20 "洛杉矶"
AMERICAN_CITY_21 "拉斯维加斯"
AMERICAN_CITY_22 "巴尔提摩"
AMERICAN_CITY_23 "那须维尔"
AMERICAN_CITY_24 "安克拉治"
AMERICAN_CITY_25 "达拉斯"
AMERICAN_CITY_26 "奥马哈"
AMERICAN_CITY_27 "丹佛"
AMERICAN_CITY_28 "波特兰"
AMERICAN_CITY_29 "西雅图"
AMERICAN_CITY_30 "圣大非"


SCOTTISH "苏格兰人"

SCOTTISH_LEADERM_NAME "威廉．华勒斯"
SCOTTISH_LEADERF_NAME "玛丽．史都华"
SCOTTISH_COUNTRY_NAME "苏格兰"
SCOTTISH_SINGULAR "苏格兰人"
SCOTTISH_PLURAL "苏格兰人"

SCOTTISH_CITY_1 "格拉斯哥"
SCOTTISH_CITY_2 "爱丁堡"
SCOTTISH_CITY_3 "斯特灵"
SCOTTISH_CITY_4 "柏斯"
SCOTTISH_CITY_5 "法尔齐尔克"
SCOTTISH_CITY_6 "杜霸"
SCOTTISH_CITY_7 "厄德木耳"
SCOTTISH_CITY_8 "佳尔偌"
SCOTTISH_CITY_9 "亚伯丁"
SCOTTISH_CITY_10 "基尔马勒克"
SCOTTISH_CITY_11 "高丹毕斯"
SCOTTISH_CITY_12 "奈恩"
SCOTTISH_CITY_13 "巴斯门"
SCOTTISH_CITY_14 "林利斯戈"
SCOTTISH_CITY_15 "因佛内斯"
SCOTTISH_CITY_16 "梅尔罗斯"
SCOTTISH_CITY_17 "罗斯西"
SCOTTISH_CITY_18 "孟米非斯"
SCOTTISH_CITY_19 "爱弥摩"
SCOTTISH_CITY_20 "柯科迪"
SCOTTISH_CITY_21 "佛雷泽堡"
SCOTTISH_CITY_22 "波拉修"
SCOTTISH_CITY_23 "格伦罗西斯"
SCOTTISH_CITY_24 "达夫敦"
SCOTTISH_CITY_25 "泛德洪"
SCOTTISH_CITY_26 "博尔古"
SCOTTISH_CITY_27 "洛可比"
SCOTTISH_CITY_28 "达尔基斯"
SCOTTISH_CITY_29 "格雷特纳"
SCOTTISH_CITY_30 "丁沃尔"


IRISH "爱尔兰人"

IRISH_LEADERM_NAME "布莱恩．波鲁"
IRISH_LEADERF_NAME "伊莎贝拉．葛列格里"
IRISH_COUNTRY_NAME "爱尔兰"
IRISH_SINGULAR "爱尔兰人"
IRISH_PLURAL "爱尔兰人"

IRISH_CITY_1 "都柏林"
IRISH_CITY_2 "布拉尼"
IRISH_CITY_3 "华福特"
IRISH_CITY_4 "科克"
IRISH_CITY_5 "利麦里克"
IRISH_CITY_6 "哥耳威"
IRISH_CITY_7 "多尼戈尔城"
IRISH_CITY_8 "斯利哥"
IRISH_CITY_9 "艾伦伍得"
IRISH_CITY_10 "格拉斯落"
IRISH_CITY_11 "喀里尼克"
IRISH_CITY_12 "柏码诺克"
IRISH_CITY_13 "新桥"
IRISH_CITY_14 "威克洛"
IRISH_CITY_15 "杜山林"
IRISH_CITY_16 "米德顿"
IRISH_CITY_17 "葛林奇伦"
IRISH_CITY_18 "塔雷吃"
IRISH_CITY_19 "阿嗑洛"
IRISH_CITY_20 "布莱克罗克"
IRISH_CITY_21 "马克伦"
IRISH_CITY_22 "科尔提玛"
IRISH_CITY_23 "贝林若肯"
IRISH_CITY_24 "莫纳亨"
IRISH_CITY_25 "杜肯林"
IRISH_CITY_26 "雷葛美克"
IRISH_CITY_27 "穆林格"
IRISH_CITY_28 "格里夫丹"
IRISH_CITY_29 "伊登德里"
IRISH_CITY_30 "史基柏恩"


ENGLISH "英国人"

ENGLISH_LEADERM_NAME "丘吉尔"
ENGLISH_LEADERF_NAME "伊丽莎白女王"
ENGLISH_COUNTRY_NAME "英国"
ENGLISH_SINGULAR "英国人"
ENGLISH_PLURAL "英国人"

ENGLISH_CITY_1 "伦敦"
ENGLISH_CITY_2 "伯明翰"
ENGLISH_CITY_3 "坎特伯雷"
ENGLISH_CITY_4 "曼彻斯特"
ENGLISH_CITY_5 "利物浦"
ENGLISH_CITY_6 "剑桥"
ENGLISH_CITY_7 "贝德福"
ENGLISH_CITY_8 "温彻斯特"
ENGLISH_CITY_9 "约克"
ENGLISH_CITY_10 "挪利其"
ENGLISH_CITY_11 "乌斯特"
ENGLISH_CITY_12 "哈斯丁"
ENGLISH_CITY_13 "希来顿"
ENGLISH_CITY_14 "斯特拉福"
ENGLISH_CITY_15 "牛津"
ENGLISH_CITY_16 "格洛斯特"
ENGLISH_CITY_17 "巴兹"
ENGLISH_CITY_18 "钮赛"
ENGLISH_CITY_19 "南汉普敦"
ENGLISH_CITY_20 "普茨茅斯"
ENGLISH_CITY_21 "考文垂"
ENGLISH_CITY_22 "德贝"
ENGLISH_CITY_23 "爱塞特"
ENGLISH_CITY_24 "里兹"
ENGLISH_CITY_25 "圣艾佛"
ENGLISH_CITY_26 "多佛"
ENGLISH_CITY_27 "舒兹伯利"
ENGLISH_CITY_28 "林肯郡"
ENGLISH_CITY_29 "李奇蒙"
ENGLISH_CITY_30 "布里斯托"


NATIVE_AMERICAN "印地安人"
### North America primarily
NATIVE_AMERICAN_LEADERM_NAME "骑牛者"
NATIVE_AMERICAN_LEADERF_NAME "莎卡珈娃"
NATIVE_AMERICAN_COUNTRY_NAME "北美"
NATIVE_AMERICAN_SINGULAR "印地安人"
NATIVE_AMERICAN_PLURAL "印地安人"

NATIVE_AMERICAN_CITY_1 "苏城"
NATIVE_AMERICAN_CITY_2 "却洛奇"
NATIVE_AMERICAN_CITY_3 "摩霍克"
NATIVE_AMERICAN_CITY_4 "依洛魁"
NATIVE_AMERICAN_CITY_5 "纳瓦霍"
NATIVE_AMERICAN_CITY_6 "阿帕契"
NATIVE_AMERICAN_CITY_7 "赛米诺"
NATIVE_AMERICAN_CITY_8 "聂斯波斯"
NATIVE_AMERICAN_CITY_9 "夏安"
NATIVE_AMERICAN_CITY_10 "卡曼契"
NATIVE_AMERICAN_CITY_11 "尹纽特"
NATIVE_AMERICAN_CITY_12 "契卡索"
NATIVE_AMERICAN_CITY_13 "霍皮"
NATIVE_AMERICAN_CITY_14 "黑脚族"
NATIVE_AMERICAN_CITY_15 "哈瓦西帕"
NATIVE_AMERICAN_CITY_16 "凯欧瓦"
NATIVE_AMERICAN_CITY_17 "欧及布威"
NATIVE_AMERICAN_CITY_18 "怀安多特"
NATIVE_AMERICAN_CITY_19 "史克维帕"
NATIVE_AMERICAN_CITY_20 "苏尼"
NATIVE_AMERICAN_CITY_21 "图拉利波"
NATIVE_AMERICAN_CITY_22 "波瓦坦"
NATIVE_AMERICAN_CITY_23 "闪涅寇克"
NATIVE_AMERICAN_CITY_24 "泰诺"
NATIVE_AMERICAN_CITY_25 "巧克陶"
NATIVE_AMERICAN_CITY_26 "阿比涅基"
NATIVE_AMERICAN_CITY_27 "丘马什"
NATIVE_AMERICAN_CITY_28 "波塔瓦米"
NATIVE_AMERICAN_CITY_29 "幼帕桧"
NATIVE_AMERICAN_CITY_30 "米丘达"


GERMAN "德国人"

GERMAN_LEADERM_NAME "腓得烈大帝"
GERMAN_LEADERF_NAME "布伦西尔德"
GERMAN_COUNTRY_NAME "德国"
GERMAN_SINGULAR "德国人"
GERMAN_PLURAL "德国人"

GERMAN_CITY_1 "柏林"
GERMAN_CITY_2 "慕尼黑"
GERMAN_CITY_3 "汉堡"
GERMAN_CITY_4 "不来梅"
GERMAN_CITY_5 "莱比锡"
GERMAN_CITY_6 "法兰克福"
GERMAN_CITY_7 "杜塞尔多夫"
GERMAN_CITY_8 "汉诺威"
GERMAN_CITY_9 "埃森汉"
GERMAN_CITY_10 "斯图加特"
GERMAN_CITY_11 "科伦"
GERMAN_CITY_12 "多特蒙德"
GERMAN_CITY_13 "海德堡"
GERMAN_CITY_14 "纽伦堡"
GERMAN_CITY_15 "波昂"
GERMAN_CITY_16 "杜斯堡"
GERMAN_CITY_17 "巴恰拉奇"
GERMAN_CITY_18 "萨尔布鲁根"
GERMAN_CITY_19 "贝希特斯加登"
GERMAN_CITY_20 "马德堡"
GERMAN_CITY_21 "伏兹堡"
GERMAN_CITY_22 "凯萨司劳腾"
GERMAN_CITY_23 "基尔"
GERMAN_CITY_24 "科布伦兹"
GERMAN_CITY_25 "哈雷"
GERMAN_CITY_26 "曼斯特"
GERMAN_CITY_27 "德列斯登"
GERMAN_CITY_28 "钢兹堡"
GERMAN_CITY_29 "施伟特欣根"
GERMAN_CITY_30 "瓦施町"


FRENCH "法国人"

FRENCH_LEADERM_NAME "拿破仑"
FRENCH_LEADERF_NAME "玛丽．安东尼"
FRENCH_COUNTRY_NAME "法国"
FRENCH_SINGULAR "法国人"
FRENCH_PLURAL "法国人"

FRENCH_CITY_1 "巴黎"
FRENCH_CITY_2 "土鲁斯"
FRENCH_CITY_3 "斯特拉斯堡"
FRENCH_CITY_4 "雷恩"
FRENCH_CITY_5 "图尔"
FRENCH_CITY_6 "鲁昂"
FRENCH_CITY_7 "坎城"
FRENCH_CITY_8 "尼斯"
FRENCH_CITY_9 "波尔多"
FRENCH_CITY_10 "里耳"
FRENCH_CITY_11 "第戎"
FRENCH_CITY_12 "马赛"
FRENCH_CITY_13 "凡尔赛"
FRENCH_CITY_14 "法弗及司"
FRENCH_CITY_15 "沙特尔"
FRENCH_CITY_16 "亚威隆"
FRENCH_CITY_17 "吉维尼"
FRENCH_CITY_18 "圣卓佩兹"
FRENCH_CITY_19 "维罗尼"
FRENCH_CITY_20 "帕拉科"
FRENCH_CITY_21 "布尔日"
FRENCH_CITY_22 "洛里昂"
FRENCH_CITY_23 "李曼斯"
FRENCH_CITY_24 "圣爱美乐"
FRENCH_CITY_25 "维卓利斯"
FRENCH_CITY_26 "奥尔良"
FRENCH_CITY_27 "埃维安"
FRENCH_CITY_28 "尚提利"
FRENCH_CITY_29 "阿尔伯斯"
FRENCH_CITY_30 "蒙特娄"


JAPANESE "日本"

JAPANESE_LEADERM_NAME "劳望"
JAPANESE_LEADERF_NAME "劳望"
JAPANESE_COUNTRY_NAME "日本"
JAPANESE_SINGULAR "日本人"
JAPANESE_PLURAL "日本人"

JAPANESE_CITY_1 "京都"
JAPANESE_CITY_2 "大阪"
JAPANESE_CITY_3 "萨摩"
JAPANESE_CITY_4 "江户"
JAPANESE_CITY_5 "名古屋"
JAPANESE_CITY_6 "横滨"
JAPANESE_CITY_7 "松山"
JAPANESE_CITY_8 "小田原"
JAPANESE_CITY_9 "广岛"
JAPANESE_CITY_10 "喜茂别"
JAPANESE_CITY_11 "蒲郡"
JAPANESE_CITY_12 "札幌"
JAPANESE_CITY_13 "福岛"
JAPANESE_CITY_14 "鹿儿岛"
JAPANESE_CITY_15 "日光"
JAPANESE_CITY_16 "冈崎"
JAPANESE_CITY_17 "秩父"
JAPANESE_CITY_18 "筑波"
JAPANESE_CITY_19 "长野"
JAPANESE_CITY_20 "三好"
JAPANESE_CITY_21 "若松"
JAPANESE_CITY_22 "仙台"
JAPANESE_CITY_23 "枚方"
JAPANESE_CITY_24 "丰桥"
JAPANESE_CITY_25 "神户"
JAPANESE_CITY_26 "川崎"
JAPANESE_CITY_27 "三岛"
JAPANESE_CITY_28 "福冈"
JAPANESE_CITY_29 "长崎"
JAPANESE_CITY_30 "富士宫"


CHINESE "中国"

CHINESE_LEADERM_NAME "毛泽东"
CHINESE_LEADERF_NAME "武则天"
CHINESE_COUNTRY_NAME "中国"
CHINESE_SINGULAR "中国人"
CHINESE_PLURAL "中国人"

CHINESE_CITY_1 "北京"
CHINESE_CITY_2 "上海"
CHINESE_CITY_3 "湘潭"
CHINESE_CITY_4 "香港"
CHINESE_CITY_5 "广东"
CHINESE_CITY_6 "青岛"
CHINESE_CITY_7 "成都"
CHINESE_CITY_8 "海城"
CHINESE_CITY_9 "保定"
CHINESE_CITY_10 "昆明"
CHINESE_CITY_11 "南海"
CHINESE_CITY_12 "深圳"
CHINESE_CITY_13 "山东"
CHINESE_CITY_14 "镇江"
CHINESE_CITY_15 "阜阳"
CHINESE_CITY_16 "沈阳"
CHINESE_CITY_17 "淄博"
CHINESE_CITY_18 "南通"
CHINESE_CITY_19 "重庆"
CHINESE_CITY_20 "厦门"
CHINESE_CITY_21 "盘锦"
CHINESE_CITY_22 "江阴"
CHINESE_CITY_23 "拉萨"
CHINESE_CITY_24 "烟台"
CHINESE_CITY_25 "绍兴"
CHINESE_CITY_26 "澳门"
CHINESE_CITY_27 "武汉"
CHINESE_CITY_28 "济南"
CHINESE_CITY_29 "南京"
CHINESE_CITY_30 "常州"


RUSSIAN "俄罗斯"

RUSSIAN_LEADERM_NAME "恐怖伊凡"
RUSSIAN_LEADERF_NAME "凯萨琳女皇"
RUSSIAN_COUNTRY_NAME "俄罗斯"
RUSSIAN_SINGULAR "俄罗斯人"
RUSSIAN_PLURAL "俄罗斯人"

RUSSIAN_CITY_1 "莫斯科"
RUSSIAN_CITY_2 "基辅"
RUSSIAN_CITY_3 "圣彼得堡"
RUSSIAN_CITY_4 "赛瓦斯拖波尔"
RUSSIAN_CITY_5 "斯摩凌斯克"
RUSSIAN_CITY_6 "明斯克"
RUSSIAN_CITY_7 "新西伯利亚"
RUSSIAN_CITY_8 "阿斯特拉堪"
RUSSIAN_CITY_9 "萨拉多夫"
RUSSIAN_CITY_10 "诺夫哥罗德"
RUSSIAN_CITY_11 "第比利斯"
RUSSIAN_CITY_12 "埃卡特宁堡"
RUSSIAN_CITY_13 "萨马拉"
RUSSIAN_CITY_14 "库斯克"
RUSSIAN_CITY_15 "海参威"
RUSSIAN_CITY_16 "敖得萨"
RUSSIAN_CITY_17 "哈萨克"
RUSSIAN_CITY_18 "东里雅宾斯克"
RUSSIAN_CITY_19 "布列安斯克"
RUSSIAN_CITY_20 "秋明"
RUSSIAN_CITY_21 "托木斯克"
RUSSIAN_CITY_22 "巴纳乌尔"
RUSSIAN_CITY_23 "特维尔"
RUSSIAN_CITY_24 "伊尔库次克"
RUSSIAN_CITY_25 "科学城"
RUSSIAN_CITY_26 "伯力"
RUSSIAN_CITY_27 "马克尼土哥斯克"
RUSSIAN_CITY_28 "塔甘罗格"
RUSSIAN_CITY_29 "加里宁格勒"
RUSSIAN_CITY_30 "鄂木斯克"


SPANISH "西班牙人"

SPANISH_LEADERM_NAME "斐迪南大公"
SPANISH_LEADERF_NAME "伊莎贝拉"
SPANISH_COUNTRY_NAME "西班牙"
SPANISH_SINGULAR "西班牙人"
SPANISH_PLURAL "西班牙人"

SPANISH_CITY_1 "马德里"
SPANISH_CITY_2 "巴塞隆纳"
SPANISH_CITY_3 "格拉纳达"
SPANISH_CITY_4 "赛瓦尔"
SPANISH_CITY_5 "托利多"
SPANISH_CITY_6 "里昂"
SPANISH_CITY_7 "哥多华"
SPANISH_CITY_8 "伊薇沙岛"
SPANISH_CITY_9 "旁普罗纳"
SPANISH_CITY_10 "塞拉曼加"
SPANISH_CITY_11 "梅诺卡"
SPANISH_CITY_12 "伊瓜拉达"
SPANISH_CITY_13 "喀他基那"
SPANISH_CITY_14 "圣罗魁"
SPANISH_CITY_15 "拉斯马踏司"
SPANISH_CITY_16 "马约卡"
SPANISH_CITY_17 "萨拉哥沙"
SPANISH_CITY_18 "亚利坎塔"
SPANISH_CITY_19 "毕尔包"
SPANISH_CITY_20 "银鲈城"
SPANISH_CITY_21 "蓬特韦德拉"
SPANISH_CITY_22 "蒙特力诺"
SPANISH_CITY_23 "帕沙杰吃"
SPANISH_CITY_24 "厄勒坎贝尔"
SPANISH_CITY_25 "比利亚维西奥萨"
SPANISH_CITY_26 "马力根"
SPANISH_CITY_27 "喀他基那"
SPANISH_CITY_28 "蒙特费尔罗"
SPANISH_CITY_29 "阿维拉"
SPANISH_CITY_30 "塞哥维亚"


PORTUGUESE "葡萄牙人"

PORTUGUESE_LEADERM_NAME "巴斯孔迪嘉唛"
PORTUGUESE_LEADERF_NAME "玛丽亚二世"
PORTUGUESE_COUNTRY_NAME "葡萄牙"
PORTUGUESE_SINGULAR "葡萄牙人"
PORTUGUESE_PLURAL "葡萄牙人"

PORTUGUESE_CITY_1 "里斯本"
PORTUGUESE_CITY_2 "欧波多"
PORTUGUESE_CITY_3 "拉哥斯"
PORTUGUESE_CITY_4 "波塔莱格里"
PORTUGUESE_CITY_5 "皮库"
PORTUGUESE_CITY_6 "丰沙尔"
PORTUGUESE_CITY_7 "波塔莱格里"
PORTUGUESE_CITY_8 "科英布拉"
PORTUGUESE_CITY_9 "寇帖拉"
PORTUGUESE_CITY_10 "瓜达"
PORTUGUESE_CITY_11 "蒙蒂如"
PORTUGUESE_CITY_12 "特塞拉"
PORTUGUESE_CITY_13 "依什托里尔"
PORTUGUESE_CITY_14 "科维良"
PORTUGUESE_CITY_15 "阿威尔"
PORTUGUESE_CITY_16 "威拉斯"
PORTUGUESE_CITY_17 "卡斯凯什"
PORTUGUESE_CITY_18 "相阿浊"
PORTUGUESE_CITY_19 "旁他丢各答"
PORTUGUESE_CITY_20 "圣玛莉亚"
PORTUGUESE_CITY_21 "里巴特茹"
PORTUGUESE_CITY_22 "法玛里卡欧"
PORTUGUESE_CITY_23 "塔黎拉"
PORTUGUESE_CITY_24 "吉马拉斯"
PORTUGUESE_CITY_25 "圣米哥尔"
PORTUGUESE_CITY_26 "希卓士"
PORTUGUESE_CITY_27 "富罗斯"
PORTUGUESE_CITY_28 "阿尔布费拉"
PORTUGUESE_CITY_29 "卢尔"
PORTUGUESE_CITY_30 "奥尔康廷"


DUTCH "荷兰人"

DUTCH_LEADERM_NAME "威廉一世"
DUTCH_LEADERF_NAME "维罕明娜"
DUTCH_COUNTRY_NAME "荷兰"
DUTCH_SINGULAR "荷兰人"
DUTCH_PLURAL "荷兰人"

DUTCH_CITY_1 "阿姆斯特丹"
DUTCH_CITY_2 "海牙"
DUTCH_CITY_3 "阿纳姆"
DUTCH_CITY_4 "米特尔斯堡"
DUTCH_CITY_5 "吕伐登"
DUTCH_CITY_6 "阿森"
DUTCH_CITY_7 "格罗宁根"
DUTCH_CITY_8 "乌特勒克"
DUTCH_CITY_9 "斯海托亨博斯"
DUTCH_CITY_10 "马斯特里赫特"
DUTCH_CITY_11 "弗拉尔丁恩"
DUTCH_CITY_12 "艾恩德霍芬"
DUTCH_CITY_13 "多德雷赫特"
DUTCH_CITY_14 "宰斯特"
DUTCH_CITY_15 "阿帕尔多伦"
DUTCH_CITY_16 "鹿特丹"
DUTCH_CITY_17 "德海德"
DUTCH_CITY_18 "莱德卓"
DUTCH_CITY_19 "霍夫卓"
DUTCH_CITY_20 "忍斯登"
DUTCH_CITY_21 "弗利辛恩"
DUTCH_CITY_22 "高达"
DUTCH_CITY_23 "莱顿"
DUTCH_CITY_24 "海伦芬"
DUTCH_CITY_25 "芬洛"
DUTCH_CITY_26 "锡塔德"
DUTCH_CITY_27 "埃代"
DUTCH_CITY_28 "霍伦"
DUTCH_CITY_29 "布凯连"
DUTCH_CITY_30 "哈伦"


VIKING "维京人"

VIKING_LEADERM_NAME "克努特王"
VIKING_LEADERF_NAME "冈海德"
VIKING_COUNTRY_NAME "维京"
VIKING_SINGULAR "维京人"
VIKING_PLURAL "维京人"

VIKING_CITY_1 "特伦汗"
VIKING_CITY_2 "赫雷得"
VIKING_CITY_3 "卡帕格"
VIKING_CITY_4 "乌普萨拉"
VIKING_CITY_5 "罗斯基勒"
