#### ERROR STRINGS (don't mess with these too much) ####
DIPLOMACY_ERROR "Diplomacy"
LOAD_BUILD_QUEUE_FAILED_TO_LOAD_QUEUE "980429-JRL-04 - Failed to load build queue"

SAVE_BUILD_QUEUE_ERROR "Save Build Queue Error"
SAVE_BUILD_QUEUE_FAILED_TO_SAVE_QUEUE "980429-JRL-05 - Failed to save Build Queue"
SAVE_BUILD_QUEUE_UNABLE_TO_WRITE_BUILD_QUEUE "980429-JRL-06 - Unable to write Build Queue"
SAVE_BUILD_QUEUE_FAILED_TO_SAVE "980429-JRL-07 - Failed to save Build Queue"



AIDLL "AI DLL"
FLI_FUZZY_CYCLE "There is a cycle in the fuzzy logic rules"
FLI_UNKNOWN_INPUT "%s:%d: '%s' is not a valid input variable"
FLI_UNDECLARED_VARIABLE "%s:%d: Undeclared variable '%s'"
FLI_UNKNOWN_SET_FUNCTION "%s:%d: Unknown set '%s'"
FLI_INTERNAL_ERROR "%s:%d: Internal error"
FLI_NOT_INITIALIZED_WARNING "WARNING: The input variable %s, used by set function %s, is not initalized for section %s"

AGREEMENT_ERROR_NOT_DEMAND_STOP_TRADE "981020-JRL-001 - Not a DEMAND STOP TRADE agreement"
AGREEMENT_ERROR_UNKNOWN_AGREEMENT "981020-JRL-002 - Unknown agreement type"
OPTIMAL_OUTPUT_ERROR "Optimal Output Error"
OPTIMAL_OUTPUT_ERROR_UNKNOWN_OPTIMISATION_STATE "981020-JRL-003 - Unknown city optimisation state"
MESSAGE_GOLD_INDEX_OUT_OF_BOUNDS "981020-JRL-004 - Gold index is out of bounds"
MESSAGE_CIV_INDEX_OUT_OF_BOUNDS "981020-JRL-005 - Civilisation index is out of bounds"
MESSAGE_ADVANCE_INDEX_OUT_OF_BOUNDS "981020-JRL-006 - Advance index is out of bounds"
MESSAGE_ACTION_INDEX_OUT_OF_BOUNDS "981020-JRL-007 - Action index is out of bounds"
MESSAGE_UNIT_INDEX_OUT_OF_BOUNDS "981020-JRL-008 - Unit index is out of bounds"
MESSAGE_CITY_INDEX_OUT_OF_BOUNDS "981020-JRL-009 - City index is out of bounds"
MESSAGE_WONDER_INDEX_OUT_OF_BOUNDS "981020-JRL-010 - Wonder index is out of bounds"
DIP_DISP_UNKNOWN_STATE "Unknown Diplomacy state"

