T_BUTTON_OK "OK"
T_BUILT_TEMPLE "Budowa swiatyni zostala zakonczona.  Swiatynia przyczyni sie do zwiekszenia zadowolenia w miescie <c:0,0,200>{city[0].name}<e> o {BuildingDB(IMPROVE_SHRINE).HappyInc} punktow."
T_BUILT_MARKETPLACE "Miasto {city[0].name} zakonczylo budowe bazaru.  Bazar zwiekszy dochod w miescie <c:0,0,200>{city[0].name}<e> o {BuildingDB(IMPROVE_BAZAAR).CommercePercent}%."
T_KEEP_MOVING "Powinienes kontynuowac eksploracje terenu przy urzyciu jednostki {FIRST_UNIT.name}, nie zapomnij umiescic przynajmniej jednej jednostki do obrony w kazdym miescie.  Wrogowie moga pojawic sie w kazdym miejscu."
T_BUILD_MORE_UNITS "Powinienes tworzyc wiecej jednostek, nie tylko do obrony miast, ale takze do eksploracji terenow."
T_FIRST_CONTACT "{player[1].civ_name_singular} i {player[0].civ_name_singular} spotkali sie pierwszy raz.  Aby rozpoczac dzialania dyplomatyczne kliknij na ikonie Zarzadcy Dyplomacji."
T_CONFIRM_EARLY_DISBAND "Zamierzasz rozwiazac armie.  Zanim to zrobisz upewnij sie ze posiadasz nowe jednostki ktore zastapia rozwiazany oddzial."
T_FORTIFY_OTHER "Jednostka {unit[0].name} broni aktualnie miasta.  Mimo ze mozesz ja ufortyfikowac gdziekolwiek, najbardziej skuteczne sa gdy ufortyfikujesz je na segmentach z fortem lub wewnatrz miasta."
T_FORTIFY_IN_CITIES "Powinienes posiadac przynajnmiej jedna jednostke z wysokim wspolczynnikiem obrony ufortyfikowana w miescie.  Wybierz jednostke i wcisnij klawisz 'f' aby ufortyfikowac jednostke."
T_FORTIFIED_UNIT_IN_CITY "Jednostka {unit[0].name} aktualnie ufortyfikowana na segmencie miasta - broni go."
T_PW_TOO_HIGH "Aktualny podatek przeznaczony na fundusz Robot Publicznych jest bardzo wysoki.  Powoduje to spadek produktywnosci w Twoich miastach.  Rozwaz ustalenie wysokosci tego podatku na okolo 20%."
T_KEEP_HITTING_END "Musisz eksplorowac mape i poszerzac swoje imperium jesli chcesz osiagnac sukces.  Uzywaj jednostek, np. wojownikow, do szukania nowych lokacji pod zalozenie miasta."
T_KEEP_EXPLORING "Ukonczenie budowy pierwszego obiektu w twoim miescie zajmie kilka tur.  Aby sprawdzic postep budowy w danym miescie,  wybierz to miasto na mapie i uaktywnij zakladke miasta.  Kliknij kilka razy na przycisku <c:0,50,255>ZAK. TURE<e> lub wcisnij kilkakrotnie klawisz <c:0,0,200>ENTER<e>, aby uplynelo troche czasu."
T_SETTLER_WARNING "Utworzenie jednostki Osadnikow zawsze wiaze sie ze spadkiem populacji w miescie w ktorym masz zamiar ja utworzyc.  Powinienes poczekac az miasto zwiekszy swoja populacje zanim zaczniesz budowac Osadnikow."
T_SHOW_CHECK_QUEUE "check_queue = {check_queue}"
T_SHOW_TERRAIN_SCORE "Terrain Score = {RADIUS_SCORE}"
T_RADIUS_RUNDOWN "DIR0: {TILE_SCORE[0]}, DIR1: {TILE_SCORE[1]}, DIR2: {TILE_SCORE[2]}, DIR3: {TILE_SCORE[3]}, DIR4: {TILE_SCORE[4]}, DIR5: {TILE_SCORE[5]}, DIR6: {TILE_SCORE[6]}, DIR7: {TILE_SCORE[7]}, DIR8: {TILE_SCORE[8]} <c:255,0,50>TERRAIN_SCORE = {RADIUS_SCORE}<e>"
T_CHECK_LEVELS "WagesExp:{WAGES_EXP} WkdyExp:{WORKDAY_EXP} RatExp:{RATIONS_EXP}\n\nWagesLev:{WAGES_LEVEL}  WkdyLev:{WORKDAY_LEVEL}  RatLev:{RATIONS_LEVEL}"
T_CHECK_LEVELS1 "Wynagrodzenie, dlugosc dnia roboczego lub racje zywnosciowe nie spelniaja oczekiwan obywateli.  Powoduje to ogolne niezadowolenie ludnosci i jesli nie zmienisz tej sytuacji w miastach moga rozpoczac sie rozruchy!\n\nOczekiwania ludnosci zaleza od w panstwie ustroj."
T_CHECK_LEVELS2 "Dlugosc dnia roboczego i racje zywnosciowe nie spelniaja oczekiwan obywateli!  Powoduje to ogolne niezadowolenie ludnosci i moze sie przyczynic do buntow."
T_CHECK_LEVELS3 "Wynagrodzenie i racje zywnosciowe nie spelniaja oczekiwan obywateli.  Powoduje to ogolne niezadowolenie spoleczenstwa i grozi licznymi buntami."
T_CHECK_LEVELS4 "Dlugosc dnia roboczego i wynagrodzenie nie spelnia oczekiwan obywateli.  Ich niezadowolenie moze byc wkrotce przyczyna buntow."
T_GOOD_SPOT "To jest dobre miejsce na budowe miasta.  Ziemia dostarcza duzo zywnosci do wzrostu i bogactw naturalnych do produkcji.  Kiedy skonczysz przemieszczac swoja druga jednostke osadnikow, kliknij <c:0,50,255>ZAK. TURE<e> lub wcisnij <c:0,0,200>ENTER<e>.  W nastepnej turze wybierz ta jednostke osadnikow i wcisnij <c:0,0,200>'b'<e> aby zbudowac miasto."
T_MOVE_MORE "Ten teren nie dostarczy miastu odpowiedniej ilosci zywnosci do jego wzrostu.  Tereny nizinne lub rowninne znajdujace sie w poblizu rzek sa w stanie zapewnic miastu wystarczajaca jego ilosc.  Kiedy skonczysz przemieszczac swoja jednostke osadnikow kliknij przycisk <c:0,50,255>ZAK. TURE<e> znajdujacy sie w prawym dolnym rogu ekranu."
T_BUILD_A_DAMN_CITY "Twoi osadnicy chca zbudowac miasto!  Wybierz jednostke osadnikow i wcisnij klawisz<c:0,50,255>b<e>."
T_START_OVER "Bez miast nie bedziesz mial imperium.  Inne nacje dawno juz sie osiedlily i rozpoczely eksploracje swiata.  Rozwaz rozpoczecie gry od nowa, i sprobuj budowac swoje panstwo szybciej."
T_BUILD_QUEUE_EMPTY "Miasto {city[0].name} aktualnie niczego nie buduje ani nie produkuje.  Kliknij podwojnie na miasto {city[0].name} z poziomu mapy aby otworzyc ekrane <c:0,50,255>Zarzadcy Miasta<e> albo kliknij na przycisk Zarzadcy Miasta."
T_CITIES_NOT_BUILDING "W kilku z Twoich miastach nie ma zadnej produkcji.  Aby nakazac im budowe lub produkcje, mozesz szybko otworzyc Zarzadce Budowy, wybierajac miasto i klikajac na przycisk <c:0,50,255>Edytuj kolejka budowy<e>."
T_PICK_NEW_ADVANCE "Gratulacje!  Twoja nacja jako pierwsza dowiedziala sie czym jest <c:0,50,255>{advance[0].name}<e>.  Wybierz nowy temat badan z okna Badania."
T_BUILD_CARAVANS "Twoja cywilizacja dowiedziala sie czym jest {advance[0].name}, przyczyni sie to wzrostu bogactwa twojego imperium dzieki sprzedarzy towarow.  Aby rozpoczac handlowanie musisz wpierw wybudowac <c:0,50,255>Karawanny<e> w swoich miastach."
T_EMBASSY "{player[0].civ_name_singular} zalozyli <c:0,50,255>ambasade<e> u {player[1].civ_name_plural}.  Ambasady daja dostep do bardziej zlozonych opcji dyplomatycznych miedzy dwoma panstwami."
T_USE_PW "Zgromadziles wystarczajaca ilosc srodkow na <c:0,50,255>roboty publiczne<e> aby zaczac budowac ulepszenia segmentow.  Kliknij na zakladce <c:0,50,255>Segmenty<e> aby zobaczyc dostepne ulepszenia." 
T_INCREASE_PW "Podatek przeznaczony na Roboty Publiczne wynosi aktualnie 20%.  Dzieki Robotom Publicznym mozesz budowac ulepszenia segmentow ktore przyczynia sie do wzrostu wydajnosci miast, pomagajac tym samym stworzyc silniejsze i obszerniejsze imperium."
T_GOOD_SPOT1 "Aby nakazac osadnikom zbudowanie miasta, wybierz ich i wcisnij klawisz <c:0,50,255>'b'<e>.  Moga oni zbudowac miasto tylko w tej turze w ktorej nie wykonywali zadnej innej czynnosci (np: przemieszczanie).  Zakoncz ta ture i wcisnij klawisz <c:0,50,255>'b'<e> aby zbudowac miasto."
T_GOOD_SPOT2 "Dobre miejsce na budowe miasta to miejsce obfitujace w pozywienie, np. niziny lub wybrzeza, i srodki na produkcje, np. lasy albo gory.  Kiedy znajdziesz teren na ktorym chcesz zalozyc miasto, wybierz jednostke osadnikow i wcisnij klawisz <c:0,50,255>'b'<e>."
T_GOOD_SPOT3 "Rzeki sa znakomitymi obszarami, zwiekszaja poziom zywnosci, produkcji i dochodu na segmentach przez ktore przeplywaja.  Ulatwiaja poruszanie sie, koszt przemieszczenia jednostki na segmencie z rzeka jest dwa razy mniejszy niz na zwyklym terenie, bez rzeki."
T_GOOD_SPOT4 "Powinienes rozwazyc jak najszybsza budowe miasta.  Inne narody juz dawno sie osiedlily. Mozesz okazac sie najgorszym strategiem jesli szybko nie rozpoczniesz budowy.  Wybierz jednostke osadnikow i wcisnij klawisz <c:0,50,255>'b'<e> aby zbudowac miasto."
T_NORTH "Na polnocy"
T_NORTHEAST "Na polnocnym-wschodzie"
T_EAST "Na wschodzie"
T_NORTHWEST "Na polnocnym-zachodzie"
T_SOUTHEAST "Na polodniowym-wschodzie"
T_WEST "Na zachododzie"
T_SOUTHWEST "Na poludniowym-zachodzie"
T_SOUTH "Na poludniu"
T_SELF "Na tym segmencie"
T_NORTH_OF "Na polnoc od"
T_NORTHEAST_OF "Na polnocny wschod od"
T_EAST_OF "Na wschod od"
T_NORTHWEST_OF "Na polnocny-zachod od"
T_SOUTHEAST_OF "Na polodniowy-wschod od"
T_WEST_OF "Na zachod od"
T_SOUTHWEST_OF "Na poludniowy-zachod od"
T_SOUTH_OF "Na poludnie od"
T_SELF_ON "Na segmencie"
T_RIVER_DIRECTION "There is a river <c:0,50,255>{action[RIVER_DIR].text}<e>.  Units move quicker along rivers, and cities collect more resources from land through which a river runs."
T_GOOD_DIRECTION "{action[GOOD_DIR].text} jest (sa) <c:0,50,255>{ResourceDB(GOOD_NAME)}<e>.  Mozesz nakazac osadnikom budowe miasta blisko tego miejsca dzieki czemu bedziesz mogl zwiekszyc dochody ze sprzedazy tego towaru."
T_NO_GOODS_KEEP_LOOKING "Jednostka osadnikow nie moze znalezc rzadnych towarow.  Przemieszczaj ja dalej eksplorujac mape.  \n\nCzy nadal chcesz aby osadnicy poszukiwali towarow?"
T_UNHAPPY_CITIES "W kilku z twoich miast jest duze niezadowolenie.  Jesli niezadowolenie mieszkancow dalej bedzie sie poglebiac, moze dojsc do buntu.  Otworz ekran <c:0,50,255>Zarzadcy Narodowego<e> aby sprawdzic w jakich miastach jest niezadowolenie."
T_ONE_UNHAPPY_CITY "Mieszkancy miasta {city[0].name} sa coraz bardziej niezadowoleni.  Jesli dalej bedziesz ignorowal ich potrzeby moga zaczac sie buntowac."
T_STARVING_CITIES "Mieszkancy kilku z twoich miast gloduja.  Otworz ekran <c:0,50,255>Zarzadcy Narodowego<e> aby sprawdzic ktore to miasta."
T_ONE_STARVING_CITY "Ludzie z miasta {city[0].name} nie gromadza wystarczajacej ilosci zywnosci do zaspokojenia potrzeb ich populacji.  Za <c:200,0,0>{CITY_STARVATION_TURNS} tur<e>, mieszkancy zaczna umierac z glodu.  Musisz albo, zmniejszyc racje zywonsciowe ( opcje ta znajdziesz na ekranie <c:0,50,255>Zarzadcy Narodowego<e> ), albo zbudowac farmy ktore dostarcza miastu wiecej zywnosci."
T_YOU_HAVE_GOOD "{action[GOOD_DIR].text} miasta {city[0].name} jest (sa) {ResourceDB(GOOD_NAME)}.  Teraz, kiedy masz {CARAVANS_AVAILABLE} Karrawan(e), mozesz zaczac handel tym towarem.\n \nOtworz ekran <c:0,50,255>Zarzadcy Handlowego<e> aby dowiedziec sie jakie miasta chca kupowac ten towar."
T_NO_HAVE_GOOD "Aktualnie zadne z twoich miast nie gromadzi towarow, poniewaz nie znajduja sie w poblizu jakichkolwiek zasobow.  Aby moc sprzedawac towary, musisz zbudowac miasto na lub w poblizu segmentu z jakims naturalnym zasobemyou.\n \nAktualnie posiadasz {CARAVANS_AVAILABLE} karawann(y).  Rozwaz utworzenie kilku jednostek osadnikow i wyslanie ich w poblize terenow obfitujacych w naturalne zasoby, gdzie beda mogli zbudowac miasta."
T_HAVE_GOODS_BUILD_CARAVANS "{action[GOOD_DIR].text} od miasta {FIRST_CITY_WITH_GOOD.name} jest towar {ResourceDB(GOOD_NAME)}.  Mozesz sprzedawac ten towar jesli masz wystarczajaca ilosc karawan. Zbuduj kilka <c:0,50,255>karawan<e> w swoich miastach."
T_NO_GOODS_SETTLE_NEAR_GOODS "Aktualnie zadne z Twoich miast gromadzi towarow.  Stworz kilka jednostek osadnikow i zbuduj miasta w podlizu towarow."
T_LITTLE_HELP "Jesli chcesz, mozesz byc powiadomiony o tym kiedy jednostka osadnikow znajdzie obszar na ktorym dostepne sa towary.  \n\nCzy chcesz uaktywnic taka pomoc?"
T_BIOINFECT_CITY "Nieznany Bio-terrorysta wywolal epidemie w miescie {city[0].name}.  Aby chronic sowoich mieszkancow zbuduj udoskonalenie o nazwie nano-obrona!"
T_BORDER_INCURSION "Wojska {player[1].civ_name_plural} przekroczyly granice Twojego panstwa!"
T_BORDER_PULLOUT "Wojska {player[1].civ_name_plural} wycofaly sie z twoich ziem."
T_RUSH_BUY "Budowa udoskonalenia w miescie {city[0].name} zakonczy sie w nastepnej turze."
T_CANT_MOVE_YET "Twoje wojska nie moga wykonac juz zadnego ruch w tej turze.  Zakoncz ture abys mogl przemiescic swoje wojska."
T_CAPTURE_CITY "Wojska {player[0].civ_name_plural} zdobyly miasto {city[0].name}."
T_DESTROYED_CITY "Wojska {player[0].civ_name_plural} zniszczyly miasto w swoim szalenczym ataku."
T_CITY_RIOT "W miescie {city[0].name} jest bunt!  Cala gospodarka miasta, wlaczajac produkcje, wytwarzanie dochodu i zywnosci, zostala wstrzymana.  Jesli nie zaspokoich ich potrzeb, mieszkancy zaczna umierac z glodu a nawet moga rozpoczac rewolucje.  Zbuduj udoskonalenia podnoszace zadowoleni albo zatrudnij kilku artystow."
T_CONVERT_CITY "Ludnosc miasta {city[0].name} zostala nawrocona przez jednego z twoich wrogow.  Jego mieszkancy musza teraz placic dziesiecine, ze swoich ciezko zarobionych pieniedzy, wrogiemu przywodcy religijnemu.  Na szczescie mozesz zreformowac miasto za pomoca jakiejkolwiek jednostki wojskowej.  Kosz reformacji wynosi 1,000 sztuk zlota."
T_TILE_IMPROVEMENT "Zaczales budowac ulepszenie segmentu o nazwie {TerrainImprovementDB(FIRST_TILE_IMP)}.  Jego ukonczenie zajmie kilka tur."
T_CREATE_PARK "Eko-straznik {player[0].civ_name_plural} dokonal eko-zaglady w miescie {city[0].name}, niszczac cala ludzka prace wlozona w jego budowe i przywracajac pierwotny stan srodowiska na jego terenie."
T_DETRENCHED "Aby ufortyfikowac jednostki lub armie na innym terenie musisz anulowac bierzacy rozkaz fortyfikacji."
T_DISBAND_ARMY_ORDER "Rozwiazuj jednostki tylko wtedy gdy jestes calkowicie pewien, ze Twoje imperium obejdzie sie bez nich."
T_DISBAND_CITY "Miasto {city[0].name} zostalo rozwiazane a jego mieszkancy utworzyli jednostke osadnikow.  Mozesz wyslac ta jednostke osadnikow na inny obszar aby zbudowac nowe miasto."
T_SETTLER_ENSLAVED "Lowca niewolnikow zchwytal twoich osadnikow i uczynil ich niewolnikami w miescie {player[0].civ_name_plural}.  Aby uwolnic niewolnikow z obcego miasta stworz jednostke - abolicjonista."
T_GET_MAP "Otrzymales mape od {player[0].civ_name_plural}.  Mimo, ze mozesz teraz zobaczyc wrogie jednostki i miasta, powinienes kontynuowac eksploracje terenu, gdyz na obszarze ktorym nie widza twoje jednostki dokonywane sa zmiany nie wprowadzane na mape glowna."
T_TILE_IMP_COMPLETE "Zakonczyles budowe ulepszenia segmentu o nazwie {TerrainImprovementDB(FIRST_TILE_IMP)}.  Mozesz budowac kolejne farmy na odpowiednim terenie tak aby przylegaly do juz istniejacej.  Mozesz tez budowac drogi laczace miasta i znacznie przyspieszajace poruszanie sie jednostek."
T_SPY_INCITE_REVOLUTION "Wroga jednostka szpiegowaska wywolala rewolucje w twoim miescie {city[0].name}.  Aby chronic swoje miasta przed wrogimi szpiegami i cyber ninja stworz wlasna jednostke szpiegowska i umiesc ja w swoim miescie."
T_ABOLITIONIST_INCITE_UPRISING "Wrogi abolicjonisa moze probowac uwolnic twoich niewolnikow z miasta {city[0].name}. Dbajac o swoje interesy, umiesc lowce niewolnikow w swoim miescie tak aby mogl on wykryc wrogiego abolicjoniste."
T_CLERIC_INDULGENCE_SALE "Wrogi duchowny sprzedaje odpusty mieszkancom miasta {city[0].name}.  Aby chronic swoich mieszkancow przed religijnymi manipulacjami wybuduj w miescie mur obronny albo stworz lowce niewolnikow lub duchownego."
T_LAWYER_INJOIN_CITY "Wrogi prawnik nakazem sadowym wstrzymal produkcje na jedna ture w miescie {city[0].name}.  Aby temu zapobiec stworz wlasnego prawnika w miescie."
T_CORPORATE_FRANCHISE "Agent {player[0].civ_name_plural} zdobyl koncesje na handel w miescie {city[0].name}.  Czerpia oni teraz korzysci finansowe zerujac na twoich dochodach.  Prawnik moze oskarzyc ich o naduzycie i wydalic z miasta."
T_MOVE_INTO_TRANSPORT "Laduj jednostki do pojazdu transportowego dopoki nie bedzie on pelny.  Aby wyladowac jednostki przemiesc transporter w wybrane miejsce, kliknij na niego prawym przyciskiem myszy i z menu wybierz <c:0,50,255>Wyladuj<e>."
T_MOVE_PATH_ORDER "Liczby podane wzdluz trasy oznaczaja, ile tur zajmie jednostce dotarcie do danego miejsca. Jesli trasa ma kolor czerwony, znaczy to, iz przecina jakis element terenu, ktorego aktywna jednostka nie moze przebyc (na przyklad w przypadku jednostki naziemnej - ocean). Jezeli trasa ma kolor zolty i nie podaje zadnych liczb, przebiega przez niezbadane terytorium, gdzie nie mozna wyznaczyc optymalnego przebiegu.  Jesli trasa ma kolor <c:50,200,50>zielony<e> oznacza to ze dana jednostka moze wykonac ruch."
T_MOVE_UNLOAD_ORDER "Przesuwaj jednostke transportowa dopuki nie dojdzie do ladu, wtedy wyladuj jej zawartosc."
T_ECOTERRORIST_NANOINFECT_CITY "Budowa udoskonalenia o nazwie Nano-obrona w miastach , np. w miescie {city[0].name}, bedzie chronic je przed nano-atakiem."
T_CITY_NUKED "{player[0].civ_name_singular} dokonali ataku jadrowego niszczac misto {city[0].name}.  Aby chronic swoje miasta przed atakami jadrowymi buduj w nich systemy <c:255,0,50>obrony przeciwatomowej<e>."
T_PILLAGE_ORDER "Niszczenie farm, drog i kopaln jest aktem agresji.  Inne nacje moga stracic do ciebie szacunek jesli bedziesz niszczyl ich ulepszenia segmentow."
T_PIRATE_ORDER "Napadanie na szlaki handlowe przynosi pewne korzysci finansowe ale musi byc dokonywane w kazdej turze aby przynosic zysk.  Napadanie na szlaki handlowe jest odbierane jako akt agresji, wiec rozwaz mozliwe konsekwencje dyplomatyczne zanim tego dokonasz."
T_INFECTOR_PLAGUE_CITY "Bio-terorysta {player[0].civ_name_plural} zaatakowal miasto {city[0].name}, zakazajac ich mieszkancow bronia biologiczna.  Zlosliwy wirus <c:255,0,50>uczynil wielu ludzi niezdolnymi do pracy co przyczynilo sie do zahamowania produkcji i drastycznego wzrostu niezadowolenia mieszkancow.<e>"
T_REFORM_CITY_ORDER "Koszt zrefomowania miasta wyniesie {OrderDB(ORDER_REFORM).Gold} sztuk zlota i spowoduje czasowe niezadowolenie mieszkancow.  Jednakze, nie bedzie ono dluzej placic dziesieciny innej nacji."
T_DIP_REJECTION "Odrzuciles prosbe {player[0].civ_name_plural}. {player[0].leader_name} moze uzyc grozby aby wymusic przyjecie propozycji."
T_DIP_REJECTION_PLAYER "{player[1].leader_name} nie zgadza sie na twoja propozycje. Mozesz mu zagrozic aby wymusic przyjecie propozycji lub stworzyc nowa propozycje."
T_LAWYER_SUE_FRANCHISE "Wrogi Prawniko nakazem sadowym zabral koncesje handlowa jaka uzyskales w miescie {city[0].name}.  Produkcja z tego miasta nie jest juz przekazywana twojemu panstwu."
T_BUILDING_SOLD "Miasto {city[0].name} nie czerpie juz wiecej korzysci z ulepszenia o nazwie {improvement[0].type}.  Sprzedajac ulepszenia mozesz zmniejszyc koszt utrzymania albo zdobyc troche zlota na inne potrzeby.  Jednakze miasto straci wszystkie korzysci (i wady) jakie dostarczalo sprzedane ulepszenia."
T_NUKE_TARGETED "Miasto {city[0].name} zostalo ustalone jako cel dla wrogiej rakiety jadrowej.  Zbuduj system <c:255,0,50>obrony przeciwatomowej<e> aby chronic sie przed atakami jadrowymi.  Mozesz takze umiescic w miescie jednostki do obrony przeciw powietrzne np. katiusze albo robota wojennego."
T_SLAVER_RAID_CITY "Wrogi lowca niewolnikow probowal zchwytac mieszkancow miasta {city[0].name} i przeksztalcic ich w niewolnikow.  Zbuduj mury obronne w miescie aby chronic swoich mieszkancow."
T_SLEEP_ORDER "Jednostka z rozkazem straz bedzie 'uspiona' dopoki inna wroga jednostka nie znajdzie sie w jej poblizu.  Mozesz 'obudzic ja' kiedy tylko chcesz, wystarczy tylko ja zaznaczyc."
T_ABOLITIONIST_FREE_SLAVES "Abolicjonista probowal uwolnic niewolnikow z miasta {city[0].name}.  Aby chronic swoja sile robocza przed proba przejecia umiesc lowce niewolnikow w miescie."
T_UNLOAD_CARGO "Wojska oposcily jednostke transportowa i musza odpoczac zanim wykonaja nastepny ruch.\n\n Tylko Marines i spadochroniarze moga sie przemieszczc zaraz po opuszczeniu jednostki transportowej."
T_WAIT_TITLE "Czy wiesz, ze..."
T_WAIT_1 "Mieszkancy miasta zbieraja surowce z terenow oznaczonych biala linia, ktora wyznacza zasieg danego miasta.  Obszar ten powieksza sie wraz z rozwojem miasta.\n\nKolorowe linie oznaczaja granice panstw."
T_WAIT_2 "Jest wiele roznych terenow a kazdy dostarcza inna ilosc zywnosci, dochodu i produkcji.\n\nBardzo wazne jest aby budowac miasta nie tylko na terenach dostarczajacych zywnosc jego mieszkancom, ale takze na jego rozwoj."
T_WAIT_3 "Mozesz uzywac swoich jednostek do odkrywania nowych terenow lub zakladania miast.  Mozesz takze uzywac ich do walki z innymi nacjami lub barbarzyncami."
T_WAIT_4 "Jesli nie chcesz zajmowac sie miastem mozesz skorzystac z pomocy burmistrza.  Otworz ekran <c:0,50,255>Zarzadcy Miasta<e>, i kliknij na kwadracik obok napisu Burmistrz. Z menu wybierz dziedzine na jakiej ma sie skupic a zadba on o produkcje jednostek i ulepszen dla danego priorytetu."
T_KEEP_HITTING_END_BUILDING "{BUILDING_BUILDING.name} is building the {BuildingDB(CITY_BUILDING_BUILDING)} improvement.  Since it is relatively early in your empire's development, this may take a while.  Keep hitting ENTER or the <c:0,50,255>End Turn<e> button until it is complete."
T_KEEP_HITTING_END_WONDER "{BUILDING_WONDER.name} is building the {WonderDB(CITY_BUILDING_WONDER)} wonder.  Since it is relatively early in your empire's development, this may take a very long time.  Keep hitting ENTER or the <c:0,50,255>End Turn<e> button until it is complete." 
T_CANT_DISBAND_BIG_CITY "Miasta o populacji wiekszej niz 3,000 nie moga byc rozwiazane.  Miasto {city[0].name} ma {BIG_CITY} ludnosci."
