#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : Text file
# Description  : Map icon database
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Moved the map icons from the source code to this file. (23-Feb-2007 Martin Gühmann)
#
#----------------------------------------------------------------------------

MAPICON_BIODISEASE		"upc001.tga"
MAPICON_NATIVE_AMERICAN_FLAG	"upc073.tga"
MAPICON_GERMAN_FLAG		"upc074.tga"
MAPICON_FRENCH_FLAG		"upc075.tga"
MAPICON_JAPANESE_FLAG		"upc076.tga"
MAPICON_CHINESE_FLAG		"upc077.tga"
MAPICON_RUSSIAN_FLAG		"upc078.tga"
MAPICON_SPANISH_FLAG		"upc079.tga"
MAPICON_PORTUGUESE_FLAG		"upc080.tga"
MAPICON_DUTCH_FLAG		"upc081.tga"
MAPICON_VIKING_FLAG		"upc082.tga"
MAPICON_ROMAN_FLAG		"upc083.tga"
MAPICON_EGYPTIAN_FLAG		"upc084.tga"
MAPICON_PERSIAN_FLAG		"upc085.tga"
MAPICON_TURKISH_FLAG		"upc086.tga"
MAPICON_PHOENICIAN_FLAG		"upc087.tga"
MAPICON_WELSH_FLAG		"upc088.tga"
MAPICON_CUBAN_FLAG		"upc089.tga"
MAPICON_ZULU_FLAG		"upc090.tga"
MAPICON_HEBREW_FLAG		"upc091.tga"
MAPICON_ASSYRIAN_FLAG		"upc092.tga"
MAPICON_INDIAN_FLAG		"upc093.tga"
MAPICON_THAI_FLAG		"upc094.tga"
MAPICON_POLYNESIAN_FLAG		"upc095.tga"
MAPICON_INDONESIAN_FLAG		"upc096.tga"
MAPICON_POLNISH_FLAG		"upc097.tga"
MAPICON_INCAN_FLAG		"upc098.tga"
MAPICON_MAYAN_FLAG		"upc099.tga"
MAPICON_CANADIANS_FLAG		"upc100.tga"
MAPICON_NIGERIAN_FLAG		"upc101.tga"
MAPICON_KOREA_FLAG		"upc102.tga"
MAPICON_BRAZILIAN_FLAG		"upc103.tga"
MAPICON_AUSTRALIA_FLAG		"upc104.tga"
MAPICON_MEXICAN_FLAG		"upc105.tga"
MAPICON_ETHIOPIAN_FLAG		"upc106.tga"
MAPICON_MONGOL_FLAG		"upc107.tga"
MAPICON_NICARAGUAN_FLAG		"upc108.tga"
MAPICON_AZTEC_FLAG		"upc109.tga"
MAPICON_NUBIAN_FLAG		"upc110.tga"
MAPICON_ARABIAN_FLAG		"upc111.tga"
MAPICON_CARTHAGINIAN_FLAG	"upc112.tga"
MAPICON_BABYLONIAN_FLAG		"upc113.tga"
MAPICON_BYZANTINE_FLAG		"upc114.tga"
MAPICON_AUSTRIAN_FLAG		"upc115.tga"
MAPICON_SWEDISH_FLAG		"upc116.tga"
MAPICON_CELTIC_FLAG		"upc117.tga"
MAPICON_ITALIAN_FLAG		"upc118.tga"
MAPICON_BANTU_FLAG		"upc119.tga"
MAPICON_SLAVIC_FLAG		"upc120.tga"
MAPICON_MINOAN_FLAG		"upc121.tga"
MAPICON_HARAPPAN_FLAG		"upc122.tga"
MAPICON_HITTITE_FLAG		"upc123.tga"
MAPICON_SHANG_FLAG		"upc124.tga"
MAPICON_ETRUSCAN_FLAG		"upc125.tga"
MAPICON_ABORIGINE_FLAG		"upc126.tga"
MAPICON_ARGENTINIAN_FLAG	"upc127.tga"
MAPICON_KHMER_FLAG		"upc128.tga"
MAPICON_MALIAN_FLAG		"upc129.tga"
MAPICON_CIVFLAG_63		"upc130.tga"
MAPICON_EUROPEAN_FLAG		"upc131.tga"
MAPICON_GREAT_BRITAN_FLAG	"upc132.tga"
MAPICON_CIVFLAG_66		"upc133.tga"
MAPICON_CIVFLAG_67		"upc134.tga"
MAPICON_CIVFLAG_68		"upc135.tga"
MAPICON_GREAT_SOVIET_UNION_FLAG	"upc136.tga"
MAPICON_CIVFLAG_70		"upc137.tga"

# City expansion?
#MAPICON_URBANANC
#MAPICON_URBANMED
#MAPICON_URBANMOD
#MAPICON_URBANSLUM

# Visible wonders
#MAPICON_WONDER1
#MAPICON_WONDER2
#MAPICON_WONDER3
#MAPICON_WONDER4
#MAPICON_WONDER5
#MAPICON_WONDER6
#MAPICON_WONDER7
#MAPICON_WONDER8
#MAPICON_WONDER9
#MAPICON_WONDER10
#MAPICON_WONDER11
#MAPICON_WONDER12
#MAPICON_WONDER13
#MAPICON_WONDER14
#MAPICON_WONDER15
#MAPICON_WONDER16 # Only need 16 for call2civ mod
#MAPICON_WONDER17
#MAPICON_WONDER18
#MAPICON_WONDER19
#MAPICON_WONDER21
#MAPICON_WONDER22
#MAPICON_WONDER23
#MAPICON_WONDER24
#MAPICON_WONDER25
#MAPICON_WONDER26
#MAPICON_WONDER27
#MAPICON_WONDER28
#MAPICON_WONDER29
#MAPICON_WONDER30
#MAPICON_WONDER31
#MAPICON_WONDER32 # Total number of wonders in ctp2 default game
#MAPICON_WONDER33
#MAPICON_WONDER34
#MAPICON_WONDER35
#MAPICON_MAX      # This returns the total number or Icons
