#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (German)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin Gühmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"Werkzeugbau"
WONDER_GLOBAL_SURVEILLANCE_CENTER_ARTICLE	""
WONDER_NANITE_DEFUSER_ARTICLE			""
WONDER_NATIONAL_SHIELD_ARTICLE			""
WONDER_EGALITARIAN_ACT_ARTICLE			""
WONDER_THE_EDEN_PROJECT_ARTICLE			""
WONDER_THE_SOLARIS_PROJECT_ARTICLE		""
WONDER_ZERO_CRIME_BILL_ARTICLE			""


#### Units STRINGS ####
UNIT_SETTLER					"Siedler"
UNIT_WARRIOR					"Krieger"
UNIT_CATAMARAN					"Korvette"
UNIT_HOPLITE					"Phalanx"
UNIT_ARCHER					"Bogenschütze"
UNIT_SLAVER					"Sklavenhändler"
UNIT_SWORDSMAN					"Samurai"
UNIT_MOUNTED_ARCHER				"Ber. Bogenschütze"
UNIT_CARAVAN					"Karawane"
UNIT_FIRE_TRIREME				"Feuertriere"
UNIT_KNIGHT					"Ritter"
UNIT_CATAPULT					"Katapult"
UNIT_LONGSHIP					"Langschiff"
UNIT_DIPLOMAT					"Diplomat"
UNIT_PIKEMEN					"Lanzenkämpfer"
UNIT_CLERIC					"Kleriker"
UNIT_ABOLITIONIST				"Freiheitskämpferin"
UNIT_CARRACK					"Karavelle"
UNIT_INFANTRYMAN				"Infanterist"
UNIT_CAVALRY					"Kavallerist"
UNIT_FASCIST					"Faschist"
UNIT_CANNON					"Kanone"
UNIT_SHIP_OF_THE_LINE				"Dreimaster"
UNIT_SPY					"Spion"
UNIT_IRONCLAD					"Panzerschiff"
UNIT_MACHINE_GUNNER				"MG-Schütze"
UNIT_ARTILLERY					"Artillerie"
UNIT_SUBMARINE					"U-Boot"
UNIT_TROOP_SHIP					"Truppentransp."
UNIT_FRIGATE					"Fregatte"
UNIT_DESTROYER					"Zerstörer"
UNIT_TELEVANGELIST				"Televangelist"
UNIT_BATTLESHIP					"Schlachtschiff"
UNIT_FIGHTER					"Jäger"
UNIT_CORPORATE_BRANCH				"Bürokrat"
UNIT_LAWYER					"Anwalt"
UNIT_BOMBER					"Bomber"
UNIT_TANK					"Panzer"
UNIT_CARGO_HELICOPTER				"Transport-Heli"
UNIT_AIRCRAFT_CARRIER				"Flugzeugträger"
UNIT_MOBILE_SAM					"Mob. Raketenw."
UNIT_MARINE					"Marine"
UNIT_PARATROOPER				"Fallschirmjäger"
UNIT_URBAN_PLANNER				"Stadtplaner"
UNIT_Z_FREIGHT_TRANSPORT			"Frachttransp."
UNIT_INTERCEPTOR				"Abfangjäger"
UNIT_CRUISE_MISSILE				"Cruisemissile"
UNIT_NUCLEAR_SUBMARINE				"Atom-U-Boot"
UNIT_NUKE					"Nuklearrakete"
UNIT_STEALTH_FIGHTER				"Stealth-Jäger"
UNIT_STEALTH_BOMBER				"Stealth-Bomber"
UNIT_SCOUT_SUB					"Stealth-U-Boot"
UNIT_SPACE_PLANE				"Raumtransporter"
UNIT_SPY_PLANE					"Spionageflieger"
UNIT_MOREY_STRIKER				"Muränengleiter"
UNIT_CYBERATTORNEY				"Cyberanwalt"
UNIT_MOBILE_SUBNEURAL_AD			"Subneur. Signal"
UNIT_HOVER_INFANTRY				"Hover-Infanterist"
UNIT_CYBER_NINJA				"Cyber-Ninja"
UNIT_SEA_ENGINEER				"Meereskolonisator"
UNIT_EMPATHIC_DIPLOMAT				"Empath. Diplomatin"
UNIT_FUSION_TANK				"Fusionspanzer"
UNIT_CRAWLER					"Crawler"
UNIT_WAR_WALKER					"Kampfkoloss"
UNIT_PLASMA_DESTROYER				"Plasmazerstörer"
UNIT_LEVIATHON					"Leviathan"
UNIT_KRAKEN					"Krakengleiter"
UNIT_INFECTOR					"Infektor"
UNIT_ECO_TERRORIST				"Ökoterrorist"
UNIT_ECO_RANGER					"Öko-Ranger"
UNIT_DREADNAUGHT				"Dreadnaught"
UNIT_CITY					"Stadt"
UNIT_OCEAN_CITY					"Meereskolonie"
UNIT_SPACE_CITY					"Raumkolonie"
UNIT_ELEPHANT_WARRIOR				"Kriegselefant"
UNIT_SCOUT					"Kundschafter"
UNIT_LEGION					"Legion"
UNIT_GUERRILLA					"Partisan"
UNIT_SWORDSMAN					"Schwertkämpfer"
UNIT_PIRATE_SHIP				"Piratenschiff"
UNIT_TRADER					"Händler"
UNIT_LONGBOWMAN 				"Langbogenschütze"

#### governs STRINGS ####
GOVERNMENT_ANARCHY				"Anarchie"
GOVERNMENT_TYRANNY				"Tyrannei"
GOVERNMENT_MONARCHY				"Monarchie"
GOVERNMENT_THEOCRACY				"Theokratie"
GOVERNMENT_COMMUNISM				"Kommunismus"
GOVERNMENT_FASCISM				"Faschismus"
GOVERNMENT_REPUBLIC				"Republik"
GOVERNMENT_DEMOCRACY				"Demokratie"
GOVERNMENT_CORPORATE_REPUBLIC			"Handelsrepublik"
GOVERNMENT_ECOTOPIA				"Ökotopie"
GOVERNMENT_TECHNOCRACY				"Technokratie"
GOVERNMENT_VIRTUAL_DEMOCRACY			"Virt. Demokratie"


#### improvements STRINGS ####
IMPROVE_GRANARY					"Lagerhaus"
IMPROVE_CITY_WALLS				"Stadtmauer"
IMPROVE_SHRINE					"Schrein"
IMPROVE_COURTHOUSE				"Gerichtsgebäude"
IMPROVE_BALLISTA_TOWERS				"Ballistentürme"
IMPROVE_AQUEDUCT				"Aquädukt"
IMPROVE_THEATER					"Theater"
IMPROVE_BAZAAR					"Bazar"
IMPROVE_ACADEMY					"Akademie"
IMPROVE_ARENA					"Arena"
IMPROVE_CAPITOL					"Kapitol"
IMPROVE_MILL					"Mühle"
IMPROVE_BASCILICA				"Basilika"
IMPROVE_UNIVERSITY				"Universität"
IMPROVE_BANK					"Bank"
IMPROVE_PUBLISHING_HOUSE			"Verlagshaus"
IMPROVE_BATTLEMENTS				"Festungsmauer"
IMPROVE_BROKERAGE				"Vermögensverw."
IMPROVE_FOOD_SILO				"Siloanlage"
IMPROVE_FACTORY					"Fabrik"
IMPROVE_OIL_REFINERY				"Ölraffinerie"
IMPROVE_MOVIE_PALACE				"Filmpalast"
IMPROVE_DRUG_STORE				"Apotheke"
IMPROVE_TELEVISION				"Fernsehtechnik"
IMPROVE_AIRPORT					"Flughafen"
IMPROVE_CORRECTIONAL_FACILITY			"Haftanstalt"
IMPROVE_HOSPITAL				"Krankenhaus"
IMPROVE_FLAK_TOWERS				"Flakgeschütz"
IMPROVE_COMPUTER_CENTER				"Rechenzentrum"
IMPROVE_PUBLIC_TRANSPORTATION			"Öff. Nahverkehr"
IMPROVE_RECYCLING_PLANT				"Recycling-Anlage"
IMPROVE_NUCLEAR_PLANT				"Kernkraftwerk"
IMPROVE_ECO_TRANSIT				"Ökofahrzeug"
IMPROVE_ANTI_BALLISTIC_MISSILES			"Raketenabwehr"
IMPROVE_ARCOLOGIES				"Arcology"
IMPROVE_ORBITAL_LABORATORY			"Orbitallabor"
IMPROVE_ROBOTIC_PLANT				"Roboterfabrik"
IMPROVE_SECURITY_MONITOR			"Bürgerkontrolle"
IMPROVE_E_BANK					"E-Bank"
IMPROVE_VR_AMUSEMENT_PARK			"VR-Vergnügungsp."
IMPROVE_NANITE_FACTORY				"Nanitenproduktion"
IMPROVE_FORCEFIELD				"Kraftfeld"
IMPROVE_AQUA_FILTER				"Kläranlage"
IMPROVE_INCUBATION_CENTER			"Inkubationsstätte"
IMPROVE_FUSION_PLANT				"Fusionsreaktor"
IMPROVE_BEHAVIORAL_MOD_CENTER			"Therapiezentrum"
IMPROVE_CORNUCOPIC_VAT				"Nahrungsreplikator"
IMPROVE_MICRO_DEFENSE				"Bio-Schutzfilter"
IMPROVE_MATTER_DECOMPILER			"Materiewandler"
IMPROVE_BODY_EXCHANGE				"Körperwandler"
IMPROVE_GAIA_COMPUTER				"Gaia-Controllerkern"
IMPROVE_POWER_SATELLITE				"Gaia-Satellit"


#### terrain STRINGS ####
TERRAIN_BROWN_MOUNTAIN				"Sandberg"
TERRAIN_BROWN_HILL				"Sandhügel"
TERRAIN_WHITE_MOUNTAIN				"Gletscherberg"
TERRAIN_WHITE_HILL				"Gletscherhügel"
TERRAIN_MOUNTAIN				"Berg"
TERRAIN_DESERT					"Wüste"
TERRAIN_FOREST					"Wald"
TERRAIN_GLACIER					"Gletscher"
TERRAIN_GRASSLAND				"Weideland"
TERRAIN_HILL					"Hügel"
TERRAIN_JUNGLE					"Dschungel"
TERRAIN_PLAINS					"Steppe"
TERRAIN_SWAMP					"Sümpfe"
TERRAIN_TUNDRA					"Tundra"
TERRAIN_WATER_SHALLOW				"Flachwasser"
TERRAIN_WATER_DEEP				"Tiefsee"
TERRAIN_WATER_RIFT				"Meeresriff"
TERRAIN_WATER_TRENCH				"Canyon"
TERRAIN_WATER_VOLCANO				"Meeresvulkan"
TERRAIN_WATER_REEF				"Korallenriff"
TERRAIN_WATER_KELP				"Algenriff"
TERRAIN_SPACE					"Weltraum"
TERRAIN_WATER_BEACH				"Strand"
TERRAIN_WATER_SHELF				"Felsenriff"
TERRAIN_DEAD					"Ödland"
TERRAIN_SPECIAL1				"Spezial"
TERRAIN_SPECIAL2				"Brücke"
#TERRAIN_DEAD_HILL				"Ödlandhügel"

TERRAIN_ARCTIC_MOUNTAIN_GOOD_ONE		"Rubine"
TERRAIN_ARCTIC_MOUNTAIN_GOOD_TWO		"Diamanten"
TERRAIN_MOUNTAIN_GOOD_ONE			"Tee"
TERRAIN_MOUNTAIN_GOOD_TWO			"Smaragde"
TERRAIN_DESERT_GOOD_ONE				"Glas"
TERRAIN_DESERT_GOOD_TWO				"Öl"
TERRAIN_FOREST_GOOD_ONE				"Hartholz"
TERRAIN_FOREST_GOOD_TWO				"Bären"
TERRAIN_GLACIER_GOOD_ONE			"Seerobben"
TERRAIN_GRASSLAND_GOOD_ONE			"Baumwolle"
TERRAIN_GRASSLAND_GOOD_TWO			"Tabak"
TERRAIN_HILL_GOOD_ONE				"Kaffee"
TERRAIN_HILL_GOOD_TWO				"Trauben"
TERRAIN_JUNGLE_GOOD_ONE				"Heilkräuter"
TERRAIN_JUNGLE_GOOD_TWO				"Jade"
TERRAIN_PLAINS_GOOD_ONE				"Gewürze"
TERRAIN_PLAINS_GOOD_TWO				"Elefanten"
TERRAIN_SWAMP_GOOD_ONE				"Alligatoren"
TERRAIN_TUNDRA_GOOD_ONE				"Karibus"
TERRAIN_WATER_SHALLOW_GOOD_ONE			"Krebse"
TERRAIN_WATER_SHALLOW_GOOD_TWO			"Perlen"
TERRAIN_WATER_DEEP_GOOD_ONE			"Wale"
TERRAIN_WATER_DEEP_GOOD_TWO			"Riesenkraken"
TERRAIN_WATER_BEACH_GOOD_ONE			"Krebse"
TERRAIN_WATER_BEACH_GOOD_TWO			"Fische"
TERRAIN_WATER_SHELF_GOOD_ONE			"Perlen"
TERRAIN_WATER_SHELF_GOOD_TWO			"Öl"
TERRAIN_DUMMY_GOOD				"Dummy-Ressource"

###Added for goodmod###

TERRAIN_ARCTIC_MOUNTAIN_GOOD_THREE		"Bauxit"
TERRAIN_ARCTIC_MOUNTAIN_GOOD_FOUR		"Smaragde"
TERRAIN_MOUNTAIN_GOOD_THREE			"Kohle"
TERRAIN_MOUNTAIN_GOOD_FOUR			"Gold"
TERRAIN_DESERT_GOOD_THREE			"Dateln"
TERRAIN_DESERT_GOOD_FOUR			"Kamele"
TERRAIN_FOREST_GOOD_THREE			"Äpfel"
TERRAIN_FOREST_GOOD_FOUR			"Bieber"
TERRAIN_GLACIER_GOOD_TWO			"Walrösser"
TERRAIN_GLACIER_GOOD_THREE			"Walrösser"
TERRAIN_GLACIER_GOOD_FOUR			"Walrösser"
TERRAIN_GRASSLAND_GOOD_THREE			"Kartoffeln"
TERRAIN_GRASSLAND_GOOD_FOUR			"Mohn"
TERRAIN_HILL_GOOD_THREE				"Uran"
TERRAIN_HILL_GOOD_FOUR				"Oliven"
TERRAIN_JUNGLE_GOOD_THREE			"Bananen"
TERRAIN_JUNGLE_GOOD_FOUR			"Zucker"
TERRAIN_PLAINS_GOOD_THREE			"Weizen"
TERRAIN_PLAINS_GOOD_FOUR			"Büffel"
TERRAIN_SWAMP_GOOD_TWO				"Reis"
TERRAIN_SWAMP_GOOD_THREE			"Chilli"
TERRAIN_SWAMP_GOOD_FOUR				"Torf"
TERRAIN_TUNDRA_GOOD_TWO				"Öl"
TERRAIN_TUNDRA_GOOD_THREE			"Karibus"
TERRAIN_TUNDRA_GOOD_FOUR			"Karibus"
TERRAIN_WATER_SHALLOW_GOOD_THREE		"Lachs"
TERRAIN_WATER_SHALLOW_GOOD_FOUR			"Hummer"
TERRAIN_WATER_DEEP_GOOD_THREE			"Thunfisch"
TERRAIN_WATER_DEEP_GOOD_FOUR			"Riesenkraken"
TERRAIN_WATER_BEACH_GOOD_THREE			"Färbemittel"
TERRAIN_WATER_BEACH_GOOD_FOUR			"Perlen"
TERRAIN_WATER_SHELF_GOOD_THREE			"Krebse"
TERRAIN_WATER_SHELF_GOOD_FOUR			"Perlen"
#TERRAIN_DUMMY_GOOD				"Dummy-Ressource"
TERRAIN_BROWN_HILL_GOOD_ONE			"Kupfer"
TERRAIN_BROWN_HILL_GOOD_TWO			"Silber"
TERRAIN_BROWN_MOUNTAIN_GOOD_ONE			"Eisenerz"
TERRAIN_BROWN_MOUNTAIN_GOOD_TWO			"Silber"
TERRAIN_WHITE_HILL_GOOD_ONE			"Saphire"
TERRAIN_WHITE_HILL_GOOD_TWO			"Smaragte"

#### CONCEPT STRINGS ####
#CONCEPT_DIAMONDS				"Diamanten"
#CONCEPT_RUBIES					"Rubine"
#CONCEPT_OIL					"Öl"
#CONCEPT_BEAVER					"Biber"
#CONCEPT_TOBACCO				"Tabak"
#CONCEPT_POPPIES				"Mohn"
#CONCEPT_COFFEE					"Kaffee"
#CONCEPT_COCOA					"Trauben"
#CONCEPT_SUGAR					"Zucker"
#CONCEPT_JADE					"Jade"
#CONCEPT_ELEPHANT				"Elefanten"
#CONCEPT_ALLIGATOR				"Alligatoren"
#CONCEPT_CARIBOU				"Karibus"
#CONCEPT_CRABS					"Krebse"
#CONCEPT_PEARLS					"Perlen"
#CONCEPT_WHALES					"Wale"
#CONCEPT_GIANT_SQUID				"Riesenkraken"
#CONCEPT_WORMHOLE				"Wurmloch"
#CONCEPT_ATTACK_ENEMY				"Gegnerangriff"
#CONCEPT_CAPTURE_CITY				"000"
#CONCEPT_CEASE_FIRE				"Friedensabkommen"
#CONCEPT_CIV_POINTS				"Nationspunkte"
#CONCEPT_C_FIELD				"Blockadefeld"
#CONCEPT_DEMANDS				"Forderungen"
#CONCEPT_ECD					"AKS"
#CONCEPT_ECO_PACT				"Umweltschutzabkommen"
#CONCEPT_ENTERTAINER				"Entertainer"
#CONCEPT_EXCHANGES				"Tauschhandel"
#CONCEPT_E_TANK					"Embyrotank"
#CONCEPT_GIFTS					"Schenkungen"
#CONCEPT_G_SPLICER				"Genteiler"
#CONCEPT_INCITE					"Initiieren"
#CONCEPT_LARORER				"Fabrikarbeiter"
#CONCEPT_LEAVE_MY_LANDS				"Vertreibung"
#CONCEPT_MAINTENANCE_COST			"Unterhalt Modernis."
#CONCEPT_MERCHANT				"Händler"
#CONCEPT_MONUMENT_SCREEN			"Monumentansicht"
#CONCEPT_NO_PIRACY				"Piraterie einstellen"
#CONCEPT_REDUCE_POLLUTION			"Umweltverschm. reduzieren"
#CONCEPT_RUSTLE					"r77"
#CONCEPT_SCIENTIST				"Wissenschaftler"
#CONCEPT_SPACE_COLONIES				"Raumkolonie"
#CONCEPT_STOP_TRADE				"Handel abbrechen"
#CONCEPT_TRADE_UNITS				"Stealth-Einheiten"
#CONCEPT_X_LAB					"X-Labor"
CONCEPT_ACTIVE_DEFENSE				"Aktive Verteidigung"
CONCEPT_ADVANCES				"Neuerungen"
CONCEPT_ALLIANCE				"Allianz"
CONCEPT_ANCIENT_AGE				"Die Antike"
CONCEPT_ATROCITY				"Kriegsverbrechen"
CONCEPT_BARBARIANS				"Barbaren"
CONCEPT_CAPITALIZATION				"Kapitalisierung"
CONCEPT_CITY					"Stadt"
CONCEPT_CLASSIC_AGE				"Klassik"
CONCEPT_COMMERCE				"Wirtschaft"
CONCEPT_COMPUTER_AGE				"Computer Ära"
CONCEPT_CRIME					"Kriminalität"
CONCEPT_DEFENSE					"Verteidigung"
CONCEPT_DIAMOND_AGE				"Diamantene Ära"
