T_BUTTON_OK "OK"
T_OPENED_CITY_MGMT "Ihr habt den 'Stadtmanager' erfolgreich geöffnet. Zur Errichtung von Einheiten, Modernisierungen oder Weltwundern klickt auf <c:0,0,200>Bauen<e>. Als Erstes solltet Ihr einen <c:0,0,200>Krieger<e> in Auftrag geben, der sich hervorragend zur Erkundung des umliegenden Geländes eignet."
T_MOVE_UNIT1 "In {city[0].name} {FIRST_UNIT.name#UNDEF_NEW_IS_READY} erschaffen. {FIRST_UNIT.name#PRONOUN_HIS_CAPS} Einsatzbereitschaft wird durch eine <c:50,200,50>grüne<e> Umrandung angezeigt. Um {FIRST_UNIT.name#PRONOUN_HIM} fortzubewegen, klickt auf den gewünschten Zielpunkt. Soll {FIRST_UNIT.name#PRONOUN_SMALL} stattdessen die Stadt verteidigen, drückt die Taste 'f', damit {FIRST_UNIT.name#PRONOUN_SMALL} sich verschanzt."
T_MOVE_UNIT2 "{FIRST_UNIT.name#DEF} ist nun einsatzbereit. Um {FIRST_UNIT.name#PRONOUN_HIM} fortzubewegen, klickt zuerst {FIRST_UNIT.name#PRONOUN_HIM} und dann die gewünschte Zielposition an. Daraufhin folgt {FIRST_UNIT.name#PRONOUN_SMALL} der eingeblendeten Wegstrecke zu dem gewählten Standort." 
T_RESELECT_UNIT "{FIRST_UNIT.name#DEF} wurde deaktiviert. Um {FIRST_UNIT.name#PRONOUN_HIM} fortbewegen zu können, müsst Ihr {FIRST_UNIT.name#PRONOUN_HIM} zunächst anklicken und so erneut aktivieren."
T_BUILT_CITY_WALL "In {city[0].name} wurde eine Stadtmauer errichtet. Einheiten, die sich in <c:0,0,200>{city[0].name}<e> verschanzt haben, erhalten von nun an einen zusätzlichen Defensivbonus."
T_BUILT_GRANARY "Die Stadt <c:0,0,200>{city[0].name}<e> verfügt jetzt über ein Lagerhaus. Dank dieser Modernisierung können die Bürger von nun an Nahrungsvorräte lagern und damit das Bevölkerungswachstum fördern."
T_BUILT_TEMPLE "In <c:0,0,200>{city[0].name}<e> wurde ein Schrein errichtet. Diese Modernisierung erhöht die Zufriedenheit der örtlichen Bevölkerung um {BuildingDB(IMPROVE_SHRINE).HappyInc}."
T_BUILT_MARKETPLACE "In <c:0,0,200>{city[0].name}<e> wurde ein Bazar fertig gestellt, der die Goldeinnahmen der Stadt um {BuildingDB(IMPROVE_BAZAAR).CommercePercent}% erhöht."
T_KEEP_MOVING "Ihr könnt {FIRST_UNIT.name#PRONOUN_YOUR_ACC} anweisen, die Gegend zu erkunden. Sicherheitshalber sollte in jeder Stadt immer mindestens eine Defensiveinheit zurückbleiben, denn in jedem Winkel könnten Feinde lauern."
T_BUILD_MORE_UNITS "Ihr solltet weitere Einheiten erschaffen und diese nicht nur zur Verteidigung Eurer Städte, sondern auch zur Erkundung der Gegend einsetzen."
T_FIRST_CONTACT "Die {player[1].civ_name_plural} und die {player[0].civ_name_plural} sind erstmals in Kontakt getreten. Um diplomatische Beziehungen aufzunehmen, öffnet den 'Diplomatiemanager'."
T_CONFIRM_EARLY_DISBAND "Ihr habt den Befehl gegeben, eine oder mehrere Einheiten aufzulösen. Gegebenenfalls solltet Ihr vorher andere Einheiten erschaffen, die die aufzulösenden Einheiten ersetzen können."
T_FORTIFY_OTHER "{unit[0].name#PRONOUN_YOUR} wurde mit der Verteidigung der Stadt beauftragt. Ihr könnt Eure Einheiten zwar anweisen, sich an jeder beliebigen Stelle zu verschanzen, am sinnvollsten ist dies jedoch an strategisch wichtigen Standorten, in Festungen und innerhalb Eurer Städte."
T_FORTIFY_IN_CITIES "Ihr solltet mindestens eine gute Defensiveinheit in jeder Stadt zurücklassen. Damit sie sich innerhalb der Stadt verschanzt, aktiviert die Einheit und drücken dann die Taste 'f'."
T_FORTIFIED_UNIT_IN_CITY "{unit[0].name#PRONOUN_YOUR} hat sich auf dem Stadt-Geländefeld verschanzt und verteidigt diese Stellung."
T_PW_TOO_HIGH "Es wurde eine sehr hohe Einstellung für Eure staatlichen Bautrupps gewählt, so dass die Bauprojekte in Euren Städten nur schleppend voranschreiten. Ihr solltet diese Einstellung auf einen Wert um 20% setzen."
T_KEEP_HITTING_END "Nur wenn Ihr die Karte weiter erkundet, könnt Ihr Euer Reich vergrößern und schließlich erfolgreich sein. Einheiten wie der Krieger eignen sich hervorragend, um gute Standorte für die Gründung neuer Städte ausfindig zu machen."
T_KEEP_EXPLORING "Es wird einige Runden dauern, bis Euer erstes Bauprojekt fertig gestellt ist. Um den Baufortgang zu überwachen, markiert die Stadt und öffnen das 'Stadt'-Register. Danach klickt wiederholt auf <c:0,50,255>'Runde beenden'<e> oder drücken die <c:0,0,200>'Eingabetaste'<e>."
T_SETTLER_WARNING "Wenn ein Siedler auszieht, um eine neue Stadt zu gründen, nimmt er immer einen Teil der Bevölkerung mit. Bevor Ihr in dieser Stadt einen Siedler erschafft, solltet Ihr daher sicherheitshalber warten, bis die Bevölkerungsgröße gestiegen ist."
T_SHOW_CHECK_QUEUE "check_queue = {check_queue}"
T_SHOW_TERRAIN_SCORE "Geländewertung = {RADIUS_SCORE}"
T_RADIUS_RUNDOWN "DIR0: {TILE_SCORE[0]}, DIR1: {TILE_SCORE[1]}, DIR2: {TILE_SCORE[2]}, DIR3: {TILE_SCORE[3]}, DIR4: {TILE_SCORE[4]}, DIR5: {TILE_SCORE[5]}, DIR6: {TILE_SCORE[6]}, DIR7: {TILE_SCORE[7]}, DIR8: {TILE_SCORE[8]} <c:255,0,50>GELÄNDEWERTUNG = {RADIUS_SCORE}<e>"
T_CHECK_LEVELS "WagesExp:{WAGES_EXP} WkdyExp:{WORKDAY_EXP} RatExp:{RATIONS_EXP}\n\nWagesLev:{WAGES_LEVEL} WkdyLev:{WORKDAY_LEVEL} RatLev:{RATIONS_LEVEL}"
T_CHECK_LEVELS1 "Die aktuellen Einstellungen für Löhne, Arbeitstage und Rationen entsprechen nicht den Erwartungen Eurer Bürger, so dass große Unzufriedenheit herrscht. Wenn Ihr nichts dagegen unternehmt, könnte es sogar zum Aufruhr in Ihren Städten kommen! Die Erwartungen richten sich nach der gewählten Regierungsform."
T_CHECK_LEVELS2 "Die aktuellen Einstellungen für Arbeitstage und Rationen entsprechen nicht den Erwartungen Eurer Bürger! Aufgrund dessen herrscht große Unzufriedenheit und es könnte sogar zum Aufruhr in Ihren Städten kommen."
T_CHECK_LEVELS3 "Die aktuellen Einstellungen für Löhne und Rationen entsprechen nicht den Erwartungen Eurer Bürger! Aufgrund dessen herrscht große Unzufriedenheit und es könnte sogar zum Aufruhr in Ihren Städten kommen."
T_CHECK_LEVELS4 "Die aktuellen Einstellungen für Arbeitstage und Löhne entsprechen nicht den Erwartungen Eurer Bürger! Aufgrund dessen herrscht große Unzufriedenheit und es könnte sogar zum Aufruhr in Ihren Städten kommen."
T_GOOD_SPOT "Dieses Gelände bietet gute Nahrungs- und Produktionserträge. Schließt Ihr die Runde nach Beendigung aller Spielzüge ab (<c:0,50,255>'Runde beenden'<e> oder <c:0,0,200>'Eingabetaste'<e>), markiert den Siedler in der nächsten Runde erneut und gründet hier eine Stadt (Taste <c:0,0,200>'b'<e>)."
T_MOVE_MORE "Dieses Gelände bietet nicht genügend Nahrung, um das Bevölkerungswachstum einer Stadt zu sichern. Ihr solltet stattdessen nach Weideland, Steppen oder Flüssen Ausschau halten. Schließt zunächst die verbleibenden Spielzüge ab und klickt dann auf den Button <c:0,50,255>'Runde beenden'<e>."
T_BUILD_A_DAMN_CITY "Euer Siedler wartet noch immer auf die Gelegenheit, eine Stadt gründen zu dürfen! Ihr braucht ihn dazu nur zu aktivieren und die Taste <c:0,50,255>'b'<e> zu drücken."
T_START_OVER "Ohne Städte ist Eure Bevölkerung zum Nomadendasein verdammt! In der Zwischenzeit haben sich andere Nationen bereits niedergelassen und mit der Erkundung der Welt begonnen. Vielleicht solltet Ihr lieber ein neues Spiel starten und den Aufbau Eures Reiches beim nächsten Mal etwas zügiger angehen."
T_BUILD_QUEUE_EMPTY "In der Stadt {city[0].name} liegen derzeit keine Bauprojekte vor. Um den <c:0,50,255>Stadtmanager<e> zu öffnen und neue Bauaufträge vergeben zu können, doppelklickt auf die Stadt {city[0].name} oder klickt auf den 'Stadtmanager'-Button."
T_CITIES_NOT_BUILDING "In mehreren Städten herrscht regelrechter Müßiggang! Ihr solltet neue Bauprojekte in Auftrag geben. Öffnet dazu den 'Baumanager', indem Ihr die gewünschte Stadt aktiviert und dann auf <c:0,50,255>'Bauliste'<e> klickt."
T_PICK_NEW_ADVANCE "Herzlichen Glückwunsch! Euer Reich hat mit der Entdeckung <c:0,50,255>{advance[0].name#ARTICLE_GEN}<e> seinen ersten wissenschaftlichen Durchbruch errungen. Wählt ein neues Forschungsprojekt aus."
T_BUILD_CARAVANS "Ihr habt {advance[0].name#ARTICLE_ACC} entdeckt, eine Neuerung, die Euer Reich durch den Verkauf von Handelsgütern zu Wohlstand verhilft. Um Handel betreiben zu können, müsst Ihr jedoch zunächst <c:0,50,255>Karawanen<e> in Euren Städten erschaffen."
T_EMBASSY "{player[0].country_name} hat in {player[1].country_name} eine <c:0,50,255>Botschaft<e> eröffnet. Botschaften bieten zusätzliche diplomatische Handlungsmöglichkeiten."
T_USE_PW "Euer Reich verfügt über genügend <c:0,50,255>staatliche Bautrupps<e>, um die Infrastruktur Eurer Städte verbessern zu können. Die derzeit verfügbaren Feld-Modernisierungen werden Euch im Register <c:0,50,255>Feld<e> angezeigt." 
T_INCREASE_PW "Die Einstellung für Eure staatlichen Bautrupps beträgt zurzeit 20%. Mit Hilfe Eurer staatlichen Bautrupps könnt Ihr Feld-Modernisierungen errichten, die die Infrastruktur Eurer Städte verbessern und damit das Wachstum und die Ausdehnung Eures Reiches fördern."
T_GOOD_SPOT1 "Errichtet eine Stadt, indem Ihr Euren Siedler markiert und dann die Taste <c:0,50,255>'b'<e> drückt. Er kann den Befehl allerdings nur dann ausführen, wenn er in der laufenden Runde noch keine andere Aktion (z.B. Fortbewegung) durchgeführt hat. Ansonsten muss erst die aktuelle Runde beendet werden."
T_GOOD_SPOT2 "Ein guter Standort für die Gründung einer Stadt sollte eine gute Nahrungsgewinnung (z.B. Weideland oder Küstengebiete) und hohe Produktionserträge (z.B. Waldgebiete und Berge) gewährleisten. Habt Ihr einen geeigneten Platz gefunden, markiert Euren Siedler und drückt die Taste <c:0,50,255>'b'<e>."
T_GOOD_SPOT3 "Flüsse erhöhen die Nahrungs-, Produktions- und Wirtschaftserträge der Geländefelder, durch die sie fließen. Darüber hinaus erleichtern sie auch die Fortbewegung: Einheiten können sich entlang von Flussläufen doppelt so schnell fortbewegen wie normal."
T_GOOD_SPOT4 "Ihr solltet so bald wie möglich eine Stadt gründen. Andere Nationen haben sich bereits Ländereien gesichert. Ihr werdet aus strategischer Sicht erheblich benachteiligt sein, wenn Ihr nicht bald mit der Errichtung von Städten beginnt. Aktiviert dazu Euren Siedler und drückt die Taste <c:0,50,255>'b'<e>."
T_NORTH "Im Norden"
T_NORTHEAST "Im Nordosten"
T_EAST "Im Osten"
T_NORTHWEST "Im Nordwesten"
T_SOUTHEAST "Im Südosten"
T_WEST "Im Westen"
T_SOUTHWEST "Im Südwesten"
T_SOUTH "Im Süden"
T_SELF "Auf diesem Geländefeld"
T_NORTH_OF "Nördlich von"
T_NORTHEAST_OF "Nordöstlich von"
T_EAST_OF "Östlich von"
T_NORTHWEST_OF "Nordwestlich von"
T_SOUTHEAST_OF "Südöstlich von"
T_WEST_OF "Westlich von"
T_SOUTHWEST_OF "Südwestlich von"
T_SOUTH_OF "Südlich von"
T_SELF_ON "In"
T_RIVER_DIRECTION "<c:0,50,255>{action[RIVER_DIR].text}<e> befindet sich ein Fluss. Einheiten können sich entlang von Flussläufen schneller fortbewegen und den Städten kommen die höheren Nahrungserträge bewässerter Geländefelder zugute."
T_GOOD_DIRECTION "{action[GOOD_DIR].text} gibt es <c:0,50,255>{ResourceDB(GOOD_NAME)}<e>. Ihr solltet Euren Siedler in der Nähe eine Stadt errichten lassen, damit Ihr das Handelsgut abbauen und zwecks Goldgewinnung verkaufen könnt."
T_NO_GOODS_KEEP_LOOKING "Euer Siedler kann hier nirgends Handelsgüter entdecken. Lasst ihn die Gegend weiter erkunden. Soll er dabei weiterhin nach Handelsgütern Ausschau halten?"
T_UNHAPPY_CITIES "In mehreren Städten herrscht derzeit Unzufriedenheit. Da die Gefahr eines Aufruhrs besteht, solltet Ihr den <c:0,50,255>Reichsmanager<e> öffnen, um Euch nähere Informationen über die betreffenden Städte anzeigen zu lassen."
T_ONE_UNHAPPY_CITY "Die Unzufriedenheit der Bevölkerung in {city[0].name} nimmt gefährliche Ausmaße an. Wenn Ihr keine Maßnahmen ergreift, um dem entgegenzuwirken, könnte es zum Aufruhr kommen."
T_STARVING_CITIES "In mehreren Städten herrscht Hungersnot. Öffnet den <c:0,50,255>Reichsmanager<e>, um Euch nähere Informationen über die betreffenden Städte anzeigen zu lassen."
T_ONE_STARVING_CITY "Die Nahrungserträge der Stadt {city[0].name} reichen nicht aus, um alle Bürger ernähren zu können. In <c:200,0,0>{CITY_STARVATION_TURNS} Runden<e> werden die ersten Opfer dieser Hungersnot zu beklagen sein. Ihr solltet die Rationen senken oder Farmen errichten, um die Nahrungserträge zu erhöhen."
T_YOU_HAVE_GOOD "{action[GOOD_DIR].text} {city[0].name} gibt es {ResourceDB(GOOD_NAME)}. Mit Eurem Karawanenbestand von {CARAVANS_AVAILABLE} könnt Ihr nun Handel betreiben. Im <c:0,50,255>Handelsmanager<e> erfahrt Ihr, welche Städte an Euren Gütern interessiert sind."
T_NO_HAVE_GOOD "Da keine entsprechenden Geländefelder in der Nähe sind, besitzen Eure Städte derzeit keine Handelsgüter. Ihr habt {CARAVANS_AVAILABLE} Karawanen, die Ihr jederzeit einsetzen könnt. Vielleicht solltet Ihr Eure Siedler anweisen, neue Städte auf Geländefeldern mit Handelsgütern gründen."
T_HAVE_GOODS_BUILD_CARAVANS "{action[GOOD_DIR].text} {FIRST_CITY_WITH_GOOD.name} gibt es {ResourceDB(GOOD_NAME)}. Sobald Ihr genügend Karawanen besitzt, könnt Ihr dieses Handelsgut verkaufen, daher solltet Ihr in Euren Städten als Nächstes <c:0,50,255>Karawanen<e> erschaffen."
T_NO_GOODS_SETTLE_NEAR_GOODS "Eure Städte besitzen zurzeit keine Handelsgüter. Erschafft weitere Siedler, schickt sie auf Geländefelder, von denen Handelsgüter abgebaut werden können, und errichtet dort neue Städte."
T_LITTLE_HELP "Auf Wunsch erstatten Eure Siedler Meldung, wenn sie Geländefelder finden, von denen Handelsgüter abgebaut werden können. Wollt Ihr entsprechend informiert werden?"
T_BIOINFECT_CITY "Ein fremder Infektor hat versucht, die Stadt {city[0].name} mit einem Virus zu infizieren. Ihr solltet Bio-Schutzfilter errichten, um Eure Städte vor dieser Gefahr zu schützen!"
T_BORDER_INCURSION "{player[1].civ_name_singular#UNDEF_PLURAL_CAPS} Truppen haben Eure Grenzen durchbrochen!"
T_BORDER_PULLOUT "{player[1].civ_name_singular#UNDEF_PLURAL_CAPS} Truppen haben Euer Territorium verlassen."
T_RUSH_BUY "Die Modernisierung der Stadt {city[0].name} wird in der nächsten Runde fertig gestellt."
T_CANT_MOVE_YET "Das Fortbewegungspotenzial Eurer Einheiten in dieser Runde ist bereits erschöpft. Weitere Befehle können erst in der nächsten Runde ausgeführt werden."
T_CAPTURE_CITY "{player[0].civ_name_singular#UNDEF_PLURAL_CAPS} Truppen haben die Stadt {city[0].name} eingenommen."
T_DESTROYED_CITY "{player[0].civ_name_singular#UNDEF_PLURAL_CAPS} Truppen haben die Stadt {city[0].name} mit ihrem hinterhältigen Angriff vernichtet."
T_CITY_RIOT "Die Bürger der Stadt {city[0].name} revoltieren! Produktion, Wirtschaft und Nahrungsgewinnung sind lahm gelegt. Wenn Ihr nichts unternehmt, werden die Menschen verhungern. Sogar eine Revolution ist möglich. Baut Modernisierungen, die die Zufriedenheit erhöhen, oder bildet einige Entertainer aus."
T_CONVERT_CITY "Die Bevölkerung der Stadt {city[0].name} wurde bekehrt und wirft ihr schwer verdientes Geld den Anführern einer fremden Religion in den Rachen. Glücklicherweise könnt Ihr die Stadt mit Hilfe einer beliebigen Militäreinheit wieder reformieren. Die dafür anfallenden Kosten belaufen sich auf 1.000 Gold."
T_TILE_IMPROVEMENT "Ihr habt mit der Errichtung {TerrainImprovementDB(FIRST_TILE_IMP)#UNDEF_GEN} begonnen. Es wird einige Runden dauern, bis diese Feld-Modernisierung fertig gestellt ist."
T_CREATE_PARK "{player[0].civ_name_singular#UNDEF_PLURAL_CAPS} Öko-Ranger führen in {city[0].name} eine Nanitenbereinigung durch und vernichten damit alle von Menschenhand erschaffenen Einrichtungen. Stattdessen wird die ursprüngliche, unberührte Naturlandschaft wiederhergestellt."
T_DETRENCHED "Ihr werdet nicht verschanzte Einheiten und Truppen anweisen müssen, sich an neuen Standorten zu verschanzen."
T_DISBAND_ARMY_ORDER "ihr solltet die Möglichkeit der Auflösung von Einheiten grundsätzlich nur dann in Betracht ziehen, wenn Ihr sicher sein könnt, dass Euer Reich auch ohne sie auskommen wird."
T_DISBAND_CITY "Die Stadt {city[0].name} wurde aufgelöst und die Bevölkerung ist bis auf einen Siedler fortgezogen. Ihr könnt diesen Siedler anweisen, an anderer Stelle eine neue Stadt zu gründen."
T_SETTLER_ENSLAVED "Ein Sklavenhändler hat Euren Siedler versklavt und zur Fronarbeit in eine {player[0].civ_name_singular#UNDEF_SINGULAR_DAT} Stadt gebracht. Ihr könnt jedoch Freiheitskämpferinnen einsetzen, um Sklaven aus fremden Städten zu befreien."
T_GET_MAP "Ihr habt die {player[0].civ_name_singular#UNDEF_SINGULAR_ACC} Karte erhalten und könnt nun die Positionen einiger fremder Einheiten und Städte erkennen. Dennoch solltet Ihr die Karte weiter erkunden, denn neue Städte, Naturkatastrophen und Kriege können die aktuellen Gegebenheiten verändern."
T_TILE_IMP_COMPLETE "{TerrainImprovementDB(FIRST_TILE_IMP)#ARTICLE_DEF} ist nun fertig gestellt. Ihr könnt auf den benachbarten Geländefeldern weitere {TerrainImprovementDB(FIRST_TILE_IMP)} errichten. Farmen müssen auf fruchtbarem Land angelegt werden. Durch den Bau von Straßen sorgt Ihr für eine schnellere Fortbewegung zwischen Euren Städten."
T_SPY_INCITE_REVOLUTION "Ein fremder Spion hat in Eurer Stadt {city[0].name} eine Revolution ausgelöst. Zum Schutze vor feindlichen Spionen und Cyber-Ninjas solltet Ihr eigene Spionageeinheiten errichten und diese in Euren Städten stationieren."
T_ABOLITIONIST_INCITE_UPRISING "Es besteht die Gefahr, dass fremde Freiheitskämpferinnen versuchen, Eure Sklaven in {city[0].name} zu befreien. Um sich davor zu schützen, solltet Ihr einen Sklavenhändler in der Stadt postieren, der in der Lage ist, feindliche Freiheitskämpferinnen rechtzeitig zu erkennen."
T_CLERIC_INDULGENCE_SALE "Fremde Kleriker erteilen den Bürgern der Stadt {city[0].name} Absolution. Ihr könnt Eure Bevölkerung vor religiösen Bekehrungsversuchen schützen, indem Ihr Stadtmauern errichtet oder einen eigenen Kleriker oder Sklavenhändler in der Stadt postiert."
T_LAWYER_INJOIN_CITY "Ein fremder Anwalt hat Klage gegen die Stadt {city[0].name} erhoben und damit deren gesamte Produktion für die Dauer einer Runde zum Erliegen gebracht. Um Eure Industrie vor weiteren juristischen Angriffen zu schützen, solltet Sie eigene Anwälte erschaffen."
T_CORPORATE_FRANCHISE "Eine {player[0].civ_name_singular#UNDEF_PLURAL_ACC} Handelsgesellschaft hat in {city[0].name} ein Franchising-Unternehmen eröffnet, das dieser Stadt Wirtschaftserträge entzieht. Um dem ein Ende zu setzen, könnte ein Anwalt die Firma verklagen und sie damit aus der Stadt vertreiben."
T_MOVE_INTO_TRANSPORT "Es steigen so viele Einheiten in ein Transportfahrzeug ein, bis es voll besetzt ist. Um die Truppen zu entladen, bewegt das Transportfahrzeug auf ein Land-Geländefeld, klickt es mit der rechten Maustaste an und wählt <c:0,50,255>'Entladen'<e>."
T_MOVE_PATH_ORDER "Die Ziffern entlang der Wegstrecke geben an, wie viele Runden es dauern wird, bis die Einheit das Ziel erreicht hat. <c:50,200,50>Grüne<e> Streckenabschnitte können noch in der aktuellen Runde zurückgelegt werden, für gelbe Abschnitte wird mehr als eine Runde benötigt und rote Wegstrecken sind nicht zugänglich."
T_MOVE_UNLOAD_ORDER "Das Transportfahrzeug bewegt sich so lange fort, bis es ein Land-Geländefeld erreicht und dort seine Fracht entlädt."
T_ECOTERRORIST_NANOINFECT_CITY "Durch die Errichtung eines Bio-Schutzfilters in Euren Städten, z.B. in {city[0].name}, ist ein wirksamer Schutz gegen Nanoviren-Angriffe gewährleistet."
T_CITY_NUKED "Durch einen Nuklearangriff {player[0].civ_name_plural#ARTICLE_GEN} wurde ein Teil die Bevölkerung von {city[0].name} vernichtet. Um Eure Städte vor Nuklearraketen zu schützen, solltet Ihr eine <c:255,0,50>Raketenabwehr<e> errichten."
T_PILLAGE_ORDER "Die Plünderung von Farmen, Straßen und Bergwerken wird als aggressiver Akt gewertet und führt dazu, dass das eigene Ansehen bei der Nation, deren Feld-Modernisierungen betroffen sind, merklich sinkt."
T_PIRATE_ORDER "Die Piraterie eines Handelsweges verhilft Euch zwar zu zusätzlichen Goldeinnahmen, wenn es sich aber wirklich lohnen soll, muss sie in jeder Runde wiederholt werden. Da sie als Akt der Aggression gewertet wird, sollten vorher die diplomatischen Konsequenzen bedacht werden."
T_INFECTOR_PLAGUE_CITY "Ein {player[0].civ_name_singular#UNDEF_PLURAL_NOM} Infektor hat die Stadt {city[0].name} mit biologischen Waffen angegriffen und die Bevölkerung mit einem tödlichen Wirkstoff infiziert. Die Bürger sind äußerst unzufrieden, viele sind arbeitsunfähig und die Produktion steht still."
T_REFORM_CITY_ORDER "Die Reformierung einer Stadt kostet {OrderDB(ORDER_REFORM).Gold} Gold und bewirkt außerdem eine vorübergehende Unzufriedenheit der Bürger. Andererseits schlägt die andere Nation danach immerhin keinen finanziellen Profit mehr aus der städtischen Bevölkerung."
T_DIP_REJECTION "Ihr habt das Gesuch von {player[0].leader_name} abgelehnt. {player[0].leader_name#PRONOUN_HE} könnte nun versuchen, Euch mittels einer Drohung doch noch umzustimmen."
T_DIP_REJECTION_PLAYER "{player[1].leader_name} hat Euer Gesuch abgelehnt. Ihr könnt versuchen, {player[1].leader_name#PRONOUN_HIM} mittels einer Drohung doch noch umzustimmen, Ihr könnt aber auch ein völlig neues Gesuch verfassen."
T_LAWYER_SUE_FRANCHISE "Weil ein Anwalt Euer Franchising-Unternehmen in {city[0].name} verklagt hat, musste es schließen. Diese Stadt liefert Euch nun leider keine Produktionserträge mehr."
T_BUILDING_SOLD "Die Stadt {city[0].name} besitzt {improvement[0].name#NO_ACC} mehr. Durch den Verkauf von Modernisierungen könnt Ihr die Unterhaltskosten senken oder zusätzliche Goldreserven anhäufen. Andererseits können die betroffenen Städte dann aber auch nicht mehr von ihrem Nutzen profitieren."
T_NUKE_TARGETED "Eine feindliche Nuklearrakete wurde auf die Stadt {city[0].name} ausgerichtet. Ihr solltet eine <c:255,0,50>Raketenabwehr<e> errichten, um Euch gegen einen möglichen Angriff zu schützen zu. Alternativ könnt Ihr auch Luftabwehreinheiten wie mobile Raketenwerfer oder Kampfkolosse in Euren Städten postieren."
T_SLAVER_RAID_CITY "Sklavenhändler haben versucht, in Eurer Stadt {city[0].name} Bürger gefangen zu nehmen und im Auftrag einer fremden Nation zu versklaven. Ihr solltet zum Schutze Eurer Bevölkerung Stadtmauern errichten."
T_SLEEP_ORDER "Schlafende Einheiten wachen automatisch auf, wenn eine fremde Einheit in Sichtweite gelangt. Ihr könnt sie aber auch jederzeit selbst aufwecken, indem Ihr sie anklickt und damit aktiviert."
T_ABOLITIONIST_FREE_SLAVES "Eine feindliche Freiheitskämpferin hat versucht, in der Stadt {city[0].name} Sklaven zu befreien. Schützt Euch vor derartigen Übergriffen von außen, indem Ihr Sklavenhändler in Euren Städten postiert."
T_UNLOAD_CARGO "Die Einheiten haben das Transportfahrzeug verlassen und müssen nun erst ausruhen, bevor sie weiterziehen können. Nur Marines und Fallschirmjäger sind in der Lage, sich unmittelbar nach dem Entladen fortzubewegen."
T_WAIT_TITLE "Wusstet Ihr schon ...?"
T_WAIT_1 "Die Ressourcengewinnung einer Stadt erfolgt über die Geländefelder innerhalb der weißen Umrandung, die das Stadtgebiet kennzeichnet. Je höher das Bevölkerungswachstum, desto mehr weitet sich das Stadtgebiet aus. Die farbige Umrandung markiert das gesamte Territorium einer Reiches."
