# Control Panel
STATUSBAR_TILEIMP_SELECT_GRASSLND_BUTTON	"Wandelt ein beliebiges Landfeld in ein Feld mit Weideland."
TOOLTIP_TILEIMP_SELECT_GRASSLND_BUTTON	"Weideland"
STATUSBAR_TILEIMP_SELECT_HILL_BUTTON	"Wandelt ein beliebiges Landfeld in ein Hügelfeld."
TOOLTIP_TILEIMP_SELECT_HILL_BUTTON	"Hügel"
STATUSBAR_TILEIMP_SELECT_JUNGLE_BUTTON	"Wandelt ein beliebiges Landfeld in ein Dschungelfeld."
TOOLTIP_TILEIMP_SELECT_JUNGLE_BUTTON	"Dschungel"
STATUSBAR_TILEIMP_SELECT_MOUNTAIN_BUTTON	"Wandelt ein beliebiges Landfeld in ein Bergfeld."
TOOLTIP_TILEIMP_SELECT_MOUNTAIN_BUTTON	"Berge"
STATUSBAR_TILEIMP_SELECT_PLAINS_BUTTON	"Wandelt ein beliebiges Landfeld in ein Steppenfeld."
TOOLTIP_TILEIMP_SELECT_PLAINS_BUTTON	"Steppe"
STATUSBAR_TILEIMP_SELECT_SWAMP_BUTTON	"Wandelt ein beliebiges Landfeld in ein Sumpffeld."
TOOLTIP_TILEIMP_SELECT_SWAMP_BUTTON	"Sümpfe"
STATUSBAR_TILEIMP_SELECT_WHITE_HILL_BUTTON	"Wandelt ein beliebiges Landfeld in ein Gletscherhügelfeld."
TOOLTIP_TILEIMP_SELECT_WHITE_HILL_BUTTON	"Gletscherhügel"
STATUSBAR_TILEIMP_SELECT_WHITE_MOUNTAIN_BUTTON	"Wandelt ein beliebiges Landfeld in ein Gletscherbergfeld."
TOOLTIP_TILEIMP_SELECT_WHITE_MOUNTAIN_BUTTON	"Gletscherberg"
STATUSBAR_TILEIMP_SELECT_TUNDRA_BUTTON	"Wandelt ein beliebiges Landfeld in ein Tundrafeld."
TOOLTIP_TILEIMP_SELECT_TUNDRA_BUTTON	"Tundra"
STATUSBAR_TILEIMP_SELECT_GLACIER_BUTTON	"Wandelt ein beliebiges Landfeld in ein Gletscherfeld."
TOOLTIP_TILEIMP_SELECT_GLACIER_BUTTON	"Gletscher"
STATUSBAR_TILEIMP_SELECT_SHALWTR_BUTTON	"Wandelt ein beliebiges Landfeld in ein Flachwasserfeld."
TOOLTIP_TILEIMP_SELECT_SHALWTR_BUTTON	"Flachwasser"
STATUSBAR_TILEIMP_UNKWNWTR_BUTTON	"Wandelt ein beliebiges Wasserfeld in das entsprechende Terraforming-Feld."
TOOLTIP_TILEIMP_UNKWNWTR_BUTTON		"Unbekanntes Gewässer"
STATUSBAR_TILEIMP_PELAGIC_BUTTON	"Wandelt ein beliebiges Wasserfeld in ein pelagisches Meeresfeld."
TOOLTIP_TILEIMP_PELAGIC_BUTTON		"Pelagisches (flaches) Meer"
STATUSBAR_TILEIMP_BENTHIC_BUTTON	"Wandelt ein beliebiges Wasserfeld in ein benthisches Meeresfeld."
TOOLTIP_TILEIMP_BENTHIC_BUTTON		"Benthisches (tiefes) Meer"
STATUSBAR_TILEIMP_CONTSHELF_BUTTON	"Wandelt ein beliebiges Wasserfeld in ein Feld mit Felsenriff."
TOOLTIP_TILEIMP_CONTSHELF_BUTTON	"Felsenriff"
STATUSBAR_TILEIMP_SUBCANYON_BUTTON	"Wandelt ein beliebiges Wasserfeld in einen Canyon."
TOOLTIP_TILEIMP_SUBCANYON_BUTTON	"Canyon"
STATUSBAR_TILEIMP_MTNRIDGE_BUTTON	"Wandelt ein beliebiges Wasserfeld in ein Feld mit Meeresriff."
TOOLTIP_TILEIMP_MTNRIDGE_BUTTON		"Meeresriff"
STATUSBAR_TILEIMP_OCEANMTN_BUTTON	"Wandelt ein beliebiges Wasserfeld in ein Feld mit Unterwassergebirge."
TOOLTIP_TILEIMP_OCEANMTN_BUTTON		"Unterwassergebirge"

# Messages Tab
STATUSBAR_MESSAGES_MAINTAB		"Hier werden alle während des Spiels erhaltenen Nachrichten archiviert."
TOOLTIP_MESSAGES_MAINTAB		"Nachrichten"
STATUSBAR_MESSAGES_READMESSAGE_BUTTON	"Hier klicken, um die ganze Nachricht zu lesen."
TOOLTIP_MESSAGES_READMESSAGE_BUTTON	"Meldung lesen"
STATUSBAR_MESSAGES_READNEWSPAPER_BUTTON	"Hier klicken, um diese Zeitung zu lesen."
TOOLTIP_MESSAGES_READNEWSPAPER_BUTTON	"Zeitung lesen"

# Advisor Selection Box
# aka "The Helm"
STATUSBAR_SHORTCUTPAD_YEARTURN_TOGGLE_BUTTON	"Schaltet zwischen Jahres- und Rundenangabe um."
TOOLTIP_SHORTCUTPAD_YEARTURN_TOGGLE_BUTTON	"Umschalten Jahr/Runde"
STATUSBAR_SHORTCUTPAD_GOTO_CIVSCR_BUTTON	"Startet den Inlandsmanager."
TOOLTIP_SHORTCUTPAD_GOTO_CIVSCR_BUTTON		"Inlandsmanager"
STATUSBAR_SHORTCUTPAD_GOTO_SCIENCESCR_BUTTON	"Startet den Wissenschaftsmanager."
TOOLTIP_SHORTCUTPAD_GOTO_SCIENCESCR_BUTTON	"Wissenschaftsmanager"
STATUSBAR_SHORTCUTPAD_GOTO_TRADESCR_BUTTON	"Startet den Handelsmanager."
TOOLTIP_SHORTCUTPAD_GOTO_TRADESCR_BUTTON	"Handelsmanager"
STATUSBAR_SHORTCUTPAD_GOTO_CITYSCR_BUTTON	"Startet den Stadtmanager."
TOOLTIP_SHORTCUTPAD_GOTO_CITYSCR_BUTTON		"Stadtmanager"
STATUSBAR_SHORTCUTPAD_NATLSCR_BUTTON		"Startet den Nationsmanager."
TOOLTIP_SHORTCUTPAD_NATLSCR_BUTTON		"Nationsmanager"
STATUSBAR_SHORTCUTPAD_GOTO_UNITSCR_BUTTON	"Startet den Einheitenmanager."
TOOLTIP_SHORTCUTPAD_GOTO_UNITSCR_BUTTON		"Einheitenmanager"
STATUSBAR_SHORTCUTPAD_GOTO_DIPSCR_BUTTON	"Startet den Diplomatiemanager."
TOOLTIP_SHORTCUTPAD_GOTO_DIPSCR_BUTTON		"Diplomatiemanager"
STATUSBAR_SHORTCUTPAD_GOTO_LIBRARY_BUTTON	"Öffnet die Lexikothek."
TOOLTIP_SHORTCUTPAD_GOTO_LIBRARY_BUTTON		"Lexikothek"

# Minimap
STATUSBAR_MINIMAP_SHOW_FILTER_BUTTON		"Schaltet zwischen hoher und niedriger Kartenauflösung um."
TOOLTIP_MINIMAP_SHOW_FILTER_BUTTON		"Kartenfilter ein/aus"
STATUSBAR_MINIMAP_SHOW_BORDERS_BUTTON		"Blendet die Landesgrenzen ein oder aus."
TOOLTIP_MINIMAP_SHOW_BORDERS_BUTTON		"Landesgrenzen ein-/ausblenden"
STATUSBAR_MINIMAP_SHOW_CITIES_BUTTON		"Blendet alle Städte ein oder aus."
TOOLTIP_MINIMAP_SHOW_CITIES_BUTTON		"Städte ein-/ausblenden"
STATUSBAR_MINIMAP_SHOW_UNITS_BUTTON		"Blendet die Standorte von Einheiten ein oder aus."
TOOLTIP_MINIMAP_SHOW_UNITS_BUTTON		"Einheiten ein-/ausblenden"
STATUSBAR_MINIMAP_SHOW_TRADE_BUTTON 		"Blendet Handelswege ein oder aus."
TOOLTIP_MINIMAP_SHOW_TRADE_BUTTON		"Handelswege ein/aus"
STATUSBAR_MINIMAP_SHOW_TERRAIN_BUTTON 		"Schaltet die detaillierte Geländefelddarstellung ein/aus."
TOOLTIP_MINIMAP_SHOW_TERRAIN_BUTTON		"Geländefelddetails ein/aus"

# Empire Manager Screen
#
#	Commerce Window
STATUSBAR_DOMADV_COMM_WAGES_BUTTON		"Der Goldbetrag, der für die Löhne Ihrer Bürger aufgewendet wird."
TOOLTIP_DOMADV_COMM_WAGES_BUTTON		"Löhne"
STATUSBAR_DOMADV_COMM_UPKEEP_BUTTON		"Die Unterhaltskosten (in Gold) für Gebäude und Modernisierungen in Ihren Städten."
TOOLTIP_DOMADV_COMM_UPKEEP_BUTTON       "Modernisierungskosten"
STATUSBAR_DOMADV_COMM_SCIENCE_BUTTON	"Der Goldbetrag, der für wissenschaftl. Forschung zur Verfügung steht."
TOOLTIP_DOMADV_COMM_SCIENCE_BUTTON		"Wissenschaft"
STATUSBAR_DOMADV_COMM_CRIME_BUTTON		"Die Goldeinbußen durch Kriminalität."
TOOLTIP_DOMADV_COMM_CRIME_BUTTON		"Kriminalität"
STATUSBAR_DOMADV_COMM_SAVINGS_BUTTON	"Der Betrag für Ihre Rücklagen."
TOOLTIP_DOMADV_COMM_SAVINGS_BUTTON		"Rücklagen"
STATUSBAR_DOMADV_FOOD_REQUIRED_BUTTON		""
STATUSBAR_DOMADV_FOOD_COLLECTED_BUTTON		""


#	Production Window
STATUSBAR_DOMADV_PROD_MILUPKEEP_BUTTON	"Die Gesamtkosten für Ihren Militärunterhalt."
TOOLTIP_DOMADV_PROD_MILUPKEEP_BUTTON	"Militärunterhalt"
STATUSBAR_DOMADV_PROD_PW_BUTTON		"Der Goldbetrag für staatliche Bautrupps."
TOOLTIP_DOMADV_PROD_PW_BUTTON			"Staatl. Bautrupps"
STATUSBAR_DOMADV_PROD_CRIME_BUTTON		"Die Produktionseinbußen durch Kriminalität."
TOOLTIP_DOMADV_PROD_CRIME_BUTTON		"Kriminalität"
STATUSBAR_DOMADV_PROD_CITYUSE_BUTTON	"Der Produktionsverbrauch in den Städten."
TOOLTIP_DOMADV_PROD_CITYUSE_BUTTON		"Stadtverbrauch"

#	Food Window
STATUSBAR_DOMADV_FOOD_CONSUMED_BUTTON	"Der gesamte Nahrungsverbrauch der Bevölkerung."
TOOLTIP_DOMADV_FOOD_CONSUMED_BUTTON		"Nahrungsverbrauch"
STATUSBAR_DOMADV_FOOD_CRIME_BUTTON		"Die Nahrungseinbußen durch Kriminalität."
TOOLTIP_DOMADV_FOOD_CRIME_BUTTON		"Nahrungsverlust durch Kriminalität"
STATUSBAR_DOMADV_FOOD_STORED_BUTTON		"Die gelagerte Nahrungsmenge."
TOOLTIP_DOMADV_FOOD_STORED_BUTTON		"Nahrungslagerung"

#	Main Domestic Advisor Window
STATUSBAR_DOMADV_MAIN_SCITAX_DECR_BUTTON	"Ermöglicht die Senkung des Wissenschaftsbudgets."
TOOLTIP_DOMADV_MAIN_SCITAX_DECR_BUTTON	"Wissenschaftsbudget kürzen"
STATUSBAR_DOMADV_MAIN_SCITAX_INCR_BUTTON	"Ermöglicht die Erhöhung des Wissenschaftsbudgets."
TOOLTIP_DOMADV_MAIN_SCITAX_INCR_BUTTON	"Wissenschaftsbudget erhöhen"
STATUSBAR_DOMADV_MAIN_SCITAX_DISPLAY	"Der prozentuale Ressourcenanteil des Wissenschaftsbudgets."
TOOLTIP_DOMADV_MAIN_SCITAX_DISPLAY		"Wissenschaftsbudget"
STATUSBAR_DOMADV_MAIN_GOVT_DISPLAY		"Die aktuell gewählte Regierungsform."
TOOLTIP_DOMADV_MAIN_GOVT_DISPLAY		"Akt. Regierung"
STATUSBAR_DOMADV_MAIN_CHANGE_GOVT_BUTTON	"Ermöglicht die Änderung der Regierungsform."
TOOLTIP_DOMADV_MAIN_CHANGE_GOVT_BUTTON	"Regierungswechsel"
STATUSBAR_DOMADV_MAIN_WAGES_SLIDER		"Ermöglicht die Festlegung der Löhne für Ihre Arbeiter."
TOOLTIP_DOMADV_MAIN_WAGES_SLIDER		"Durchschnittslohn"
STATUSBAR_DOMADV_MAIN_COMM_ADVISOR_BUTTON	"Ermöglicht die Befragung Ihres Handelsberaters."
