#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Civ specific strings, e.g civ names, civ leaders,
#                city names (German)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the civilisation related strings like civilisation
#   names, city names, emissary photos and diplomacy flags.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Moved back diplomacy photo strings from add_str.txt.
# - Added a bunch of new civs.
#
#----------------------------------------------------------------------------

#### Empire/Civilisation Names ####


##### kjm 021699 - added - this goes into the investigate diplomacy screen
PERSONALITY_DESCRIPTION_BARBARIAN	"Barbarisch"
ABORIGINE_DIPLOMAT_FLAG			"aborigine-diploflag.tga"
AFRICAN_MAN_FLAG			"barbarian-diploflag.tga"
AMERICAN_DIPLOMAT_FLAG			"US-diploflag.tga"
ARABIAN_DIPLOMAT_FLAG			"arab-diploflag.tga"
ARGENTINIAN_DIPLOMAT_FLAG		"argentina-diploflag.tga"
ASSYRIAN_DIPLOMAT_FLAG			"Assyria2-diploflag.tga"
AUSTRALIAN_DIPLOMAT_FLAG		"australia-diploflag.tga"
AUSTRIAN_DIPLOMAT_FLAG			"austria-diploflag.tga"
AZTEC_DIPLOMAT_FLAG			"aztec-diploflag.tga"
BABYLONIAN_DIPLOMAT_FLAG		"babylon2-diploflag.tga"
BANTU_DIPLOMAT_FLAG			"bantu-diploflag.tga"
BRAZILIAN_DIPLOMAT_FLAG			"brazil-diploflag.tga"
BRITISH_DIPLOMAT_FLAG			"uk-diploflag.tga"
BYZANTINE_DIPLOMAT_FLAG			"byzantine-diploflag.tga"
CANADIAN_DIPLOMAT_FLAG			"canada-diploflag.tga"
CARTHAGINIAN_DIPLOMAT_FLAG		"carthage-diploflag.tga"
CELTIC_DIPLOMAT_FLAG			"celt-diploflag.tga"
CHINESE_DIPLOMAT_FLAG			"china-diploflag.tga"
CONFEDERATE_DIPLOMAT_FLAG		"confederate-diploflag.tga"
CUBAN_DIPLOMAT_FLAG			"cuba-diploflag.tga"
DUTCH_DIPLOMAT_FLAG			"dutch-diploflag.tga"
EGYPTIAN_DIPLOMAT_FLAG			"egypt-diploflag.tga"
ENGLISH_DIPLOMAT_FLAG			"england-diploflag.tga"
ETHIOPIAN_DIPLOMAT_FLAG			"eithiopia-diploflag.tga"
ETRUSCAN_DIPLOMAT_FLAG			"etruscan-diploflag.tga"
FRENCH_DIPLOMAT_FLAG			"france-diploflag.tga"
GERMAN_DIPLOMAT_FLAG			"german-diploflag.tga"
GREEK_DIPLOMAT_FLAG			"greece-diploflag.tga"
HARAPPAN_DIPLOMAT_FLAG			"pakistanflag.tga"
HEBREW_DIPLOMAT_FLAG			"israel-diploflag.tga"
HITTITE_DIPLOMAT_FLAG			"hittite-diploflag.tga"
INCAN_DIPLOMAT_FLAG			"peru-diploflag.tga"
INDIAN_DIPLOMAT_FLAG			"india-diploflag.tga"
INDONESIAN_DIPLOMAT_FLAG		"indonesia-diploflag.tga"
IRISH_DIPLOMAT_FLAG			"ireland-diploflag.tga"
ITALIAN_DIPLOMAT_FLAG			"italy-diploflag.tga"
JAMAICAN_DIPLOMAT_FLAG			"jamaica-diploflag.tga"
JAPANESE_DIPLOMAT_FLAG			"japan-diploflag.tga"
KHMER_DIPLOMAT_FLAG			"khmer-diploflag.tga"
KOREAN_DIPLOMAT_FLAG			"korea-diploflag.tga"
MALIAN_DIPLOMAT_FLAG			"mali-diploflag.tga"
MAYAN_DIPLOMAT_FLAG			"maya-diploflag.tga"
MEXICAN_DIPLOMAT_FLAG			"mexico-diploflag.tga"
MINOAN_DIPLOMAT_FLAG			"minoan-diploflag.tga"
MONGOLIAN_DIPLOMAT_FLAG			"mongol-diploflag.tga"
NATIVE_AMERICAN_DIPLOMAT_FLAG		"nativeamerican-diploflag.tga"
NICARAGUAN_DIPLOMAT_FLAG		"nicaragua-diploflag.tga"
NIGERIAN_DIPLOMAT_FLAG			"nigeria-diploflag.tga"
NUBIAN_DIPLOMAT_FLAG			"nubia-diploflag.tga"
PERSIAN_DIPLOMAT_FLAG			"iran-diploflag.tga"
PHOENICIAN_DIPLOMAT_FLAG		"lebanon-diploflag.tga"
POLAND_DIPLOMAT_FLAG			"poland-diploflag.tga"
POLYNESIAN_DIPLOMAT_FLAG		"polynesia-diploflag.tga"
PORTUGUESE_DIPLOMAT_FLAG		"portugal-diploflag.tga"
ROMAN_DIPLOMAT_FLAG			"Rome-diploflag.tga"
RUSSIAN_DIPLOMAT_FLAG			"russia-diploflag.tga"
SCOTTISH_DIPLOMAT_FLAG			"scottish-diploflag.tga"
SHANG_DIPLOMAT_FLAG			"taiwan-diploflag.tga"
SLAVIC_DIPLOMAT_FLAG			"ukraine-diploflag.tga"
SPANISH_DIPLOMAT_FLAG			"spain-diploflag.tga"
SWEDISH_DIPLOMAT_FLAG			"sweden-diploflag.tga"
THAI_DIPLOMAT_FLAG			"thai-diploflag.tga"
TURKISH_DIPLOMAT_FLAG			"turkey-diploflag.tga"
VIKING_DIPLOMAT_FLAG			"norway-diploflag.tga"
WELSH_DIPLOMAT_FLAG			"welsh-diploflag.tga"
ZULU_DIPLOMAT_FLAG			"zimbabwe-diploflag.tga"

# emissary photos
#
GREEK_DIPLOMAT_PHOTO		"updp023.tga"
AMERICAN_DIPLOMAT_PHOTO		"updp010.tga"
SCOTTISH_DIPLOMAT_PHOTO		"updp044.tga"
IRISH_DIPLOMAT_PHOTO		"updp028.tga"
ENGLISH_DIPLOMAT_PHOTO		"updp019.tga"
NATIVE_AMERICAN_DIPLOMAT_PHOTO	"updp035.tga"
GERMAN_DIPLOMAT_PHOTO		"updp022.tga"
FRENCH_DIPLOMAT_PHOTO		"updp021.tga"
JAPANESE_DIPLOMAT_PHOTO		"updp030.tga"
CHINESE_DIPLOMAT_PHOTO		"updp015.tga"
RUSSIAN_DIPLOMAT_PHOTO		"updp043.tga"
SPANISH_DIPLOMAT_PHOTO		"updp045.tga"
PORTUGUESE_DIPLOMAT_PHOTO	"updp041.tga"
DUTCH_DIPLOMAT_PHOTO		"updp017.tga"
VIKING_DIPLOMAT_PHOTO		"updp048.tga"
ROMAN_DIPLOMAT_PHOTO		"updp042.tga"
EGYPTIAN_DIPLOMAT_PHOTO		"updp018.tga"
PERSIAN_DIPLOMAT_PHOTO		"updp038.tga"
TURKISH_DIPLOMAT_PHOTO		"updp047.tga"
PHOENICIAN_DIPLOMAT_PHOTO	"updp039.tga"
WELSH_DIPLOMAT_PHOTO		"updp049.tga"
CUBAN_DIPLOMAT_PHOTO		"updp016.tga"
ZULU_DIPLOMAT_PHOTO		"updp050.tga"
HEBREW_DIPLOMAT_PHOTO		"updp024.tga"
ASSYRIAN_DIPLOMAT_PHOTO		"updp011.tga"
INDIAN_DIPLOMAT_PHOTO		"updp026.tga"
THAI_DIPLOMAT_PHOTO		"updp046.tga"
POLYNESIAN_DIPLOMAT_PHOTO	"updp040.tga"
INDONESIAN_DIPLOMAT_PHOTO	"updp027.tga"
JAMAICAN_DIPLOMAT_PHOTO		"updp029.tga"
INCAN_DIPLOMAT_PHOTO		"updp025.tga"
MAYAN_DIPLOMAT_PHOTO		"updp032.tga"
CANADIAN_DIPLOMAT_PHOTO		"updp014.tga"
NIGERIAN_DIPLOMAT_PHOTO		"updp037.tga"
KOREAN_DIPLOMAT_PHOTO		"updp031.tga"
BRAZILIAN_DIPLOMAT_PHOTO	"updp013.tga"
AUSTRALIAN_DIPLOMAT_PHOTO	"updp012.tga"
MEXICAN_DIPLOMAT_PHOTO		"updp033.tga"
ETHIOPIAN_DIPLOMAT_PHOTO	"updp020.tga"
MONGOLIAN_DIPLOMAT_PHOTO	"updp034.tga"
NICARAGUAN_DIPLOMAT_PHOTO	"updp036.tga"

AFRICAN_MAN_PHOTO		"updp050.tga"

ARABIAN_DIPLOMAT_PHOTO		"updp050.tga"
AUSTRIAN_DIPLOMAT_PHOTO		"updp050.tga"
NUBIAN_DIPLOMAT_PHOTO		"updp050.tga"
BYZANTINE_DIPLOMAT_PHOTO	"updp050.tga"
CELTIC_DIPLOMAT_PHOTO		"updp050.tga"
BABYLONIAN_DIPLOMAT_PHOTO	"updp050.tga"
CARTHAGINIAN_DIPLOMAT_PHOTO	"updp050.tga"
SWEDISH_DIPLOMAT_PHOTO		"updp050.tga"
AZTEC_DIPLOMAT_PHOTO		"updp050.tga"
ITALIAN_DIPLOMAT_PHOTO		"updp050.tga"
BANTU_DIPLOMAT_PHOTO		"updp050.tga"
SLAVIC_DIPLOMAT_PHOTO		"updp050.tga"
MINOAN_DIPLOMAT_PHOTO		"updp050.tga"
HARAPPAN_DIPLOMAT_PHOTO		"updp050.tga"
HITTITE_DIPLOMAT_PHOTO		"updp050.tga"
SHANG_DIPLOMAT_PHOTO		"updp050.tga"
ETRUSCAN_DIPLOMAT_PHOTO		"updp050.tga"
ABORIGINE_DIPLOMAT_PHOTO	"updp050.tga"
ARGENTINIAN_DIPLOMAT_PHOTO	"updp050.tga"
KHMER_DIPLOMAT_PHOTO		"updp050.tga"
MALIAN_DIPLOMAT_PHOTO		"updp050.tga"


## Insert as portion of Strings.txt

BARBARIAN			"Barbaren"

BARBARIAN_LEADERM_NAME		"Attila"
BARBARIAN_LEADERF_NAME		"Tannis"
BARBARIAN_SINGULAR		"Barbaren"
BARBARIAN_PLURAL		"Barbaren"
BARBARIAN_COUNTRY_NAME		"Barbarenstämme"

BARBARIAN_CITY_1		"Wandalen"
BARBARIAN_CITY_2		"Ostgoten"
BARBARIAN_CITY_3		"Westgoten"
BARBARIAN_CITY_4		"Burgunder"
BARBARIAN_CITY_5		"Langobarden"
BARBARIAN_CITY_6		"Pikten"
BARBARIAN_CITY_7		"Hunnen"
BARBARIAN_CITY_8		"Kelten"
BARBARIAN_CITY_9		"Normannen"
BARBARIAN_CITY_10		"Gallier"
BARBARIAN_CITY_11		"Alemannen"
BARBARIAN_CITY_12		"Jüten"
BARBARIAN_CITY_13		"Angeln"
BARBARIAN_CITY_14		"Sachsen"
BARBARIAN_CITY_15		"Markomannen"
BARBARIAN_CITY_16		"Cherusker"
BARBARIAN_CITY_17		"Franken"
BARBARIAN_CITY_18		"Teutonen"
BARBARIAN_CITY_19		"Bulgaren"
BARBARIAN_CITY_20		"Alamanen"
BARBARIAN_CITY_21		"Sweben"
BARBARIAN_CITY_22		"Friesen"
BARBARIAN_CITY_23		"Awaren"
BARBARIAN_CITY_24		"Magjaren"
BARBARIAN_CITY_25		"Gepiden"
BARBARIAN_CITY_26		"Alanen"
BARBARIAN_CITY_27		"Rugier"
BARBARIAN_CITY_28		"Sueven"
BARBARIAN_CITY_29		"Lombarden"
BARBARIAN_CITY_30		"Thüringer"


GREEK				"Griechen"

GREEK_LEADERM_NAME "Alexander der Große"
GREEK_LEADERF_NAME "Helena"
GREEK_COUNTRY_NAME "Griechenland"
GREEK_SINGULAR "Griechen"
GREEK_PLURAL "Griechen"

GREEK_CITY_1 "Athen"
GREEK_CITY_2 "Sparta"
GREEK_CITY_3 "Korinth"
GREEK_CITY_4 "Olympia"
GREEK_CITY_5 "Troja"
GREEK_CITY_6 "Delphi"
GREEK_CITY_7 "Argos"
GREEK_CITY_8 "Rhodos"
GREEK_CITY_9 "Mykene"
GREEK_CITY_10 "Pylos"
GREEK_CITY_11 "Knossos"
GREEK_CITY_12 "Byzanz"
GREEK_CITY_13 "Miletus"
GREEK_CITY_14 "Megara"
GREEK_CITY_15 "Marathon"
GREEK_CITY_16 "Thermopylae"
GREEK_CITY_17 "Thessalonica"
GREEK_CITY_18 "Stagira"
GREEK_CITY_19 "Anactorium"
GREEK_CITY_20 "Corcyra"
GREEK_CITY_21 "Epidaurus"
GREEK_CITY_22 "Halicarnassus"
GREEK_CITY_23 "Polidaea"
GREEK_CITY_24 "Tegea"
GREEK_CITY_25 "Mytilene"
GREEK_CITY_26 "Amphipolis"
GREEK_CITY_27 "Ephesus"
GREEK_CITY_28 "Melos"
GREEK_CITY_29 "Philippi"
GREEK_CITY_30 "Lesbos"
GREEK_CITY_31 "Taras"
GREEK_CITY_32 "Sybaris"
GREEK_CITY_33 "Rhegion"
GREEK_CITY_34 "Syracuse"
GREEK_CITY_35 "Gela"
GREEK_CITY_36 "Akragas"
GREEK_CITY_37 "Himera"
GREEK_CITY_38 "Abdera"
GREEK_CITY_39 "Chalcedon"
GREEK_CITY_40 "Phokaia"
GREEK_CITY_41 "Kolophon"
GREEK_CITY_42 "Dodona"
GREEK_CITY_43 "Ambracia"
GREEK_CITY_44 "Itanos"
GREEK_CITY_45 "Herakleia"
GREEK_CITY_46 "Sestos"
GREEK_CITY_47 "Ialysos"
GREEK_CITY_48 "Kameiros"
GREEK_CITY_49 "Samos"
GREEK_CITY_50 "Thasos"


AMERICANS "Amerikaner"

AMERICAN_LEADERM_NAME "George Washington"
AMERICAN_LEADERF_NAME "Susan B. Anthony"
AMERICAN_COUNTRY_NAME "Amerika"
AMERICAN_SINGULAR "Amerikaner"
AMERICAN_PLURAL "Amerikaner"

AMERICAN_CITY_1 "Washington D.C."
AMERICAN_CITY_2 "Boston"
AMERICAN_CITY_3 "Philadelphia"
AMERICAN_CITY_4 "New York"
AMERICAN_CITY_5 "San Francisco"
AMERICAN_CITY_6 "Atlanta"
AMERICAN_CITY_7 "Chicago"
AMERICAN_CITY_8 "Richmond"
AMERICAN_CITY_9 "San Diego"
AMERICAN_CITY_10 "Newport Beach"
AMERICAN_CITY_11 "New Orleans"
AMERICAN_CITY_12 "Miami"
AMERICAN_CITY_13 "Minneapolis"
AMERICAN_CITY_14 "Detroit"
AMERICAN_CITY_15 "Cleveland"
AMERICAN_CITY_16 "Indianapolis"
AMERICAN_CITY_17 "Milwaukee"
AMERICAN_CITY_18 "Springfield"
AMERICAN_CITY_19 "Little Rock"
AMERICAN_CITY_20 "Los Angeles"
AMERICAN_CITY_21 "Las Vegas"
AMERICAN_CITY_22 "Baltimore"
AMERICAN_CITY_23 "Nashville"
AMERICAN_CITY_24 "Anchorage"
AMERICAN_CITY_25 "Dallas"
AMERICAN_CITY_26 "Omaha"
AMERICAN_CITY_27 "Denver"
AMERICAN_CITY_28 "Portland"
AMERICAN_CITY_29 "Seattle"
AMERICAN_CITY_30 "Santa Fe"
AMERICAN_CITY_31 "Columbia"
AMERICAN_CITY_32 "Raleigh"
AMERICAN_CITY_33 "Sacramento"
AMERICAN_CITY_34 "Boise"
AMERICAN_CITY_35 "Louisville"
AMERICAN_CITY_36 "Fort Worth"
AMERICAN_CITY_37 "Des Moines"
AMERICAN_CITY_38 "Bangor"
AMERICAN_CITY_39 "Pittsburgh"
AMERICAN_CITY_40 "Tampa"
AMERICAN_CITY_41 "Birmingham"
AMERICAN_CITY_42 "Albany"
AMERICAN_CITY_43 "Jacksonville"
AMERICAN_CITY_44 "Witchita"
AMERICAN_CITY_45 "Oklahoma City"
AMERICAN_CITY_46 "Cheyenne"
AMERICAN_CITY_47 "Salt Lake City"
AMERICAN_CITY_48 "Cincinnati"
AMERICAN_CITY_49 "Columbus"
AMERICAN_CITY_50 "La Jolla"


SCOTTISH "Schotten"

SCOTTISH_LEADERM_NAME "William Wallace"
SCOTTISH_LEADERF_NAME "Maria Stuart"
SCOTTISH_COUNTRY_NAME "Schottland"
SCOTTISH_SINGULAR "Schotten"
SCOTTISH_PLURAL "Schotten"

SCOTTISH_CITY_1 "Glasgow"
SCOTTISH_CITY_2 "Edinburgh"
SCOTTISH_CITY_3 "Stirling"
SCOTTISH_CITY_4 "Perth"
SCOTTISH_CITY_5 "Falkirk"
SCOTTISH_CITY_6 "Dunbar"
SCOTTISH_CITY_7 "Muir of Ord"
SCOTTISH_CITY_8 "Gairloch"
SCOTTISH_CITY_9 "Aberdeen"
SCOTTISH_CITY_10 "Kilmarnock"
SCOTTISH_CITY_11 "Cowdenbeath"
SCOTTISH_CITY_12 "Nairn"
SCOTTISH_CITY_13 "Bathgate"
SCOTTISH_CITY_14 "Linlithgow"
SCOTTISH_CITY_15 "Inverness"
SCOTTISH_CITY_16 "Melrose"
SCOTTISH_CITY_17 "Rothesay"
SCOTTISH_CITY_18 "Monifieth"
SCOTTISH_CITY_19 "Aviemore"
SCOTTISH_CITY_20 "Kirkcaldy"
SCOTTISH_CITY_21 "Fraserburgh"
SCOTTISH_CITY_22 "Portlethen"
SCOTTISH_CITY_23 "Glenrothes"
SCOTTISH_CITY_24 "Dufftown"
SCOTTISH_CITY_25 "Findhorn"
SCOTTISH_CITY_26 "Borgue"
SCOTTISH_CITY_27 "Lockerbie"
SCOTTISH_CITY_28 "Dalkeith"
SCOTTISH_CITY_29 "Gretna"
SCOTTISH_CITY_30 "Dingwall"
SCOTTISH_CITY_31 "Skigersta"
SCOTTISH_CITY_32 "Garrabost"
SCOTTISH_CITY_33 "Shader"
SCOTTISH_CITY_34 "Dell"
SCOTTISH_CITY_35 "Shawbost"
SCOTTISH_CITY_36 "Bragar"
SCOTTISH_CITY_37 "Finsbay"
SCOTTISH_CITY_38 "Daliburgh"
SCOTTISH_CITY_39 "Hallin"
SCOTTISH_CITY_40 "Staffin"
SCOTTISH_CITY_41 "Melvaig"
SCOTTISH_CITY_42 "Cullen"
SCOTTISH_CITY_43 "Reay"
SCOTTISH_CITY_44 "Kirtomy"
SCOTTISH_CITY_45 "Rinns"
SCOTTISH_CITY_46 "Sarclet"
SCOTTISH_CITY_47 "Thrumster"
SCOTTISH_CITY_48 "Letham"
SCOTTISH_CITY_49 "Crail"
SCOTTISH_CITY_50 "Dirleton"


IRISH "Iren"

IRISH_LEADERM_NAME "Brian Boru"
IRISH_LEADERF_NAME "Isabella Gregon"
IRISH_COUNTRY_NAME "Irland"
IRISH_SINGULAR "Iren"
IRISH_PLURAL "Iren"

IRISH_CITY_1 "Dublin"
IRISH_CITY_2 "Blarney"
IRISH_CITY_3 "Waterford"
IRISH_CITY_4 "Cork"
IRISH_CITY_5 "Limerick"
IRISH_CITY_6 "Galway"
IRISH_CITY_7 "Donegal Town"
IRISH_CITY_8 "Sligo"
IRISH_CITY_9 "Allenwood"
IRISH_CITY_10 "Glaslough"
IRISH_CITY_11 "Killinick"
IRISH_CITY_12 "Portmarnock"
IRISH_CITY_13 "Newbridge"
IRISH_CITY_14 "Wicklow"
IRISH_CITY_15 "Dunshaughlin"
IRISH_CITY_16 "Midleton"
IRISH_CITY_17 "Glencullen"
IRISH_CITY_18 "Tallaght"
IRISH_CITY_19 "Arklow"
IRISH_CITY_20 "Blackrock"
IRISH_CITY_21 "Macroom"
IRISH_CITY_22 "Kiltimagh"
IRISH_CITY_23 "Ballyknockan"
IRISH_CITY_24 "Monaghan"
IRISH_CITY_25 "Dunkineely"
IRISH_CITY_26 "Rathgormack"
IRISH_CITY_27 "Mullingar"
IRISH_CITY_28 "Clifden"
IRISH_CITY_29 "Edenderry"
IRISH_CITY_30 "Skibbereen"


ENGLISH "Engländer"

ENGLISH_LEADERM_NAME "Winston Churchill"
ENGLISH_LEADERF_NAME "Elizabeth I."
ENGLISH_COUNTRY_NAME "England"
ENGLISH_SINGULAR "Engländer"
ENGLISH_PLURAL "Engländer"

ENGLISH_CITY_1 "London"
ENGLISH_CITY_2 "Birmingham"
ENGLISH_CITY_3 "Canterbury"
ENGLISH_CITY_4 "Manchester"
ENGLISH_CITY_5 "Liverpool"
ENGLISH_CITY_6 "Cambridge"
ENGLISH_CITY_7 "Bedford"
ENGLISH_CITY_8 "Winchester"
ENGLISH_CITY_9 "York"
ENGLISH_CITY_10 "Norwich"
ENGLISH_CITY_11 "Worcester"
ENGLISH_CITY_12 "Hastings"
ENGLISH_CITY_13 "Brighton"
ENGLISH_CITY_14 "Stratford"
ENGLISH_CITY_15 "Oxford"
ENGLISH_CITY_16 "Gloucester"
ENGLISH_CITY_17 "Bath"
ENGLISH_CITY_18 "Newcastle"
ENGLISH_CITY_19 "Southampton"
ENGLISH_CITY_20 "Portsmouth"
ENGLISH_CITY_21 "Coventry"
ENGLISH_CITY_22 "Derby"
ENGLISH_CITY_23 "Exeter"
ENGLISH_CITY_24 "Leeds"
ENGLISH_CITY_25 "St. Ives"
ENGLISH_CITY_26 "Dover"
ENGLISH_CITY_27 "Shrewsbury"
ENGLISH_CITY_28 "Lincoln"
ENGLISH_CITY_29 "Richmond"
ENGLISH_CITY_30 "Bristol"
ENGLISH_CITY_31 "Beverly"
ENGLISH_CITY_32 "Berkeley"
ENGLISH_CITY_33 "Carlisle"
ENGLISH_CITY_34 "Whitehaven"
ENGLISH_CITY_35 "Penrith"
ENGLISH_CITY_36 "Bradford"
ENGLISH_CITY_37 "Nottingham"
ENGLISH_CITY_38 "Kingston"
ENGLISH_CITY_39 "Deal"
ENGLISH_CITY_40 "Torbay"
ENGLISH_CITY_41 "Penzance"
ENGLISH_CITY_42 "Chester"
ENGLISH_CITY_43 "Blackpool"
ENGLISH_CITY_44 "Wellington"
ENGLISH_CITY_45 "Daventry"
ENGLISH_CITY_46 "Spalding"
ENGLISH_CITY_47 "Brixton"
ENGLISH_CITY_48 "East Finchley"
ENGLISH_CITY_49 "Bridgwater"
ENGLISH_CITY_50 "Muswell Hill"


NATIVE_AMERICAN "Uramerikaner"
### Primär Nord Amerika
NATIVE_AMERICAN_LEADERM_NAME "Sitting Bull"
NATIVE_AMERICAN_LEADERF_NAME "Sacajewa"
NATIVE_AMERICAN_COUNTRY_NAME "Urmerikaner"
NATIVE_AMERICAN_SINGULAR "Uramerikaner"
NATIVE_AMERICAN_PLURAL "Urameriker"

NATIVE_AMERICAN_CITY_1 "Sioux"
NATIVE_AMERICAN_CITY_2 "Cherokee"
NATIVE_AMERICAN_CITY_3 "Mohawk"
NATIVE_AMERICAN_CITY_4 "Iroquois"
NATIVE_AMERICAN_CITY_5 "Navajo"
NATIVE_AMERICAN_CITY_6 "Apache"
NATIVE_AMERICAN_CITY_7 "Seminole"
NATIVE_AMERICAN_CITY_8 "Nez Perce"
NATIVE_AMERICAN_CITY_9 "Cheyenne"
NATIVE_AMERICAN_CITY_10 "Commanche"
NATIVE_AMERICAN_CITY_11 "Inuit"
NATIVE_AMERICAN_CITY_12 "Chickasaw"
NATIVE_AMERICAN_CITY_13 "Hopi"
NATIVE_AMERICAN_CITY_14 "Blackfoot"
NATIVE_AMERICAN_CITY_15 "Havasupai"
NATIVE_AMERICAN_CITY_16 "Kiowa"
NATIVE_AMERICAN_CITY_17 "Ojibwe"
NATIVE_AMERICAN_CITY_18 "Wyandot"
NATIVE_AMERICAN_CITY_19 "Secwepemc"
NATIVE_AMERICAN_CITY_20 "Zuni"
NATIVE_AMERICAN_CITY_21 "Tulalip"
NATIVE_AMERICAN_CITY_22 "Powhatan"
NATIVE_AMERICAN_CITY_23 "Shinnecock"
NATIVE_AMERICAN_CITY_24 "Taino"
NATIVE_AMERICAN_CITY_25 "Choctaw"
NATIVE_AMERICAN_CITY_26 "Abenaki"
NATIVE_AMERICAN_CITY_27 "Chumash"
NATIVE_AMERICAN_CITY_28 "Potawatomi"
NATIVE_AMERICAN_CITY_29 "Umpqua"
NATIVE_AMERICAN_CITY_30 "Mechoopda"
NATIVE_AMERICAN_CITY_31 "Dakota"
NATIVE_AMERICAN_CITY_32 "Crow"
NATIVE_AMERICAN_CITY_33 "Omaha"
NATIVE_AMERICAN_CITY_34 "Pawnee"
NATIVE_AMERICAN_CITY_35 "Oglala"
NATIVE_AMERICAN_CITY_36 "Adirondack"
NATIVE_AMERICAN_CITY_37 "Arapaho"
NATIVE_AMERICAN_CITY_38 "Chenango"
NATIVE_AMERICAN_CITY_39 "Cree"
NATIVE_AMERICAN_CITY_40 "Missouri"
NATIVE_AMERICAN_CITY_41 "Arkansas"
NATIVE_AMERICAN_CITY_42 "Cheektowaga"
NATIVE_AMERICAN_CITY_43 "Lackawanna"
NATIVE_AMERICAN_CITY_44 "Simcoe"
NATIVE_AMERICAN_CITY_45 "Niagara"
NATIVE_AMERICAN_CITY_46 "Lycoming"
NATIVE_AMERICAN_CITY_47 "Tioga"
NATIVE_AMERICAN_CITY_48 "Iowa"
NATIVE_AMERICAN_CITY_49 "Niskayuna"
NATIVE_AMERICAN_CITY_50 "Cohoes"


GERMAN "Deutsche"

GERMAN_LEADERM_NAME "Otto Von Bismarck"
GERMAN_LEADERF_NAME "Brunhilde"
GERMAN_COUNTRY_NAME "Deutschland"
GERMAN_SINGULAR "Deutsche"
GERMAN_PLURAL "Deutschen"

GERMAN_CITY_1 "Berlin"
GERMAN_CITY_2 "München"
