#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains additional strings that should go to other files
#                eventually (German)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Removed diplomatic photo strings as they have been already moved back
#   to civ_str.txt. - 7th April 2005 Martin Gühmann
# - Moved BUILD_LIST_SEQUENCE_DEFAULT to gl_str.txt.
#   - April 7th 2005 Martin Gühmann
# - Moved Great Libary title string to ldl_str.txt. - 9th April 2005 Martin Gühmann
# - Renamed Lexikothek to Große Bibliothek
# - Moved trust loss strings to info_str.txt. (Aug 31rd 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

# # Stuff moved from add_str.txt to ldl_str.txt 9/5/00 by Jonathan
# # Please add all new strings below here - with note 
# # explaining where they should go eventually.

## Stuff for LDL_STR.txt
str_ldl_AutoCenter_On	"Autozentrieren ein"
str_ldl_CityManager "Stadtmanager"

# Shows up over main map in upper left corner to say whose turn it is right now (has a colon appended by code, followed by leader name).
NETWORK_CURRENT_PLAYER "Akt. Spieler"
str_tbl_ldl_Open_City_Management "Stadtmanager"
str_tbl_ldl_Open_Build_Queue "Bauliste"
str_tbl_ldl_Open_Trade_Summary "Handelsübersicht"
str_tbl_ldl_Open_Dip_Wizard "Neues Gesuch"
str_tbl_ldl_Gaia "Gaia"
str_tbl_ldl_Open_Wonders "Weltwunder"
str_tbl_ldl_Open_Ranking "Platz"
str_tbl_ldl_Msg_Tab "Nachrichtenregister"
str_tbl_ldl_TileImp_Tab "Feld-Modernisierungen"
str_tbl_ldl_Open_Scenario_Editor "Szenario-Editor"
str_tbl_ldl_Sound_Options "Soundeinstellungen"
str_tbl_ldl_Graphics_Options "Grafikeinstellungen"
str_tbl_ldl_Gameplay_Options "Spieleinstellungen"
str_tbl_ldl_Restart_Game "Spiel neu starten"
str_tbl_ldl_New_Game "Neues Spiel"
str_tbl_ldl_Toggle_Radar "Radar ein/aus"
str_tbl_ldl_Toggle_Ctl_Panel "Bedienfeld ein/aus"
str_tbl_ldl_Toggle_All "Alle ein/aus"
str_tbl_ldl_Open_Army_Mgmt "Truppenmanager öffnen"
str_ldl_UNIT_CONTROLS "Einheitensteuerung"
str_ldl_GreatLibrary "Große Bibliothek"
str_control_key "Strg"

str_ldl_EnableAllMessages "Alle Meldungen ein"


#################################
#status text for scenario editor#
#################################
str_SE_MapSize "Durch die Änderung der Kartengröße wird eine neue Karte geladen"
str_SE_YearSpinner "Rundenzählung - siehe Jahreszählung für Jahresdatum"
str_SE_YearDisplay "Jahreszählung"
str_SE_Difficulty "Schwierigkeitsgrad auswählen"
str_SE_Barbarians "Barbarenbedrohung auswählen"
str_SE_SaveMap "NUR Karte speichern"
str_SE_LoadMap "NUR Karte laden"
str_SE_SaveScenario "Szenario als Spielstand speichern"
str_SE_LoadScenario "Szenario laden"
str_SE_WorldTab "Welt - alle allgemein gültigen Einstellungen"
str_SE_UnitTab "Einheiten - Einheitenpositionierung für beliebigen Spieler"
str_SE_CityTab "Stadt - Städte errichten/ändern für beliebigen Spieler"
str_SE_Civ_Button "Nation - Einstellungen für jeden einzelnen Spieler"
str_SE_Hut "Ruinen platzieren/entfernen"
str_SE_River "Flüsse platzieren/entfernen"
str_SE_Good1 "Handelsgut 1 platzieren/entfernen"
str_SE_Good2 "Handelsgut 2 platzieren/entfernen"
str_SE_Good3 "*Handelsgut 3 platzieren/entfernen - muss in der Datei terrain.txt definiert sein"
str_SE_Good4 "*Handelsgut 4 platzieren/entfernen - Muss in der Datei terrain.txt definiert sein"
str_SE_Pollution "Umweltverschmutzung ein/aus"
str_SE_Land "Bodeneinheiten anzeigen"
str_SE_Sea "Marineeinheiten anzeigen"
str_SE_Air "Lufteinheiten anzeigen"
str_SE_Special "Unkonventionelle/Spezialeinheiten anzeigen"
str_SE_PopSpinner "Bevölkerung für gewählte Stadt einstellen"
str_SE_AddBuildings "Gebäude zu gewählter Stadt hinzufügen"
str_SE_AddWonders "Weltwunder zu gewählter Stadt hinzufügen"
str_SE_PlayerSelect "Spieler auswählen"
str_SE_FullMode "Startpositionen je Spieler, mit Nationsauswahl, für alle Nationen"
str_SE_NoCiv "Startpositionen je Spieler, keine Nationsauwahl"
str_SE_WithCiv "Startpositionen je Nation, mit Spielerauswahl"
str_SE_JustCiv "Startpositionen je Nation, ohne Spielerauswahl"
str_SE_AddPW "Staatl. Bautrupps hinzufügen - Wertangabe und 'Eingabetaste'"
str_SE_AddGold "Gold hinzufügen - Wertangabe und 'Eingabetaste'"
str_SE_Erase "Beliebige Einheit oder Stadt löschen"
str_SE_ClearWorld "Alle Land-Geländefelder entfernen"
str_SE_ReloadSlic "SLIC-Dateien neu laden"
str_SE_Fog "Nebel des Krieges ein/aus "
str_SE_Copy "Kopieren-Modus EIN - Zur Auswahl eines Bereichs klicken und ziehen"
str_SE_Paste "Einfügen-Modus EIN - Einfügemarke links oberhalb der Auswahl"
str_SE_SaveClip "Gewählten Bereich in der Zwischenablage speichern"
str_SE_SmallBrush "Einzelfeld-Platzierung"
str_SE_MedBrush "2x2 Geländefeld-Platzierung"
str_SE_LargeBrush "8x8 Geländefeld-Platzierung"
str_SE_LoadClip "Auswahl aus der Zwischenablage laden"
str_SE_Explore "Gesamtes Kartengebiet erforscht"
str_SE_Unexplore "Gesamtes Kartengebiet unerforscht"
str_SE_XWrap "X-Scrolling ein/aus"
str_SE_YWrap "Y-Scrolling ein/aus"
str_SE_Pos "Aktuelle Cursorposition"
str_SE_LegalOnly "Nur Einheiten, deren Technologie bereits bekannt ist"
str_SE_ShowLabels "Labels ein/aus"
str_SE_AddAdvances "Neuerungen hinzufügen/entfernen"
str_SE_Nation "Spielernation auswählen"
str_SE_LeaderName "Herrschername anzeigen/ändern"
str_SE_CityName "Stadtname der gewählten Stadt anzeigen/ändern"
str_SE_FindPosX "X-Koordinate eingeben"
str_SE_FindPosY "Y-Koordinate eingeben"
str_SE_FindMe "Zum Zentrieren auf die X,Y-Koordinate anklicken"
str_SE_RemoveGoods "Alle Handelsgüter von der Karte entfernen"
str_SE_GenerateGoods "Handelsgüter zur Karte hinzufügen"

# Filename prefix for quicksaves.
QUICKSAVE_NAME "SCHNELLSPEICHERN"

# Scenario editor <CHANGEME>
str_ldl_Confirm_Restart		"Wollen Sie das Spiel wirklich neu starten?"
REGARD_EVENT_WONDER "Die {player[0].civ_name_plural} sind angesichts unserer imposanten Weltwunder stark beeindruckt."

# for the keymap screen
str_tbl_ldl_Advanced_Options "Erweiterte Optionen"

# Added for network games, there are more restrictions on when you can initiate diplomacy
str_code_CantInitiateDiplomacyNow "Sie können kein neues Gesuch absenden, solange Sie nicht am Zug sind oder solange noch eine Antwort auf ein früheres Gesuch aussteht."

# Status text for minimize button on radar map
STATUSBAR_MINIMAP_MINIMIZE "Fenster minimieren"
str_player_choice "Spielerauswahl"

# Entry on right click menu for the cargo view
CONTEXT_VIEW_CARGO "  Frachtübersicht"

# For netshell list header
str_ldl_Settlers "Siedler"

# More Stuuf for LDL_STR
# Multiplayer Disclaimer String
str_ldl_MultiplayerDisclaimer	"Der Mehrspieler-Modus von Activisions Call To Power 2 eignet sich für maximal 4 Spieler."

# When units will be disbanded due to a government change, ask first:
str_code_GovernmentChangeDisbandsUnits "Durch den bevorstehenden Regierungswechsel werden einige Einheiten aufgelöst. Wollen Sie diese Regierung einsetzen?"

# For the science picker
ADVANCE_GIVES_GOVS "Regierungsformen:"

# New Status text strings
STATUSBAR_TRADEMAN_OPEN_CITIES_SLIDER			"Sortiert die Liste der Städte nach Handelsgütern."
STATUSBAR_TRADEMAN_OPEN_SORTBY_NATION_BUTTON	"Sortiert die Liste nach Empfängernationen."
STATUSBAR_CITYMAN_MAIN_CLEAR_BUTTON				"Entfernt alle Bauprojekte aus der Bauliste."
STATUSBAR_DIPMAN_TABLE_DECLAREWAR_BUTTON		"Sendet eine Kriegserklärung an eine fremde Nation."
STATUSBAR_DIPMAN_CREATE_INTELLIGENCE_BUTTON		"Öffnet den Geheimdienstbericht über diese Nation."
STATUSBAR_ARMYMAN_ADD_BUTTON					"Fügt dieser Truppe die gewählten Einheiten hinzu."
STATUSBAR_ARMYMAN_ADD_ALL_BUTTON				"Fügt dieser Truppe alle Einheiten hinzu."
STATUSBAR_ARMYMAN_REMOVE_BUTTON					"Entfernt alle gewählten Einheiten aus dieser Truppe."
STATUSBAR_ARMYMAN_REMOVE_ALL_BUTTON				"Entfernt alle Einheiten aus dieser Truppe."
STATUSBAR_ARMYMAN_CLOSE_BUTTON					"Schließt den Truppenmanager."
STATUSBAR_ARMYMAN_NEW_ARMY_BUTTON				"Ermöglicht das Zusammenstellen einer neuen Truppe."

# Fix for localization
str_profile_EndTurnSound "Signal Rundenende"

# For the context menu, lets you get the tile info window for squares with cities/units.
CONTEXT_TILE_INFO "Karteninfo"

# One more reason for happiness display on city manager
HAPPY_REASON_FEATS "Meisterleistung"


str_ldl_EditQueueReallyDelete "Bauliste %s dauerhaft löschen?"

# A different kind of disconnection message for network games
NETWORK_ACTIVENET_LOST "Verbindung zum Activenet-Server abgebrochen, Rückkehrversuch zur Lobby."
