#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : CTP2 tutorial strings (Italian)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the CTP2 tutorial strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - None
#
#----------------------------------------------------------------------------

T_BUTTON_OK			"OK"
T_BUILT_MARKETPLACE		"{city[0].name} ha completato il bazar, che aumenta i proventi commerciali di <c:0,0,200>{city[0].name}<e> del {BuildingDB(IMPROVE_BAZAAR).CommercePercent}%."
T_KEEP_MOVING			"Dovresti continuare ad esplorare la terra con {FIRST_UNIT.name#ARTICLE_YOUR}, ma sarebbe una buona idea lasciare almeno un'unità difensiva presso ogni città. I nemici possono apparire in qualsiasi momento."
T_BUILD_MORE_UNITS		"Dovresti produrre altre unità, non soltanto per difendere le tue città, ma anche per esplorare il mondo."
T_FIRST_CONTACT			"{player[1].civ_name_plural#ARTICLE_CAP} e {player[0].civ_name_plural#ARTICLE} si sono incontrati per la prima volta. Per aprire le relazioni diplomatiche, clicca sulla gestione diplomatica."
T_CONFIRM_EARLY_DISBAND		"Stai per congedare un'armata. Prima di farlo, ti conviene produrre altre unità, per compensare quelle che congedi."
T_FORTIFY_OTHER			"{unit[0].name#ARTICLE_CAP} sta difendendo la città. Anche se puoi ordinare alle unità di proteggersi in qualunque punto dello scenario, otterrai il massimo quando si trovano presso i punti di passaggio obbligato, dentro le fortificazioni o all'interno delle città."
T_FORTIFY_IN_CITIES		"Dovresti tenere almeno una buona unità difensiva in una delle tue città e ordinarle di proteggersi. Selezionane una e quindi premi il tasto 'F' per chiederle di proteggersi."
T_FORTIFIED_UNIT_IN_CITY	"{unit[0].name#ARTICLE_CAP} che si sta proteggendo in città ha assunto il compito di difenderla."
T_PW_TOO_HIGH			"Attualmente, le tasse per i lavori pubblici sono impostate a un valore molto alto, rallentando notevolmente la produzione. Ti conviene impostarle al 20% circa."
T_KEEP_HITTING_END		"Se vuoi raggiungere il successo, è meglio che continui a esplorare e a espandere il tuo impero. Impiega unità come i guerrieri per trovare altre locazioni idonee alla fondazione di nuove città."
T_KEEP_EXPLORING		"Ci vorranno alcuni turni prima che la tua città termini di costruire il primo oggetto nella sua coda di produzione. Per controllare a che punto è, selezionala sulla mappa e poi clicca sulla scheda Città. Per continuare, clicca ripetutamente sul pulsante <c:0,50,255>Fine turno<e>, oppure premi il tasto <c:0,0,200>'INVIO'<e>."
T_SETTLER_WARNING		"Le unità di coloni assorbono sempre una parte della popolazione cittadina quando vengono prodotte. Dunque, prima di costruirne una, ti conviene aspettare che la città sia cresciuta."
T_SHOW_CHECK_QUEUE		"check_queue = {check_queue}"
T_SHOW_TERRAIN_SCORE		"Punteggio terreno = {RADIUS_SCORE}"
T_RADIUS_RUNDOWN		"DIR0: {TILE_SCORE[0]}, DIR1: {TILE_SCORE[1]}, DIR2: {TILE_SCORE[2]}, DIR3: {TILE_SCORE[3]}, DIR4: {TILE_SCORE[4]}, DIR5: {TILE_SCORE[5]}, DIR6: {TILE_SCORE[6]}, DIR7: {TILE_SCORE[7]}, DIR8: {TILE_SCORE[8]} <c:255,0,50>TERRAIN_SCORE = {RADIUS_SCORE}<e>"
T_CHECK_LEVELS			"WagesExp:{WAGES_EXP} WkdyExp:{WORKDAY_EXP} RatExp:{RATIONS_EXP}\n\nWagesLev:{WAGES_LEVEL} WkdyLev:{WORKDAY_LEVEL} RatLev:{RATIONS_LEVEL}"
T_CHECK_LEVELS1			"Non stai soddisfacendo le aspettative della tua gente per quanto riguarda i salari, l'orario di lavoro o le razioni di cibo. Molti cittadini sono scontenti. Se non rimedierai alla situazione, nelle tue città potrebbero nascere delle sommosse! Le aspettative della tua gente dipendono dal tipo di governo attualmente in carica."
T_CHECK_LEVELS2			"Non stai soddisfacendo le aspettative della tua gente per quanto riguarda l'orario di lavoro e le razioni. Molti cittadini sono arrabbiati e potrebbero nascere delle sommosse."
T_CHECK_LEVELS3			"Non stai soddisfacendo le aspettative della tua gente per quanto riguarda i salari e le razioni. Molti cittadini sono arrabbiati e potrebbero nascere delle sommosse."
T_CHECK_LEVELS4			"Non stai soddisfacendo le aspettative della tua gente per quanto riguarda l'orario di lavoro e i salari. Molti cittadini sono scontenti e presto potrebbero nascere delle sommosse fra le strade delle città."
T_GOOD_SPOT			"Questo è un buon punto per fondare una città. La terra offrirà grandi quantità di cibo, che promuoveranno la crescita, e molte materie prime per la produzione. Quando avrai finito di spostare i tuoi altri coloni, clicca sul pulsante <c:0,50,255>Fine turno<e> o premi il tasto <c:0,0,200>'INVIO'<e>. Nel prossimo turno, seleziona questo colono e premi il tasto <c:0,0,200>'B'<e> per costruire una città."
T_MOVE_MORE			"Questa zona non offre cibo a sufficienza per una città in espansione. Le praterie, le pianure e le zone bagnate dall'acqua sono locazioni ideali per le città. Quando avrai finito di spostare i tuoi altri coloni, clicca sul pulsante <c:0,50,255>Fine turno<e> nell'angolo inferiore destro dello schermo."
T_BUILD_A_DAMN_CITY		"Il tuo colono non vede l'ora di fondare una città! Selezionalo e premi il tasto <c:0,50,255>B<e>."
T_START_OVER			"Senza città, il tuo impero non diventerà mai grande. Gli altri imperi presenti nello scenario si sono già insediati e stanno iniziando ad esplorare il mondo. Forse ti conviene iniziare una nuova partita, per iniziare il prima possibile a costruire il tuo impero."
T_BUILD_QUEUE_EMPTY		"Nella città di {city[0].name} la produzione è attualmente ferma. Clicca due volte su {city[0].name} per aprire la schermata di <c:0,50,255>gestione cittadina<e>, oppure clicca due volte sul pulsante Gestione cittadina."
T_CITIES_NOT_BUILDING		"Alcune tue città sono inoperose. Per ordinargli di costruire qualcosa, puoi aprire velocemente la gestione produzione selezionando una città e cliccando su <c:0,50,255>Coda di produzione<e>."
T_PICK_NEW_ADVANCE		"Congratulazioni! Il tuo impero è riuscito a compiere il suo primo progresso nel campo della conoscenza, grazie alla scoperta <c:0,50,255>{advance[0].name#ARTICLED_PREPOSITION}<e>. Ora, scegli dal menu un nuovo progresso su cui iniziare la ricerca."
T_BUILD_CARAVANS		"La tua civiltà ha scoperto {advance[0].name#ARTICLE}. Grazie a questo progresso, potrai arricchire notevolmente la ricchezza del tuo impero vendendo merci. Per iniziare il commercio, però, devi prima costruire <c:0,50,255>carovane<e> nelle tue città."
T_EMBASSY			"{player[0].civ_name_plural#ARTICLE_CAP} hanno fondato un'<c:0,50,255>ambasciata<e> presso {player[1].civ_name_plural#ARTICLE}. Le ambasciate rendono disponibili ulteriori opzioni diplomatiche."
T_USE_PW			"Il tuo impero ha accumulato un ammontare sufficiente di <c:0,50,255>Lavori pubblici<e> per iniziare a migliorare l'infrastruttura delle tue città. Clicca sulla scheda <c:0,50,255>Miglioramenti casella<e> per richiamare un menu di miglioramenti."
T_INCREASE_PW			"Le tasse per i Lavori pubblici sono attualmente impostate al 20%. Grazie ai Lavori pubblici, puoi costruire miglioramenti per le caselle, che saranno vantaggiosi per tutta la città e aiuteranno il tuo impero a crescere e a espandersi."
T_GOOD_SPOT1			"Ordina al colono di fondare una città selezionandolo e quindi premendo il tasto <c:0,50,255>'B'<e>. Il colono è in grado di fondare una città soltanto in un turno in cui non ha intrapreso altre azioni, per esempio il movimento. Termina questo turno e poi premi <c:0,50,255>'B'<e> per fondare una città."
T_GOOD_SPOT2			"Una buona locazione per costruire una città offre un terreno ricco di cibo, come una prateria o una regione costiera, nonché di materie prime, come foreste e montagne. Quando hai trovato una locazione dove vorresti fondare una città, seleziona il colono e premi <c:0,50,255>'B'<e>."
T_GOOD_SPOT3			"I fiumi sono risorse eccellenti, che aumentano il cibo, la produzione e l'attività commerciale delle caselle che attraversano. Inoltre, agevolano il movimento delle unità, le quali, sui fiumi, si spostano due volte più velocemente."
T_GOOD_SPOT4			"Ti conviene fondare una città il prima possibile. Gli altri imperi presenti nello scenario si stanno già insediando. Se continui a non costruire città, ti troverai in grave svantaggio strategico. Seleziona il colono e premi il tasto <c:0,50,255>'B'<e> per fondare una città."
T_NORTH				"a Nord"
T_NORTHEAST			"a Nord-est"
T_EAST				"a Est"
T_NORTHWEST			"a Nord-ovest"
T_SOUTHEAST			"a Sud-est"
T_WEST				"a Ovest"
T_SOUTHWEST			"a Sud-ovest"
T_SOUTH				"a Sud"
T_SELF				"su questa casella"
T_NORTH_OF			"A Nord di"
T_NORTHEAST_OF			"A Nord-est di"
T_EAST_OF			"A Est di"
T_NORTHWEST_OF			"A Nord-ovest di"
T_SOUTHEAST_OF			"A Sud-est di"
T_WEST_OF			"A Ovest di"
T_SOUTHWEST_OF			"A Sud-ovest di"
T_SOUTH_OF			"A Sud di"
T_SELF_ON			"Su:"
T_RIVER_DIRECTION		"C'è un fiume <c:0,50,255>{action[RIVER_DIR].text}<e>. Le unità si spostano più velocemente lungo i fiumi, senza contare che le città possono ricavare una maggiore quantità di risorse dalla terra bagnata dai fiumi."
T_GOOD_DIRECTION		"Potrai trovare <c:0,50,255>{ResourceDB(GOOD_NAME)#PREPOSITION}<e> {action[GOOD_DIR].text}. Per incassare i profitti extra risultanti dalla vendita di questa merce, puoi ordinare a un tuo colono di fondare una città nei paraggi."
T_NO_GOODS_KEEP_LOOKING		"Il colono non nota alcuna merce particolare. Continua a spostarlo in giro per esplorare.\n\nVuoi ancora che il tuo colono continui a cercare merci?"
T_UNHAPPY_CITIES		"Attualmente, più di una città è insoddisfatta. Siccome esiste un rischio di sommosse nelle città in preda all'insoddisfazione, apri la <c:0,50,255>gestione nazionale<e> per vedere quali sono le città infelici."
T_ONE_UNHAPPY_CITY		"{city[0].name} è in preda a un grave scontento. Se non soddisferai le richieste dei tuoi cittadini insoddisfatti, potrebbero ribellarsi."
T_STARVING_CITIES		"Più di una città è in deficit di cibo. Apri la <c:0,50,255>gestione nazionale<e> per vedere quali sono le città a corto di cibo."
T_ONE_STARVING_CITY		"La gente di {city[0].name} non sta producendo abbastanza cibo per mantenere la sua popolazione sui livelli attuali. Fra <c:200,0,0>{CITY_STARVATION_TURNS} turni<e>, i suoi abitanti inizieranno a morire di fame. Puoi fare due cose: ridurre la quantità di nazioni in tutto l'impero oppure costruire nuove fattorie per aumentare la produzione locale di cibo."
T_YOU_HAVE_GOOD			"{action[GOOD_DIR].text} {city[0].name} è possibile trovare {ResourceDB(GOOD_NAME)#PREPOSITION}. Ora che hai {CARAVANS_AVAILABLE} carovane a disposizione, puoi trasportare le tue merci verso il mercato.\n\nApri la <c:0,50,255>gestione commerciale<e> per scoprire quali città vogliono comperare le tue merci."
T_NO_HAVE_GOOD			"Al momento, nessuna delle tue città sta producendo nuove merci, perché nessuna di esse sorge presso alcuna particolare risorsa naturale. Se vuoi essere in grado di vendere merci, devi possedere almeno una città sopra o presso una casella che contenga queste risorse. Hai a tua disposizione {CARAVANS_AVAILABLE} carovane, che puoi impiegare in qualsiasi momento. Potrebbe essere una buona idea produrre nuovi coloni per fondare città presso queste caselle particolarmente vantaggiose."
T_HAVE_GOODS_BUILD_CARAVANS	"{action[GOOD_DIR].text} {FIRST_CITY_WITH_GOOD.name} è possibile trovare {ResourceDB(GOOD_NAME)#PREPOSITION}. Potresti vendere questa merce, se disponessi di carovane sufficienti. Costruisci nuove <c:0,50,255>carovane<e> nelle tue città."
T_NO_GOODS_SETTLE_NEAR_GOODS	"Al momento, nessuna delle tue città ha accesso a merci. Costruisci nuove unità di coloni per fondare città presso queste risorse."
T_LITTLE_HELP			"Se vuoi, puoi far sì che le tue unità di coloni ti informino quando arrivano in una locazione contenente merci che una città può sfruttare.\n\nVuoi che i tuoi coloni ti porgano questo aiuto?"
T_BIOINFECT_CITY		"Un contaminatore straniero ha cercato di contaminare con un virus la città di {city[0].name}. Proteggi le tue città costruendo un sistema di nanodifesa!"
T_BORDER_INCURSION		"Truppe {player[1].civ_name_plural#FEMALE} hanno varcato i tuoi confini!"
T_BORDER_PULLOUT		"Truppe {player[1].civ_name_plural#FEMALE} sono uscite dai tuoi confini."
T_RUSH_BUY			"Il miglioramento in costruzione presso {city[0].name} sarà disponibile nel turno."
T_CANT_MOVE_YET			"La tua armata si è spinta fin dove poteva in questo turno. Solo nel prossimo turno potrai continuare a muoverla."
T_CAPTURE_CITY			"Truppe {player[1].civ_name_plural#FEMALE} hanno catturato {city[0].name}."
T_DESTROYED_CITY		"Truppe {player[1].civ_name_plural#FEMALE} hanno distrutto la città durante il loro fanatico attacco."
T_CITY_RIOT			"{city[0].name} è in subbuglio! Tutti i servizi cittadini, fra cui produzione, commercio e raccolta di cibo, sono fermi. Se non porrai rimedio in fretta a questo stato di malessere, i cittadini inizieranno a sentire la fame e potrebbero addirittura rivoltarsi. Costruisci qualche miglioramento che aumenti il livello di benessere oppure assumi alcuni intrattenitori."
T_CONVERT_CITY			"{city[0].name} è stata convertita ad un'altra fede religiosa da uno dei tuoi nemici. Ora, i suoi abitanti stanno devolvendo i loro sudati guadagni ai capi religiosi stranieri. Per fortuna, puoi riformare la città con una qualsiasi unità militare a tua disposizione. La riforma ti costerà 1.000 monete d'oro."
T_TILE_IMPROVEMENT		"Hai iniziato a costruire {TerrainImprovementDB(FIRST_TILE_IMP)#ARTICLE}. Occorrerà qualche turno perché i lavori finiscano."
T_CREATE_PARK			"Un ecoranger {player[0].civ_name_singular#PREPOSITION} ha attaccato la città di {city[0].name} con i naniti, distruggendo ogni opera dell'uomo e riportando la città al suo stato naturale primitivo."
T_DETRENCHED			"Dovrai ordinare alle unità e alle armate che hanno smesso di proteggersi di fortificarsi altrove."
T_DISBAND_ARMY_ORDER		"In generale, dovresti congedare unità soltanto quando sei sicuro che il tuo impero non corra rischi senza di esse."
T_DISBAND_CITY			"{city[0].name} è stata demolita e la sua gente ha formato una nuova unità di coloni. Puoi inviare altrove questa unità, per fondare una nuova città."
T_SETTLER_ENSLAVED		"Uno schiavista ha catturato il tuo colono e lo ha ridotto in schiavitù in una città {player[0].civ_name_singular#FEMALE}. Puoi costruire unità di abolizionisti per liberare gli schiavi dalle città straniere."
T_GET_MAP			"Hai ricevuto la mappa {player[0].civ_name_plural#PREPOSITION}. Anche se adesso puoi vedere dove si trovano le unità e le città nemiche, dovresti continuare a esplorare il territorio, perché verrà modificato dalla comparsa di nuove città, dai disastri naturali e dalle guerre."
T_TILE_IMP_COMPLETE		"La costruzione {TerrainImprovementDB(FIRST_TILE_IMP)#ARTICLED_PREPOSITION} è finita. Puoi costruire nuove fattorie accanto a quelle già esistenti, purché sorgano su terra arabile. Puoi anche costruire strade per collegare fra loro le città e accelerare gli spostamenti terrestri."
T_SPY_INCITE_REVOLUTION		"Un'unità straniera di spionaggio ha incitato una rivoluzione nella tua città di {city[0].name}. Proteggi le tue città contro le spie e i ciberninja stranieri costruendo tue personali unità di spionaggio e ordinandogli di restare dentro le città."
T_ABOLITIONIST_INCITE_UPRISING	"Gli abolizionisti stranieri potrebbero cercare di liberare i tuoi schiavi presso {city[0].name}. Se vuoi proteggere i tuoi investimenti, tieni uno schiavista in quella città, cosicché possa avvistare gli abolizionisti in arrivo."
T_CLERIC_INDULGENCE_SALE	"I preti stranieri stanno vendendo indulgenze ai cittadini di {city[0].name}. Puoi proteggere la tua gente dalla persuasione religiosa costruendo mura cittadine oppure tenendo in città un prete o uno schiavista."
T_LAWYER_INJOIN_CITY		"Un avvocato straniero ha colpito la città di {city[0].name} con un'ingiunzione, bloccando tutta la produzione locale per un turno. Per proteggere la tua industria dai cavilli del sistema giudiziario, costruisci le tue personali unità di avvocati."
T_CORPORATE_FRANCHISE		"Una corporazione {player[0].civ_name_singular#FEMALE} ha aperto una filiale presso {city[0].name} e sta riscuotendo una percentuale sulle tue attività commerciali. Puoi denunciarla con un avvocato per liberare la città dalla sua indesiderabile presenza."
T_MOVE_INTO_TRANSPORT		"Fai imbarcare le tue unità su una nave da trasporto fino a quando non sarà piena. Per farle uscire, porta la nave vicino alla riva, cliccaci sopra con il pulsante destro e seleziona <c:0,50,255>Sbarca<e>."
T_MOVE_PATH_ORDER		"I numeri lungo la linea del percorso indicano quanti turni occorreranno all'armata per raggiungere la sua destinazione. Le linee del percorso sono <c:50,200,50>verdi<e> quando l'armata arriva nel suo turno attuale, gialle quando le occorrono più turni, rosse quando non può muoversi."
T_MOVE_UNLOAD_ORDER		"La nave da trasporto proseguirà fino a raggiungere la terra, dopodiché farà sbarcare il suo carico."
T_ECOTERRORIST_NANOINFECT_CITY	"Costruendo un sistema di nanodifesa nelle tue città, come hai fatto presso {city[0].name}, le proteggerai dai tentativi di contaminazione con i naniti."
T_CITY_NUKED			"Un attacco nucleare {player[0].civ_name_singular#PREPOSITION} ha decimato la popolazione di {city[0].name}. Proteggi le tue città da questi attacchi costruendo il miglioramento <c:255,0,50>missili antibalistici<e>."
T_PILLAGE_ORDER			"Il saccheggio di fattorie, strade e miniere è considerato un atto di aggressione. Altre nazioni potrebbero vederti come un nemico se sceglierai di distruggere i loro miglioramenti alle caselle."
T_PIRATE_ORDER			"Colpire una rotta commerciale con atti di pirateria può essere lucroso, ma è un atto da ripetere in ciascun turno se si vuole continuare a incassare. Inoltre, la pirateria è considerata un atto di aggressione, dunque considera le conseguenze diplomatiche del tuo gesto prima di procedere."
T_INFECTOR_PLAGUE_CITY		"Un contaminatore {player[0].civ_name_singular#PREPOSITION} ha attaccato {city[0].name}, infettando i suoi cittadini con armi biologiche. Questo agente virulento <c:255,0,50>ha reso molta gente inabile al lavoro, ha danneggiato la produzione e ha seminato un grave scontento.<e>"
T_REFORM_CITY_ORDER		"Riformare una città costa {OrderDB(ORDER_REFORM).Gold} monete d'oro e provoca un temporaneo malessere fra la tua gente. Però, la città non devolverà più i suoi soldi ad un'altra nazione."
T_DIP_REJECTION			"Hai rifiutato la proposta di {player[0].leader_name}. Può capitare che {player[0].leader_name} ti minacci per sostenere con maggiore aggressività la proposta da te rifiutata."
T_DIP_REJECTION_PLAYER		"{player[0].leader_name} ha rifiutato la tua proposta. Puoi minacciare {player[0].leader_name} per caldeggiare la proposta rifiutata, oppure formularne una nuova."
T_LAWYER_SUE_FRANCHISE		"Un avvocato ha denunciato la tua filiale di {city[0].name}, provocandone la chiusura. Non puoi più contare sull'apporto che ricevevi da quella città."
T_BUILDING_SOLD			"{city[0].name} non ha più il beneficio {improvement[0].type#ARTICLED_PREPOSITION}. Vendendo miglioramenti puoi ridurre i costi di manutenzione nei momenti di necessità, ma le città perderanno tutti i benefici di ciascun miglioramento venduto."
T_NUKE_TARGETED			"{city[0].name} è stata presa di mira da un missile nucleare nemico. Costruisci il miglioramento <c:255,0,50>missili antibalistici<e> per proteggere le città da questi attacchi. Puoi anche lasciare di guarnigione nelle tue città unità contraeree come i lanciamissili mobili o i Mietitori."
T_SLAVER_RAID_CITY		"Gli schiavisti hanno tentato di strappare cittadini alla città di {city[0].name}, per usarli come schiavi in terra straniera. Proteggi la tua gente costruendo mura cittadine."
T_SLEEP_ORDER			"Le unità a riposo rientreranno in azione non appena un'unità straniera entrerà nel loro campo visivo. Puoi anche rimetterle in azione direttamente in qualsiasi momento, selezionandole."
T_ABOLITIONIST_FREE_SLAVES	"Un abolizionista ha tentato di liberare gli schiavi da {city[0].name}. Proteggi la tua forza lavoro dalle influenze esterne tenendo unità schiaviste nelle tue città."
T_UNLOAD_CARGO			"Le truppe sono sbarcate dalla nave da trasporto e devono riposare prima di potersi muovere.\n\nSoltanto i marine e i paracadutisti possono muoversi subito dopo uno sbarco."
T_WAIT_TITLE			"Lo sapevi?"
T_WAIT_1			"Una città raccoglie risorse nella zona indicata da un bordo bianco. Man mano che la città cresce, questa zona si espande.\n\nLa linea colorata di confine rappresenta la terra controllata da una nazione."
T_WAIT_2			"Esistono tanti diversi tipi di terreno, ciascuno dei quali offre quantità variabili di risorse (cibo, commercio e produzione).\n\nÈ importante fondare le città dove sia possibile raccogliere una quantità di cibo sufficiente non solo a mantenere la popolazione attuale, ma anche a farla crescere."
T_WAIT_3			"Puoi spostare le tue unità per esplorare il territorio e trovare nuovi punti dove fondare città. Puoi anche usarle per combattere contro le nazioni nemiche o i temuti barbari."
T_WAIT_4			"Se lo desideri, puoi delegare a un sindaco la gestione delle tue città. Apri la schermata di <c:0,50,255>gestione cittadina<e> e clicca sul piccolo pulsante quadrato accanto alla parola Sindaco, poi seleziona una priorità dall'elenco a comparsa. Il sindaco organizzerà la produzione cittadina in base alla priorità scelta."
T_KEEP_HITTING_END_BUILDING	"{BUILDING_BUILDING.name} sta costruendo il miglioramento noto come {BuildingDB(CITY_BUILDING_BUILDING)}. Dato che questa è una fase relativamente prematura della crescita del tuo impero, la costruzione può richiedere molto tempo. Continua a premere 'INVIO' o a cliccare sul pulsante <c:0,50,255>Fine turno<e> fino al termine dei lavori."
T_KEEP_HITTING_END_WONDER	"{BUILDING_WONDER.name} sta costruendo la meraviglia nota come {WonderDB(CITY_BUILDING_WONDER)}. Dato che questa è una fase relativamente prematura della crescita del tuo impero, la costruzione può richiedere moltissimo tempo. Continua a premere 'INVIO' o a cliccare sul pulsante <c:0,50,255>Fine turno<e> fino al termine dei lavori." 
T_CANT_DISBAND_BIG_CITY		"Non puoi demolire città con più di 3.000 abitanti. {city[0].name} ne ha {BIG_CITY}."
T_USE_MAYORS			"Puoi delegare ai sindaci la gestione cittadina. Nella schermata di gestione cittadina, clicca sul piccolo pulsante quadrato accanto alla parola Sindaco, poi seleziona una priorità dall'elenco a comparsa. Il sindaco organizzerà la produzione cittadina in base alla priorità scelta."
