#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (Italian)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin Gühmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"Fabbricazione utensili"
WONDER_GLOBAL_SURVEILLANCE_CENTER_ARTICLE	"il "
WONDER_NANITE_DEFUSER_ARTICLE			"il "
WONDER_NATIONAL_SHIELD_ARTICLE			"lo "
WONDER_EGALITARIAN_ACT_ARTICLE			"la "
WONDER_THE_EDEN_PROJECT_ARTICLE			"il "
WONDER_THE_SOLARIS_PROJECT_ARTICLE		"il "
WONDER_ZERO_CRIME_BILL_ARTICLE			"il "


#### Units STRINGS ####
UNIT_SETTLER					"Colono"
UNIT_WARRIOR					"Guerriero"
UNIT_CATAMARAN					"Barca di vimini"
UNIT_HOPLITE					"Oplite"
UNIT_ARCHER					"Arciere"
UNIT_SLAVER					"Schiavista"
UNIT_SWORDSMAN					"Samurai"
UNIT_MOUNTED_ARCHER				"Arciere a cavallo"
UNIT_CARAVAN					"Carovana"
UNIT_FIRE_TRIREME				"Trireme con fuoco greco"
UNIT_KNIGHT					"Cavaliere"
UNIT_CATAPULT					"Catapulta"
UNIT_LONGSHIP					"Drakkar"
UNIT_DIPLOMAT					"Diplomatico"
UNIT_PIKEMEN					"Picchiere"
UNIT_CLERIC					"Prete"
UNIT_ABOLITIONIST				"Abolizionista"
UNIT_CARRACK					"Caracca"
UNIT_INFANTRYMAN				"Fante"
UNIT_CAVALRY					"Cavalleria"
UNIT_FASCIST					"Fascista"
UNIT_CANNON					"Cannone"
UNIT_SHIP_OF_THE_LINE				"Nave da guerra"
UNIT_SPY					"Spia"
UNIT_IRONCLAD					"Nave da guerra di ferro"
UNIT_MACHINE_GUNNER				"Mitragliere"
UNIT_ARTILLERY					"Artiglieria"
UNIT_SUBMARINE					"Sottomarino"
UNIT_TROOP_SHIP					"Nave truppa"
UNIT_FRIGATE					"Nave pattuglia"
UNIT_DESTROYER					"Cacciatorpediniere"
UNIT_TELEVANGELIST				"Televangelista"
UNIT_BATTLESHIP					"Corazzata"
UNIT_FIGHTER					"Caccia"
UNIT_CORPORATE_BRANCH				"Filiale commerciale"
UNIT_LAWYER					"Avvocato"
UNIT_BOMBER					"Bombardiere"
UNIT_TANK					"Carro armato"
UNIT_CARGO_HELICOPTER				"Elicottero da carico"
UNIT_AIRCRAFT_CARRIER				"Portaerei"
UNIT_MOBILE_SAM					"Lanciamissili mobile"
UNIT_MARINE					"Marine"
UNIT_PARATROOPER				"Paracadutista"
UNIT_URBAN_PLANNER				"Urbanista"
UNIT_Z_FREIGHT_TRANSPORT			"Trasporto merci"
UNIT_INTERCEPTOR				"Intercettore"
UNIT_CRUISE_MISSILE				"Missile da crociera"
UNIT_NUCLEAR_SUBMARINE				"Sottomarino nucleare"
UNIT_NUKE					"Bomba atomica"
UNIT_STEALTH_FIGHTER				"Caccia antiradar"
UNIT_STEALTH_BOMBER				"Bombardiere antiradar"
UNIT_SCOUT_SUB					"Ricognitore sottomarino"
UNIT_SPACE_PLANE				"Aereo spaziale"
UNIT_SPY_PLANE					"Aereo spia"
UNIT_MOREY_STRIKER				"Murena"
UNIT_CYBERATTORNEY				"Ciberavvocato"
UNIT_MOBILE_SUBNEURAL_AD			"Influenzatore subliminale"
UNIT_HOVER_INFANTRY				"Fanteria antigravità"
UNIT_CYBER_NINJA				"Ciberninja"
UNIT_SEA_ENGINEER				"Ingegnere marino"
UNIT_EMPATHIC_DIPLOMAT				"Diplomatico empatico"
UNIT_FUSION_TANK				"Carro armato a fusione"
UNIT_CRAWLER					"Granchio"
UNIT_WAR_WALKER					"Mietitore"
UNIT_PLASMA_DESTROYER				"Distruttore al plasma"
UNIT_LEVIATHON					"Leviatano"
UNIT_KRAKEN					"Kraken"
UNIT_INFECTOR					"Contaminatore"
UNIT_ECO_TERRORIST				"Ecoterrorista"
UNIT_ECO_RANGER					"Ecoranger"
UNIT_DREADNAUGHT				"Proteus"
UNIT_CITY					"Città"
UNIT_OCEAN_CITY					"Colonia marina"
UNIT_SPACE_CITY					"Colonia spaziale"
UNIT_ELEPHANT_WARRIOR				"Elephant Warrior"
UNIT_SCOUT					"Scout"
UNIT_LEGION					"Legion"
UNIT_GUERRILLA					"Guerrilla"
UNIT_SWORDSMAN					"Swordsman"
UNIT_PIRATE_SHIP				"Pirate Ship"
UNIT_TRADER					"Trader"
UNIT_LONGBOWMAN 				"Longbowman"

#### governs STRINGS ####
GOVERNMENT_ANARCHY				"Anarchia"
GOVERNMENT_TYRANNY				"Tirannia"
GOVERNMENT_MONARCHY				"Monarchia"
GOVERNMENT_THEOCRACY				"Teocrazia"
GOVERNMENT_COMMUNISM				"Comunismo"
GOVERNMENT_FASCISM				"Fascismo"
GOVERNMENT_REPUBLIC				"Repubblica"
GOVERNMENT_DEMOCRACY				"Democrazia"
GOVERNMENT_CORPORATE_REPUBLIC			"Rep. corporativa"
GOVERNMENT_ECOTOPIA				"Ecotopia"
GOVERNMENT_TECHNOCRACY				"Tecnocrazia"
GOVERNMENT_VIRTUAL_DEMOCRACY			"Democrazia virtuale"


#### improvements STRINGS ####
IMPROVE_GRANARY					"Granaio"
IMPROVE_CITY_WALLS				"Mura cittadine"
IMPROVE_SHRINE					"Santuario"
IMPROVE_COURTHOUSE				"Palazzo di giustizia"
IMPROVE_BALLISTA_TOWERS				"Torri con balista"
IMPROVE_AQUEDUCT				"Acquedotto"
IMPROVE_THEATER					"Teatro"
IMPROVE_BAZAAR					"Bazar"
IMPROVE_ACADEMY					"Accademia"
IMPROVE_ARENA					"Arena"
IMPROVE_CAPITOL					"Palazzo"
IMPROVE_MILL					"Mulino"
IMPROVE_BASCILICA				"Basilica"
IMPROVE_UNIVERSITY				"Università"
IMPROVE_BANK					"Banca"
IMPROVE_PUBLISHING_HOUSE			"Casa editrice"
IMPROVE_BATTLEMENTS				"Bastione"
IMPROVE_BROKERAGE				"Agenzia finanziaria"
IMPROVE_FOOD_SILO				"Silo per cibo"
IMPROVE_FACTORY					"Fabbrica"
IMPROVE_OIL_REFINERY				"Raffineria"
IMPROVE_MOVIE_PALACE				"Cinema"
IMPROVE_DRUG_STORE				"Farmacia"
IMPROVE_TELEVISION				"Televisione"
IMPROVE_AIRPORT					"Aeroporto"
IMPROVE_CORRECTIONAL_FACILITY			"Casa di correzione"
IMPROVE_HOSPITAL				"Ospedale"
IMPROVE_FLAK_TOWERS				"Torri di guardia"
IMPROVE_COMPUTER_CENTER				"Centro informatico"
IMPROVE_PUBLIC_TRANSPORTATION			"Trasporti pubblici"
IMPROVE_RECYCLING_PLANT				"Impianto di riciclo"
IMPROVE_NUCLEAR_PLANT				"Centrale nucleare"
IMPROVE_ECO_TRANSIT				"Veicoli ecologici"
IMPROVE_ANTI_BALLISTIC_MISSILES			"Missili antibalistici"
IMPROVE_ARCOLOGIES				"Arcologie"
IMPROVE_ORBITAL_LABORATORY			"Laboratorio orbitale"
IMPROVE_ROBOTIC_PLANT				"Fabbrica robotica"
IMPROVE_SECURITY_MONITOR			"Centro di sicurezza"
IMPROVE_E_BANK					"Banca elettronica"
IMPROVE_VR_AMUSEMENT_PARK			"Parco divertimenti virtuale"
IMPROVE_NANITE_FACTORY				"Fabbrica a naniti"
IMPROVE_FORCEFIELD				"Campo di forza"
IMPROVE_AQUA_FILTER				"Depuratore a naniti"
IMPROVE_INCUBATION_CENTER			"Centro di incubazione"
IMPROVE_FUSION_PLANT				"Centrale a fusione"
IMPROVE_BEHAVIORAL_MOD_CENTER			"Centro comportamentale"
IMPROVE_CORNUCOPIC_VAT				"Moltiplicatore di cibo"
IMPROVE_MICRO_DEFENSE				"Nanodifesa"
IMPROVE_MATTER_DECOMPILER			"Decompilatore di materia"
IMPROVE_BODY_EXCHANGE				"Banca dei corpi"
IMPROVE_GAIA_COMPUTER				"Centro computer Gaia"
IMPROVE_POWER_SATELLITE				"Satellite Gaia"


#### terrain STRINGS ####
TERRAIN_BROWN_MOUNTAIN				"Montagna desertica"
TERRAIN_BROWN_HILL				"Collina desertica"
TERRAIN_WHITE_MOUNTAIN				"Montagna polare"
TERRAIN_WHITE_HILL				"Collina polare"
TERRAIN_MOUNTAIN				"Montagna"
TERRAIN_DESERT					"Deserto"
TERRAIN_FOREST					"Foresta"
TERRAIN_GLACIER					"Ghiacciaio"
TERRAIN_GRASSLAND				"Prateria"
TERRAIN_HILL					"Collina"
TERRAIN_JUNGLE					"Giungla"
TERRAIN_PLAINS					"Pianura"
TERRAIN_SWAMP					"Palude"
TERRAIN_TUNDRA					"Tundra"
TERRAIN_WATER_SHALLOW				"Acqua bassa"
TERRAIN_WATER_DEEP				"Acqua profonda"
TERRAIN_WATER_RIFT				"Cresta"
TERRAIN_WATER_TRENCH				"Canyon"
TERRAIN_WATER_VOLCANO				"Vulcano"
TERRAIN_WATER_REEF				"Barriera corallina"
TERRAIN_WATER_KELP				"Letto di alghe"
TERRAIN_SPACE					"Spazio"
TERRAIN_WATER_BEACH				"Spiaggia"
TERRAIN_WATER_SHELF				"Piattaforma continentale"
TERRAIN_DEAD					"Zona morta"
TERRAIN_SPECIAL1				"Speciale"
TERRAIN_SPECIAL2				"Ponte"
#TERRAIN_DEAD_HILL				"Collina morta"

TERRAIN_ARCTIC_MOUNTAIN_GOOD_ONE		"Rubini"
TERRAIN_ARCTIC_MOUNTAIN_GOOD_TWO		"Diamanti"
TERRAIN_MOUNTAIN_GOOD_ONE			"Tè"
TERRAIN_MOUNTAIN_GOOD_TWO			"Smeraldi"
TERRAIN_DESERT_GOOD_TWO				"Petrolio"
TERRAIN_DESERT_GOOD_ONE				"Vetro"
TERRAIN_FOREST_GOOD_ONE				"Legno duro"
TERRAIN_FOREST_GOOD_TWO				"Orso"
TERRAIN_GLACIER_GOOD_ONE			"Tricheco" # Walrus
TERRAIN_GRASSLAND_GOOD_ONE			"Cotone/lino"
TERRAIN_GRASSLAND_GOOD_TWO			"Tabacco"
TERRAIN_HILL_GOOD_ONE				"Caffè"
TERRAIN_HILL_GOOD_TWO				"Uva"
TERRAIN_JUNGLE_GOOD_ONE				"Erbe medicinali"
TERRAIN_JUNGLE_GOOD_TWO				"Giada"
TERRAIN_PLAINS_GOOD_ONE				"Spezie"
TERRAIN_PLAINS_GOOD_TWO				"Elefante"
TERRAIN_SWAMP_GOOD_ONE				"Alligatore"
TERRAIN_TUNDRA_GOOD_ONE				"Caribù"
TERRAIN_WATER_SHALLOW_GOOD_ONE			"Crostacei"
TERRAIN_WATER_SHALLOW_GOOD_TWO			"Perle"
TERRAIN_WATER_DEEP_GOOD_ONE			"Balena"
TERRAIN_WATER_DEEP_GOOD_TWO			"Calamaro gigante"
TERRAIN_WATER_BEACH_GOOD_ONE			"Crostacei"
TERRAIN_WATER_BEACH_GOOD_TWO			"Perle" # Replace with Fish
TERRAIN_WATER_SHELF_GOOD_ONE			"Crostacei"
TERRAIN_WATER_SHELF_GOOD_TWO			"Perle"
TERRAIN_DUMMY_GOOD				"Positivo"

###Added for goodmod###   fix walrus, too many (actual these aren't used)

TERRAIN_ARCTIC_MOUNTAIN_GOOD_THREE		"Bauxite"
TERRAIN_ARCTIC_MOUNTAIN_GOOD_FOUR		"Emeralds"
TERRAIN_MOUNTAIN_GOOD_THREE			"Coal"
TERRAIN_MOUNTAIN_GOOD_FOUR			"Gold"
TERRAIN_DESERT_GOOD_THREE			"Dates"
TERRAIN_DESERT_GOOD_FOUR			"Camels"
TERRAIN_FOREST_GOOD_THREE			"Apples"
TERRAIN_FOREST_GOOD_FOUR			"Castoro"
TERRAIN_GLACIER_GOOD_TWO			"Walrus"
TERRAIN_GLACIER_GOOD_THREE			"Walrus"
TERRAIN_GLACIER_GOOD_FOUR			"Walrus"
TERRAIN_GRASSLAND_GOOD_THREE			"Potatoes"
TERRAIN_GRASSLAND_GOOD_FOUR			"Papaveri"
TERRAIN_HILL_GOOD_THREE				"Uranium"
TERRAIN_HILL_GOOD_FOUR				"Olives"
TERRAIN_JUNGLE_GOOD_THREE			"Bananas"
TERRAIN_JUNGLE_GOOD_FOUR			"Zucchero"
TERRAIN_PLAINS_GOOD_THREE			"Wheat"
TERRAIN_PLAINS_GOOD_FOUR			"Buffalo"
TERRAIN_SWAMP_GOOD_TWO				"Rice"
TERRAIN_SWAMP_GOOD_THREE			"Cilli"
TERRAIN_SWAMP_GOOD_FOUR				"Peat"
TERRAIN_TUNDRA_GOOD_TWO				"Petrolio"
TERRAIN_TUNDRA_GOOD_THREE			"Caribù"
TERRAIN_TUNDRA_GOOD_FOUR			"Caribù"
TERRAIN_WATER_SHALLOW_GOOD_THREE		"Salmon"
TERRAIN_WATER_SHALLOW_GOOD_FOUR			"Lobster"
TERRAIN_WATER_DEEP_GOOD_THREE			"Tuna"
TERRAIN_WATER_DEEP_GOOD_FOUR			"Calamaro gigante"
TERRAIN_WATER_BEACH_GOOD_THREE			"Dye"
TERRAIN_WATER_BEACH_GOOD_FOUR			"Perle"
TERRAIN_WATER_SHELF_GOOD_THREE			"Dye"
TERRAIN_WATER_SHELF_GOOD_FOUR			"Perle"
#TERRAIN_DUMMY_GOOD				"Positivo"
TERRAIN_BROWN_HILL_GOOD_ONE			"Copper"
TERRAIN_BROWN_HILL_GOOD_TWO			"Silver"
TERRAIN_BROWN_MOUNTAIN_GOOD_ONE			"Iron Ore"
TERRAIN_BROWN_MOUNTAIN_GOOD_TWO			"Silver"
TERRAIN_WHITE_HILL_GOOD_ONE			"Sapphires"
TERRAIN_WHITE_HILL_GOOD_TWO			"Smeraldi"

#### CONCEPT STRINGS ####
#CONCEPT_DIAMONDS				"Diamanti"
#CONCEPT_RUBIES					"Rubini"
#CONCEPT_OIL					"Petrolio"
#CONCEPT_BEAVER					"Castoro"
#CONCEPT_TOBACCO				"Tabacco"
#CONCEPT_POPPIES				"Papaveri"
#CONCEPT_COFFEE					"Caffè"
#CONCEPT_COCOA					"Uva"
#CONCEPT_SUGAR					"Zucchero"
#CONCEPT_JADE					"Giada"
#CONCEPT_ELEPHANT				"Elefante"
#CONCEPT_ALLIGATOR				"Alligatore"
#CONCEPT_CARIBOU				"Caribù"
#CONCEPT_CRABS					"Crostacei"
#CONCEPT_PEARLS					"Perle"
#CONCEPT_WHALES					"Balena"
#CONCEPT_GIANT_SQUID				"Calamaro gigante"
#CONCEPT_WORMHOLE				"Frattura spaziotemporale"
#CONCEPT_ATTACK_ENEMY				"Attacca il nemico"
#CONCEPT_CAPTURE_CITY				"000"
#CONCEPT_CEASE_FIRE				"Trattato di pace"
#CONCEPT_CIV_POINTS				"Punti Civ"
#CONCEPT_C_FIELD				"Campo di contenimento"
#CONCEPT_DEMANDS				"Richiesta"
#CONCEPT_ECD					"DCE"
#CONCEPT_ECO_PACT				"Eco-patto"
#CONCEPT_ENTERTAINER				"Intrattenitore"
#CONCEPT_EXCHANGES				"Scambi"
#CONCEPT_E_TANK					"Vasca embrionale"
#CONCEPT_GIFTS					"Doni"
#CONCEPT_G_SPLICER				"Manipolatore di geni"
#CONCEPT_INCITE					"Incita"
#CONCEPT_LARORER				"Operaio"
#CONCEPT_LEAVE_MY_LANDS				"Fine sconfinamento"
#CONCEPT_MAINTENANCE_COST			"Costo di manutenzione"
#CONCEPT_MERCHANT				"Mercante"
#CONCEPT_MONUMENT_SCREEN			"Schermata Monumento"
#CONCEPT_NO_PIRACY				"Fine pirateria"
#CONCEPT_REDUCE_POLLUTION			"Riduci inquinamento"
#CONCEPT_RUSTLE					"r77"
#CONCEPT_SCIENTIST				"Scienziato"
#CONCEPT_SPACE_COLONIES				"Colonia spaziale"
#CONCEPT_STOP_TRADE				"Interrompi commercio"
#CONCEPT_TRADE_UNITS				"Unità antiradar"
#CONCEPT_X_LAB					"Xenolaboratorio"
CONCEPT_ACTIVE_DEFENSE				"Difesa attiva"
CONCEPT_ADVANCES				"Progressi"
CONCEPT_ALLIANCE				"Alleanza"
CONCEPT_ANCIENT_AGE				"Età antica"
CONCEPT_ATROCITY				"Atrocità"
CONCEPT_BARBARIANS				"Barbari"
CONCEPT_CAPITALIZATION				"Capitalizzazione"
CONCEPT_CITY					"Città"
CONCEPT_CLASSIC_AGE				"Classical Age"
CONCEPT_COMMERCE				"Commercio"
CONCEPT_COMPUTER_AGE				"Information Age"
CONCEPT_CRIME					"Crimine"
