# Control Panel
STATUSBAR_CITY_TURNS_REMAINING_DISPLAY	"Numero di turni rimasti per ultimare la produzione."
TOOLTIP_CITY_TURNS_REMAINING_DISPLAY	"Turni rimasti al completamento"
STATUSBAR_CITY_HIRE_GOVERNOR_BUTTON	"Clicca qui per eleggere il sindaco di questa città."
TOOLTIP_CITY_HIRE_GOVERNOR_BUTTON	"Eleggi il sindaco"
STATUSBAR_CITY_GOVERNOR_PRIORITY_PULLDOWN	"Assegna la priorità del sindaco di questa città."
TOOLTIP_CITY_GOVERNOR_PRIORITY_PULLDOWN		"Assegna la priorità"
STATUSBAR_CITY_SELECT_CITY_PULLDOWN	"Clicca qui per scegliere da un elenco di città."
TOOLTIP_CITY_SELECT_CITY_PULLDOWN	"Elenco di città"
STATUSBAR_CITY_GOTO_NEXTCITY_BUTTON	"Passa alla città seguente."
TOOLTIP_CITY_GOTO_NEXTCITY_BUTTON	"Città seguente"
STATUSBAR_CITY_GOTO_PREVCITY_BUTTON	"Torna alla città precedente."
TOOLTIP_CITY_GOTO_PREVCITY_BUTTON	"Città precedente"

# Unit Tab
STATUSBAR_UNIT_MAINTAB			"Clicca qui per visualizzare tutte le unità presenti in una città o casella."
TOOLTIP_UNIT_MAINTAB			"Informazioni sulle unità"
STATUSBAR_UNIT_NEXT_UNIT_BUTTON		"Clicca qui per selezionare la prossima unità disponibile."
TOOLTIP_UNIT_NEXT_UNIT_BUTTON		"Unità seguente"
STATUSBAR_UNIT_PREV_UNIT_BUTTON		"Clicca qui per tornare all'unità precedente."
TOOLTIP_UNIT_PREV_UNIT_BUTTON		"Unità precedente"
STATUSBAR_UNIT_MOVE_ORDER_BUTTON	"Ordina all'unità di muoversi."
TOOLTIP_UNIT_MOVE_ORDER_BUTTON		"Muovi l'unità"
STATUSBAR_UNIT_SETTLE_ORDER_BUTTON	"Ordina all'unità di fondare una città."
TOOLTIP_UNIT_SETTLE_ORDER_BUTTON	"Fonda una città"
STATUSBAR_UNIT_SLEEP_ORDER_BUTTON	"Ordina all'unità di riposare."
TOOLTIP_UNIT_SLEEP_ORDER_BUTTON		"Unità a riposo"
STATUSBAR_UNIT_DISBAND_ORDER_BUTTON	"Ordina all'unità di sciogliersi."
TOOLTIP_UNIT_DISBAND_ORDER_BUTTON	"Congeda l'unità"
STATUSBAR_UNIT_CANCEL_ORDER_BUTTON	"Annulla l'ordine attuale."
TOOLTIP_UNIT_CANCEL_ORDER_BUTTON	"Annulla l'ordine"
STATUSBAR_UNIT_FORTIFY_ORDER_BUTTON	"Ordina all'unità di proteggersi."
TOOLTIP_UNIT_FORTIFY_ORDER_BUTTON	"Proteggiti"
STATUSBAR_UNIT_PILLAGE_ORDER_BUTTON	"Ordina all'unità di saccheggiare questa casella."
TOOLTIP_UNIT_PILLAGE_ORDER_BUTTON	"Saccheggia la casella"
STATUSBAR_UNIT_PIRATE_ORDER_BUTTON	"Ordina all'unità di commettere atti di pirateria su questa rotta commerciale."
TOOLTIP_UNIT_PIRATE_ORDER_BUTTON	"Pirateria commerciale"
STATUSBAR_UNIT_UNITSTATS_DISPLAY	"A=Attacco, P=Portata, D=Difesa, S=Spostamento"
TOOLTIP_UNIT_UNITSTATS_DISPLAY		"I dati di questa unità"
STATUSBAR_UNIT_UNITSTATS_ATT_DISPLAY	"Indica la forza offensiva dell'unità."
TOOLTIP_UNIT_UNITSTATS_ATT_DISPLAY	"Attacco"
STATUSBAR_UNIT_UNITSTATS_DEF_DISPLAY	"Indica la forza difensiva dell'unità."
TOOLTIP_UNIT_UNITSTATS_DEF_DISPLAY	"Difesa"
STATUSBAR_UNIT_UNITSTATS_RNG_DISPLAY	"Indica la forza dell'unità negli attacchi a distanza."
TOOLTIP_UNIT_UNITSTATS_RNG_DISPLAY	"Attacco adistanza"
STATUSBAR_UNIT_UNITSTATS_BOM_DISPLAY	"Indica la forza di bombardamneto dell'unità."
TOOLTIP_UNIT_UNITSTATS_BOM_DISPLAY	"Bomdardamento"
STATUSBAR_UNIT_UNITSTATS_MOV_DISPLAY	"Indica la capacità di movimento dell'unità."
TOOLTIP_UNIT_UNITSTATS_MOV_DISPLAY	"Movimento"
STATUSBAR_UNIT_UNITSTATS_ARM_DISPLAY	"Indica il livello della corazza dell'unità."
TOOLTIP_UNIT_UNITSTATS_ARM_DISPLAY	"Corazza"
STATUSBAR_UNIT_UNITSTATS_FUL_DISPLAY	"Indicale scorte di carburante dell'unità."
TOOLTIP_UNIT_UNITSTATS_FUL_DISPLAY	"Carburante"
STATUSBAR_UNIT_ARMYSTATS_DIPLAY		"I dati di questa armata."
TOOLTIP_UNIT_ARMYSTATS_DIPLAY		"I dati di questa armata"
STATUSBAR_UNIT_UNITINFO_BUTTON		"Clicca qui per aprire la Gestione delle armate."
TOOLTIP_UNIT_UNITINFO_BUTTON		"Passa alla Gestione delle armate"
STATUSBAR_UNIT_ARMYINFO_BUTTON		"Clicca qui per aprire la Gestione delle armate."
TOOLTIP_UNIT_ARMYINFO_BUTTON		"Passa alla Gestione delle armate"

# Tile Improvements Tab
STATUSBAR_TILEIMP_MAINTAB		"Clicca qui per vedere i miglioramenti per le caselle."
TOOLTIP_TILEIMP_MAINTAB			"Miglioramenti per le caselle"
STATUSBAR_TILEIMP_TOTAL_PW_DISPLAY	"La quantità di produzione a beneficio dei Lavori pubblici."
TOOLTIP_TILEIMP_TOTAL_PW_DISPLAY	"Totale Lavori pubblici"
STATUSBAR_TILEIMP_PW_RATE_DISPLAY	"Attuale livello di tasse per i Lavori pubblici."
TOOLTIP_TILEIMP_PW_RATE_DISPLAY		"Tasse per i Lavori pubblici"
STATUSBAR_TILEIMP_LANDIMP_BUTTON	"Clicca qui per visualizzare i miglioramenti per le caselle terrestri."
TOOLTIP_TILEIMP_LANDIMP_BUTTON		"Miglioramenti per le caselle terrestri"
STATUSBAR_TILEIMP_OCEANIMP_BUTTON	"Clicca qui per visualizzare i miglioramenti per le caselle oceaniche."
TOOLTIP_TILEIMP_OCEANIMP_BUTTON		"Miglioramenti per le caselle oceaniche"
STATUSBAR_TILEIMP_SPECIALIMP_BUTTON	"Clicca qui per visualizzare i miglioramenti per le caselle speciali."
TOOLTIP_TILEIMP_SPECIALIMP_BUTTON	"Miglioramenti per le caselle speciali"
STATUSBAR_TILEIMP_TILEIMPMENU_SIDETAB	"Clicca qui per aprire il menu dei miglioramenti per le caselle."
TOOLTIP_TILEIMP_TILEIMPMENU_SIDETAB	"Menu dei miglioramenti per le caselle"
STATUSBAR_TILEIMP_TERRAFORMMENU_SIDETAB	"Clicca qui per aprire il menu di trasformazione."
TOOLTIP_TILEIMP_TERRAFORMMENU_SIDETAB	"Menu di trasformazione"
STATUSBAR_TILEIMP_SELECT_FARM1_BUTTON	"Costruisci le fattorie vicino ai fiumi di praterie e pianure."
TOOLTIP_TILEIMP_SELECT_FARM1_BUTTON	"Fattoria"
STATUSBAR_TILEIMP_SELECT_FARM2_BUTTON	"Costruisci le fattorie avanzate su pianure e praterie."
TOOLTIP_TILEIMP_SELECT_FARM2_BUTTON	"Fattoria avanzata"
STATUSBAR_TILEIMP_SELECT_FARM3_BUTTON	"Costruisci lfattorie idroponiche su pianure e praterie."
TOOLTIP_TILEIMP_SELECT_FARM3_BUTTON	"Fattoria idroponica"
STATUSBAR_TILEIMP_SELECT_MINE1_BUTTON	"Le miniere devono essere costruite su caselle di terra."
TOOLTIP_TILEIMP_SELECT_MINE1_BUTTON	"Miniera"
STATUSBAR_TILEIMP_SELECT_MINE2_BUTTON	"Le miniere avanzate devono essere costruite su caselle di terra."
TOOLTIP_TILEIMP_SELECT_MINE2_BUTTON	"Miniera avanzata"
STATUSBAR_TILEIMP_SELECT_MINE3_BUTTON	"Le mega-miniere devono essere costruite su caselle di terra."
TOOLTIP_TILEIMP_SELECT_MINE3_BUTTON	"Mega-miniera"
STATUSBAR_TILEIMP_SELECT_ROAD1_BUTTON	"Le strade possono essere costruite su qualunque tipo di terreno."
TOOLTIP_TILEIMP_SELECT_ROAD1_BUTTON	"Strade"
STATUSBAR_TILEIMP_SELECT_ROAD2_BUTTON	"Le ferrovie possono essere costruite su qualunque tipo di terreno."
TOOLTIP_TILEIMP_SELECT_ROAD2_BUTTON	"Ferrovia"
STATUSBAR_TILEIMP_SELECT_ROAD3_BUTTON	"Le ferrovie a levitazione magnetica possono essere costruite su qualunque tipo di terreno."
TOOLTIP_TILEIMP_SELECT_ROAD3_BUTTON	"Ferrovia a levitazione magnetica"
STATUSBAR_TILEIMP_SELECT_ATM1_BUTTON	"I centri scambi possono essere costruiti sulle caselle di terra."
TOOLTIP_TILEIMP_SELECT_ATM1_BUTTON	"Centro scambi"
STATUSBAR_TILEIMP_SELECT_ATM2_BUTTON	"I centri commerciali possono essere costruiti sulle caselle di terra."
TOOLTIP_TILEIMP_SELECT_ATM2_BUTTON	"Centro commerciale"
STATUSBAR_TILEIMP_SELECT_ATM3_BUTTON	"Le riserve naturali possono essere costruite sulle caselle di terra."
TOOLTIP_TILEIMP_SELECT_ATM3_BUTTON	"Riserve naturali"
STATUSBAR_TILEIMP_SELECT_NET1_BUTTON	"Le reti devono essere disposte in qualsiasi casella di oceano nei paraggi di una città."
TOOLTIP_TILEIMP_SELECT_NET1_BUTTON	"Rete"
STATUSBAR_TILEIMP_SELECT_NET2_BUTTON	"Le riserve di pesca devono essere create in qualsiasi casella di oceano nei paraggi di una città."
TOOLTIP_TILEIMP_SELECT_NET2_BUTTON	"Riserva di pesca"
STATUSBAR_TILEIMP_SELECT_NET3_BUTTON	"Le riserve di pesca automatizzate devono essere create in qualsiasi casella di oceano nei paraggi di una città."
TOOLTIP_TILEIMP_SELECT_NET3_BUTTON	"Riserva di pesca"
STATUSBAR_TILEIMP_SELECT_RIG1_BUTTON	"Le miniere sottomarine devono essere costruite sul fondo oceanico o in un canyon sottomarino."
TOOLTIP_TILEIMP_SELECT_RIG1_BUTTON	"Miniera sottomarina"
STATUSBAR_TILEIMP_SELECT_RIG2_BUTTON	"Le miniere sottomarine avanzate devono essere costruite sul fondo oceanico o in un canyon sottomarino."
TOOLTIP_TILEIMP_SELECT_RIG2_BUTTON	"Miniera sottomarina avanzata"
STATUSBAR_TILEIMP_SELECT_RIG3_BUTTON	"Le mega-miniere sottomarine devono essere costruite sul fondo oceanico o in un canyon sottomarino."
TOOLTIP_TILEIMP_SELECT_RIG3_BUTTON	"Mega-miniera sottomarina"
STATUSBAR_TILEIMP_SELECT_TUNNEL_BUTTON	"Le gallerie sottomarine devono essere costruite sul fondo oceanico."
TOOLTIP_TILEIMP_SELECT_TUNNEL_BUTTON	"Galleria sottomarina"
STATUSBAR_TILEIMP_SELECT_PIER1_BUTTON	"I porti devono essere costruiti su una casella di oceano adiacente alla riva."
TOOLTIP_TILEIMP_SELECT_PIER1_BUTTON	"Porto"
STATUSBAR_TILEIMP_SELECT_PIER2_BUTTON	"Le piattaforme petrolifere devono essere costruite su una casella di oceano."
TOOLTIP_TILEIMP_SELECT_PIER2_BUTTON	"Piattaforma petrolifera"
STATUSBAR_TILEIMP_SELECT_PIER3_BUTTON	"I moli tipo 3 devono essere costruiti su una casella di oceano adiacente alla riva."
TOOLTIP_TILEIMP_SELECT_PIER3_BUTTON	"Molo 3 - Futuro"
STATUSBAR_TILEIMP_SELECT_LISTENPOST_BUTTON	"Le postazioni d'ascolto dovrebbero essere costruite sulle caselle terrestri presso il confine nazionale."
TOOLTIP_TILEIMP_SELECT_LISTENPOST_BUTTON	"Postazione d'ascolto"
STATUSBAR_TILEIMP_SELECT_RADARTOWER_BUTTON	"Le stazioni radar dovrebbero essere costruite sulle caselle terrestri presso il confine nazionale."
TOOLTIP_TILEIMP_SELECT_RADARTOWER_BUTTON	"Stazione radar"
STATUSBAR_TILEIMP_SELECT_FORT_BUTTON	"Le fortificazioni possono essere costruite su qualunque casella terrestre."
TOOLTIP_TILEIMP_SELECT_FORT_BUTTON	"Fortificazione"
STATUSBAR_TILEIMP_SELECT_AIRBASE_BUTTON	"Le basi aeree possono essere costruite su qualunque casella terrestre."
TOOLTIP_TILEIMP_SELECT_AIRBASE_BUTTON	"Base aerea"
STATUSBAR_TILEIMP_SELECT_SONAR_BUOYS_BUTTON	"Le  boe sonar possono essere posizionate su qualunque casella di oceano."
TOOLTIP_TILEIMP_SELECT_SONAR_BUOYS_BUTTON	"Boe sonar"
STATUSBAR_TILEIMP_SELECT_OBELISK_BUTTON	"Gli obelischi Gaia possono essere posizionati su qualunque casella terrestre."
TOOLTIP_TILEIMP_SELECT_OBELISK_BUTTON	"Obelisco Gaia"
STATUSBAR_TILEIMP_LANDTERRA_BUTTON	"Clicca qui per richiamare le opzioni di trasformazione delle caselle terrestri."
TOOLTIP_TILEIMP_LANDTERRA_BUTTON	"Trasforma la terra"
STATUSBAR_TILEIMP_OCEANTERRA_BUTTON	"Clicca qui per richiamare le opzioni di trasformazione delle caselle oceaniche."
TOOLTIP_TILEIMP_OCEANTERRA_BUTTON	"Trasforma l'oceano"
STATUSBAR_TILEIMP_SPECIALTERRA_BUTTON	"Non esistono opzioni per la trasformazione delle caselle speciali: solo quelle terrestri e oceaniche."
TOOLTIP_TILEIMP_SPECIALTERRA_BUTTON	"Non disponibile"
STATUSBAR_TILEIMP_SELECT_BROWN_HILL_BUTTON	"Trasforma una qualsiasi casella terrestre in dune di sabbia."
TOOLTIP_TILEIMP_SELECT_BROWN_HILL_BUTTON	"Duna di sabbia"
STATUSBAR_TILEIMP_SELECT_BROWN_MOUNTAIN_BUTTON	"Trasforma una qualsiasi casella terrestre in montagne desertiche."
TOOLTIP_TILEIMP_SELECT_BROWN_MOUNTAIN_BUTTON	"Montagna desertica"
STATUSBAR_TILEIMP_SELECT_DESERT_BUTTON	"Trasforma una qualsiasi casella terrestre in deserto."
TOOLTIP_TILEIMP_SELECT_DESERT_BUTTON	"Deserto"
STATUSBAR_TILEIMP_SELECT_DECIDUOUS_BUTTON	"Trasforma una qualsiasi casella terrestre in foresta."
TOOLTIP_TILEIMP_SELECT_DECIDUOUS_BUTTON		"Foresta"
STATUSBAR_TILEIMP_SELECT_GRASSLND_BUTTON	"Trasforma una qualsiasi casella terrestre in prateria."
TOOLTIP_TILEIMP_SELECT_GRASSLND_BUTTON		"Prateria"
STATUSBAR_TILEIMP_SELECT_HILL_BUTTON	"Trasforma una qualsiasi casella terrestre in colline."
TOOLTIP_TILEIMP_SELECT_HILL_BUTTON	"Colline"
STATUSBAR_TILEIMP_SELECT_JUNGLE_BUTTON	"Trasforma una qualsiasi casella terrestre in giungla."
TOOLTIP_TILEIMP_SELECT_JUNGLE_BUTTON	"Giungla"
STATUSBAR_TILEIMP_SELECT_MOUNTAIN_BUTTON	"Trasforma una qualsiasi casella terrestre in montagne."
TOOLTIP_TILEIMP_SELECT_MOUNTAIN_BUTTON		"Montagne"
STATUSBAR_TILEIMP_SELECT_PLAINS_BUTTON	" Trasforma una qualsiasi casella terrestre in pianura."
TOOLTIP_TILEIMP_SELECT_PLAINS_BUTTON	"Pianura"
STATUSBAR_TILEIMP_SELECT_SWAMP_BUTTON	"Trasforma una qualsiasi casella terrestre in palude."
TOOLTIP_TILEIMP_SELECT_SWAMP_BUTTON	"Palude"
STATUSBAR_TILEIMP_SELECT_WHITE_HILL_BUTTON	"Trasforma una qualsiasi casella terrestre in colline polari."
TOOLTIP_TILEIMP_SELECT_WHITE_HILL_BUTTON	"Colline polari"
STATUSBAR_TILEIMP_SELECT_WHITE_MOUNTAIN_BUTTON	"Trasforma una qualsiasi casella terrestre in montagne polari."
TOOLTIP_TILEIMP_SELECT_WHITE_MOUNTAIN_BUTTON	"Montagna polare"
STATUSBAR_TILEIMP_SELECT_TUNDRA_BUTTON	"Trasforma una qualsiasi casella terrestre in tundra."
TOOLTIP_TILEIMP_SELECT_TUNDRA_BUTTON	"Tundra"
STATUSBAR_TILEIMP_SELECT_GLACIER_BUTTON	"Trasforma una qualsiasi casella di terra in ghiacciaio."
TOOLTIP_TILEIMP_SELECT_GLACIER_BUTTON	"Ghiacciaio"
STATUSBAR_TILEIMP_SELECT_SHALWTR_BUTTON	"Trasforma una qualsiasi casella oceanica in acqua bassa."
TOOLTIP_TILEIMP_SELECT_SHALWTR_BUTTON	"Acqua bassa"
STATUSBAR_TILEIMP_UNKWNWTR_BUTTON	"Trasforma una qualsiasi casella oceanica in qualsiasi cosa sia questa casella."
TOOLTIP_TILEIMP_UNKWNWTR_BUTTON		"Oceano senza nome"
STATUSBAR_TILEIMP_PELAGIC_BUTTON	"Trasforma una qualsiasi casella oceanica in oceano pelagico."
TOOLTIP_TILEIMP_PELAGIC_BUTTON		"Oceano pelagico (basso)"
STATUSBAR_TILEIMP_BENTHIC_BUTTON	"Trasforma una qualsiasi casella oceanica in oceano bentonico."
TOOLTIP_TILEIMP_BENTHIC_BUTTON		"Oceano bentonico (profondo)"
STATUSBAR_TILEIMP_CONTSHELF_BUTTON	"Trasforma una qualsiasi casella oceanica in piattaforma continentale."
TOOLTIP_TILEIMP_CONTSHELF_BUTTON	"Piattaforma continentale"
STATUSBAR_TILEIMP_SUBCANYON_BUTTON	"Trasforma una qualsiasi casella oceanica in un canyon sottomarino."
TOOLTIP_TILEIMP_SUBCANYON_BUTTON	"Canyon sottomarino"
STATUSBAR_TILEIMP_MTNRIDGE_BUTTON	"Trasforma una qualsiasi casella oceanica in una cresta sottomarina."
TOOLTIP_TILEIMP_MTNRIDGE_BUTTON		"Cresta sottomarina"
STATUSBAR_TILEIMP_OCEANMTN_BUTTON	"Trasforma una qualsiasi casella oceanica in montagne sottomarine."
TOOLTIP_TILEIMP_OCEANMTN_BUTTON		"Montagne sottomarine"

# Messages Tab
STATUSBAR_MESSAGES_MAINTAB		"Qui vengono archiviati tutti i messaggi di gioco."
TOOLTIP_MESSAGES_MAINTAB		"Messaggi di gioco"
STATUSBAR_MESSAGES_READMESSAGE_BUTTON	"Clicca qui per leggere tutto il messaggio."
TOOLTIP_MESSAGES_READMESSAGE_BUTTON	"Apre il messaggio"
STATUSBAR_MESSAGES_READNEWSPAPER_BUTTON	"Clicca qui per leggere questo giornale."
TOOLTIP_MESSAGES_READNEWSPAPER_BUTTON	"Apre il giornale"

# Advisor Selection Box
# aka "The Helm"
STATUSBAR_SHORTCUTPAD_YEARTURN_TOGGLE_BUTTON	"Clicca qui per scegliere fra anni e turni."
TOOLTIP_SHORTCUTPAD_YEARTURN_TOGGLE_BUTTON	"Anno/turno"
STATUSBAR_SHORTCUTPAD_GOTO_CIVSCR_BUTTON	"Clicca qui per aprire la Gestione imperiale."
TOOLTIP_SHORTCUTPAD_GOTO_CIVSCR_BUTTON		"Gestione imperiale"
STATUSBAR_SHORTCUTPAD_GOTO_SCIENCESCR_BUTTON	"Clicca qui per aprire la Gestione scientifica."
TOOLTIP_SHORTCUTPAD_GOTO_SCIENCESCR_BUTTON	"Gestione scientifica"
STATUSBAR_SHORTCUTPAD_GOTO_TRADESCR_BUTTON	"Clicca qui per aprire la Gestione commerciale."
TOOLTIP_SHORTCUTPAD_GOTO_TRADESCR_BUTTON	"Gestione commerciale"
STATUSBAR_SHORTCUTPAD_GOTO_CITYSCR_BUTTON	"Clicca qui per aprire la Gestione cittadina."
TOOLTIP_SHORTCUTPAD_GOTO_CITYSCR_BUTTON		"Gestione cittadina"
STATUSBAR_SHORTCUTPAD_NATLSCR_BUTTON		"Clicca qui per aprire la Gestione nazionale."
TOOLTIP_SHORTCUTPAD_NATLSCR_BUTTON		"Gestione nazionale"
STATUSBAR_SHORTCUTPAD_GOTO_UNITSCR_BUTTON	"Clicca qui per aprire la Gestione unità."
TOOLTIP_SHORTCUTPAD_GOTO_UNITSCR_BUTTON		"Gestione unità"
STATUSBAR_SHORTCUTPAD_GOTO_DIPSCR_BUTTON	"Clicca qui per aprire la Gestione diplomatica."
TOOLTIP_SHORTCUTPAD_GOTO_DIPSCR_BUTTON		"Gestione diplomatica"
STATUSBAR_SHORTCUTPAD_GOTO_LIBRARY_BUTTON	"Clicca qui per accedere alla Grande Biblioteca."
TOOLTIP_SHORTCUTPAD_GOTO_LIBRARY_BUTTON		"Grande Biblioteca"

# Minimap
STATUSBAR_MINIMAP_SHOW_FILTER_BUTTON  "Clicca per scegliere fra una mappa ad alta o bassa risoluzione."
TOOLTIP_MINIMAP_SHOW_FILTER_BUTTON  "Mappa filtrata/non filtrata"
STATUSBAR_MINIMAP_SHOW_BORDERS_BUTTON		"Clicca qui per mostrare o nascondere i confini nazionali."
TOOLTIP_MINIMAP_SHOW_BORDERS_BUTTON		"Mostra/nasconde i confini"
STATUSBAR_MINIMAP_SHOW_CITIES_BUTTON		"Clicca qui per mostrare o nascondere le città."
TOOLTIP_MINIMAP_SHOW_CITIES_BUTTON		"Mostra/nasconde le città"
STATUSBAR_MINIMAP_SHOW_UNITS_BUTTON		"Clicca qui per mostrare o nascondere le unità."
TOOLTIP_MINIMAP_SHOW_UNITS_BUTTON		"Mostra/nasconde le unità"
STATUSBAR_MINIMAP_SHOW_TRADE_BUTTON 		"Clicca qui per mostrare o nascondere le rotte commerciali."
TOOLTIP_MINIMAP_SHOW_TRADE_BUTTON		"Mostra/nasconde le rotte commerciali"
STATUSBAR_MINIMAP_SHOW_TERRAIN_BUTTON 		"Clicca qui per mostrare o nascondere i dettagli del terreno."
TOOLTIP_MINIMAP_SHOW_TERRAIN_BUTTON		"Mostra/nasconde i dettagli del terreno"

# Empire Manager Screen
#
#	Commerce Window
STATUSBAR_DOMADV_COMM_WAGES_BUTTON		"Questo è il numero totale di monete d'oro che paghi ai tuoi cittadini per lavorare."
TOOLTIP_DOMADV_COMM_WAGES_BUTTON		"Salari"
STATUSBAR_DOMADV_COMM_UPKEEP_BUTTON		"Questo è il costo, in monete d'oro, della manutenzione di edifici e altri miglioramenti nelle tue città."
TOOLTIP_DOMADV_COMM_UPKEEP_BUTTON       "Manutenzione dei miglioramenti"
STATUSBAR_DOMADV_COMM_SCIENCE_BUTTON	"Questa è la quantità totale di monete d'oro che viene investita nella ricerca scientifica."
TOOLTIP_DOMADV_COMM_SCIENCE_BUTTON		"Scienza"
STATUSBAR_DOMADV_COMM_CRIME_BUTTON		"Questa è la quantità totale di monete d'oro andata persa a causa del crimine."
TOOLTIP_DOMADV_COMM_CRIME_BUTTON		"Crimine"
STATUSBAR_DOMADV_COMM_SAVINGS_BUTTON	"Questa è la quantità di monete d'oro che stai mettendo da parte."
TOOLTIP_DOMADV_COMM_SAVINGS_BUTTON		"Risparmi"
STATUSBAR_DOMADV_FOOD_REQUIRED_BUTTON		""
STATUSBAR_DOMADV_FOOD_COLLECTED_BUTTON		""


#	Production Window
STATUSBAR_DOMADV_PROD_MILUPKEEP_BUTTON	"Questo è il costo totale delle tue forze militari."
TOOLTIP_DOMADV_PROD_MILUPKEEP_BUTTON	"Spese militari"
STATUSBAR_DOMADV_PROD_PW_BUTTON		"Questo è il contributo totale ai Lavori pubblici."
TOOLTIP_DOMADV_PROD_PW_BUTTON			"Lavori pubblici"
STATUSBAR_DOMADV_PROD_CRIME_BUTTON		"Questa è la quantità totale di produzione andata persa a causa del crimine."
TOOLTIP_DOMADV_PROD_CRIME_BUTTON		"Crimine"
STATUSBAR_DOMADV_PROD_CITYUSE_BUTTON	"Questa è la quantità totale di produzione impiegata dalle città."
TOOLTIP_DOMADV_PROD_CITYUSE_BUTTON		"Impiego in città"

#	Food Window
STATUSBAR_DOMADV_FOOD_CONSUMED_BUTTON	"Questa è la quantità totale di cibo consumato dai tuoi cittadini."
TOOLTIP_DOMADV_FOOD_CONSUMED_BUTTON		"Cibo consumato"
STATUSBAR_DOMADV_FOOD_CRIME_BUTTON		"Questa è la quantità totale di cibo andato perso a causa del crimine."
TOOLTIP_DOMADV_FOOD_CRIME_BUTTON		"Cibo perso per crimine"
STATUSBAR_DOMADV_FOOD_STORED_BUTTON		"Questa è la quantità totale di cibo che la tua gente ha messo in deposito."
TOOLTIP_DOMADV_FOOD_STORED_BUTTON		"Cibo depositato"

#	Main Domestic Advisor Window
STATUSBAR_DOMADV_MAIN_SCITAX_DECR_BUTTON	"Clicca qui per ridurre le risorse assegnate alla ricerca scientifica."
TOOLTIP_DOMADV_MAIN_SCITAX_DECR_BUTTON	"Riduce le tasse per la scienza"
STATUSBAR_DOMADV_MAIN_SCITAX_INCR_BUTTON	"Clicca qui per aumentare le risorse assegnate alla ricerca scientifica."
TOOLTIP_DOMADV_MAIN_SCITAX_INCR_BUTTON	"Aumenta le tasse per la scienza"
STATUSBAR_DOMADV_MAIN_SCITAX_DISPLAY	"Questa è la percentuale di risorse che hai assegnato alla ricerca scientifica."
TOOLTIP_DOMADV_MAIN_SCITAX_DISPLAY		"Tasse per la scienza"
STATUSBAR_DOMADV_MAIN_GOVT_DISPLAY		"Questo è il tuo governo attuale."
TOOLTIP_DOMADV_MAIN_GOVT_DISPLAY		"Governo attuale"
STATUSBAR_DOMADV_MAIN_CHANGE_GOVT_BUTTON	"Clicca qui per passare a un'altra forma di governo."
TOOLTIP_DOMADV_MAIN_CHANGE_GOVT_BUTTON	"Cambia il governo"
STATUSBAR_DOMADV_MAIN_WAGES_SLIDER		"Sposta questo cursore per stabilire il salario dei tuoi lavoratori."
TOOLTIP_DOMADV_MAIN_WAGES_SLIDER		"Salario medio"
STATUSBAR_DOMADV_MAIN_COMM_ADVISOR_BUTTON	"Clicca qui per consultare il tuo consigliere commerciale."
TOOLTIP_DOMADV_MAIN_COMM_ADVISOR_BUTTON	"Consulta il consigliere commerciale"
STATUSBAR_DOMADV_MAIN_GOLD_DISPLAY		"Questa è la quantità totale di monete d'oro prodotte nel tuo impero."
TOOLTIP_DOMADV_MAIN_GOLD_DISPLAY		"Totale oro"
