#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains additional strings that should go to other files
#                eventually (Italian)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Removed diplomatic photo strings as they have been already moved back
#   to civ_str.txt. - 7th April 2005 Martin Gühmann
# - Moved BUILD_LIST_SEQUENCE_DEFAULT to gl_str.txt.
#   - 7th April 2005 Martin Gühmann
# - Moved Great Libary title string to ldl_str.txt. - 9th April 2005 Martin Gühmann
# - Moved Diplomacy Embargo Button strings to tips_str.txt (Aug 14th 2005 Martin Gühmann)
# - Moved trust loss strings to info_str.txt. (Aug 31rd 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

# # Stuff moved from add_str.txt to ldl_str.txt 9/5/00 by Jonathan
# # Please add all new strings below here - with note 
# # explaining where they should go eventually.

## Stuff for LDL_STR.txt
str_ldl_AutoCenter_On	"Centraggio automatico: sì"
str_ldl_MilitaryAdvisor "CONSIGLIERE MILITARE"

#Trade Manager Advisor Window Title -- this is completely new
str_ldl_TradeAdvisor	"CONSIGLIERE"

#City Manager Advisor Window Title -- this is a revision from title to ALL CAPS
# the original can be found in add_str, above.
str_ldl_CityAdvisor	"CONSIGLIERE CITTADINO"
str_ldl_DeclareEmbargo "Embargo"
str_ldl_IW_CONFIRM_EMBARGO "Vuoi dichiarare l'embargo contro {player[0].country_name#ARTICLE}?"
str_Goods_Generated "Generazione merci OK!"
str_Goods_All_Gone "Rimozione merci OK!"
str_ldl_RemoveGoods "Rimuovi merci"
str_ldl_GenerateGoods "Genera merci"

##############################################
## PLEASE ENTER NEW STUFF BELOW THIS LINE
## Strings above sent to be localized 9/29/00
##############################################

str_ldl_AddStuff "A G G I U N T E"
str_ldl_SelectCity "Scegli una città!"
str_ldl_AddPW "Aggiungi Lavori pubblici:"
str_ldl_AddGold "Aggiungi oro:"

# in Build Queue Editor Laod Screen
str_ldl_LoadQueueColon "Carica coda di produzione:"

#Main title for Intelligence Dialog box
str_ldl_IntelligenceTitle "I N F O R M A Z I O N I"

##############################################
## PLEASE ENTER NEW STUFF BELOW THIS LINE
## Strings above sent to be localized 10/06/00
##############################################

str_ldl_CityEspionage "Spionaggio in città"
str_ldl_NatlManagerHotKey "F1"
str_ldl_EmpireManagerHotKey "F2"
str_ldl_ScienceHotKey "F3"
str_ldl_UnitManagerHotKey "F4"
str_ldl_TradeScreenHotKey "F5"
str_ldl_IntelligenceHotKey "F6"
str_ldl_ScoreHotKey "F7"
str_ldl_GreatLibraryHotKey "F8"
str_ldl_AdvancedHotKey "F9"
str_ldl_ArmyManagementHotKey "G"
str_ldl_Cheat_Mode_CaseHotKey "Ctrl+s"
str_ldl_QuitHotKey "Q"
str_ldl_SaveGameHotKey "!"
str_ldl_LoadGameHotKey "MAIUSC+2"

str_ldl_TradeSummaryHotKey "Ctrl+t"
str_ldl_GaiaHotkey "Ctrl+g"
str_ldl_BuildQueueHotKey "Ctrl+b"
str_ldl_CityManagementHotKey "Ctrl+i"
str_ldl_NewProposalHotKey "Ctrl+d"

str_ldl_TimelineHotKey "Ctrl+l"
str_ldl_RankHotKey "Ctrl+k"
str_ldl_RestartHotKey "Ctrl+z"

str_ldl_NewGameHotKey "Ctrl+x"
str_ldl_SoundHotKey "Ctrl+v"
str_ldl_MusicHotKey "Ctrl+m"
str_ldl_GraphicsHotKey "Ctrl+f"
str_ldl_GameplayHotKey "Ctrl+p"
str_ldl_CityEspionageHotKey "Ctrl+e"
str_ldl_FindMeButton "Trova!"
str_ldl_FindX "X"
str_ldl_FindY "Y"
str_ldl_FindPosLabel "Trova pos:"
str_ldl_CityManager "Gestione cittadina"

# Shows up over main map in upper left corner to say whose turn it is right now (has a colon appended by code, followed by leader name).
str_tbl_ldl_Open_City_Management "Gestione cittadina"
str_tbl_ldl_Open_Build_Queue "Coda di produzione"
str_tbl_ldl_Open_Trade_Summary "Sommario del commercio"
str_tbl_ldl_Open_Dip_Wizard "Nuova proposta"
str_tbl_ldl_Gaia "Gaia"
str_tbl_ldl_Open_Wonders "Meraviglie"
str_tbl_ldl_Open_Ranking "Posizione"
str_tbl_ldl_Msg_Tab "Scheda Messaggi"
str_tbl_ldl_TileImp_Tab "Miglioramenti terreno"
str_tbl_ldl_Open_Scenario_Editor "Editor di scenari"
str_tbl_ldl_Sound_Options "Opzioni audio"
str_tbl_ldl_Graphics_Options "Opzioni grafica"
str_tbl_ldl_Gameplay_Options "Opzioni gioco"
str_tbl_ldl_Restart_Game "Ricomincia la partita"
str_tbl_ldl_New_Game "Nuova partita"
str_tbl_ldl_Toggle_Radar "Mostra/nasconde il radar"
str_tbl_ldl_Toggle_Ctl_Panel "Mostra/nasconde pannello controllo"
str_tbl_ldl_Toggle_All "Mostra/nasconde tutto"
str_tbl_ldl_Open_Army_Mgmt "Apre la Gestione armate"
str_ldl_UNIT_CONTROLS "COMANDI UNITÀ"

str_ldl_GreatLibrary "Grande Biblioteca"   
str_control_key "Ctrl"   
str_ldl_EnableAllMessages "Abilita tutti i messaggi"



#################################
#status text for scenario editor#
#################################
str_SE_MapSize "Cambia dimensioni mappa carica una nuova mappa"
str_SE_YearSpinner "Numero di turni - guarda Anno per l'anno corrispondente"
str_SE_YearDisplay "Anno"
str_SE_Difficulty "Seleziona difficoltà"
str_SE_Barbarians "Seleziona barbari"
str_SE_SaveMap "Salva solo mappa"
str_SE_LoadMap "Carica solo mappa"
str_SE_SaveScenario "Salva scenario come partita salvata"
str_SE_LoadScenario "Carica Scenario"
str_SE_WorldTab "Scheda Mondo - tutte le azioni globali"
str_SE_UnitTab "Scheda Unità - posiziona unità per ogni giocatore"
str_SE_CityTab "Scheda Città - crea/cambia città per ogni giocatore"
str_SE_Civ_Button "Scheda Impero - cambia impostazioni per ogni giocatore"
str_SE_Hut "Posiziona/rimuovi rovine"
str_SE_River "Posiziona/rimuovi fiumi"
str_SE_Good1 "Posiziona/rimuovi merce 1"
str_SE_Good2 "Posiziona/rimuovi merce 2"
str_SE_Good3 "*Posiziona/rimuovi merce 3 - da definire in terrain.txt"
str_SE_Good4 "*Posiziona/rimuovi merce 4 - da definire in terrain.txt"
str_SE_Pollution "Inquinamento sì/no"
str_SE_Land "Visualizza unità terrestri"
str_SE_Sea "Visualizza unità marine"
str_SE_Air "Visualizza unità aeree"
str_SE_Special "Visualizza unità non convenzionali/speciali"
str_SE_PopSpinner "Imposta popolazione città selezionata"
str_SE_AddBuildings "Aggiungi strutture alla città selezionata"
str_SE_AddWonders "Aggiungi meraviglie alla città selezionata"
str_SE_PlayerSelect "Seleziona un giocatore"
str_SE_FullMode "Imposta posizione iniziale per giocatore, con scelta della nazione, per tutte le nazioni"
str_SE_NoCiv "Imposta posizione iniziale per giocatore, senza scelta di nazione"
str_SE_WithCiv "Imposta posizione iniziale per nazione, con scelta del giocatore"
str_SE_JustCiv "Imposta posizione iniziale per nazione, indipendentemente dal giocatore"
str_SE_AddPW "Aggiungi lavori pubblici - inserisci un numero e premi 'Invio'"
str_SE_AddGold "Aggiungi oro - inserisci un numero e premi 'Invio'"
str_SE_Erase "Rimuovi ogni unità o città"
str_SE_ClearWorld "Elimina tutte le caselle terrestri dal mondo"
str_SE_ReloadSlic "Ricarica SLIC"
str_SE_Fog "Nebbia di guerra sì/no"
str_SE_Copy "Attiva modalità Copia - clicca e trascina per selezionare un'area"
str_SE_Paste "Attiva modalità Incolla - cursore su angolo superiore sinistro selezione"
str_SE_SaveClip "Salva l'area selezionata negli appunti"
str_SE_SmallBrush " Posizionamento casella singola"
str_SE_MedBrush "Posizionamento casella 2x2"
str_SE_LargeBrush "Posizionamento casella 8x8"
str_SE_LoadClip "Carica selezione dagli appunti"
str_SE_Explore "Imposta intero mondo esplorato"
str_SE_Unexplore "Imposta intero mondo inesplorato"
str_SE_XWrap "Scorrimento continuo X sì/no"
str_SE_YWrap "Scorrimento continuo Y sì/no"
str_SE_Pos "Attuale posizione cursore"
str_SE_LegalOnly "Posiziona solo le unità per le quali il giocatore ha i progressi necessari"
str_SE_ShowLabels "Etichette sì/no"
str_SE_AddAdvances "Aggiungi/rimuovi progressi giocatore"
str_SE_Nation "Seleziona nazione giocatore"
str_SE_LeaderName " Visualizza/cambia nome sovrano"
str_SE_CityName "Visualizza/cambia nome città selezionata"
str_SE_FindPosX "Inserisci coordinata X"
str_SE_FindPosY "Inserisci coordinata Y"
str_SE_FindMe "Clicca per centrare sulle coordinate X,Y"
str_SE_RemoveGoods "Rimuovi tutte le merci dalla mappa"
str_SE_GenerateGoods "Aggiungi merci alla mappa"

# Filename prefix for quicksaves.
QUICKSAVE_NAME "SALVATAGGIO RAPIDO"

# Scenario editor <CHANGEME>
str_ldl_Confirm_Restart		"Così facendo riavvierai la partita. Sei sicuro?"

# for the keymap screen
str_tbl_ldl_Advanced_Options "Opzioni avanzate"

# Two items on the options menu
str_ldl_ZoomOut "Zoom indietro"
str_ldl_ZoomIn "Zoom avanti"

# Added for network games, there are more restrictions on when you can initiate diplomacy
str_code_CantInitiateDiplomacyNow "Non puoi inviare una nuova proposta quando non è il tuo turno o quando stai aspettando una risposta a una proposta precedente."

# Status text for minimize button on radar map
STATUSBAR_MINIMAP_MINIMIZE "Clicca qui per ridurre a icona la finestra"
str_player_choice "Scelta giocatore"

# Entry on right click menu for the cargo view
CONTEXT_VIEW_CARGO "  Osserva carico"

# For netshell list header
str_ldl_Settlers "Coloni"

# More Stuuf for LDL_STR
# Multiplayer Disclaimer String
str_ldl_MultiplayerDisclaimer	"Activision consiglia un massimo di 4 giocatori per le partite a Call to Power in multiplayer."

# When units will be disbanded due to a government change, ask first:
str_code_GovernmentChangeDisbandsUnits "Instaurando questa forma di governo, alcune delle tue unità saranno congedate. Sei sicuro di voler proseguire?"

# For the science picker
ADVANCE_GIVES_GOVS "Governi:"

# New Status text strings
STATUSBAR_TRADEMAN_OPEN_CITIES_SLIDER			"Ti permette di disporre le città in base ai beni."
STATUSBAR_TRADEMAN_OPEN_SORTBY_NATION_BUTTON	"Clicca qui per disporre l'elenco in base alle nazioni che li ricevono."
STATUSBAR_CITYMAN_MAIN_CLEAR_BUTTON				"Clicca qui per rimuovere tutti gli oggetti dalla coda di produzione."
STATUSBAR_DIPMAN_TABLE_DECLAREWAR_BUTTON		"Clicca qui per dichiarare guerra a una nazione straniera."
STATUSBAR_DIPMAN_CREATE_INTELLIGENCE_BUTTON		"Clicca qui per accedere alle informazioni su questa nazione."
STATUSBAR_ARMYMAN_ADD_BUTTON					"Clicca qui per aggiungere le unità selezionate a questa armata."
STATUSBAR_ARMYMAN_ADD_ALL_BUTTON				"Clicca qui per aggiungere tutte le unità a questa armata."
STATUSBAR_ARMYMAN_REMOVE_BUTTON					"Clicca qui per rimuovere le unità selezionate da questa armata."
STATUSBAR_ARMYMAN_REMOVE_ALL_BUTTON				"Clicca qui per rimuovere tutte le unità da questa armata."
STATUSBAR_ARMYMAN_CLOSE_BUTTON					"Clicca qui per chiudere la Gestione armate."
STATUSBAR_ARMYMAN_NEW_ARMY_BUTTON				"Clicca qui per creare una nuova armata."

# For the context menu, lets you get the tile info window for squares with cities/units.
CONTEXT_TILE_INFO "Info mappa"

str_ldl_EditQueueReallyDelete "Vuoi eliminare definitivamente la coda %s?"


