#### Message Strings for the Seven Samurai scenario ####


#### Button text

SS_BUTTON_OK 	"OK"
SS_SCURVY_MAIDEN_D	"'Il était temps. A peine avais-je embarqué qu'une troupe de soldats se ruait sur le port pour réquisitionner mon bateau au profit de quelque aristocrate. Dans ma hâte, je n'ai pas emporté de vivres. J'ai perdu conscience en pleine mer. Une chance que vous m'ayez trouvé. En retour, acceptez les services de ma Vierge pouilleuse !'"
SS_GOING_TO_OATAKARK	"Steve-yim se gratte nerveusement la barbichette, le regard perdu entre vous et le soleil couchant. 'Dites-moi, vous n'avez pas dans l'idée de me faire revenir à Oatakark tout de même ?'"
SS_NEXT_TO_OATAKARK	"En apercevant les côtes familières de l'île, Steve-yim fait nerveusement les cent pas sur le pont, proférant des jurons. Soudain, il brandit l'extrémité calcinée d'une corde sous votre nez : 'vous avez perdu l'esprit ? Cette île n'est qu'un immense cercueil ! Si vous débarquez, ne comptez pas sur moi pour vous attendre !'"
SS_OATAKARK_SHORE_A	"Vous êtes entouré par un groupe de soldats, épée au poing. La folie et le désespoir se lisent clairement dans le regard des malheureux. En voyant s'éloigner la Vierge pouilleuse, quelques soldats, au mépris de toute logique, se jettent à l'eau dans le sillage de l'embarcation."
SS_OATAKARK_SHORE_B	"Tandis qu'ils sont rapidement engloutis par les flots, vous vous demandez si, davantage que leur armure, ce n'est pas le poids de leur cerveau malade qui les a entraînés vers le fond. Mais vous n'avez pas le temps de vous interroger longtemps : les autres soldats se ruent sur vous en brandissant leur épée."
SS_OATAKARK_SHORE	"L'île émet un grondement continuel, comme entrée dans un lent processus de dislocation. Vous tentez de toutes vos forces de ne pas céder à la panique qui semble s'être emparée des habitants prisonniers de l'île. il doit y avoir un moyen de fuir..."
SS_KATCHU_A		"Cette petite ville semble avoir été dépouillée de tout. La taverne paraît Le seul endroit digne d'intérêt. Vous y rencontrez un samouraï, visiblement ivre et de fort mauvaise humeur, en train de brailler une chanson à boire :"
SS_KATCHU_B		"<c:0,0,200>La ferme de Chow Wang est en flammes, Chow Wang contemple le drame\nChow Wang dit à sa femme, 'porte moi donc un seau d'eau\n'Voilà qui n'éteindra guère ce brasier de plus en plus chaud'<e>"
SS_KATCHU_C		"Wang répond 'apporte le seau, car il n'est pas pour le feu'\nLa femme fait ce qu'on lui dit, en jurant tous ses grands dieux\nEt priant pour que cette eau apaise la fureur des flammes.\nElle ignore alors que Chow Wang a bien d'autres plans en tête."
SS_KATCHU_D		"Il plonge la tête dans le seau, en disant l'air décidé\n'Ma femme s'il faut mourir, plutôt noyé que brûlé !'"
SS_KATCHU_E		"Sa chanson terminée, le samouraï se présente. 'Salut à toi, compagnon. Mon nom est Kikichuyo. Venu sur cette île pour y chercher fortune, je n'y ai trouvé que désespoir. Buvons ensemble ! Désormais, nous sommes frères et partageons le même sort. La chance sera peut-être avec nous !"
SS_KATCHU_F		"Vous traînez le samouraï ivre hors de la taverne tout en le sermonnant vertement : 'Etes-vous un guerrier ou un chien ? Qu'allez-vous faire, vous coucher sur le dos et attendre la mort en geignant, ou venir avec moi et vous battre pour vivre ?' Kikichuyo, nettement dessaoulé, accepte de vous suivre."
SS_OATAKARK_WARN1	"Tandis que le grondement de l'île s'intensifie, les arbres vacillent. Vous vous demandez si la fin est venue. Puis, le grondement s'apaise, revenant à la normale. Le volcan semble prêt à cracher des flammes à tout moment."
SS_OATAKARK_WARN2	"Soudain, l'île cesse de trembler. Un silence de mort s'abat autour de vous. Vous pensez d'abord que l'île a décidé de résister. Mais vous sentez instinctivement qu'il n'en est rien : ce terrible silence n'est que le calme avant la tempête. Il vous faut fuir ce volcan au plus vite !"
SS_OATAKARK_SINKING	"Tout à coup, le sol semble se dérober sous vos pieds. Vous assistez à l'engloutissement de la partie nord de l'île. Votre cheval arrive à peine à avancer. Vous resserrez les rênes partez en direction du sud, vous n'avez pas le choix..."
SS_OATAKARK_DROWN_A	"Terrifié, votre cheval vous jette à l'eau. Le courant menace de vous entraîner vers le fond, comme le reste de l'île, mais vous luttez et parvenez à vous maintenir à la surface. Vous apercevez un morceau de bois à la dérive. Rassemblant vos dernières forces, vous attachez votre ceinture à l'épave avant de perdre connaissance."
SS_OATAKARK_DROWN_B "Lorsque vous revenez à vous, vous êtes étendu sur la berge, seul et sans cheval."
SS_BALLOON_A		"Vous vous apprêtez à frapper à la porte de la cabane, lorsque celle-ci se désagrège, révélant un énorme ballon muni d'un panier fixé à sa base. Un étranger à l'accoutrement bizarre vous observe nerveusement."
SS_BALLOON_B		"Tandis que vous vous approchez du ballon, l'homme se met à hurler 'Prends garde, je suis Foggstaff, le sorcier du feu ! N'approche pas ou je te ferai brûler sur place !'"
SS_BALLOON_C		"Fouillant dans un sac fixé à sa ceinture, il jette une poignée de poussière sur le sol. Une étincelle en jaillit et le sol prend feu.{action[0].text} Cela ne vous émeut guère..."
SS_BALLOON_C_K		"Kikichuyo recule en hâte. "
SS_BALLOON_D		"'J'ai déjà vu de la poudre, sorcier d'opérette', lancez-vous. Ce ballon est-il capable de voler ? Mon compagnon et moi-même devons quitter cette île. Le sort d'un village en dépend.' Foggstaff enlève son étrange chapeau rond et se gratte la tête quelques instants avant d'accepter."
SS_BALLOON_E		"'Eh bien, montez. Mais gare à vos épées, je ne tiens pas à faire le chemin à la nage !'"
SS_BALLOON_END_A	"'Je ne vous emmènerai pas plus loin !' déclare l'étranger. 'vous avez déjà bouleversé mon programme. Si je n'arrive pas à temps en Angleterre, je vous tiendrai pour responsables !'Vous n'êtes pas bien sûr de comprendre ce qu'il dit, mais vous le remerciez et sautez à terre."  
SS_BALLOON_END_B	"A la seconde où vos pieds touchent le sol, le ballon s'élève dans le ciel. Foggstaff se penche pour vous saluer, mais son chapeau est emporté par une bourrasque et tombe dans l'océan. Vous entendez encore 'Damn ! Mon chapeau...' avant de voir le ballon disparaître dans les nuages."

# Chun Ling and Mountain Pass strings
SS_KAU_PI_A			"Ce petit village, du nom de Kau Pi, est en pleine effervescence. Les villageois vous expliquent que le col menant vers le sud, qui permettait la circulation de cavaliers et de charrettes, a été bloqué par un éboulement. La communauté travaille dur pour dégager la voie, mais n'aura pas fini avant février."
SS_KAU_PI_B			"Si vous voulez passer maintenant, il vous faudra abandonner votre monture. Ce sacrifice serait inimaginable en temps normal, mais votre mission est urgente. Voulez-vous laisser votre cheval et continuer à pied ?"
SS_KAU_PI_B2		"Vous n'avez pas de cheval. Vous pouvez donc traverser les montagnes à pied si vous le souhaitez."
SS_KAU_PI_RETURN	"Les habitants de Kau Pi sont en train de dégager le col. Ce travail leur prendra environ {passClear} jours."
SS_KAU_PI_PASS_CLEAR	"Le village de Kau Pi a retrouvé son calme maintenant. Les habitants doivent se reposer après avoir fini de dégager le col."
SS_KAU_PI_REST		"Vous faites étape au village de Kau Pi pour prendre un repas chaud avant de continuer votre route."
SS_SARDO_A			"Vous vous arrêtez au village de Sar-do pour prendre un repas chaud. Les villageois vous accueillent chaleureusement... presque trop, comme s'ils attendaient quelque chose de vous. Vous patientez, acceptant leur hospitalité. Enfin, longtemps après le coucher du soleil, le doyen du village s'approche de vous, l'air grave."
SS_SARDO_B			"Selon ses dires, les îles de l'Ouest sont hantées par des démons aux formes changeantes. Les villageois ne les ont toujours laissés en paix, mais, voilà plusieurs mois, deux jeunes gens téméraires, ne croyant pas aux démons, se sont aventurés vers l'ouest. Ils ne sont toujours pas revenus."
SS_SARDO_C			"Un autre samouraï est venu il y a quelques semaines à Sar-do. Ils l'ont prié de sauver les jeunes gens. Il n'est jamais revenu. Peut-être réussirez-vous où il a échoué..."
SS_SARDO_DONE_A		"Les villageois font cercle autour de vous et vous harcèlent de questions. Vous levez la main pour réclamer le silence, puis vous racontez votre épreuve contre les Moraru Kyonshi. En entendant le sort des jeunes gens, plusieurs villageois fondent en larmes, mais sont heureux que les démons soient maintenant hors d'état de nuire."
SS_SARDO_DONE_B		"Lorsque vous avez terminé votre histoire, les villageois organisent une fête. Entraîné dans un tourbillon d'allégresse, vous oubliez votre lourde mission l'espace d'un soir. Au matin, vous faites sobrement vos adieux et reprenez la route."
SS_SARDO_REST		"Vous faites étape au village de Sar-do. Les habitants sont très accueillants, et vous offrent le gîte et le couvert. Vous reprenez la route complètement reposé."
SS_KYONSHI			"Ce village semble abandonné."
SS_KYONSHI2			"Le village est ENCORE abandonné. Partez pendant qu'il en est encore temps !"

SS_KYONSHI_A		"Lorsque vous arrivez au village, Kikichuyo déclare : 'c'est mon village natal. Tu te demandes sûrement pourquoi je ne te l'ai pas dit plus tôt. Tu comprendras bientôt.' Vous marchez tous deux jusqu'à la place centrale. L'endroit est désert et silencieux. Les maisons semblent vides."
SS_KYONSHI_A_NO_K	"Personne ne vous salue à votre entrée dans le village. Les maisons, silencieuses, semblent vides. Soudain, les portes s'ouvrent autour de vous et des monstres velus et griffus en surgissent. Plusieurs de ces créatures vous entourent. Puis, vous êtes frappé à la tête, et vous perdez connaissance."
SS_KYONSHI_B		"Soudain, une porte s'ouvre et un monstre velu et griffu surgit devant vous. Pétrifié par cette apparition, vous vous tournez vers Kikichuyo. Il sourit d'un air cruel et soudain, se couvre de poils et de griffes ! Plusieurs monstres venus de nulle part vous encerclent et vous recevez un violent coup sur la tête."
SS_KYONSHI_C		"Lorsque vous ouvrez les yeux, vous êtes aveuglé par la lumière du soleil. Vos mains sont ligotées à un piquet métallique derrière votre dos. Vous luttez en vain pour vous libérer, puis vous vous calmez pour retrouver vos esprits. Vous comprenez enfin que vous vous trouvez sur la place du village."
SS_KYONSHI_D		"Kikichuyo gît inconscient à vos côtés, ligoté lui aussi. Vous êtes heureux de savoir qu'il ne vous à pas trahi. Vous criez jusqu'à ce qu'il se réveille. Vous attendez ensuite tous deux pendant des heures, sans aucun signe de vos agresseurs."
SS_KYONSHI_E		"Vous entendez des pas derrière vous, sans pouvoir vous retourner. Soudain, vous sentez que vos liens sont rompus, enfin libre ! Vous vous retournez, pensant voir un monstre hirsute et vous découvrez une jeune femme en armure. C'est sans doute le samouraï envoyé par les villageois : elle a du se déguiser en homme."
SS_KYONSHI_F		"La jeune femme vous fait signe de garder le silence et vous conduit hors du village, jusqu'à une grotte où vous retrouvez votre équipement. Chun Ling vous raconte alors son histoire : 'je suis arrivée au village désert au moment même où les Moraru Kyonshi sacrifiaient les deux jeunes gens à la pleine lune.'"
SS_KYONSHI_G		"'Je n'ai rien pu faire pour interrompre la cérémonie : les démons étaient trop nombreux. Je suis donc restée cachée, supprimant les monstres qui s'écartaient du groupe. J'ai réduit leur nombre de moitié, mais ils restent désormais groupés. Ensemble, nous devrions parvenir à vaincre le reste du clan.'"

# Gonza and Chikamatsu strings
SS_GONZA_A		"Un guerrier, seul devant la taverne, tient habilement en respect trois samouraïs avec sa lance. Les trois agresseurs sont surpris par votre arrivée et le lancier prend l'avantage. Par une série de mouvements rapides et déliés, il règle leur compte à deux des samouraïs, mais le troisième l'attaque par derrière et le blesse."
SS_GONZA_B		"Le lancier chancèle, mais parvient, d'un bond, à porter un coup fatal à son agresseur. Puis il se tourne vers vous, toujours sur ses gardes. 'Je ne vous veux aucun mal', déclarez-vous, avant d'inviter le guerrier à se joindre à votre quête."
SS_GONZA_C		"Le lancier se nomme Gonza. Ses ennuis ont commencé, explique-t-il, lorsqu'il a accepté la main de la fille de son seigneur, Chikamatsu de Bunraku, afin d'améliorer sa condition. Gonza était malheureusement déjà fiancé à la fille d'un de ses pairs. Le frère de la jeune fille, furieux, a juré de causer sa perte."
SS_GONZA_D		"Pendant que Chikamatsu était parti à la chasse, le frère a fabriqué de fausses preuves indiquant que Gonza avait séduit l'épouse de Chikamatsu. Gonza s'est enfui, poursuivi par des gardes. Il veut maintenant rejoindre le pavillon de chasse de son seigneur, au sud-ouest sur la côte, pour blanchir son nom. Vous acceptez de l'aider."
SS_AMBUSH_GONZA		"Des samouraïs bondissent {action[0].text}. Ils brandissent leurs katanas d'un air menaçant en injuriant Gonza, puis passent à l'attaque."
SS_CHIKAMATSU_A		"Un homme d'allure royale sort du pavillon, flanqué de deux gardes. Vous présumez qu'il s'agit de Chikamatsu. Il s'approche de Gonza et le serre dans ses bras. Chikamatsu sourit 'Gonza, mon futur fils ! Pour quelle raison viens-tu troubler mon repos ?' Tandis que Gonza lui conte son histoire, son expression s'assombrit."
SS_CHIKAMATSU_B		"Gonza explique votre quête à Chikamatsu, qui vous manifeste son respect. Le seigneur se retire pour parler à ses deux gardes. Leur conversation terminée, les gardes partent vers le nord. 'Je viens d'envoyer Chaki et Yano résoudre le problème.'"  
SS_CHIKAMATSU_C		"'Mes samouraïs ne devraient plus vous importuner, mais pour plus de sûreté, je vous accompagne dans votre quête. Une épée supplémentaire ne sera pas de trop je suppose.'"
SS_CHIKAMATSU_A_NO_G	"Un homme d'allure royale sort du vaste pavillon, flanqué de deux gardes. Vous présumez qu'il s'agit de Chikamatsu. Tandis que vous lui contez l'histoire tragique de Gonza, son visage s'assombrit. il se retire pour converser avec ses gardes."
SS_CHIKAMATSU_B_NO_G	"La conversation terminée, les gardes partent vers le nord. 'Je viens d'envoyer Chaki et Yano... résoudre le problème. Et puisque Gonza n'est plus, je le remplacerai. Une épée supplémentaire ne sera pas de trop je suppose.'"
SS_CHIKAMATSU_HORSE	"Chikamatsu vous propose un cheval. Vous acceptez avec reconnaissance. C'est un soulagement pour vos pauvres pieds, peu accoutumés à marcher sur de si longues distances"

# J-chan strings
SS_BUNNY		"Vous repérez de curieuses traces de lapin menant vers l'est. Elles semblent avoir été faites par un lapin étrangement lourd..."
SS_BUNNY2		"Vous notez d'autres traces de gros lapin menant vers le sud-est..."
SS_BUNNY3		"Vous apercevez d'autres traces de gros lapin menant vers l'est. A la pensée d'un lapin teriyaki, votre estomac se manifeste bruyamment..."
SS_JCHAN_A		"Après avoir suivi pendant des jours les traces de lapin, vous apercevez enfin leur auteur. C'est un mignon petit lapin noir, au front orné de larges cornes ! Cornes ou pas, l'animal est appétissant. Vous vous approchez subrepticement pour l'attraper, mais il vous échappe et prend la fuite. Vous le pourchassez dans les buissons."
SS_JCHAN_B		"Finalement, le lapin est acculé au bord d'une source d'eau chaude... c'est du moins ce que vous croyez. Il saute dans la source et disparaît dans l'eau trouble. Vous scrutez en vain la surface pendant quelques minutes, nulle trace du lapin à cornes. Interloqué, vous vous demandez si les lapins savent nager."
SS_JCHAN_C		"Soudain, un bras mouillé vous enserre le cou et la pointe d'un poignard se pose sous votre gorge. 'Que fais-tu ici ?' interroge une voix grave. Sans perdre votre sang froid, vous exposez votre quête à votre agresseur."
SS_JCHAN_D		"'Tu es un homme d'honneur, mais ton goût pour le lapin est fâcheux' déclare l'homme. 'Je te laisse la vie sauve et me joins à ta quête mais à deux conditions : que tu ne manges pas de lapin et que tu ne poses pas de questions.'"
SS_JCHAN_E		"L'homme vous libère. Il déclare se nommer J-Chan. Il est entièrement nu. Petit, musculeux, il est doté d'un nez proéminent qu'il fronce occasionnellement. J-Chan s'arrête près d'une souche pour reprendre ses vêtements et se rhabiller avant de vous suivre. Vous brûlez de lui poser mille questions, mais vous gardez le silence."

# Mimoyota and Star Road strings
SS_MIMIYOTA_A		"Vous rencontrez un vieil homme errant au beau milieu de la jungle. Vous lui demandez s'il est perdu. 'Nous sommes tous perdus, mais je peux trouver le chemin, et toi, jeune guerrier ?' réplique-t-il. Sans répondre, vous lui offrez une boulette de riz que le vieil homme engloutit prestement."
SS_MIMIYOTA_B		"Alors que vous vous retournez pour partir, il pose une main sur votre épaule avec une fermeté étonnante. 'Je suis Shigero Mimoyota. Tu ne vois en moi qu'un vieil homme, mais j'ai été un samouraï comme toi autrefois. J'ai renoncé à la voie des armes lorsque j'ai découvert mes pouvoirs spirituels.'"
SS_MIMIYOTA_C		"Vous vous excusez de votre jugement hâtif, mais le vieil homme vous interrompt : 'j'ai observé ton périple, je savais qu'il te mènerait à moi. Je suis le gardien de la Route de l'Etoile et je peux te ramener au village de Shichinen. Mais tu devras d'abord m'aider. 'C'était trop beau', songez-vous malicieusement."
SS_MIMIYOTA_D		"'La Route de l'Etoile a été envahie il y a quelque temps par un puissant démon, le Reswob', explique le vieil homme, 'malgré mes pouvoirs magiques, je ne peux pas l'affronter seul. Ensemble, nous pouvons le vaincre. La Route de l'Etoile est sur la péninsule, à l'est. Partons.'"
SS_MIMIYOTA_HEAL	"Mimiyota bénit une pierre lors d'une longue cérémonie. A l'issue de celle-ci, il est épuisé, mais la pierre brille d'une lueur étrange. Le vieil homme la passe sur les blessures de vos compagnons, qui guérissent instantanément !"
SS_STAR_ROAD_A		"Mimiyota fait un geste de la main et la porte de la Route de l'Etoile s'ouvre. En la franchissant, vous voyez les couleurs se brouiller, jusqu'à ce tout prenne une teinte gris-bleue. Puis, la porte disparaît. Vous êtes seul, tout est noir, des étoiles tourbillonnent au-dessus de vous. Vous chancelez."
SS_STAR_ROAD_B		"L'une des étoiles grossit. Vous tombez vers elle, puis vous la traversez et tout devient blanc. Vous fermez les yeux, tout reste blanc. Lorsque vous les rouvrez, vous voyez le ciel bleu et des oiseaux au-dessus de vous. Vous comprenez que alors l'épreuve est terminée. Mimiyota vous félicite de ne pas avoir eu peur."
SS_RESWOB			"Tandis que vous vous approchez du portail de la Route de l'Etoile, un énorme monstre en surgit et vous barre le passage en émettant un horrible chuintement suraigu. Vous n'avez jamais rencontré une telle créature. Sa peau brille comme l'acier et ces yeux lancent des éclairs. La lutte ne sera pas facile."
SS_STAR_ROAD		"Vous êtes arrivé au portail de la route de l'étoile, mais une barrière invisible vous barre le passage."


# End game and Samurai Death strings
SS_SHICHINEN_GREETING	"Les villageois de Shichinen vous accueillent avec enthousiasme. En attendant l'arrivée des bandits, vous renforcez les capacités défensives du village. Le temps passe..."
SS_SHICHINEN_RUINED_A	"Lorsque vous arrivez à Shichinen, vous ne trouvez que des ruines. Vous vous maudissez de ne pas être revenu à temps. Cherchant des traces de vie, vous finissez par trouver une vieille femme effrayée. Selon elle, lorsque les bandits sont revenus, l'un des villageois a lancé que des samouraïs viendraient les défendre. "
SS_SHICHINEN_RUINED_B	"Furieux que les villageois tentent de se défendre, les bandits ont incendié le village et emmené les habitants en esclavage sur leur île, au nord."
SS_BANDIT_ATTACK	"Les bandits ont débarqué sur le rivage nord et s'apprêtent à lancer un raid sur le village. Vous souhaitant bonne chance, les villageois se barricadent chez eux."
SS_BANDITS_DEFEATED	"C'est avec un soupir de soulagement que les villageois assistent à la mort du dernier bandit. Vous savez pourtant que le combat n'est pas fini : le chef des bandits n'était pas parmi eux. Il doit être quelque part au nord."
SS_SHICHINEN_FLEE	"Rien ne vous empêche de fuir, mais ce serait abandonner Shichinen en pleine détresse."
SS_BANDIT_LEADER	"Le chef des bandits vous toise d'un air méprisant. 'Stupides samouraïs, vous allez tous connaître une mort lente, atroce et infamante, et chacun des villageois périra de même."
SS_LOSE_GAME		"Tandis que vous gisez par terre, vous sentez votre sang se répandre sur le sol. Vous savez que vous avez échoué. Vous avez fait tout votre possible et vous espérez que les villageois ne vous en voudront pas."
SS_LOSE_GAME2		"Un passant vous informe que les villageois de Shichinen ont été décimés. Les bandits ont incendié le village et vendu les survivants comme esclaves. Vous avez échoué."
SS_TIME_UP			"Voilà un an que vous vous êtes engagé à défendre le village de Shichinen. Vous n'êtes pas revenu à temps, mais peut-être pourrez-vous leur apporter de l'aide si vous vous hâtez."
SS_WIN_GAME			"Le chef des bandits est tombé ! Vous avez gagné ! {action[0].text}"
SS_WIN_GAME2		" Les villageois sont heureux que vous les ayez sauvés, mais l'heure n'est pas à la célébration. Ils retournent au village pour le reconstruire."
SS_KATCHU_DROWNS	" Kikichuyo a été entraîné dans les remous monstrueux de l'île engloutie. Quel terrible destin ! Vous auriez peut-être dû laisser le pauvre diable noyer son chagrin dans l'alcool."
SS_KATCHU_DIES	"Kikichuyo meurt. Vous regretterez sa virtuosité au combat et sa bonne humeur. En revanche, ses chansons ne vous manqueront pas."
SS_CHUN_LING_DIES	" Chun Ling est morte. C'était une combattante habile et une virtuose de l'arc. Vous regretterez ses talents."
SS_GONZA_DIES		"Gonza est mort au combat. Ses talents de lancier vous manqueront."
SS_CHIKAMATSU_DIES	" Chikamatsu est jeté à bas de sa monture par des bandits. Son cheval trébuche et écrase son cavalier dans sa chute."
SS_JCHAN_DIES		"J-Chan s'effondre à terre, blessé à mort. Son corps semble alors rétrécir, puis diparaître totalement, ne laissant qu'un tas de vêtements. Un gros lapin noir à cornes en surgit et s'enfuit prestement en bondissant."
SS_MIMIYOTA_DIES	"Mimiyota est mort ! Lui seul connaissait l'accès à la Route de l'Etoile. Vous ne pouvez donc pas retourner à Shichinen. Vous avez échoué dans votre quête."
SS_MIMIYOTA_DIES2	"Mimiyota est mort, emportant avec lui sa sagesse et son savoir. C'est une lourde perte. Cependant, le vieil homme a eu le temps d'ouvrir le portail de la Route de l'Etoile pour que vous puissiez poursuivre votre mission."
SS_BANDIT_CARRACK	"Maintenant que vous avez massacré ses occupants, la caraque des bandits est à vous."


SS_SHICHINEN_LEAVE      "Rien ne vous empêche de fuir, mais ce serait abandonner Shichinen en pleine détresse."
SS_KATCHU_DROWN      " Kikichuyo a été entraîné dans les remous monstrueux de l'île engloutie. Quel terrible destin ! Vous auriez peut-être dû laisser le pauvre diable noyer son chagrin dans l'alcool."
SS_KATCHU_DIES       "Kikichuyo meurt. Vous regretterez sa virtuosité au combat et sa bonne humeur. En revanche, ses chansons ne vous manqueront pas."
SS_CHUN_LING_DIES	" Chun Ling est morte. C'était une combattante habile et une virtuose de l'arc. Vous regretterez ses talents."
SS_GONZA_DIES		"Gonza est mort au combat. Ses talents de lancier vous manqueront."
SS_CHIKAMATSU_DIES	" Chikamatsu est jeté à bas de sa monture par des bandits. Son cheval trébuche et écrase son cavalier dans sa chute."
SS_JCHAN_DIES		"J-Chan s'effondre à terre, blessé à mort. Son corps semble alors rétrécir, puis diparaître totalement, ne laissant qu'un tas de vêtements. Un gros lapin noir à cornes en surgit et s'enfuit prestement en bondissant."
SS_CHIKAMATSU_DIES      	"Chikamatsu est mort ! Lui seul connaissait l'accès à la Route de l'Etoile. Vous ne pouvez donc pas retourner à Shichinen. Vous avez échoué dans votre quête."
SS_CHIKAMATSU_DIES2     	"Chikamatsu est mort, emportant avec lui sa sagesse et son savoir. C'est une lourde perte. Cependant, le vieil homme a eu le temps d'ouvrir le portail de la Route de l'Etoile pour que vous puissiez poursuivre votre mission. Attention : ils ont confondu les noms : ce devrait être Mimiyota et non Chikamatsu dans ces deux derniers passages."

#	The string of hyphens below represents the amount of text that will fit in a message box. The second line is for alert boxes.
#	 				 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# 					 -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

# Global, random and Tavern strings 
SS_BLANK			" "
SS_2MONTHS			"Voilà deux mois que vous avez commencé votre quête. Ne perdez pas de vue votre objectif."
SS_4MONTHS			"Vous avez commencé votre aventure il y a quatre mois. Souvenez-vous que patience et détermination viennent à bout de tous les obstacles."
SS_6MONTHS			"Le temps passe vite. Voilà six mois que vous avez quitté le village de Shichinen. Avec un peu de chance, dans six mois, les bandits qui menacent le village seront étendus morts à vos pieds."
SS_8MONTHS			"Voilà huit mois que vous avez commencé votre quête. Les villageois attendent votre retour avec impatience."
SS_10MONTHS			"Plus que deux mois avant les récoltes à Shichinen. Les villageois commencent à se demander s'ils vous reverront un jour..."
SS_LEVEL_UP			"L'expérience du combat fait gagner <c:0,0,200>{action[0].text}<e> à l'unité <c:0,0,200>{unit[0].name}<e>."
SS_LEVEL_DEFENSE	"+ 5 Défense" 
SS_LEVEL_ATTACK		"+ 5 Attaque"
SS_LEVEL_MOVEMENT	"+ 1 Mouvement"
SS_LEVEL_MAX		"L'unité <c:0,0,200>{unit[0].name}<e> a atteint le niveau maximal d'expérience dans cette aventure."
SS_HUT_EMPTY		"Vous êtes devant une vaste maison de bois. Vous frappez à la porte, mais personne ne répond. Vous avez l'impression qu'on vous observe..."
SS_AMBUSH1			"Des brigands bondissent {action[0].text} !"
SS_AMBUSH2			"Alors que vous marchez tranquillement, une bande de brigands surgit {action[0].text} pour vous attaquer !"
SS_AMBUSH3			"Des bandits surgissent {action[0].text}, brandissant leurs armes sous votre nez !"
SS_AMBUSH4			"'A chaque jour son attaque de brigands', constatez-vous sans surprise lorsqu'un groupe d'agresseurs surgissent {action[0].text}!"
SS_AMBUSH5			"Vous venez de vous arrêter pour manger, lorsqu'une bande de brigands se faufilent hors {action[0].text} pour subtiliser votre repas !"
SS_AMBUSH6			"Une bande de coupe-jarrets sortent {action[0].text} pour vous attaquer dans votre sommeil ! Une chance que vous gardiez toujours un oeil ouvert."
SS_AMBUSH_FOREST	"des arbres"
SS_AMBUSH_PLAINS	"d'un buisson"
SS_AMBUSH_GRASSLAND	"d'un champ d'herbes hautes"
SS_AMBUSH_SWAMP		"d'une mare d'eau stagnante"
SS_AMBUSH_JUNGLE	"des épais sous-bois"
SS_AMBUSH_DESERT	"de l'arrière d'un cactus"
SS_AMBUSH_DUNES		"de derrière une dune de sable"
SS_AMBUSH_BEACH		"de derrière la carcasse pourrie d'une baleine échouée"
SS_AMBUSH_MOUNTAIN	"de derrière un rocher"
SS_AMBUSH_TAVERN	"de derrière la taverne"

SS_TAVERN		"Vous avisez une auberge. Vous décidez de vous y arrêter pour étancher votre soif, secouer la poussière de vos vêtements, et écouter quelques ragots..."
# if Random number = 0, you get ambushed by brigands
