# - Added strings for political map(Empty for all but English) - 6-Jul-2009 EPW
# - Added new strings for redesigned empire manager. - 22-Jul-2009 Maq
# -Added strings for view capital buttons - 4-Jan-EPW
# -Added string for relationships 7-Jan-EPW

##以下はハード コード ストリングです｡99/03/09
str_ldl_Already_Offer	"もう既に提案は聞いているぞ｡それとも新しい提案かな？"
KEY_NAME_TAB "タブ"
KEY_NAME_ENTER "Enter"
KEY_NAME_SPACE "スペース"
KEY_NAME_BACKSPACE "バックスペース"
QUEUE_OVERWRITE	"既にセーブしてある待ち列を上書きしようとしています｡\n本当に実行して構いませんか？"
str_ldl_Base_Pollution "汚染度の基準" 


str_tbl_ldl_Select_Unit "ユニットの選択"
str_tbl_ldl_Close_Message "メッセージを閉じる"
str_tbl_ldl_Yes "はい"
str_tbl_ldl_No  "いいえ"
str_tbl_ldl_Quit "終了"



str_tbl_ldl_Next_Round "次のターンへ"
str_tbl_ldl_Open_Monuments "モニュメントの画面"
str_tbl_ldl_Open_Chat "チャット画面"
str_tbl_ldl_Toggle_Space "スペースの使用/不使用"
str_tbl_ldl_Open_Network_Screen "ネットワーク画面"
str_tbl_ldl_Civ_Tab "[帝国]タブ"
str_tbl_ldl_Max_Tab "[最大化]タブ"
str_tbl_ldl_Pop__Tab "[労働]タブ"
str_tbl_ldl_Prod_Tab "[生産]タブ"
str_tbl_ldl_City_Tab "[都市]タブ"
str_tbl_ldl_Unit_Tab "[ユニット]タブ"
str_tbl_ldl_Control_Build "選択したユニットや改善施設の生産"
str_tbl_ldl_Control_Next "次のユニットや改善施設"
str_tbl_ldl_Control_Prev "前のユニットや改善施設"
str_tbl_ldl_Reform "宗教改革"
str_tbl_ldl_Execute_Orders "全命令の実行"
str_tbl_ldl_Clear_Queue "待ち列のクリア"
str_tbl_ldl_Message "メッセージ"
str_tbl_ldl_Open_Alien_Screen "[異星]画面"
str_tbl_ldl_Save_World "クイック セーブ"
str_tbl_ldl_Load_World "クイック ロード"



SAVE_OVERWRITE	"既に作成されたゲームファイルを上書きしようとしています｡\n本当に実行して構いませんか？"

str_ldl_Expectations	"期待値"

POLLUTION_HEAVY	"深刻"
POLLUTION_MODERATE	"やや深刻"
POLLUTION_LIGHT	"軽度"
POLLUTION_NONE	"なし"
POLLUTION_TOXIC	"有害"

str_ldl_Total_City_Pollution	"都市の総体的汚染度"
str_ldl_Pollution_Level	"汚染度"



CANT_ATTACK_HAVE_TREATY "この行動を続けると､{player[0].civ_name_plural}との同盟を破ることになります｡本当に実行して構いませんか？"
AT_LEAST_ONE_COULDNT_BE_EXPELLED "{player[0].civ_name_plural}は､我国の領土に部隊を置いておく大義名分を持っていません｡彼らはすぐに部隊を撤退すると誓っています｡"
#New Messages
ATTACK_WARNING "This action is an act of war! Do you REALLY want to declare war on the {player[0].civ_name_plural}?"
CIV2DOVES "The Dove Party dominates parliament! They have vetoed this aggression."
CIV2HAWKs "The Hawk Party backs this war against this Axis of Evil!"
BARBWAR "These savages threaten our citizens. Pacification operations have begun!" 


str_ldl_RES_CHANGE_BUTTON	"画面サイズ"
str_ldl_RES_TITLE			"画面サイズ"
str_ldl_RES_REBOOT_WARNING	"Call to Power IIを再スタートした時点で､この変更が有効になります｡"

DIP_EXCHANGE_ADVANCE_NONE "進歩を交換できません｡"
str_ldl_Cant_disband_city	"サイズが4以上の都市は解散できません｡"
DELETE_SAVE_CONFIRM	"実行して構いませんか？"

str_ldl_CAPS_TARGET	"ターゲット"
str_ldl_Cheat_Tile "タイル"
str_ldl_AFB_SPLICER		"遺伝子スプライサー（オプション）:"
str_ldl_Show_Map	"マップの表示"
str_ldl_Hide_Map	"マップの非表示"
str_ldl_Cheat_gold	"追加すべきゴールドの量を入力してください｡"
str_ldl_Cheat_pw	"追加すべき公共労働力の量を入力してください｡"
str_ldl_unitpad_Space	"スペース"

str_ldl_ready_to_launch	"起動準備完了！ 他の全プレイヤーが起動するのを待っています｡"
str_ldl_dont_have_cd	"Call to Power IIのCD-ROMをドライブに挿入して､ゲームを再実行してください｡"
str_ldl_connectionlost	"接続が解除されました｡"
str_ldl_Pw_COLON_	"開拓者:"
str_ldl_Pw		"開拓者"



str_ldl_Polluter	"汚染物質排出国"
str_ldl_NonPolluter	"汚染物質非排出国"

str_ldl_PRODUCTIONTURN	"生産/ターン:"


str_ldl_Turns	"ターン"

DELETE_QUEUE	"この創設リストを削除して構いませんか？"
str_tbl_ldl_Ongoing	"処理中"
BUTTON_CONTINUE "続ける"
BUTTON_END_GAME "ゲーム終了"
LOADING	"ロード中..."

str_ldl_Server_Name_COLON "サーバー名:"

## rsh012799 - [都市]タブの汚染度に追加
str_tbl_ldl_Light	"軽度"
str_tbl_ldl_Heavy	"深刻"
str_tbl_ldl_Danger	"危険"
str_tbl_ldl_Toxic	"有害"
##

## rsh012899 - Qキーを押した場合の表示に追加します｡
QUIT_DIALOG	"終了して構いませんか？"
##


# 外交ストリングの[戦時]アイコンがありません｡
str_tbl_ldl_upd006_tga	"upd006.tga"

## rsh012999 - 追加
str_ldl_Disband_selected_units	"選択したユニットを解散しますか？"
str_ldl_Disband_selected_cities	"選択した都市を解散しますか？"
##

## rsh013099 - ポップアップに追加 
BREAK_ROUTE	"貿易ルートを破棄しますか？"
REMOVE_OFFER	"貿易の提案を削除しますか？"
SAVING	"セーブ中..."
##

# エイリアン フィードバック パネル
str_ldl_AFB_TITLE		"エイリアンの胎児の発育"
str_ldl_AFB_STAGE1	"第1段階"
str_ldl_AFB_STAGE2	"第2段階"
str_ldl_AFB_STAGE3	"第3段階"
str_ldl_AFB_END		"終了"
str_ldl_AFB_TURNS_LEFT	"次の段階までターンを進める"
str_ldl_AFB_ECD		"ECD（生産/次の段階/最終）:"
str_ldl_AFB_FIELD		"フィールド（生産/次の段階/最終）:"
str_ldl_AFB_CHANCE	"失敗率:"


BUTTON_EXPEL "強制送還"

## bmh012099 - 皇帝の間/モニュメント画面の追加
str_ldl_Monument_Title			"モニュメント"
str_ldl_Monument_Upgrade_Available	"アップグレードするモニュメントを選択してください｡"

## rsh011899 - [国家状態]画面の追加
str_ldl_CAPS_GOVERNMENT	"政治体制"
str_ldl_SURPLUS	"剰余"
str_ldl_EQUAL	"="
str_ldl_SAVINGS	"備蓄"
##

## rsh012099 - [労働]画面に追加
str_tbl_ldl_FOOD_COLON	"食料:"
str_tbl_ldl_PROD_COLON	"生産力:"
str_tbl_ldl_GOLD_COLON	"ゴールド:"

str_ldl_Message	"メッセージ"
##

## rsh012199 - インスタント アクション ポップアップの追加
str_ldl_CAPS_PIRATE	"海賊行為"
str_ldl_Whose_Trade_Route "どの国の貿易ルートで海賊行為を行いますか？"
str_ldl_What_course_of "どのような方針で行動しますか？"
str_ldl_CAPS_ATTACK "攻撃"
str_ldl_CAPS_EXPEL "強制送還"
str_ldl_CAPS_CANCEL_MOVE "移動のキャンセル"
str_ldl_END_TUTORIAL "チュートリアルの終了"


CANT_ATTACK_ALLIES_CAN_EXPEL "{player[0].civ_name_plural}との同盟を破棄したいのですか？ 同盟を破棄しなくても､ユニットを強制送還することはできます｡"


str_tbl_ldl_You_Need_Embassy_To_Demand	"進歩を要求するには大使館が必要です｡"
str_tbl_ldl_GIFT_MAP	"マップの供与"

## rsh011899 - 政府のランキングに関して
str_tbl_ldl_POOR		"最低"
str_tbl_ldl_FAIR		"不調"
str_tbl_ldl_AVERAGE		"平均"
str_tbl_ldl_GOOD		"良好"
str_tbl_ldl_EXCELLENT	"最高"
##

## rsh011899 - [国家状況]画面の追加
str_ldl_CAPS_GOVERNMENT	"政治体制"
##

str_ldl_POPSCIENCE "ゴールドは科学研究に使いました｡"
str_ldl_POPPW "生産力は公共労働力に使いました｡"
str_ldl_PLANE "プレイヤーが起動しました｡"
str_ldl_CROWN "ゲーム ホスト"
str_ldl_NUMBPLAYERS "このゲームのプレイヤー数"
str_ldl_PASSWORD "パスワードで保護"
str_ldl_GAMELOCK "ゲームはロックされています｡"
str_ldl_GAMELAUNCH "ゲームは進行中です｡"
str_ldl_MUTED "プレイヤーの発言は認められません｡"
str_ldl_Back "戻る"
str_ldl_Next "次へ"
str_ldl_worldtype1 "湿潤: "
str_ldl_worldtype2 "温暖: "
str_ldl_worldtype3 "海洋: "
str_ldl_worldtype4 "群島: "
str_ldl_worldtype5 "一様: "
str_ldl_worldtype6 "交易品: "
str_ldl_Config_Header "設定"
str_ldl_Game_Header "ゲーム"
str_ldl_Map_Header "マップ"
str_ldl_QUITTOSHELL "終了"
str_ldl_Tutorial_Advice_Off "チュートリアル アドバイスの不使用"
str_ldl_Tutorial_Advice_On "チュートリアル アドバイスの使用"
str_ldl_Right_Click_Move "右クリックの使用"
str_ldl_Left_Click_Move "左クリックの使用"
str_ldl_Auto_Cycle_Turn_Off "自動巡回ターンの不使用"
str_ldl_Auto_Cycle_Turn_On "自動巡回ターンの使用"
str_ldl_Auto_Cycle_Units_Off "自動巡回ユニットの不使用"
str_ldl_Auto_Cycle_Units_On "自動巡回ユニットの使用"
str_ldl_Battle_View_Off "戦闘画面の非表示"
str_ldl_Battle_View_On "戦闘画面の表示"
str_ldl_Walk_Animation_Off "移動アニメーションの非表示"
str_ldl_Walk_Animation_On "移動アニメーションの表示"
str_ldl_Animated_Goods_Off "交易品アニメーションの非表示"
str_ldl_Animated_Goods_On "交易品アニメーションの表示"
str_ldl_Attack_Animation_Off "攻撃アニメーションの非表示"
str_ldl_Attack_Animation_On "攻撃アニメーションの表示"
str_ldl_Animated_Trade_Routes_Off "貿易ルートのアニメーションの非表示"
str_ldl_Animated_Trade_Routes_On "貿易ルートのアニメーションの表示"
str_ldl_Wonder_Movies_Off "七不思議のムービーの非表示"
str_ldl_Wonder_Movies_On "七不思議のムービーの表示"
str_ldl_Great_Library_Animation_Off "百科事典のアニメーションの非表示"
str_ldl_Great_Library_Animation_On "百科事典のアニメーションの表示"
str_ldl_Bouncing_Message_Off "バウンシング メッセージの非表示"
str_ldl_Bouncing_Message_On "バウンシング メッセージの表示"
str_ldl_Water_Animation_Off "水面アニメーションの非表示"
str_ldl_Water_Animation_On "水面アニメーションの表示"
str_ldl_Movie_Windowed "ウィンドウ サイズのムービー"
str_ldl_Movie_Full_Screen "フル サイズのムービー"
str_ldl_Grid_Off "マップ グリッドの非表示"
str_ldl_Grid_On "マップ グリッドの表示"
str_ldl_CHEAT_MODE "チート モード"
str_ldl_Cheat_Mode_Case "チート モード"
str_ldl_Music_Off "音楽のOFF"
str_ldl_Music_On "音楽のON"
str_ldl_Show_City_Inflence_Off "都市の影響範囲の非表示"
str_ldl_Show_City_Inflence_On "都市の影響範囲の表示"
str_ldl_Auto_Tab_Select_Off "自動タブ選択の不使用"
str_ldl_Auto_Tab_Select_On "自動タブ選択の使用"

##行方不明？###
str_ldl_Monument_Screen_Off	"モニュメント画面の非表示"
str_ldl_Monument_Screen_On	"モニュメント画面の表示"
str_ldl_Delete "削除" 
str_ldl_Bloodlust_On "流血のON"

str_tbl_ldl_Bloodlust_Off "流血 - OFF"
str_tbl_ldl_Bloodlust_On "流血 - ON"

str_ldl_Scorewarn "このモードを選択すると､スコアは保存されません｡"

##行方不明の終わり##


str_tbl_ldl_You_Need "進歩を交換するには大使館が必要です｡"

str_tbl_ldl_Very_Weak "非常に弱い"
str_tbl_ldl_Weak "弱い"
str_tbl_ldl_Average "平均的"
str_tbl_ldl_Strong "強い"
str_tbl_ldl_Very_Strong "非常に強い"

str_tbl_ldl_You_Dont_Have_Enough_Gold "供与する十分なゴールドがありません｡"

str_ldl_CAPS_TARGET_CITY	"目標とする都市"
str_ldl_CAPS_TYPE	"タイプ"
str_ldl_CAPS_GAIN_LOSS	"利益/損失"

##新しいポップアップ ヘルプ##

str_ldl_Alien "ゼノフォーム研究所"
str_ldl_Mscreen "モニュメント画面"
str_ldl_Ulock "グループのロック解除"
str_ldl_Glock  "グループのロック"
str_ldl_Wow "世界の七不思議"
str_ldl_Imps "都市の改善"
str_ldl_Unis "ユニット"
str_ldl_Prod "生産"
str_ldl_Happ "幸福度"
str_ldl_Goldy "商業力"
str_ldl_Scien "科学"
str_ldl_Food "食料"
str_ldl_Veter "ベテラン"
str_ldl_Activ "防衛"
str_ldl_Space "スペース画面の切り替え"
str_ldl_Tile "地形改善の配置"
str_ldl_Zoomin "ズームイン"
str_ldl_Zoomout "ズームアウト"
str_ldl_Year "ゲームの年/ターン"
str_ldl_Public "公共労働力の合計"
str_ldl_Savings "国庫のゴールド"
str_ldl_Nunit "次のユニット"
str_ldl_Ncity "次の都市"
str_ldl_Undo "ターンの取り消し"
str_ldl_End "ターンの終了"
str_ldl_Clock "残りのターン数"
str_ldl_Tbuild "生産コスト"
str_ldl_Tprod "生産に必要なターン数"
str_ldl_Specforce "特殊部隊"
str_ldl_Bomb "砲爆撃能力"
str_ldl_Supp "このユニットの生産数"

str_ldl_AdvisorYear "年"
str_ldl_AdvisorTurn "ターン"

### 新しいストリング - おそらく未導入 ###

#バーバリアンの脅威
#都市の名前変更
#削除

#### 地形改善の説明 #######
DESCRIPTION_TILEIMP_FARMS	"農場｡200ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_ADVANCED_FARMS	"発展的農場｡500ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_HYDROPONIC_FARMS	"水耕農場｡1400ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_MINES	"鉱山｡最低300ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_ADVANCED_MINES	"発展的鉱山｡最低800ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_MEGA_MINES	"巨大鉱山｡最低1600ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_UNDERSEA_MINES	"海底鉱山｡最低400ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_ADVANCED_UNDERSEA_MINES	"発展的海底鉱山｡最低1000ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_LEVEL_MEGA_UNDERSEA_MINES	"巨大海底鉱山｡最低2200ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_NETS	"網｡最低200ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_FISHERIES	"養殖場｡最低500ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_AUTOMATED_FISHERIES	"自動養殖場｡最低1400ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_ROBOTIC_DOCKS	"組立室｡600ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_ADVANCED_ROBOTIC_DOCKS	"発展的組立室｡1400ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_MEGA_MANUFACTURING_BAY	"巨大組立室｡2200ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_FOOD_PODS	"食料ポッド｡600ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_FOOD_MODULES	"食料モジュール｡1400ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_FOOD_TANKS	"食料タンク｡2200ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_RUINS	"廃墟｡"
DESCRIPTION_TILEIMP_ROAD	"道路｡最低60ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_RAILROAD	"鉄道｡最低120ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_MAGLEV	"リニアモーターカー｡最低240ポイントの公共労働力が必要です｡"
DESCRIPTION_TILEIMP_UNDERSEA_TUNNEL	"海底トンネル｡最低1200ポイントの公共労働力が必要です｡"


#### 施設の説明 ####
DESCRIPTION_INSTALLATION_LISTENING_POSTS	"聴音哨｡800ポイントの公共労働力が必要です｡"
DESCRIPTION_INSTALLATION_RADAR_STATIONS	"レーダー ステーション｡1200ポイントの公共労働力が必要です｡"
DESCRIPTION_INSTALLATION_AIR_BASES	"飛行場｡1000ポイントの公共労働力が必要です｡"
DESCRIPTION_INSTALLATION_FORTIFICATIONS	"要塞｡1000ポイントの公共労働力が必要です｡"
DESCRIPTION_INSTALLATION_SONAR_BUOYS	"ソナー ブイ｡1000ポイントの公共労働力が必要です｡"

#### テラフォーミングの説明	"####"
DESCRIPTION_DESERTS	"砂漠"
DESCRIPTION_FORESTS	"森林"
DESCRIPTION_GLACIERS	"氷河"
DESCRIPTION_GRASSLAND	"草原"
DESCRIPTION_HILLS	"丘"
DESCRIPTION_RAINFOREST	"ジャングル"
DESCRIPTION_ALPINE	"山"
DESCRIPTION_SAVANNAH	"平原"
DESCRIPTION_SWAMPS	"沼地"
DESCRIPTION_TUNDRA	"ツンドラ"



###キーパーのストリング###

## キーパーのストリング1 ##

str_ldl_ARDM_nospace	"A/R/D/M"
str_ldl_UPKEEP			"維持費"
str_tbl_ldl_Total_Upkeep	"維持費の合計"
str_tbl_ldl_NOT_BUILDING	"非生産"
str_ldl_CLOSE			"閉じる"
str_tbl_ldl_S	"S"
str_ldl_small_Disband	"解散"
str_tbl_ldl_DisbandButton	"[解散]ボタン"
str_ldl_Cost_	"コスト "
str_tbl_ldl_Speed_Cities "都市制限時間"
str_tbl_ldl_Seconds_Per_City_COLON "都市当たりの秒数:"

# スコア リストのストリング
str_tbl_ldl_Positive_Points_For_Colon	"プラス ポイント: "
str_tbl_ldl_Negative_Points_For_Colon	"マイナス ポイント:"
str_tbl_ldl_Total_Positive_Points_Colon	"合計プラス ポイント: "
str_tbl_ldl_Total_Negative_Points_Colon "合計マイナス ポイント:"
str_tbl_ldl_Total_Points_Colon "合計ポイント:"
str_tbl_ldl_Civ_Score_Colon		"スコア:"


#どこに行くと誰が知っているのか？#
UNIT_ORDER_TRANSPORTED "輸送中"
TITLE_CITY_BUILD_QUEUE_IS_EMPTY "{city[0].name}"

str_tbl_ldl_The_Diplomats	"我国の指導者は多忙である｡今のところ､貴国との話し合いに関心はない｡"
str_tbl_ldl_Select_a_new	"研究すべき新しい進歩を選択してください｡"
str_ldl_Review_Tutorial_Messages	"チュートリアル メッセージの表示"
str_ldl_END	"終了"
str_ldl_End_Tutorial_Dialog	"チュートリアルを終了して構いませんか？"
str_ldl_Skill_Level	"スキル レベル"
str_ldl_Barbarian_Threat	"バーバリアンの脅威"
str_ldl_LAUNCH			"起動"
str_ldl_Random_Custom		"ランダム/カスタム"


# 補足情報画面のストリング
str_ldl_Top_5_Cities	"トップ5の都市"
str_ldl_Power_Graph		"国力グラフ"
str_ldl_Civ_Score		"スコア"
str_ldl_Year_Founded_COLON	"建国年"
str_ldl_Turns_to_Next_Disaster	"次の災害までターンを進める"



str_ldl_CAPS_MAKE_QUEUE	"待ち列の作成"
str_ldl_CAPS_LOAD_QUEUE "待ち列のロード"
str_ldl_CAPS_DELETE_QUEUE "待ち列の削除"
str_tbl_ldl_Your_queue_has_been_saved	"待ち列をセーブしました｡"
str_ldl_LOAD	"ロード"
str_ldl_CAPS_ASSIGN	"割り当て"
str_ldl_CAPS_CONTENTS	"内容"

str_ldl_Disband_seleted_unit	"選択したユニットを解散しますか？"
str_ldl_Disband_selected_city	"選択した都市を解散しますか？"
str_ldl_MY_GOODS	"自国の交易品"

str_ldl_CAPS_DOMESTIC	"国内"
str_ldl_CAPS_FOREIGN	"他国"

str_ldl_NEXT	"次へ"

# 時代の名前
AGE_NAME_ANCIENT  "古代"
AGE_NAME_RENAISS  "ルネッサンス"
AGE_NAME_MODERN   "近代"
AGE_NAME_GENETIC  "遺伝子の時代"
AGE_NAME_DIAMOND  "ダイヤモンドの時代"










# 勝利のウィンドウのストリング
str_ldl_YOUR_CIVILIZATION_SCORE_IS_COLON	"スコア:"
str_ldl_YOUR_NAME_WILL_GO_DOWN_IN_THE_ANNALS_OF_HISTORY_AS	"あなたの名前は　　　　　　　　として歴史の１ページに刻まれるだろう｡"
str_ldl_POPULATION_COLON	"人口:"
str_ldl_CIV_SCORE			"スコア"
str_ldl_POWER_GRAPH			"国力のグラフ"
str_ldl_DEFEAT				"敗残者"
str_ldl_THE_DESTITUTE			"貧しき者"
str_ldl_THE_SQUIRREL_HEARTED	"野蛮な心を持つ者"
str_ldl_THE_RED_FACED			"知性の足りない者"
str_ldl_THE_WEARY				"みじめな者"
str_ldl_THE_MEEK				"意気地なし"
str_ldl_THE_UNREADY				"無用心な者"
str_ldl_THE_EARNEST				"情熱のある者"
str_ldl_THE_WISE				"賢き者"
str_ldl_THE_VALIANT				"勇ましき者"
str_ldl_THE_LION_HEARTED		"王にふさわしき者"
str_ldl_THE_INDOMITABLE			"不屈の魂をもつ者"
str_ldl_THE_CIV_LORD			"全能の王者"	

str_ldl_CAPS_TRADE				"貿易"
str_ldl_Small_Type				"タイプ"
str_ldl_Caravans_COLON			"キャラバン:"
str_ldl_Gold_From_Trade_COLON	"貿易から得たゴールド:"
str_tbl_ldl_Goods				"交易品"
str_tbl_ldl_Exports				"輸出"
str_tbl_ldl_View_Goods			"交易品の表示"
str_tbl_ldl_View_Exports		"輸出の表示"
str_tbl_ldl_From				"送り主"
str_tbl_ldl_Destination			"送り先"
str_tbl_ldl_upd001_tga	"upd001.tga"
str_tbl_ldl_upd005_tga	"upd005.tga"


##ネットワーク ゲーム メッセージ##

#NETWORK_PLAYER_LEFT "[action.1.name]は､ゲームを中断しました｡プレイヤーが使用していた既存の帝国は､コンピュータ プレイヤーによって統治されます｡"
#NETWORK_PLAYER_JOINED "[action.1.name]は､[player.1.civ_name_plural]の統治を行ってきました｡"
#NETWORK_DIFFERENT_PLAYER_JOINED "[action.1.name]は､[player.1.civ_name_plural]として参加しようとしています｡しかし､この帝国は､元々別のプレイヤーが使用していたものです｡彼の参加を拒否しますか？"
#BUTTON_EJECT "拒否する"
#BUTTON_LET_THEM_STAY "参加させる"
#NETWORK_YOU_ARE_NOW_HOST "このゲームのホストになりました｡"
#NETWORK_NEW_HOST "[action.1.name]がこのゲームのホストになりました｡"
#NETWORK_YOU_ARE_NOW_HOST "このゲームのホストになりました｡"
#NETWORK_NEW_HOST "[action.1.name]がこのゲームのホストになりました｡"
#NETWORK_SESSION_LOST "ホストの接続が切れたので､ロビーに戻ります｡"
#NETWORK_WAITING_ON_PLAYERS "プレイヤーを待っています"
#NETWORK_WAITING_FOR_DATA "データを待っています"
#NETWORK_RESYNCING "同期を取っています"


# ボタン ラベルのストリング
BUTTON_ACCEPT       "受け入れる"
BUTTON_CANCEL       "ｷｬﾝｾﾙ"
BUTTON_CLOSE        "閉じる"
BUTTON_GOAL         "目標"
BUTTON_LIBRARY      "百科事典"
BUTTON_MAYBE        "恐らく"
BUTTON_NO           "いいえ"
BUTTON_OK           "閉じる"
BUTTON_RANDOM       "ランダム"
BUTTON_READY        "準備"
BUTTON_REJECT       "拒否する"
BUTTON_RESEARCH     "研究"
BUTTON_SET_PRICE    "価格の設定"
BUTTON_STEAL_THIS          "<- これを盗む"
BUTTON_YES          "はい"
ACCEPT  "受け入れる"
REJECT  "拒否する"
YES		"はい"
NO 		"いいえ"
BUTTON_RAZE       "Raze"
BUTTON_PLUNDER    "Plunder"
BUTTON_PILLAGE    "Pillage"
BUTTON_LIBERATE   "Liberate"
BUTTON_ENSLAVE	  "Enslave"
BUTTON_FREESLAVES "Free Slaves"
BUTTON_OCCUPY     "Occupy"

str_ldl_Abort	"中断"
str_ldl_Open	"開放"
str_ldl_Close	"閉じる"

str_ldl_Activlink_Internet	"Activlink/Internetの場合､有効なダイヤルアップ回線か､あるいはインターネットの専用回線が必要になります｡"
str_ldl_ADD2	"追加"
str_ldl_ADD	"追加"
str_ldl_Add_AI	"AIの追加"
str_ldl_Advance	"進歩"
str_ldl_Advance_	"進歩 "
str_ldl_Advances	"複数の進歩"
str_ldl_ADVANCES_KNOWN_TO_COLON	"既知の進歩:"
str_ldl_Advertise	"広告｡コスト：500ゴールド"
str_ldl_AGAINST_YOU	"プレイヤーに対して"
str_ldl_Ages	"時代設定"
str_ldl_Aggression	"攻撃"
str_ldl_AI	"AI"
str_ldl_Aid_Uprising	"暴動の支援｡状態に応じた費用が必要です｡"
str_ldl_Air_Force	"空軍"
str_ldl_All_Advancements	"全ての進歩"
str_ldl_ALLIANCE	"同盟"
str_ldl_Alpha_Blending	"アルファ ブレンディング"
str_ldl_Animated_Goods	"交易品アニメーション"
str_ldl_Animated_Trade_Routes	"貿易ルートのアニメーション"
str_ldl_APPLY	"制定"
str_ldl_ARD	"A/R/D"
str_ldl_ARDM	"A / R / D / M"
str_ldl_Army	"部隊"
str_ldl_Asking_For	"要求"
str_ldl_Asks_For	"要求"
